UCL_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
UCL513005,0,0,0,0,366,365,8,0,0,0,268,272,206,17,11,0,445,679,406,36,47,0,232,723,407,55,68,13,154,697,352,22,87,8,71,538,298,19,48,16,11,392,190,9,24,30,0,245,33,0,3,19,0,57,1904,163,290,81,1548,3978,0,0,0,0,312,312,15,4,0,0,216,237,334,34,28,0,413,810,456,43,75,9,245,833,416,48,120,12,119,712,351,27,129,26,43,577,287,19,93,58,8,462,131,8,37,71,5,255,20,0,13,54,0,87,2012,189,483,231,1361,4275,0,0,0,0,672,677,23,4,0,0,480,505,535,50,31,0,861,1488,867,78,120,7,486,1553,821,100,185,20,275,1409,704,52,220,30,109,1115,583,35,143,72,13,850,316,15,60,100,6,503,61,0,11,75,0,151,3914,345,769,311,2907,8253
UCL514001,0,0,0,0,221,221,3,0,0,0,180,185,82,7,11,0,283,381,168,25,25,0,175,389,187,28,52,4,134,403,269,27,101,12,82,483,314,21,115,33,50,530,170,8,30,34,8,247,32,0,4,27,4,63,1223,118,331,105,1133,2911,0,0,0,0,200,200,12,0,0,0,156,166,124,15,7,0,276,428,176,29,36,6,149,401,218,38,85,13,105,461,272,29,107,30,62,502,285,24,75,55,22,460,126,7,29,91,3,253,8,0,3,78,0,100,1224,141,352,284,974,2972,0,0,0,0,419,419,10,5,0,0,339,350,206,24,15,0,554,809,350,52,69,6,322,790,404,71,133,19,237,868,542,55,206,41,142,988,598,45,191,89,70,992,299,7,53,126,12,502,41,0,13,105,8,162,2447,260,683,387,2104,5884
UCL514002,0,0,0,0,202,202,0,0,0,0,93,93,93,0,4,0,233,332,324,7,28,4,163,529,321,32,45,0,96,493,272,12,49,5,55,390,337,13,49,18,21,434,178,6,30,8,0,226,33,0,4,9,0,44,1553,76,198,50,879,2750,0,0,0,0,162,162,0,0,0,0,79,80,134,3,3,0,235,380,380,34,46,0,161,615,279,35,65,4,105,493,300,15,61,15,31,419,313,14,73,27,16,442,142,3,25,60,5,233,23,0,5,28,5,58,1572,104,277,137,792,2880,0,0,0,0,360,360,0,0,0,0,173,171,224,7,8,0,473,711,705,48,66,4,324,1151,596,66,112,9,205,986,569,24,105,18,88,813,646,23,120,49,36,877,320,9,52,73,3,459,54,0,11,41,4,101,3123,184,472,183,1667,5629
UCL514003,0,0,0,0,219,219,3,0,0,0,135,148,101,12,3,0,388,504,305,20,27,0,240,597,299,32,63,0,172,565,190,22,70,3,60,345,197,15,52,9,28,293,78,0,14,9,8,103,29,0,6,15,0,43,1206,93,231,36,1258,2822,0,0,0,0,182,183,3,0,0,0,107,115,146,9,8,0,297,471,361,41,58,3,253,718,268,38,84,4,146,534,183,28,98,25,64,398,173,12,93,37,20,334,55,4,33,42,3,137,18,0,6,43,0,72,1214,127,383,158,1079,2960,0,0,0,0,410,408,12,0,0,0,250,258,249,17,15,3,690,975,669,60,87,7,491,1309,570,65,146,3,315,1103,378,49,164,30,126,743,373,25,142,44,48,626,128,4,45,52,10,240,47,0,9,61,4,117,2420,217,609,194,2338,5783
UCL514004,0,0,0,0,231,231,6,0,0,0,187,195,83,14,6,0,262,363,160,19,20,7,137,336,197,23,47,3,96,367,251,23,93,10,78,452,244,21,71,17,39,395,138,6,27,23,8,201,31,0,0,30,0,69,1108,106,268,91,1034,2605,0,0,0,0,200,200,9,0,0,0,160,175,118,18,7,3,219,361,189,31,35,4,133,394,196,55,75,11,110,444,251,33,111,24,59,479,220,16,67,74,22,403,94,0,17,98,8,224,17,0,10,89,0,119,1100,154,326,301,908,2782,0,0,0,0,429,429,19,0,0,0,343,366,203,33,16,5,479,731,348,48,48,7,271,728,390,78,122,15,200,809,497,59,200,38,135,926,467,43,141,93,58,799,233,9,43,117,19,425,46,0,15,122,0,182,2207,264,591,392,1943,5392
UCL515001,0,0,0,0,12,12,0,0,0,0,20,20,11,0,0,0,24,31,9,4,0,0,19,43,35,7,4,0,18,60,45,5,15,0,22,89,104,3,17,9,13,147,65,0,4,8,8,92,20,0,0,17,0,43,295,21,52,33,129,537,0,0,0,0,17,17,0,0,0,0,12,12,6,0,0,0,25,32,20,3,0,0,18,45,38,9,13,3,18,70,70,3,15,4,13,103,103,0,22,23,5,151,51,0,6,26,4,85,7,0,0,40,6,52,293,19,63,92,107,570,0,0,0,0,30,30,0,0,0,0,26,26,23,0,0,0,46,64,33,8,8,0,41,89,67,10,17,3,34,134,114,12,28,4,33,192,208,9,45,28,15,293,117,0,19,35,5,177,34,0,3,60,3,96,585,38,113,130,240,1102
UCL515002,0,0,0,0,40,40,0,0,0,0,21,21,14,0,0,0,55,68,41,9,3,0,25,85,58,0,15,0,21,91,65,10,14,0,8,100,73,4,11,3,6,89,30,0,0,0,0,30,6,0,0,0,0,6,279,24,45,5,175,526,0,0,0,0,28,28,0,0,0,0,29,29,19,0,0,0,39,68,44,6,3,0,20,79,48,12,13,4,18,88,65,11,15,5,8,98,74,4,12,4,5,104,15,0,3,4,0,25,4,0,0,8,0,8,271,32,51,20,151,528,0,0,0,0,74,74,0,0,0,0,53,53,32,0,0,0,98,129,93,18,11,0,45,162,103,9,18,4,39,179,128,15,31,5,18,196,143,12,24,3,10,191,38,0,3,12,0,54,7,0,0,8,0,10,550,55,95,27,329,1054
UCL515003,0,0,0,0,49,49,0,0,0,0,40,40,36,5,0,0,48,86,56,4,7,0,34,97,61,6,16,0,51,131,98,10,21,6,30,158,144,5,33,12,7,199,69,4,12,11,9,102,14,0,0,7,0,26,465,25,93,32,269,884,0,0,0,0,70,70,0,5,0,0,39,43,47,3,0,0,44,93,57,12,7,3,30,107,72,6,26,3,42,154,109,14,51,10,24,206,135,10,48,29,10,234,50,8,14,32,9,107,10,0,4,31,0,45,472,53,152,117,266,1061,0,0,0,0,120,120,0,5,0,0,76,77,78,9,0,0,97,177,108,16,16,3,61,207,136,13,41,3,90,284,204,18,73,13,59,368,277,15,86,36,16,432,110,6,29,40,14,210,21,0,8,37,4,68,939,82,245,146,537,1947
UCL515004,0,0,0,0,90,90,4,0,0,0,108,114,70,3,9,0,137,215,66,9,11,0,41,125,65,3,13,0,26,108,46,3,15,0,10,78,46,7,15,6,5,67,28,0,7,0,0,37,0,0,3,0,0,9,329,29,67,9,415,846,0,0,0,0,53,53,5,0,0,0,75,78,86,18,12,0,101,209,71,13,19,4,45,148,57,12,34,3,32,141,55,6,21,3,6,92,45,4,16,11,5,79,11,5,4,9,0,27,3,0,0,7,0,11,327,48,104,40,305,834,0,0,0,0,139,138,6,0,0,0,179,189,147,21,16,0,238,423,136,19,36,4,81,273,123,19,43,3,58,245,101,9,38,10,20,172,95,3,27,14,9,150,39,5,8,11,0,61,4,0,3,11,0,19,655,73,170,48,722,1671
UCL515005,0,0,0,0,72,72,3,0,0,0,52,58,33,0,0,0,64,104,58,18,5,0,51,130,107,15,18,0,42,178,80,6,28,3,25,136,89,8,37,9,9,153,52,0,11,6,0,73,6,0,0,6,0,15,428,46,91,23,326,922,0,0,0,0,77,78,0,0,0,0,44,45,47,5,3,0,68,124,78,8,18,0,57,170,95,18,31,3,35,177,80,9,35,6,15,155,85,4,25,21,3,139,29,0,9,30,0,66,10,0,3,14,0,20,439,48,126,72,297,981,0,0,0,0,151,155,3,0,0,0,97,104,84,4,7,0,132,230,137,27,22,0,111,296,201,29,50,3,71,355,162,19,67,12,41,293,173,10,59,27,14,292,83,0,15,36,0,135,17,0,3,17,0,36,868,94,222,98,622,1905
UCL515006,0,0,0,0,113,109,9,0,0,0,117,121,58,3,3,0,197,271,96,16,11,0,104,233,119,18,28,5,125,303,139,17,38,3,107,309,112,19,57,7,49,244,60,5,26,14,14,112,19,0,0,11,3,29,608,87,168,38,826,1726,0,0,0,0,93,98,0,0,0,0,122,122,78,6,5,0,192,281,120,13,15,3,92,251,117,15,50,10,94,278,158,22,35,18,64,291,83,10,37,34,28,188,38,0,9,43,9,102,4,0,3,24,0,37,597,66,151,137,690,1638,3,0,0,0,204,205,6,0,0,0,240,245,137,12,9,0,387,547,214,32,32,5,199,482,232,37,78,12,216,579,297,37,71,26,164,598,194,27,88,44,80,433,94,10,30,57,21,208,21,0,3,37,7,67,1205,159,319,176,1518,3366
UCL515007,0,0,0,0,40,40,3,0,0,0,25,26,30,0,0,0,50,80,140,8,9,0,50,206,98,5,18,0,44,163,72,5,11,0,8,97,57,0,6,0,0,62,25,0,5,3,0,30,4,0,0,0,0,9,421,20,49,10,220,719,0,0,0,0,45,45,3,0,0,0,10,13,45,7,0,0,54,106,155,12,11,4,65,244,101,3,28,0,27,160,63,6,19,3,17,116,59,6,6,9,0,74,17,0,0,3,0,20,7,0,0,8,0,10,443,30,77,24,229,796,0,0,0,0,89,89,6,0,0,0,39,44,70,7,0,0,108,185,292,18,23,5,120,450,196,13,45,0,68,319,132,15,32,3,27,220,117,6,13,9,0,141,35,0,6,6,0,51,6,0,0,10,0,20,862,49,120,30,447,1512
UCL515008,0,0,0,0,37,37,0,0,0,0,25,25,19,3,0,0,49,70,87,6,5,0,27,126,84,6,4,0,16,111,59,7,15,0,12,90,11,0,3,0,4,21,3,0,0,0,0,9,0,0,0,0,0,0,265,16,30,0,173,477,0,0,0,0,25,25,0,0,0,0,15,14,27,0,0,0,59,91,93,4,5,0,15,110,85,9,7,0,14,109,44,0,9,3,11,67,12,0,3,0,0,15,0,0,0,3,0,6,0,0,0,0,0,0,263,8,27,10,139,449,0,0,0,0,64,64,0,0,0,0,39,41,45,3,0,0,102,163,181,6,8,0,42,235,172,11,12,0,31,223,103,7,24,3,28,156,21,0,11,0,4,35,9,0,0,3,0,13,0,0,0,0,0,0,528,21,58,11,313,928
UCL515009,0,0,0,0,122,124,0,0,0,0,30,30,18,0,0,0,63,87,81,7,5,0,60,150,85,20,14,0,50,166,81,9,50,0,32,177,135,19,54,8,17,227,90,3,21,14,5,129,18,0,6,14,0,40,505,62,154,35,377,1132,0,0,0,0,109,109,0,0,0,0,32,32,33,7,5,0,68,110,90,10,8,4,69,182,90,11,40,9,57,197,107,18,49,9,44,218,116,8,71,30,27,251,75,0,27,47,6,156,14,0,7,45,0,67,520,52,204,135,407,1322,0,0,0,0,227,230,0,0,0,0,62,64,57,8,0,0,133,201,168,20,15,4,128,329,171,29,54,10,101,366,186,26,102,12,73,397,249,20,122,37,44,480,165,7,47,59,11,285,27,0,13,58,0,102,1023,107,358,179,783,2457
