UCL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL522034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27,7,0,0,0,0,7,0,0,0,0,0,0,33,0,0,0,0,33
UCL522035,32,0,0,0,0,32,17,0,0,0,0,17,0,0,0,0,0,0,8,0,0,0,0,10,7,0,0,0,0,7,0,0,0,0,0,0,15,0,0,0,0,17,3,0,0,0,0,3,29,5,0,0,0,34,5,0,0,0,0,5,9,0,0,0,0,9,93,5,0,0,0,96
UCL522036,44,0,0,0,0,44,24,0,0,0,0,24,0,0,0,0,0,0,8,0,0,0,0,8,4,0,0,0,0,4,6,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,25,0,0,0,0,26,4,0,0,0,0,4,9,0,0,0,0,9,100,0,0,0,0,99
UCL522037,48,0,0,0,0,52,21,0,0,0,0,21,0,0,0,0,0,0,9,0,0,0,0,10,3,0,0,0,0,3,11,0,0,0,0,11,7,0,0,0,0,9,0,0,0,0,0,0,33,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,105,4,0,0,0,110
UCL522038,59,0,0,0,0,55,52,0,0,0,0,55,0,0,0,0,0,0,0,9,0,0,0,9,0,3,0,0,0,4,24,0,0,0,0,24,11,0,0,0,0,15,0,0,0,0,0,0,43,13,0,0,0,57,7,0,5,0,0,14,4,0,0,0,0,7,166,13,3,0,0,185
UCL522039,25,3,0,0,0,24,10,0,0,0,0,14,3,0,0,0,0,3,14,4,0,0,0,15,11,0,0,0,0,13,8,0,0,0,0,11,6,8,0,0,0,14,0,0,0,0,0,0,45,13,0,0,0,58,19,0,0,0,0,17,4,0,0,0,0,6,96,16,4,5,0,120
UCL522040,49,3,0,0,0,52,33,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,4,93,3,5,0,0,103
UCL522041,56,0,0,0,0,55,34,0,0,0,0,32,8,0,0,0,0,8,0,6,0,0,0,5,0,0,0,0,0,0,9,4,0,0,0,14,3,0,0,0,0,5,0,0,0,0,0,0,28,3,0,0,0,31,5,0,0,0,0,7,0,0,0,0,0,0,115,10,0,0,0,123
UCL522042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,48,0,0,0,0,0,0,47,0,0,0,0,58,39,6,0,0,0,40,0,0,0,0,0,0,95,7,0,0,0,99
UCL522043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,83,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,96,0,0,0,0,96,0,0,0,0,0,6,4,0,0,0,0,4,98,0,0,0,0,101
UCL522044,8,0,0,3,5,15,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,13,0,0,3,0,0,3,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,15,0,3,0,0,28,7,0,0,0,0,10,7,0,0,0,0,4,35,0,3,7,5,61
UCL522045,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,43,0,0,0,0,43,0,4,0,0,0,10,0,0,0,0,0,0,46,4,0,0,0,55
UCL522046,44,0,0,0,0,46,17,0,0,3,0,22,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,15,8,0,0,0,0,8,4,0,0,0,0,4,82,3,0,7,3,96
UCL522047,58,0,0,4,5,66,25,0,0,0,0,28,4,0,0,0,0,4,9,0,0,0,0,11,0,0,0,0,0,0,14,0,0,0,0,16,7,0,0,0,0,5,0,0,0,0,0,0,35,5,0,0,0,42,8,0,0,0,0,8,4,0,0,0,0,4,134,3,0,3,6,143
UCL522048,52,0,0,0,0,52,26,0,0,0,0,26,3,0,0,0,0,3,11,0,0,0,0,11,7,0,0,0,0,7,6,0,0,0,0,6,8,0,0,0,0,8,0,0,0,0,0,0,32,0,0,0,0,32,9,0,0,0,0,9,3,0,0,0,0,3,123,0,0,0,0,123
UCL522049,44,0,0,4,0,45,8,0,0,0,0,8,0,0,0,0,0,0,8,0,5,0,0,17,0,0,3,0,0,3,9,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,21,3,8,0,0,34,10,0,0,0,0,15,4,0,0,0,0,4,87,6,8,4,0,107
UCL522050,74,0,0,0,0,79,29,0,0,0,0,30,3,0,0,0,0,3,3,6,0,0,0,11,0,5,0,0,0,5,15,0,0,0,0,15,9,0,0,0,0,5,0,0,0,0,0,0,26,17,0,0,0,44,3,0,0,0,0,3,0,0,0,0,0,0,139,18,0,0,0,159
UCL522051,33,0,0,0,0,33,47,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,89
UCL522052,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,19,5,0,0,0,0,5,3,0,0,0,0,3,35,0,0,3,0,35
UCL522053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,32,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,36,4,0,0,0,0,3,0,0,0,0,0,0,42,0,0,0,0,37
