UCL_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
UCL513005,0,26,0,31,310,31,365,10,11,0,21,226,24,272,253,18,11,278,341,63,679,400,10,9,424,243,59,723,216,21,0,242,406,50,697,40,42,0,82,416,44,538,3,54,0,57,320,11,392,0,17,0,17,215,19,245,0,0,0,0,48,7,57,930,200,17,1151,2511,314,3978,0,32,0,36,258,14,312,32,14,5,61,161,19,237,441,22,37,500,247,58,810,545,17,25,589,195,43,833,184,63,12,254,422,34,712,14,109,0,131,421,27,577,0,77,0,76,355,26,462,0,15,0,15,215,20,255,0,0,0,0,74,14,87,1227,362,81,1663,2342,262,4275,5,60,0,65,567,45,677,46,29,10,85,388,44,505,690,43,46,778,586,122,1488,951,32,36,1011,439,109,1553,401,82,12,498,824,89,1409,55,152,0,213,832,76,1115,7,128,0,139,678,34,850,0,35,0,35,426,40,503,0,0,0,0
UCL514001,0,8,0,8,181,34,221,13,0,0,19,162,12,185,118,11,8,142,207,37,381,182,12,11,200,157,39,389,91,18,3,108,254,42,403,16,39,0,58,393,33,483,4,50,0,50,441,38,530,0,13,0,13,211,27,247,0,0,0,0,45,22,63,419,154,18,598,2041,275,2911,4,12,0,14,159,25,200,31,8,0,40,115,17,166,206,36,20,258,138,36,428,209,17,19,245,113,38,401,82,60,0,138,299,26,461,12,127,0,132,340,30,502,6,64,0,66,363,25,460,0,12,0,12,210,40,253,0,0,0,0,63,32,100,540,325,41,906,1803,260,2972,4,17,0,19,344,56,419,40,10,0,52,273,24,350,323,47,29,397,339,69,809,393,26,30,450,265,75,790,174,74,4,247,550,71,868,26,165,0,194,735,57,988,4,116,0,119,804,68,992,0,20,0,20,419,59,502,0,0,0,0
UCL514002,0,9,0,8,169,21,202,5,0,0,0,86,9,93,82,10,0,89,205,35,332,299,4,5,314,160,53,529,213,8,5,228,215,49,493,22,32,0,55,295,37,390,0,70,0,74,334,28,434,0,14,0,14,185,26,226,0,0,0,0,39,9,44,626,148,15,790,1691,272,2750,0,11,0,11,129,14,162,3,0,0,0,67,9,80,134,16,8,156,194,25,380,405,19,22,444,133,35,615,181,14,10,208,265,23,493,3,78,0,82,305,32,419,3,94,0,102,308,34,442,0,17,0,17,192,27,233,0,3,0,3,51,0,58,734,255,43,1030,1650,201,2880,0,18,0,23,303,41,360,9,0,0,9,145,20,171,215,22,8,243,407,66,711,704,25,29,760,290,93,1151,396,26,16,436,484,67,986,30,110,0,135,605,68,813,7,168,4,176,643,57,877,0,32,0,32,375,51,459,0,3,0,3
UCL514003,0,14,0,8,192,17,219,3,0,0,3,128,13,148,114,7,0,120,325,63,504,296,13,14,321,221,53,597,218,7,13,240,259,67,565,31,22,0,50,274,27,345,8,41,0,44,224,17,293,3,4,0,8,93,4,103,0,0,0,0,41,3,43,671,100,27,801,1758,260,2822,0,18,0,19,145,15,183,0,3,0,6,96,11,115,160,24,10,194,249,30,471,420,24,38,488,193,38,718,211,15,12,244,251,40,534,15,57,0,74,307,14,398,0,70,0,70,252,18,334,0,5,0,12,122,0,137,0,0,0,0,64,13,72,814,227,67,1107,1682,174,2960,0,33,0,35,344,31,408,11,3,0,13,223,20,258,277,27,8,313,569,95,975,715,34,53,808,411,90,1309,433,27,31,483,512,101,1103,45,80,0,121,584,41,743,12,108,0,119,483,32,626,7,11,0,20,211,6,240,0,0,0,0
UCL514004,0,18,0,17,184,27,231,14,9,0,21,139,32,195,105,15,0,116,201,48,363,143,8,3,162,133,40,336,80,12,10,105,213,50,367,19,33,0,54,344,55,452,4,26,0,25,331,42,395,0,6,0,6,180,16,201,0,0,0,0,52,11,69,374,118,11,506,1774,329,2605,5,15,0,19,159,20,200,24,16,5,42,111,23,175,171,12,10,188,138,32,361,195,18,15,227,120,43,394,93,33,8,134,251,53,444,12,87,0,99,340,39,479,0,58,0,62,308,28,403,0,6,0,6,187,28,224,0,0,0,0,93,18,119,497,245,39,785,1715,287,2782,6,30,0,40,348,46,429,40,16,5,60,249,57,366,270,26,13,308,337,79,731,343,26,21,390,250,88,728,178,47,14,238,464,111,809,32,124,0,150,684,88,926,5,86,0,87,636,72,799,0,16,0,16,366,49,425,0,0,0,0
UCL515001,0,0,0,0,7,0,12,0,0,0,0,11,0,20,10,0,0,10,14,4,31,19,0,0,19,15,5,43,12,0,0,12,41,6,60,3,6,0,10,76,4,89,0,11,0,9,122,12,147,0,0,0,0,84,7,92,0,0,0,0,41,4,43,49,18,0,70,424,42,537,0,4,0,9,12,0,17,0,3,0,3,9,0,12,20,0,0,13,12,0,32,21,4,8,30,21,4,45,16,5,0,20,44,9,70,0,11,0,16,84,4,103,0,10,0,14,126,8,151,0,0,0,0,78,7,85,0,0,0,0,47,5,52,54,43,7,102,428,41,570,0,4,0,9,22,0,30,0,5,0,7,19,6,26,28,0,0,32,27,8,64,37,4,8,48,31,10,89,32,5,0,34,83,9,134,4,22,0,20,164,8,192,0,21,3,24,254,23,293,0,0,0,0,166,8,177,0,0,0,0
UCL515002,0,0,0,0,30,5,40,0,0,0,0,23,0,21,15,0,3,17,38,10,68,42,0,0,49,26,8,85,30,4,0,34,46,8,91,3,9,0,13,82,4,100,0,4,0,4,82,7,89,0,5,0,5,28,0,30,0,0,0,0,0,0,6,95,16,3,120,366,41,526,0,0,0,0,31,0,28,0,0,0,0,24,0,29,32,0,0,30,33,4,68,50,4,5,54,15,5,79,23,12,0,36,49,5,88,0,14,0,13,84,0,98,0,16,0,16,81,6,104,0,4,0,4,17,3,25,0,0,0,0,5,0,8,106,48,4,160,344,20,528,0,3,0,3,64,5,74,0,0,0,0,48,0,53,47,0,6,48,70,12,129,90,8,7,103,46,17,162,55,9,0,67,100,9,179,5,16,0,30,169,3,196,0,20,0,20,163,6,191,0,4,0,4,44,0,54,0,0,0,0
UCL515003,0,5,0,5,47,0,49,3,0,0,3,30,3,40,34,4,0,37,40,11,86,53,4,0,60,29,7,97,28,3,0,35,84,19,131,6,14,0,19,130,9,158,0,10,0,14,176,14,199,0,0,0,0,87,9,102,0,0,0,0,24,0,26,124,39,0,162,646,73,884,0,4,0,5,56,10,70,5,3,0,4,27,8,43,54,6,0,61,27,4,93,60,3,10,73,30,9,107,41,8,0,51,88,11,154,7,23,0,24,175,14,206,0,26,0,24,191,9,234,0,3,0,8,97,5,107,0,0,0,0,37,4,45,168,81,6,253,732,70,1061,0,9,0,9,106,9,120,7,3,0,8,58,11,77,84,7,0,94,73,19,177,116,8,10,129,62,20,207,73,16,0,82,173,29,284,14,33,0,43,303,18,368,4,38,0,40,372,23,432,0,3,0,6,185,17,210,0,0,0,0
UCL515004,0,5,0,5,77,0,90,11,0,0,11,99,10,114,75,5,3,83,112,18,215,77,4,3,88,26,16,125,29,10,0,37,61,10,108,5,4,0,10,59,14,78,0,5,0,5,60,4,67,0,0,0,0,34,0,37,0,0,0,0,3,0,9,195,32,5,231,533,71,846,0,4,0,5,42,3,53,9,0,5,9,59,5,78,120,11,9,137,55,9,209,91,4,8,100,39,8,148,37,19,5,55,78,9,141,0,20,0,20,65,5,92,0,8,0,7,67,0,79,0,0,0,0,28,0,27,0,0,0,0,13,0,11,253,66,20,339,446,48,834,0,12,0,12,116,13,138,11,6,5,20,158,15,189,194,13,14,220,166,33,423,172,6,10,184,66,22,273,65,22,5,91,138,18,245,5,22,0,25,127,19,172,0,14,0,13,128,3,150,0,0,0,0,60,0,61,0,0,0,0
UCL515005,0,4,0,4,64,8,72,0,4,0,6,50,3,58,40,0,0,48,54,4,104,64,3,9,70,52,7,130,56,3,5,62,98,21,178,11,12,0,20,104,12,136,0,6,0,7,134,9,153,0,4,0,4,58,4,73,0,0,0,0,9,4,15,169,38,9,218,624,71,922,0,8,0,8,67,7,78,5,6,0,4,30,4,45,76,4,11,84,40,4,124,93,10,14,116,40,8,170,51,18,0,74,100,10,177,5,25,0,24,124,8,155,0,12,0,16,114,9,139,0,0,0,0,59,5,66,0,0,0,0,17,3,20,227,84,24,334,591,61,981,0,12,0,12,130,16,155,6,3,0,11,83,7,104,119,4,9,133,96,3,230,153,13,20,184,94,17,296,107,27,4,133,198,25,355,11,33,0,45,228,22,293,3,17,0,23,246,20,292,0,7,0,7,116,16,135,0,0,0,0
UCL515006,0,5,0,12,67,32,109,7,11,0,16,69,34,121,54,6,11,69,123,72,271,89,7,0,96,85,48,233,55,7,5,69,178,56,303,9,13,0,23,238,45,309,0,11,0,13,202,31,244,0,5,0,6,89,20,112,0,0,0,3,26,5,29,230,62,17,306,1074,346,1726,5,12,0,17,61,22,98,19,9,0,29,62,34,122,88,7,15,119,110,52,281,106,6,11,121,78,50,251,47,28,3,80,153,42,278,4,32,0,41,210,38,291,0,19,0,19,145,22,188,5,5,0,11,75,19,102,0,0,0,0,22,12,37,273,121,44,436,918,287,1638,7,18,0,30,130,53,205,30,15,5,41,131,74,245,147,17,24,188,237,123,547,191,12,16,215,158,99,482,98,39,10,152,331,97,579,15,46,3,68,451,83,598,0,28,0,31,346,52,433,4,7,0,11,160,35,208,0,0,0,3
UCL515007,0,0,0,0,40,5,40,0,0,0,3,23,8,26,26,0,0,28,37,13,80,124,3,8,134,43,21,206,68,3,4,74,73,20,163,17,8,0,17,70,6,97,0,9,0,11,42,0,62,0,0,0,0,20,3,30,0,0,0,0,12,0,9,233,23,13,273,371,79,719,0,5,0,5,39,4,45,0,0,0,0,14,0,13,50,3,0,53,43,12,106,157,0,15,174,45,26,244,68,3,6,76,65,18,160,0,22,0,22,83,9,116,0,15,0,15,54,7,74,0,3,0,3,16,0,20,0,0,0,0,10,0,10,272,49,21,352,378,75,796,0,5,0,5,76,6,89,0,0,0,4,35,8,44,76,3,0,83,81,23,185,281,0,30,313,90,47,450,136,5,8,152,138,39,319,17,27,0,45,159,18,220,0,27,0,29,99,11,141,0,6,0,6,39,4,51,0,0,0,0
UCL515008,0,0,0,0,27,9,37,0,0,0,3,24,0,25,20,0,0,25,37,10,70,74,4,3,79,26,13,126,38,3,0,41,65,8,111,4,9,0,14,63,7,90,0,0,0,0,19,3,21,0,0,0,0,4,0,9,0,0,0,0,0,0,0,137,17,4,158,266,54,477,0,4,0,4,16,7,25,3,0,0,3,10,0,14,30,3,3,36,41,20,91,85,0,0,88,19,15,110,32,7,0,42,61,16,109,0,13,0,11,50,9,67,0,4,0,4,12,0,15,0,0,0,0,4,0,6,0,0,0,0,0,0,0,144,34,9,188,202,60,449,0,3,0,3,46,14,64,6,0,0,9,37,0,41,48,3,5,61,75,27,163,156,6,6,170,45,24,235,69,10,0,77,123,22,223,4,17,0,24,116,14,156,0,5,0,5,24,3,35,0,0,0,0,8,0,13,0,0,0,0
UCL515009,0,8,0,12,95,15,124,0,0,0,0,23,3,30,28,4,3,30,42,12,87,89,0,4,89,49,17,150,62,3,4,69,80,14,166,6,10,0,20,145,12,177,6,18,0,21,192,12,227,0,4,0,4,124,10,129,0,0,0,0,36,5,40,182,48,8,241,792,103,1132,0,12,0,12,82,16,109,5,4,0,4,22,5,32,43,5,5,54,47,15,110,104,7,13,122,40,20,182,58,14,5,77,101,24,197,4,25,0,30,176,14,218,4,21,0,29,201,23,251,0,5,0,5,131,14,156,0,0,0,0,63,3,67,213,95,27,336,866,122,1322,0,21,0,21,182,27,230,5,0,0,9,52,8,64,64,8,9,83,94,24,201,190,12,14,214,89,33,329,120,20,5,146,175,39,366,12,32,0,45,326,23,397,8,43,0,47,393,30,480,0,7,0,7,255,22,285,0,0,0,0
UCL515010,3,3,0,11,46,22,76,8,5,4,14,51,21,92,42,9,10,62,100,51,210,39,4,5,51,78,40,167,24,14,0,39,103,45,181,5,12,0,20,134,55,212,0,6,0,6,108,38,148,0,0,0,0,30,7,38,0,0,0,0,6,0,7,122,59,14,193,659,284,1135,0,6,3,13,38,28,75,18,11,0,30,49,33,108,65,18,13,88,92,75,262,65,7,7,81,57,57,197,27,21,4,50,97,63,215,6,24,0,33,116,42,189,0,20,0,20,70,25,118,0,0,0,0,34,13,46,0,0,0,0,10,4,16,177,113,31,313,570,337,1224,4,13,3,25,86,48,156,27,15,4,44,98,55,202,102,29,21,147,196,133,475,103,11,15,135,139,101,369,44,38,4,85,200,105,392,11,37,0,50,250,98,400,0,21,0,21,182,61,264,0,3,0,3,63,19,87,0,0,0,0
UCL515011,0,3,0,6,75,4,84,3,0,0,3,47,3,55,42,9,3,47,57,17,117,77,0,3,83,60,16,152,53,10,0,55,88,12,160,6,8,0,13,140,15,166,0,15,0,16,152,15,178,0,0,0,0,106,12,117,0,0,0,0,36,0,36,185,35,6,228,760,90,1073,0,4,0,4,67,5,74,5,5,0,14,35,0,48,69,4,8,76,61,4,143,97,9,6,113,56,10,177,45,17,3,65,93,6,165,0,31,0,36,153,10,201,0,25,0,25,163,15,204,0,4,0,4,119,7,130,0,0,0,0,53,6,56,221,100,17,339,795,67,1198,0,10,0,10,140,12,159,13,5,0,20,85,7,104,101,13,12,123,120,19,256,179,12,13,198,114,25,332,94,26,3,120,185,22,326,5,40,0,51,292,28,368,0,39,0,40,314,29,384,0,6,0,6,227,19,249,0,0,0,0
UCL515012,0,5,0,5,69,5,80,0,0,0,0,43,5,47,62,9,0,70,75,15,163,91,9,0,100,30,13,141,48,3,3,58,82,12,152,9,11,0,17,71,13,107,0,8,0,8,63,8,75,0,0,0,0,24,3,29,0,0,0,0,8,0,8,214,47,6,271,472,60,797,0,17,0,15,65,4,87,3,4,0,7,34,4,46,91,9,5,111,80,12,204,112,11,9,124,24,9,157,44,12,0,56,98,8,162,4,15,0,21,68,0,89,0,20,0,20,53,0,77,0,0,0,0,20,0,22,0,0,0,0,5,0,7,251,83,17,355,451,43,848,0,19,0,25,132,11,167,3,10,0,11,78,6,95,158,21,10,179,157,28,367,199,13,12,227,56,25,305,93,20,3,117,179,17,309,11,25,0,40,141,12,196,0,28,0,28,118,9,151,0,0,0,0,47,0,50,0,0,0,0
UCL515013,0,0,0,0,64,9,79,0,0,0,3,66,14,79,42,3,0,45,157,18,226,99,0,3,112,96,24,229,63,6,4,72,118,21,211,9,13,0,19,156,13,184,0,5,3,8,97,16,124,0,4,0,4,47,5,54,0,0,0,0,3,3,8,219,26,11,259,808,121,1188,0,9,0,9,43,8,62,0,8,0,8,69,11,88,67,10,7,83,170,21,277,124,3,10,143,66,17,226,38,11,3,51,108,12,174,0,17,0,25,110,11,145,0,13,0,14,74,11,95,0,5,0,5,36,4,43,0,0,0,0,6,0,6,233,75,17,328,682,94,1101,0,9,0,9,113,18,135,0,7,0,15,131,24,164,103,15,7,126,327,46,500,226,9,13,248,159,37,453,104,12,5,122,226,34,384,9,32,0,37,266,24,329,0,19,3,22,176,24,219,0,7,0,7,79,7,96,0,0,0,0
UCL515014,0,9,0,9,17,3,25,7,3,0,15,21,9,40,23,3,0,28,56,10,93,18,7,0,25,48,3,72,6,6,0,15,52,4,64,4,11,0,14,41,10,62,0,0,0,0,19,0,26,0,0,0,0,7,0,8,0,0,0,0,0,0,0,60,34,4,103,252,42,397,0,4,0,4,13,7,23,14,4,3,19,17,6,48,37,14,3,50,49,14,114,29,11,3,36,32,8,73,3,16,3,26,46,0,67,6,12,0,20,43,8,74,0,3,0,3,24,0,28,0,3,0,3,3,0,3,0,0,0,0,0,0,0,86,72,14,165,222,44,431,0,8,0,14,25,6,50,15,9,6,27,37,15,83,58,14,5,82,101,22,208,46,10,6,58,74,13,148,11,24,3,37,95,6,138,7,24,0,34,87,19,133,0,5,0,5,42,5,53,0,8,0,8,6,0,13,0,0,0,0
UCL515015,0,5,0,5,60,7,63,3,0,0,4,59,0,64,59,4,0,60,127,10,191,67,3,0,73,91,7,170,40,0,0,46,118,22,186,6,8,0,19,119,14,148,0,13,0,13,109,5,133,0,0,0,0,111,11,122,0,0,0,0,44,6,54,177,44,3,224,841,75,1149,0,10,0,11,51,0,67,9,8,3,12,31,9,52,67,11,4,82,97,7,189,75,8,3,89,56,3,145,44,15,6,58,90,7,165,4,39,0,45,114,8,169,0,26,0,26,143,15,180,0,3,0,3,128,8,140,0,0,0,0,71,9,75,201,118,14,332,776,70,1172,0,15,0,13,110,11,131,7,7,3,15,90,11,116,125,14,4,149,215,19,381,146,13,4,164,139,12,315,85,19,6,108,216,35,354,15,49,0,60,230,19,319,0,41,0,41,248,18,311,0,3,0,3,246,19,264,0,0,0,0
UCL515016,0,0,0,0,22,5,22,0,3,0,4,15,0,24,17,4,0,20,49,8,74,40,4,0,46,25,12,84,17,0,0,19,73,16,102,3,3,0,6,112,10,132,0,5,0,8,133,18,157,0,0,0,0,58,8,73,0,0,0,0,10,3,8,78,18,5,105,503,71,678,0,3,0,3,21,0,24,0,0,0,0,12,8,24,27,5,5,37,38,8,85,55,0,0,58,24,8,93,17,8,0,16,56,5,86,0,20,0,20,115,10,147,0,15,0,15,120,11,149,0,0,0,0,45,12,58,0,0,0,0,20,5,23,104,52,5,161,454,69,689,0,6,0,6,41,3,48,3,3,0,4,31,4,43,49,9,5,64,88,16,163,96,3,5,105,54,18,172,33,4,0,41,125,24,189,3,23,0,28,228,18,274,0,20,0,19,257,28,300,0,5,0,5,104,20,133,0,0,0,0
UCL515017,0,0,0,0,25,3,25,0,0,0,0,19,4,21,12,3,0,14,30,11,55,34,0,0,34,21,16,62,14,6,0,17,63,21,99,0,9,0,12,94,22,131,0,7,0,4,90,22,119,0,0,0,0,51,5,56,0,0,0,0,16,3,14,59,28,0,89,399,100,589,0,0,0,0,15,8,15,5,3,0,7,10,4,26,20,3,0,20,27,10,59,34,4,0,41,12,8,63,14,4,0,17,51,14,77,0,12,0,16,90,16,116,0,12,0,12,80,17,109,0,3,0,3,36,13,47,0,0,0,0,13,0,11,72,40,0,115,322,87,521,0,3,0,3,38,6,46,5,7,0,4,31,7,42,33,0,0,34,62,19,112,66,4,0,70,36,25,122,31,8,0,34,112,30,172,0,22,0,27,184,37,248,0,18,0,19,170,42,222,0,3,0,3,81,14,101,0,0,0,0
UCL515018,0,4,0,4,44,8,47,0,0,0,0,30,8,40,43,5,0,44,48,19,119,46,0,0,47,32,25,105,15,0,0,25,89,28,133,4,6,0,7,101,13,122,0,0,0,3,51,10,64,0,0,0,0,19,3,25,0,0,0,0,5,0,5,111,17,3,136,410,110,657,0,8,0,8,27,18,52,19,4,0,20,30,15,68,46,3,4,52,23,16,99,71,0,0,72,36,32,135,14,14,0,23,72,14,114,5,20,0,23,75,9,101,0,3,0,3,40,13,53,0,0,0,0,10,3,10,0,0,0,0,3,0,3,152,45,7,204,322,110,636,0,6,0,6,67,25,105,18,4,0,26,61,20,106,86,3,4,99,78,39,213,116,0,0,122,67,52,242,30,13,0,43,155,37,244,3,28,0,35,166,23,230,0,4,0,3,91,20,118,0,0,0,0,27,4,33,0,0,0,0
UCL515019,0,5,0,4,92,23,121,8,0,0,8,99,14,118,56,8,3,64,156,30,251,68,7,3,77,117,34,228,32,0,3,42,149,26,215,15,14,0,28,196,17,241,3,21,0,19,150,13,184,0,0,0,0,96,9,102,0,0,0,0,24,10,30,184,57,7,246,1081,168,1500,3,3,0,11,86,20,116,21,8,0,25,68,12,110,96,7,7,111,100,20,230,93,9,11,108,69,18,196,39,15,3,59,126,20,204,4,25,0,24,172,12,212,0,22,0,22,152,15,194,0,3,0,3,94,13,109,0,0,0,0,44,11,59,255,96,19,372,905,152,1429,9,10,0,16,180,44,240,28,8,0,34,167,20,227,152,14,6,175,252,55,481,165,17,15,190,184,53,429,75,21,3,106,280,42,423,20,43,0,56,369,35,455,3,44,0,43,300,31,378,0,3,0,3,187,25,214,0,0,0,0
UCL515020,0,6,0,7,77,30,110,9,10,0,23,82,26,131,81,19,3,98,226,82,405,114,14,8,133,105,50,288,54,11,3,67,156,55,277,12,13,0,27,176,46,248,0,11,0,13,90,22,127,0,0,0,0,34,8,42,0,0,0,0,4,0,7,276,81,19,372,949,315,1635,0,18,0,21,67,26,116,25,10,0,35,89,37,156,122,22,19,165,252,78,497,148,17,13,182,120,62,362,57,31,8,88,164,59,318,3,30,0,36,170,35,243,3,10,0,13,68,14,95,0,0,0,0,20,6,25,0,0,0,0,4,6,12,355,141,46,540,951,328,1820,4,22,0,28,143,58,224,32,16,4,56,170,62,289,202,45,18,265,475,164,903,264,29,21,310,225,112,643,107,38,12,162,322,117,593,20,44,0,66,346,77,490,4,21,0,25,163,39,222,0,4,0,4,49,13,68,0,0,0,0
UCL515021,0,3,0,3,66,4,77,0,0,0,0,28,3,35,26,0,0,25,33,0,63,43,5,7,54,25,3,84,41,5,0,44,63,4,115,12,10,0,18,99,5,133,0,11,0,11,120,7,138,0,3,0,3,58,0,65,0,0,0,0,18,3,20,118,37,9,161,512,40,714,0,4,0,4,31,0,32,0,3,0,6,21,0,25,26,5,5,33,22,0,65,65,0,5,70,17,0,92,33,12,5,47,57,4,105,0,24,0,30,107,3,143,0,13,0,13,101,8,123,0,0,0,0,64,0,69,0,0,0,0,13,0,15,121,62,16,200,443,27,670,0,7,0,7,102,5,114,0,3,0,6,51,4,59,55,8,3,61,59,4,122,101,5,15,124,39,10,174,73,13,5,87,122,13,221,11,39,0,51,211,12,269,0,30,0,30,220,12,257,0,3,0,4,127,4,136,0,0,0,0
UCL515022,0,3,0,3,119,10,136,8,0,0,7,110,12,130,74,9,0,84,152,19,251,101,0,0,105,93,12,214,50,12,0,62,151,29,236,19,13,0,31,232,5,277,0,18,0,21,190,15,222,0,0,0,0,141,12,152,0,0,0,0,38,3,40,253,61,10,328,1221,112,1659,0,8,0,13,103,15,123,14,5,0,30,75,11,107,110,12,10,138,99,4,236,124,16,9,151,69,17,232,53,17,6,73,156,17,246,12,42,0,56,218,11,286,0,29,0,29,209,13,255,0,10,0,10,132,9,147,0,0,0,0,67,0,70,318,137,26,482,1129,98,1705,0,13,0,15,222,28,259,26,10,0,34,180,18,233,190,15,13,217,250,23,493,226,12,14,251,161,29,442,101,33,8,138,307,45,489,28,57,0,88,446,20,559,0,45,0,44,405,25,477,0,8,0,9,267,16,301,0,0,0,0
