UCL_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
UCL513005,0,0,0,11,10,10,32,4,0,10,34,232,15,293,0,0,13,18,52,0,82,0,0,5,0,19,0,19,0,0,8,33,314,13,364,0,0,3,7,35,0,45,6,0,11,16,48,5,75,0,0,9,13,40,4,69,0,0,6,13,35,0,63,0,0,0,0,14,0,12,0,0,7,6,4,0,22,0,0,0,6,10,0,16,3,5,24,17,32,0,77,0,0,3,16,28,0,43,9,8,15,17,49,5,101,13,4,22,12,12,0,62,6,0,24,24,25,3,85,0,0,0,0,6,0,8,0,0,4,5,55,0,64,3,0,9,6,44,12,72,45,27,172,254,1063,73,1632,6,0,0,0,9,5,24,0,0,13,9,27,3,51,0,0,7,12,10,0,31,0,0,3,0,4,0,7,0,0,17,17,22,0,55,0,0,3,7,12,5,25,4,0,6,31,69,7,111,0,0,16,27
UCL514001,0,0,0,0,4,0,7,0,4,3,17,209,5,237,0,0,3,3,90,0,102,0,0,4,6,88,4,99,0,0,3,3,84,3,95,0,0,0,0,6,0,7,0,0,0,0,22,0,28,0,0,3,0,17,5,23,0,0,0,0,24,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,11,0,25,0,0,0,0,13,0,15,0,0,5,6,29,0,44,0,3,11,0,6,0,21,0,0,5,0,11,0,24,0,0,0,0,0,0,4,0,0,0,4,37,0,47,0,0,4,0,31,0,34,7,5,51,50,695,26,830,0,0,0,0,0,0,0,0,0,6,8,23,5,39,0,0,0,3,22,0,30,0,0,0,4,15,0,22,0,0,0,5,12,0,10,0,0,0,0,0,0,0,0,0,6,4,40,10,56,0,0,0,7
UCL514002,0,0,7,0,10,0,21,0,7,28,12,124,4,170,5,0,31,13,50,0,95,0,0,0,3,10,0,13,0,0,20,45,229,8,303,0,0,7,6,10,0,23,6,0,17,10,32,3,62,3,0,28,23,65,3,126,0,0,9,8,18,0,32,0,0,0,0,4,0,5,5,3,5,3,0,0,17,0,0,8,7,7,0,29,12,3,41,10,17,3,83,0,0,10,6,24,0,39,3,0,9,6,11,0,34,10,11,13,3,9,0,47,17,0,25,11,9,0,61,0,0,5,7,3,0,17,0,0,6,3,23,3,35,0,0,12,15,26,3,54,64,28,276,190,678,44,1275,0,0,10,0,4,0,12,3,0,5,9,13,0,28,3,5,18,9,18,0,62,0,0,3,0,3,0,3,0,5,19,14,12,5,55,0,0,4,7,5,0,18,0,0,34,26,44,6,112,3,5,45,37
UCL514003,0,0,22,11,17,5,60,3,3,30,25,104,5,166,7,6,60,21,61,5,157,0,0,0,3,23,4,31,0,0,22,15,187,8,233,0,0,5,4,16,0,24,0,0,24,8,29,0,66,5,0,18,38,66,7,133,0,0,3,12,16,0,33,3,0,6,0,3,0,5,0,4,4,4,0,0,9,0,0,5,0,6,0,13,4,0,20,11,9,0,51,0,0,12,0,34,0,47,4,0,7,14,16,0,44,5,12,42,0,12,0,72,11,5,21,9,6,0,51,0,0,3,4,9,0,16,0,0,6,3,40,0,46,3,0,11,4,32,5,53,60,31,315,190,688,41,1319,0,0,8,13,3,0,25,0,0,0,3,4,0,14,6,8,48,23,24,0,112,0,0,0,0,0,0,0,0,4,4,6,11,0,22,0,0,3,6,4,3,12,3,4,39,25,58,3,133,5,4,44,24
UCL514004,0,0,5,0,16,3,24,0,0,4,4,36,0,40,0,0,3,0,37,0,46,0,0,0,0,31,0,41,0,0,0,6,96,0,110,0,0,3,4,23,0,31,0,0,3,3,33,7,43,0,0,0,8,19,0,28,0,4,4,0,47,0,57,0,0,0,0,3,0,7,0,0,4,0,0,0,4,0,0,0,3,4,0,9,4,0,8,6,10,0,28,0,0,0,0,11,0,14,10,4,13,13,41,5,83,7,12,22,4,8,0,49,8,3,18,13,23,0,58,0,0,0,0,3,0,3,0,0,0,0,38,0,46,0,0,0,0,25,8,35,32,23,95,71,497,31,760,0,0,0,6,4,0,3,0,0,6,0,0,0,4,0,0,3,3,3,3,16,0,0,0,3,0,0,13,0,0,0,5,9,0,17,0,0,0,0,3,0,7,0,4,6,11,46,6,73,0,0,5,4
UCL515001,4,0,0,0,3,0,8,0,0,0,0,6,0,6,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,3,3,24,0,25,0,0,0,4,0,0,3,0,0,0,0,5,0,6,0,0,0,3,7,0,14,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,7,0,7,0,0,0,0,3,0,8,0,0,3,0,3,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,7,0,7,0,0,0,0,0,0,7,8,0,15,22,74,6,124,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,9,0,24,0,0,5,5
UCL515002,0,0,0,0,3,0,3,6,0,0,5,33,4,48,0,0,3,0,36,0,40,0,0,0,0,4,0,7,0,0,0,4,25,0,37,0,0,0,0,6,0,6,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,6,0,0,0,0,0,0,7,0,4,8,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,8,0,8,3,4,24,22,153,11,212,0,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,0,5,11,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,5,0,0,0,5,0,0,4,4,3,4,14,0,0,0,0
UCL515003,0,0,0,0,9,3,15,0,4,7,11,41,3,64,0,0,0,3,7,0,13,0,0,3,0,17,0,21,0,0,0,3,32,0,32,0,0,5,0,4,0,4,0,0,4,4,14,0,23,0,0,0,0,8,0,9,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,6,0,5,0,0,5,3,8,0,21,0,0,4,4,3,0,10,0,0,7,0,10,0,13,0,0,0,0,0,0,7,0,0,0,0,9,0,12,3,0,0,0,3,0,7,9,9,42,33,180,15,279,0,0,0,5,3,0,5,0,0,0,0,7,0,16,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,4,0,0,3,6,18,4,32,0,0,3,7
UCL515004,0,0,0,0,4,0,8,0,0,0,0,46,0,53,0,0,0,4,14,0,28,0,0,0,0,0,0,0,0,0,0,0,42,0,44,0,0,0,0,12,0,11,0,0,0,4,16,0,17,0,0,0,0,6,0,5,0,0,0,0,19,0,16,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,7,0,13,3,0,37,15,12,0,71,0,0,0,0,0,0,5,0,0,0,4,6,0,13,0,0,0,0,4,0,4,0,0,0,0,17,0,17,0,0,4,5,6,0,16,6,3,51,38,231,0,331,0,0,5,0,9,0,9,0,0,0,0,10,0,10,0,0,0,3,12,0,14,0,0,0,0,5,0,5,0,0,0,0,8,0,11,0,0,0,0,10,0,15,0,0,0,0,12,0,16,0,0,0,0
UCL515005,0,0,0,0,12,6,17,0,0,3,5,30,0,39,0,0,0,0,16,0,21,0,0,0,6,3,0,4,0,0,0,4,49,4,59,0,0,0,0,5,0,0,0,0,0,0,13,0,12,0,0,0,0,4,0,4,0,0,0,4,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,0,5,0,6,4,9,0,0,0,4,20,0,32,0,3,8,5,8,0,22,0,0,0,3,8,0,7,0,0,0,0,3,0,3,0,0,0,3,14,0,21,0,0,0,0,11,6,15,0,4,26,34,214,18,300,0,0,0,0,6,0,4,0,0,0,3,4,0,10,0,0,0,0,4,0,7,0,0,0,0,0,0,4,0,0,0,0,8,0,9,0,0,0,0,0,0,4,0,0,0,3,21,0,30,0,0,0,5
