UCL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
UCL513005,30,48,77,634,787,1424,0,0,5,101,120,220,0,0,0,656,726,1380,3,9,15,21,24,41,26,35,62,30,36,58,6,8,21,3,4,4,24,42,66,44,74,118,61,70,127,5,12,16,3,7,8,34,51,89,186,220,407,11,12,20,1862,2232,4095,21,15,38,33,25,58,6,4,14,0,0,0,6,3,8,18,19,39,22,23,47,2966,2891,5856,11,9,18,7,9,13,2979,2911,5889,434,353,789,5393,5618,11009
UCL514001,9,15,25,398,497,897,0,0,0,43,52,96,0,0,0,539,579,1118,15,19,36,0,3,6,17,17,35,4,9,8,6,7,11,0,0,0,9,11,19,12,14,27,22,29,55,8,4,11,6,9,19,70,78,149,48,64,108,7,3,3,1204,1395,2597,3,7,11,11,10,13,0,0,0,0,3,3,0,0,0,10,18,24,9,18,30,1987,1759,3747,0,9,14,0,10,14,1994,1776,3774,387,349,735,3614,3567,7184
UCL514002,38,47,78,410,523,930,0,0,0,20,27,52,0,0,0,508,606,1113,4,4,11,14,9,24,17,13,32,6,3,9,9,4,11,0,0,0,10,13,23,19,16,33,29,26,58,0,0,3,0,4,3,63,103,159,47,68,115,5,0,4,1161,1427,2588,18,9,25,0,8,6,4,0,7,0,0,0,7,0,13,10,14,15,16,13,25,1911,1846,3760,6,5,16,7,13,22,1928,1867,3799,360,291,653,3517,3659,7182
UCL514003,47,48,97,234,316,551,0,0,0,28,33,57,0,0,0,370,432,806,0,0,0,14,10,20,30,35,64,0,0,3,4,11,15,0,0,0,4,3,9,14,12,17,18,20,43,0,0,0,0,0,0,29,64,94,49,70,121,0,0,3,799,1008,1812,10,10,20,12,15,30,0,3,4,0,6,4,8,0,13,10,13,27,21,19,43,2347,2306,4654,11,8,23,9,18,20,2366,2334,4698,410,322,736,3669,3760,7430
UCL514004,12,25,31,351,419,768,0,0,0,38,41,77,67,78,140,583,680,1267,42,37,78,10,16,27,41,48,89,0,8,9,8,17,20,4,3,6,5,9,13,9,14,24,20,22,41,11,17,32,19,20,40,58,93,151,77,123,202,4,5,10,1359,1653,3004,16,14,29,28,22,50,0,0,0,3,0,0,3,0,3,11,16,29,18,16,35,1385,1276,2666,9,10,14,10,6,16,1397,1296,2696,432,405,828,3254,3424,6679
UCL515001,0,6,6,123,124,249,0,0,0,3,8,13,0,0,0,68,80,150,0,0,0,0,3,4,0,0,3,0,0,0,3,3,9,0,0,0,0,3,5,0,0,0,7,6,16,0,0,0,0,0,0,12,30,48,12,17,31,0,0,0,239,288,527,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,5,0,5,3,285,277,571,3,0,3,0,0,0,287,277,569,60,46,105,589,624,1211
UCL515002,0,11,16,55,79,138,0,0,0,9,15,23,0,0,0,114,114,230,8,3,11,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,3,0,6,5,0,4,6,7,12,0,0,0,6,0,3,17,24,42,19,21,37,0,0,0,241,273,515,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,3,13,5,3,13,339,289,635,4,0,4,3,0,5,351,288,640,56,31,86,654,620,1271
UCL515003,5,20,23,152,195,345,0,0,0,12,10,23,0,0,0,112,145,259,0,5,4,0,0,0,4,9,10,3,0,0,3,3,7,0,0,0,5,3,6,0,3,3,13,16,24,0,0,0,4,8,11,19,30,44,31,45,73,0,0,0,349,472,824,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,5,6,12,5,6,12,572,613,1181,3,8,10,7,10,16,578,629,1207,111,110,223,1054,1246,2300
UCL515004,4,16,19,96,120,214,0,0,0,9,5,20,0,0,0,136,164,299,0,0,0,0,5,6,5,5,7,0,5,9,4,0,3,0,0,0,0,3,3,10,8,13,18,11,35,0,0,0,0,6,6,5,12,17,40,27,62,0,0,0,331,372,703,0,0,4,5,5,10,0,0,0,0,0,0,5,6,9,0,10,4,10,10,17,675,589,1263,9,0,6,0,3,3,682,591,1273,115,84,196,1145,1079,2225
UCL515005,8,9,16,129,168,299,0,0,0,16,11,25,0,0,0,126,151,276,4,0,4,0,4,4,5,0,3,3,4,6,6,0,4,0,0,0,0,0,3,7,9,13,42,26,65,0,0,0,6,12,16,23,46,61,21,37,62,3,0,3,382,470,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,6,0,6,10,677,652,1322,3,3,10,0,5,5,683,651,1336,102,81,187,1180,1221,2402
UCL515006,17,20,41,187,167,355,0,0,0,10,17,23,0,0,0,436,467,901,37,52,92,6,4,8,13,18,26,0,0,3,6,3,3,0,0,0,5,13,17,10,10,19,36,20,55,0,3,4,3,6,11,27,36,62,54,48,103,0,3,4,827,879,1704,17,13,26,12,3,13,3,0,4,13,3,13,0,0,0,7,7,13,19,12,31,805,702,1508,9,0,9,0,5,3,813,699,1514,447,377,825,2153,2011,4162
UCL515007,9,20,26,66,83,155,0,0,0,9,8,24,0,0,0,77,107,187,0,0,0,0,4,3,0,5,0,0,0,0,6,0,5,0,0,0,0,3,4,3,0,3,8,10,10,0,0,0,0,0,0,13,13,25,24,28,56,0,0,0,207,268,476,0,0,3,0,0,0,0,0,0,0,0,0,4,0,5,0,6,6,4,5,10,672,659,1327,4,0,4,0,0,0,673,658,1339,135,129,263,1036,1086,2119
UCL515008,6,5,12,53,54,103,0,0,0,6,4,3,0,0,0,90,99,185,0,0,0,4,4,4,0,3,8,0,0,0,3,5,6,0,0,0,0,0,0,0,0,0,9,3,16,0,0,0,0,0,0,13,9,21,10,13,19,0,0,0,185,191,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,390,336,727,0,0,5,0,0,0,393,340,732,77,73,153,662,616,1282
UCL515009,13,23,37,123,156,279,0,0,0,14,23,37,0,0,0,118,152,263,0,0,0,0,0,0,15,22,36,6,0,9,3,5,17,0,0,0,0,5,5,3,4,7,13,11,24,0,0,0,8,0,8,27,28,62,11,28,38,0,3,3,336,445,778,0,3,4,7,5,9,4,0,4,0,0,0,0,0,0,9,19,24,9,19,24,855,856,1712,6,0,7,0,16,13,858,872,1730,178,177,353,1396,1551,2944
UCL515010,9,3,11,63,72,136,0,0,0,16,24,37,0,0,0,246,297,540,0,0,6,4,0,4,4,0,4,0,0,0,0,5,6,0,0,0,30,29,60,24,30,54,14,11,28,4,0,0,9,22,26,36,70,101,50,43,95,0,0,0,490,603,1091,8,3,10,19,4,20,0,0,0,5,5,15,0,0,3,3,9,12,15,15,28,524,456,977,0,3,9,0,0,0,526,461,984,409,454,858,1472,1540,3009
UCL515011,0,11,11,167,233,402,0,0,0,14,14,26,0,0,0,188,245,432,0,0,0,0,0,5,21,21,42,0,0,0,4,0,0,0,0,0,12,18,33,3,0,7,12,16,23,4,0,3,9,11,20,24,28,49,38,53,94,0,0,0,493,660,1150,4,3,6,11,11,22,0,0,0,0,0,0,0,0,5,4,11,15,3,12,16,699,660,1357,0,0,5,0,0,4,700,660,1364,122,95,211,1335,1451,2786
UCL515012,4,3,5,103,123,223,0,0,0,7,15,26,0,0,0,231,273,498,0,0,0,0,3,3,4,8,11,0,0,0,0,3,6,0,0,0,0,0,3,10,14,21,8,10,16,0,0,0,3,4,12,8,13,22,34,33,64,0,0,0,398,501,899,0,0,4,9,7,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,590,537,1123,4,4,10,0,4,4,595,542,1136,89,66,153,1096,1122,2219
UCL515013,13,11,23,113,114,227,0,0,0,16,12,29,0,0,0,158,192,355,0,0,0,3,8,9,0,0,3,0,0,0,0,0,7,0,0,0,6,17,23,6,5,5,10,12,16,0,0,0,0,0,0,15,20,31,31,27,60,0,0,0,356,403,761,0,3,5,4,0,5,0,4,4,0,0,0,0,0,0,5,4,9,5,4,9,894,794,1688,4,7,4,0,3,3,900,795,1699,182,122,301,1458,1346,2806
UCL515014,3,7,10,18,17,35,0,0,0,8,9,18,0,0,0,42,41,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,114,127,240,5,9,13,7,3,13,0,0,0,0,0,3,10,17,29,18,25,45,0,0,0,220,254,471,3,0,3,6,0,6,0,0,0,24,21,40,0,0,0,0,0,4,23,23,49,177,185,363,3,0,4,0,0,0,184,182,367,64,57,119,493,525,1022
UCL515015,4,6,11,158,209,363,0,0,0,12,15,29,0,0,0,447,450,891,21,27,48,5,4,5,16,12,29,9,3,18,6,4,3,0,0,0,5,7,11,0,0,4,13,18,29,0,0,0,9,20,31,22,20,39,32,35,66,0,0,0,749,823,1574,0,0,3,13,9,20,0,0,0,0,0,0,0,0,0,4,0,4,4,0,3,475,449,919,9,3,8,0,4,4,478,453,935,140,113,253,1387,1408,2797
UCL515016,5,3,3,106,126,235,0,0,0,11,7,17,0,0,0,82,101,192,0,0,0,0,5,5,0,0,0,0,0,0,6,5,9,0,0,0,0,0,7,0,0,0,6,11,14,0,0,0,0,0,0,10,17,28,12,14,27,0,0,0,244,297,539,7,5,10,4,6,10,0,0,0,0,0,0,0,0,0,0,6,10,0,6,10,451,393,844,4,0,4,0,0,0,452,398,851,101,77,181,807,794,1600
UCL515017,6,12,17,83,91,173,0,0,0,7,0,9,0,0,0,73,89,166,0,0,0,4,3,4,0,0,4,0,0,0,0,0,5,0,0,0,4,0,7,0,0,0,3,11,9,0,4,4,0,0,0,9,13,22,5,9,15,0,0,0,194,229,423,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,328,248,578,4,0,8,0,0,0,333,254,579,133,105,242,666,606,1270
UCL515018,5,9,14,73,73,145,0,0,0,4,3,3,0,0,0,91,102,197,0,0,0,5,6,8,6,12,18,4,4,12,3,0,3,0,0,0,7,6,9,4,4,8,7,8,16,0,0,0,3,0,0,8,14,22,26,28,52,0,9,11,241,265,509,5,4,3,0,0,7,0,0,0,0,0,0,0,0,0,3,5,9,3,5,9,438,381,821,0,0,3,3,3,11,441,388,829,155,140,300,849,815,1660
UCL515019,33,39,74,134,149,282,0,0,0,181,197,379,0,0,0,213,221,436,0,0,4,0,0,9,16,22,38,7,9,15,16,16,34,3,0,3,9,13,28,6,10,12,27,15,41,3,3,3,16,5,17,23,33,62,59,66,130,0,0,3,725,761,1489,7,6,13,183,161,337,0,0,0,0,0,0,0,0,0,5,3,11,4,3,6,671,594,1262,6,0,12,0,4,4,678,598,1272,238,206,447,1871,1774,3641
UCL515020,13,36,50,130,143,266,0,0,0,23,33,55,0,0,0,290,399,691,0,5,6,4,5,10,4,7,12,0,5,5,3,10,6,0,0,3,20,20,42,26,46,70,13,21,30,5,0,5,3,3,8,37,43,76,70,107,175,0,0,0,623,841,1462,18,12,28,10,12,21,0,5,3,8,15,23,0,0,5,7,8,16,15,18,36,1029,944,1966,5,4,18,0,3,0,1038,952,1989,459,463,923,2183,2330,4515
UCL515021,3,13,15,94,128,226,0,0,0,13,11,17,0,0,0,74,86,155,3,5,8,0,0,0,0,5,4,0,0,0,3,0,4,0,0,0,0,0,0,8,10,16,16,26,44,0,4,3,0,0,0,22,19,42,23,30,56,0,0,0,256,317,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,4,4,9,525,421,947,0,3,3,0,0,0,530,420,955,62,40,100,856,800,1655
UCL515022,0,15,17,225,261,487,0,0,0,36,33,67,0,0,0,279,341,619,0,0,3,23,18,38,9,16,21,6,4,4,3,3,12,0,0,0,11,6,12,12,19,32,25,24,40,0,3,3,22,20,40,49,59,105,32,40,68,4,5,8,724,840,1567,8,4,9,42,24,62,0,0,0,0,0,0,0,0,3,3,17,21,4,18,22,1117,1024,2142,6,0,7,0,3,3,1119,1032,2156,170,141,307,2069,2072,4138
UCL515023,9,4,12,123,157,276,0,0,0,5,5,13,0,0,0,175,206,375,20,22,45,10,0,6,7,11,20,0,0,0,0,0,0,0,0,0,0,0,0,9,4,12,9,8,16,5,0,5,23,22,43,27,47,73,23,32,59,0,0,0,430,521,956,0,7,6,4,4,10,0,0,0,0,0,0,0,0,4,5,0,6,5,5,10,604,489,1092,4,0,4,6,7,7,615,497,1105,152,127,279,1222,1164,2384
UCL515024,0,4,0,94,126,218,0,0,0,15,18,34,0,0,0,153,178,332,0,0,0,0,0,4,0,0,3,0,0,0,0,4,5,3,5,4,0,3,5,0,0,0,7,3,9,0,0,0,0,0,5,23,26,51,9,22,32,5,0,3,317,384,704,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,4,7,3,10,344,302,646,0,0,4,0,0,0,342,305,650,110,110,225,785,811,1591
UCL515025,6,5,11,95,131,224,0,0,0,44,51,93,0,0,0,66,98,166,0,0,0,0,0,0,6,15,19,3,5,3,4,0,5,0,0,0,3,5,9,0,0,6,4,6,13,0,0,0,7,9,14,19,21,35,30,25,55,0,0,0,290,364,651,0,0,6,55,42,100,0,0,0,0,0,0,0,0,0,9,4,11,9,4,11,417,392,805,5,6,7,0,4,4,424,398,821,138,160,293,926,972,1898
UCL515026,10,9,16,118,136,258,0,0,0,6,18,27,0,0,0,118,125,240,0,0,0,6,0,3,0,4,7,0,0,0,0,6,6,0,0,0,0,0,5,16,14,28,55,47,97,0,0,5,6,5,10,10,20,32,57,65,123,5,0,5,400,438,837,5,7,10,0,0,0,0,0,0,0,0,0,0,3,6,0,3,5,3,6,8,638,612,1247,5,0,13,0,0,0,647,616,1261,84,68,148,1140,1141,2284
UCL515027,7,10,23,205,259,468,0,0,0,59,87,148,0,0,0,288,348,633,0,0,0,4,3,6,19,40,54,9,6,19,8,8,12,0,0,0,0,3,6,6,13,18,25,22,44,10,15,24,10,12,28,59,76,129,51,65,116,0,4,3,757,957,1710,7,14,18,12,0,14,0,3,3,0,0,0,9,6,13,8,9,18,13,17,27,772,685,1456,3,3,9,0,5,7,779,696,1471,251,231,477,1819,1926,3745
UCL515028,21,50,79,129,119,247,0,0,0,57,54,111,0,0,0,347,335,686,7,5,9,12,16,31,3,0,3,0,0,0,0,4,4,4,0,4,9,11,23,22,18,40,16,8,26,0,0,0,5,7,9,28,23,45,66,78,138,3,0,3,703,689,1390,17,12,30,15,19,38,0,0,0,0,5,3,5,5,6,9,4,4,10,9,22,1097,967,2064,3,5,6,0,0,3,1103,973,2078,315,291,608,2191,2047,4239
UCL515029,5,9,14,47,42,88,0,0,0,5,0,4,0,0,0,112,99,210,0,0,0,0,4,0,0,0,0,0,6,0,0,0,7,0,0,0,3,0,5,0,3,3,7,4,13,0,0,0,3,4,5,5,7,15,11,9,18,0,5,5,203,178,379,0,0,3,10,10,17,0,0,0,0,0,0,0,0,0,0,4,7,0,4,3,335,266,597,0,0,0,0,0,0,334,264,599,202,101,306,756,562,1319
UCL515030,13,8,21,248,336,589,0,0,0,23,25,49,0,0,0,280,334,612,0,0,0,0,0,0,30,37,71,4,6,7,5,0,5,0,0,0,10,21,36,14,20,30,28,29,60,7,3,5,0,4,0,34,57,91,57,50,105,0,0,0,752,919,1669,3,7,8,4,4,7,0,0,0,0,0,0,0,0,0,10,9,15,10,9,15,865,868,1739,3,3,7,6,9,9,876,878,1752,208,197,403,1861,2021,3883
UCL515031,5,16,25,228,298,526,0,0,0,7,5,14,0,0,0,186,210,395,0,0,0,5,3,7,0,0,0,0,0,0,4,9,13,0,0,0,5,8,13,0,3,7,27,20,40,0,0,0,6,3,10,29,56,86,16,24,46,0,0,0,512,648,1157,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,7,7,0,7,7,663,595,1267,0,0,0,6,3,4,671,604,1275,205,168,370,1396,1449,2841
UCL515032,4,5,4,72,105,176,0,0,0,11,13,23,0,0,0,90,89,179,0,3,8,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,5,12,20,0,0,0,0,0,0,17,16,32,33,29,60,0,0,0,247,271,518,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,440,375,812,0,4,0,0,0,0,445,372,816,79,53,136,776,712,1485
UCL515033,24,23,49,79,91,171,0,0,0,42,29,66,0,0,0,229,211,435,0,0,0,5,0,6,3,9,16,9,11,17,4,5,11,0,0,0,0,5,5,3,4,9,13,12,20,0,0,0,4,6,11,29,14,45,30,29,58,0,0,0,441,423,870,9,6,16,6,16,27,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,766,683,1449,4,3,6,0,0,4,767,689,1458,244,202,449,1503,1367,2874
UCL515034,6,20,29,162,175,342,0,0,0,12,16,32,0,0,0,166,174,340,0,6,6,13,4,17,11,3,19,10,3,13,7,10,12,0,0,0,5,6,15,8,9,23,12,17,28,0,3,6,0,4,4,8,17,26,42,53,99,3,5,7,476,503,980,7,5,10,4,0,10,0,0,0,0,0,0,0,0,0,3,12,21,3,18,21,822,711,1529,6,3,9,0,0,3,826,717,1543,155,111,269,1483,1372,2853
