UCL_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
UCL513005,144,183,134,112,392,558,200,689,70,2476,0,3,0,3,5,11,0,4,0,34,11,8,4,0,7,15,3,31,0,75,6,7,8,3,14,10,5,0,0,52,0,0,0,0,3,5,0,0,0,19,0,19,9,0,11,16,6,15,0,82,5,7,7,7,12,11,4,5,0,47,14,92,50,31,44,23,8,9,3,277,10,67,35,19,26,17,3,16,3,199,3,9,7,3,6,0,0,0,0,43,0,0,0,0,6,0,0,0,0,4,7,3,3,6,18,11,4,0,0,50,0,0,8,0,5,8,0,3,0,32,3,12,14,8,21,16,7,12,0,97,8,30,20,4,10,6,0,4,0,90,9,10,13,8,26,22,8,4,0,98,17,55,62,37,61,46,9,25,3,314,41,94,120,95,98,47,14,27,3,546,3,17,5,4,6,8,0,4,0,39,8,31,24,11,14,18,0,5,0,117
UCL514001,76,114,81,54,177,375,156,322,40,1385,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,41,8,15,0,74,4,0,5,4,7,15,6,8,0,47,0,6,0,0,9,8,0,8,5,31,3,8,0,0,4,0,0,4,0,24,0,0,0,0,0,0,0,0,0,8,7,60,43,15,31,18,8,3,3,186,7,68,35,16,10,11,0,10,0,159,0,0,5,0,5,3,0,8,3,32,0,0,5,0,3,0,0,0,0,3,4,3,4,0,5,3,0,0,0,26,0,0,0,0,0,0,0,0,0,6,0,3,5,0,5,0,3,0,0,25,0,14,10,7,3,0,0,0,0,39,6,0,4,4,18,10,3,7,0,54,17,39,44,23,23,26,6,11,0,187,11,54,78,38,33,21,0,17,6,259,0,0,0,0,0,0,0,0,0,7,0,20,11,0,4,0,4,4,0,50
UCL514002,133,193,137,120,245,363,116,414,35,1765,3,8,4,0,4,4,0,0,0,21,3,0,3,0,0,3,4,12,0,27,7,19,17,12,21,12,3,0,0,89,0,4,0,0,0,0,0,0,0,4,4,19,17,6,9,5,0,3,0,65,0,6,9,0,4,3,0,0,0,33,13,53,36,24,26,21,7,5,0,196,10,95,49,33,35,34,11,11,4,285,0,0,4,3,3,4,0,0,0,14,0,5,0,3,0,0,0,0,0,7,0,14,3,6,4,7,0,0,0,30,0,8,12,5,12,6,6,3,0,60,7,25,21,20,10,12,5,8,0,104,10,28,24,4,0,4,0,3,3,84,8,15,11,5,6,8,0,0,0,37,14,53,42,22,23,28,8,18,0,206,29,54,73,32,35,30,5,10,3,282,0,8,10,9,6,3,0,0,0,35,7,18,23,8,8,7,6,0,0,75
UCL514003,133,196,172,139,308,472,132,367,32,1948,0,6,7,0,12,3,0,0,0,34,6,0,3,0,0,0,0,13,0,20,17,14,24,21,35,27,9,12,0,149,0,0,0,0,0,0,0,0,0,0,5,11,7,0,7,8,0,4,0,38,0,5,4,0,4,4,0,6,0,23,7,78,59,41,34,23,13,6,0,257,17,78,63,36,36,33,10,21,4,292,0,5,10,0,0,6,0,3,0,21,0,4,0,0,0,0,0,0,0,5,0,4,5,4,0,3,4,3,0,29,0,4,4,3,14,5,0,5,0,34,6,23,14,19,11,8,3,4,0,84,6,26,22,10,20,3,0,4,0,96,10,14,7,7,13,11,4,5,0,63,15,55,48,26,26,32,23,21,4,248,42,67,68,43,41,24,4,11,0,297,0,12,0,0,4,0,0,0,0,24,5,18,9,12,12,6,3,6,4,67
UCL514004,58,121,86,58,213,311,134,333,23,1339,0,7,0,5,0,0,0,0,0,11,0,0,0,0,0,3,0,11,0,13,3,4,3,3,9,3,0,8,0,39,0,0,0,0,3,0,0,0,0,13,0,9,8,4,4,7,4,3,0,30,0,4,4,4,0,3,0,0,0,14,9,65,31,23,38,24,7,9,5,202,3,37,32,6,7,12,5,5,0,117,0,4,11,0,5,9,0,4,0,27,0,0,0,0,0,0,0,0,0,4,0,0,4,0,10,4,0,0,0,26,0,0,8,0,3,3,0,0,0,15,5,8,11,9,18,0,0,4,0,48,0,15,15,3,5,4,0,0,0,47,11,9,10,9,37,23,7,11,0,124,6,19,23,27,45,33,12,20,0,183,19,37,51,54,81,41,8,33,0,317,0,5,0,4,0,0,0,0,0,6,3,18,4,3,13,3,0,3,0,49
UCL515001,21,41,22,24,18,24,12,40,0,198,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,8,8,4,3,4,0,0,6,35,5,8,10,4,3,5,0,6,0,36,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,5,0,0,6,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,7,4,3,0,0,0,3,0,19,3,10,14,0,6,4,0,3,0,35,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3
UCL515002,18,18,18,18,52,62,31,110,5,324,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,3,0,4,0,8,0,0,8,5,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,4,0,3,0,17,0,0,0,0,6,0,0,0,0,8,3,5,6,4,3,3,0,0,0,28,0,10,6,0,5,5,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,7,0,5,0,0,3,0,0,4,0,15,0,3,3,0,0,0,0,0,0,5,0,0,5,5,6,3,0,6,0,17,0,8,15,0,3,8,0,8,0,49,12,10,8,8,10,18,0,3,0,69,0,0,0,0,0,0,0,0,0,5,4,3,4,3,0,0,0,0,0,16
UCL515003,29,44,39,32,67,77,29,114,9,440,0,0,0,0,0,7,0,0,0,10,0,4,0,0,0,0,0,9,0,20,0,5,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,5,7,17,10,10,8,0,3,3,0,63,0,16,8,4,0,7,0,0,0,41,0,0,4,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,3,3,3,0,0,0,0,14,3,4,0,3,3,0,0,4,0,16,0,12,0,3,3,0,0,0,0,15,0,9,3,0,3,4,0,3,0,27,3,18,20,9,10,7,0,8,0,79,9,25,30,20,11,11,3,10,3,126,0,0,3,0,0,0,0,0,0,7,0,4,6,6,0,0,0,0,0,17
UCL515004,25,27,24,19,97,147,55,171,9,570,0,5,0,0,3,7,0,0,0,20,0,0,0,0,0,0,3,11,0,21,0,0,6,0,4,3,0,4,0,16,0,0,0,0,0,0,0,5,0,4,0,0,9,3,4,4,0,0,0,26,0,0,4,0,7,7,0,0,0,19,9,16,11,6,7,5,0,4,0,57,0,7,4,3,8,5,0,7,0,32,0,9,3,0,11,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,5,0,0,0,5,0,3,0,0,3,8,0,0,0,20,0,4,3,0,8,5,3,0,0,21,0,0,8,3,13,11,3,3,0,39,0,11,8,4,8,4,3,3,0,44,7,7,21,11,15,8,0,5,0,75,0,6,0,0,0,0,0,0,0,6,0,8,4,0,13,3,0,0,0,33
UCL515005,31,40,39,27,85,125,49,145,10,541,0,3,3,3,0,0,0,5,0,16,0,0,0,0,0,5,0,6,0,12,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,5,0,4,4,0,3,0,22,0,0,0,0,0,0,0,0,0,7,5,19,20,12,16,14,0,0,0,84,3,12,3,0,6,4,0,0,0,29,0,5,3,3,4,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,15,0,8,3,3,5,5,0,0,3,24,0,4,3,6,11,11,0,3,0,39,0,11,13,5,7,7,0,5,0,57,7,28,28,19,25,14,3,8,0,137,0,3,0,0,0,0,0,0,0,8,0,5,6,4,3,3,0,0,0,23
UCL515006,39,74,52,28,142,181,62,191,37,817,4,13,3,0,6,6,0,7,0,44,0,0,0,0,0,8,0,9,0,13,0,0,0,0,0,0,6,5,0,9,4,0,0,3,3,0,0,0,0,9,0,4,0,4,5,3,4,0,0,18,0,4,0,0,0,6,0,0,0,3,5,20,22,17,23,10,3,8,0,111,3,12,11,11,11,7,0,9,0,58,0,6,4,0,4,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,0,0,0,10,0,0,0,0,4,0,0,0,4,6,0,5,5,5,12,3,0,0,0,19,0,0,7,8,7,10,0,3,0,38,6,6,11,7,30,18,5,9,0,84,10,10,11,18,41,20,11,8,0,126,12,12,8,13,65,27,3,21,4,176,4,0,0,0,0,0,0,0,0,8,0,7,8,0,0,5,4,3,0,25
