UCL_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL515032,146,47,16,5,0,0,0,218
UCL515033,311,45,28,3,0,0,0,390
UCL515034,212,85,22,4,0,0,0,330
UCL515035,62,9,7,0,0,0,0,78
UCL515036,161,49,11,4,0,0,5,228
UCL515037,211,26,16,6,0,0,6,259
UCL515038,122,31,9,5,0,0,3,171
UCL521001,46,13,0,0,0,0,0,60
UCL521002,54,21,6,0,0,0,0,83
UCL521003,43,6,5,0,0,0,0,62
UCL521004,41,7,8,3,0,0,4,62
UCL521005,86,28,3,3,0,0,0,124
UCL521006,69,13,4,5,0,0,0,94
UCL521007,22,4,0,0,0,0,0,31
UCL521008,31,5,3,0,0,0,0,33
UCL521009,37,11,0,0,0,0,0,42
UCL521010,45,14,9,3,0,0,0,72
UCL521011,77,11,0,0,0,0,0,95
UCL521012,35,8,0,0,0,0,0,46
UCL521013,83,24,5,0,0,0,0,114
UCL521014,35,6,0,0,0,0,0,45
UCL521015,26,3,5,0,0,0,0,41
UCL521016,58,4,4,0,0,0,0,68
UCL521017,68,13,0,0,0,0,0,82
UCL521018,50,10,0,0,0,0,0,67
UCL521019,26,12,0,0,0,0,0,40
UCL521020,50,19,9,0,0,0,0,77
UCL521021,79,19,0,0,0,0,5,108
UCL521022,63,11,4,0,0,0,0,81
UCL521023,52,3,4,4,0,0,0,65
UCL521024,72,10,9,0,5,0,5,102
UCL521025,53,5,6,0,0,0,0,71
UCL521026,78,15,5,0,0,0,0,102
UCL521027,45,3,4,3,0,0,0,52
UCL521028,34,9,7,0,0,0,0,51
UCL521029,64,5,5,0,0,0,3,84
UCL521030,22,8,3,0,0,0,0,35
UCL521031,21,10,3,0,0,0,0,32
UCL521032,26,3,0,0,0,0,4,40
UCL521033,16,0,0,0,0,0,0,18
UCL521034,76,21,3,0,0,0,0,93
UCL521035,30,4,4,0,0,0,0,39
UCL521036,16,3,4,0,0,0,0,26
UCL521037,57,17,3,0,0,0,6,87
UCL521038,35,12,3,0,0,0,4,56
UCL521039,73,15,4,0,0,0,0,94
UCL521040,72,5,0,0,0,0,0,83
UCL521041,21,5,3,0,0,0,0,23
UCL521042,36,8,0,0,0,0,0,45
UCL521043,45,0,5,0,0,0,0,51
UCL521044,31,12,3,0,0,0,0,48
UCL521045,16,7,0,0,0,0,0,29
UCL521046,24,5,3,4,0,0,4,47
UCL521047,29,3,3,0,0,0,0,35
UCL521048,33,10,6,0,0,0,0,52
UCL521049,37,0,0,4,0,3,5,46
UCL521050,48,3,4,0,0,0,0,54
UCL521051,62,13,10,0,0,0,5,88
UCL521052,36,7,8,3,0,0,0,59
UCL522001,37,8,5,10,0,0,0,56
UCL522002,8,5,3,0,0,0,0,19
UCL522003,26,4,0,0,0,0,4,34
UCL522004,26,0,0,0,0,0,0,30
UCL522005,24,0,4,0,0,0,0,35
UCL522006,58,4,3,0,0,0,0,67
UCL522007,0,0,4,0,0,0,0,6
UCL522008,9,0,0,0,0,0,0,14
UCL522009,27,6,6,0,0,0,0,39
UCL522010,44,4,0,0,0,0,0,47
UCL522011,19,0,0,0,0,0,0,20
UCL522012,30,8,0,0,0,0,0,38
UCL522013,43,7,0,0,0,0,4,55
UCL522014,17,7,4,0,0,0,0,32
UCL522015,8,0,0,0,0,0,0,7
UCL522016,16,0,4,0,0,0,0,14
UCL522017,25,5,4,0,0,0,0,30
UCL522018,3,0,0,0,0,0,0,3
UCL522019,8,0,0,0,0,0,0,7
UCL522020,17,6,0,0,0,0,0,26
UCL522021,20,0,3,0,0,0,0,25
UCL522022,11,5,4,0,0,0,0,16
UCL522023,23,7,4,0,0,0,0,27
UCL522024,11,0,0,0,0,0,0,11
UCL522025,25,3,4,0,0,0,0,31
UCL522026,8,0,0,0,0,0,0,14
UCL522027,24,0,4,0,0,0,0,26
UCL522028,0,5,0,0,0,0,0,3
UCL522029,40,8,0,0,0,0,0,46
UCL522030,18,0,0,0,0,0,0,26
UCL522031,15,0,0,0,0,0,0,24
UCL522032,31,3,0,4,0,0,0,39
UCL522033,22,0,3,0,0,0,0,28
UCL522034,11,3,0,0,0,0,0,21
UCL522035,8,0,0,0,0,0,0,12
UCL522036,10,0,0,0,0,0,0,17
UCL522037,22,4,3,0,0,0,0,26
UCL522038,48,0,0,0,0,0,0,57
UCL522039,8,0,0,0,0,0,6,17
UCL522040,8,0,0,0,0,0,0,8
UCL522041,17,0,0,0,0,0,0,23
UCL522042,29,4,3,0,0,0,0,40
UCL522043,24,5,0,6,0,0,0,41
UCL522044,0,0,0,3,0,0,0,8
UCL522045,19,3,0,0,0,0,0,28
UCL522046,14,3,0,0,0,0,0,20
UCL522047,22,5,0,0,0,0,0,30
UCL522048,19,0,0,0,0,0,0,23
UCL522049,8,0,0,0,0,0,0,15
UCL522050,32,0,0,0,0,0,0,35
UCL522051,19,5,0,0,0,0,0,28
UCL522052,9,0,0,0,0,0,0,7
UCL522053,13,0,0,4,0,0,5,11
UCL522054,14,0,0,0,0,0,0,12
UCL522055,22,3,0,0,0,0,0,22
UCL522056,19,10,5,0,0,0,0,31
UCL522057,5,0,0,0,0,0,0,3
UCL522058,14,3,3,0,0,0,0,18
UCL522059,19,7,0,0,0,0,0,22
UCL522060,6,0,0,0,0,0,0,6
UCL522061,6,0,0,0,0,0,0,14
UCL522062,19,0,0,0,3,0,0,29
UCL522063,14,0,0,0,0,0,0,14
UCL522064,31,0,0,6,0,0,4,38
UCL522065,7,3,0,0,0,0,0,12
UCL522066,33,0,5,0,0,0,0,40
UCL522067,3,0,0,0,0,0,0,4
UCL522068,37,9,0,0,0,0,0,53
UCL522069,10,0,0,0,0,0,0,14
UCL522070,14,7,6,0,0,0,0,34
UCL522071,39,0,0,6,0,0,5,52
UCL531001,13452,2321,636,208,42,9,168,16840
UCL579997,0,0,0,0,0,0,0,0
UCL599994,0,0,0,0,0,0,0,0
