UCL_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL513005,4236,4447,8683,154,165,318,16,14,26,23,29,54,30,29,56,6,7,9,421,511,934,3,4,3,4,7,9,8,5,11,0,0,0,509,595,1102,49,49,96,11,11,25,723,820,1540,338,281,618,5299,5550,10847
UCL514001,2808,2799,5605,228,239,472,5,8,8,0,5,3,10,4,10,0,5,10,183,191,370,4,0,3,0,4,6,0,0,0,0,0,0,198,210,410,16,16,29,18,6,27,461,472,939,289,267,555,3560,3541,7102
UCL514002,2645,2763,5409,267,308,576,11,3,16,15,18,36,12,6,14,0,0,0,206,230,435,0,0,0,5,0,6,0,0,0,0,0,0,240,265,507,26,26,56,10,4,18,547,605,1152,304,244,547,3492,3617,7104
UCL514003,2662,2840,5499,276,271,546,25,26,46,22,17,43,18,6,22,0,5,5,222,267,490,3,0,3,0,4,5,0,0,0,3,5,5,297,327,624,84,38,123,11,18,29,668,655,1322,295,225,517,3621,3720,7341
UCL514004,2421,2558,4974,189,199,392,4,8,4,9,3,9,9,13,21,3,10,11,181,214,396,0,0,0,0,0,6,0,0,0,0,0,0,204,242,445,18,17,34,4,8,8,418,468,888,379,372,753,3218,3392,6614
UCL515001,425,469,894,48,45,92,0,0,0,0,0,0,0,0,0,0,0,0,52,45,102,0,0,0,0,0,0,0,0,0,4,0,7,59,49,110,0,0,0,0,0,0,104,97,205,53,54,110,582,624,1201
UCL515002,503,483,987,25,21,46,0,5,5,0,0,4,0,0,0,0,3,0,70,66,138,0,0,0,0,0,0,0,0,0,0,0,0,73,73,143,9,9,16,0,0,5,101,106,205,44,23,68,653,608,1262
UCL515003,764,867,1630,86,115,202,0,0,5,0,4,3,4,0,7,0,0,0,95,139,233,0,0,3,4,4,6,0,0,0,0,0,0,103,155,256,0,0,7,5,5,9,192,275,468,86,92,177,1043,1233,2277
UCL515004,836,852,1691,35,33,63,8,9,15,30,10,42,11,4,17,3,0,4,102,86,192,0,0,0,0,0,0,0,3,5,0,0,0,156,113,277,16,4,21,0,0,0,206,150,361,77,59,135,1118,1064,2183
UCL515005,957,1012,1971,35,40,74,0,0,0,0,0,0,0,0,0,0,0,0,75,86,164,4,3,6,0,5,5,0,0,0,0,0,0,79,93,177,4,4,8,0,0,4,124,134,259,81,61,143,1164,1214,2377
UCL515006,1381,1337,2716,121,107,226,5,11,18,3,5,11,11,9,22,0,0,0,123,132,257,0,3,3,6,5,10,0,0,0,0,0,0,154,163,317,12,9,26,0,10,14,291,280,570,442,371,813,2110,1983,4098
UCL515007,743,749,1491,34,62,104,10,15,26,11,9,12,0,3,5,0,0,0,101,105,209,0,3,4,0,0,0,0,0,0,0,0,0,120,139,260,10,3,12,0,0,0,166,206,375,115,113,223,1026,1070,2095
UCL515008,490,437,927,39,32,73,3,0,3,0,0,3,0,6,8,0,0,0,62,63,125,0,0,0,0,0,3,0,0,0,0,4,0,70,72,146,0,5,5,0,0,0,111,108,217,63,71,129,658,611,1274
UCL515009,1021,1168,2190,88,79,164,0,0,0,3,10,13,5,4,5,0,0,0,119,129,246,0,0,0,0,4,4,0,0,0,0,0,0,127,145,273,0,0,6,4,8,13,225,230,459,138,138,277,1387,1538,2926
UCL515010,856,861,1717,88,85,174,5,4,9,5,3,13,11,13,23,3,4,6,87,102,189,0,0,0,7,9,15,0,0,0,0,0,0,118,128,245,10,7,19,4,8,11,216,227,442,372,433,806,1445,1519,2966
UCL515011,1027,1108,2129,82,100,181,4,0,4,4,7,10,4,0,11,0,0,0,96,128,224,0,0,3,0,4,5,0,0,0,0,0,0,104,146,249,4,4,12,9,0,7,197,255,445,100,78,179,1320,1434,2758
UCL515012,824,831,1660,62,53,118,0,5,5,3,0,5,4,0,5,0,0,0,108,137,252,0,0,0,0,5,5,0,0,0,0,0,0,113,151,269,6,9,9,4,3,4,183,220,402,66,45,114,1074,1106,2182
UCL515013,973,890,1863,124,130,251,13,12,32,9,4,11,15,13,26,6,4,13,121,138,258,0,0,0,4,3,9,0,0,0,0,0,0,159,179,342,18,16,35,13,7,20,310,338,647,152,103,254,1440,1326,2762
UCL515014,345,370,717,35,30,67,8,3,12,0,5,4,6,7,10,0,0,0,46,51,96,0,0,0,0,7,8,0,0,0,0,0,0,60,71,133,3,5,4,0,0,0,103,105,209,44,53,97,492,524,1015
UCL515015,1128,1125,2248,72,87,162,0,0,0,0,0,0,5,4,12,0,0,0,59,66,129,0,0,0,0,0,0,0,0,0,0,0,0,69,75,143,11,11,15,4,3,9,158,175,333,89,100,190,1372,1396,2771
UCL515016,561,542,1109,59,55,110,0,0,0,3,0,8,11,6,17,0,0,0,75,96,170,0,0,0,0,0,0,0,0,0,0,0,0,89,110,201,0,6,8,6,0,7,153,166,316,91,76,166,800,786,1587
UCL515017,453,405,861,33,33,68,0,0,0,0,0,0,3,8,11,0,0,3,47,52,94,0,0,0,0,0,0,0,0,0,0,0,0,55,60,113,0,3,3,0,4,4,93,102,193,118,97,210,667,603,1263
UCL515018,543,545,1089,48,49,93,0,5,6,7,3,11,17,13,28,4,0,4,68,58,124,0,0,0,0,3,0,0,0,0,0,0,0,95,81,178,6,5,10,0,0,6,145,132,283,144,130,277,834,802,1637
UCL515019,1369,1317,2688,121,128,247,0,0,0,0,0,0,0,6,9,3,0,5,83,94,177,4,0,0,0,0,0,0,0,0,0,0,0,96,106,199,33,8,38,0,4,4,243,247,495,228,189,414,1839,1760,3593
UCL515020,1335,1386,2720,157,202,360,15,18,32,18,24,49,25,36,59,0,4,15,131,175,312,0,0,4,16,15,34,0,0,0,0,0,0,216,280,496,10,15,24,18,11,27,403,503,911,414,411,825,2148,2300,4450
UCL515021,713,668,1375,22,20,40,0,0,0,4,0,11,0,0,3,0,0,0,71,70,138,0,0,0,0,0,0,0,0,0,0,0,0,75,81,151,3,4,9,0,0,4,100,102,202,38,28,68,847,799,1648
UCL515022,1649,1649,3300,111,118,226,6,3,13,3,5,3,3,0,5,0,0,0,120,143,263,0,4,3,0,0,4,0,0,0,0,0,0,136,159,290,13,9,18,9,3,10,265,287,548,135,111,244,2046,2047,4096
UCL515023,890,865,1746,81,73,148,8,4,12,0,0,0,0,5,4,0,0,0,75,79,154,0,0,0,0,0,0,0,0,0,0,0,0,82,93,172,4,3,6,0,0,0,165,161,332,154,120,268,1207,1143,2348
UCL515024,582,606,1188,37,45,81,0,0,0,3,5,5,0,0,3,0,0,0,35,41,77,0,0,0,0,0,0,0,0,0,0,0,0,45,45,91,4,0,3,0,4,4,79,94,180,109,107,214,770,806,1575
UCL515025,673,695,1371,55,71,119,0,0,0,0,0,0,0,0,0,0,0,0,54,54,108,0,0,0,0,0,0,0,0,0,0,0,0,51,61,110,3,3,8,4,0,4,113,130,245,126,131,259,913,959,1874
UCL515026,908,921,1826,12,15,24,0,0,0,0,0,0,0,0,0,0,0,0,109,116,226,0,0,0,0,0,0,0,0,0,0,0,0,108,121,230,3,0,3,0,4,5,131,139,269,81,53,134,1110,1109,2221
UCL515027,1297,1414,2711,105,113,221,0,3,3,5,3,7,7,0,9,0,0,0,132,147,276,0,0,0,3,3,5,0,0,0,0,0,0,150,163,309,25,14,32,0,3,4,281,289,574,235,203,435,1804,1911,3714
UCL515028,1408,1246,2650,183,206,389,14,15,32,18,9,28,30,34,64,6,5,9,200,204,404,3,0,3,10,9,12,0,0,0,0,0,0,275,272,555,19,20,41,9,4,11,487,511,992,267,251,515,2160,1998,4161
UCL515029,418,303,720,42,47,88,3,0,3,0,4,4,6,4,7,0,0,0,78,88,170,0,0,0,0,0,5,0,0,0,0,0,0,91,99,191,4,6,5,0,0,0,138,152,291,188,98,282,746,549,1297
UCL515030,1407,1570,2979,72,80,154,0,0,0,0,0,5,0,0,0,0,3,5,137,137,277,3,0,3,0,0,5,0,0,0,0,0,0,149,153,295,4,4,6,3,3,5,227,240,464,204,194,398,1842,2005,3848
UCL515031,1044,1112,2160,56,74,132,0,0,3,0,0,0,3,4,4,4,4,4,81,82,167,6,4,3,0,0,3,0,0,0,0,0,0,93,93,188,4,6,10,0,5,6,155,182,329,180,145,322,1377,1437,2816
UCL515032,600,573,1174,18,15,24,0,0,0,0,0,0,0,0,4,0,0,0,76,76,147,0,0,0,0,0,0,0,0,0,0,0,0,81,73,152,0,0,0,0,0,9,94,88,187,67,37,103,762,698,1460
UCL515033,968,887,1857,91,84,173,3,0,7,5,10,9,9,8,19,0,0,3,171,161,332,0,0,0,12,6,17,0,0,0,0,0,0,200,190,391,9,4,14,0,0,0,296,278,578,211,173,387,1479,1339,2818
UCL515034,1127,1069,2196,35,44,81,8,9,19,4,0,6,4,6,11,0,0,0,148,139,281,0,0,0,9,6,13,5,0,4,0,0,0,178,160,339,12,6,18,0,0,0,221,216,436,113,79,190,1468,1359,2823
UCL515035,480,476,953,42,45,85,0,0,0,0,0,5,0,0,0,0,0,3,37,51,89,0,0,0,0,0,0,0,0,0,0,0,0,39,56,98,0,0,0,0,0,3,85,100,185,82,82,159,640,657,1297
UCL515036,880,950,1832,41,56,101,3,0,7,5,9,13,7,3,5,0,0,0,85,96,182,0,0,0,0,0,0,0,0,0,0,0,0,104,108,208,0,0,4,5,0,5,149,168,317,104,96,196,1134,1209,2348
UCL515037,697,526,1221,86,74,156,4,0,9,3,0,4,7,7,15,0,0,0,94,94,192,0,0,0,0,0,0,0,0,0,0,0,0,116,109,223,3,7,5,0,0,0,200,182,385,229,152,374,1129,853,1981
UCL515038,902,965,1863,52,70,123,3,3,5,0,3,3,0,0,0,0,0,0,82,71,150,0,0,0,0,0,7,0,0,0,0,0,0,91,79,169,3,0,6,4,0,4,154,148,300,122,100,223,1177,1213,2389
UCL521001,228,220,446,12,4,17,0,0,0,0,0,0,0,0,0,0,0,0,15,17,32,0,0,0,0,0,0,0,0,0,0,0,0,15,17,32,0,0,0,0,0,0,29,24,51,7,4,15,265,250,514
UCL521002,302,312,613,7,3,11,0,3,9,0,0,4,0,0,0,0,0,0,38,26,66,0,0,0,0,0,0,0,0,0,0,0,0,40,36,75,4,3,7,0,0,3,52,36,92,41,38,84,396,391,792
UCL521003,325,344,672,14,13,25,0,0,0,0,0,0,0,0,0,0,0,0,31,32,62,0,0,0,3,0,4,0,0,0,0,0,0,34,34,67,0,0,0,0,0,0,45,46,90,56,48,104,429,440,867
UCL521004,222,259,481,14,6,23,6,0,5,3,0,8,0,0,0,0,0,0,11,24,35,0,0,0,0,0,0,0,0,0,0,0,0,18,26,48,0,0,0,4,0,6,38,36,76,10,12,24,271,310,580
UCL521005,396,372,773,44,36,81,7,0,6,0,0,0,0,0,7,0,0,0,54,67,116,0,0,0,0,0,0,0,0,0,0,0,0,62,71,130,5,6,6,4,3,7,111,115,229,62,60,121,572,545,1114
UCL521006,338,384,721,6,5,12,0,0,0,0,5,4,0,0,0,0,0,0,31,32,66,0,0,0,0,0,0,0,0,0,0,0,0,34,38,76,0,0,0,3,4,3,44,45,87,27,27,53,409,456,865
UCL521007,158,198,359,19,32,52,0,0,0,0,0,0,0,0,0,0,0,0,25,16,45,0,0,0,0,0,0,0,0,0,0,0,0,25,16,45,0,0,0,0,0,0,40,55,95,36,41,72,240,291,531
UCL521008,189,200,383,6,19,28,0,0,0,4,0,3,0,0,0,0,0,0,20,17,36,0,0,0,0,0,0,0,0,0,0,0,0,22,15,39,0,0,0,0,0,0,31,35,65,38,44,82,255,272,527
UCL521009,211,199,402,7,25,32,0,0,0,0,0,0,0,0,0,0,0,0,23,21,43,0,0,0,0,0,0,0,0,0,0,0,0,23,21,46,0,0,0,3,0,3,38,45,78,38,35,77,288,273,558
UCL521010,295,295,590,6,11,22,0,0,0,3,3,4,0,0,0,0,0,0,36,46,86,0,0,0,0,0,0,0,0,0,0,0,0,42,49,90,0,0,3,0,0,0,50,69,119,46,39,83,396,397,793
UCL521011,235,265,502,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,29,23,50,0,0,0,0,0,0,0,0,0,0,0,0,31,29,55,0,0,0,4,0,5,34,29,67,10,6,20,285,298,583
UCL521012,217,219,440,9,7,12,4,8,8,0,0,0,3,0,3,0,0,0,19,20,37,0,0,0,0,0,5,0,0,0,0,0,0,24,27,48,0,0,0,0,3,3,28,39,65,13,13,31,263,271,533
UCL521013,399,381,777,9,7,17,0,0,0,0,0,0,0,0,0,0,0,0,17,27,50,0,0,0,0,0,0,0,0,0,0,0,0,18,27,49,3,3,7,0,0,0,37,38,70,24,22,43,455,439,897
UCL521014,265,209,476,11,17,24,0,0,0,5,5,5,0,0,0,4,3,4,32,27,56,3,4,8,4,0,4,0,0,0,0,0,0,43,40,83,0,0,5,7,5,9,54,59,122,78,80,163,401,356,759
UCL521015,222,232,455,23,32,60,0,0,0,0,0,0,0,0,0,0,0,0,26,19,50,0,0,0,0,0,0,0,0,0,0,0,0,26,19,50,0,0,0,0,0,0,54,55,112,23,31,51,303,318,621
UCL521016,276,251,523,13,14,24,0,0,0,0,0,6,0,0,0,0,0,0,22,11,41,0,0,0,0,0,0,0,0,0,0,0,0,27,13,45,0,4,4,0,0,0,42,32,72,26,26,51,340,310,653
UCL521017,264,260,523,17,17,34,0,0,0,0,0,0,0,0,3,0,0,0,20,13,38,0,0,0,0,0,0,0,0,0,0,0,0,24,19,39,5,6,7,3,0,3,44,40,84,52,41,95,360,344,701
UCL521018,240,223,463,4,5,11,0,0,0,0,0,0,0,0,0,0,0,0,26,24,42,0,0,6,0,0,0,0,0,0,0,0,0,26,23,49,0,0,0,0,0,0,32,31,56,9,4,15,275,261,535
UCL521019,233,234,466,17,22,34,0,0,4,0,3,5,4,7,7,0,0,0,16,27,45,0,0,0,0,0,0,0,0,0,0,0,0,26,34,62,0,0,0,3,3,3,45,54,105,71,78,152,351,365,719
UCL521020,327,283,606,0,0,3,0,0,0,0,0,0,0,4,7,0,0,0,41,49,90,0,0,0,0,0,0,0,0,0,0,0,0,40,53,95,4,4,4,0,4,3,45,65,110,26,16,43,396,360,764
UCL521021,336,347,681,27,26,52,0,0,0,6,4,7,0,0,0,3,3,5,32,34,67,0,0,0,0,0,0,0,0,0,0,0,0,45,45,87,3,0,3,0,0,0,73,70,148,31,36,65,442,445,894
UCL521022,277,283,557,23,21,41,3,0,7,0,0,0,0,0,0,0,0,0,16,8,30,0,0,0,0,0,0,0,0,0,0,0,0,17,11,31,0,0,4,0,0,0,41,38,79,49,41,87,363,356,717
UCL521023,226,218,444,16,7,31,0,3,3,0,0,0,0,0,0,0,0,0,22,18,37,0,0,0,0,0,0,0,0,0,0,0,0,19,16,39,0,0,0,0,0,0,42,30,71,23,28,49,289,274,564
UCL521024,541,620,1162,30,27,57,0,0,3,3,0,5,8,10,17,0,3,3,42,54,99,6,0,6,3,0,10,0,0,0,0,0,0,67,76,142,0,8,8,0,0,4,97,113,210,112,89,205,759,820,1577
UCL521025,251,246,500,27,24,48,4,0,3,0,0,0,11,10,18,0,0,0,44,52,101,0,0,0,0,0,0,0,0,0,0,0,0,65,64,121,14,10,24,0,0,0,100,102,202,35,33,64,380,388,764
UCL521026,345,344,684,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,25,35,0,0,0,0,0,0,0,0,0,0,0,0,11,23,33,0,0,4,0,0,0,16,23,43,19,23,40,380,393,770
UCL521027,219,182,398,17,23,38,5,0,5,6,4,8,3,3,6,5,4,4,26,25,49,0,0,0,0,0,0,0,0,0,0,0,0,37,30,69,3,6,8,0,0,4,64,55,115,155,126,276,435,357,791
UCL521028,293,321,618,14,15,30,0,0,0,0,0,0,0,0,0,0,0,0,25,14,39,0,0,0,0,0,0,0,0,0,0,0,0,23,16,37,0,0,0,0,0,0,38,27,69,58,49,113,395,402,794
UCL521029,342,328,665,26,22,53,0,0,0,0,0,0,4,0,3,0,0,0,28,27,55,0,0,0,0,0,0,0,0,0,0,0,0,26,30,58,5,0,9,0,0,0,61,53,114,38,40,81,443,421,860
UCL521030,259,246,509,19,33,51,0,3,5,0,0,3,0,5,4,0,0,0,34,28,55,0,0,0,0,0,0,0,0,0,0,0,0,33,35,68,14,30,42,0,0,5,70,89,160,43,37,77,374,374,743
UCL521031,172,167,343,12,14,25,0,5,10,0,0,0,0,0,3,0,0,0,26,17,46,0,0,0,0,0,5,0,0,0,0,0,0,33,25,61,0,4,6,0,0,0,52,44,94,85,43,128,311,252,559
UCL521032,218,204,420,14,17,27,0,0,0,0,0,0,5,0,10,0,3,8,29,31,53,0,0,0,0,8,7,0,0,0,0,0,0,35,39,68,0,0,0,0,0,0,47,50,102,67,70,135,328,326,657
UCL521033,119,109,232,4,4,4,0,0,0,0,0,0,0,0,4,0,0,0,10,15,30,0,0,0,0,0,0,4,0,4,0,0,0,20,23,33,0,0,0,0,0,0,23,21,46,165,137,301,305,269,575
UCL521034,313,300,615,5,9,10,0,0,0,0,0,0,0,0,0,4,0,6,37,32,69,0,0,0,0,0,0,0,0,0,0,0,0,37,35,71,0,0,0,0,0,0,42,40,84,31,26,58,389,368,757
UCL521035,208,200,406,7,8,15,0,0,0,0,0,0,0,0,0,0,0,0,25,34,58,0,0,0,0,0,0,0,0,0,0,0,0,24,34,58,0,0,0,0,0,0,30,43,74,29,28,59,266,272,536
UCL521036,197,165,367,14,14,29,0,0,3,0,0,0,5,3,10,0,0,0,13,26,38,0,0,0,0,0,0,0,0,0,0,0,0,27,27,52,0,0,4,0,0,0,36,43,82,58,44,100,297,257,551
UCL521037,407,397,801,16,18,33,5,0,5,0,0,0,0,0,0,0,0,0,40,47,88,0,0,0,0,0,0,0,0,0,0,0,0,40,52,88,0,0,0,0,3,0,61,69,127,30,27,56,491,488,985
UCL521038,312,320,627,18,15,41,0,0,0,0,0,0,0,0,0,0,0,0,15,10,22,0,0,0,5,0,5,0,0,0,0,0,0,14,15,29,3,0,4,0,0,0,37,32,73,71,53,118,417,403,817
UCL521039,326,320,646,27,23,45,0,7,3,0,0,0,0,0,0,0,0,0,31,33,62,0,0,0,0,0,0,0,0,0,0,0,0,30,41,70,0,0,0,0,0,0,60,61,123,27,21,49,409,407,818
UCL521040,228,233,466,27,21,47,0,0,0,3,0,3,3,7,8,0,3,7,49,39,92,0,0,0,0,0,0,0,0,0,0,0,0,63,48,110,0,0,0,0,0,0,83,75,159,82,90,171,394,395,791
UCL521041,226,192,418,8,7,13,0,6,4,5,3,12,10,8,15,0,4,8,77,81,158,0,0,0,0,0,0,0,0,0,0,0,0,98,96,196,3,4,0,0,0,0,105,111,214,9,12,25,347,314,662
UCL521042,244,244,485,25,20,41,0,0,3,0,0,0,0,3,3,0,0,0,10,13,22,0,0,0,0,0,0,0,0,0,0,0,0,14,18,30,0,3,4,0,0,0,39,34,79,23,31,53,306,309,616
UCL521043,183,209,392,12,14,25,0,0,0,0,0,0,0,0,0,0,0,0,28,24,57,0,0,0,0,0,0,0,0,0,0,0,0,29,27,59,0,0,0,0,0,0,47,44,82,16,23,36,242,273,514
UCL521044,299,283,582,17,20,36,0,0,0,0,0,0,0,0,0,0,0,0,24,24,47,0,0,0,0,0,0,0,0,0,0,0,0,30,26,48,0,0,0,0,0,0,41,42,86,31,28,58,369,349,722
UCL521045,182,208,387,9,21,25,0,0,0,0,0,0,0,0,0,0,0,0,5,13,21,0,0,0,0,0,0,0,0,0,0,0,0,5,13,21,0,0,0,0,0,0,19,32,44,76,70,143,273,305,576
UCL521046,244,242,485,35,33,66,0,0,0,0,0,3,0,0,0,0,0,0,32,40,69,0,0,0,0,0,0,0,0,0,0,0,0,32,42,77,0,0,0,4,4,7,69,77,148,29,24,53,344,344,681
UCL521047,199,178,372,13,13,28,0,0,0,3,0,6,0,0,0,5,0,5,35,27,62,0,0,0,0,0,4,0,0,0,0,0,0,42,30,70,0,4,6,0,0,0,53,46,102,22,17,43,279,240,516
UCL521048,351,347,697,17,24,44,0,0,4,0,0,3,0,0,0,0,0,0,38,47,82,0,6,9,0,0,0,0,0,0,0,0,0,39,58,100,0,0,0,0,0,0,61,81,140,53,49,110,464,480,946
UCL521049,207,222,423,14,12,26,0,0,0,0,0,0,0,0,0,4,4,3,4,3,12,0,0,0,0,0,0,0,0,0,0,0,0,12,11,21,0,0,0,0,0,3,25,24,51,11,15,24,246,257,503
