UCL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
UCL521018,11,0,11,94,39,7,136,279,15,440
UCL521019,3,5,8,64,17,6,86,426,117,625
UCL521020,9,6,8,90,54,4,149,456,46,653
UCL521021,14,0,13,154,43,13,214,432,48,686
UCL521022,6,0,4,124,59,6,188,331,73,592
UCL521023,8,0,12,91,31,9,130,266,40,449
UCL521024,0,3,3,138,118,27,282,708,207,1200
UCL521025,9,6,15,120,20,7,142,411,66,617
UCL521026,5,0,3,131,44,11,189,376,41,607
UCL521027,0,0,4,100,36,10,149,264,220,633
UCL521028,35,9,39,73,29,5,112,514,78,702
UCL521029,35,7,42,116,49,5,175,485,67,723
UCL521030,16,5,25,59,42,0,108,509,67,677
UCL521031,4,0,4,50,26,13,87,282,109,480
UCL521032,0,0,0,75,44,3,119,294,120,533
UCL521033,0,0,9,44,14,0,53,180,224,465
UCL521034,11,0,11,116,45,4,165,434,46,647
UCL521035,14,3,19,51,19,0,78,347,48,470
UCL521036,4,0,3,42,12,0,56,343,94,491
UCL521037,11,0,11,147,49,5,201,524,55,788
UCL521038,39,8,44,73,39,5,121,473,105,695
UCL521039,11,3,19,137,52,13,202,422,48,673
UCL521040,4,0,6,135,35,20,191,290,126,612
UCL521041,0,0,0,183,13,25,221,203,26,446
UCL521042,26,4,29,74,16,5,102,381,49,531
UCL521043,4,0,4,75,35,5,112,285,26,425
UCL521044,19,5,23,70,38,3,109,452,52,611
UCL521045,26,9,34,36,25,3,61,321,125,504
UCL521046,3,0,3,73,83,13,172,323,54,554
UCL521047,13,0,12,57,23,4,80,321,44,440
UCL521048,32,3,34,90,63,8,165,557,87,808
UCL521049,0,0,0,94,98,20,213,161,38,406
UCL521050,19,0,19,111,38,6,152,396,49,593
UCL521051,12,0,10,118,48,6,166,469,66,698
UCL521052,0,4,0,95,50,7,149,297,129,575
UCL522001,0,0,3,30,112,58,201,134,21,358
UCL522002,9,0,9,28,24,7,54,176,15,248
UCL522003,0,0,4,36,49,16,100,95,23,218
UCL522004,0,0,0,50,26,8,83,136,9,228
UCL522005,0,0,0,57,24,0,78,111,20,214
UCL522006,8,0,8,79,34,5,115,229,18,369
UCL522007,4,3,9,20,9,0,27,149,8,191
UCL522008,4,0,4,17,5,0,29,127,19,166
UCL522009,0,0,0,53,15,9,73,212,30,313
UCL522010,5,8,10,61,17,6,85,173,59,313
UCL522011,9,0,9,40,7,0,49,165,44,265
UCL522012,12,4,16,58,20,0,77,304,37,416
UCL522013,5,0,8,73,23,0,99,236,30,359
UCL522014,0,0,0,31,14,0,49,112,9,167
UCL522015,0,0,0,25,6,0,29,168,18,217
UCL522016,0,3,5,37,6,4,43,142,35,221
UCL522017,5,0,5,50,18,0,68,226,31,323
UCL522018,0,0,0,0,0,0,0,101,24,130
UCL522019,11,3,8,13,10,0,24,105,27,155
UCL522020,0,0,0,27,26,9,66,104,18,184
UCL522021,3,0,4,43,28,0,76,193,14,289
UCL522022,0,0,0,28,10,5,44,125,32,205
UCL522023,9,0,9,46,10,0,53,192,26,279
UCL522024,3,4,10,26,19,0,44,180,13,232
UCL522025,20,6,20,56,18,3,74,253,68,391
UCL522026,4,0,10,23,14,4,32,224,13,276
UCL522027,7,0,7,54,15,8,73,202,22,304
UCL522028,0,0,5,16,12,0,26,98,16,137
UCL522029,3,0,3,84,24,3,109,170,17,298
UCL522030,0,0,0,43,15,6,61,104,34,198
UCL522031,0,0,0,22,70,30,118,65,4,187
UCL522032,0,0,0,35,118,3,158,95,34,292
UCL522033,3,0,4,40,9,0,48,281,37,370
UCL522034,0,0,0,28,24,0,47,97,5,146
UCL522035,8,0,10,24,12,0,39,135,16,193
UCL522036,0,0,0,27,16,0,39,137,12,185
UCL522037,6,0,9,43,20,0,69,133,32,234
UCL522038,8,0,9,92,17,3,116,242,22,379
UCL522039,5,0,5,47,11,0,60,231,60,345
UCL522040,3,0,3,14,20,0,34,147,22,204
UCL522041,4,3,8,37,29,0,62,193,44,306
UCL522042,0,0,0,79,17,4,99,124,54,277
UCL522043,0,0,0,63,45,0,109,155,24,283
UCL522044,0,0,0,7,15,8,34,77,22,136
UCL522045,0,0,0,20,24,30,78,38,21,142
UCL522046,6,4,9,27,5,0,32,136,46,210
UCL522047,12,8,18,42,13,3,55,198,99,349
UCL522048,4,4,11,34,14,3,48,157,23,234
UCL522049,3,0,3,27,14,3,45,136,72,248
UCL522050,24,13,36,57,22,4,84,214,58,357
UCL522051,4,0,4,33,12,0,44,146,18,210
UCL522052,0,0,0,4,36,21,55,51,17,124
UCL522053,0,0,0,24,32,9,63,39,19,124
UCL522054,4,4,5,26,7,0,33,84,28,140
UCL522055,0,0,0,40,11,0,41,127,27,198
UCL522056,8,0,8,60,17,4,78,173,31,285
UCL522057,0,0,0,17,3,0,22,110,22,149
UCL522058,8,0,8,20,12,7,34,147,41,228
UCL522059,7,0,6,37,20,3,55,175,54,286
UCL522060,0,0,0,7,11,0,18,28,0,50
UCL522061,5,0,8,27,11,0,36,256,18,308
UCL522062,0,0,0,46,39,7,94,67,0,168
UCL522063,0,0,0,22,37,16,81,40,20,143
UCL522064,0,0,0,39,90,49,181,141,27,344
UCL522065,3,4,5,25,8,6,37,133,42,212
UCL522066,6,3,13,69,22,8,99,172,50,316
UCL522067,0,0,0,15,12,0,31,123,46,200
UCL522068,3,3,5,62,27,4,95,226,42,364
UCL522069,4,0,4,26,9,0,37,191,35,266
UCL522070,3,0,4,56,21,4,72,184,24,277
UCL522071,0,0,0,101,32,10,141,131,24,295
UCL531001,1459,163,1649,22671,9678,1289,33636,84053,19374,137066
UCL579997,0,0,0,40,5,3,45,248,221,516
UCL599994,12,23,30,613,205,45,861,3063,3361,7285
