UCL_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
UCL513005,53,0,89,0,0,4,6,15,0,21,0,0,0,4,0,0,4,0,0,5,15,10,0,36,0,0,5,6,8,0,21,7,0,24,16,29,3,73,0,4,6,18,27,0,60,5,5,18,12,27,3,75,14,33,83,36,78,11,248,16,23,118,102,151,18,427,3,0,6,6,14,0,24,0,0,11,28,54,0,91,0,0,3,11,8,9,42,62,74,352,345,621,68,1523,6,0,9,8,19,18,58,0,0,21,45,259,15,343,0,4,20,25,62,0,113,0,0,3,0,20,0,29,0,0,21,47,338,13,419,3,0,9,14,45,7,70,5,5,18,45,111,6,193,0,0,22,37,92,7,161,0,0,17,15,50,0,85,0,0,5,3,14,0,17,0,0,13,22,19,0,55,0,0,5,14,21,3,38,10,3,45,32,55,3,150,5,4,12,27,56,3,102,9,12,40,36,73,11,178,31
UCL514001,49,0,55,0,0,0,3,11,0,13,0,0,0,0,0,0,5,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,3,12,0,22,0,0,0,3,9,0,12,4,0,3,11,24,0,41,3,13,41,21,66,4,154,7,3,38,36,101,4,195,0,0,0,0,7,0,4,0,0,0,13,22,0,39,0,0,0,5,7,5,15,14,25,106,121,433,25,730,0,0,0,5,4,0,4,0,4,9,16,235,15,275,6,0,6,6,108,3,132,0,0,0,7,106,4,125,0,0,3,5,95,3,103,0,0,0,0,4,0,5,0,0,9,4,66,8,89,0,0,3,7,64,3,78,0,0,0,3,34,0,38,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,6,0,8,0,0,5,9,22,0,40,0,0,0,3,25,0,26,4,4,9,15,47,0,82,0
UCL514002,68,8,173,0,0,3,0,0,0,5,0,0,4,0,3,0,4,0,0,9,10,5,0,25,0,0,14,16,11,9,45,4,3,39,20,22,0,90,0,4,13,11,19,0,50,0,0,16,6,10,0,36,16,28,94,16,34,6,193,13,25,111,58,39,3,254,0,0,12,14,0,0,25,0,0,3,13,32,5,58,4,0,19,9,10,8,56,62,72,468,283,353,53,1302,0,0,14,4,13,0,32,3,5,31,21,130,4,196,9,3,53,21,70,5,162,0,0,0,3,11,0,20,0,5,34,62,249,7,359,0,0,9,9,14,4,39,9,0,48,36,76,15,179,15,6,77,58,130,12,300,0,0,6,6,20,0,35,0,0,7,0,3,0,11,5,3,16,16,5,3,42,0,0,23,24,16,9,79,17,9,84,32,36,3,175,0,4,22,19,43,0,87,0,4,26,12,25,0,73,24
UCL514003,72,10,159,0,0,3,0,5,4,12,0,0,3,0,0,0,5,0,0,4,7,10,0,14,0,0,8,9,7,0,17,6,3,26,18,12,0,65,4,0,19,8,24,3,56,10,3,22,7,14,3,59,15,28,93,30,51,3,225,26,24,99,57,57,4,274,0,0,3,4,11,0,16,3,3,8,8,34,4,59,0,0,6,10,11,8,51,87,82,458,259,415,51,1346,0,0,32,23,24,3,84,6,3,32,26,114,4,186,13,9,113,46,88,5,269,0,0,0,3,23,4,28,0,4,25,18,195,9,254,0,0,13,13,16,3,44,5,4,63,31,91,3,198,7,5,58,67,137,16,292,0,0,11,12,23,7,49,3,0,8,0,4,0,13,4,4,7,13,5,0,27,0,0,12,10,10,0,32,17,3,48,29,23,0,122,5,0,30,14,56,3,104,9,0,27,21,36,3,101,24
UCL514004,28,5,36,0,0,4,8,6,0,15,0,0,0,0,0,0,0,0,0,10,0,5,0,12,0,0,0,0,11,3,12,3,0,5,0,15,5,34,0,0,4,7,8,3,22,10,4,20,19,32,0,80,17,15,42,14,37,4,130,21,8,62,48,65,7,211,0,0,0,0,0,0,0,0,0,4,4,22,4,35,0,0,0,3,6,3,17,55,41,173,127,311,47,747,0,0,5,4,19,3,33,0,0,5,3,32,0,44,0,0,11,4,41,3,64,0,0,7,5,38,0,51,0,0,4,13,111,3,128,0,0,3,5,30,0,36,0,4,12,16,76,7,117,0,0,5,8,45,4,69,0,4,4,10,54,0,73,0,0,0,0,5,0,5,0,0,12,4,7,0,20,0,0,0,0,14,3,19,8,5,16,9,22,5,62,0,0,4,5,13,3,30,12,6,31,27,72,8,162,20
UCL515001,11,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,4,4,0,8,3,3,0,17,5,3,3,9,12,0,31,0,0,0,0,0,0,4,0,0,0,0,3,0,5,0,0,0,3,0,0,7,9,8,28,36,47,8,137,4,0,0,3,3,3,15,0,0,0,0,11,0,11,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,6,3,25,0,34,0,0,0,5,0,0,9,0,0,8,3,12,0,31,0,0,3,10,15,3,27,0,0,3,4,3,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,8,0,0,10,4,3,0,12,0,0,0,0,5,0,14,0,0,0,3,4,0,8,4
UCL515002,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,3,3,4,6,0,14,0,5,22,10,10,0,45,4,4,14,12,22,0,63,0,0,0,0,0,0,0,0,0,0,6,3,0,8,0,0,0,0,0,0,5,12,16,52,37,80,6,203,0,0,6,0,3,0,6,6,0,0,5,36,4,49,0,0,5,3,44,0,52,0,0,0,0,11,0,15,0,0,0,7,36,0,44,0,0,5,0,5,0,12,0,0,4,3,11,4,18,0,0,0,0,0,0,5,0,0,0,3,3,0,6,0,0,0,0,4,0,3,0,0,0,5,3,0,12,0,0,0,0,5,0,7,0,0,6,3,8,0,19,0,0,0,0,5,0,7,3,3,3,3,4,0,22,0
UCL515003,7,0,22,0,0,0,6,3,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,5,0,0,9,0,0,4,6,7,0,13,0,0,0,4,7,0,9,0,0,7,3,12,0,24,0,6,29,9,16,0,68,4,6,26,25,33,0,91,0,0,0,3,0,0,7,0,0,0,0,9,0,17,0,0,0,0,0,0,4,11,16,88,74,134,16,336,0,0,0,4,10,3,23,0,4,12,11,49,4,77,0,0,0,7,10,0,18,0,0,3,0,17,0,21,0,0,0,4,36,3,45,0,0,5,0,3,0,10,0,0,8,12,27,0,54,0,0,3,6,15,3,32,0,0,0,9,9,0,14,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,3,5,0,0,9,0,0,10,9,9,0,24,0,0,0,4,6,0,14,0,5,12,5,19,0,40,8
UCL515004,15,0,18,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,0,0,4,0,4,0,0,4,0,10,0,19,0,0,0,3,8,0,9,0,0,16,6,5,0,29,0,6,14,4,19,0,36,0,0,17,9,32,0,64,0,0,0,0,4,0,4,0,0,0,6,17,0,20,0,0,4,0,7,0,11,8,12,60,42,185,3,306,0,0,7,0,10,0,13,0,0,0,7,59,0,64,0,0,5,6,29,0,42,0,0,0,0,5,0,5,0,0,0,0,53,0,58,0,0,0,0,19,0,24,0,0,0,0,32,0,36,0,0,0,0,17,0,26,0,0,0,0,25,0,27,0,0,0,0,4,0,9,0,0,0,4,7,0,4,0,0,0,0,0,0,4,0,0,4,0,17,0,25,0,0,0,3,19,0,20,5,0,49,21,20,0,100,0
UCL515005,5,0,12,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,7,0,9,0,14,0,4,4,3,7,0,25,0,9,14,6,15,0,50,3,7,22,19,54,5,113,0,0,0,0,0,0,4,0,0,3,3,12,0,17,0,0,0,0,0,0,0,10,21,66,60,157,11,327,0,0,4,0,18,3,24,0,0,5,3,39,0,48,0,0,3,0,19,0,30,0,0,0,3,6,0,8,0,0,0,5,54,4,63,0,0,7,0,4,0,4,0,0,4,10,31,0,45,0,0,0,5,9,0,12,0,0,4,3,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,13,0,17,0,0,9,3,18,4,30,0,4,4,13,33,3,53,0
