UCL_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL515013,20,11,8,3,0,0,64,0,8,10,10,5,3,0,0,32,17,125,81,46,27,13,0,0,314,7,47,51,41,30,5,3,0,190,52,146,126,108,88,43,24,4,579,16,9,9,9,3,0,0,0,55,0,3,3,9,6,7,7,0,40,70,162,138,126,102,52,28,4,674,0,3,0,5,7,0,0,0,15,41,45,43,42,43,39,15,3,273,137,411,349,288,209,119,44,9,1555
UCL515014,9,0,8,4,0,0,31,0,4,0,4,5,0,0,0,15,6,38,10,20,8,0,0,0,83,0,5,13,3,3,3,0,0,32,10,30,22,13,11,8,0,0,90,0,4,5,5,3,0,0,0,21,0,5,4,4,5,0,0,0,17,12,36,30,18,20,8,0,0,120,0,0,0,0,0,0,0,0,0,31,31,12,13,18,7,0,0,112,50,126,78,60,61,15,0,0,392
UCL515015,4,5,4,0,3,0,19,0,7,5,4,0,4,0,0,26,9,71,60,42,20,10,10,3,214,7,27,21,25,18,17,12,3,130,48,93,81,82,55,46,27,11,439,10,6,3,4,8,3,0,0,34,4,0,0,12,9,8,6,0,30,54,105,87,95,68,56,35,11,504,7,7,7,0,0,0,0,0,27,23,29,19,39,30,38,43,27,248,101,244,205,207,147,124,102,48,1174
UCL515016,0,3,0,4,0,0,16,0,0,9,4,0,0,0,0,13,0,29,18,16,21,17,3,0,112,0,14,18,17,28,27,11,0,113,10,49,41,47,65,60,25,0,295,4,9,0,0,0,3,0,0,22,0,0,9,10,4,4,3,0,25,14,57,43,53,75,68,31,0,347,0,0,0,3,0,3,3,0,8,18,15,28,29,23,39,19,12,172,38,123,115,126,154,158,58,14,786
UCL515017,0,0,5,7,0,0,16,0,0,4,3,4,0,0,0,10,4,11,7,18,12,3,6,4,64,0,8,8,16,10,13,8,0,72,18,28,27,44,49,53,14,8,240,0,0,10,5,4,3,0,0,17,0,0,0,4,4,5,3,0,15,20,34,34,46,57,57,20,8,272,0,0,0,0,0,0,0,0,4,14,17,23,33,45,49,17,4,210,45,70,82,122,132,133,50,11,642
UCL515018,3,3,5,0,0,0,13,0,0,8,0,0,0,0,0,9,7,15,11,10,10,0,0,0,58,0,14,16,12,13,4,0,0,49,28,68,49,58,54,17,6,0,275,3,5,7,3,0,0,0,0,29,0,0,5,3,3,4,0,0,19,35,67,63,68,59,16,6,0,320,0,0,4,3,0,0,0,0,10,46,37,50,47,32,21,12,6,257,84,142,146,147,113,47,22,6,704
UCL515019,8,6,3,0,0,0,28,0,3,7,6,3,0,0,0,32,6,40,42,25,33,22,7,0,177,6,23,18,28,25,21,8,0,127,74,108,87,70,65,37,23,3,465,27,10,6,5,11,4,3,0,67,6,14,10,11,4,3,0,0,48,109,134,102,79,76,47,23,4,581,0,5,0,0,0,5,6,0,19,66,61,63,48,57,53,34,23,405,193,278,242,195,201,143,82,33,1361
UCL515020,32,17,24,7,0,0,113,0,24,15,11,14,0,0,0,68,33,181,107,71,48,13,4,0,458,10,62,56,36,51,15,0,0,232,55,148,124,121,70,29,11,0,562,14,18,3,0,6,5,0,0,47,9,9,4,9,11,4,0,0,42,77,172,134,135,85,37,12,0,657,0,9,3,0,3,0,0,0,23,126,195,124,124,88,53,22,14,747,258,685,471,400,308,124,39,14,2301
UCL515021,6,7,9,14,3,0,41,0,8,10,9,9,6,3,0,34,0,20,31,42,38,35,12,0,179,0,11,15,25,31,26,14,0,133,32,42,59,48,62,43,16,4,310,15,4,5,7,0,0,0,0,26,0,0,6,10,15,12,0,0,44,47,50,70,58,75,60,18,5,379,0,0,0,7,5,3,3,0,18,10,11,11,17,19,14,12,8,106,65,97,137,162,178,154,67,22,882
UCL515022,8,8,3,0,0,0,28,0,5,11,9,3,3,0,0,36,13,58,52,36,25,31,6,4,226,11,31,35,38,39,29,13,0,195,90,140,120,105,111,77,35,12,682,44,33,7,3,6,6,0,0,101,9,9,6,9,18,9,4,0,62,139,177,131,121,138,87,39,12,842,0,0,0,3,3,7,0,0,13,43,22,31,48,30,49,46,20,292,196,302,275,265,245,207,104,32,1639
UCL515023,10,9,3,3,0,0,35,0,3,0,6,0,3,0,0,19,8,28,33,20,18,9,0,0,123,5,17,16,16,24,9,3,3,99,52,78,65,53,62,32,14,0,356,19,16,9,8,7,3,0,0,54,0,5,0,6,6,0,0,0,26,72,100,75,70,77,43,14,0,440,0,0,0,4,0,3,0,0,12,36,52,43,35,39,44,25,13,292,126,208,180,155,160,106,50,19,1016
UCL515024,5,0,3,0,0,0,17,0,5,0,0,6,0,0,0,15,4,14,17,11,15,6,0,0,76,0,6,9,9,16,5,8,0,45,21,57,35,28,46,37,3,0,231,12,5,0,4,4,4,0,0,28,0,8,0,6,0,0,4,0,15,30,60,36,35,51,42,10,0,275,0,0,0,0,0,0,0,0,8,25,26,26,36,32,35,22,12,224,65,117,102,94,116,96,41,19,653
UCL515025,5,6,4,0,0,0,14,0,0,3,3,0,0,0,0,8,0,15,12,21,20,21,0,4,99,0,6,16,25,33,16,12,5,115,41,50,46,52,37,30,13,8,285,4,4,4,5,9,5,3,0,33,3,0,3,0,5,3,0,0,22,55,55,55,61,52,40,16,8,339,0,0,0,0,0,0,0,0,3,31,19,27,31,32,41,42,34,259,90,94,123,143,144,119,72,49,837
UCL515026,6,5,4,5,0,0,17,0,10,0,0,3,0,0,0,22,11,51,28,16,16,13,0,0,137,7,40,35,30,23,13,0,0,140,76,156,76,81,58,27,7,5,493,20,11,6,4,0,0,0,0,45,0,9,8,6,12,4,0,0,31,95,167,89,94,77,32,8,5,564,0,3,0,0,4,0,0,0,10,14,32,15,24,22,13,7,5,135,127,308,175,170,140,70,27,6,1027
UCL515027,9,8,6,4,0,0,41,0,5,6,7,15,9,0,0,53,22,83,58,41,48,26,14,8,293,6,31,31,47,46,37,13,6,212,55,125,91,88,81,76,28,4,549,30,13,3,7,3,0,0,0,59,0,0,3,11,10,5,0,0,34,88,142,97,107,99,78,29,7,646,0,4,8,4,0,0,0,0,16,65,61,59,65,50,62,50,54,473,192,331,268,279,263,217,108,69,1732
UCL515028,25,11,4,5,0,0,62,0,14,10,6,7,0,0,0,35,17,119,79,62,25,6,0,0,304,6,62,77,59,24,11,0,0,235,73,268,256,142,97,15,0,0,847,22,23,11,4,9,0,0,0,74,7,14,16,10,7,0,0,0,50,100,299,287,156,109,15,0,0,966,0,3,0,0,5,0,0,0,6,63,133,100,73,49,15,0,0,428,183,648,566,364,219,48,5,0,2041
UCL515029,3,0,4,0,0,0,12,0,0,0,6,4,0,0,0,7,0,18,26,9,0,0,0,0,55,0,12,19,16,16,0,0,0,68,12,67,97,54,29,3,0,0,253,4,4,8,0,0,0,0,0,13,0,8,0,0,0,0,0,0,9,14,75,98,57,32,3,0,0,278,3,0,0,0,4,0,0,0,9,31,49,72,45,32,3,4,0,241,51,165,224,131,85,13,4,0,671
UCL515030,6,7,5,7,0,0,30,0,8,4,9,10,3,0,0,34,8,31,35,43,23,26,13,0,189,8,23,41,39,42,31,16,4,201,77,109,121,117,115,79,28,15,659,34,9,7,7,6,4,0,0,77,4,9,9,10,13,12,9,0,66,120,124,141,130,133,99,32,16,797,0,0,7,0,5,0,10,0,18,45,44,50,47,45,65,71,55,419,177,238,278,267,267,239,142,77,1680
UCL515031,0,5,12,7,0,0,25,0,0,6,3,11,6,4,0,30,4,18,28,34,18,20,12,3,143,5,7,17,34,30,35,15,8,164,30,52,70,76,101,95,41,0,478,8,5,10,10,7,6,3,0,54,4,0,4,9,0,3,3,0,29,47,59,80,99,118,108,47,11,568,0,0,0,0,0,6,6,0,24,27,41,36,36,56,70,57,15,330,85,137,182,216,251,250,139,25,1283
UCL515032,3,5,0,0,0,0,10,0,3,3,12,0,0,0,0,19,4,21,28,29,14,9,5,0,93,0,15,16,20,18,13,0,0,89,34,64,77,73,39,29,4,0,323,11,0,7,0,0,0,0,0,20,0,0,4,4,4,5,0,0,24,43,70,88,79,49,34,5,5,367,0,4,0,0,5,0,0,0,8,21,19,19,26,17,7,4,3,106,68,126,151,166,103,60,9,4,698
UCL515033,13,0,3,4,0,0,35,0,11,9,10,4,0,0,0,33,11,71,74,32,16,0,4,0,216,6,41,47,34,19,3,0,0,158,26,160,218,109,72,11,0,0,596,19,11,9,3,0,0,0,0,39,3,4,9,6,3,0,0,0,29,44,174,235,123,70,15,0,0,666,0,0,3,0,0,0,0,0,0,53,61,92,61,35,12,0,0,303,113,376,471,263,149,32,9,0,1412
UCL515034,6,3,4,6,0,0,23,0,0,3,7,8,4,0,0,30,4,32,43,30,36,24,8,0,171,5,37,31,57,41,30,8,0,219,43,115,101,100,106,62,25,8,555,20,10,3,5,5,0,0,0,47,4,0,7,8,8,3,4,0,38,68,127,112,115,115,69,31,8,641,0,0,0,7,0,5,0,0,19,27,26,46,37,38,34,23,3,233,104,228,252,250,245,162,72,11,1332
UCL515035,0,0,7,0,4,0,11,0,0,3,3,0,0,0,0,12,0,23,21,9,11,15,0,0,83,0,10,9,0,12,14,0,0,43,10,30,27,19,49,29,16,0,184,0,0,3,0,6,0,0,0,16,0,0,0,0,8,0,3,0,16,12,27,30,23,58,31,21,0,214,0,0,0,0,3,0,0,0,5,24,22,16,19,21,30,19,7,160,39,86,78,61,110,93,42,7,521
UCL515036,5,0,0,4,0,0,15,0,0,3,0,0,4,0,0,14,0,18,21,25,11,7,0,0,89,5,10,25,31,23,13,14,0,112,37,83,82,84,95,58,17,8,462,13,13,9,4,5,4,0,0,43,0,3,5,7,10,10,3,0,32,54,94,91,89,109,63,20,11,538,0,0,0,0,4,3,0,0,12,19,25,19,37,23,26,39,33,227,79,155,158,176,176,134,76,41,1009
UCL515037,5,3,0,0,0,0,15,0,4,8,6,3,0,0,0,23,8,26,42,19,11,0,0,0,111,6,21,32,27,5,3,0,0,91,28,135,148,65,32,10,4,0,426,12,10,6,0,0,0,0,0,29,0,0,4,0,0,0,0,0,10,43,151,158,73,35,6,4,0,467,0,0,0,0,0,0,0,0,3,37,87,76,48,43,10,5,0,298,87,292,323,170,96,20,3,0,1008
UCL515038,6,0,3,13,3,0,34,0,4,3,3,4,16,3,0,39,4,28,23,29,24,31,19,7,165,0,9,12,31,40,60,30,7,186,19,42,48,59,90,72,32,12,373,11,3,0,7,0,5,0,0,33,0,0,6,0,11,18,3,3,49,35,43,54,72,106,103,34,10,451,0,3,0,0,0,7,8,0,17,19,21,17,33,38,58,49,18,250,61,112,119,168,216,280,150,39,1144
