UCL_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
UCL513005,0,5,11,16,37,67,94,66,14,304,108,59,58,57,56,34,18,17,3,397,0,4,0,9,14,22,52,46,14,153,0,0,0,0,0,0,6,21,20,46,8,6,9,8,28,66,67,48,6,251,3,0,0,7,17,53,79,66,20,236,0,0,8,0,5,4,13,11,0,41,3,0,0,0,10,26,28,29,7,106,52,50,72,54,60,50,35,25,13,411,0,0,0,0,3,9,13,20,6,47,83,30,40,33,53,46,57,42,23,399,1074,453,452,489,432,246,121,45,8,3325,118,70,72,85,76,55,15,17,3,502,1412,642,679,723,697,538,392,245,57,5393,0,0,11,26,81,111,147,95,29,497,78,45,84,85,58,60,52,25,0,491,0,0,5,8,30,22,35,28,11,135,0,0,0,0,0,0,9,29,37,75,0,5,9,15,22,43,44,28,13,176,0,0,0,3,13,26,41,45,22,153
UCL514001,0,0,10,11,35,89,114,81,18,361,64,46,29,45,36,37,32,13,6,298,0,0,0,0,8,24,52,35,9,135,0,0,0,0,0,3,9,13,5,30,0,3,5,15,26,66,117,42,14,286,0,0,3,7,17,45,77,54,14,214,0,0,0,0,4,6,15,9,0,33,0,0,0,0,5,21,57,23,3,120,10,32,31,37,45,56,43,20,10,291,0,0,0,0,6,9,23,17,3,57,44,29,16,17,27,43,55,27,13,272,490,264,251,232,202,205,155,66,7,1891,102,51,45,52,65,55,40,21,10,441,703,406,381,389,403,483,530,247,63,3614,4,6,8,25,73,120,169,107,50,556,45,33,55,57,55,46,57,27,10,384,5,0,7,4,11,34,42,19,8,127,0,0,0,0,0,0,5,13,12,39,0,3,11,17,33,47,74,41,12,231,0,0,0,5,17,27,44,20,8,125
UCL514002,0,0,4,8,12,43,73,54,13,211,45,15,15,33,18,16,22,9,3,188,0,0,0,0,4,23,42,27,12,113,0,0,0,0,0,3,4,9,0,18,0,0,0,0,4,14,40,29,0,94,0,0,0,0,5,11,58,52,13,138,0,0,0,0,5,4,5,9,0,22,0,0,0,0,0,7,12,10,8,42,19,17,15,31,20,31,26,9,3,170,0,0,0,0,0,0,12,13,0,24,24,10,9,15,30,24,41,17,4,176,633,224,243,372,353,230,185,65,8,2324,51,29,47,72,59,46,29,29,5,357,774,292,332,529,493,390,434,226,44,3517,0,0,4,22,25,66,105,90,26,333,39,16,22,46,38,26,36,18,6,245,0,0,5,10,15,27,33,27,7,114,0,0,0,0,0,0,6,6,6,15,0,0,0,7,11,17,18,14,0,70,0,0,0,0,3,7,29,26,6,77
UCL514003,0,0,5,17,26,35,47,18,6,153,52,20,34,44,36,13,22,6,0,229,0,0,0,5,5,20,29,20,4,83,0,0,0,0,0,0,5,6,6,20,0,8,4,6,13,7,23,13,0,74,0,0,4,0,15,19,36,20,11,108,3,0,0,3,0,4,6,0,0,17,0,0,3,0,4,5,13,4,0,31,16,21,27,55,57,29,17,0,0,223,0,0,0,0,8,0,3,7,4,20,28,15,18,26,28,35,34,17,12,211,667,263,371,405,353,198,114,31,15,2422,87,39,60,67,82,35,23,7,3,401,846,368,504,597,565,345,293,103,43,3669,0,0,4,25,38,58,96,49,25,297,24,21,33,57,37,22,37,13,5,240,0,0,0,9,26,14,33,13,3,98,0,0,0,0,0,0,6,13,18,36,6,0,4,6,10,17,20,12,9,76,0,0,0,0,6,11,30,20,16,82
UCL514004,0,4,9,12,18,44,71,57,18,234,49,26,34,28,28,33,18,13,5,229,5,6,3,8,5,21,32,30,4,101,0,0,0,0,0,3,5,19,9,30,6,4,4,10,31,71,90,47,3,269,0,0,0,9,16,33,63,42,19,190,0,3,4,0,3,9,13,9,6,44,0,0,0,0,10,20,27,14,5,69,16,31,37,38,37,46,34,13,5,256,3,0,0,3,4,8,20,12,4,49,38,13,24,19,40,34,42,19,7,239,455,274,216,187,179,194,125,49,12,1694,99,75,60,57,59,60,38,15,6,473,645,423,363,336,367,452,395,201,69,3254,0,0,5,10,54,112,130,96,44,454,44,33,53,47,51,58,31,23,9,343,3,0,0,4,15,26,32,24,6,107,0,0,0,0,0,0,8,7,16,26,0,0,10,17,26,59,79,33,13,242,4,0,3,4,8,27,34,35,24,152
UCL515001,0,0,0,0,3,11,26,13,13,75,0,3,0,3,0,9,4,5,9,36,0,0,0,0,0,3,19,10,9,46,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,6,9,11,3,27,0,0,0,0,0,10,27,28,11,72,0,0,0,0,0,0,5,7,5,9,0,0,0,0,0,5,8,10,0,30,0,5,5,7,13,6,15,4,0,50,0,0,0,0,0,0,8,0,3,19,3,0,0,0,3,9,7,7,14,56,42,21,24,23,28,39,56,39,9,281,11,6,5,3,13,7,12,0,9,63,57,28,31,43,60,89,147,92,43,589,0,0,0,0,11,15,44,31,23,126,3,0,4,9,8,7,20,7,4,56,0,0,0,0,0,3,10,17,7,36,0,0,0,0,0,0,3,5,6,13,0,0,0,0,0,10,11,4,5,35,0,0,0,0,0,3,7,10,11,37
UCL515002,0,0,0,5,11,16,10,3,0,56,8,3,0,11,10,3,3,0,0,41,0,0,0,0,0,3,9,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,8,5,0,41,0,0,0,0,0,14,11,6,0,33,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,16,0,6,5,9,4,16,3,0,0,44,0,0,0,0,0,0,4,0,0,3,3,3,0,3,0,5,5,4,0,25,104,46,47,47,54,49,39,15,0,401,12,4,11,15,13,6,7,0,0,62,131,59,68,85,91,100,89,30,6,654,0,0,0,3,6,28,22,13,0,74,4,4,10,6,11,7,7,0,0,46,0,0,0,0,0,3,13,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,0,15,0,0,0,0,0,4,11,3,3,21
UCL515003,0,0,3,4,6,20,32,22,10,96,13,9,10,11,0,14,4,3,0,63,0,0,0,0,0,6,14,15,4,50,0,0,0,0,0,0,0,3,7,7,0,0,0,0,7,12,17,21,4,60,0,0,0,0,3,6,27,20,4,68,0,0,0,0,0,3,0,7,0,10,0,0,0,4,4,12,7,8,3,32,0,14,7,17,17,18,12,10,3,100,0,0,0,0,0,0,8,4,5,21,10,4,0,10,9,19,24,13,0,90,128,58,50,58,78,83,83,33,0,566,22,11,12,3,18,19,11,9,0,107,168,90,86,97,131,158,199,102,26,1054,0,0,0,10,20,41,86,36,17,219,9,15,6,14,13,21,29,9,5,124,0,0,0,0,7,10,24,14,0,57,0,0,0,0,0,0,0,5,10,15,0,0,0,0,9,13,21,13,5,63,0,0,0,0,3,5,20,12,9,42
UCL515004,0,0,3,10,3,13,16,13,0,56,28,11,13,15,6,7,5,0,0,90,0,0,0,0,3,0,8,5,3,26,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,13,11,12,0,59,0,0,0,4,5,5,9,10,0,41,7,0,0,0,0,6,4,0,0,9,0,0,0,0,0,0,6,6,0,18,15,14,18,14,11,7,8,6,0,95,0,0,0,0,0,0,3,3,0,10,20,12,7,10,8,8,11,4,0,79,216,151,148,69,62,27,21,3,4,705,30,11,28,22,12,18,4,5,0,127,300,197,215,125,108,78,67,37,9,1145,0,3,7,10,16,21,33,9,4,100,20,11,30,15,16,12,11,3,0,114,0,0,0,0,0,6,8,4,0,20,0,0,0,0,0,0,0,0,0,6,0,0,4,5,9,3,12,6,0,46,0,3,0,0,4,0,9,3,3,32
UCL515005,0,0,5,10,16,36,40,24,0,133,25,8,4,10,9,10,14,7,0,78,0,0,0,0,3,5,12,8,0,30,0,0,0,0,0,0,4,0,4,6,0,0,5,4,17,23,25,17,0,84,0,0,0,0,12,16,23,17,0,68,0,0,0,0,0,3,3,4,0,11,3,0,4,0,0,8,15,10,0,30,10,13,10,20,15,19,17,6,3,108,0,0,0,0,0,4,9,3,3,13,17,9,3,13,16,18,23,13,3,108,185,91,73,86,94,47,38,7,4,630,23,20,11,10,30,17,12,8,3,127,257,132,104,130,178,136,153,73,15,1180,0,0,0,15,28,49,54,24,16,196,15,12,14,27,30,23,16,8,0,150,0,0,0,3,5,6,9,6,4,44,0,0,0,0,0,0,3,0,3,8,0,0,0,11,13,19,26,6,3,84,0,0,0,3,4,11,13,12,5,38
UCL515006,0,0,3,7,13,33,34,21,5,119,18,16,10,10,19,21,14,0,0,101,0,0,4,3,6,16,22,7,0,51,0,0,0,0,0,0,0,5,0,6,0,0,4,7,22,31,31,23,5,128,3,0,0,0,20,28,34,23,10,115,0,0,0,0,4,4,4,7,4,22,0,0,0,0,3,14,8,10,0,47,4,5,7,12,17,13,14,4,0,80,0,0,0,0,3,4,4,5,0,19,11,8,9,16,13,25,27,11,4,122,289,133,168,132,162,141,88,28,12,1137,105,74,77,58,61,54,34,20,8,485,422,235,271,233,303,309,244,112,29,2153,0,0,0,3,26,31,44,35,9,163,14,15,17,27,25,38,20,9,0,163,0,0,0,0,3,11,5,6,3,39,0,0,0,0,0,0,6,3,3,16,0,7,0,4,28,37,23,11,3,112,0,0,4,4,5,20,16,13,5,68
UCL515007,3,0,0,0,8,12,15,9,3,48,16,3,3,15,6,0,0,0,0,58,0,0,0,0,0,0,4,3,0,13,0,0,0,0,0,0,0,3,0,6,0,0,0,0,8,7,4,3,4,25,0,0,0,0,0,4,4,8,4,30,3,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,7,0,8,8,4,10,12,7,7,0,0,0,39,0,0,0,0,0,4,0,0,0,8,10,3,3,9,6,6,7,5,0,38,241,49,50,146,114,53,31,10,0,689,47,9,15,29,25,10,5,3,0,146,316,70,80,206,163,97,62,30,9,1036,0,0,3,0,11,19,11,8,3,52,9,3,6,7,16,6,0,5,0,63,0,0,0,6,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,15,0,0,0,0,0,0,7,3,3,20
