UCL_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL513005,24,28,53,60,18,79,0,0,0,0,0,0,3,0,3,1437,1411,2845,120,114,234,38,3,39,11,0,11,9,0,7,112,30,140,32,19,57,1841,1622,3469,27,21,51,0,0,0,0,0,0,42,34,70,3,7,6,0,3,5,71,60,139,0,0,0,0,0,0,6,0,6,0,0,4,0,0,5,6,4,12,34,9,45,117,72,190,14,11,24,5,0,7,0,0,3,16,17,31,100,220,315,387,348,737,12,4,18,2476,2288,4766
UCL514001,3,0,3,43,16,55,0,0,0,0,0,0,0,6,6,907,860,1768,96,83,175,11,0,11,0,0,3,7,4,8,25,8,33,31,28,64,1122,1007,2127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,4,0,12,11,5,16,20,4,24,0,0,0,3,0,3,0,0,0,3,0,3,11,41,54,218,193,415,5,3,16,1385,1255,2645
UCL514002,0,0,0,32,8,36,0,0,0,0,0,0,0,0,0,1032,1029,2066,70,64,133,10,0,9,3,0,3,28,13,40,65,12,76,38,35,78,1287,1158,2445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0,5,23,0,25,32,0,31,0,0,0,0,0,0,0,0,0,0,0,0,161,271,427,277,284,555,16,21,30,1765,1733,3494
UCL514003,0,0,0,33,3,35,0,0,0,0,0,0,0,0,0,1126,1150,2280,135,83,219,16,0,16,7,0,6,48,19,67,69,19,83,58,84,141,1488,1360,2845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,4,0,9,28,14,39,35,17,50,0,0,0,0,0,0,0,0,0,0,0,0,118,211,329,297,281,578,14,5,23,1948,1873,3819
UCL514004,0,0,0,10,0,15,0,0,0,0,0,0,5,6,11,927,904,1828,87,98,188,18,0,18,3,0,6,6,0,11,16,3,18,81,62,141,1159,1085,2246,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,24,18,12,32,0,0,0,0,0,4,4,0,6,7,3,5,23,76,103,125,131,258,6,5,13,1339,1316,2652
UCL515001,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,114,117,233,7,14,22,0,0,0,0,0,0,0,0,3,7,0,7,7,10,20,143,144,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,31,54,28,26,53,0,6,6,198,209,402
UCL515002,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,213,216,434,19,10,23,0,0,0,0,0,0,0,0,0,11,6,18,5,0,3,260,237,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,3,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,16,24,40,44,35,78,0,0,0,324,299,627
UCL515003,0,0,0,5,3,7,0,0,0,0,0,0,0,0,0,288,289,576,17,33,48,7,0,7,0,3,3,0,0,0,9,0,11,15,26,42,344,353,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,5,10,9,7,16,0,0,0,0,0,0,0,0,0,0,0,0,21,48,65,62,81,144,4,0,3,440,484,921
UCL515004,0,3,3,13,0,15,0,0,0,0,0,0,0,0,0,373,325,702,32,18,49,5,0,5,0,0,0,3,0,5,18,6,30,41,20,56,486,374,858,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,4,0,3,12,5,11,0,0,0,0,0,0,0,0,0,0,0,3,11,38,46,59,76,140,0,0,0,570,493,1065
UCL515005,0,0,0,15,0,16,0,0,0,0,0,0,0,0,0,364,379,744,33,13,45,8,0,8,4,0,4,0,3,4,16,0,14,10,8,17,444,412,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,5,3,3,12,0,11,13,6,16,0,0,0,0,0,0,0,0,0,0,0,0,12,28,42,72,78,152,4,0,3,541,524,1066
UCL515006,0,0,0,52,8,62,0,0,0,0,0,0,0,0,3,495,524,1021,47,65,114,18,3,22,7,0,11,20,19,35,9,0,8,52,68,125,698,699,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,6,9,13,11,9,17,0,0,0,0,0,0,0,0,0,0,0,0,21,29,52,69,87,159,17,10,26,817,834,1649
UCL515007,0,0,0,16,0,20,0,0,0,0,0,0,0,0,0,305,302,608,14,14,31,9,0,9,0,0,0,3,3,9,15,0,15,10,9,18,379,340,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,9,9,4,6,8,0,0,0,0,0,0,0,0,0,0,0,0,40,72,107,91,105,197,3,0,5,513,524,1037
UCL515008,0,0,0,5,5,3,0,0,0,0,0,0,4,0,4,261,209,467,28,19,45,0,0,0,0,0,4,4,0,4,5,4,11,11,19,26,321,249,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,58,34,89,4,0,3,388,302,692
UCL515009,0,0,0,8,6,11,0,0,0,0,0,0,0,0,0,329,347,677,26,31,51,3,0,6,0,0,5,9,3,10,12,0,16,27,25,58,408,413,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,3,7,3,7,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,50,56,105,63,80,142,0,6,6,530,557,1094
UCL515010,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,317,318,638,27,40,66,9,0,11,3,0,3,8,6,10,11,9,24,52,65,117,429,443,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,23,25,43,43,49,93,6,6,13,508,515,1028
UCL515011,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,388,350,740,44,40,83,12,0,12,0,0,0,3,0,4,13,8,14,18,21,36,482,412,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,5,0,5,3,5,12,12,5,15,0,0,0,0,0,0,0,0,0,0,0,0,14,35,50,67,90,153,5,5,7,579,548,1128
UCL515012,0,0,0,17,6,25,0,0,0,0,0,0,0,0,0,390,418,810,27,33,61,4,0,4,6,0,6,0,0,0,22,9,26,7,6,13,477,468,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,5,9,0,0,0,0,0,0,0,0,0,4,0,4,10,29,39,85,79,159,0,0,0,578,583,1160
UCL515013,0,0,0,16,0,17,0,0,0,0,0,0,0,0,0,478,442,922,42,29,76,10,0,10,13,5,14,38,52,91,6,0,17,55,70,126,659,604,1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,8,8,15,8,8,22,0,0,0,0,0,0,4,0,4,4,0,3,38,62,102,107,83,191,8,5,10,825,770,1596
UCL515014,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,81,86,168,21,12,34,0,0,0,0,0,0,0,4,9,0,0,4,64,72,140,172,184,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,9,9,8,11,22,0,0,5,184,205,393
UCL515015,0,0,0,7,3,13,0,0,0,0,0,0,0,0,0,497,373,877,44,52,99,12,0,12,6,0,6,6,3,7,11,0,13,8,9,23,589,446,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,11,18,24,67,56,113,3,0,6,678,523,1199
UCL515016,0,0,0,11,0,13,0,0,0,0,0,0,0,0,0,192,209,400,22,12,38,9,0,8,0,6,4,12,4,13,9,7,18,14,9,23,265,246,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,9,9,0,14,0,0,0,0,0,0,0,0,5,0,0,7,18,39,54,57,49,110,3,7,6,349,349,695
UCL515017,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,140,129,269,26,14,35,8,0,8,0,0,0,7,8,16,11,3,13,21,25,47,221,188,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,10,18,28,47,34,86,10,3,13,289,241,529
UCL515018,0,0,0,21,5,29,0,0,0,0,0,0,0,0,0,246,222,467,26,19,46,6,0,13,0,0,0,3,0,3,0,0,0,4,9,18,312,258,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,10,0,0,0,0,0,0,11,5,10,11,0,8,15,5,21,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,66,45,112,3,8,10,399,318,719
UCL515019,0,0,0,50,14,66,0,0,0,0,0,0,0,0,0,606,477,1084,77,58,139,16,0,16,3,0,3,3,0,3,11,7,18,26,39,63,790,595,1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,5,5,12,0,0,0,0,0,0,0,0,0,5,0,5,14,21,40,37,66,108,14,4,21,867,697,1563
UCL515020,0,0,0,11,5,13,0,0,0,0,0,0,0,6,7,621,657,1279,86,100,182,15,0,15,13,8,21,29,16,50,19,5,27,85,125,213,875,929,1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,13,13,6,13,0,0,0,0,0,0,0,0,0,0,0,0,24,32,58,72,92,163,11,9,25,998,1067,2064
UCL515021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,310,267,575,15,11,29,0,0,0,3,0,3,3,0,8,6,0,7,3,0,5,338,286,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,26,31,55,60,55,115,0,4,4,429,369,801
UCL515022,0,0,0,11,0,16,0,0,0,0,0,0,0,0,0,716,624,1343,69,62,131,17,0,17,3,0,3,11,4,14,8,3,11,30,28,57,871,724,1593,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,13,35,44,87,101,185,5,0,8,987,863,1847
UCL515023,0,0,0,11,0,9,0,0,0,0,0,0,0,0,0,409,321,732,19,23,43,16,0,16,7,0,7,12,4,13,0,3,4,37,34,67,509,391,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,30,43,40,66,108,3,4,9,571,489,1057
UCL515024,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,238,219,455,23,13,36,8,0,8,0,0,0,9,0,8,8,0,3,18,20,38,297,252,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,18,30,29,34,62,0,0,6,343,308,648
UCL515025,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,268,216,484,22,22,48,3,0,3,0,0,0,0,0,4,7,0,8,6,14,18,313,256,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,16,15,32,35,47,85,10,3,16,373,330,700
UCL515026,4,0,7,15,4,13,0,0,0,0,0,0,0,0,3,399,335,737,22,20,43,24,0,21,0,0,0,0,0,0,12,8,20,9,3,10,485,379,868,0,0,0,0,0,0,0,0,0,6,9,8,0,0,0,0,0,0,3,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,9,14,0,3,6,0,0,0,0,0,0,6,3,8,16,41,63,77,89,171,8,8,12,602,522,1126
UCL515027,0,0,0,18,3,24,0,0,0,0,0,0,0,0,0,584,548,1129,48,45,92,15,0,15,0,0,0,3,0,8,15,0,14,42,55,97,725,653,1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,4,8,11,8,8,17,0,0,0,6,0,6,0,0,0,6,0,6,18,25,37,58,88,148,4,11,17,819,786,1603
UCL515028,0,0,0,66,20,85,0,0,0,0,0,0,3,0,3,744,604,1347,64,71,136,12,0,12,20,6,21,36,9,38,20,8,29,62,78,137,1019,798,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,34,0,3,0,3,0,3,17,15,40,8,13,23,32,26,58,0,0,0,3,0,3,0,0,0,4,3,5,14,35,51,194,166,361,10,0,14,1278,1035,2314
UCL515029,0,0,0,136,62,203,0,0,0,0,0,0,0,0,0,141,92,233,26,8,38,0,0,0,4,6,6,3,8,12,12,0,10,8,20,28,328,201,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,7,7,4,7,8,0,0,0,0,0,0,0,0,0,0,0,0,5,11,9,63,48,112,0,3,4,401,260,662
UCL515030,5,0,4,20,6,22,0,0,0,0,0,0,0,0,0,439,463,906,34,44,83,12,0,12,6,0,6,4,0,5,17,8,27,12,21,28,545,544,1092,4,0,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,9,4,11,12,9,19,3,0,6,4,0,6,0,0,0,4,3,6,32,39,67,129,126,259,5,6,9,722,718,1445
UCL515031,0,0,0,7,4,14,0,0,0,0,0,0,0,0,0,302,339,642,30,22,53,3,0,3,0,0,6,5,0,10,21,8,25,30,21,52,400,407,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,8,4,12,0,0,0,0,0,0,0,0,0,0,0,0,29,49,74,93,73,166,17,8,21,544,539,1077
