UCL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL514004,718,1401,23,124,40,203,19,98,311,1237,395,1662,17,69,35,94,102,316,152,490,553,2154,14,73,28,103,19,95,141,404,203,662,4,20,26,62,117,265,156,346,354,1009,32,60,1650,4622
UCL515001,216,425,0,3,4,21,4,8,41,140,44,173,0,6,4,10,24,59,28,81,75,252,0,0,0,3,0,5,12,26,12,37,0,5,0,0,10,24,10,30,28,64,0,6,318,749
UCL515002,183,356,0,11,15,56,3,12,71,287,89,366,11,37,12,23,19,56,37,119,130,485,0,3,0,5,0,6,22,62,27,76,4,3,3,6,12,12,14,30,43,108,5,11,357,960
UCL515003,356,701,0,5,19,103,9,34,104,414,137,556,6,34,11,33,27,89,49,151,185,712,0,3,6,20,10,23,29,64,37,116,0,4,13,20,29,57,40,83,84,192,8,10,629,1619
UCL515004,190,359,4,33,24,93,16,66,169,661,214,850,14,45,3,15,29,93,47,147,261,999,0,4,10,31,3,19,62,163,77,220,10,20,3,6,34,77,45,102,121,322,8,25,579,1706
UCL515005,273,531,8,29,31,142,8,29,146,556,188,754,9,32,17,57,44,120,67,214,259,967,3,9,16,44,3,17,62,172,81,235,7,15,9,14,35,71,47,103,127,339,4,14,663,1846
UCL515006,394,782,8,36,22,83,9,68,200,773,238,958,8,32,7,27,54,178,76,238,315,1194,0,8,9,26,10,47,87,253,108,323,4,16,15,21,64,151,81,187,187,512,14,31,916,2520
UCL515007,185,365,4,7,25,104,4,18,233,862,266,998,11,30,13,31,18,48,32,109,298,1105,0,0,4,6,0,0,39,99,43,108,5,10,0,6,12,18,16,31,55,145,3,3,547,1616
UCL515008,103,209,0,5,24,129,4,25,131,489,164,645,4,12,4,14,26,74,30,104,193,751,0,0,0,0,0,0,15,35,15,35,0,0,0,0,5,12,5,12,16,48,0,7,322,1007
UCL515009,348,675,5,20,28,131,6,34,134,518,171,701,10,21,19,52,29,73,49,151,219,852,0,0,9,31,3,9,65,152,74,192,4,15,23,43,27,53,50,115,130,311,6,9,702,1845
UCL515010,225,436,0,13,12,52,18,89,116,457,147,611,7,17,9,20,29,94,43,135,188,750,0,4,7,26,18,98,60,176,82,297,3,7,4,8,35,86,44,99,123,398,18,38,555,1625
UCL515011,361,717,8,35,30,134,9,42,152,611,199,826,9,44,11,32,34,107,57,177,253,998,0,0,11,30,5,16,44,128,58,169,3,13,5,21,46,105,62,136,121,306,7,22,745,2040
UCL515012,222,427,3,11,30,122,12,58,195,735,239,923,11,38,27,76,24,73,63,188,304,1112,0,10,12,35,4,24,38,123,60,190,3,10,6,11,22,44,29,60,94,253,3,8,622,1805
UCL515013,331,634,0,12,25,83,3,21,198,737,228,856,9,37,23,67,31,96,67,198,290,1057,0,0,5,10,0,0,29,79,32,92,3,4,8,16,25,54,36,74,68,164,3,8,700,1864
UCL515014,69,130,6,16,0,10,3,33,49,201,58,261,0,8,0,3,15,60,21,66,82,327,0,0,0,7,4,26,28,85,35,116,0,3,0,0,27,61,23,65,64,181,15,35,222,678
UCL515015,308,615,6,26,25,116,8,30,179,664,215,837,14,55,17,49,58,182,89,288,303,1124,0,9,7,10,7,23,53,129,62,169,3,9,0,3,50,112,55,126,117,289,15,33,748,2065
UCL515016,271,514,0,0,14,44,0,10,73,279,92,331,0,7,3,19,19,57,25,83,116,415,0,3,9,24,0,0,26,66,33,95,4,9,0,0,8,24,16,37,50,134,0,6,434,1074
UCL515017,195,379,0,4,3,23,0,13,49,195,62,234,0,6,4,13,23,68,31,89,93,323,0,0,0,9,0,0,6,31,17,39,0,0,8,10,10,17,14,32,31,69,3,5,317,779
UCL515018,160,305,3,17,14,79,8,32,110,412,134,536,0,15,10,22,27,79,41,121,174,653,0,3,6,19,6,11,35,103,49,136,3,16,5,12,16,25,21,53,73,186,9,13,410,1159
UCL515019,407,823,12,55,34,167,16,92,185,756,252,1066,7,44,15,51,50,148,75,241,327,1306,3,12,11,42,6,22,65,189,81,275,4,15,9,20,61,123,69,156,151,435,17,52,900,2607
UCL515020,350,665,3,28,31,160,16,71,267,1014,319,1269,10,23,6,10,41,128,51,158,372,1431,0,11,8,31,23,98,115,369,151,504,3,16,4,13,50,143,66,177,216,683,25,60,959,2841
UCL515021,244,487,0,4,20,99,10,36,88,368,125,505,14,43,13,42,35,111,61,193,180,698,0,3,3,16,0,4,19,48,23,74,5,9,3,3,16,38,22,50,47,125,3,5,474,1305
UCL515022,489,960,5,40,34,148,20,90,232,914,286,1188,16,69,18,78,48,153,90,296,370,1481,3,13,19,67,10,32,74,202,103,319,0,13,12,26,57,125,78,161,179,478,18,39,1059,2962
UCL515023,258,503,3,27,18,86,6,24,139,527,170,661,0,16,9,25,35,101,42,141,215,802,0,5,10,24,10,38,38,101,55,171,0,0,5,12,38,73,42,88,100,255,8,12,574,1577
UCL515024,157,304,0,15,8,43,3,17,81,319,97,385,0,5,10,26,22,64,29,88,126,473,0,6,0,6,4,18,42,120,44,149,0,3,6,11,22,41,23,52,74,204,11,17,364,1004
UCL515025,204,397,6,30,16,70,4,24,88,330,106,448,8,28,17,44,31,99,53,169,164,622,0,0,8,25,0,7,41,119,48,150,7,12,9,19,30,58,41,86,89,239,4,9,460,1262
UCL515026,245,487,7,32,17,97,9,54,187,736,224,918,15,49,13,50,41,121,63,220,289,1142,5,6,0,16,10,35,39,126,61,185,3,4,6,13,36,71,42,88,100,271,4,10,646,1914
UCL515027,378,737,3,20,34,159,14,56,171,648,223,888,8,38,6,24,57,178,76,239,295,1124,0,11,13,52,15,40,79,211,112,315,6,24,13,31,53,119,77,171,186,496,13,33,876,2386
UCL515028,307,606,10,72,34,164,15,54,411,1614,472,1904,8,23,18,55,33,106,64,187,536,2093,0,3,12,31,8,21,50,118,65,171,4,6,9,9,21,45,29,64,99,238,12,23,952,2961
UCL515029,92,174,3,9,9,32,6,20,82,308,94,367,0,0,13,26,6,17,20,48,116,411,0,0,5,7,3,12,11,32,20,50,0,0,0,0,11,18,10,22,28,68,0,3,233,660
UCL515030,444,870,11,68,33,174,16,90,185,732,248,1062,9,43,32,94,86,246,120,388,373,1446,0,19,21,58,8,26,66,184,96,288,8,28,16,35,66,147,88,206,189,497,15,20,1014,2834
UCL515031,417,794,4,34,14,66,7,33,116,454,155,593,4,31,12,45,60,167,81,247,234,832,0,0,6,27,6,21,48,134,63,182,4,9,9,19,33,71,43,94,108,279,3,12,755,1914
UCL515032,163,313,7,39,26,111,14,51,97,391,142,589,17,76,16,46,44,131,76,253,218,840,0,0,0,3,0,3,19,42,17,46,0,0,7,8,16,39,24,45,44,95,0,5,418,1245
UCL515033,190,362,4,19,33,143,15,55,297,1228,346,1439,0,19,17,54,22,74,45,141,390,1582,0,0,3,16,0,3,21,47,25,69,0,0,9,20,9,16,22,34,42,104,7,4,626,2054
UCL515034,305,587,6,38,28,128,20,79,194,770,247,1015,7,39,9,32,59,174,82,253,330,1265,3,8,3,16,7,25,55,138,70,193,4,6,9,10,44,93,55,106,120,295,3,12,768,2159
UCL515035,179,350,0,0,11,47,0,0,48,187,60,235,6,12,3,7,17,48,22,72,78,302,0,8,4,10,6,3,22,65,26,85,0,0,4,9,23,47,26,56,60,142,4,8,321,808
UCL515036,303,591,0,4,24,111,11,57,122,478,157,652,13,58,4,15,52,146,71,222,228,873,0,7,8,28,5,22,44,113,64,176,5,6,3,6,31,65,32,78,95,249,9,12,634,1729
UCL515037,107,195,3,28,19,105,13,52,178,706,214,897,4,16,14,54,20,76,41,138,259,1033,0,5,0,7,0,0,19,58,23,66,3,8,3,4,10,14,10,30,38,90,3,5,399,1327
UCL515038,362,711,3,17,15,60,10,39,86,337,109,444,9,27,9,18,41,139,59,184,171,627,5,10,7,22,8,23,45,116,61,178,4,7,5,6,46,91,51,106,103,279,10,12,641,1623
UCL521001,59,121,3,13,3,28,3,18,26,91,36,148,4,15,7,22,13,47,30,91,60,238,0,6,0,0,4,13,11,26,12,42,0,6,0,6,0,0,7,8,20,55,0,0,141,412
UCL521002,112,218,4,8,13,43,5,11,37,128,49,195,0,15,0,0,26,83,30,101,83,301,0,7,0,7,0,0,14,32,16,41,0,0,4,12,18,39,20,51,37,97,0,4,231,617
UCL521003,116,231,0,0,5,34,0,8,27,106,37,147,0,3,5,15,18,61,28,78,62,225,0,0,0,0,0,0,13,33,14,34,0,0,5,5,17,40,24,42,35,79,9,13,218,550
UCL521004,29,63,0,0,8,26,7,44,45,172,50,239,0,0,0,0,8,30,8,30,62,268,0,0,0,9,3,19,28,89,40,115,0,5,6,6,20,48,23,62,66,179,13,30,164,536
UCL521005,125,234,0,3,13,52,4,21,73,298,93,374,3,6,8,14,21,52,31,77,124,457,0,0,3,22,0,3,26,76,30,94,0,5,0,3,11,29,11,36,47,127,7,15,295,829
UCL521006,133,253,0,14,6,22,5,15,53,215,61,264,0,13,6,21,20,61,27,91,94,355,0,0,6,5,0,4,19,50,18,59,0,0,4,3,16,30,17,29,38,91,3,3,260,709
UCL521007,67,141,0,0,0,5,0,0,22,79,22,80,0,7,0,9,4,11,12,31,31,113,0,0,3,17,0,0,14,38,18,55,0,3,3,3,11,20,19,33,33,87,6,8,137,342
UCL521008,57,114,0,0,3,13,0,3,22,80,27,96,6,7,0,0,7,25,15,35,33,134,0,0,4,16,0,0,4,17,5,32,0,0,0,5,11,20,12,19,17,55,4,9,112,303
UCL521009,64,123,0,5,7,13,0,16,26,114,39,153,0,4,0,5,0,12,6,21,42,173,6,12,0,10,0,0,8,24,13,47,0,0,0,0,5,11,5,11,17,52,3,4,120,354
UCL521010,98,192,0,0,5,21,3,28,43,168,51,217,0,0,3,12,18,52,18,62,72,278,0,3,0,0,5,12,13,45,18,63,0,0,6,9,24,48,24,57,45,116,4,13,217,599
UCL521011,63,116,6,20,9,37,4,28,54,218,76,297,6,20,0,3,13,36,19,63,95,362,0,0,0,0,0,0,14,37,15,40,0,4,0,0,0,4,5,9,15,47,0,0,171,518
UCL521012,89,167,0,5,6,24,0,5,28,103,33,136,4,13,0,8,8,19,11,40,46,176,0,11,0,0,0,0,7,10,5,21,0,0,0,0,6,9,6,9,11,37,0,5,153,376
UCL521013,84,161,3,8,16,74,10,29,56,216,85,328,5,33,6,27,19,60,34,116,114,448,0,0,0,8,4,17,14,38,18,59,0,7,4,5,15,31,17,44,39,98,3,5,241,710
UCL521014,98,187,0,0,4,10,0,15,28,111,30,133,0,0,0,4,7,33,14,38,45,174,0,0,3,6,9,18,17,36,19,65,0,0,0,10,12,21,14,28,38,89,3,5,180,454
UCL521015,100,192,0,9,5,17,0,8,28,109,30,136,0,0,0,0,10,20,6,18,41,161,0,4,0,3,4,5,0,8,8,24,0,0,4,7,0,4,8,12,12,30,3,6,155,394
UCL521016,66,131,0,4,8,44,0,4,41,156,51,211,0,9,4,15,11,37,19,65,68,278,0,9,0,6,0,0,9,17,5,27,0,3,0,3,11,11,7,20,20,49,0,3,160,463
UCL521017,70,131,0,10,12,50,3,8,52,214,68,268,7,12,3,15,10,23,13,46,82,315,0,7,0,0,0,3,3,16,5,24,0,0,0,0,6,17,6,17,11,37,3,6,166,491
UCL521018,63,122,0,8,12,41,0,4,36,139,49,193,3,5,6,19,14,40,23,65,67,258,0,0,0,0,0,0,8,27,13,27,0,3,7,12,7,17,13,30,24,56,3,4,157,451
UCL521019,105,197,0,6,0,7,3,14,27,97,35,121,0,0,0,11,6,22,14,29,40,151,0,0,0,0,0,0,10,28,15,29,0,0,0,4,5,5,3,7,18,33,6,8,163,392
UCL521020,124,242,4,19,8,30,4,18,29,119,47,189,6,19,5,18,21,60,34,95,77,287,0,0,0,5,0,0,13,31,14,36,5,11,0,3,6,15,10,24,25,67,3,3,224,596
UCL521021,103,198,0,0,16,86,4,11,56,232,84,325,4,8,10,27,14,44,25,75,108,404,0,0,0,0,0,0,18,52,19,56,0,3,3,9,3,11,6,19,30,76,4,0,235,679
UCL521022,70,131,5,17,7,28,3,8,48,171,61,225,0,15,7,30,8,12,16,58,81,283,0,0,0,3,0,3,15,31,15,44,0,3,0,4,5,16,10,18,25,64,4,0,178,480
UCL521023,60,121,3,20,3,28,3,11,43,167,52,229,0,0,0,9,10,27,14,34,65,265,0,0,0,4,0,0,4,11,5,19,0,0,0,0,8,17,8,17,11,28,0,5,142,422
UCL521024,74,166,8,42,6,18,5,48,69,274,90,386,0,0,3,8,11,32,10,39,102,425,9,55,9,42,16,74,77,240,106,408,3,12,4,9,38,91,47,112,156,520,21,51,347,1159
UCL521025,101,191,0,0,0,16,0,0,58,231,60,244,0,5,3,4,4,9,4,14,71,265,0,0,0,3,6,13,14,28,13,41,0,0,0,0,12,25,14,25,28,61,0,0,197,515
UCL521026,94,181,0,0,10,55,10,29,56,217,75,300,3,22,6,23,19,46,30,90,102,388,0,8,4,11,0,4,9,30,13,52,0,6,3,8,7,14,12,26,28,80,7,10,226,664
UCL521027,60,119,0,12,7,13,5,16,38,147,45,188,0,3,3,13,0,6,8,26,52,218,0,0,0,0,0,0,6,22,6,22,6,8,4,7,3,12,12,22,18,40,8,11,137,386
UCL521028,100,203,0,10,7,30,3,14,29,90,39,141,0,8,9,14,8,30,18,44,51,188,0,0,3,10,0,0,14,37,17,45,0,8,3,9,14,37,17,46,34,95,0,8,188,496
UCL521029,91,186,0,0,9,21,4,11,51,209,65,246,0,0,3,8,19,65,21,69,84,320,0,0,3,10,5,14,13,35,20,55,0,0,0,0,11,20,11,20,29,78,0,3,208,583
UCL521030,108,208,0,9,3,26,0,7,20,83,35,118,0,0,0,0,8,19,8,19,35,142,0,0,0,0,0,4,6,8,9,13,0,0,0,0,7,14,7,14,13,27,0,4,156,376
UCL521031,52,102,0,0,3,12,4,13,19,72,24,93,0,6,0,0,7,21,6,26,32,120,0,11,0,0,4,15,12,39,13,63,0,0,0,0,3,14,3,14,24,78,0,0,109,305
UCL521032,54,108,0,0,0,17,4,18,30,112,34,146,0,10,0,0,0,3,4,12,40,159,0,0,0,16,10,34,16,65,31,118,0,9,0,0,3,17,9,26,37,139,11,20,144,430
UCL521033,37,68,0,0,0,0,0,6,9,51,16,53,0,0,0,9,0,6,0,11,18,65,0,0,0,0,0,4,7,32,12,35,0,0,0,5,4,7,7,10,15,44,0,0,67,178
UCL521034,96,195,0,8,7,24,0,3,39,151,45,190,6,26,4,21,37,105,44,152,93,340,6,15,0,0,0,0,9,26,14,37,4,5,0,3,14,32,22,42,33,82,0,3,225,618
UCL521035,78,150,0,8,0,5,0,3,23,81,23,94,0,10,3,11,9,28,16,51,39,145,0,0,0,4,0,3,3,19,7,23,0,0,6,12,10,13,13,27,26,53,0,3,140,347
UCL521036,59,106,0,4,0,8,3,5,16,54,21,81,0,4,0,0,3,19,7,17,26,98,0,0,0,7,5,8,10,25,13,40,0,0,0,0,17,35,17,35,32,71,5,11,122,288
UCL521037,103,205,3,19,5,24,5,17,47,180,61,239,7,24,4,13,15,52,26,88,87,330,0,6,3,5,3,16,37,108,47,135,5,8,3,10,27,51,31,72,80,204,3,8,271,749
UCL521038,101,203,0,3,4,17,3,11,28,125,39,156,0,6,0,3,14,40,13,50,56,208,0,6,0,3,0,7,7,30,13,45,0,0,0,0,9,25,9,25,25,69,3,0,184,480
UCL521039,112,211,6,10,9,46,4,28,51,188,67,267,6,22,8,22,11,30,25,78,94,345,0,6,4,13,0,0,9,24,11,43,0,0,3,5,9,13,14,21,25,63,0,0,230,622
UCL521040,91,177,0,0,0,4,0,0,72,285,74,288,0,0,0,4,4,9,6,15,83,305,0,0,0,0,4,11,13,28,17,36,0,0,0,0,6,16,6,16,19,52,3,5,193,538
UCL521041,7,10,0,0,0,10,0,4,22,85,28,92,0,0,0,0,0,3,0,3,23,97,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,3,6,0,0,36,117
UCL521042,67,130,0,7,5,22,3,14,25,96,33,137,0,4,0,4,8,29,10,36,45,177,0,3,3,13,3,6,9,21,14,41,3,4,0,0,12,22,13,26,27,70,3,9,147,384
UCL521043,80,158,0,0,8,15,5,13,31,139,46,165,0,7,5,8,9,13,7,31,51,200,0,0,0,5,0,0,6,15,11,20,0,0,7,6,3,3,6,15,11,31,0,0,146,388
UCL521044,104,196,0,0,3,19,0,13,20,101,30,136,4,8,0,0,14,32,12,43,48,178,0,0,3,10,0,3,19,52,16,68,0,0,0,4,19,41,21,40,40,109,5,10,186,492
UCL521045,76,151,0,5,0,7,0,6,18,74,21,85,0,0,4,9,5,9,10,18,29,105,0,0,0,0,0,7,12,22,8,28,0,0,3,6,3,10,10,16,18,50,0,0,125,303
UCL521046,58,122,0,9,3,15,0,11,24,118,34,153,0,0,0,5,10,32,12,32,47,193,3,18,6,10,12,65,17,53,36,141,0,4,3,5,17,43,17,55,55,197,9,25,170,543
UCL521047,68,130,0,6,0,5,0,0,21,97,26,100,0,6,0,4,4,14,8,27,35,128,0,0,0,0,0,0,7,25,8,27,0,0,0,0,6,16,10,18,20,44,0,0,118,307
UCL521048,128,258,0,0,3,4,0,3,32,109,33,124,0,5,4,7,14,39,18,51,52,180,0,11,6,29,3,11,27,72,38,124,3,6,4,7,13,26,20,43,56,159,8,13,244,605
UCL521049,34,75,0,4,5,22,6,40,28,117,40,182,0,4,0,0,3,15,9,22,46,199,0,0,0,9,5,20,21,64,25,91,0,0,0,5,13,37,17,38,41,135,3,16,131,414
UCL521050,82,163,0,0,0,14,0,9,38,162,45,176,0,4,0,8,5,15,5,24,54,204,0,0,4,4,0,0,18,54,23,64,0,0,0,3,14,30,12,34,41,96,4,8,179,471
UCL521051,87,173,3,9,4,32,7,23,39,162,52,232,3,10,5,20,20,70,28,106,88,338,0,6,3,18,3,6,16,55,28,87,4,10,0,0,28,48,26,64,58,152,4,6,228,667
UCL521052,36,72,0,14,4,24,13,50,32,137,45,223,0,13,0,0,10,30,10,39,59,258,0,6,0,16,0,14,27,80,37,115,0,0,0,0,17,30,16,34,52,148,12,21,154,502
UCL522001,13,36,3,13,0,28,10,56,34,150,50,243,0,0,5,9,9,22,6,25,56,267,0,0,0,4,4,9,11,37,15,51,0,0,0,0,10,35,18,43,31,90,3,16,108,413
UCL522002,48,96,0,0,0,14,0,0,13,41,14,53,0,3,0,0,0,7,3,9,19,64,0,0,0,0,0,0,3,14,3,14,0,0,3,3,0,0,7,13,10,19,0,0,75,182
UCL522003,11,25,0,9,0,6,6,7,19,103,24,130,0,0,0,0,8,25,8,25,34,158,0,6,4,6,0,3,18,55,20,73,0,0,0,0,11,23,11,23,29,94,3,12,83,286
UCL522004,9,23,0,8,0,13,5,32,16,66,24,111,0,3,0,0,5,24,4,29,30,137,0,0,0,0,11,36,10,38,18,76,0,4,0,0,4,18,6,28,29,101,8,13,72,280
UCL522005,4,13,0,6,0,15,4,21,21,94,29,132,0,0,0,0,4,23,4,23,35,153,0,8,0,6,0,11,14,35,15,55,0,0,0,0,11,36,11,36,26,88,0,0,68,255
UCL522006,52,98,0,0,12,54,0,8,29,106,41,174,3,28,3,7,21,66,31,90,67,263,0,0,0,0,0,6,0,8,3,12,0,8,0,0,0,3,4,8,10,22,6,4,131,399
UCL522007,30,66,0,7,0,0,0,8,3,14,5,26,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,3,4,11,0,9,0,0,0,0,0,0,0,0,0,9,0,8,47,112
UCL522008,28,64,0,0,0,0,0,0,9,31,9,31,0,0,0,0,5,16,5,16,14,50,0,0,0,3,0,0,0,10,3,17,0,4,4,6,3,8,6,17,11,33,0,0,57,144
UCL522009,36,70,0,0,4,26,4,13,15,58,23,89,6,12,4,18,7,32,16,67,39,155,0,0,0,5,0,0,9,9,6,19,0,0,0,6,13,21,18,27,22,44,0,4,99,279
UCL522010,26,47,0,16,12,41,4,6,25,93,34,159,0,14,6,14,12,26,18,52,47,210,0,0,3,11,0,0,4,7,6,17,0,4,0,3,4,17,13,24,11,40,0,4,87,294
UCL522011,47,92,0,0,0,0,0,0,15,59,15,59,0,0,0,6,3,8,5,11,20,81,0,0,0,0,0,0,4,9,4,9,0,0,0,0,0,0,0,0,4,9,0,3,74,176
UCL522012,66,133,0,0,3,7,0,0,28,100,29,107,0,0,0,4,6,24,5,24,38,131,0,0,0,0,0,0,5,8,5,8,0,3,0,0,3,10,8,13,14,25,0,0,114,291
UCL522013,45,99,0,4,5,16,4,13,25,99,36,126,0,17,4,12,11,40,21,72,55,202,0,0,0,5,0,0,7,19,7,19,0,0,3,12,12,28,23,43,25,62,3,7,135,368
UCL522014,22,51,0,0,0,8,3,10,12,54,18,72,0,4,3,9,8,31,12,38,32,115,0,0,0,0,0,0,6,12,6,12,0,0,0,0,3,16,3,16,8,26,0,0,67,185
UCL522015,19,33,4,12,0,0,0,0,7,22,9,30,0,0,0,0,0,5,0,5,7,36,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,29,72
