UCL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL513005,215,237,147,110,139,43,18,903,89,88,50,20,31,5,0,280,116,111,41,25,21,3,0,318,287,257,145,80,65,9,8,840,4,9,0,0,0,0,0,9,702,699,379,235,249,58,22,2349,26,37,39,24,21,7,4,154,20,26,13,9,3,0,0,69,17,33,18,7,11,0,4,85,78,118,84,45,47,3,3,382,3,6,0,0,6,0,0,10,135,217,154,81,87,12,13,703,837,915,532,317,342,74,35,3052
UCL514001,15,12,5,10,5,3,0,46,14,8,13,10,12,0,0,52,12,14,12,5,7,0,0,53,241,249,133,89,98,14,5,827,0,0,0,0,0,0,0,6,288,287,160,109,119,18,5,982,0,5,0,0,0,0,0,9,3,12,9,3,10,0,0,38,5,3,0,3,4,0,0,10,66,91,55,38,46,3,0,304,0,9,0,9,0,0,0,22,77,120,66,53,52,4,3,375,365,403,224,166,176,22,11,1363
UCL514002,42,47,37,17,24,0,0,175,63,55,29,15,21,0,0,184,42,84,38,20,11,0,0,197,220,254,171,93,111,8,0,848,0,0,0,0,0,0,0,6,370,437,284,147,167,7,3,1412,0,8,4,5,0,0,0,18,0,12,12,9,9,0,0,40,0,7,7,6,6,0,0,30,7,41,41,24,32,3,0,140,0,0,0,0,0,0,0,5,14,68,61,41,48,3,0,234,384,505,342,189,217,8,3,1650
UCL514003,77,72,36,22,30,0,0,244,40,68,39,17,24,0,0,182,74,79,43,26,25,0,0,244,203,216,119,79,70,8,0,698,0,3,0,0,0,0,0,11,395,442,241,142,148,10,3,1376,0,6,10,0,10,0,0,28,0,8,18,12,7,0,0,50,7,14,21,6,5,0,0,49,27,51,43,25,51,4,0,207,0,3,0,5,0,0,0,8,35,81,91,58,73,4,0,343,429,524,325,192,223,16,3,1720
UCL514004,40,45,21,12,17,3,0,134,13,7,12,4,5,0,0,39,17,19,4,10,3,0,0,54,174,202,101,79,81,12,0,653,3,0,0,0,0,0,0,3,252,275,138,102,105,14,0,884,4,7,0,0,4,0,0,17,3,8,0,0,4,0,0,17,9,3,9,3,9,0,0,29,72,110,59,51,59,0,0,355,4,0,0,0,0,0,0,14,90,130,76,57,79,5,0,435,344,402,211,157,178,13,3,1317
UCL515001,5,3,0,0,3,0,0,17,4,5,0,0,0,0,0,14,0,0,0,0,0,0,0,3,21,15,5,7,9,0,0,57,0,0,0,0,0,0,0,0,37,21,11,15,11,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,4,4,0,0,18,0,0,0,0,0,0,0,3,0,5,9,0,0,0,0,23,37,31,17,16,13,0,0,110
UCL515002,4,8,0,3,0,0,0,22,6,3,3,3,3,0,0,17,9,5,9,3,0,0,0,17,38,35,24,20,29,0,0,146,0,0,0,0,0,0,0,0,53,52,31,32,34,0,3,207,0,3,0,0,0,0,0,3,0,0,4,0,5,0,0,10,0,0,4,0,3,0,0,7,7,8,6,10,5,0,0,33,0,0,0,0,0,0,0,0,6,12,13,8,11,0,0,48,57,63,43,38,43,0,3,253
UCL515003,3,0,3,5,6,0,0,25,4,5,5,5,11,0,0,28,4,8,11,7,3,0,0,37,60,67,36,33,20,0,0,216,0,3,0,0,0,0,0,5,73,89,52,47,42,3,3,305,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,17,7,0,0,0,4,0,0,9,8,8,11,11,10,0,0,45,0,0,0,0,0,0,0,0,10,18,12,10,17,0,0,71,89,105,67,57,61,3,3,379
UCL515004,15,21,9,3,12,0,0,63,13,14,6,8,6,0,0,49,9,13,7,6,0,0,0,27,115,76,52,29,21,7,0,302,0,0,0,0,0,0,0,3,152,121,74,43,37,9,0,435,0,0,0,0,0,0,0,4,3,11,3,0,7,0,0,25,6,9,5,3,0,0,0,21,19,30,18,14,7,3,0,95,0,6,0,0,0,0,0,5,28,50,31,21,19,3,0,147,181,169,101,68,56,13,0,588
UCL515005,8,11,6,0,0,0,0,29,10,8,3,10,4,0,0,32,18,16,3,5,0,0,0,45,67,88,60,39,58,4,0,318,0,0,0,0,0,0,0,0,106,123,71,52,63,4,0,421,0,4,0,0,0,0,0,4,5,7,5,5,0,0,0,19,8,0,0,0,5,0,0,15,12,25,26,31,18,0,0,114,0,3,0,0,0,0,0,7,21,46,33,31,20,6,0,156,124,166,109,85,86,12,0,572
UCL515006,19,13,10,7,9,0,0,46,9,8,6,8,7,0,0,34,25,21,9,4,0,0,0,56,128,98,49,27,21,0,0,322,3,4,0,0,0,0,0,8,179,138,72,42,34,0,0,469,3,0,3,0,0,0,0,9,0,0,0,0,3,0,0,13,0,6,4,3,0,0,0,12,44,41,39,21,17,0,0,164,0,0,3,0,0,0,0,7,52,52,47,27,24,0,0,201,231,189,114,73,55,0,0,667
UCL515007,19,21,13,7,10,0,0,68,13,26,13,6,7,0,0,62,23,21,17,3,9,0,0,74,90,104,62,27,28,3,0,310,0,0,0,0,0,0,0,0,144,172,103,45,46,3,0,507,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,13,6,15,16,9,7,0,0,52,4,0,0,0,0,0,0,0,9,24,17,8,6,0,0,69,157,199,121,50,53,6,0,582
UCL515008,8,3,4,0,0,0,0,20,6,6,7,5,3,0,0,22,13,11,12,5,3,0,0,46,58,90,46,32,24,0,0,252,0,0,0,0,0,0,0,0,87,114,58,45,36,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,7,5,3,0,0,0,0,15,0,0,0,0,0,0,0,4,7,8,7,0,0,0,0,19,92,119,65,43,36,0,0,359
UCL515009,5,14,3,3,3,0,0,42,16,12,10,3,0,0,0,34,14,20,7,8,7,0,0,56,48,77,54,30,44,7,0,255,0,0,0,0,0,0,0,3,89,120,73,40,60,5,0,385,0,0,0,6,5,0,0,12,3,4,3,0,3,0,0,14,0,0,3,0,6,0,0,14,12,27,17,11,21,0,0,92,0,0,0,0,0,0,0,8,12,32,24,20,34,0,0,136,102,154,95,63,92,7,0,518
UCL515010,11,15,9,4,0,0,0,38,5,6,6,0,0,0,0,20,8,0,3,0,0,0,0,9,83,62,40,22,16,0,0,224,0,0,3,0,0,0,0,6,106,89,59,28,19,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,50,51,37,19,10,0,0,164,3,3,4,0,0,0,0,3,51,53,37,19,10,0,0,170,160,138,97,44,25,0,0,470
UCL515011,11,13,8,5,3,0,0,37,16,20,11,6,3,0,0,58,18,10,10,8,4,0,0,49,79,98,54,34,43,8,0,310,0,0,0,0,0,0,0,0,121,138,82,52,55,6,0,449,0,0,0,0,0,0,0,3,0,4,5,4,0,0,0,10,0,0,3,3,0,0,0,9,27,21,14,12,19,3,0,89,0,0,0,0,0,0,0,8,27,32,19,18,19,3,0,116,146,167,102,65,74,10,3,571
UCL515012,14,4,7,9,11,3,0,45,10,7,0,5,3,0,0,27,7,16,6,5,5,0,0,39,124,119,53,45,45,0,0,391,0,0,0,0,0,0,0,0,158,153,70,58,65,3,3,505,0,0,0,0,0,0,0,0,3,10,5,0,0,0,0,19,5,4,0,0,4,0,0,10,20,33,16,10,11,0,0,94,0,0,0,0,0,0,0,0,23,43,22,13,23,0,0,125,177,198,91,74,84,3,4,631
UCL515013,14,11,6,3,4,0,0,34,7,10,4,0,6,0,0,26,23,10,3,9,3,0,0,43,92,129,56,26,40,0,0,347,0,0,0,0,0,0,0,0,136,159,70,38,46,5,0,448,0,5,0,0,0,0,0,9,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,17,10,3,6,0,0,50,0,0,0,3,0,0,0,3,10,25,9,7,12,0,0,65,144,192,78,40,55,3,0,513
UCL515014,3,3,3,0,0,0,0,7,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,38,36,14,17,4,0,0,104,0,0,0,0,0,0,0,0,47,38,21,17,4,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,13,7,3,0,0,57,0,0,0,0,0,0,0,0,10,22,13,7,3,0,0,57,58,64,30,23,9,0,0,182
UCL515015,43,45,27,14,19,0,0,149,6,11,3,3,3,0,0,27,15,7,0,5,0,0,0,28,67,63,43,34,37,5,0,234,0,0,0,0,0,0,0,0,129,127,73,49,61,3,3,435,0,9,3,0,0,0,0,7,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,9,17,23,16,11,4,0,0,75,0,0,0,0,0,0,0,0,16,30,21,18,3,0,0,96,144,160,92,67,62,7,4,534
UCL515016,0,0,4,3,0,0,0,7,4,4,3,3,3,4,0,22,3,0,4,0,3,0,0,10,49,48,18,9,10,0,0,128,0,0,0,0,0,0,0,3,55,55,28,17,14,4,0,176,0,0,0,0,0,0,0,0,0,6,0,4,5,0,0,7,0,0,0,0,0,0,0,0,10,15,9,10,8,0,0,54,0,0,0,0,0,0,0,0,10,19,9,14,12,0,0,60,68,78,39,26,27,4,0,237
UCL515017,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,5,8,4,0,5,0,0,0,20,28,27,12,14,6,0,0,91,0,0,0,0,0,0,0,4,34,36,22,14,11,0,0,122,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,7,0,9,0,0,28,0,0,0,0,0,0,0,0,0,6,9,5,8,0,0,29,43,44,30,21,18,0,0,151
UCL515018,10,7,11,9,11,0,0,46,8,7,5,5,3,0,0,25,8,11,11,0,5,0,0,27,62,49,27,21,15,0,0,174,4,0,0,0,0,0,0,6,83,79,51,36,30,0,0,279,4,0,0,4,5,0,0,13,0,3,7,0,0,0,0,13,3,0,0,0,0,0,0,3,16,14,8,11,9,0,0,56,0,0,3,0,0,0,0,3,19,23,12,19,15,0,0,81,105,100,63,47,44,0,0,362
UCL515019,56,45,24,15,24,0,4,163,25,14,17,6,4,0,0,62,11,17,4,0,5,0,0,37,83,71,56,31,42,0,0,277,0,3,0,4,5,0,0,20,173,157,102,56,72,0,4,559,10,9,9,3,0,0,0,31,3,4,4,0,0,0,0,9,0,0,0,0,0,0,0,10,33,37,20,11,21,3,0,123,6,4,4,0,0,0,0,7,50,51,29,15,29,0,0,184,225,206,134,70,100,9,6,743
UCL515020,39,17,18,3,10,0,0,94,9,15,12,4,0,0,0,34,26,34,6,3,0,0,0,74,145,137,69,33,29,5,0,414,4,0,0,7,0,0,0,9,220,201,105,49,43,3,0,627,0,0,5,0,0,0,0,9,0,3,0,0,0,0,0,0,5,6,0,0,0,0,0,9,60,92,63,28,17,0,0,265,4,10,0,4,0,0,0,12,65,105,71,34,21,4,0,299,288,312,170,84,62,5,0,927
UCL515021,0,6,4,9,5,0,0,23,7,4,5,6,10,0,0,30,8,7,3,4,5,0,0,28,47,53,34,34,36,7,0,202,0,0,0,0,0,0,0,0,59,71,54,44,53,7,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,3,0,12,6,8,8,0,0,36,0,0,0,0,0,0,0,0,0,10,12,11,10,0,0,47,64,77,58,61,61,8,0,334
UCL515022,22,17,4,6,9,0,0,60,6,5,6,5,0,0,0,23,11,16,4,3,9,0,0,40,133,155,95,60,59,8,0,512,0,5,0,0,0,0,0,5,172,199,107,78,76,10,0,642,0,0,0,0,4,0,0,4,8,7,4,0,8,0,0,29,0,3,0,0,4,0,0,10,36,40,34,25,29,0,0,167,3,0,0,0,0,0,0,7,51,52,35,30,41,3,0,207,221,251,146,101,115,14,0,854
UCL515023,11,6,9,0,3,0,0,37,6,3,6,0,0,0,0,18,3,17,3,0,8,0,0,30,87,75,38,31,24,0,0,249,0,0,0,0,0,0,0,0,104,102,55,34,33,0,0,329,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,21,20,18,6,10,3,0,80,0,0,0,4,0,0,0,7,17,25,24,15,15,3,0,91,126,130,82,44,43,3,0,425
UCL515024,5,3,0,8,0,0,0,14,0,0,3,4,0,0,0,9,3,4,0,3,0,0,0,21,44,49,26,13,12,0,0,150,0,0,0,0,0,0,0,0,56,57,32,30,15,0,0,194,3,0,0,0,0,0,0,4,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,24,12,9,5,0,0,69,0,0,0,0,0,0,0,4,22,33,18,9,9,0,0,93,81,92,50,36,20,0,0,285
UCL515025,12,8,9,6,15,0,0,55,4,3,0,4,3,0,0,9,4,9,5,0,3,0,0,19,55,48,22,18,21,0,0,164,0,0,0,0,0,0,0,4,70,70,33,30,42,6,0,248,0,0,0,0,6,0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,9,9,37,13,13,9,3,0,89,0,5,0,3,0,0,0,7,12,43,17,22,20,3,0,111,88,108,44,44,59,10,0,361
UCL515026,22,30,15,10,7,3,4,85,15,15,4,8,6,6,0,49,18,9,10,3,3,0,0,44,124,98,29,15,32,8,4,305,0,3,0,0,0,0,0,3,174,158,58,35,45,16,8,488,5,4,6,5,6,0,0,12,0,0,5,5,0,0,0,8,7,6,5,3,0,0,0,18,16,25,11,3,11,5,0,63,0,0,0,0,0,0,0,0,29,32,21,10,17,5,0,111,205,191,79,39,56,13,8,604
UCL515027,27,30,14,3,7,0,0,85,3,12,3,3,5,0,0,28,7,4,5,5,6,0,0,36,86,66,57,38,34,0,0,283,4,3,0,3,0,0,0,15,135,119,84,60,50,6,0,446,0,6,5,0,0,0,0,13,4,3,3,0,0,0,0,9,0,4,0,0,7,0,0,11,21,54,34,24,27,0,4,162,4,7,0,3,4,0,0,14,29,72,39,27,40,5,4,212,162,189,121,89,90,6,0,662
UCL515028,70,74,39,24,19,0,0,233,45,21,16,4,6,0,0,89,46,32,14,7,3,0,0,100,184,185,91,50,38,0,0,560,0,0,0,0,0,0,0,0,347,311,158,88,72,0,0,975,0,9,4,0,3,0,0,21,0,3,5,0,0,0,0,7,0,3,6,0,0,0,0,5,16,28,10,9,11,0,0,66,0,0,0,0,0,0,0,0,19,40,19,12,15,4,0,101,356,353,179,95,85,5,0,1077
UCL515029,10,4,3,4,3,0,0,18,3,9,0,0,3,0,0,16,10,5,4,0,0,0,0,25,41,40,27,8,10,0,0,128,0,0,0,0,0,0,0,0,67,59,33,11,14,0,0,187,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,0,0,0,22,0,0,0,0,0,0,0,0,3,6,3,5,0,0,0,28,73,67,38,19,21,0,0,220
UCL515030,12,11,6,9,16,5,0,66,22,18,12,3,5,0,0,57,23,24,5,11,9,0,0,63,94,106,83,53,49,14,0,405,4,0,0,0,0,0,0,3,145,157,106,81,81,24,0,596,0,0,3,8,7,0,0,17,5,5,4,3,4,0,0,21,0,5,0,0,0,0,0,6,16,43,29,21,30,4,3,148,0,0,0,0,0,0,0,5,28,52,40,27,39,3,0,193,169,212,145,109,122,26,7,791
UCL515031,3,3,4,5,0,0,0,15,3,5,4,0,3,0,0,21,4,10,6,6,0,0,0,25,64,62,42,42,33,4,0,257,0,0,0,0,0,0,0,0,78,85,59,51,45,3,0,316,0,0,0,0,0,0,0,0,0,4,0,6,4,0,0,15,7,4,4,0,0,0,0,9,16,20,20,16,13,0,0,89,0,0,0,6,3,0,0,10,22,27,23,19,21,0,0,118,101,113,83,75,65,3,0,434
UCL515032,4,4,6,3,17,0,0,34,13,12,7,0,0,0,0,34,9,12,3,9,5,0,0,36,67,55,34,33,35,7,6,240,0,3,0,0,0,0,0,3,88,86,57,39,62,9,6,346,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,3,12,3,4,0,0,0,22,0,0,0,0,0,0,0,0,7,12,3,4,0,0,0,29,99,96,58,41,64,9,6,375
UCL515033,45,51,11,8,13,0,0,125,26,16,6,0,4,0,0,50,34,33,7,3,0,0,0,84,154,206,84,34,22,0,0,509,0,0,0,0,0,0,0,0,250,312,113,49,51,0,0,770,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,8,11,0,6,0,0,33,0,0,0,0,0,0,0,0,5,9,15,7,14,0,0,51,256,321,125,53,61,0,0,821
