UCL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
UCL515002,526,528,1054,250,131,385,50,145,192,27,22,53,13,18,26,338,313,649,150,187,337,3.6,4.8,4.1,63.9,60.1,62,61.7,57.3,59.5,6,11,16,5,19,23,33,68,101,39,67,104,193,104,291,9,16,22,3,12,16,207,124,332,503,483,987,101,106,205,348,339,683,233,228,455
UCL515003,884,1061,1947,292,165,455,111,286,393,37,35,71,28,18,50,464,503,971,350,483,834,6.2,3.8,4.9,52.9,47.4,49.9,49.6,45.6,47.4,15,18,38,12,29,39,73,128,201,64,139,204,259,165,422,11,30,45,18,25,47,294,218,509,764,867,1630,192,275,468,492,572,1059,427,524,951
UCL515004,846,834,1671,469,258,721,70,207,279,30,34,60,36,25,58,606,520,1121,165,262,427,5.9,4.6,5.3,71.8,62.2,67,67.5,59.3,63.5,6,8,17,3,11,15,50,66,117,44,69,113,258,194,452,21,31,48,10,14,26,287,237,526,836,852,1691,206,150,361,503,508,1009,449,416,873
UCL515005,922,981,1905,403,213,612,100,274,370,37,35,74,16,23,39,557,541,1099,286,391,681,2.9,3.9,3.4,60.8,55.1,57.9,59.1,53,55.9,9,7,19,9,26,33,36,96,137,51,74,125,271,185,452,9,31,40,18,21,37,297,235,536,957,1012,1971,124,134,259,670,683,1350,365,402,768
UCL515006,1726,1638,3366,584,477,1059,161,290,449,82,71,149,65,35,106,886,875,1758,509,481,990,7.5,4.5,6,51.1,53.4,52.2,47.3,51,49.1,19,31,54,13,27,47,79,176,253,85,112,195,401,174,572,29,33,68,24,29,50,455,235,688,1381,1337,2716,291,280,570,906,845,1746,649,671,1325
UCL515007,719,796,1512,356,156,513,111,330,437,50,39,89,14,11,26,528,534,1063,116,191,311,3.2,1.9,2.5,74,66.9,70.3,71.6,65.7,68.5,15,29,45,12,26,43,105,207,314,58,100,160,217,97,313,3,19,23,10,19,27,235,133,364,743,749,1491,166,206,375,424,425,850,417,466,885
UCL515008,477,449,928,300,175,472,42,107,152,46,23,65,10,8,16,389,315,706,38,74,115,1.5,3.2,2.3,81.6,70.5,76.3,80.4,68.3,74.5,7,13,18,8,12,16,31,79,108,35,55,87,211,69,281,12,11,18,10,6,8,227,85,312,490,437,927,111,108,217,280,236,519,272,263,534
UCL515009,1132,1322,2457,296,190,482,194,324,520,45,50,87,29,22,49,563,582,1146,465,624,1092,5.5,3.4,4.5,49.5,43.9,46.5,46.8,42.4,44.4,52,58,109,22,58,80,142,210,349,96,169,265,265,138,409,19,25,43,16,35,52,298,200,500,1021,1168,2190,225,230,459,613,693,1305,586,647,1235
UCL515010,1135,1224,2362,391,363,756,78,113,191,36,43,76,26,27,54,535,545,1076,314,347,669,5,4.8,4.9,47.1,44.4,45.7,44.8,42.3,43.5,21,25,48,13,27,38,58,133,191,49,74,125,241,99,339,12,37,47,9,19,29,259,153,411,856,861,1717,216,227,442,518,486,1003,472,524,1000
UCL515011,1073,1198,2273,426,221,646,108,285,390,44,43,88,41,22,61,619,568,1185,379,576,950,6.3,3.7,5.1,57.7,47.3,52.2,54.1,45.5,49.6,5,17,26,5,25,36,53,122,180,81,108,186,302,171,477,15,27,46,15,25,38,337,227,561,1027,1108,2129,197,255,445,691,752,1444,463,540,1007
UCL515012,797,848,1644,470,269,738,82,276,351,32,38,70,19,15,39,593,604,1194,143,211,352,3.2,3.2,3.2,74.7,70.7,72.6,72.3,68.5,70.3,10,25,32,10,21,28,62,148,204,51,111,158,268,160,423,15,28,41,6,22,35,294,209,495,824,831,1660,183,220,402,477,498,968,443,490,938
UCL515013,1188,1101,2291,593,385,978,143,329,470,86,58,139,25,14,38,849,785,1634,224,230,455,3.2,1.8,2.5,71.5,71.2,71.4,69.3,69.9,69.6,25,41,64,4,28,32,106,207,314,92,94,190,413,161,579,17,40,55,17,21,40,449,219,674,973,890,1863,310,338,647,608,527,1142,613,628,1237
UCL515014,397,431,828,139,146,281,37,46,82,14,18,30,13,12,27,198,216,422,155,173,329,6.5,5.9,6.2,50.4,50.8,50.6,47.1,47.8,47.5,3,22,31,8,9,15,19,63,83,12,17,32,58,35,90,6,14,21,7,5,17,72,53,120,345,370,717,103,105,209,249,230,479,174,213,383
UCL515015,1149,1172,2320,516,253,779,108,248,360,50,15,62,24,30,49,702,547,1248,367,558,925,3.6,5.1,4.2,61.3,46.7,53.9,59.1,44.3,51.6,10,9,19,5,18,26,96,125,214,51,80,130,271,163,439,8,24,34,8,25,30,295,210,504,1128,1125,2248,158,175,333,760,770,1527,446,443,889
UCL515016,678,689,1364,233,135,370,91,173,262,29,37,66,26,12,37,372,361,734,232,272,498,6.9,2.8,4.9,55.6,52,53.8,51.8,50.5,51.1,12,7,16,8,7,13,42,74,112,40,75,113,214,80,295,8,14,22,5,22,25,229,116,347,561,542,1109,153,166,316,344,315,658,343,355,695
UCL515017,589,521,1106,165,91,252,88,124,216,37,27,65,14,9,21,297,249,547,190,193,387,3.7,3.2,3.5,50.7,48.1,49.5,48.8,46.5,47.7,0,8,16,3,6,10,29,35,64,26,43,72,178,58,240,12,13,17,6,5,15,198,74,272,453,405,861,93,102,193,358,307,661,173,165,342
UCL515018,657,636,1290,301,176,484,40,109,158,53,38,83,22,19,41,421,341,757,130,191,316,5.2,5.3,5.3,63.9,53.3,58.7,60.6,50.5,55.6,9,4,13,0,12,9,21,39,58,13,35,49,199,82,275,11,14,29,7,5,19,212,105,320,543,545,1089,145,132,283,364,325,692,285,298,588
UCL515019,1500,1429,2929,624,327,949,184,323,505,59,51,110,54,41,92,918,741,1658,417,542,956,5.7,5.5,5.6,61.3,51.8,56.7,57.8,48.9,53.5,10,17,28,11,24,32,62,116,177,53,76,127,296,167,465,33,41,67,23,28,48,352,228,581,1369,1317,2688,243,247,495,954,888,1844,561,585,1144
UCL515020,1635,1820,3452,787,704,1492,132,287,420,69,83,150,48,33,78,1041,1103,2141,298,406,704,4.4,3,3.7,63.6,60.6,62,60.8,58.8,59.8,42,77,113,23,48,68,160,306,458,90,141,232,370,192,562,12,34,47,18,27,42,407,252,657,1335,1386,2720,403,503,911,669,687,1358,929,1078,2010
UCL515021,714,670,1383,280,132,410,105,213,315,47,24,70,15,12,28,448,380,826,234,261,496,4.2,3.1,3.7,62.9,56.9,60,60.2,55.1,57.7,17,24,41,9,21,34,67,112,179,55,75,133,224,87,310,11,14,26,18,26,44,256,130,379,713,668,1375,100,102,202,535,493,1030,241,245,486
UCL515022,1659,1705,3366,746,355,1105,167,438,608,72,70,142,48,43,94,1034,906,1942,515,701,1222,4.7,5,4.8,62.3,53.2,57.7,59.4,50.5,54.9,15,20,28,3,29,36,85,141,226,72,127,195,430,250,682,37,58,101,27,36,62,489,353,842,1649,1649,3300,265,287,548,1134,1113,2251,667,729,1394
UCL515023,1002,944,1946,423,223,651,109,220,328,34,43,80,34,19,54,602,509,1115,272,327,604,5.6,3.7,4.8,60.3,54,57.3,56.9,52,54.6,25,9,35,7,13,19,48,76,123,38,60,99,246,110,356,21,37,54,7,20,26,274,164,440,890,865,1746,165,161,332,590,559,1147,408,403,817
UCL515024,627,643,1269,262,157,418,55,131,190,21,19,46,27,20,47,372,329,701,174,234,407,7.3,6.4,6.9,58.9,51.2,55,54.5,48,51.2,0,14,17,3,8,15,24,51,76,14,37,45,148,77,231,5,24,28,9,7,15,168,105,275,582,606,1188,79,94,180,406,393,803,224,268,495
UCL515025,722,820,1541,247,139,380,84,163,254,35,27,67,22,11,35,388,341,734,234,363,595,4.6,4.4,4.5,53.9,41.9,47.5,51.4,40,45.4,6,5,14,3,5,8,30,67,99,35,79,115,164,122,285,7,24,33,5,13,22,180,159,339,673,695,1371,113,130,245,444,485,927,304,308,613
UCL515026,857,877,1739,477,225,697,89,252,342,41,49,90,29,30,51,630,552,1182,170,287,451,4.3,4.7,4.5,73.3,62.9,68.1,70.2,60,65,8,8,17,4,12,22,37,96,137,32,106,140,327,169,493,15,29,45,7,21,31,351,212,564,908,921,1826,131,139,269,534,507,1043,418,464,886
UCL515027,1498,1585,3090,593,381,973,176,345,522,49,54,103,60,50,104,877,828,1709,447,571,1017,6.9,5.7,6.3,58.6,52.2,55.3,54.6,49.2,51.8,22,18,41,16,33,53,114,180,293,71,141,212,350,201,549,25,41,59,10,23,34,386,264,646,1297,1414,2711,281,289,574,897,945,1843,609,663,1273
UCL515028,1593,1465,3060,1059,663,1723,104,282,384,119,92,212,24,32,63,1306,1066,2374,91,216,305,2,3.2,2.5,81.7,72.9,77.5,80.1,70.6,75.5,27,31,62,11,27,35,101,199,304,88,156,235,592,253,847,34,41,74,21,27,50,643,318,966,1408,1246,2650,487,511,992,534,401,938,1161,1173,2334
UCL515029,593,409,1009,322,154,475,23,62,93,57,43,98,12,6,15,411,268,677,28,67,99,2.2,2.6,2.4,69.1,65.3,67.5,67.6,63.6,65.9,4,8,12,0,10,7,16,41,55,23,41,68,182,74,253,3,8,13,3,7,9,189,88,278,418,303,720,138,152,291,171,95,267,344,319,665
UCL515030,1496,1663,3160,509,276,788,161,388,546,56,49,107,73,55,126,798,769,1567,551,725,1278,8.8,6.9,7.9,53.1,46.4,49.6,48.4,43.2,45.7,19,10,30,12,19,34,67,119,189,78,130,201,405,257,659,33,48,77,21,46,66,456,344,797,1407,1570,2979,227,240,464,979,1078,2051,561,653,1211
UCL515031,1192,1238,2429,371,222,589,123,274,394,55,36,98,18,29,43,563,558,1126,481,559,1040,2.9,4.8,3.8,47,45.4,46.2,45.7,43.2,44.4,10,14,25,3,25,30,39,98,143,55,107,164,328,154,478,21,35,54,18,15,29,368,204,568,1044,1112,2160,155,182,329,756,781,1538,396,466,865
UCL515032,597,576,1174,310,143,454,60,192,248,40,29,71,7,15,23,420,376,801,122,168,290,2.6,3.2,2.9,70.8,65.1,67.9,68.9,63,66,4,3,10,5,9,19,29,64,93,34,50,89,212,109,323,11,16,20,5,14,24,231,132,367,600,573,1174,94,88,187,430,409,841,226,213,437
UCL515033,1024,935,1960,643,349,983,80,227,311,96,71,172,11,18,25,832,665,1491,53,142,190,1.1,2.7,1.8,81,70.8,76.1,80.2,68.9,74.8,18,19,35,10,22,33,72,143,216,54,102,158,420,178,596,19,18,39,11,14,29,450,214,666,968,887,1857,296,278,578,345,305,649,794,751,1540
UCL515034,1130,1083,2213,460,205,668,121,264,386,48,37,86,45,50,103,681,561,1238,352,449,799,7.1,9.3,8.1,59.9,51.8,55.9,55.7,47,51.4,10,11,23,9,23,30,51,120,171,74,140,219,378,178,555,25,28,47,17,26,38,416,225,641,1127,1069,2196,221,216,436,676,623,1299,581,590,1168
UCL515035,549,573,1128,176,93,270,53,130,191,29,28,59,21,14,34,278,274,552,215,237,451,7.2,5.1,6.1,50.5,47.7,49.1,46.8,45.3,46.1,7,3,11,3,6,12,28,54,83,15,32,43,120,64,184,3,9,16,4,6,16,132,81,214,480,476,953,85,100,185,359,367,727,179,182,357
UCL515036,947,999,1945,359,137,497,80,231,310,48,33,86,42,40,79,534,447,973,329,471,798,7.4,9.5,8.3,55.9,44.5,50.1,51.8,40.3,45.9,5,6,15,5,6,14,31,60,89,38,74,112,282,177,462,13,33,43,10,25,32,302,235,538,880,950,1832,149,168,317,645,672,1324,332,385,712
UCL515037,835,609,1437,473,212,688,55,143,201,50,42,98,10,9,17,589,414,1000,65,89,153,1.5,2.4,1.9,70.8,68,69.6,69.7,66.4,68.3,3,13,15,4,15,23,27,79,111,44,50,91,309,125,426,6,19,29,5,8,10,319,152,467,697,526,1221,200,182,385,402,259,665,406,375,784
UCL515038,1026,1051,2075,296,187,487,101,216,315,41,32,71,41,36,70,478,464,947,445,500,945,8.1,6.8,7.5,46.7,44.5,45.6,42.9,41.4,42.2,20,18,34,11,32,39,63,102,165,65,121,186,248,126,373,17,15,33,26,24,49,287,164,451,902,965,1863,154,148,300,641,673,1314,380,412,794
UCL521001,216,206,428,108,55,160,26,59,86,13,13,24,8,7,14,152,131,277,60,76,135,4,4.7,4.3,69.3,61.7,65.6,66.5,58.9,62.8,0,0,3,0,0,4,5,24,32,17,17,38,81,57,138,4,6,15,4,8,11,93,68,164,228,220,446,29,24,51,186,173,365,60,53,116
UCL521002,319,338,660,120,65,188,28,79,107,14,8,26,6,7,15,171,168,337,121,142,261,5.3,4.8,5.1,53.1,48.8,50.9,50.3,46.4,48.3,7,0,3,0,3,3,10,29,36,21,31,53,115,49,167,0,11,9,9,11,16,123,64,189,302,312,613,52,36,92,237,244,483,98,85,189
UCL521003,386,387,770,86,53,139,39,60,99,6,8,19,17,17,34,154,133,286,193,218,415,11.8,9.8,10.9,39.5,34.1,36.8,34.9,30.7,32.8,5,3,7,0,6,4,17,34,50,24,36,57,81,42,125,10,0,10,3,9,14,88,56,145,325,344,672,45,46,90,238,241,487,120,133,249
UCL521004,184,234,423,37,41,74,12,10,19,7,5,19,9,3,8,57,63,118,129,159,283,9.3,7.6,8.3,28.7,28.1,28.4,26.1,26,26,3,0,3,0,0,0,6,20,22,0,7,4,18,25,39,3,8,12,3,4,13,29,39,62,222,259,481,38,36,76,167,204,367,74,71,145
UCL521005,440,425,867,188,110,295,49,86,131,28,26,55,9,9,19,277,223,503,113,158,269,3.6,4.4,4,62.6,52.9,57.9,60.3,50.6,55.5,5,3,13,0,7,14,17,49,65,16,36,54,125,53,183,7,13,25,9,9,19,144,75,221,396,372,773,111,115,229,246,233,480,220,214,434
UCL521006,333,372,703,147,66,214,26,106,135,28,30,60,9,7,13,205,208,415,107,143,245,2.4,1.9,2.2,62.1,56.5,59.1,60.6,55.4,57.8,4,4,3,3,8,11,15,47,59,26,30,54,123,76,203,8,8,14,0,8,8,130,99,221,338,384,721,44,45,87,258,276,534,106,138,243
UCL521007,207,248,458,62,44,106,15,48,61,14,13,24,3,14,13,100,113,207,91,109,203,5.2,8.9,7.2,46.6,44.6,45.5,44.2,40.6,42.3,0,0,5,0,5,4,8,26,29,7,26,37,33,37,73,6,0,5,3,7,16,43,50,92,158,198,359,40,55,95,112,131,250,81,105,186
UCL521008,217,231,442,62,21,86,16,49,69,13,12,19,9,7,13,95,91,187,86,116,203,10.3,6.6,8.5,45.5,39.2,42.2,40.8,36.6,38.7,0,4,0,3,3,6,7,14,27,7,17,18,36,27,62,0,3,3,0,3,5,42,38,74,189,200,383,31,35,65,123,131,250,80,96,177
UCL521009,247,226,469,92,45,136,17,40,57,0,4,6,3,8,11,120,91,207,84,106,189,5,6.7,5.7,49,39.8,44.6,46.5,37.2,42,0,0,0,0,13,11,6,12,20,5,18,25,54,23,77,5,7,7,3,6,9,59,32,92,211,199,402,38,45,78,165,143,304,78,81,159
UCL521010,320,337,664,118,57,174,22,65,89,16,17,32,19,14,30,173,147,323,116,162,276,8.6,8.1,8.4,53.7,43.8,48.6,49.1,40.2,44.6,0,0,6,3,0,3,7,15,27,9,22,31,104,63,174,4,12,17,4,6,14,113,85,199,295,295,590,50,69,119,206,194,403,126,149,275
UCL521011,205,225,433,136,66,200,10,77,83,12,6,19,5,6,9,161,156,314,32,68,103,2.5,4.6,3.5,79.1,68.3,73.5,77.2,65.2,70.9,4,0,5,0,12,11,5,34,38,14,18,40,81,44,121,3,12,15,0,3,3,83,58,144,235,265,502,34,29,67,177,192,372,76,84,163
UCL521012,234,229,462,107,54,166,13,54,68,14,9,22,10,6,17,144,123,268,75,89,162,5.6,4.8,5.2,61.3,55,58.2,57.9,52.4,55.2,5,3,11,0,6,14,4,23,24,17,16,34,66,41,105,4,12,11,0,6,8,70,58,130,217,219,440,28,39,65,143,159,308,97,86,181
UCL521013,366,364,729,157,90,249,44,118,160,24,15,40,9,4,16,235,227,461,107,123,228,4.2,2.7,3.5,64.9,61.8,63.4,62.2,60.2,61.2,4,9,11,0,10,6,12,37,47,30,33,63,118,77,198,3,7,14,4,15,12,128,94,224,399,381,777,37,38,70,272,260,527,128,141,272
UCL521014,349,293,648,121,65,190,27,51,77,13,10,22,12,11,19,173,135,313,107,96,196,7.4,7.2,7.3,50.1,47.1,48.8,46.4,43.7,45.2,4,0,4,3,4,7,9,15,24,7,17,29,68,37,102,4,6,13,5,8,12,80,45,124,265,209,476,54,59,122,188,141,328,114,120,234
UCL521015,266,276,535,123,66,193,26,58,88,10,9,23,9,3,12,169,143,315,82,110,192,5.3,3.5,4.5,64,51.8,57.8,60.6,50,55.2,0,3,3,0,0,0,6,27,37,12,24,38,68,29,97,12,10,17,0,11,7,80,42,124,222,232,455,54,55,112,169,160,326,106,113,219
UCL521016,284,258,541,146,42,191,17,71,88,10,6,18,7,9,20,183,129,314,75,107,182,4.9,7.7,6,66.1,50.4,58.6,62.9,46.5,55,3,4,4,0,0,5,12,22,27,11,12,24,79,33,118,8,6,16,9,5,12,95,38,134,276,251,523,42,32,72,172,165,336,126,105,233
