UCL_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
UCL513005,129,496,468,2062,31,3181,0,20,15,277,9,322,74,0,5,4,0,93,13,3,4,25,0,42,120,27,23,44,3,207,2997,457,443,1490,42,5440,72,4,19,0,0,102,65,5,3,12,0,83,189,31,21,135,7,374,17,0,5,0,0,21,12,0,0,3,0,16,79,6,3,13,5,101,528,82,63,395,15,1081,105,29,12,175,6,324,20,0,0,0,0,20,5,3,4,0,0,11,9,7,4,12,0,26,3,5,0,3,0,17,284,36,14,6,0,341,143,47,18,11,3,224,50,10,8,21,4,97,7,0,7,9,0,21,23,0,0,0,0,29,624,91,85,312,9,1112,4,0,0,0,0,6,264,14,21,11,0,308,29,3,3,8,0,44,4,0,0,0,0,9,6,0,3,0,0,9,117,15,4,14,0,157,694,63,77,124,8,967,47,8,6,30,610,706,5156,847,751,3537,717,11009
UCL514001,56,293,223,2470,39,3082,0,16,9,309,11,344,20,0,0,7,0,33,6,8,0,3,0,15,46,13,3,28,0,97,548,307,228,2109,42,3238,40,0,6,0,0,53,10,0,0,12,0,27,62,26,11,153,0,254,0,0,0,0,0,4,4,0,0,0,0,5,11,5,5,7,0,24,87,50,32,382,6,563,81,60,5,240,4,386,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,9,13,0,0,86,27,12,11,10,0,57,70,9,8,44,0,121,6,4,0,3,0,12,0,0,0,0,0,0,102,65,53,438,5,661,0,0,0,0,0,4,19,0,7,0,0,25,6,0,0,5,0,6,0,0,0,0,0,0,4,0,0,0,0,9,38,11,12,40,0,99,113,35,16,39,0,198,9,4,6,49,567,633,1116,542,370,4507,648,7184
UCL514002,58,426,347,1961,27,2818,0,6,5,54,0,67,31,4,0,10,0,46,0,0,0,18,0,30,64,20,16,35,0,137,1031,370,303,1695,31,3428,5,0,11,0,0,22,57,4,6,7,0,78,106,31,32,131,7,297,12,5,0,26,0,39,9,3,0,3,0,12,25,0,6,13,0,43,209,72,45,462,7,798,94,34,15,125,0,278,15,0,0,0,0,15,0,0,0,0,0,3,0,0,0,3,0,3,3,4,0,3,0,13,29,3,4,0,0,44,45,36,32,6,0,118,16,9,7,13,3,48,0,3,0,3,0,9,0,0,0,0,0,0,230,73,56,409,4,775,5,0,0,0,0,8,70,15,11,7,0,100,14,0,0,7,0,17,7,0,0,0,0,11,4,0,3,0,0,11,38,10,3,16,0,67,291,65,77,61,9,503,22,7,4,22,457,507,1861,677,561,3559,524,7182
UCL514003,66,401,389,1699,20,2565,5,8,7,110,0,129,58,12,3,4,3,82,5,7,5,33,0,54,81,20,9,76,0,184,1042,356,379,1516,22,3315,78,0,10,3,0,95,81,4,18,17,0,116,156,21,35,125,0,332,11,8,5,15,0,33,11,3,0,0,0,19,33,3,3,5,0,40,233,85,66,426,4,815,161,40,17,131,0,350,28,0,0,0,0,29,4,0,0,0,0,4,4,0,3,0,0,3,6,0,0,3,0,14,35,21,8,0,0,59,67,35,11,9,0,122,29,10,6,16,0,65,10,0,0,3,0,15,0,0,0,0,0,0,247,85,47,394,3,784,0,0,7,0,0,6,41,4,5,3,0,53,54,5,3,7,0,66,8,0,0,0,0,10,16,0,0,0,3,14,45,11,4,24,0,81,435,76,92,93,3,693,27,6,8,40,519,593,2304,682,646,3230,569,7430
UCL514004,66,219,210,2088,28,2611,0,17,4,494,9,523,35,4,4,10,0,46,11,5,0,7,0,22,61,21,3,49,4,132,491,254,185,1666,51,2648,137,0,14,0,3,150,9,3,3,9,0,25,80,23,20,128,3,252,3,0,0,8,0,14,8,5,0,4,0,13,61,3,5,0,0,76,104,37,28,364,11,543,34,20,9,111,0,175,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,6,40,3,6,0,0,49,31,10,6,3,0,53,77,4,8,36,0,133,16,3,0,9,0,26,6,0,0,0,0,8,109,63,27,355,4,562,24,0,0,0,0,24,23,3,0,0,0,27,8,0,0,0,0,9,0,0,0,0,0,5,13,0,0,0,0,13,13,11,0,11,0,40,220,42,39,80,5,381,8,7,0,29,674,718,1319,436,333,3812,776,6679
UCL515001,10,60,38,313,7,430,0,0,0,4,0,4,9,0,0,0,0,9,3,0,0,0,0,3,13,0,0,0,0,21,186,69,37,330,18,644,0,0,0,0,0,0,9,0,0,0,0,7,25,0,6,36,0,67,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,20,6,6,71,0,111,3,0,5,13,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,12,3,3,0,0,13,3,0,0,0,0,3,0,0,0,5,0,4,0,0,0,0,0,0,51,9,13,85,4,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,6,0,0,0,0,13,33,6,4,11,0,55,0,0,0,5,70,77,320,100,66,631,101,1211
UCL515002,8,68,49,393,4,524,0,0,0,16,0,17,8,0,0,0,0,9,4,0,0,4,0,4,15,0,3,10,0,25,153,72,53,328,0,600,0,0,0,0,0,0,4,0,0,0,0,8,16,0,3,25,0,44,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,49,11,13,65,0,142,15,12,8,44,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,3,10,11,0,3,0,22,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,33,13,7,62,0,121,0,0,0,0,0,0,14,0,0,0,0,18,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,55,5,15,11,0,74,4,4,0,3,62,72,302,112,94,694,69,1271
UCL515003,18,92,95,610,11,819,0,3,0,36,0,45,0,0,0,0,0,5,5,0,0,0,0,6,34,12,3,14,0,57,465,138,87,533,12,1236,16,0,0,0,0,16,15,0,0,5,0,20,29,3,9,24,0,61,0,0,0,0,0,0,5,0,3,0,0,8,0,3,0,0,0,5,81,21,23,142,0,269,15,15,3,29,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,7,0,4,4,0,11,16,0,0,0,0,17,15,4,0,0,0,22,9,3,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,81,30,23,144,0,284,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,4,0,9,0,0,0,0,0,0,4,0,0,0,0,4,21,0,3,6,0,27,56,7,11,12,5,96,3,0,0,5,144,156,685,215,151,1083,164,2300
UCL515004,24,122,105,647,15,912,0,0,4,48,0,55,24,0,4,5,0,30,0,3,0,0,0,8,19,13,7,20,0,63,271,117,114,542,13,1061,6,0,0,0,0,9,7,0,0,0,0,9,14,5,10,34,0,65,0,0,0,3,0,7,0,0,0,0,0,5,12,0,0,0,0,12,45,21,21,112,0,200,11,15,12,48,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,24,5,4,0,0,34,24,7,5,0,3,43,11,0,0,9,0,21,0,0,0,0,0,0,3,0,0,0,0,6,77,20,30,136,0,262,0,0,0,0,0,0,12,5,0,0,0,19,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,3,0,5,6,0,0,10,0,24,109,26,8,13,5,164,8,0,0,0,135,149,565,205,187,1107,167,2225
UCL515005,15,110,117,827,9,1085,0,4,13,76,0,94,0,0,0,6,0,9,3,0,0,10,0,7,29,7,18,30,0,86,246,108,108,695,8,1159,3,0,0,0,0,4,13,3,0,7,0,27,19,9,4,51,0,82,0,0,0,3,0,3,0,0,0,0,0,0,7,3,0,0,0,6,50,16,10,129,4,214,12,5,5,62,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,9,0,7,0,0,7,10,5,0,4,0,26,6,0,0,5,0,10,0,0,0,4,0,5,0,0,0,0,0,0,50,17,17,153,0,238,0,0,0,0,0,0,15,3,5,0,0,25,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,7,4,10,0,28,45,24,3,20,0,93,3,0,0,15,123,145,422,189,177,1469,145,2402
UCL515006,43,134,102,1043,25,1348,0,16,10,723,17,766,41,4,8,3,0,52,40,11,0,19,0,69,23,9,5,14,0,57,242,92,90,616,26,1071,48,0,9,0,0,55,13,0,4,3,0,21,32,6,10,48,0,100,3,0,0,4,0,13,3,0,0,0,0,8,18,0,0,3,0,23,50,21,12,182,4,273,56,14,3,83,3,154,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17,3,0,4,0,21,19,7,0,0,0,29,5,0,0,5,0,14,0,0,0,5,0,0,3,0,0,0,0,0,53,22,13,154,0,242,3,0,0,0,0,3,11,3,6,0,0,16,6,0,0,4,0,9,0,0,0,0,0,0,29,0,4,0,0,30,15,5,0,4,0,27,248,14,21,42,5,335,3,0,9,16,735,762,839,226,181,2120,801,4162
