UCL_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
UCL513005,79,179,319,336,330,205,166,89,12,1702,23,25,97,101,84,63,34,9,0,436,35,40,144,146,170,168,139,64,12,908,7,8,15,26,19,22,19,15,9,142,0,4,3,3,6,12,6,20,10,59,0,0,4,0,0,5,3,0,0,15,19,13,31,31,28,26,13,22,18,198,168,260,601,646,633,491,374,224,54,3463,73,151,488,535,409,259,176,74,23,2193,14,20,92,82,65,73,55,23,7,432,24,35,135,136,172,167,155,66,14,899,9,6,18,12,14,23,23,16,5,120,3,0,4,7,7,9,15,17,16,78,0,0,0,7,0,0,0,3,0,12,15,9,42,38,26,17,26,35,36,246,145,221,781,820,684,549,442,238,89,3976,150,327,808,871,737,463,339,165,38,3896,38,45,187,186,150,138,85,32,3,865,62,74,271,283,335,331,294,129,21,1812,17,11,29,37,33,41,43,33,11,261
UCL514001,28,108,129,148,84,83,101,41,4,724,18,36,104,84,85,58,31,10,5,425,24,20,91,107,163,244,199,76,6,937,3,9,4,17,22,41,65,28,8,199,3,4,0,3,5,20,47,41,17,141,0,0,0,0,0,8,8,3,0,16,21,11,39,49,46,38,48,35,27,299,105,184,372,403,402,476,498,239,64,2740,42,94,214,174,157,125,80,36,9,935,12,28,71,68,69,78,52,15,0,393,15,19,84,104,179,212,189,89,28,911,13,0,15,6,22,33,44,31,15,167,0,3,0,4,3,6,33,33,17,100,0,0,0,0,0,0,4,0,0,10,23,9,33,37,31,29,32,38,35,265,112,156,415,397,459,484,425,242,98,2780,68,201,344,321,239,211,187,79,12,1666,36,66,168,152,152,139,82,26,6,815,45,40,176,214,338,451,387,165,29,1849,12,7,20,19,43,71,108,61,16,361
UCL514002,48,56,211,314,255,170,223,93,18,1388,14,8,34,59,60,39,37,20,7,279,10,10,32,62,86,99,108,52,6,464,0,0,7,4,7,11,18,15,6,66,0,4,5,0,0,4,5,8,0,27,0,0,0,0,0,0,0,0,0,0,7,8,27,33,20,20,5,22,0,149,85,85,308,476,430,344,400,206,43,2381,29,65,322,463,360,221,197,76,17,1749,3,3,13,44,43,52,55,14,3,240,6,0,14,51,68,91,146,75,12,462,0,0,0,3,3,4,22,14,8,53,0,0,0,0,4,0,5,14,12,30,0,0,0,0,0,0,0,0,0,4,5,9,28,32,15,21,22,20,0,167,50,76,382,600,492,402,445,211,51,2713,80,121,527,780,619,392,415,173,37,3139,18,8,49,104,103,95,97,32,6,519,18,13,47,109,151,188,248,129,23,931,6,0,7,7,8,18,37,26,9,119
UCL514003,36,93,309,343,292,163,133,57,13,1445,13,16,44,60,63,44,23,5,0,273,25,13,52,81,94,101,90,21,8,478,6,0,6,5,7,21,13,6,0,65,3,9,25,10,7,6,10,8,3,79,0,0,0,0,0,0,0,0,0,3,18,17,52,42,40,40,30,9,15,259,91,153,484,546,507,370,294,112,43,2602,33,80,379,524,365,221,147,66,21,1831,7,3,33,55,55,57,36,11,0,253,7,11,34,63,83,104,105,26,12,453,4,0,0,6,6,7,16,5,4,61,0,0,4,0,0,4,9,13,8,30,0,0,0,0,0,0,0,0,0,5,7,11,39,38,46,35,24,16,29,242,66,112,491,687,548,426,339,140,72,2874,71,175,692,866,654,379,284,121,34,3271,20,16,74,119,117,102,59,16,0,528,32,17,82,145,173,209,192,56,25,928,3,3,8,17,15,27,25,16,3,123
UCL514004,42,93,161,145,128,128,119,40,8,855,17,24,38,35,39,45,32,14,4,245,21,29,86,86,125,168,134,48,17,719,9,8,14,13,18,26,36,34,5,156,4,0,3,7,11,13,33,31,24,127,0,0,0,4,0,6,3,5,0,18,26,18,49,41,49,45,45,32,16,323,121,176,359,327,366,426,399,205,68,2441,44,104,194,204,180,151,105,48,14,1034,9,13,52,45,50,83,35,26,3,320,19,26,70,78,118,170,160,59,23,726,8,0,10,11,15,25,26,21,16,136,0,0,6,7,3,13,34,33,23,117,0,0,0,0,0,0,0,0,0,8,15,25,29,38,52,40,38,52,34,323,91,168,354,382,430,479,399,236,118,2663,83,199,358,346,309,275,221,88,22,1892,21,36,90,79,87,129,70,40,5,558,44,56,157,167,245,340,294,107,41,1451,13,11,19,28,37,50,63,54,19,293
UCL515001,0,10,20,17,21,33,66,41,13,226,0,0,5,4,0,14,14,3,5,55,0,0,7,9,23,39,35,18,10,153,0,0,0,0,0,8,8,9,3,22,0,0,0,0,0,0,5,0,7,21,0,0,0,0,0,0,0,0,0,0,0,0,4,10,6,5,12,6,4,42,0,20,40,42,54,92,147,86,48,519,4,10,25,39,48,48,57,34,13,267,0,0,0,0,3,21,16,7,8,55,0,0,3,6,19,29,59,12,13,146,0,0,0,0,3,5,8,12,4,35,0,0,0,0,0,0,5,3,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,10,10,4,40,3,12,36,48,76,104,155,78,54,565,3,18,45,56,63,80,128,71,28,493,0,0,8,8,12,36,30,12,8,106,3,4,12,20,38,67,100,33,22,299,0,0,0,0,3,9,19,20,6,56
UCL515002,5,12,34,34,33,33,29,7,0,188,4,0,7,20,16,10,0,4,0,59,0,11,13,17,30,47,33,5,0,150,0,0,0,3,3,0,11,4,0,25,0,0,0,4,0,3,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,11,6,3,0,0,3,24,17,23,57,89,78,92,80,22,6,458,5,18,45,46,48,45,35,7,0,253,0,7,6,8,12,16,9,3,0,66,0,9,10,21,21,34,34,4,6,129,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,0,0,0,4,17,11,27,68,72,87,95,87,22,8,477,14,30,75,83,84,75,65,11,0,438,4,3,20,27,26,28,10,8,0,127,5,11,24,31,51,80,70,10,3,280,0,0,3,3,4,5,11,8,3,32
UCL515003,8,14,49,55,47,57,90,40,0,364,9,4,3,14,24,20,12,3,0,87,0,8,17,16,42,56,63,26,9,244,0,0,0,3,3,6,7,10,10,38,0,0,0,0,0,0,9,8,3,21,0,0,0,0,0,0,0,0,0,0,0,3,11,9,16,14,11,15,5,79,24,36,88,91,136,155,195,94,29,836,8,32,61,67,72,92,82,41,7,470,5,0,10,5,23,34,24,3,3,111,9,3,18,17,39,54,80,31,8,261,3,0,0,0,0,5,4,9,8,35,0,0,0,0,4,6,6,6,4,23,0,0,0,0,0,0,0,0,0,0,4,3,5,4,7,11,13,8,4,79,33,34,90,104,149,204,222,102,45,981,22,49,109,124,120,155,172,79,14,837,10,4,18,19,45,49,36,7,6,193,9,10,28,38,83,114,143,58,16,501,4,0,5,0,3,14,15,16,14,71
UCL515004,18,69,105,51,38,19,17,11,0,334,5,3,29,17,14,9,8,3,0,97,13,18,42,34,38,25,35,15,5,215,5,0,9,0,3,7,7,4,0,38,0,0,0,0,5,0,10,8,5,22,0,0,0,0,0,0,0,0,0,3,0,7,16,6,12,8,4,0,0,48,47,105,196,109,104,68,72,41,9,753,10,44,117,85,56,29,21,4,0,366,0,4,23,14,25,16,8,0,0,95,5,12,50,23,36,33,32,10,0,203,4,0,3,0,6,3,6,3,0,31,0,0,0,0,0,4,8,5,0,21,0,0,0,0,0,0,0,0,0,5,3,4,5,3,4,6,4,5,4,48,25,68,203,137,136,86,76,27,11,773,35,119,217,134,91,48,38,14,0,699,12,10,54,34,44,24,17,3,0,190,19,27,89,62,73,64,64,16,4,415,7,0,15,10,8,7,10,12,0,70
UCL515005,11,34,47,50,47,21,39,9,4,251,4,6,22,22,22,11,12,8,0,100,12,6,21,45,66,52,58,28,8,295,0,7,0,8,12,18,15,5,0,62,0,0,0,0,3,3,10,5,0,30,0,0,0,0,0,0,0,0,0,0,8,4,0,4,11,3,9,10,4,48,29,55,93,122,160,122,135,66,15,790,13,34,73,92,75,53,34,13,4,393,3,3,25,23,31,19,11,3,3,125,0,4,25,32,53,59,63,28,3,266,4,0,0,3,9,9,6,7,0,35,0,0,0,0,0,0,4,9,9,16,0,0,0,0,0,0,0,0,0,0,5,5,0,7,5,14,9,3,3,56,28,42,124,161,169,150,124,60,20,901,22,66,125,139,121,75,75,19,7,638,9,16,40,44,52,31,18,11,3,228,9,17,47,76,122,111,120,57,7,565,7,0,0,13,16,23,20,16,3,95
UCL515006,16,49,123,115,89,118,132,59,12,712,11,19,23,33,61,36,35,14,0,231,8,16,52,47,92,129,182,61,12,608,8,3,0,12,24,30,44,35,6,166,0,0,3,6,4,16,38,41,9,122,0,0,0,0,5,0,0,0,0,14,29,41,81,65,69,58,55,27,3,436,75,131,290,277,346,393,494,243,50,2282,13,56,155,141,111,144,115,43,6,785,5,13,26,34,47,51,44,9,0,228,11,19,44,36,69,140,176,54,4,556,11,6,5,5,14,18,33,27,4,123,6,0,3,0,7,8,23,26,12,85,0,0,0,0,3,0,5,3,7,17,20,43,68,52,52,54,36,25,11,362,63,138,299,273,306,417,425,194,40,2153,33,106,278,254,201,263,237,101,13,1498,19,34,48,61,102,90,74,25,4,460,21,34,99,83,166,270,366,118,19,1164,19,6,6,16,37,49,81,64,13,294
UCL515007,4,15,47,116,93,34,26,7,0,341,4,4,8,23,21,12,9,3,0,79,3,0,8,25,23,36,11,14,0,120,0,0,0,3,0,3,8,0,4,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,11,18,12,4,4,5,0,54,19,24,69,183,148,92,50,29,9,620,8,15,85,177,102,60,29,6,0,487,0,0,4,13,16,13,5,0,0,54,4,0,7,17,20,23,23,0,0,103,0,0,0,0,0,4,3,0,0,12,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,5,24,18,8,3,0,0,63,17,16,103,238,148,108,61,19,10,721,10,28,127,301,193,95,53,20,3,826,4,4,12,39,28,30,11,5,0,129,4,0,20,37,44,56,38,14,0,224,5,0,0,8,0,9,7,0,4,31
UCL515008,7,16,41,53,49,29,11,7,0,210,4,10,9,19,16,26,7,0,0,83,0,3,8,26,32,29,14,0,0,112,0,0,0,6,4,6,9,0,0,24,0,0,0,0,0,4,5,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,8,16,10,10,6,0,0,58,19,25,67,128,109,96,43,8,0,499,3,9,55,80,65,31,4,3,0,256,0,3,8,14,17,11,3,0,0,49,0,0,10,6,19,23,14,3,0,82,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,7,10,11,4,3,0,63,8,20,79,114,116,75,30,13,0,455,10,24,97,138,110,62,19,5,0,468,4,14,12,37,30,34,5,4,0,133,0,9,18,36,51,51,30,3,0,197,0,0,0,6,4,6,9,5,0,32
UCL515009,12,19,51,97,90,95,106,62,18,543,4,5,14,9,11,18,12,7,0,79,8,5,9,30,42,46,52,33,4,228,0,0,0,4,7,4,14,14,8,51,0,0,0,0,3,0,3,12,3,29,0,0,0,0,0,0,0,0,0,0,18,5,14,14,25,28,18,10,3,134,41,29,91,152,170,189,207,136,40,1055,8,23,86,121,118,112,113,61,26,668,6,0,11,11,25,31,18,12,8,115,3,5,11,22,39,43,70,42,14,245,0,0,0,6,0,6,9,6,6,37,0,0,0,0,0,6,7,9,9,29,0,0,0,0,0,0,0,0,0,0,8,6,15,19,33,15,19,18,6,143,22,35,119,184,213,218,240,151,70,1238,17,34,135,213,203,208,225,126,45,1206,12,5,21,22,34,50,30,14,10,193,15,5,20,49,76,90,118,71,18,477,3,0,0,4,4,9,18,23,16,88
UCL515010,8,43,101,74,67,79,75,17,0,459,7,8,21,27,19,25,24,3,0,139,6,19,39,27,56,85,83,15,0,327,6,0,10,9,11,21,23,5,0,85,6,0,4,5,10,8,15,9,5,58,0,0,0,0,0,0,5,0,0,9,22,36,67,55,51,60,43,13,0,343,48,105,244,198,220,277,261,63,7,1417,14,57,144,85,77,97,68,10,5,558,5,9,26,23,34,37,15,5,0,151,11,11,35,34,43,78,62,13,9,290,7,0,5,4,13,11,19,3,0,70,0,0,0,4,4,6,6,14,0,45,0,0,0,0,0,0,0,3,4,12,23,32,90,61,64,58,35,11,0,392,64,116,305,219,236,282,218,64,19,1523,20,103,249,164,142,175,139,23,9,1019,9,17,50,54,54,63,43,5,0,292,15,23,74,61,103,162,141,30,6,618,9,9,14,13,21,28,43,7,0,155
UCL515011,13,26,59,61,55,49,40,23,8,324,11,13,16,26,25,19,9,8,0,126,14,17,25,44,52,63,60,31,10,321,3,3,0,7,13,15,23,15,11,87,0,0,0,5,0,0,11,22,12,53,0,0,0,0,0,5,0,0,0,8,15,0,9,9,5,9,9,18,0,71,53,57,118,145,150,160,153,113,35,984,13,32,91,102,80,65,47,36,5,462,8,9,15,20,22,32,23,4,3,144,8,12,18,31,36,79,83,37,13,317,0,3,0,5,6,11,13,19,9,61,0,0,0,0,3,4,8,16,13,43,0,0,4,0,0,0,0,0,0,7,0,0,6,9,3,3,18,16,3,68,29,51,136,166,152,188,191,129,56,1103,21,52,153,164,131,108,85,51,11,786,18,21,33,47,48,53,31,14,3,266,23,28,45,72,90,144,144,68,23,636,3,3,3,12,15,25,41,31,22,151
UCL515012,13,26,78,63,62,32,15,5,0,289,6,7,28,19,21,10,6,0,0,110,11,3,33,34,49,38,33,3,4,207,5,0,0,3,5,0,4,3,0,26,0,0,0,0,0,3,3,5,0,13,0,0,0,0,0,0,0,0,0,0,5,5,6,9,0,10,0,0,0,33,30,43,151,128,136,89,72,26,4,675,16,34,137,97,96,35,22,5,0,443,4,0,25,17,17,23,12,0,0,101,8,8,23,31,31,29,26,9,0,156,0,0,0,5,7,0,7,5,0,24,0,0,0,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,3,3,0,9,5,9,3,0,0,0,35,34,45,194,150,160,88,79,21,7,767,28,59,214,157,155,69,43,12,0,735,9,6,54,41,45,34,22,0,0,207,15,8,60,66,77,65,56,10,4,363,0,0,0,8,5,4,13,9,0,44
UCL515013,11,61,222,183,153,137,162,45,7,987,12,13,33,32,44,42,47,15,4,240,12,17,45,61,71,133,154,55,3,560,6,3,3,8,12,18,34,46,3,136,0,0,0,3,0,0,16,21,0,53,0,0,6,0,0,0,0,0,0,6,7,11,31,17,16,29,31,14,6,159,49,113,339,316,296,361,444,201,20,2128,26,101,337,245,161,152,133,37,6,1194,0,6,22,14,33,63,64,10,0,213,4,3,28,30,49,115,161,54,7,449,9,0,8,0,5,5,31,18,5,80,0,0,0,3,0,0,10,11,0,28,0,0,0,0,0,0,0,0,0,8,9,5,28,20,11,20,35,10,0,135,47,122,416,318,256,358,430,140,16,2103,48,160,558,427,316,291,291,80,4,2180,12,20,49,51,77,109,111,23,3,451,16,23,75,96,117,246,320,110,12,1010,14,3,6,12,13,26,66,60,10,211
UCL515014,3,18,51,30,25,26,25,7,0,182,3,5,9,20,11,15,10,0,0,74,4,7,10,20,20,22,14,0,0,109,7,4,8,0,11,8,4,0,0,38,0,0,7,8,8,4,9,5,0,36,0,0,0,0,0,0,0,0,0,8,4,15,24,7,12,22,20,5,0,117,22,48,112,88,93,104,82,20,0,563,4,25,63,52,34,37,16,3,0,233,3,10,25,14,16,20,7,0,0,84,0,3,11,9,29,25,20,0,0,103,5,0,7,0,3,5,4,0,0,31,0,0,0,0,0,6,6,3,0,22,0,0,0,0,0,6,0,0,0,4,4,18,26,19,25,15,19,4,0,123,19,56,124,97,108,107,77,12,0,596,4,41,118,81,57,60,42,11,0,413,6,10,31,38,27,35,15,0,0,158,5,11,24,26,50,51,36,4,0,213,8,3,15,0,17,12,9,4,0,65
UCL515015,13,42,119,91,54,35,29,29,5,422,4,6,18,21,25,14,9,4,6,104,9,9,40,44,68,65,54,26,10,318,4,0,12,4,10,12,20,18,5,84,0,0,6,0,6,7,12,28,15,63,0,0,7,4,0,0,0,0,4,16,7,0,10,8,27,19,10,24,8,116,33,63,197,165,186,156,136,120,51,1109,20,26,122,84,54,48,43,18,17,431,5,6,19,16,19,17,13,8,0,94,5,5,31,32,62,68,62,37,12,312,0,0,3,0,5,14,22,19,3,68,0,0,0,8,5,5,20,41,19,95,0,0,0,4,0,0,0,3,0,6,0,9,11,8,8,9,21,13,21,99,30,47,186,143,156,165,174,139,77,1118,25,73,237,173,111,87,71,47,18,844,9,13,34,32,42,33,22,12,0,193,13,15,67,70,129,134,120,62,19,626,5,0,11,7,14,23,40,34,9,150
UCL515016,6,10,48,28,31,30,53,8,0,225,0,4,12,13,17,13,15,6,0,77,0,4,17,30,36,58,47,28,5,211,5,0,6,0,3,9,27,15,5,65,0,0,0,0,0,3,13,6,4,22,0,0,0,0,0,0,0,0,0,0,0,5,0,5,17,10,18,10,0,67,9,24,81,80,100,124,164,70,15,663,0,11,66,58,39,46,48,6,5,279,0,0,9,14,8,24,14,3,0,64,0,5,13,12,27,58,72,15,9,209,0,0,0,3,0,9,12,13,4,41,0,0,0,0,0,0,7,3,3,18,0,0,0,0,0,0,0,0,0,3,0,5,9,8,11,12,14,15,7,68,8,19,94,97,84,146,156,54,24,681,11,22,119,89,68,79,97,20,4,507,0,4,16,19,25,34,27,11,0,140,0,13,23,39,59,111,117,39,8,419,0,0,0,6,5,15,39,28,5,103
UCL515017,10,22,41,42,44,57,79,29,4,327,0,0,8,17,13,21,16,6,0,90,8,0,12,20,39,77,101,39,3,295,6,0,0,4,4,14,18,9,9,62,0,0,0,0,0,3,12,12,0,35,0,0,0,0,0,0,0,3,0,9,3,8,14,19,23,37,40,11,3,154,19,32,72,94,127,210,271,113,20,958,9,22,48,48,46,66,76,19,3,336,0,3,3,13,13,30,23,8,0,104,0,7,9,16,26,78,89,26,0,250,0,0,0,6,0,9,15,12,6,47,0,0,0,0,0,3,15,7,0,25,0,0,0,0,0,0,0,0,0,3,5,6,8,17,18,34,39,14,4,144,13,36,74,103,104,225,247,95,13,914,14,39,85,86,95,125,158,50,9,668,3,3,12,29,31,53,42,17,0,191,8,7,18,41,62,152,190,62,3,548,6,0,0,6,5,20,36,19,9,101
UCL515018,9,15,46,30,43,23,13,3,0,192,10,7,11,11,20,12,3,3,0,72,5,6,25,25,36,59,12,3,0,176,4,0,3,6,7,9,7,7,0,44,0,0,0,0,3,7,9,0,0,24,0,0,0,0,0,0,0,0,0,3,3,4,23,24,22,11,10,8,0,104,25,39,118,105,136,123,60,25,5,627,5,30,51,49,30,22,7,5,0,202,3,5,8,18,15,15,0,0,0,68,4,10,21,26,36,40,25,3,0,181,0,3,0,3,5,6,3,0,0,28,0,0,0,3,3,9,3,0,0,16,0,0,0,0,0,0,0,0,0,3,17,15,19,27,21,11,7,8,0,120,28,63,101,133,113,99,54,14,3,606,11,51,96,80,77,49,23,5,4,395,8,14,20,28,40,23,4,3,0,145,7,24,57,52,68,96,47,5,0,357,4,3,7,12,12,18,7,4,0,75
UCL515019,9,70,119,79,72,65,35,17,3,475,12,18,25,20,29,20,10,5,0,151,8,18,54,47,61,82,60,27,0,350,5,3,9,10,12,20,18,6,4,94,3,0,9,16,11,12,20,24,10,107,0,0,4,7,12,13,9,5,3,59,17,12,37,46,27,26,27,11,15,219,61,120,261,225,220,237,188,101,30,1454,21,71,132,92,78,64,45,23,5,525,10,10,22,19,35,34,16,5,0,152,13,9,32,34,39,67,62,29,11,294,6,3,5,11,8,8,21,9,3,78,0,3,12,14,10,12,12,17,19,95,0,0,0,9,8,10,17,6,0,51,12,13,24,25,17,29,33,21,10,182,65,103,228,202,202,220,195,107,59,1379,31,140,249,169,149,127,74,41,10,998,29,24,50,39,59,54,32,12,3,300,18,28,83,84,101,151,122,50,11,648,13,3,16,24,23,30,32,21,5,170
UCL515020,16,74,239,152,135,121,102,16,0,855,11,12,34,19,41,26,34,0,0,190,15,16,59,59,74,120,134,12,0,507,3,7,17,17,10,18,28,9,0,108,8,0,5,8,11,18,21,16,3,87,0,0,0,0,4,4,9,4,0,14,24,27,79,50,59,43,39,18,3,350,79,141,446,307,337,353,368,74,12,2106,15,86,337,224,160,165,98,12,0,1105,11,17,41,31,52,50,25,9,0,235,12,20,50,52,81,129,90,8,4,441,3,0,10,13,12,21,23,7,0,99,10,3,7,9,7,15,12,8,0,58,0,0,0,0,0,0,4,3,0,14,30,41,97,70,70,42,26,13,12,401,82,167,546,401,380,428,285,54,12,2357,31,162,578,377,296,284,206,30,0,1962,21,27,73,52,92,84,59,9,0,424,34,38,115,114,155,248,225,21,3,952,4,8,27,26,31,42,51,12,0,210
