UCL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL521022,129,66,73,87,133,120,76,9,4,709
UCL521023,121,54,76,84,57,79,70,18,12,567
UCL521024,409,248,295,272,235,214,183,61,10,1926
UCL521025,156,34,122,89,100,113,82,56,15,765
UCL521026,187,80,63,97,147,109,54,36,3,780
UCL521027,175,134,243,199,215,144,66,17,4,1189
UCL521028,101,61,75,76,101,134,111,81,37,792
UCL521029,156,66,99,101,92,148,100,81,39,877
UCL521030,65,54,124,60,81,124,128,74,18,724
UCL521031,85,89,232,177,157,171,103,25,5,1051
UCL521032,136,106,133,79,95,129,83,27,0,791
UCL521033,122,59,154,150,174,175,116,24,3,976
UCL521034,119,88,71,82,123,132,83,38,11,744
UCL521035,71,37,38,59,66,95,87,65,19,533
UCL521036,64,49,74,38,92,116,94,43,10,581
UCL521037,201,102,91,146,125,122,105,64,11,972
UCL521038,120,53,43,62,89,137,161,89,45,802
UCL521039,154,64,53,101,97,145,103,62,16,796
UCL521040,217,57,205,189,194,249,264,76,11,1463
UCL521041,225,43,171,151,76,74,18,0,0,770
UCL521042,93,66,66,76,101,95,79,45,28,647
UCL521043,91,34,39,49,87,93,62,25,6,476
UCL521044,111,56,58,63,69,128,115,78,26,703
UCL521045,80,35,53,40,52,88,124,63,32,568
UCL521046,155,117,105,93,102,87,54,25,3,744
UCL521047,81,33,76,69,97,103,80,31,12,595
UCL521048,144,67,84,86,85,147,178,88,33,925
UCL521049,104,97,91,80,68,48,17,3,0,513
UCL521050,130,75,90,92,78,100,98,41,19,719
UCL521051,163,114,77,90,126,147,77,47,14,853
UCL521052,173,82,120,135,141,152,95,31,0,938
UCL522001,111,95,88,71,66,35,27,7,3,504
UCL522002,31,25,27,22,31,39,58,29,9,281
UCL522003,111,51,55,38,40,16,11,6,4,342
UCL522004,84,88,46,38,28,21,8,3,0,317
UCL522005,105,46,55,64,26,28,11,8,0,333
UCL522006,83,64,30,46,64,64,48,21,11,429
UCL522007,18,18,21,14,15,42,56,17,9,205
UCL522008,40,15,22,21,21,44,34,14,0,210
UCL522009,51,62,34,47,72,48,25,10,0,344
UCL522010,86,55,31,42,45,53,54,26,10,399
UCL522011,43,31,36,53,27,44,56,30,9,319
UCL522012,66,22,58,42,53,102,118,46,17,519
UCL522013,71,56,33,51,74,81,46,19,8,426
UCL522014,49,22,24,25,26,29,18,9,0,205
UCL522015,137,72,156,145,77,184,229,71,5,1070
UCL522016,65,20,25,37,32,51,36,30,5,292
UCL522017,64,24,36,27,46,77,65,27,5,367
UCL522018,7,13,24,13,36,64,77,26,0,263
UCL522019,42,7,10,25,19,36,21,9,8,189
UCL522020,68,44,36,34,23,46,23,6,0,287
UCL522021,67,35,18,52,42,35,65,26,4,347
UCL522022,31,16,27,24,43,42,34,26,0,234
UCL522023,58,19,33,36,46,60,47,18,9,331
UCL522024,20,10,10,12,23,55,64,39,10,234
UCL522025,68,36,30,47,42,81,95,44,16,461
UCL522026,16,12,14,12,20,62,88,58,11,292
UCL522027,60,34,30,48,36,66,50,32,9,366
UCL522028,24,13,33,19,11,29,38,22,6,186
UCL522029,101,36,49,54,44,39,40,25,3,393
UCL522030,68,18,42,37,37,44,22,12,0,281
UCL522031,102,43,49,43,30,25,6,0,0,302
UCL522032,103,80,43,52,50,47,18,5,0,395
UCL522033,53,30,30,24,59,68,95,51,4,406
UCL522034,35,33,40,33,19,22,10,6,0,194
UCL522035,34,11,22,18,41,43,33,10,10,222
UCL522036,27,13,21,17,38,28,50,14,3,213
UCL522037,65,12,28,37,35,35,32,21,9,278
UCL522038,96,52,70,69,46,62,44,28,9,480
UCL522039,61,44,68,55,56,98,46,15,5,454
UCL522040,9,10,10,3,39,50,53,22,3,207
UCL522041,44,24,22,24,40,71,75,16,5,319
UCL522042,112,57,116,96,74,56,35,5,0,551
UCL522043,114,68,68,58,41,25,12,0,0,390
UCL522044,28,26,32,32,32,67,75,15,0,311
UCL522045,63,46,37,26,28,13,5,0,0,211
UCL522046,43,17,17,36,39,80,75,34,4,348
UCL522047,94,52,37,44,42,78,105,33,20,519
UCL522048,48,20,36,29,29,52,50,31,11,308
UCL522049,68,20,34,41,50,67,96,24,3,402
UCL522050,70,20,40,41,61,61,52,44,33,428
UCL522051,30,30,27,21,42,39,30,13,0,231
UCL522052,25,31,36,24,34,27,25,4,0,205
UCL522053,43,33,24,17,19,18,6,0,0,161
UCL522054,32,24,21,28,30,31,37,11,5,213
UCL522055,37,21,52,42,72,104,191,54,3,569
UCL522056,65,47,72,68,74,79,36,11,8,465
UCL522057,24,44,74,52,37,81,60,35,3,415
UCL522058,54,41,24,29,27,45,23,28,11,277
UCL522059,68,23,43,60,43,59,58,42,6,394
UCL522060,9,0,5,5,11,13,5,0,0,47
UCL522061,34,8,29,23,40,85,72,51,7,349
UCL522062,69,36,43,33,33,13,6,4,0,233
UCL522063,45,36,33,35,19,26,3,3,0,207
UCL522064,108,95,83,64,62,32,26,15,0,483
UCL522065,48,17,26,12,19,49,30,27,7,246
UCL522066,110,26,55,61,46,48,36,31,13,415
UCL522067,49,51,101,100,116,62,39,0,0,508
UCL522068,79,60,34,45,62,59,39,18,5,411
UCL522069,40,22,31,28,32,40,51,42,3,290
UCL522070,76,35,36,33,40,57,54,13,4,344
UCL522071,143,86,75,52,48,26,11,0,0,446
UCL531001,27702,18668,25814,28684,32883,33687,23786,8666,1662,201544
UCL579997,3,137,518,957,896,533,176,32,0,3250
