UCL_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
UCL513005,24,27,52,27,14,44,5,0,5,0,0,0,0,0,6,1380,1393,2772,91,107,196,31,3,32,11,0,11,10,0,11,88,17,107,21,16,39,1686,1585,3267,31,18,50,0,0,0,0,0,0,42,34,70,3,7,6,0,3,5,72,64,135,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,5,0,7,28,8,34,105,72,174,12,11,26,0,0,0,0,0,0,16,14,28,104,215,319,378,332,714,13,3,16,2305,2221,4526
UCL514001,0,0,0,29,7,40,0,0,0,0,0,0,0,6,6,933,864,1799,93,80,169,12,0,12,0,0,0,7,4,8,21,8,22,32,27,59,1116,998,2117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,4,9,17,5,20,18,8,27,0,0,0,0,0,0,0,0,0,0,0,0,16,38,52,213,192,403,5,6,13,1375,1247,2618
UCL514002,0,0,0,20,0,17,0,0,0,0,0,0,0,0,0,1001,1026,2025,66,64,132,7,0,7,3,0,3,30,8,37,34,8,40,26,29,58,1186,1142,2333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,26,23,5,26,0,0,0,0,0,0,0,0,0,0,0,0,173,269,443,256,283,538,12,21,32,1654,1719,3373
UCL514003,0,0,0,15,4,21,0,0,0,0,0,0,0,0,0,1127,1152,2275,132,82,217,15,0,15,7,0,7,45,21,63,36,15,51,52,78,131,1431,1352,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,4,21,14,36,29,15,42,0,0,0,0,0,0,0,0,0,0,0,0,118,206,324,291,293,584,14,3,19,1887,1874,3761
UCL514004,0,0,5,5,0,7,0,0,0,0,0,0,5,6,11,912,904,1824,87,99,182,21,0,21,3,0,6,6,0,11,12,3,17,75,67,138,1129,1090,2222,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,22,16,13,27,0,0,0,0,0,0,4,0,3,3,0,7,23,78,103,126,122,246,5,8,10,1308,1303,2614
UCL515001,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,115,124,236,6,14,14,0,0,0,0,0,0,0,0,3,7,0,7,9,14,18,147,147,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,28,30,56,33,38,67,0,6,6,207,217,421
UCL515002,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,215,213,429,14,8,24,0,0,0,0,0,0,0,0,0,11,3,11,0,3,3,251,238,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,3,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,19,38,41,31,73,0,0,0,311,292,603
UCL515003,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,283,282,566,25,31,53,7,0,7,0,3,3,0,0,0,7,0,10,13,30,43,342,343,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,23,44,62,59,73,133,4,0,3,428,471,895
UCL515004,0,3,3,4,0,4,0,0,0,0,0,0,0,0,0,368,316,688,26,19,45,5,0,5,0,0,0,3,0,5,10,5,17,34,13,47,463,362,824,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,6,5,16,0,0,0,0,0,0,0,0,0,0,0,0,7,33,43,60,69,134,0,0,0,541,470,1014
UCL515005,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,345,375,717,28,13,40,7,0,7,4,0,4,0,3,4,13,6,15,7,7,16,414,407,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,5,3,3,3,0,4,7,6,10,0,0,0,0,0,0,0,0,0,0,0,0,12,27,43,70,77,144,0,0,0,506,508,1017
UCL515006,0,0,0,49,8,58,0,0,0,0,0,0,0,0,3,531,545,1077,47,69,120,17,3,22,6,0,10,20,19,34,12,3,20,49,85,131,747,731,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,13,9,15,11,9,16,0,0,0,0,0,0,0,0,0,0,0,0,22,32,57,145,155,299,14,9,30,947,941,1889
UCL515007,0,0,0,8,3,9,0,0,0,0,0,0,0,0,0,289,299,593,13,9,20,0,0,0,0,0,0,3,6,13,16,0,16,9,9,19,346,327,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,6,6,10,0,0,0,0,0,0,0,0,0,0,0,0,35,72,107,81,99,176,3,5,3,470,496,967
UCL515008,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,256,208,460,32,13,45,0,0,0,0,4,5,4,0,4,8,0,9,5,19,30,318,243,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,23,28,56,30,93,4,0,3,391,300,687
UCL515009,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,319,347,666,21,25,51,6,0,4,0,0,5,10,7,16,9,0,11,28,27,55,405,411,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,3,7,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,49,59,116,60,89,150,0,3,7,522,568,1091
UCL515010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,340,679,35,44,68,5,0,8,3,0,3,6,4,12,10,14,27,69,83,154,473,483,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,12,0,11,0,0,0,0,0,0,0,0,3,0,0,3,26,27,57,100,103,205,10,6,11,616,624,1237
UCL515011,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,381,346,723,38,42,75,10,0,10,0,0,0,3,0,3,15,0,16,19,18,38,477,399,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,3,3,5,12,10,5,15,0,0,0,0,0,0,0,0,0,0,0,0,12,35,47,62,79,150,3,0,9,569,529,1095
UCL515012,0,0,0,12,4,15,0,0,0,0,0,0,0,0,0,376,416,791,21,30,52,3,0,3,6,0,6,0,0,0,18,3,20,6,0,8,442,454,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,5,8,0,0,0,0,0,0,6,0,6,6,0,6,12,35,42,82,77,157,0,0,0,540,564,1098
UCL515013,0,0,5,12,7,16,0,0,0,0,0,0,0,0,0,571,530,1099,44,39,87,11,0,15,14,5,18,37,55,93,13,10,26,59,88,151,763,734,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,9,0,9,14,12,27,21,12,26,0,0,0,0,0,0,4,0,4,4,0,3,59,90,151,408,377,779,18,9,23,1270,1220,2492
UCL515014,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,101,108,209,24,24,46,4,0,4,0,0,0,0,4,9,0,0,9,67,87,151,203,230,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,10,9,4,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,18,26,44,0,0,0,234,270,500
UCL515015,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,491,369,866,42,53,95,13,0,13,6,0,6,6,3,7,14,0,15,8,9,21,585,436,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,10,3,13,0,0,0,0,0,0,0,0,0,0,0,0,11,18,24,55,49,103,3,0,6,665,505,1169
UCL515016,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,198,209,404,22,14,33,11,0,9,0,6,4,12,4,13,9,9,12,10,9,18,263,244,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,12,14,3,14,0,0,0,0,0,0,0,0,5,4,0,6,12,38,52,67,55,117,3,6,14,359,346,708
UCL515017,0,0,0,7,0,12,0,0,0,0,0,0,0,0,0,172,150,330,20,15,36,4,0,4,0,0,0,7,8,16,8,4,14,20,28,43,251,209,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,18,29,41,159,121,276,10,6,13,437,366,803
UCL515018,0,0,0,24,3,29,0,0,0,0,0,0,0,0,0,247,221,468,25,16,42,8,0,9,0,0,0,3,0,3,8,0,8,4,9,12,317,260,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,10,0,0,0,0,0,0,11,5,10,12,6,14,17,6,30,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,66,41,102,3,8,10,401,318,722
UCL515019,0,0,0,44,11,59,0,0,0,0,0,0,0,0,0,617,488,1099,78,61,137,13,0,13,3,0,3,3,0,3,6,7,13,28,40,70,799,603,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,4,6,15,0,0,0,0,0,0,0,0,0,0,0,0,19,22,39,44,60,97,14,4,21,874,700,1572
UCL515020,0,0,0,5,0,14,0,0,0,0,0,0,4,7,9,674,693,1362,95,117,212,19,0,17,15,8,26,35,22,53,19,8,28,101,147,252,957,1006,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,13,7,9,16,0,0,0,0,0,0,0,0,0,0,0,0,33,49,81,140,185,333,16,14,29,1166,1258,2423
UCL515021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,264,563,13,7,21,0,0,0,3,0,3,0,0,3,7,0,7,0,0,4,328,281,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25,56,56,50,104,0,4,4,408,362,772
UCL515022,0,0,0,11,4,12,0,0,0,0,0,0,0,0,0,716,622,1341,65,62,128,17,0,17,3,0,3,11,4,14,3,0,7,32,22,54,869,716,1584,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,17,35,48,77,94,172,7,0,8,971,852,1822
UCL515023,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,433,326,769,28,22,55,18,0,18,7,0,7,12,4,13,0,4,6,34,35,71,543,398,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,12,36,47,36,53,90,0,4,4,600,489,1093
UCL515024,0,0,0,3,4,3,0,0,0,0,0,0,0,0,0,249,222,467,18,13,30,5,0,5,0,0,0,9,0,8,6,0,8,21,25,40,307,264,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,17,26,23,31,52,0,0,5,351,315,659
UCL515025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,214,475,25,26,52,5,0,5,0,0,0,0,0,4,5,0,4,5,14,17,304,250,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,15,15,32,35,44,78,10,3,16,366,324,685
UCL515026,8,0,5,4,4,13,0,0,0,0,0,0,0,0,3,397,330,728,21,20,41,21,0,23,0,0,0,0,0,0,4,4,10,8,3,7,461,371,834,0,0,0,0,0,0,0,0,0,6,4,9,0,0,0,0,0,0,3,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,15,8,19,0,3,6,0,0,0,0,0,0,6,3,8,16,42,60,77,86,164,5,7,11,581,510,1089
UCL515027,0,0,0,19,3,20,0,0,0,0,0,0,0,0,0,608,561,1168,42,49,93,14,0,14,0,0,0,3,5,9,9,0,14,44,56,100,738,670,1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,4,8,11,9,10,21,0,0,0,6,0,6,0,0,0,3,0,3,18,25,38,54,85,139,8,4,15,827,799,1623
UCL515028,0,0,0,147,57,201,0,0,0,0,0,0,3,0,3,908,624,1535,125,90,213,21,0,18,17,6,24,35,10,47,82,18,101,84,88,168,1416,895,2316,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,18,31,0,0,10,9,0,9,24,22,50,29,10,43,63,34,91,0,0,0,7,3,9,4,0,3,14,6,15,22,36,56,177,150,319,11,9,17,1698,1120,2816
UCL515029,0,0,0,179,70,247,0,0,0,0,0,0,0,0,0,206,90,297,44,14,56,5,0,5,4,6,6,0,8,12,22,6,29,13,33,49,481,223,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,8,10,10,8,16,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,50,31,84,0,3,4,543,272,816
UCL515030,5,0,4,5,0,6,0,0,0,0,0,0,0,0,0,434,457,893,34,47,76,11,0,11,6,0,6,4,0,5,10,10,20,12,18,25,520,534,1051,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,6,6,9,14,3,0,6,0,0,0,0,0,0,3,0,6,27,39,61,125,112,237,5,6,9,688,698,1380
