UCL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL521011,3,0,7,3,0,3,0,0,0,12,161,58,65,102,79,61,33,14,0,579
UCL521012,0,3,0,5,4,12,6,0,0,34,70,41,56,49,71,104,106,23,9,531
UCL521013,16,0,9,9,3,15,9,4,0,61,176,103,105,91,134,131,90,24,10,875
UCL521014,38,23,40,50,32,35,17,3,0,242,121,73,126,134,151,168,134,28,4,946
UCL521015,8,5,9,0,6,7,9,5,0,51,86,48,72,55,67,81,106,58,37,601
UCL521016,15,0,6,9,4,6,4,0,0,54,123,78,96,69,80,74,70,34,16,637
UCL521017,25,15,17,17,12,15,15,8,5,131,160,67,108,109,75,91,58,43,21,738
UCL521018,8,10,4,0,5,0,0,4,0,31,113,65,64,59,72,57,54,33,10,526
UCL521019,44,25,32,51,45,99,112,52,6,465,199,79,158,177,191,397,487,181,17,1893
UCL521020,4,0,0,4,4,5,12,4,0,41,108,67,52,60,102,110,141,49,4,692
UCL521021,17,7,10,10,8,4,10,3,0,65,207,73,79,114,89,104,103,63,12,855
UCL521022,11,11,9,7,22,20,10,0,0,97,129,66,73,87,133,120,76,9,4,709
UCL521023,11,7,5,6,6,7,5,10,0,63,121,54,76,84,57,79,70,18,12,567
UCL521024,107,31,57,56,58,40,38,17,9,417,409,248,295,272,235,214,183,61,10,1926
UCL521025,5,7,10,5,5,14,5,10,0,63,156,34,122,89,100,113,82,56,15,765
UCL521026,10,3,6,6,7,8,4,0,0,49,187,80,63,97,147,109,54,36,3,780
UCL521027,67,54,126,109,112,65,21,9,4,562,175,134,243,199,215,144,66,17,4,1189
UCL521028,13,6,11,6,18,13,8,6,0,84,101,61,75,76,101,134,111,81,37,792
UCL521029,20,11,17,9,5,14,6,16,0,97,156,66,99,101,92,148,100,81,39,877
UCL521030,10,8,12,5,7,14,9,4,0,80,65,54,124,60,81,124,128,74,18,724
UCL521031,15,40,96,81,55,58,29,3,0,378,85,89,232,177,157,171,103,25,5,1051
UCL521032,22,29,33,16,34,29,22,5,0,197,136,106,133,79,95,129,83,27,0,791
UCL521033,71,36,101,98,101,82,35,7,0,538,122,59,154,150,174,175,116,24,3,976
UCL521034,6,7,9,6,10,13,9,0,0,61,119,88,71,82,123,132,83,38,11,744
UCL521035,12,3,3,7,3,7,7,15,6,69,71,37,38,59,66,95,87,65,19,533
UCL521036,21,14,14,4,24,19,9,6,0,108,64,49,74,38,92,116,94,43,10,581
UCL521037,20,9,9,5,9,5,7,9,0,71,201,102,91,146,125,122,105,64,11,972
UCL521038,35,17,11,10,16,15,20,10,6,138,120,53,43,62,89,137,161,89,45,802
UCL521039,10,8,0,4,11,11,11,12,3,59,154,64,53,101,97,145,103,62,16,796
UCL521040,47,26,63,51,58,75,66,14,0,396,217,57,205,189,194,249,264,76,11,1463
UCL521041,8,0,6,6,3,4,0,0,0,29,225,43,171,151,76,74,18,0,0,770
UCL521042,9,5,8,3,6,3,6,0,4,49,93,66,66,76,101,95,79,45,28,647
UCL521043,11,6,5,6,11,0,0,0,0,38,91,34,39,49,87,93,62,25,6,476
UCL521044,12,3,4,6,14,13,7,13,3,77,111,56,58,63,69,128,115,78,26,703
UCL521045,23,11,16,9,14,26,32,20,6,155,80,35,53,40,52,88,124,63,32,568
UCL521046,9,3,5,13,6,7,5,0,0,58,155,117,105,93,102,87,54,25,3,744
UCL521047,6,5,9,7,14,13,7,0,0,75,81,33,76,69,97,103,80,31,12,595
UCL521048,20,11,20,12,9,14,16,12,3,121,144,67,84,86,85,147,178,88,33,925
UCL521049,16,6,11,4,3,3,0,0,0,50,104,97,91,80,68,48,17,3,0,513
UCL521050,17,14,10,6,4,6,7,0,0,61,130,75,90,92,78,100,98,41,19,719
UCL521051,17,6,9,10,8,12,11,6,6,91,163,114,77,90,126,147,77,47,14,853
UCL521052,48,13,35,40,36,46,20,4,0,240,173,82,120,135,141,152,95,31,0,938
UCL522001,59,22,8,13,8,8,3,0,0,121,111,95,88,71,66,35,27,7,3,504
UCL522002,3,0,3,0,0,3,5,0,0,20,31,25,27,22,31,39,58,29,9,281
UCL522003,19,3,7,11,3,5,0,0,0,43,111,51,55,38,40,16,11,6,4,342
UCL522004,4,0,0,4,0,0,0,0,0,7,84,88,46,38,28,21,8,3,0,317
UCL522005,14,3,5,0,4,0,0,0,0,27,105,46,55,64,26,28,11,8,0,333
UCL522006,3,3,0,5,6,5,0,0,0,26,83,64,30,46,64,64,48,21,11,429
UCL522007,3,0,0,0,5,5,4,3,0,20,18,18,21,14,15,42,56,17,9,205
UCL522008,14,0,0,0,0,5,4,4,0,27,40,15,22,21,21,44,34,14,0,210
UCL522009,11,6,0,3,12,4,0,0,0,35,51,62,34,47,72,48,25,10,0,344
UCL522010,3,0,0,0,0,5,3,0,0,10,86,55,31,42,45,53,54,26,10,399
UCL522011,10,9,5,17,4,6,8,4,0,59,43,31,36,53,27,44,56,30,9,319
UCL522012,0,4,9,0,10,8,12,3,4,37,66,22,58,42,53,102,118,46,17,519
UCL522013,4,10,3,0,3,6,3,0,0,30,71,56,33,51,74,81,46,19,8,426
UCL522014,3,3,0,0,0,0,0,0,0,8,49,22,24,25,26,29,18,9,0,205
UCL522015,11,4,15,6,3,13,12,0,0,73,137,72,156,145,77,184,229,71,5,1070
UCL522016,17,3,7,7,3,11,0,4,0,59,65,20,25,37,32,51,36,30,5,292
UCL522017,7,7,7,0,3,9,4,5,0,39,64,24,36,27,46,77,65,27,5,367
UCL522018,3,3,8,4,8,10,10,4,0,56,7,13,24,13,36,64,77,26,0,263
UCL522019,28,0,5,16,0,4,0,0,3,55,42,7,10,25,19,36,21,9,8,189
UCL522020,11,0,0,8,0,5,0,0,0,25,68,44,36,34,23,46,23,6,0,287
UCL522021,3,0,0,6,0,3,6,0,0,20,67,35,18,52,42,35,65,26,4,347
UCL522022,7,4,0,5,11,4,7,3,0,43,31,16,27,24,43,42,34,26,0,234
UCL522023,3,3,5,4,4,10,0,3,5,38,58,19,33,36,46,60,47,18,9,331
UCL522024,0,0,0,0,0,5,6,0,6,13,20,10,10,12,23,55,64,39,10,234
UCL522025,10,10,3,6,10,10,10,12,0,72,68,36,30,47,42,81,95,44,16,461
UCL522026,0,0,3,0,0,3,4,7,0,20,16,12,14,12,20,62,88,58,11,292
UCL522027,15,0,0,11,5,0,3,0,0,34,60,34,30,48,36,66,50,32,9,366
UCL522028,0,0,0,0,0,0,5,5,0,13,24,13,33,19,11,29,38,22,6,186
UCL522029,8,0,3,0,6,5,3,0,0,29,101,36,49,54,44,39,40,25,3,393
UCL522030,10,6,4,6,9,10,3,0,0,53,68,18,42,37,37,44,22,12,0,281
UCL522031,0,0,0,0,0,0,0,0,0,5,102,43,49,43,30,25,6,0,0,302
UCL522032,22,0,0,0,3,9,7,0,0,51,103,80,43,52,50,47,18,5,0,395
UCL522033,8,4,5,5,3,4,9,3,0,42,53,30,30,24,59,68,95,51,4,406
UCL522034,0,0,0,3,0,3,0,0,0,10,35,33,40,33,19,22,10,6,0,194
UCL522035,4,0,0,3,0,3,5,3,3,30,34,11,22,18,41,43,33,10,10,222
UCL522036,0,0,3,0,4,0,0,0,0,4,27,13,21,17,38,28,50,14,3,213
UCL522037,7,3,9,10,5,8,0,0,0,44,65,12,28,37,35,35,32,21,9,278
UCL522038,0,0,9,10,4,9,0,3,6,38,96,52,70,69,46,62,44,28,9,480
UCL522039,6,5,18,4,7,14,8,0,0,60,61,44,68,55,56,98,46,15,5,454
UCL522040,0,0,0,0,10,3,4,0,0,20,9,10,10,3,39,50,53,22,3,207
UCL522041,5,8,0,0,9,13,11,4,4,62,44,24,22,24,40,71,75,16,5,319
UCL522042,28,15,15,14,6,5,3,0,0,91,112,57,116,96,74,56,35,5,0,551
UCL522043,51,5,3,13,7,7,0,0,0,83,114,68,68,58,41,25,12,0,0,390
UCL522044,5,0,12,3,8,8,10,3,0,54,28,26,32,32,32,67,75,15,0,311
UCL522045,17,12,16,11,3,0,4,0,0,63,63,46,37,26,28,13,5,0,0,211
UCL522046,3,0,3,10,17,25,28,14,3,104,43,17,17,36,39,80,75,34,4,348
UCL522047,40,26,13,17,15,19,45,16,3,194,94,52,37,44,42,78,105,33,20,519
UCL522048,8,4,7,0,5,7,3,7,4,46,48,20,36,29,29,52,50,31,11,308
UCL522049,31,14,16,16,12,20,22,0,0,128,68,20,34,41,50,67,96,24,3,402
UCL522050,5,4,5,9,16,13,15,7,12,79,70,20,40,41,61,61,52,44,33,428
UCL522051,5,3,0,0,6,0,0,0,0,18,30,30,27,21,42,39,30,13,0,231
UCL522052,3,0,3,0,11,6,7,0,0,36,25,31,36,24,34,27,25,4,0,205
UCL522053,6,9,6,5,4,7,0,0,0,28,43,33,24,17,19,18,6,0,0,161
UCL522054,0,4,5,10,0,5,13,0,4,44,32,24,21,28,30,31,37,11,5,213
UCL522055,0,4,9,4,19,30,82,15,0,169,37,21,52,42,72,104,191,54,3,569
UCL522056,5,8,19,17,15,13,3,0,0,81,65,47,72,68,74,79,36,11,8,465
UCL522057,0,3,14,13,3,5,12,7,0,56,24,44,74,52,37,81,60,35,3,415
UCL522058,19,7,7,6,9,3,0,0,0,48,54,41,24,29,27,45,23,28,11,277
UCL522059,23,3,15,19,7,16,4,4,0,98,68,23,43,60,43,59,58,42,6,394
UCL522060,0,0,0,0,0,0,0,0,0,0,9,0,5,5,11,13,5,0,0,47
UCL522061,8,0,4,3,4,15,3,0,0,30,34,8,29,23,40,85,72,51,7,349
UCL522062,0,0,0,0,0,0,0,0,0,0,69,36,43,33,33,13,6,4,0,233
UCL522063,12,0,6,4,0,6,0,0,0,29,45,36,33,35,19,26,3,3,0,207
UCL522064,19,6,7,9,13,4,0,12,0,67,108,95,83,64,62,32,26,15,0,483
UCL522065,23,3,8,0,8,14,9,3,4,69,48,17,26,12,19,49,30,27,7,246
UCL522066,12,0,9,10,3,7,8,5,3,55,110,26,55,61,46,48,36,31,13,415
UCL522067,14,13,24,26,27,12,10,0,0,128,49,51,101,100,116,62,39,0,0,508
UCL522068,8,8,0,3,9,6,3,0,0,32,79,60,34,45,62,59,39,18,5,411
UCL522069,0,0,6,5,6,0,5,6,0,41,40,22,31,28,32,40,51,42,3,290
UCL522070,5,4,0,3,3,0,7,0,0,25,76,35,36,33,40,57,54,13,4,344
UCL522071,27,5,5,4,0,5,3,0,0,40,143,86,75,52,48,26,11,0,0,446
UCL531001,3091,3462,7313,7191,7115,5607,2881,991,168,37824,27702,18668,25814,28684,32883,33687,23786,8666,1662,201544
UCL579997,0,51,220,435,397,221,57,6,0,1396,3,137,518,957,896,533,176,32,0,3250
