UCL_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
UCL515003,14,29,0,41,301,25,0,360,3,39,0,44,350,20,0,414,0,3,0,6,171,16,0,191,0,0,0,0,65,9,0,75,295,117,7,415,1319,143,5,1882
UCL515004,5,22,0,25,118,10,0,161,0,15,0,18,128,3,0,152,0,0,0,0,60,0,0,68,0,0,0,0,15,0,0,19,430,99,26,549,947,92,50,1639
UCL515005,12,33,0,46,216,15,0,271,3,17,0,23,228,13,0,265,0,7,0,7,107,10,0,127,0,0,0,0,31,8,0,36,383,122,31,533,1152,97,0,1777
UCL515006,15,63,3,81,625,101,0,805,9,53,0,62,778,81,0,919,4,11,0,18,372,49,0,437,0,0,0,3,69,12,0,88,558,220,65,841,2926,739,64,4577
UCL515007,15,26,0,40,143,8,0,198,0,23,0,31,84,11,0,118,0,6,0,6,36,4,0,46,0,0,0,0,18,0,0,20,476,81,37,593,678,122,9,1401
UCL515008,8,18,0,24,130,17,0,174,0,17,0,17,51,13,0,78,0,0,0,0,20,5,0,30,0,0,0,0,0,0,0,0,287,60,10,358,519,115,5,995
UCL515009,13,43,0,54,317,37,0,405,4,36,0,40,379,27,7,446,0,6,0,6,248,23,0,281,0,0,0,0,106,7,0,111,387,137,38,561,1655,255,4,2474
UCL515010,10,38,0,52,401,117,0,564,0,30,0,30,368,78,0,474,0,3,0,3,104,21,0,127,0,0,0,0,23,4,0,26,328,187,44,559,1698,719,10,2985
UCL515011,11,41,0,49,281,19,0,351,0,37,0,42,290,25,0,349,0,3,0,3,222,20,0,238,0,0,0,0,86,6,0,88,391,129,23,546,1497,132,21,2205
UCL515012,9,25,0,33,141,8,0,178,0,33,0,33,105,6,0,143,0,0,0,0,42,0,0,46,0,0,0,0,12,0,0,15,433,134,25,596,883,62,0,1545
UCL515013,14,75,0,94,593,38,3,726,0,73,3,80,748,50,0,875,0,9,0,9,308,19,0,339,0,0,0,0,35,4,0,41,635,231,38,907,3125,272,35,4330
UCL515014,7,31,0,38,139,34,0,216,0,5,0,5,113,32,3,154,0,4,0,4,21,9,0,35,0,0,0,0,3,0,0,3,154,108,18,273,674,220,4,1177
UCL515015,13,45,0,60,227,31,0,317,0,44,0,44,250,20,0,312,0,3,0,3,235,23,0,259,0,0,0,0,110,11,0,129,376,155,19,548,1593,159,12,2309
UCL515016,0,22,0,23,229,13,0,265,0,20,0,20,278,30,0,323,0,5,0,5,104,21,0,127,0,0,0,0,31,10,0,37,191,67,18,269,966,130,8,1377
UCL515017,3,42,0,43,319,72,3,442,0,33,0,38,418,69,0,518,0,3,0,5,171,27,0,202,0,0,0,0,25,6,0,38,194,112,8,308,1299,297,13,1907
UCL515018,3,32,0,36,166,26,0,225,0,9,0,6,86,13,0,113,0,0,0,0,27,7,0,34,0,0,0,0,8,0,0,11,255,69,9,331,734,217,0,1285
UCL515019,14,40,0,56,372,31,0,462,3,43,0,47,303,33,0,379,0,3,0,3,184,26,0,208,0,0,0,0,70,22,0,88,444,144,29,624,1986,339,3,2953
UCL515020,26,57,3,79,616,86,3,793,4,37,0,43,552,51,4,655,0,5,0,5,98,23,0,126,0,0,0,0,20,11,0,22,701,253,79,1026,2815,699,63,4604
UCL515021,11,34,0,51,190,8,0,249,0,18,0,18,196,12,0,227,0,3,0,4,113,4,0,121,0,0,0,0,28,3,0,30,241,88,22,352,890,49,0,1289
UCL515022,30,50,0,84,436,22,0,534,0,43,0,44,380,18,0,445,0,12,0,12,260,16,0,290,0,0,0,0,106,7,0,114,570,180,41,791,2287,184,17,3276
UCL515023,3,31,0,33,250,42,0,330,4,17,0,24,219,27,0,275,0,0,0,0,106,15,0,119,0,0,0,0,56,5,0,57,345,119,17,478,1257,261,3,1999
UCL515024,10,27,0,37,168,31,0,236,0,18,0,20,154,24,0,199,0,9,0,9,75,14,0,100,0,0,0,0,32,8,0,43,177,96,6,279,826,187,51,1350
UCL515025,10,27,0,31,205,29,0,268,0,17,0,17,183,22,0,226,0,4,0,4,99,28,0,126,0,0,0,0,45,35,0,83,215,77,18,314,971,208,0,1492
UCL515026,3,41,0,50,177,10,0,236,0,24,0,24,115,12,0,150,0,4,0,4,44,3,0,52,0,0,0,0,23,0,0,23,431,138,22,586,986,84,0,1657
UCL515027,11,59,0,70,366,42,0,484,5,44,0,51,331,43,0,420,6,7,0,13,196,33,0,245,0,0,0,0,94,52,0,144,482,184,18,685,2027,385,8,3110
UCL515028,17,34,3,54,380,55,5,491,3,24,0,33,99,18,0,154,0,0,0,0,18,4,0,27,0,0,0,0,0,0,0,0,953,168,44,1171,2038,500,28,3738
UCL515029,7,8,0,16,136,64,3,216,0,0,0,0,24,16,0,40,0,0,0,0,3,9,0,15,0,0,0,0,0,4,0,3,247,28,12,293,644,442,6,1380
UCL515030,13,87,0,99,334,23,0,457,0,47,0,45,414,31,0,487,3,9,0,6,261,48,0,315,0,0,0,0,80,47,0,133,499,219,33,748,1992,261,0,3003
UCL515031,19,50,6,72,385,52,0,509,4,52,0,53,485,68,0,611,4,3,0,10,282,45,0,331,0,0,0,0,63,6,0,72,381,139,22,539,1761,325,4,2630
UCL515032,7,35,0,40,144,5,0,192,0,19,0,23,88,3,0,113,0,3,0,3,30,3,0,36,0,0,0,0,15,3,0,16,253,101,16,366,678,66,0,1104
UCL515033,3,19,0,24,219,63,6,313,0,8,0,13,69,24,3,107,0,3,0,3,19,6,0,32,0,0,0,0,0,0,0,6,656,90,42,783,1098,391,17,2291
UCL515034,17,51,0,65,255,19,0,336,0,37,0,39,235,13,0,289,0,3,0,3,136,10,0,152,0,0,0,0,29,8,0,32,419,148,25,595,1338,132,6,2066
UCL515035,4,26,0,30,175,11,0,215,0,14,0,14,166,12,0,196,0,4,0,4,108,13,0,126,0,0,0,0,34,5,0,41,127,55,5,188,757,107,3,1056
UCL515036,3,52,0,55,248,17,0,323,3,39,0,36,249,23,0,306,0,8,0,8,152,29,0,187,0,0,0,0,56,27,0,85,293,150,22,461,1224,153,0,1843
UCL515037,6,20,0,26,145,87,0,258,0,16,0,16,34,15,0,63,0,3,0,3,9,0,0,14,0,0,0,0,0,0,0,0,428,96,29,554,876,473,6,1903
UCL515038,13,38,0,54,304,27,0,390,0,46,0,49,403,22,0,474,0,5,0,8,248,29,0,287,0,0,0,0,75,17,0,93,254,116,15,383,1488,193,0,2062
UCL521001,4,7,0,14,73,5,0,90,0,8,0,8,42,3,0,53,0,0,0,0,15,0,0,19,0,0,0,0,3,0,0,3,76,43,4,119,273,9,0,408
UCL521002,9,16,0,18,71,4,0,97,0,7,0,7,126,14,0,148,0,0,0,0,44,0,0,47,0,0,0,0,4,0,0,8,89,41,4,138,440,52,0,626
UCL521003,5,11,0,12,109,7,0,127,0,14,0,14,158,14,0,189,0,0,0,0,104,13,0,117,0,0,0,0,35,6,0,40,64,34,8,109,562,71,4,742
UCL521004,0,11,0,12,34,0,0,51,0,9,0,9,11,0,0,21,0,3,0,3,5,0,0,8,0,0,0,0,0,0,0,0,124,55,0,180,245,16,0,435
UCL521005,5,9,0,17,136,12,0,165,0,6,0,7,113,7,0,127,0,0,0,0,40,12,0,52,0,0,0,0,3,3,0,10,185,38,9,232,526,84,3,839
UCL521006,8,32,0,35,110,7,0,148,0,11,0,16,83,15,0,110,0,0,0,4,57,3,0,66,0,0,0,0,5,0,0,5,136,76,9,218,410,43,4,673
UCL521007,0,4,0,6,71,6,0,86,0,3,0,4,64,8,0,74,0,0,0,0,47,7,0,62,0,0,0,0,23,0,0,22,66,21,7,92,310,53,0,453
UCL521008,0,7,0,10,51,15,0,72,0,6,0,3,55,5,0,66,0,3,0,3,62,4,0,65,0,0,0,0,37,0,0,39,61,20,4,86,314,62,0,452
UCL521009,0,5,0,11,57,10,0,73,0,3,0,4,72,20,0,98,0,0,0,0,41,10,0,58,0,0,0,0,10,9,0,22,79,27,6,106,293,87,0,489
UCL521010,3,17,0,14,72,7,0,96,0,13,0,13,74,5,0,93,0,4,0,4,46,4,0,52,0,0,0,0,12,0,0,12,108,44,7,157,430,52,0,633
UCL521011,5,8,0,14,48,0,0,61,0,8,0,8,27,0,0,33,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,144,23,3,171,240,5,0,411
UCL521012,5,9,0,19,83,3,0,104,0,5,0,5,101,3,0,106,0,0,0,0,20,3,0,23,0,0,0,0,7,5,0,9,77,21,0,97,337,21,0,460
UCL521013,8,14,0,27,101,9,0,131,0,13,0,16,71,5,0,90,0,0,0,0,21,3,0,24,0,0,0,0,10,0,0,10,160,52,10,221,440,33,0,697
UCL521014,7,14,0,20,112,32,0,168,0,5,0,5,109,17,0,134,0,0,0,0,27,5,0,28,0,0,0,0,4,0,0,4,94,40,6,139,485,197,0,823
UCL521015,0,11,0,11,66,0,0,81,0,4,0,6,88,14,0,106,0,0,0,0,51,6,0,58,0,0,0,0,27,5,0,37,67,32,0,99,377,40,0,518
UCL521016,4,15,0,20,53,0,0,74,0,10,0,12,52,4,0,70,0,3,0,3,32,0,0,34,0,0,0,0,18,0,0,16,103,34,0,148,339,34,0,516
UCL521017,6,13,0,19,60,14,0,91,0,12,0,12,43,6,0,58,0,8,0,8,26,14,0,43,0,0,0,0,14,5,0,21,111,55,4,171,310,89,0,578
UCL521018,6,3,0,13,49,0,0,57,0,6,0,8,43,5,0,54,0,4,0,4,33,0,0,33,0,0,0,0,10,0,0,10,93,36,7,138,269,13,0,418
UCL521019,11,33,0,41,267,91,0,397,6,26,0,32,348,107,0,487,0,3,0,3,135,45,0,181,0,0,0,0,10,6,0,17,151,71,9,231,1060,398,6,1693
UCL521020,4,20,0,19,85,4,0,110,0,8,0,8,121,9,0,137,0,0,0,0,41,7,0,49,0,0,0,0,4,0,0,4,89,45,4,132,426,21,0,584
UCL521021,7,15,0,19,82,3,0,104,0,5,0,5,90,5,0,103,0,5,0,10,56,3,0,63,0,0,0,0,16,0,0,12,141,40,13,195,416,37,0,644
UCL521022,6,16,0,25,80,16,4,125,0,22,0,21,44,9,0,76,0,0,0,0,7,0,0,9,0,0,0,0,6,0,0,4,117,54,6,179,322,72,3,578
UCL521023,0,5,0,5,65,7,0,79,0,8,0,7,58,9,0,70,0,0,0,0,18,0,0,18,0,0,0,0,8,0,0,12,98,33,5,134,267,39,0,444
UCL521024,10,19,0,26,146,36,0,214,0,14,0,15,135,39,0,188,0,0,0,0,43,16,0,61,0,0,0,0,3,9,0,10,159,126,27,308,910,297,3,1517
UCL521025,0,7,0,6,89,13,0,113,0,0,0,3,72,10,0,82,0,0,0,0,40,15,0,56,0,0,0,0,9,6,0,15,116,20,7,138,413,56,0,618
UCL521026,6,12,0,18,89,6,0,109,0,8,0,7,43,3,0,54,0,0,0,0,30,4,0,36,0,0,0,0,5,0,0,3,139,44,11,194,364,37,0,595
UCL521027,4,8,0,8,75,66,0,144,0,3,0,3,33,26,0,66,0,0,0,0,11,8,0,17,0,0,0,0,0,0,0,4,130,43,10,181,353,484,3,1021
UCL521028,4,13,0,14,107,16,0,134,0,9,0,9,93,3,0,111,0,4,0,4,70,10,0,81,0,0,0,0,35,7,0,37,75,34,6,111,505,70,0,688
UCL521029,4,17,0,15,118,14,0,148,0,15,0,15,78,5,0,100,0,0,0,0,62,16,0,81,0,0,0,0,37,9,0,39,110,50,5,164,484,77,0,722
UCL521030,0,6,0,9,99,15,0,124,0,18,0,15,97,11,3,131,0,0,0,0,69,5,0,74,0,0,0,0,15,5,0,18,61,44,0,105,491,63,25,684
UCL521031,0,9,0,12,103,61,0,171,0,9,0,5,76,25,0,103,0,0,0,0,19,5,0,25,0,0,0,0,5,0,0,5,101,32,14,144,462,359,0,963
UCL521032,5,11,0,14,88,26,0,129,0,4,0,4,54,21,0,83,0,3,0,3,18,7,0,27,0,0,0,0,0,0,0,0,73,45,4,132,356,170,5,658
UCL521033,0,4,0,8,86,79,0,175,3,8,0,9,69,36,0,116,0,0,0,0,13,7,0,24,0,0,0,0,7,0,0,3,70,19,0,92,308,455,0,859
UCL521034,5,21,0,21,95,9,0,132,0,13,0,14,61,5,0,81,0,0,0,0,35,0,0,38,0,0,0,0,11,0,0,11,110,50,4,156,429,36,0,629
UCL521035,3,10,0,8,79,9,0,95,0,5,0,5,76,4,0,87,0,0,0,0,50,6,0,65,0,0,0,0,14,3,0,19,60,22,0,80,336,44,0,462
UCL521036,0,9,0,8,88,14,0,116,0,0,0,3,87,12,0,94,0,0,0,0,31,10,0,43,0,0,0,0,0,0,0,10,46,15,0,57,368,86,0,515
UCL521037,8,15,0,20,100,0,0,122,0,4,0,9,97,4,0,105,0,0,0,0,48,9,0,64,0,0,0,0,11,0,0,11,152,47,7,205,515,44,0,772
UCL521038,0,13,0,14,109,19,0,137,0,10,0,10,129,20,0,161,0,4,0,4,75,12,0,89,0,0,0,0,43,8,0,45,73,36,6,114,472,94,0,679
UCL521039,11,17,0,28,113,3,0,145,4,13,0,19,84,6,0,103,0,0,0,0,49,8,0,62,0,0,0,0,12,3,0,16,139,50,11,198,404,44,0,645
UCL521040,0,6,0,11,177,63,0,249,0,14,4,20,181,64,0,264,0,0,0,0,60,11,0,76,0,0,0,0,5,0,0,11,161,53,27,237,687,320,28,1271
UCL521041,0,13,0,13,58,0,0,74,0,3,0,9,13,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,30,25,251,275,15,5,545
UCL521042,10,0,0,14,78,8,0,95,0,8,0,12,68,6,0,79,0,0,0,0,42,3,0,45,0,0,0,0,26,4,0,28,81,23,3,112,402,42,15,570
UCL521043,6,14,0,17,75,3,0,93,0,11,0,11,45,0,0,62,0,0,0,0,22,0,0,25,0,0,0,0,6,0,0,6,71,27,5,104,247,22,0,384
UCL521044,0,13,0,15,104,13,0,128,0,7,0,7,101,3,0,115,0,3,0,3,67,9,0,78,0,0,0,0,20,3,0,26,66,35,3,110,434,51,0,591
UCL521045,3,8,0,10,62,19,0,88,0,5,0,5,84,32,0,124,0,0,0,0,45,17,0,63,0,0,0,0,27,9,0,32,39,26,3,61,302,124,0,486
UCL521046,3,7,0,14,65,7,0,87,0,13,0,13,34,11,0,54,0,0,0,0,20,3,0,25,0,0,0,0,3,0,0,3,82,86,13,187,352,57,0,595
UCL521047,3,7,0,14,85,8,0,103,0,3,0,3,73,5,0,80,0,0,0,0,28,0,0,31,0,0,0,0,13,0,0,12,67,25,4,95,361,54,0,514
UCL521048,0,20,0,18,110,16,0,147,0,16,0,16,148,10,0,178,0,3,0,3,82,7,0,88,0,0,0,0,30,3,0,33,88,61,14,162,535,83,0,777
UCL521049,5,13,0,14,24,7,0,48,0,7,0,7,13,0,0,17,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,93,100,20,208,170,31,0,409
UCL521050,0,9,0,18,84,3,0,100,0,9,0,10,80,5,0,98,0,0,0,0,33,5,0,41,0,0,0,0,19,0,0,19,103,42,3,153,393,41,4,584
UCL521051,4,18,0,17,124,4,0,147,0,10,0,10,62,6,0,77,0,0,0,0,32,11,0,47,0,0,0,0,13,0,0,14,113,47,4,167,468,58,0,689
UCL521052,4,13,0,15,93,45,0,156,0,0,0,0,72,17,0,95,0,0,0,0,25,3,0,31,0,0,0,0,0,0,0,0,99,45,10,157,404,203,4,767
UCL522001,0,7,3,12,19,4,0,35,0,3,4,6,20,5,0,27,0,0,0,0,7,0,0,7,0,3,0,3,0,0,0,3,34,106,58,194,171,23,0,391
UCL522002,0,11,0,11,35,0,0,39,0,8,0,9,56,0,0,58,0,0,0,0,24,4,0,29,0,0,0,0,9,0,0,9,28,19,7,52,186,18,0,253
UCL522003,0,7,0,7,12,0,0,16,0,0,0,0,12,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,36,46,16,101,107,23,0,229
UCL522004,0,0,0,3,19,0,0,21,0,0,0,0,11,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,47,26,6,81,143,10,0,233
UCL522005,0,5,0,7,18,0,0,28,0,0,0,0,7,0,0,11,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,64,25,0,92,122,14,0,228
UCL522006,0,13,0,13,56,7,0,64,0,11,0,17,33,0,0,48,0,0,0,0,21,0,0,21,0,0,0,0,11,0,0,11,79,34,5,115,219,11,0,348
UCL522007,0,0,0,0,34,5,0,42,0,5,0,7,47,4,0,56,0,0,0,0,10,3,0,17,0,0,0,0,4,3,0,9,20,10,0,26,145,12,0,188
UCL522008,0,3,0,3,30,0,0,44,0,3,0,3,26,0,0,34,0,3,0,3,11,4,0,14,0,0,0,0,0,0,0,0,19,9,0,29,123,16,0,167
UCL522009,0,6,0,7,30,6,0,48,0,0,0,0,20,0,0,25,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,49,15,9,72,199,20,0,289
UCL522010,3,4,0,6,39,11,0,53,0,9,0,9,24,21,0,54,0,0,0,3,14,16,0,26,0,0,0,0,5,8,0,13,62,11,8,86,168,54,3,315
UCL522011,0,0,0,3,41,0,0,44,0,3,0,3,42,8,0,56,0,0,0,0,19,10,0,30,0,0,0,0,9,0,0,9,34,9,0,41,178,54,0,273
UCL522012,0,11,0,8,82,7,0,102,0,3,0,3,98,10,0,118,0,0,0,0,47,6,0,46,0,0,0,0,15,4,0,17,65,21,4,82,343,31,0,452
UCL522013,4,10,0,14,61,3,0,81,0,4,0,4,38,5,0,46,0,0,0,0,11,0,0,19,0,0,0,0,5,0,0,8,75,17,0,97,236,24,0,351
UCL522014,0,3,0,4,26,0,0,29,0,3,0,5,11,0,0,18,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,30,12,0,42,110,4,0,156
UCL522015,0,19,0,23,152,6,0,183,6,33,0,36,183,11,0,229,0,5,0,5,56,8,0,71,0,0,0,0,0,0,0,5,144,67,0,204,678,49,21,958
UCL522016,0,0,0,5,40,8,0,51,3,4,0,4,23,6,0,36,0,0,0,0,24,0,0,30,0,0,0,0,0,3,0,5,34,10,4,45,145,37,0,227
UCL522017,6,5,0,11,60,10,0,77,0,11,0,11,55,4,0,65,0,0,0,3,18,5,0,27,0,0,0,0,5,0,0,5,50,19,0,73,209,26,0,303
UCL522018,0,0,0,0,53,9,0,64,0,0,0,0,67,6,0,77,0,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,9,0,0,12,207,37,0,256
UCL522019,0,4,0,4,33,3,0,36,0,8,0,8,16,0,0,21,0,0,0,0,9,0,0,9,0,0,0,0,11,3,0,8,11,6,0,17,98,29,0,146
UCL522020,4,3,0,8,35,5,0,46,0,5,0,5,15,0,0,23,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,33,32,9,73,129,13,0,215
UCL522021,0,4,0,3,31,0,0,35,0,13,0,13,51,0,0,65,0,0,0,0,28,4,0,26,0,0,0,0,3,0,0,4,45,29,0,74,193,10,0,282
UCL522022,0,0,0,0,39,3,0,42,0,5,0,0,23,7,0,34,0,5,0,5,15,4,0,26,0,0,0,0,0,0,0,0,30,10,5,42,125,37,0,205
UCL522023,0,8,0,10,42,10,0,60,0,0,0,0,42,4,0,47,0,0,0,0,19,0,0,18,0,0,0,0,9,0,0,9,49,15,0,61,186,23,0,272
UCL522024,5,10,0,11,40,0,0,55,0,8,0,8,54,0,0,64,0,3,0,3,34,4,0,39,0,0,0,0,3,4,0,10,17,22,0,42,163,8,0,214
UCL522025,0,10,0,11,56,12,0,81,0,3,0,5,72,17,0,95,0,0,0,0,32,11,0,44,0,0,0,0,18,6,0,16,48,17,3,68,262,69,0,400
UCL522026,4,9,0,8,53,0,0,62,0,8,0,8,74,3,0,88,4,0,0,4,51,3,0,58,0,0,0,0,6,0,0,11,21,17,4,40,222,12,0,271
UCL522027,4,5,0,12,51,0,0,66,0,0,0,0,47,3,0,50,0,0,0,0,30,0,0,32,0,0,0,0,9,0,0,9,53,20,8,77,205,26,0,310
UCL522028,0,4,0,4,21,5,0,29,0,3,0,3,30,5,0,38,0,0,0,0,17,7,0,22,0,0,0,0,3,0,0,6,16,7,0,23,126,13,10,177
UCL522029,3,0,0,8,26,0,0,39,0,13,0,13,31,0,0,40,0,0,0,0,20,4,0,25,0,0,0,0,3,0,0,3,79,26,3,106,168,14,0,286
UCL522030,0,4,0,10,32,4,0,44,0,3,0,3,17,3,0,23,0,0,0,0,10,0,0,12,0,0,0,0,0,0,0,0,45,19,6,66,112,39,7,224
UCL522031,0,6,0,8,11,4,0,25,0,4,0,4,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,65,32,122,69,14,3,198
UCL522032,0,16,0,16,19,10,0,47,0,3,0,3,14,7,0,18,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,36,120,3,159,105,35,0,301
UCL522033,3,4,0,10,56,3,0,68,0,0,0,3,83,6,0,95,0,0,0,0,40,3,0,51,0,0,0,0,3,0,0,4,37,10,0,53,270,31,0,356
UCL522034,0,4,0,4,20,0,0,22,0,6,0,6,3,0,0,10,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,30,24,0,48,107,0,0,163
UCL522035,0,5,0,5,32,0,0,43,0,0,0,0,30,0,0,33,0,0,0,0,7,4,0,10,0,0,0,0,7,3,0,10,27,6,0,34,142,16,0,191
UCL522036,0,7,0,7,22,0,0,28,0,5,0,5,46,0,0,50,0,0,0,0,14,0,0,14,0,0,0,0,3,0,0,3,23,16,0,39,131,5,0,184
UCL522037,0,3,0,3,29,8,0,35,0,7,0,14,23,3,0,32,0,3,0,3,16,0,0,21,0,0,0,0,6,0,0,9,48,18,0,67,115,34,0,216
UCL522038,3,7,0,6,42,5,0,62,0,4,0,4,40,0,0,44,0,0,0,0,29,0,0,28,0,0,0,0,8,0,0,9,91,19,3,112,249,27,3,390
UCL522039,5,0,0,0,75,22,0,98,0,5,0,5,36,6,0,46,0,0,0,0,10,0,0,15,0,0,0,0,5,0,0,5,49,18,0,65,276,58,0,401
