UCL_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL513005,27,48,55,62,46,51,155,97,24,561,27,55,110,88,78,76,95,53,12,585,19,60,101,94,88,63,53,36,6,514,8,63,163,133,96,85,43,15,0,614,7,46,171,147,125,97,32,8,0,636,0,30,130,152,108,91,33,8,4,548,0,18,113,112,116,59,9,0,0,425,0,8,60,108,82,68,5,0,0,334,0,17,110,167,206,87,14,5,0,593,0,0,19,40,47,18,5,3,0,135,0,0,24,45,37,24,8,0,0,138,37,31,76,82,65,55,37,62,67,519,3,0,22,6,0,4,0,0,0,38,651,483,1401,1480,1327,1044,827,464,146,7818
UCL514001,10,24,56,43,48,100,183,118,46,619,25,25,67,67,62,68,78,33,13,437,17,41,54,62,54,66,76,28,7,415,6,40,72,56,54,49,47,20,0,346,6,32,60,73,57,77,47,10,0,354,4,21,47,53,63,53,21,8,0,275,0,18,48,50,43,53,8,0,0,219,0,18,46,46,50,39,9,0,0,208,0,12,80,108,125,80,8,0,0,411,0,7,16,18,24,14,5,0,0,83,0,0,10,11,15,18,0,4,0,54,50,21,67,82,67,61,69,64,50,538,0,0,0,0,0,0,0,0,0,3,398,338,788,801,860,966,926,480,163,5718
UCL514002,23,6,22,37,44,30,116,53,21,360,17,20,37,68,53,58,108,68,16,447,14,34,54,104,73,48,74,43,16,453,4,40,91,108,82,64,81,29,5,506,3,16,106,126,106,78,64,21,4,528,0,9,72,82,76,70,45,20,3,375,0,4,57,74,89,62,30,19,5,340,0,3,41,74,74,32,19,3,0,240,0,0,58,135,109,55,33,5,0,394,0,0,13,42,31,20,0,3,0,105,0,0,3,47,68,36,25,5,0,193,32,16,58,61,36,51,46,37,7,344,0,0,5,0,0,5,0,6,0,15,357,160,693,1068,925,745,851,429,97,5327
UCL514003,29,20,35,50,46,55,110,60,52,451,19,36,66,89,69,56,83,41,12,469,11,33,100,98,77,55,55,19,4,450,10,50,144,132,124,70,62,15,5,608,0,32,146,192,167,85,37,13,8,681,0,5,108,113,80,71,15,4,0,403,0,3,50,101,81,54,21,4,0,308,0,5,25,58,61,34,14,6,0,198,0,0,67,120,89,61,18,3,0,359,0,0,13,27,30,11,3,0,0,84,0,0,11,26,37,18,6,0,0,103,30,23,84,78,82,68,44,10,15,433,0,8,26,20,0,0,0,0,0,55,403,262,995,1256,1061,796,629,246,120,5775
UCL514004,19,14,44,50,51,66,125,102,54,523,27,29,58,46,40,74,90,42,16,421,16,38,42,46,53,42,47,38,14,343,8,43,68,49,70,72,29,6,3,359,10,47,80,88,82,93,50,5,0,456,4,21,78,52,67,51,20,4,0,301,0,20,50,40,53,46,21,5,0,239,0,8,26,55,39,44,13,0,0,188,0,4,49,68,89,84,21,5,0,317,0,0,6,14,17,21,3,0,0,53,0,5,8,9,20,19,9,5,0,64,48,44,85,83,101,81,83,60,54,635,0,0,0,6,6,0,0,4,0,6,432,339,715,711,798,903,794,437,188,5325
UCL515001,0,5,8,8,9,23,58,31,20,162,0,4,0,3,21,23,34,38,19,148,0,0,6,13,11,20,29,10,11,104,0,0,14,5,5,13,18,0,10,65,0,5,7,9,10,19,20,7,0,75,0,5,9,4,6,13,11,0,0,48,0,0,6,0,9,4,8,0,6,33,0,0,0,7,5,7,0,0,0,19,0,0,6,7,13,13,8,5,0,45,0,0,3,0,0,0,0,0,0,9,0,0,0,0,5,3,5,0,4,16,3,6,8,11,15,12,14,15,4,83,0,3,3,5,0,0,4,0,0,13,26,31,77,91,128,198,300,166,98,1117
UCL515002,3,5,0,5,9,14,32,9,0,67,0,10,9,18,7,13,18,3,3,85,0,5,7,5,11,5,15,6,0,55,3,11,8,8,17,17,5,3,0,72,0,4,19,16,9,9,9,0,0,67,0,8,16,9,23,13,0,0,0,62,0,0,11,19,18,14,3,0,0,69,0,0,8,10,14,12,0,0,0,41,0,0,16,31,29,21,7,0,0,111,0,0,4,7,6,6,0,0,0,29,0,0,0,6,10,3,0,0,0,18,6,0,12,19,7,4,0,0,0,44,0,0,0,0,0,0,0,0,0,0,59,49,126,165,167,192,164,49,10,976
UCL515003,8,0,5,15,19,35,69,48,19,217,7,6,14,11,16,31,59,20,6,168,4,5,10,15,26,31,30,16,4,144,3,9,13,20,36,28,29,9,4,147,6,5,21,16,33,31,20,0,0,126,0,7,10,12,17,17,8,0,0,67,0,3,14,8,22,16,4,6,3,78,0,4,11,17,21,9,7,0,0,65,0,0,18,23,33,21,8,0,0,101,0,0,0,0,6,7,0,0,0,14,0,0,0,3,4,7,3,0,0,22,8,6,16,13,29,20,30,12,11,155,0,0,0,0,0,0,0,0,0,5,119,71,177,196,280,360,414,191,75,1882
UCL515004,5,3,18,11,4,9,36,12,8,103,5,11,19,11,11,14,14,9,0,101,10,27,29,8,15,8,7,9,0,119,5,12,37,27,15,16,4,0,0,117,0,17,45,31,34,20,8,3,0,162,0,14,46,31,27,8,3,0,0,141,0,23,43,25,20,12,0,0,0,123,4,6,33,9,13,7,10,0,0,83,0,3,31,33,20,11,3,0,0,104,0,0,6,8,4,0,0,0,0,25,0,0,5,0,5,0,0,0,0,13,16,13,20,8,23,15,3,4,0,107,0,48,7,0,0,0,0,0,0,50,136,220,400,248,243,161,152,68,19,1639
UCL515005,6,6,13,13,16,21,52,29,11,162,5,12,19,21,17,15,28,16,3,132,5,15,24,19,25,19,24,14,4,149,5,13,23,34,29,22,6,4,0,145,4,15,39,45,44,14,12,6,0,170,0,6,17,33,25,31,10,0,0,124,0,9,16,22,18,18,7,0,0,91,0,3,3,11,35,14,0,0,0,68,0,3,25,16,38,26,0,0,0,108,0,0,0,3,3,3,0,0,0,15,0,0,0,0,3,3,0,0,0,6,20,8,3,10,18,12,12,10,6,99,0,0,0,0,0,0,0,0,0,0,150,102,215,287,330,271,265,127,36,1777
UCL515006,3,11,19,18,30,42,136,76,10,339,14,25,25,25,39,61,107,65,17,379,8,16,33,39,35,57,64,15,4,263,6,24,51,35,49,73,45,30,8,320,3,18,51,42,64,75,67,15,4,334,3,16,47,41,48,40,26,6,0,230,0,10,55,33,42,47,21,5,3,204,0,8,25,35,44,38,12,0,0,166,0,4,50,73,65,62,13,3,0,276,0,0,10,13,10,16,4,0,0,52,0,0,9,20,20,26,8,0,0,85,57,76,144,112,122,109,89,66,16,788,0,22,26,13,11,0,0,0,0,64,209,287,614,560,664,805,919,437,88,4577
UCL515007,8,5,13,16,15,14,15,6,0,89,6,4,10,30,14,21,16,8,3,114,3,7,15,34,18,19,12,3,0,104,0,10,16,24,35,21,11,7,5,115,0,4,12,49,43,26,3,3,0,138,0,0,12,34,26,15,3,0,0,87,0,0,10,36,19,10,3,0,0,86,0,0,10,20,24,4,0,0,0,64,0,0,17,61,29,22,7,0,0,137,0,0,3,12,9,0,0,0,0,29,0,0,5,10,4,3,0,0,0,25,10,5,21,38,26,11,7,4,0,119,0,0,6,0,0,0,0,0,0,9,85,41,179,425,300,198,118,46,20,1401
UCL515008,0,0,0,3,0,11,7,6,0,31,0,4,4,7,9,0,3,0,0,30,0,3,4,9,9,9,3,4,0,46,0,3,7,8,5,7,5,0,0,43,3,8,18,9,9,16,8,0,0,66,0,7,5,3,16,9,0,0,0,48,0,5,10,18,10,11,0,0,0,55,0,0,8,18,11,6,9,0,0,56,0,3,17,43,40,31,0,0,0,134,0,3,17,32,24,11,0,0,0,87,0,0,14,40,48,9,6,0,0,114,16,0,20,24,18,17,12,12,0,121,0,0,0,0,5,0,0,0,0,5,64,44,148,241,224,174,78,30,0,995
UCL515009,12,0,4,22,26,40,89,47,30,267,5,10,27,22,25,37,65,46,10,244,0,6,22,21,32,38,36,22,10,188,3,12,14,34,31,25,34,23,7,185,0,5,33,35,39,38,23,8,0,181,0,3,13,22,31,13,10,3,3,103,0,0,22,18,24,14,5,5,10,95,0,0,11,26,18,16,3,5,0,74,0,0,9,38,37,22,9,0,0,115,0,0,3,4,10,7,3,0,0,29,0,0,0,8,10,7,9,4,0,32,24,3,24,27,49,27,31,20,10,216,0,0,0,0,0,0,7,0,0,4,247,60,207,334,381,405,446,281,111,2474
UCL515010,3,11,29,14,32,49,60,34,16,244,8,8,23,15,15,24,55,9,5,170,6,10,22,20,10,27,31,3,0,141,5,17,23,15,19,23,36,10,0,149,6,12,42,22,30,46,22,4,0,180,0,23,55,26,34,42,11,5,0,197,0,13,41,29,39,48,17,5,0,190,0,8,28,28,24,30,21,0,0,137,0,3,38,41,47,53,22,0,0,210,0,0,3,13,9,7,5,0,0,40,0,0,4,10,18,17,3,0,0,52,47,67,149,106,108,115,77,26,4,702,0,3,10,0,0,0,0,0,0,10,149,222,554,416,458,564,474,127,26,2985
UCL515011,8,7,12,16,5,24,57,72,43,250,6,8,16,18,31,13,37,25,12,177,12,21,31,22,27,23,26,19,0,184,0,4,28,36,36,25,15,9,0,169,0,11,18,42,19,46,14,8,0,160,0,10,13,18,28,24,10,0,0,106,0,4,21,25,20,13,6,5,0,94,0,4,9,18,23,16,6,0,0,78,0,3,25,34,45,27,10,0,0,134,0,0,6,8,3,5,0,4,0,27,0,0,0,11,5,7,3,0,0,26,20,5,19,14,6,13,24,21,5,126,0,4,6,8,0,0,0,0,0,21,179,114,261,327,303,351,349,238,88,2205
UCL515012,14,3,14,11,11,15,28,9,0,101,16,13,25,9,14,5,14,5,0,90,5,15,27,20,18,19,14,0,0,110,4,12,22,16,19,8,3,4,0,97,3,10,40,27,33,23,9,3,0,140,0,7,33,21,22,9,9,0,0,109,0,3,40,23,26,16,5,0,0,120,0,0,26,36,25,11,0,0,0,112,5,6,49,46,62,28,6,0,0,194,0,0,3,8,12,7,0,0,0,34,0,0,3,4,12,0,0,0,0,28,9,0,16,10,10,10,7,5,0,79,0,0,0,0,0,0,0,0,0,0,165,86,347,272,289,178,143,46,15,1545
UCL515013,12,13,19,21,12,39,115,53,10,289,10,17,31,32,26,39,115,36,3,315,21,37,82,24,31,46,90,58,0,395,10,49,100,60,53,52,50,12,5,386,3,35,110,72,59,72,65,16,0,427,0,16,69,63,60,48,41,15,3,314,0,8,62,58,52,45,26,0,0,258,0,4,58,50,47,36,11,6,0,216,0,11,70,85,79,89,19,8,0,359,0,4,19,21,21,16,5,8,0,96,0,0,17,49,37,41,20,5,0,159,14,19,55,45,36,51,61,39,6,320,0,11,19,0,0,3,0,0,0,35,159,234,774,628,551,726,875,339,41,4330
UCL515014,0,8,5,7,5,17,25,5,3,72,0,3,6,6,5,12,6,0,0,38,0,5,9,5,5,11,11,0,0,39,0,3,12,9,10,11,8,3,0,62,0,10,29,18,19,12,11,0,0,91,0,10,25,14,13,20,5,0,0,77,0,0,20,13,13,13,7,0,0,73,0,3,8,8,15,10,0,0,0,47,0,0,20,15,17,19,0,0,0,76,0,0,3,3,0,0,4,0,0,13,0,0,3,5,3,5,5,0,0,23,15,32,46,27,43,38,35,9,0,235,0,0,0,0,0,0,3,0,0,4,40,110,238,184,202,216,154,35,3,1177
UCL515015,4,6,16,16,25,26,61,56,24,230,17,5,21,25,16,19,33,30,9,172,5,10,32,20,20,18,15,16,5,142,6,20,56,42,33,18,13,8,4,206,0,21,74,37,41,29,18,3,0,235,0,10,45,38,31,20,8,0,0,155,0,11,29,18,31,23,6,5,0,123,0,0,9,14,27,13,7,0,0,74,0,6,17,17,35,25,9,0,0,101,0,0,0,5,7,4,0,0,0,23,0,0,0,6,0,0,4,4,0,20,14,7,20,11,31,33,26,50,43,240,3,0,7,0,4,0,0,0,0,12,132,121,392,304,342,317,312,259,129,2309
UCL515016,0,9,5,7,7,24,35,17,6,118,0,5,9,16,13,24,36,13,3,116,0,5,16,18,18,21,23,10,0,101,3,8,22,8,7,13,18,9,0,95,0,6,28,7,13,6,16,4,0,78,0,0,14,12,11,14,13,5,0,66,0,0,24,9,16,12,8,0,0,68,0,0,7,13,4,9,3,0,0,41,0,5,22,27,22,24,7,0,0,112,0,0,3,3,10,8,3,0,0,34,0,0,0,6,4,6,6,0,0,25,0,7,10,17,22,22,31,17,11,134,0,0,0,0,3,0,0,0,0,8,47,40,176,180,180,265,323,127,37,1377
UCL515017,3,0,5,7,8,25,55,33,3,148,0,9,12,13,20,36,55,30,3,176,0,8,9,8,11,30,41,16,4,120,5,9,13,10,25,26,31,8,0,121,0,7,11,20,19,38,36,10,0,138,0,6,10,16,25,24,24,0,0,104,0,3,16,7,18,20,7,0,0,76,0,0,3,21,13,19,10,0,0,74,0,0,14,21,21,30,11,0,0,97,0,0,7,0,9,5,5,0,0,26,0,0,3,9,8,11,10,0,0,33,14,16,20,32,41,75,73,31,6,299,0,0,6,0,0,3,0,0,0,13,58,70,150,196,232,442,518,202,38,1907
UCL515018,4,3,8,9,6,5,21,7,0,66,4,3,8,10,5,7,10,10,0,55,0,0,13,7,8,9,3,0,0,47,5,7,11,10,9,7,0,0,0,52,0,11,11,15,18,9,8,0,0,72,0,8,12,9,8,13,0,0,0,54,4,9,18,4,11,10,0,0,0,56,0,5,6,15,17,6,0,0,0,49,0,9,38,41,47,38,6,0,0,179,0,0,15,17,9,11,0,0,0,55,0,0,15,9,22,19,6,0,0,65,21,20,44,45,45,31,20,4,0,228,0,0,0,0,0,0,0,0,0,0,97,103,219,233,243,225,113,34,11,1285
