UCL_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL513005,42,36,18,19,9,0,137,6,19,38,35,16,14,7,0,132,19,139,189,141,84,59,29,0,673,38,136,163,193,139,84,31,3,787,149,464,443,355,273,182,84,16,1962,57,36,30,23,17,10,0,0,175,6,22,35,44,29,20,11,6,167,215,525,503,418,316,209,101,17,2303,3,3,18,8,5,9,8,0,59,69,94,91,72,75,57,76,60,594,357,941,1046,901,657,444,253,88,4689
UCL514001,9,5,4,0,0,0,26,0,7,7,5,13,6,0,0,50,11,34,63,47,41,31,13,6,239,4,41,52,59,57,46,20,3,286,144,305,261,252,231,141,72,8,1414,48,32,14,10,6,3,4,0,116,6,12,13,19,18,28,6,0,106,190,349,302,283,256,167,81,8,1640,0,0,4,14,9,10,5,0,43,74,84,92,76,80,90,76,63,637,284,527,520,486,465,366,200,80,2920
UCL514002,38,40,27,40,11,0,172,0,14,36,23,16,26,6,0,123,12,167,283,223,117,155,76,16,1039,5,95,155,137,115,113,59,11,685,58,177,264,222,154,123,30,15,1050,16,8,18,11,4,13,3,0,78,0,7,20,22,29,23,14,3,126,80,196,300,256,189,160,52,17,1249,0,4,11,10,8,11,3,4,49,56,68,71,42,61,50,54,9,408,159,562,896,729,530,545,257,55,3733
UCL514003,63,34,19,36,15,3,208,0,22,43,35,21,18,12,0,146,18,226,284,209,110,98,35,8,997,12,98,143,129,110,65,35,10,604,79,221,301,235,175,94,22,4,1133,30,9,15,19,4,7,0,0,99,7,15,25,18,28,20,4,0,118,117,252,346,272,204,118,26,9,1342,3,3,8,12,11,11,0,5,48,58,96,92,91,80,61,36,36,549,206,745,975,788,554,397,159,74,3899
UCL514004,29,16,24,9,0,0,102,0,8,20,16,22,14,3,0,79,18,67,89,72,57,53,21,4,376,4,37,59,48,86,44,22,0,311,92,166,144,184,164,119,39,13,925,45,25,18,15,16,6,0,0,123,5,7,16,18,19,19,9,0,91,145,198,172,218,198,152,46,13,1142,3,5,4,0,6,11,3,0,36,98,92,87,114,96,100,91,50,728,273,422,461,488,482,378,196,72,2776
UCL515001,0,9,9,13,0,0,36,0,0,0,3,3,5,5,0,24,0,6,16,10,21,34,16,4,116,0,4,7,18,30,43,20,4,125,6,24,20,29,48,41,23,7,206,8,0,0,0,0,0,0,0,14,0,0,5,4,6,7,3,0,24,10,26,25,31,58,50,25,7,247,0,0,0,3,3,0,8,7,10,7,8,10,13,12,25,23,17,107,18,56,67,81,130,183,94,35,663
UCL515002,4,0,3,3,0,0,16,0,3,7,0,4,6,0,0,22,4,15,18,15,24,15,0,0,93,0,9,10,27,27,19,3,0,96,27,39,58,53,52,34,10,0,277,7,0,0,0,5,4,0,0,22,0,0,4,6,3,0,0,0,16,31,46,62,58,64,37,11,0,312,0,0,0,0,0,0,0,0,9,5,6,20,9,3,5,4,4,50,40,77,123,122,122,77,26,4,596
UCL515003,5,0,5,11,6,0,35,0,6,6,9,10,4,0,0,38,4,24,25,44,35,41,18,4,194,0,19,30,38,42,62,16,0,206,32,68,49,65,93,76,28,4,412,11,6,8,7,6,10,6,0,41,0,4,0,0,5,17,4,0,42,39,71,61,72,105,102,35,9,499,0,0,0,4,5,7,4,0,15,20,19,14,29,29,36,27,11,190,70,137,149,198,233,258,108,23,1179
UCL515004,6,0,0,0,0,0,16,0,8,7,0,0,0,0,0,15,38,31,18,10,7,6,0,0,110,12,34,14,27,14,11,5,0,110,37,149,79,75,42,22,12,0,420,21,8,5,4,6,0,0,0,46,3,3,10,6,4,0,0,0,25,60,168,97,87,52,32,12,0,497,0,0,0,0,0,3,0,0,12,20,21,11,17,15,9,6,6,107,132,274,152,143,84,56,17,11,869
UCL515005,11,0,0,7,0,0,16,0,3,13,11,5,3,0,0,32,0,24,33,32,23,15,5,0,131,0,18,23,35,23,18,7,0,124,38,83,91,93,62,49,13,0,423,15,11,6,0,3,4,0,0,38,3,8,4,12,0,7,0,0,37,54,99,99,106,66,59,13,0,497,0,0,0,0,3,0,0,0,0,22,8,11,17,21,24,15,8,128,76,155,185,203,142,120,40,10,935
UCL515006,17,15,19,18,4,0,88,0,11,10,14,13,7,0,0,62,20,75,77,58,74,69,26,4,401,5,29,52,43,67,86,21,3,314,50,122,109,132,146,144,45,11,763,28,20,3,7,8,6,3,0,74,3,3,7,11,21,23,5,0,72,80,143,123,143,175,170,55,11,903,0,0,3,0,0,5,3,0,19,146,155,124,133,125,112,68,12,875,253,439,406,410,476,469,187,33,2661
UCL515007,11,9,6,0,0,0,44,0,5,17,15,8,0,0,0,42,5,53,123,72,29,12,4,4,297,0,19,39,28,34,22,3,0,148,15,38,101,64,43,18,8,0,289,7,6,5,5,0,0,0,0,23,0,0,13,4,5,5,0,0,28,24,45,116,76,49,21,11,0,335,0,0,3,4,0,3,0,0,7,8,16,43,31,7,8,6,0,134,32,146,355,235,134,68,27,6,1010
UCL515008,11,6,0,0,0,0,26,0,0,12,9,0,0,0,0,17,4,31,46,24,12,4,0,0,118,0,15,22,25,23,10,0,0,96,19,48,82,73,52,15,3,0,284,8,4,6,0,0,0,0,0,17,0,0,4,10,5,3,0,0,12,24,52,86,84,61,16,3,0,317,0,0,0,3,0,0,0,0,3,21,20,30,28,24,19,12,0,145,49,124,201,172,122,48,17,0,722
UCL515009,21,16,31,24,14,4,116,0,14,19,14,15,16,8,0,79,0,42,61,79,75,66,31,10,355,0,22,38,42,51,63,43,10,272,37,50,69,72,73,58,27,4,385,12,3,7,6,9,5,5,0,35,0,0,7,10,3,16,6,6,48,49,60,79,83,86,71,36,6,470,0,0,6,4,0,7,0,0,15,43,31,48,62,41,47,35,19,324,100,168,269,295,299,293,168,53,1640
UCL515010,23,24,14,11,0,0,81,0,13,12,9,15,17,0,0,66,31,84,47,35,51,37,13,0,293,3,22,27,27,35,57,0,0,174,26,69,53,84,110,74,18,0,441,20,11,16,4,11,4,0,0,59,0,0,3,4,13,3,0,0,32,46,89,65,92,131,81,19,0,529,0,0,0,0,0,0,0,0,7,117,164,119,117,116,103,31,4,783,199,393,297,309,371,303,59,7,1938
UCL515011,4,3,4,5,4,0,28,3,5,8,10,10,7,4,0,40,7,32,31,26,27,25,15,0,167,6,21,38,35,27,31,16,3,173,42,75,96,67,90,44,34,10,455,28,3,5,0,6,0,0,0,47,0,5,6,7,6,8,8,0,43,72,79,103,73,108,51,42,9,544,0,0,0,0,0,4,0,0,12,21,25,18,11,20,39,28,12,172,106,161,212,162,186,159,109,33,1122
UCL515012,7,12,4,5,0,0,31,0,7,7,11,4,3,0,0,31,5,59,44,49,22,5,3,0,195,8,36,32,35,20,21,4,0,154,31,116,92,85,49,22,0,0,400,10,19,3,3,0,0,0,0,42,0,5,13,3,6,4,0,0,28,43,136,102,93,57,29,0,3,468,0,0,8,3,0,0,5,0,12,16,16,12,9,6,6,3,0,77,70,271,213,211,112,67,14,4,972
UCL515013,30,30,19,20,3,0,138,0,19,12,23,21,23,0,0,93,36,193,144,81,82,83,14,3,637,12,65,68,67,87,79,29,5,408,77,221,170,141,165,151,51,3,994,14,12,8,8,7,5,3,0,65,4,7,9,12,17,26,8,0,86,93,246,187,166,190,185,64,7,1142,0,0,0,5,5,10,4,0,31,40,58,41,44,54,76,37,12,360,180,620,487,411,460,473,159,23,2814
UCL515014,10,7,12,9,5,0,53,0,9,4,11,10,0,0,0,29,12,44,21,20,20,17,0,0,139,0,7,15,8,9,20,0,0,62,8,28,25,22,22,14,0,0,124,0,4,7,0,5,4,0,0,23,0,6,4,4,5,0,0,0,21,18,39,33,29,30,16,0,0,163,0,0,0,0,0,0,0,0,0,44,46,27,48,41,40,9,0,246,72,155,110,120,119,95,14,0,693
UCL515015,4,5,4,0,3,0,23,0,7,5,3,0,4,0,0,25,0,68,60,39,19,10,10,3,211,7,27,21,23,18,13,12,3,131,45,92,81,77,54,46,23,11,423,10,6,3,4,8,3,0,0,34,4,7,0,12,9,8,6,0,37,55,101,79,86,70,56,32,11,490,7,7,7,0,0,0,0,0,27,18,27,15,42,35,40,43,31,254,92,248,195,208,151,129,97,46,1165
UCL515016,3,3,0,6,0,0,19,0,0,9,9,0,7,0,0,20,7,29,19,17,28,14,3,0,120,0,15,15,15,33,29,8,0,125,13,55,37,49,67,60,23,4,306,0,7,0,0,3,3,0,0,23,0,0,9,0,4,7,10,3,25,15,65,48,51,75,67,28,6,352,0,0,0,0,0,3,3,0,12,11,12,24,25,22,40,14,10,164,32,129,122,127,155,167,64,12,813
UCL515017,9,8,8,12,0,0,51,0,0,3,5,6,4,0,0,24,4,22,22,25,31,40,17,4,162,0,6,20,21,29,39,9,0,129,26,41,48,53,82,103,32,4,386,5,0,10,5,8,5,3,0,27,0,0,0,4,8,10,5,0,35,32,44,49,60,98,119,39,4,450,0,0,0,0,3,3,0,0,14,23,24,39,39,84,85,34,9,336,63,102,140,159,259,308,101,18,1156
UCL515018,4,3,5,0,0,0,17,0,0,9,0,0,0,0,0,6,3,18,12,10,12,6,0,0,72,0,14,10,12,7,4,4,0,57,28,64,51,60,55,12,6,0,276,3,5,7,3,0,0,0,0,28,0,0,5,3,3,0,0,0,15,36,70,61,66,63,19,6,0,317,0,0,4,3,0,0,0,0,4,46,41,47,44,30,23,12,6,248,86,149,142,146,114,48,19,6,717
UCL515019,8,10,8,0,0,0,37,0,10,7,7,10,0,0,0,38,8,42,33,31,29,21,8,0,180,6,19,19,29,27,22,8,0,127,78,116,79,62,70,38,23,3,466,23,10,5,11,11,4,3,0,70,6,11,10,11,8,5,0,0,47,109,138,103,83,79,49,23,4,586,0,5,0,0,0,5,6,0,19,69,70,68,47,57,52,32,26,419,195,288,240,201,214,153,79,32,1399
UCL515020,39,22,32,11,0,0,164,0,36,20,16,28,6,4,0,107,44,219,127,101,97,71,12,0,665,11,68,63,46,94,62,3,0,349,52,153,130,149,126,118,16,0,751,10,22,7,3,6,3,0,0,56,4,8,4,11,19,15,3,0,72,74,183,140,161,150,142,20,5,873,0,10,3,0,9,4,0,0,33,138,188,122,136,109,78,26,16,818,270,756,513,489,517,380,72,20,3016
UCL515021,3,7,9,10,3,0,38,0,8,10,9,9,5,3,0,29,3,17,34,41,33,32,12,0,177,0,15,14,26,30,20,14,0,112,28,45,62,51,58,39,13,5,292,16,4,5,7,0,0,0,0,25,0,0,6,9,15,9,0,0,38,43,47,65,63,70,52,10,4,357,0,0,0,7,5,3,3,0,18,10,9,12,15,13,5,15,7,83,59,90,136,157,165,125,63,22,818
UCL515022,6,11,3,0,0,0,30,0,5,11,9,3,3,0,0,35,9,61,52,33,29,26,8,4,221,6,29,31,41,37,22,13,0,182,81,135,127,97,104,78,35,12,663,43,32,7,3,6,6,0,0,96,4,9,6,9,19,10,4,0,60,127,175,137,119,130,88,39,12,824,0,0,0,3,0,7,0,0,13,34,17,30,50,31,42,43,18,266,182,293,274,266,232,194,103,37,1571
UCL515023,11,16,4,6,0,0,45,0,3,0,6,3,3,0,0,21,13,37,39,18,14,11,0,0,141,7,18,16,12,24,10,3,3,101,45,80,68,62,64,36,8,0,371,23,19,9,9,7,4,0,0,64,0,5,0,6,4,0,0,0,26,69,102,78,77,80,40,9,0,460,0,0,0,0,0,3,0,0,12,47,52,49,45,43,43,28,13,317,134,226,194,183,172,115,49,19,1088
UCL515024,9,0,6,0,0,0,19,0,5,0,0,3,5,0,0,17,5,17,25,12,10,13,0,3,83,0,5,8,14,14,5,5,0,53,24,53,36,32,51,40,5,0,232,10,4,0,4,4,4,0,0,25,0,0,0,3,0,4,4,0,17,32,58,36,38,55,45,6,0,273,0,0,0,0,0,0,0,0,10,30,29,22,37,40,39,21,9,241,74,121,109,102,128,103,37,21,688
UCL515025,5,9,7,0,0,0,15,0,0,3,3,0,0,0,0,8,3,14,13,15,18,22,0,5,92,0,6,15,26,27,17,12,5,109,34,49,47,53,38,31,13,5,271,9,4,9,5,9,0,3,0,33,3,0,3,0,4,3,0,0,20,53,55,54,59,54,34,16,5,329,0,0,0,0,0,0,0,0,3,34,18,27,26,35,38,39,32,254,87,101,113,138,143,112,63,48,795
UCL515026,6,5,4,5,0,0,17,0,10,0,0,3,0,0,0,22,5,49,29,17,16,11,0,0,128,7,42,35,21,20,13,0,0,141,75,149,75,75,55,23,4,5,470,20,11,6,4,0,0,0,0,45,0,9,8,7,12,4,0,0,29,94,165,86,88,68,30,6,5,545,0,3,0,0,4,4,0,0,11,13,29,8,19,15,12,5,5,107,121,292,176,155,134,68,19,6,965
UCL515027,12,12,0,4,0,0,44,0,6,10,14,21,9,0,0,63,23,85,53,40,50,26,14,8,303,6,32,32,42,47,29,15,6,213,59,118,92,100,86,67,25,3,552,25,13,3,7,5,4,0,0,58,0,0,6,11,10,4,0,0,37,89,133,106,112,100,73,27,9,643,0,4,8,4,0,0,0,0,16,75,65,63,64,51,56,51,55,477,204,334,284,285,271,205,111,74,1758
UCL515028,22,11,9,7,0,0,87,0,14,10,10,8,0,0,0,41,25,145,90,85,43,10,3,0,402,7,67,91,75,39,14,0,0,287,76,301,285,206,131,34,8,0,1039,27,29,16,12,4,0,0,0,80,7,15,16,11,8,0,0,0,55,112,342,315,223,143,38,8,0,1177,0,4,0,5,5,0,0,0,12,66,147,116,117,64,21,4,0,536,207,751,648,521,309,91,18,0,2539
UCL515029,3,3,3,0,0,0,11,0,0,0,5,4,0,0,0,10,4,30,32,12,9,3,0,0,77,0,18,18,21,20,0,0,0,75,16,88,102,79,41,12,0,0,340,4,0,4,0,0,0,0,0,11,0,3,0,3,0,0,0,0,8,20,92,110,83,42,12,0,0,364,3,0,0,6,3,0,0,0,14,42,87,119,115,68,10,9,4,445,70,235,278,235,143,22,8,4,999
UCL515030,6,7,5,7,0,0,24,0,8,4,9,10,3,0,0,34,8,34,37,37,21,27,13,3,181,5,24,44,39,35,29,13,4,191,70,103,113,112,104,77,28,15,624,36,8,7,7,6,4,0,0,68,4,9,9,13,9,10,3,0,63,111,112,135,132,121,96,35,18,754,0,0,0,0,3,0,10,0,15,35,30,39,35,29,63,72,53,360,162,216,266,256,228,224,138,80,1567
UCL515031,3,0,10,11,5,0,33,0,3,11,4,8,6,3,0,40,9,30,44,35,30,28,11,3,196,8,13,25,36,30,50,16,8,173,32,51,72,84,103,101,42,0,488,7,5,9,9,6,10,3,0,52,4,0,4,9,5,4,4,0,35,38,60,89,100,118,115,42,11,571,0,6,0,0,3,5,6,0,22,25,47,44,45,63,85,60,12,384,82,160,215,226,264,304,150,25,1419
UCL515032,3,5,0,0,0,0,11,0,3,3,6,0,0,0,0,14,4,21,25,28,15,9,3,0,92,3,15,16,18,22,13,4,0,80,27,61,79,66,38,29,4,0,304,11,0,7,0,0,0,0,0,20,0,0,4,4,7,6,0,0,18,38,66,83,72,44,31,5,5,339,0,4,0,0,5,0,0,0,8,20,11,14,19,10,7,4,3,79,64,113,141,148,98,59,8,4,638
UCL515033,17,3,9,5,3,0,53,0,16,7,10,3,0,0,0,35,12,79,78,44,18,6,4,0,241,6,38,52,44,26,4,3,0,176,26,175,230,129,83,19,0,0,668,15,14,9,7,0,0,0,0,41,3,4,10,11,3,0,0,0,25,49,193,250,143,89,18,0,0,738,0,0,3,3,0,0,0,0,10,53,75,107,85,60,27,11,0,417,121,414,503,335,213,66,20,0,1666
UCL515034,6,3,4,6,0,0,18,0,0,3,8,7,4,0,0,30,4,27,40,24,28,23,8,0,158,5,33,35,59,36,31,8,0,204,39,105,95,90,94,59,25,8,515,18,7,3,9,7,0,0,0,47,4,0,6,8,8,6,4,0,40,66,124,100,108,106,66,32,8,603,0,0,0,7,0,5,0,0,19,26,9,31,21,27,33,23,4,182,98,199,220,232,214,162,70,11,1208
UCL515035,0,0,7,0,4,0,6,0,0,3,4,0,0,0,0,14,3,21,21,8,13,13,0,0,80,0,10,5,3,7,10,0,0,36,7,30,22,18,41,29,18,0,170,0,3,3,0,6,0,0,0,16,0,0,0,0,9,0,3,0,19,12,28,27,23,52,36,21,0,199,0,0,0,0,0,0,0,0,4,22,18,19,14,18,27,15,4,137,32,84,79,55,100,85,39,7,480
UCL515036,5,0,3,4,0,0,9,3,0,3,0,0,4,0,0,12,0,20,21,25,17,14,0,0,90,5,10,25,20,21,13,15,0,105,39,73,76,80,84,50,16,8,422,12,13,7,4,5,4,0,0,44,0,0,5,7,9,5,3,0,27,56,90,89,93,95,60,20,8,501,0,4,0,0,4,3,0,0,15,19,17,15,28,21,25,38,33,197,75,143,155,162,159,119,71,45,932
UCL515037,5,5,0,0,0,0,19,0,4,5,3,3,0,0,0,22,7,41,60,24,8,0,0,0,147,6,28,40,31,12,0,0,0,117,37,171,173,98,72,16,4,0,569,19,12,5,7,0,0,0,0,36,0,3,7,0,5,0,0,0,22,53,186,182,104,78,14,4,0,620,0,0,7,0,4,0,0,0,8,47,140,119,72,83,19,5,0,481,111,403,410,248,196,44,3,0,1411
