UCL_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL513005,3008,3099,6109,3,0,4,0,0,0,7,14,24,10,11,20,6,3,10,5,9,11,0,4,5,30,41,68,4,0,6,0,3,8,29,18,46,6,7,16,0,0,5,0,0,0,34,37,71,9,16,28,0,7,7,10,9,15,0,0,0,7,10,18,0,0,0,22,15,35,256,295,553,0,0,0,23,43,66,10,12,19,6,3,8,161,185,339,0,7,4,0,5,3,5,26,25,1028,1157,2185,19,15,38,0,11,12,156,188,345,196,209,397,32,6,39,5088,5476,10565
UCL514001,2848,2798,5646,0,0,0,0,0,0,4,5,6,5,5,7,4,0,6,0,0,0,0,0,0,19,16,41,0,0,0,0,0,0,7,3,9,3,3,15,3,0,8,0,0,0,5,7,17,16,9,29,0,5,5,5,0,8,0,0,0,0,4,8,0,0,0,10,3,12,70,77,153,3,0,4,16,26,40,6,10,10,0,4,4,16,16,33,0,0,0,0,0,0,0,5,9,161,176,332,7,4,5,0,4,4,28,24,50,300,244,542,3,0,3,3539,3457,7000
UCL514002,2361,2578,4938,0,0,0,0,0,0,10,16,28,4,4,10,0,0,0,0,0,0,0,0,0,16,47,63,0,0,0,0,0,0,17,3,23,5,3,11,0,0,0,0,0,0,20,25,39,18,7,29,6,8,16,3,7,14,0,0,0,5,5,15,3,0,6,14,14,26,88,78,167,0,0,3,3,5,7,6,3,8,5,14,12,43,49,92,10,10,17,5,17,25,0,14,15,311,344,657,16,11,30,0,5,4,70,103,177,203,229,432,5,9,12,3271,3603,6874
UCL514003,2390,2515,4905,4,0,0,0,0,0,13,29,38,5,9,17,0,0,0,0,0,0,0,3,3,30,42,74,0,4,5,0,3,3,14,8,24,4,21,25,0,0,4,0,0,0,27,23,52,34,28,63,3,16,21,9,12,26,0,0,0,3,4,8,0,0,0,16,21,28,111,103,212,0,0,0,29,43,73,0,4,7,3,10,9,41,48,82,8,0,9,7,11,22,10,16,22,326,343,674,30,21,48,6,8,16,164,147,307,283,272,549,44,7,54,3612,3774,7388
UCL514004,2416,2510,4928,0,3,3,0,0,5,3,3,5,7,7,11,4,0,4,3,4,6,0,0,0,21,26,47,3,0,3,0,0,0,33,33,61,3,7,12,0,0,0,0,0,0,8,10,13,5,0,6,0,0,0,0,0,0,0,0,0,4,10,10,4,3,5,15,8,27,62,87,150,9,3,12,49,77,130,3,8,16,6,4,11,11,25,38,3,3,8,0,0,0,3,7,11,133,140,277,4,5,11,5,10,12,44,71,111,333,334,670,3,3,6,3203,3414,6616
UCL515001,407,446,854,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,4,4,13,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,21,33,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,0,3,3,77,77,156,3,3,10,4,0,3,12,19,26,50,44,93,13,0,13,602,632,1228
UCL515002,480,440,921,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,24,17,38,0,0,0,0,0,0,0,0,0,0,0,0,13,15,24,0,0,0,0,6,6,0,3,3,37,52,91,0,5,4,0,0,0,17,14,31,23,15,41,0,0,0,612,586,1199
UCL515003,687,818,1507,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,13,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,4,11,0,5,0,0,3,3,0,0,0,0,0,0,0,5,4,0,0,0,4,9,16,39,34,70,4,5,8,6,6,10,0,0,3,0,5,3,13,13,23,0,0,3,0,0,0,0,5,9,143,158,299,7,8,13,0,0,4,20,22,42,90,88,174,0,0,5,1030,1199,2228
UCL515004,810,775,1586,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,3,0,3,5,5,8,3,0,4,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,4,6,48,35,84,0,0,0,4,4,12,0,0,0,16,0,20,11,6,16,0,0,0,0,0,0,0,7,7,78,88,164,0,4,4,0,0,3,30,28,52,63,61,129,47,0,50,1131,1047,2177
UCL515005,899,965,1863,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,0,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,6,4,6,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,4,7,31,31,61,0,0,3,0,3,3,0,0,0,0,0,0,15,10,22,0,0,0,0,0,0,0,0,3,71,91,156,5,0,8,0,0,0,10,11,20,44,46,93,0,0,0,1091,1181,2276
UCL515006,1846,1717,3568,0,0,0,0,0,0,4,4,5,0,6,11,5,8,17,0,0,0,5,3,5,13,17,28,0,6,5,0,3,4,18,10,29,0,3,4,5,0,4,0,0,0,14,7,22,11,10,17,3,0,4,0,4,6,0,0,0,8,8,19,0,0,0,13,7,20,53,39,91,4,0,0,13,34,49,0,0,5,0,3,3,13,8,19,6,0,6,0,13,10,3,10,14,141,156,299,10,9,16,11,10,19,77,69,149,480,401,882,54,16,64,2816,2586,5401
UCL515007,696,729,1425,0,0,0,0,0,0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,8,9,20,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,24,26,51,0,0,0,0,3,3,0,0,0,0,0,0,9,7,11,0,0,0,0,0,0,0,0,7,69,87,152,8,7,14,0,0,7,29,26,55,98,101,200,4,5,9,956,1035,1988
UCL515008,555,468,1019,0,0,0,0,0,0,3,0,9,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,3,0,7,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,4,6,20,24,44,0,0,0,6,9,8,0,0,0,0,0,0,8,4,10,0,0,3,0,0,0,0,0,0,27,34,65,0,0,4,0,0,3,10,9,21,70,71,142,5,0,5,708,647,1355
UCL515009,952,1042,1993,0,0,0,0,0,0,0,5,6,0,0,3,0,3,3,0,0,0,0,0,0,4,22,28,0,0,0,0,0,0,0,0,8,0,7,7,0,0,0,0,0,0,3,4,12,9,3,10,0,4,4,0,0,0,0,0,0,0,4,3,0,0,0,15,11,22,29,33,58,0,0,0,0,10,8,3,0,4,0,8,8,14,16,33,0,0,3,0,0,4,0,0,0,170,193,358,12,6,19,9,6,16,37,39,79,135,135,270,5,7,4,1407,1564,2971
UCL515010,1140,1210,2360,0,0,0,3,0,8,0,0,0,5,3,7,0,0,0,0,0,0,0,0,3,8,0,11,0,0,0,0,0,0,16,10,29,0,0,0,0,0,0,0,0,0,9,4,6,0,4,3,0,0,0,4,0,5,0,0,0,3,5,3,0,0,0,0,4,0,44,46,89,0,0,0,10,11,22,0,0,0,3,0,5,5,8,9,4,0,4,0,0,0,0,0,0,64,54,125,6,3,11,0,0,0,35,32,64,416,459,878,4,4,8,1793,1872,3668
UCL515011,993,1053,2044,7,3,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,12,9,20,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,3,3,4,10,15,28,0,0,4,3,0,5,0,0,0,5,7,12,0,0,0,3,3,10,30,29,64,4,3,5,5,8,12,0,0,3,0,6,4,3,5,12,0,0,0,3,16,21,0,0,0,97,114,215,3,4,6,4,10,15,18,22,38,85,70,154,4,20,25,1300,1418,2712
UCL515012,855,896,1755,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,9,15,0,0,0,0,0,0,0,0,3,7,3,8,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,18,40,0,0,0,0,5,5,0,0,0,0,0,0,15,15,31,0,0,0,0,0,0,0,0,0,59,57,114,0,4,12,0,0,0,12,15,25,31,36,73,3,0,0,1017,1085,2101
UCL515013,1897,1785,3678,0,0,0,0,0,0,4,18,19,0,4,4,0,0,0,0,0,0,0,0,0,19,30,44,0,0,4,0,0,0,5,0,3,0,3,3,0,0,0,0,0,0,0,13,17,11,10,24,4,6,10,0,0,0,0,0,0,3,3,11,0,0,4,14,10,32,70,50,123,0,0,0,11,19,29,4,7,15,3,0,3,26,19,46,0,0,4,0,3,5,0,9,12,189,192,384,36,25,61,0,5,5,66,86,150,160,146,303,18,15,36,2544,2468,5013
UCL515014,479,496,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,3,5,12,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,4,0,3,3,16,23,37,0,0,0,6,6,15,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,5,7,22,6,28,0,7,7,0,0,0,10,21,30,113,125,234,3,5,4,673,718,1388
UCL515015,886,904,1791,0,0,0,0,0,0,0,0,0,32,17,53,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,4,3,0,6,0,3,3,0,0,0,0,0,0,5,0,7,31,35,60,0,0,0,4,7,12,0,0,0,9,0,16,0,0,0,7,12,15,28,30,59,0,0,0,162,159,322,0,0,0,0,0,0,8,13,19,0,0,0,10,18,22,0,0,0,72,70,142,0,0,4,0,0,0,23,29,50,106,86,193,7,6,13,1394,1400,2791
UCL515016,625,597,1223,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,3,6,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,18,18,37,0,0,0,3,5,11,0,3,3,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,55,43,98,5,3,6,5,3,4,17,11,34,74,76,150,8,0,8,827,796,1621
UCL515017,764,692,1456,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,3,0,3,0,0,0,7,12,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,6,16,21,27,42,0,0,0,0,5,6,0,0,0,0,0,0,8,8,10,0,0,0,0,4,4,0,8,8,88,93,175,0,3,3,0,3,3,14,24,33,164,154,318,7,3,13,1092,1039,2134
UCL515018,546,526,1065,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,84,72,154,0,0,0,3,11,16,3,0,3,0,0,0,7,12,19,5,0,5,0,0,0,0,6,8,23,17,40,0,0,0,0,0,0,14,13,32,138,139,272,0,0,0,837,810,1648
UCL515019,1205,1156,2365,20,8,30,0,0,0,0,3,3,11,10,21,0,0,0,3,0,3,17,0,15,0,4,9,0,0,0,0,0,0,7,4,12,3,9,15,0,5,5,0,0,5,4,0,4,12,4,19,0,0,0,0,0,0,0,0,0,19,13,37,0,0,0,10,3,10,60,66,130,7,0,10,12,22,37,0,0,0,8,15,21,18,22,43,3,0,6,0,9,9,24,47,74,49,69,126,3,3,5,3,3,3,137,81,216,233,210,447,3,0,3,1888,1784,3675
UCL515020,1866,1944,3813,0,0,0,0,0,0,3,5,10,10,10,16,0,0,0,0,0,3,4,0,11,15,18,35,0,0,0,0,0,0,21,21,40,3,6,13,0,0,0,0,0,0,16,13,31,15,3,17,0,0,4,0,0,0,0,0,0,5,9,14,6,0,5,12,14,20,43,57,99,0,0,3,13,29,45,0,6,4,0,6,3,12,26,35,3,5,3,0,13,15,0,9,13,145,141,288,7,11,16,12,5,19,86,104,192,413,477,886,21,41,63,2746,2989,5733
UCL515021,634,590,1219,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,4,10,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,8,4,8,15,9,22,0,0,0,0,3,6,0,3,4,0,0,3,7,10,11,0,0,0,0,0,0,0,3,3,80,82,162,9,6,13,0,0,0,3,9,20,29,23,58,0,0,0,799,764,1563
UCL515022,1629,1627,3265,19,11,26,0,0,0,4,4,8,0,0,4,4,0,4,6,0,4,0,0,0,4,3,11,3,7,9,3,0,3,13,12,19,0,5,4,3,0,3,0,0,0,7,4,10,14,11,24,0,4,4,0,5,5,0,0,0,0,4,5,0,0,0,6,4,9,29,35,61,6,4,6,9,27,29,0,4,4,0,0,4,5,6,10,0,0,0,0,4,7,0,3,3,101,113,211,0,5,4,0,0,0,46,34,82,107,95,196,13,3,17,2026,2015,4046
UCL515023,929,871,1803,0,0,0,0,4,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,10,16,0,0,0,0,0,0,0,0,0,3,4,7,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,30,17,51,0,0,0,14,14,32,0,3,3,0,4,4,7,7,17,0,3,3,0,0,3,0,0,3,51,46,88,0,0,5,4,6,4,25,23,47,181,146,323,0,3,3,1266,1171,2435
UCL515024,606,603,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,0,4,8,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,12,17,20,34,0,0,0,8,14,19,0,0,0,0,3,3,3,4,9,0,0,0,0,0,0,0,4,0,25,29,56,4,0,4,0,0,0,8,11,13,126,111,235,51,0,51,858,809,1668
UCL515025,600,617,1213,46,27,77,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,5,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,18,17,36,0,3,3,13,13,25,0,0,0,0,0,0,0,8,5,0,0,3,0,0,0,3,0,3,59,77,136,0,3,6,0,0,0,12,8,24,129,151,283,0,0,0,897,947,1844
UCL515026,816,836,1655,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,6,4,15,0,0,0,0,0,0,0,0,0,6,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,5,3,6,41,37,81,0,0,0,4,9,10,0,0,0,0,0,0,10,9,18,0,0,0,0,0,0,0,4,4,99,118,218,9,3,10,0,0,0,22,28,54,59,49,109,0,0,0,1090,1119,2210
UCL515027,1280,1379,2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,23,0,0,0,0,0,0,14,23,36,4,0,4,0,0,0,0,0,0,8,6,10,10,3,15,0,3,4,3,4,9,0,0,0,9,8,17,0,0,6,7,5,12,47,42,91,3,0,6,54,61,117,0,0,0,3,8,8,25,25,47,0,3,9,0,7,3,0,0,0,65,88,158,0,7,10,4,10,5,61,34,100,221,213,433,9,0,8,1840,1945,3779
UCL515028,1680,1322,2998,0,0,0,0,0,0,4,5,8,5,9,16,5,0,5,0,0,0,9,0,5,4,0,5,0,0,0,0,3,6,16,18,29,10,11,18,0,4,7,0,0,0,13,14,27,0,3,3,0,3,0,5,0,4,0,0,4,10,6,14,0,0,0,0,6,10,214,169,377,6,0,6,60,61,127,0,0,5,6,3,12,41,36,75,9,0,9,0,0,0,8,40,45,122,64,184,4,3,7,0,4,3,129,90,216,362,254,609,16,11,28,2727,2136,4870
UCL515029,517,340,858,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,5,5,6,11,0,0,0,0,0,0,6,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,42,95,0,0,0,14,16,28,0,0,0,0,4,8,5,0,3,0,0,0,0,0,0,0,8,12,46,16,62,0,0,0,0,0,0,26,20,44,373,119,492,6,0,6,1080,580,1664
UCL515030,1333,1443,2771,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,0,0,5,3,5,7,10,10,0,0,0,0,0,0,3,5,13,0,4,4,0,0,0,0,0,0,0,4,10,6,10,14,0,0,0,0,0,0,0,0,0,6,8,8,0,0,0,15,8,20,52,58,109,0,0,0,23,31,56,0,0,0,0,0,0,16,20,33,0,0,0,0,0,0,3,5,4,140,183,325,4,7,12,4,6,10,14,18,35,134,135,269,0,0,0,1757,1960,3713
UCL515031,1110,1135,2247,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,11,8,20,0,0,0,0,0,0,4,4,5,0,4,6,0,0,0,0,0,0,4,9,8,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,14,34,41,78,0,0,0,0,4,9,0,3,3,0,0,0,7,5,10,0,0,0,0,0,0,3,9,11,82,114,196,0,0,0,4,3,3,14,13,28,226,165,389,0,0,4,1521,1535,3054
UCL515032,567,515,1086,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,8,16,14,26,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,0,0,0,0,0,0,0,0,0,69,92,154,0,0,3,0,0,0,13,17,32,41,41,80,0,0,0,726,698,1424
UCL515033,1096,911,2003,0,0,0,0,0,0,5,12,15,3,6,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,17,10,17,25,0,0,0,0,0,0,14,9,21,0,0,3,0,0,0,0,0,0,4,4,9,5,4,9,0,0,0,0,0,3,90,84,178,0,0,5,18,26,45,0,0,4,0,6,9,27,12,35,14,7,20,0,0,0,10,16,23,73,48,123,3,3,6,0,0,0,31,33,64,311,209,520,13,6,17,1739,1418,3162
