UCL_CODE_2021,AG_15_19_Nbr_ch_ev_brn_No,AG_15_19_Nbr_ch_ev_brn_1,AG_15_19_Nbr_ch_ev_brn_2,AG_15_19_Nbr_ch_ev_brn_3,AG_15_19_Nbr_ch_ev_brn_4,AG_15_19_Nbr_ch_ev_brn_5,AG_15_19_Nbr_ch_ev_brn_6m,AG_15_19_Nbr_ch_ev_brn_Ns,AG_15_19_Tot,AG_20_24_Nbr_ch_ev_brn_No,AG_20_24_Nbr_ch_ev_brn_1,AG_20_24_Nbr_ch_ev_brn_2,AG_20_24_Nbr_ch_ev_brn_3,AG_20_24_Nbr_ch_ev_brn_4,AG_20_24_Nbr_ch_ev_brn_5,AG_20_24_Nbr_ch_ev_brn_6m,AG_20_24_Nbr_ch_ev_brn_Ns,AG_20_24_Tot,AG_25_29_Nbr_ch_ev_brn_No,AG_25_29_Nbr_ch_ev_brn_1,AG_25_29_Nbr_ch_ev_brn_2,AG_25_29_Nbr_ch_ev_brn_3,AG_25_29_Nbr_ch_ev_brn_4,AG_25_29_Nbr_ch_ev_brn_5,AG_25_29_Nbr_ch_ev_brn_6m,AG_25_29_Nbr_ch_ev_brn_Ns,AG_25_29_Tot,AG_30_34_Nbr_ch_ev_brn_No,AG_30_34_Nbr_ch_ev_brn_1,AG_30_34_Nbr_ch_ev_brn_2,AG_30_34_Nbr_ch_ev_brn_3,AG_30_34_Nbr_ch_ev_brn_4,AG_30_34_Nbr_ch_ev_brn_5,AG_30_34_Nbr_ch_ev_brn_6m,AG_30_34_Nbr_ch_ev_brn_Ns,AG_30_34_Tot,AG_35_39_Nbr_ch_ev_brn_No,AG_35_39_Nbr_ch_ev_brn_1,AG_35_39_Nbr_ch_ev_brn_2,AG_35_39_Nbr_ch_ev_brn_3,AG_35_39_Nbr_ch_ev_brn_4,AG_35_39_Nbr_ch_ev_brn_5,AG_35_39_Nbr_ch_ev_brn_6m,AG_35_39_Nbr_ch_ev_brn_Ns,AG_35_39_Tot,AG_40_44_Nbr_ch_ev_brn_No,AG_40_44_Nbr_ch_ev_brn_1,AG_40_44_Nbr_ch_ev_brn_2,AG_40_44_Nbr_ch_ev_brn_3,AG_40_44_Nbr_ch_ev_brn_4,AG_40_44_Nbr_ch_ev_brn_5,AG_40_44_Nbr_ch_ev_brn_6m,AG_40_44_Nbr_ch_ev_brn_Ns,AG_40_44_Tot,AG_45_49_Nbr_ch_ev_brn_No,AG_45_49_Nbr_ch_ev_brn_1,AG_45_49_Nbr_ch_ev_brn_2,AG_45_49_Nbr_ch_ev_brn_3,AG_45_49_Nbr_ch_ev_brn_4,AG_45_49_Nbr_ch_ev_brn_5,AG_45_49_Nbr_ch_ev_brn_6m,AG_45_49_Nbr_ch_ev_brn_Ns,AG_45_49_Tot,AG_50_54_Nbr_ch_ev_brn_No,AG_50_54_Nbr_ch_ev_brn_1,AG_50_54_Nbr_ch_ev_brn_2,AG_50_54_Nbr_ch_ev_brn_3,AG_50_54_Nbr_ch_ev_brn_4,AG_50_54_Nbr_ch_ev_brn_5,AG_50_54_Nbr_ch_ev_brn_6m,AG_50_54_Nbr_ch_ev_brn_Ns,AG_50_54_Tot,AG_55_59_Nbr_ch_ev_brn_No,AG_55_59_Nbr_ch_ev_brn_1,AG_55_59_Nbr_ch_ev_brn_2,AG_55_59_Nbr_ch_ev_brn_3,AG_55_59_Nbr_ch_ev_brn_4,AG_55_59_Nbr_ch_ev_brn_5,AG_55_59_Nbr_ch_ev_brn_6m,AG_55_59_Nbr_ch_ev_brn_Ns,AG_55_59_Tot,AG_60_64_Nbr_ch_ev_brn_No,AG_60_64_Nbr_ch_ev_brn_1,AG_60_64_Nbr_ch_ev_brn_2,AG_60_64_Nbr_ch_ev_brn_3,AG_60_64_Nbr_ch_ev_brn_4,AG_60_64_Nbr_ch_ev_brn_5,AG_60_64_Nbr_ch_ev_brn_6m,AG_60_64_Nbr_ch_ev_brn_Ns,AG_60_64_Tot,AG_65_69_Nbr_ch_ev_brn_No,AG_65_69_Nbr_ch_ev_brn_1,AG_65_69_Nbr_ch_ev_brn_2,AG_65_69_Nbr_ch_ev_brn_3,AG_65_69_Nbr_ch_ev_brn_4,AG_65_69_Nbr_ch_ev_brn_5,AG_65_69_Nbr_ch_ev_brn_6m,AG_65_69_Nbr_ch_ev_brn_Ns,AG_65_69_Tot,AG_70_74_Nbr_ch_ev_brn_No,AG_70_74_Nbr_ch_ev_brn_1,AG_70_74_Nbr_ch_ev_brn_2,AG_70_74_Nbr_ch_ev_brn_3,AG_70_74_Nbr_ch_ev_brn_4,AG_70_74_Nbr_ch_ev_brn_5,AG_70_74_Nbr_ch_ev_brn_6m,AG_70_74_Nbr_ch_ev_brn_Ns,AG_70_74_Tot,AG_75_79_Nbr_ch_ev_brn_No,AG_75_79_Nbr_ch_ev_brn_1,AG_75_79_Nbr_ch_ev_brn_2,AG_75_79_Nbr_ch_ev_brn_3,AG_75_79_Nbr_ch_ev_brn_4,AG_75_79_Nbr_ch_ev_brn_5,AG_75_79_Nbr_ch_ev_brn_6m,AG_75_79_Nbr_ch_ev_brn_Ns,AG_75_79_Tot,AG_80_84_Nbr_ch_ev_brn_No,AG_80_84_Nbr_ch_ev_brn_1,AG_80_84_Nbr_ch_ev_brn_2,AG_80_84_Nbr_ch_ev_brn_3,AG_80_84_Nbr_ch_ev_brn_4,AG_80_84_Nbr_ch_ev_brn_5,AG_80_84_Nbr_ch_ev_brn_6m,AG_80_84_Nbr_ch_ev_brn_Ns,AG_80_84_Tot,AG_85_over_Nbr_ch_ev_brn_No,AG_85_over_Nbr_ch_ev_brn_1,AG_85_over_Nbr_ch_ev_brn_2,AG_85_over_Nbr_ch_ev_brn_3,AG_85_over_Nbr_ch_ev_brn_4,AG_85_over_Nbr_ch_ev_brn_5,AG_85_over_Nbr_ch_ev_brn_6m,AG_85_over_Nbr_ch_ev_brn_Ns,AG_85_over_Tot,Tot_Num_child_evr_brn_No,Tot_Num_child_evr_brn_1,Tot_Num_child_evr_brn_2,Tot_Num_child_evr_brn_3,Tot_Num_child_evr_brn_4,Tot_Num_child_evr_brn_5,Tot_Num_child_evr_brn_6m,Tot_Num_child_evr_brn_Ns,Tot_Tot
UCL513005,267,0,0,0,0,0,0,28,303,170,24,15,3,0,0,0,11,221,120,86,78,28,3,5,0,20,344,91,82,134,66,29,8,4,20,437,59,85,145,95,22,8,7,25,452,41,48,131,78,32,4,10,14,370,38,45,130,67,30,9,8,18,340,38,50,130,78,30,6,5,18,346,34,31,87,86,20,10,3,15,282,20,32,98,73,18,7,3,13,261,19,25,86,52,28,12,4,9,230,13,19,106,49,24,5,0,5,217,7,10,64,44,12,5,0,8,155,0,8,30,17,12,9,0,10,82,5,6,24,8,14,13,6,14,89,926,548,1276,747,278,89,44,230,4134
UCL514001,165,0,0,0,0,0,0,24,192,107,17,15,4,0,0,0,14,156,80,32,51,9,3,0,0,21,206,47,30,58,39,15,7,0,14,204,29,22,71,48,20,3,0,23,210,22,26,56,32,21,6,0,18,185,22,20,80,48,13,6,10,14,212,23,21,93,58,28,5,5,13,245,25,26,77,63,16,9,0,14,231,25,18,87,69,30,13,0,15,249,15,7,79,59,31,13,0,18,221,10,8,61,65,32,11,3,17,208,4,7,36,47,21,10,0,21,150,7,0,12,24,15,12,7,19,93,5,5,4,14,13,7,13,33,98,583,253,782,581,263,101,44,271,2873
UCL514002,143,0,0,0,0,0,0,17,153,69,0,0,0,0,0,0,8,76,92,14,10,3,0,0,0,15,131,102,44,52,18,4,0,0,28,248,40,55,123,41,7,0,0,19,291,34,32,151,69,5,0,0,16,302,31,51,126,58,11,0,0,9,294,39,25,83,40,8,3,0,17,203,31,23,73,39,12,4,0,14,191,23,22,87,51,16,3,0,12,212,16,22,74,73,24,4,0,12,220,22,22,95,58,14,0,5,15,218,13,5,56,42,15,0,0,11,151,5,0,13,21,14,6,0,9,66,0,8,16,15,9,4,0,0,51,660,322,955,529,132,25,8,191,2819
UCL514003,165,0,0,0,0,0,0,18,178,91,0,0,0,0,0,0,12,112,136,25,10,10,0,0,0,20,198,131,51,53,23,4,0,0,24,290,83,82,124,50,5,0,0,20,361,53,58,123,48,22,4,6,19,331,38,52,126,57,14,3,0,20,313,41,44,85,38,8,4,0,23,244,29,24,81,36,13,4,0,27,210,32,17,86,43,15,4,7,14,213,29,18,63,38,21,0,3,10,180,10,19,66,38,13,6,3,11,160,8,4,31,19,5,3,3,5,85,5,0,16,16,8,0,0,5,52,3,0,14,21,13,11,0,12,72,854,405,881,424,144,36,20,228,2991
UCL514004,172,0,0,0,0,0,0,19,204,114,21,9,3,0,0,0,28,168,70,34,31,17,0,0,0,12,169,47,28,43,27,12,4,8,17,194,34,20,56,40,16,6,3,20,200,32,13,48,32,21,7,8,20,187,26,12,56,44,17,9,5,27,212,28,33,75,27,20,12,3,21,226,27,30,79,50,28,12,9,27,250,16,22,61,75,22,7,7,16,228,21,13,77,55,27,8,4,15,216,8,14,38,54,23,17,6,16,175,13,9,30,33,12,12,3,21,142,7,6,17,18,18,7,3,16,89,3,3,24,23,17,15,14,24,118,629,272,639,499,243,113,75,308,2766
UCL515001,12,0,0,0,0,0,0,0,12,10,0,0,0,0,0,0,0,12,5,0,5,0,0,0,0,0,13,7,4,4,0,0,0,0,0,22,8,6,10,4,0,0,0,0,27,9,5,6,0,6,0,0,0,25,4,6,8,8,0,0,0,4,27,3,11,16,9,0,4,0,5,50,4,4,14,8,4,0,0,3,40,11,9,25,17,9,0,0,0,68,14,4,27,16,10,0,0,5,77,7,3,23,32,13,0,0,3,78,3,4,22,8,3,0,0,0,39,3,0,10,6,4,0,0,5,38,4,0,8,18,7,3,0,0,54,109,55,169,123,59,9,7,36,575
UCL515002,28,0,0,0,0,0,0,0,28,21,0,0,0,0,0,0,0,27,20,7,3,0,0,0,0,0,38,3,4,14,5,0,0,0,0,34,5,3,14,4,0,0,0,0,35,4,10,11,11,4,0,0,3,44,3,3,24,11,4,0,0,0,41,3,8,19,10,0,4,0,0,45,8,3,24,5,0,0,0,0,44,8,8,19,10,7,3,0,0,53,4,4,26,12,5,0,0,0,47,3,4,15,13,5,4,0,0,41,0,0,6,0,0,0,0,0,13,0,0,0,0,4,0,0,0,8,0,0,0,4,0,0,0,4,8,120,46,170,92,34,12,5,14,497
UCL515003,58,0,0,0,0,0,0,11,70,28,5,0,0,0,0,0,6,34,17,13,0,4,0,0,0,4,40,13,13,8,9,3,3,0,5,51,12,5,12,8,3,0,0,3,48,8,9,19,13,3,0,0,6,58,12,14,19,11,9,4,0,3,68,18,10,28,16,0,0,0,8,77,18,13,26,22,10,3,0,3,105,7,10,36,27,14,6,0,11,101,17,19,48,22,20,0,0,8,137,5,10,29,27,10,0,0,0,83,9,3,20,12,9,0,0,10,63,0,3,16,3,5,0,0,3,36,0,5,11,14,4,0,3,8,45,223,126,281,185,92,21,13,80,1016
UCL515004,48,0,0,0,0,0,0,8,57,49,5,0,0,0,0,0,8,68,37,27,23,5,0,0,0,7,98,17,22,29,15,10,4,0,9,105,15,11,20,16,4,5,0,0,73,6,6,29,14,3,0,0,5,60,10,12,28,10,3,10,0,7,73,8,6,24,16,4,3,5,5,62,5,6,15,7,5,0,6,3,51,0,3,14,10,5,4,0,0,43,3,4,18,13,7,0,0,8,46,5,0,10,14,4,0,0,0,35,0,0,5,5,3,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,11,196,117,219,128,47,26,16,56,802
UCL515005,67,0,0,0,0,0,0,13,80,37,6,0,5,0,0,0,0,42,25,13,9,9,3,0,0,0,63,16,12,28,10,3,0,0,0,62,19,13,30,16,4,3,0,4,86,10,3,28,19,4,3,0,7,73,9,14,18,22,20,0,0,0,86,9,14,27,21,8,4,4,4,89,8,5,31,21,3,0,0,0,77,11,3,31,12,4,0,0,9,74,4,7,28,17,3,0,3,0,62,5,0,18,24,6,4,3,5,67,0,0,8,14,6,0,0,0,34,3,0,4,7,3,3,0,3,26,0,0,0,0,5,3,5,0,20,215,100,261,190,76,33,9,58,941
UCL515006,64,3,0,0,0,0,0,24,92,71,13,10,0,0,0,0,41,138,70,22,20,3,3,0,0,37,149,45,23,32,17,5,0,0,38,157,33,26,41,19,3,3,0,28,147,19,15,41,19,8,0,5,20,121,15,7,42,15,14,9,4,29,145,23,17,44,31,18,4,0,28,163,31,9,65,37,15,16,5,29,208,21,9,58,64,10,10,3,25,208,19,14,90,44,17,7,0,23,226,14,13,72,52,26,10,3,16,200,10,10,35,36,18,4,6,19,136,0,3,9,22,7,0,3,9,59,0,0,10,5,3,0,4,9,40,433,188,571,363,155,64,39,371,2188
UCL515007,41,0,0,0,0,0,0,5,42,17,0,0,0,0,0,0,0,16,23,10,8,0,0,0,0,6,39,18,15,15,8,0,0,0,9,60,21,18,47,8,4,0,0,15,119,10,18,59,15,3,0,0,7,124,13,19,32,10,6,0,0,5,78,4,13,31,9,0,0,0,9,73,5,10,19,8,5,4,0,3,51,10,5,20,15,0,0,0,0,56,4,5,13,9,3,0,0,0,37,3,0,11,0,7,0,0,4,29,0,0,6,3,0,0,0,0,12,0,0,4,5,0,0,0,0,6,0,0,0,5,3,0,0,0,10,176,108,260,99,31,5,4,65,750
UCL515008,21,0,0,0,0,0,0,4,25,13,3,0,0,0,0,0,0,20,16,0,4,4,0,0,0,9,28,20,6,10,7,0,0,0,5,51,4,9,35,13,0,0,0,5,65,8,6,21,9,3,3,0,0,48,7,7,18,14,0,0,0,6,50,5,10,23,9,3,0,0,5,64,3,4,17,12,0,0,0,5,41,0,0,15,17,0,0,0,6,38,0,3,3,0,0,0,0,4,16,0,0,5,8,0,0,0,6,19,0,0,8,0,3,0,0,3,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,100,50,146,83,17,9,3,65,476
UCL515009,100,0,0,0,0,0,0,16,115,27,0,0,0,0,0,0,10,35,21,3,8,0,0,0,0,5,39,29,15,17,5,4,0,0,8,81,16,4,36,14,3,0,0,13,93,11,12,33,16,12,0,0,13,89,15,12,27,21,11,0,3,19,112,17,18,39,11,3,3,0,11,104,15,10,32,25,8,0,0,5,94,33,17,35,24,9,3,0,9,119,19,11,38,14,3,4,3,5,105,22,16,49,20,5,3,0,14,133,8,7,36,28,4,0,3,6,101,0,3,10,20,3,0,0,3,45,9,4,12,14,20,3,4,5,64,339,131,375,216,84,24,10,146,1330
UCL515010,41,4,0,0,0,0,0,29,77,59,14,9,0,0,0,0,33,116,81,15,17,6,4,0,0,46,163,40,14,15,10,11,0,0,48,142,24,16,16,10,3,6,7,37,115,19,11,14,11,4,0,9,34,103,20,14,25,11,14,0,3,26,118,8,10,25,16,10,4,11,38,123,16,7,26,24,27,9,6,32,141,16,7,45,28,15,3,4,30,140,9,6,36,33,16,0,0,21,127,10,12,21,12,13,5,0,20,94,0,9,7,5,4,4,5,11,44,0,0,5,0,0,4,4,8,22,0,0,3,0,0,5,6,6,19,337,128,283,165,114,45,51,412,1532
