UCL_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
UCL521018,39,1618,699,270,1974,0.7,1698,2.5
UCL521019,59,1444,699,270,1441,0.8,1184,1.9
UCL521020,50,1733,504,250,1552,0.7,1287,2.6
UCL521021,40,1699,752,300,1840,0.7,1610,2.6
UCL521022,44,1733,1058,420,2343,0.8,1992,2.6
UCL521023,38,680,716,200,2012,0.7,1468,2.6
UCL521024,35,1600,530,125,902,1.1,1273,2.9
UCL521025,43,1135,923,250,2317,0.7,1867,2.1
UCL521026,40,1950,887,313,2308,0.8,2040,2.7
UCL521027,37,900,1471,170,2356,0.7,1859,2.2
UCL521028,52,730,549,160,1514,0.7,871,2.1
UCL521029,47,1000,778,200,1697,0.7,1181,2.2
UCL521030,53,1729,738,253,1437,0.6,1092,1.9
UCL521031,41,683,1365,180,1642,0.9,1592,2.3
UCL521032,36,748,593,110,1286,0.9,1305,2.5
UCL521033,45,535,1037,175,1375,0.8,1409,2
UCL521034,46,2000,723,340,2011,0.7,1827,2.7
UCL521035,55,1159,612,260,1343,0.7,1075,2
UCL521036,52,600,581,150,1050,0.7,821,1.8
UCL521037,41,1196,490,270,1254,0.7,997,2.4
UCL521038,58,1100,476,200,1232,0.7,859,2.1
UCL521039,48,1517,722,350,1797,0.8,1375,2.5
UCL521040,49,1550,1080,250,3075,0.8,2010,2.5
UCL521041,32,0,2116,28,3042,1,2175,2.9
UCL521042,47,1200,717,280,1419,0.7,1083,2.1
UCL521043,48,1733,822,359,2218,0.6,1800,2.4
UCL521044,54,867,488,200,1093,0.7,835,2
UCL521045,58,758,536,130,1231,0.6,969,2
UCL521046,34,1500,384,180,1009,1,1145,2.9
UCL521047,50,758,861,154,1924,0.6,1399,1.9
UCL521048,53,1300,551,280,1183,0.7,893,2
UCL521049,28,0,451,63,1018,1.2,1619,3.5
UCL521050,41,867,712,180,1395,0.7,1139,2.1
UCL521051,43,1171,666,250,1633,0.8,1442,2.4
UCL521052,39,1387,658,181,1156,1,1161,2.7
UCL522001,30,0,319,60,746,1.5,1266,4.2
UCL522002,54,1250,552,270,1312,0.7,909,1.9
UCL522003,26,0,411,100,966,1.1,1208,3.3
UCL522004,23,0,256,60,694,1.1,711,3.8
UCL522005,30,0,389,120,1111,1.2,1113,3.1
UCL522006,44,2514,817,300,2302,0.8,2177,3
UCL522007,59,1517,725,220,1424,0.6,1086,1.7
UCL522008,49,782,506,200,1328,0.6,942,2.1
UCL522009,39,1584,793,315,1812,0.8,1550,2.7
UCL522010,42,2167,892,270,2727,0.8,2277,3
UCL522011,45,809,754,150,1812,0.7,1191,1.9
UCL522012,56,1327,695,300,1401,0.6,1162,2
UCL522013,45,1734,610,350,1792,0.8,1761,2.7
UCL522014,36,1408,660,290,2041,0.8,2035,3
UCL522015,49,1625,890,372,2349,1.4,1710,2
UCL522016,45,723,519,168,1178,0.7,987,2.2
UCL522017,52,1280,535,300,1268,0.7,1125,2.3
UCL522018,62,725,618,120,1375,0.6,708,1.5
UCL522019,50,870,632,151,1312,0.6,1020,1.8
UCL522020,32,1300,409,125,916,1,1125,3.1
UCL522021,45,650,702,170,1281,0.6,1066,2.1
UCL522022,50,515,645,175,1517,0.6,1080,1.9
UCL522023,49,1541,602,290,1478,0.7,1233,2.2
UCL522024,64,2000,745,370,1531,0.6,1262,2
UCL522025,55,910,633,180,1607,0.7,900,2
UCL522026,66,1339,516,250,993,0.6,895,1.8
UCL522027,49,985,535,200,1446,0.7,1013,2
UCL522028,53,1200,544,265,1303,0.6,1041,2
UCL522029,37,1695,671,300,1708,0.8,1388,2.8
UCL522030,37,1004,1042,176,2031,0.8,1613,2.4
UCL522031,25,0,275,80,628,1.3,888,4.2
UCL522032,29,0,330,75,766,1.3,1114,4
UCL522033,57,1000,459,235,1125,0.7,783,1.9
UCL522034,32,0,247,50,665,1.7,1575,5
UCL522035,51,650,709,120,1625,0.7,977,2
UCL522036,54,542,667,130,1083,0.6,1093,2
UCL522037,43,550,776,175,2022,0.8,1268,2.2
UCL522038,37,1083,1026,180,2171,0.7,1666,2.3
UCL522039,44,426,910,150,1792,0.9,1537,2.3
UCL522040,61,1217,615,300,1474,0.6,1192,1.8
UCL522041,55,1310,565,210,1399,0.7,1062,2.1
UCL522042,34,520,1950,46,3023,0.8,2347,2.7
UCL522043,26,0,271,83,745,1.2,836,3.7
UCL522044,57,878,591,147,1281,1.1,1075,2
UCL522045,25,0,272,60,617,1.2,774,3.5
UCL522046,58,1083,645,200,1562,0.8,1291,2.2
UCL522047,48,500,641,190,1583,0.7,1294,2.1
UCL522048,50,704,654,158,1875,0.7,1172,2
UCL522049,52,625,488,150,1375,0.7,808,2
UCL522050,51,867,785,160,1625,0.7,1361,2.1
UCL522051,48,1625,592,250,1887,0.8,1852,2.6
UCL522052,40,0,491,40,780,1.1,1452,2.9
UCL522053,25,0,315,70,762,1.1,850,3.6
UCL522054,49,780,782,170,1937,0.7,1463,2.1
UCL522055,62,1875,950,400,3750,0.8,1812,2.3
UCL522056,42,830,1411,208,2023,0.8,1802,2.3
UCL522057,50,0,1017,676,2340,0.8,1694,1.9
UCL522058,42,647,478,172,1140,0.7,988,2.5
UCL522059,46,596,596,120,1395,0.7,1147,2.2
UCL522060,50,0,384,13,784,0.9,1347,2.4
UCL522061,59,953,505,228,979,0.6,748,1.8
UCL522062,27,0,257,60,655,1.1,725,3.6
UCL522063,32,0,319,70,619,1.3,1093,3.9
UCL522064,29,373,369,90,746,1.8,1365,4.2
UCL522065,48,910,659,139,1359,0.7,1125,2.1
UCL522066,37,1083,909,220,2073,0.7,1433,2.3
UCL522067,40,500,1910,140,900,1,1518,2.3
UCL522068,41,1539,666,365,1937,0.8,1625,2.6
UCL522069,53,542,478,150,850,0.6,780,1.7
UCL522070,42,1400,537,270,1267,0.8,993,2.4
UCL522071,23,0,282,75,601,1.4,959,4.3
UCL531001,44,1950,985,250,2042,0.8,1695,2.6
UCL579997,45,1733,2700,0,1375,0.7,1833,1.7
