UCL_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
UCL513005,3777,10250,84,134,15,27,100,161,0,0,0,0,0,0,0,0,0,11,7,8,0,0,0,0,0,0,0,0,0,0,4,5,3889,10425,428,..,4315,10425
UCL514001,2764,6414,124,176,0,0,124,176,116,170,0,0,0,0,0,0,0,0,116,170,12,26,0,0,5,3,0,6,23,42,6,21,3032,6812,402,..,3434,6812
UCL514002,2405,6030,190,434,89,202,273,637,22,38,0,0,0,3,0,0,4,0,25,45,0,0,0,0,3,4,0,0,4,3,12,26,2721,6737,1672,..,4392,6737
UCL514003,2516,6396,134,216,91,159,229,375,4,4,0,0,0,0,0,0,0,5,3,5,20,34,51,133,19,22,0,0,87,189,24,49,2854,7011,525,..,3382,7011
UCL514004,2502,5985,163,249,11,14,171,270,13,26,0,0,0,0,0,0,0,3,10,28,25,35,14,21,5,11,0,0,43,64,9,18,2740,6361,444,..,3193,6361
UCL515001,531,1030,39,52,18,28,59,83,6,11,0,0,0,0,0,0,0,0,6,11,13,23,8,7,0,0,5,11,20,44,3,10,623,1167,459,..,1085,1167
UCL515002,511,1167,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,12,20,4,4,0,0,0,0,15,28,0,0,527,1199,196,..,729,1199
UCL515003,940,2061,58,71,0,0,58,71,7,7,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,3,0,3,0,10,1009,2154,199,..,1210,2154
UCL515004,748,1993,6,9,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,2005,58,..,808,2005
UCL515005,883,2189,55,81,0,0,55,81,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,0,0,942,2273,69,..,1013,2273
UCL515006,1301,3294,244,414,37,56,285,471,45,56,0,0,0,0,0,0,0,0,45,56,470,931,16,29,4,17,4,0,499,984,57,112,2184,4908,383,..,2567,4908
UCL515007,695,1947,22,29,0,0,22,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,5,0,10,718,1988,106,..,826,1988
UCL515008,365,1108,8,19,15,32,18,43,4,10,32,56,0,0,0,0,0,0,41,64,33,77,3,3,4,0,0,0,40,86,15,23,477,1327,126,..,602,1327
UCL515009,1214,2619,67,97,0,0,67,97,0,0,0,0,0,0,0,0,0,0,0,0,13,26,0,0,56,68,0,0,74,95,5,3,1354,2812,275,..,1637,2812
UCL515010,985,2602,131,218,0,4,134,220,0,0,0,0,0,0,0,0,0,0,0,5,224,443,0,0,5,4,9,20,232,474,29,45,1384,3337,306,..,1694,3337
UCL515011,1036,2476,41,67,0,0,41,67,3,6,0,0,0,0,0,0,0,0,3,6,12,38,0,0,4,4,0,0,17,45,6,3,1101,2601,113,..,1210,2601
UCL515012,784,2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,782,2101,76,..,860,2101
UCL515013,1013,2827,29,62,13,27,42,85,69,96,0,0,0,0,0,0,0,0,69,96,534,1133,45,104,13,27,11,42,596,1310,11,24,1738,4337,240,..,1980,4337
UCL515014,306,830,51,83,9,13,57,101,0,0,0,0,0,0,0,0,0,0,0,0,101,191,0,0,12,18,0,5,105,214,13,24,487,1166,62,..,552,1166
UCL515015,1021,2453,84,151,9,29,93,178,0,5,0,0,0,0,0,0,0,0,0,5,31,38,0,0,4,0,4,5,39,51,4,8,1161,2690,124,..,1283,2690
UCL515016,669,1418,25,58,9,16,40,70,9,15,0,0,0,0,0,0,0,0,9,15,34,58,7,18,0,0,3,9,44,78,4,9,763,1584,587,..,1344,1584
UCL515017,459,1005,85,154,39,69,124,220,0,0,0,0,0,0,0,0,0,3,0,3,252,522,10,23,4,3,0,0,263,548,59,122,905,1903,230,..,1133,1903
UCL515018,594,1469,69,125,20,21,91,148,18,28,0,0,0,0,0,0,0,0,18,28,0,3,0,0,0,0,0,0,0,3,3,3,705,1648,142,..,849,1648
UCL515019,1281,3278,145,235,4,3,144,240,4,10,0,0,0,0,0,0,0,4,7,10,7,9,0,0,0,0,0,0,3,9,6,12,1441,3544,203,..,1644,3544
UCL515020,974,2894,261,588,37,81,300,672,150,341,0,0,0,0,0,0,0,0,150,341,628,1018,9,17,6,10,44,101,681,1143,63,101,2163,5145,324,..,2488,5145
UCL515021,573,1435,36,40,0,0,36,40,0,0,0,0,0,0,0,0,0,0,0,0,22,27,37,56,4,4,0,0,62,83,0,4,669,1563,67,..,739,1563
UCL515022,1516,3607,201,245,4,0,201,252,18,29,0,0,0,0,0,0,0,0,18,29,9,15,0,0,5,11,0,0,15,28,23,27,1776,3939,233,..,2006,3939
UCL515023,966,2156,60,99,0,0,65,98,6,13,0,0,0,0,0,0,0,0,6,13,28,28,0,0,0,0,0,0,28,28,7,6,1067,2303,222,..,1296,2303
UCL515024,583,1346,64,91,0,0,64,91,0,0,0,0,0,0,0,0,0,0,0,0,14,27,19,32,0,0,0,4,29,68,3,11,685,1518,156,..,838,1518
UCL515025,732,1715,29,43,0,0,29,43,9,11,0,0,0,0,0,0,0,0,11,9,4,5,8,12,0,0,0,0,13,20,0,0,782,1793,119,..,900,1793
UCL515026,786,2210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,2210,49,..,838,2210
UCL515027,1454,3242,159,230,0,0,159,230,6,10,0,0,0,0,0,0,0,0,6,10,10,8,0,0,10,10,4,11,24,27,4,4,1647,3520,281,..,1920,3520
UCL515028,1492,3950,43,55,27,40,69,104,74,89,0,0,0,0,0,0,0,0,74,89,24,48,0,0,6,19,0,0,28,62,24,26,1687,4232,969,..,2664,4232
UCL515029,386,929,15,16,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,411,958,183,..,594,958
UCL515030,1259,3255,173,271,0,0,176,271,3,9,0,0,0,0,0,0,0,0,6,5,43,65,8,17,4,3,0,0,47,88,5,7,1490,3623,157,..,1648,3623
UCL515031,1061,2360,95,135,61,130,159,270,39,56,0,0,0,0,0,0,0,0,39,56,61,120,58,94,0,5,4,10,126,231,17,31,1401,2941,353,..,1756,2941
UCL515032,490,1416,3,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,497,1424,18,..,515,1424
UCL515033,907,2678,37,64,4,7,46,76,19,26,0,0,0,0,0,0,0,0,19,26,5,5,0,0,0,3,0,0,6,5,15,21,993,2802,356,..,1350,2802
UCL515034,1118,2684,4,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,6,7,0,4,1127,2693,187,..,1312,2693
UCL515035,553,1157,40,41,0,0,38,46,4,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,3,0,0,601,1210,99,..,704,1210
UCL515036,849,2013,97,162,0,0,103,164,0,0,0,0,0,0,0,0,0,3,0,3,10,19,0,0,0,4,0,9,13,25,3,9,967,2219,154,..,1124,2219
UCL515037,447,1494,190,353,0,3,195,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,644,1845,280,..,921,1845
UCL515038,1042,2156,43,72,4,9,47,80,9,15,0,0,0,0,0,0,0,0,9,15,11,19,0,3,0,0,0,4,12,23,8,13,1120,2280,181,..,1302,2280
UCL521001,186,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,6,3,3,194,499,0,..,198,499
UCL521002,301,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,763,36,..,335,763
UCL521003,402,795,15,20,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,6,6,6,11,0,0,427,830,115,..,540,830
UCL521004,158,603,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,159,610,26,..,181,610
UCL521005,428,1038,28,40,0,0,28,40,0,0,0,0,0,0,0,0,0,0,0,0,8,18,0,0,0,3,0,0,14,20,0,0,463,1091,116,..,582,1091
UCL521006,336,812,6,29,0,0,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,349,847,25,..,376,847
UCL521007,248,496,5,10,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,0,3,259,516,30,..,289,516
UCL521008,213,462,11,24,0,0,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,485,57,..,285,485
UCL521009,201,457,19,21,0,0,19,21,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,10,12,14,9,8,236,503,10,..,249,503
UCL521010,298,704,22,45,0,0,22,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,8,0,5,328,758,49,..,381,758
UCL521011,205,560,0,4,0,4,4,13,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,5,4,0,0,213,576,9,..,222,576
UCL521012,189,421,0,0,8,17,8,17,0,0,0,0,0,0,0,0,0,0,0,0,42,56,0,0,0,0,0,0,42,56,29,35,271,531,18,..,287,531
UCL521013,336,876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,338,873,29,..,364,873
UCL521014,313,690,5,3,0,0,5,3,16,15,0,0,0,0,0,0,0,0,16,15,19,28,4,3,5,4,0,0,22,29,4,4,360,747,82,..,440,747
UCL521015,268,525,14,17,5,10,24,30,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,4,4,8,17,0,0,298,566,55,..,352,566
UCL521016,266,611,13,17,0,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,0,0,0,0,9,8,0,3,290,637,61,..,351,637
UCL521017,221,624,14,20,0,0,14,20,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,9,23,20,40,3,6,263,688,35,..,297,688
UCL521018,212,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,526,14,..,230,526
UCL521019,299,641,27,46,3,16,34,56,8,15,0,0,0,0,0,0,0,0,8,15,409,853,34,63,24,50,3,11,469,971,0,5,820,1692,144,..,959,1692
UCL521020,285,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,3,7,0,0,284,694,92,..,380,694
UCL521021,324,834,8,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,332,847,68,..,400,847
UCL521022,246,618,0,0,0,3,0,0,13,33,0,0,0,0,0,0,0,0,18,38,12,15,0,0,6,6,0,0,16,20,0,3,284,676,184,..,467,676
UCL521023,219,543,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,546,70,..,290,546
UCL521024,406,1277,57,123,20,16,71,137,10,27,0,0,0,0,0,0,0,0,10,27,97,186,0,0,8,14,5,15,109,220,19,25,615,1689,108,..,724,1689
UCL521025,344,712,7,7,0,0,7,7,9,10,3,4,0,0,0,0,0,0,12,13,17,23,5,8,0,0,0,0,24,29,0,0,379,754,242,..,625,754
UCL521026,285,766,3,9,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,3,9,9,0,0,297,780,18,..,313,780
UCL521027,289,673,5,3,29,37,35,42,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,6,4,3,7,9,333,732,87,..,424,732
UCL521028,312,662,13,19,0,0,13,19,18,24,0,0,0,0,0,0,0,0,18,24,0,3,7,10,0,0,3,3,11,16,3,12,362,735,66,..,424,735
UCL521029,345,772,28,47,0,0,28,47,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,3,4,0,0,13,13,10,8,393,834,109,..,498,834
UCL521030,296,576,33,49,0,6,30,55,22,31,0,0,0,0,0,0,0,0,22,31,13,24,0,0,0,0,0,0,13,24,0,0,365,690,565,..,930,690
UCL521031,162,392,28,38,0,0,28,38,33,47,0,0,0,0,0,0,0,0,32,50,60,97,0,0,0,3,6,15,70,122,11,19,308,618,145,..,451,618
UCL521032,234,594,12,14,0,0,12,14,11,28,0,0,0,0,0,0,0,0,11,28,11,21,0,0,0,5,0,3,21,27,0,7,276,672,131,..,401,672
UCL521033,250,534,6,11,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,37,67,0,0,6,8,0,11,54,84,5,7,306,638,77,..,386,638
UCL521034,281,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,737,28,..,307,737
UCL521035,235,482,7,9,0,0,7,9,5,5,0,0,0,0,0,0,0,0,0,3,5,11,0,4,0,0,0,10,9,24,0,0,250,524,78,..,329,524
UCL521036,265,492,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,14,23,0,0,7,5,0,0,20,28,6,6,297,536,235,..,538,536
UCL521037,361,908,42,60,0,0,42,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,972,40,..,450,972
UCL521038,328,711,6,7,0,0,6,7,15,12,0,0,0,0,0,0,0,0,15,12,16,22,0,0,0,0,4,0,12,23,5,8,365,759,33,..,396,759
UCL521039,328,779,3,4,0,5,6,7,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,332,796,115,..,454,796
UCL521040,282,743,17,43,0,4,20,44,26,35,10,8,0,0,0,0,3,6,30,46,195,351,4,12,0,0,0,0,200,367,5,11,540,1216,186,..,725,1216
UCL521041,32,112,19,27,0,0,19,27,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,3,3,65,154,63,..,129,154
UCL521042,257,552,7,16,0,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,10,19,0,5,0,0,0,0,8,18,0,0,276,589,102,..,379,589
UCL521043,208,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,476,150,..,361,476
UCL521044,340,683,8,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,688,74,..,422,688
UCL521045,260,522,9,11,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,271,533,45,..,315,533
UCL521046,153,480,61,173,10,17,63,187,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,3,12,4,16,231,697,68,..,297,697
UCL521047,239,450,30,38,0,0,30,38,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,8,17,0,0,274,508,111,..,383,508
UCL521048,427,861,12,22,0,0,12,22,0,0,0,0,0,0,0,0,0,4,0,4,3,5,11,10,0,0,0,0,15,19,0,0,458,898,84,..,542,898
UCL521049,133,461,16,22,0,0,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,10,19,161,502,49,..,211,502
UCL521050,291,619,25,47,0,0,25,47,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,4,0,0,0,0,9,17,0,0,333,684,69,..,401,684
UCL521051,344,825,10,24,0,0,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,853,59,..,417,853
UCL521052,248,656,7,13,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,57,93,16,27,0,0,0,0,67,122,0,4,325,792,51,..,376,792
UCL522001,111,474,4,10,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,118,480,20,..,140,480
UCL522002,133,261,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,3,0,0,142,269,35,..,175,269
UCL522003,100,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,105,343,9,..,113,343
UCL522004,75,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,308,0,..,85,308
UCL522005,94,289,3,7,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,5,0,0,0,3,5,26,6,9,112,333,7,..,118,333
UCL522006,145,415,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,146,429,5,..,152,429
UCL522007,93,172,12,13,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,7,14,0,7,109,195,195,..,304,195
UCL522008,98,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,210,31,..,134,210
UCL522009,132,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,4,3,4,0,0,134,344,16,..,146,344
UCL522010,108,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,326,6,..,114,326
UCL522011,148,291,3,3,0,0,3,3,5,4,0,0,0,0,0,0,0,0,5,4,7,8,0,0,0,0,0,0,7,8,0,0,162,304,33,..,188,304
UCL522012,206,412,0,5,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,26,59,4,0,0,0,0,4,29,60,0,0,245,484,334,..,573,484
UCL522013,160,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,426,12,..,171,426
UCL522014,73,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,77,205,6,..,77,205
UCL522015,28,87,21,63,3,10,24,73,19,34,0,0,0,0,0,0,0,0,19,34,284,643,22,47,0,9,0,0,314,705,3,8,383,900,6,..,389,900
UCL522016,113,271,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,8,5,3,6,0,0,0,0,8,10,0,0,131,292,27,..,154,292
UCL522017,159,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,367,15,..,179,367
UCL522018,76,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,91,0,0,0,0,0,0,63,91,4,11,147,245,37,..,180,245
UCL522019,81,173,11,12,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,189,24,..,120,189
UCL522020,74,242,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,11,0,0,0,0,6,12,6,12,94,277,16,..,111,277
UCL522021,161,324,5,6,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,10,16,0,4,174,345,50,..,223,345
UCL522022,106,213,3,9,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,4,114,230,22,..,142,230
UCL522023,148,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,10,21,0,0,155,331,45,..,198,331
UCL522024,126,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,234,53,..,178,234
UCL522025,195,395,26,38,0,0,28,40,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,11,10,0,0,230,446,44,..,278,446
UCL522026,150,267,7,13,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,0,0,0,13,16,0,0,168,292,204,..,370,292
UCL522027,174,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,343,35,..,202,343
UCL522028,77,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,73,153,357,..,434,153
UCL522029,140,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,393,13,..,153,393
UCL522030,111,250,8,9,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,3,0,0,0,0,11,15,6,6,129,281,34,..,167,281
UCL522031,69,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,68,287,32,..,98,287
UCL522032,100,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,8,4,110,388,7,..,120,388
UCL522033,201,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,3,14,19,0,5,215,406,55,..,272,406
UCL522034,36,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,43,182,0,..,43,182
UCL522035,104,198,5,4,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,5,5,6,3,3,119,213,29,..,146,213
UCL522036,104,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,107,203,54,..,165,203
UCL522037,125,253,3,15,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,126,273,45,..,174,273
UCL522038,183,417,9,13,0,3,13,13,9,5,0,0,0,0,0,0,0,0,9,5,6,5,0,0,0,0,0,0,6,5,5,5,204,442,73,..,278,442
UCL522039,125,299,27,44,0,0,27,44,5,3,0,0,0,0,0,0,0,4,4,4,11,19,0,0,0,0,0,0,11,19,3,9,173,378,65,..,238,378
UCL522040,107,185,3,4,4,9,8,8,5,5,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,3,0,3,0,0,116,207,346,..,461,207
UCL522041,144,298,3,4,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,6,8,0,0,155,319,138,..,298,319
UCL522042,124,329,12,22,0,0,12,22,0,0,0,0,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0,0,11,19,0,7,153,374,87,..,238,374
UCL522043,106,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,390,6,..,114,390
