UCL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL513005,27,53,75,596,770,1362,0,0,5,98,117,211,0,0,0,628,717,1341,3,9,15,22,20,46,26,35,61,27,36,63,8,5,12,3,4,4,26,42,63,44,73,118,55,71,123,3,12,13,8,4,10,36,50,93,182,221,401,11,9,26,1775,2184,3962,22,12,34,28,21,52,6,4,14,0,0,0,3,3,10,15,20,33,20,21,46,2852,2862,5716,3,8,15,6,9,12,2867,2877,5741,302,290,595,32,6,39,5088,5476,10565
UCL514001,12,14,25,387,488,875,0,0,0,42,51,94,0,0,0,537,565,1095,14,23,40,0,3,9,22,19,35,4,9,8,6,7,11,0,0,0,9,11,15,12,15,24,22,28,56,8,7,10,7,13,17,71,78,145,50,55,110,7,3,3,1190,1354,2548,3,4,8,6,4,12,0,0,0,0,3,3,0,0,0,10,17,24,10,17,28,1926,1717,3644,3,9,11,3,7,15,1937,1729,3667,385,329,710,3,0,3,3539,3457,7000
UCL514002,32,48,83,381,510,896,0,0,0,18,29,52,0,0,0,492,604,1097,0,4,4,15,12,29,17,18,33,0,4,6,7,4,12,0,0,0,7,6,17,14,22,37,29,33,59,0,0,3,0,4,3,55,94,147,50,63,114,5,0,4,1103,1413,2511,19,9,25,0,8,12,6,0,9,0,0,0,10,0,11,3,14,16,15,13,25,1823,1813,3639,6,4,11,5,13,17,1835,1833,3668,257,272,530,5,9,12,3271,3603,6874
UCL514003,48,50,98,235,325,559,0,0,0,24,36,64,0,0,0,353,427,777,0,0,0,10,10,24,27,37,56,0,3,8,0,12,10,0,0,0,7,6,12,10,12,22,29,36,61,0,0,0,0,5,5,28,61,91,47,73,123,0,3,0,791,1036,1821,10,10,20,17,15,29,0,4,4,0,6,4,8,0,13,12,16,24,17,26,40,2280,2263,4545,10,10,24,9,20,23,2298,2287,4586,385,345,732,44,7,54,3612,3774,7388
UCL514004,12,22,32,351,417,769,0,0,0,39,42,78,62,71,138,588,687,1265,41,37,75,10,16,27,39,44,86,3,8,11,8,19,24,4,3,6,8,9,11,12,9,26,20,25,41,8,17,31,21,25,40,58,92,153,75,125,202,4,5,10,1351,1648,2997,13,14,32,28,24,48,0,0,0,0,0,0,3,0,3,11,11,25,13,12,26,1361,1278,2642,11,10,14,10,7,13,1371,1295,2670,401,397,799,3,3,6,3203,3414,6616
UCL515001,0,6,6,118,131,250,0,0,0,11,8,13,0,0,0,69,77,148,0,0,0,0,3,4,0,0,3,0,0,0,4,5,8,0,0,0,0,0,0,0,0,0,3,10,16,0,0,0,0,0,0,16,35,48,15,20,34,0,0,0,239,289,531,0,0,0,0,0,3,4,0,4,0,0,0,0,0,0,0,0,5,0,0,5,285,283,574,3,0,3,0,0,0,289,283,578,51,44,97,13,0,13,602,632,1228
UCL515002,0,11,16,56,77,134,0,0,0,10,10,20,0,0,0,112,113,219,8,3,11,0,0,0,3,5,5,0,0,0,0,0,0,0,0,0,3,0,8,5,0,4,3,6,11,0,0,0,6,0,3,13,21,33,16,21,32,0,0,0,229,256,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,13,5,3,13,327,283,607,4,0,4,3,0,5,328,285,613,37,25,64,0,0,0,612,586,1199
UCL515003,8,20,20,145,185,333,0,0,0,12,17,29,0,0,0,112,146,255,0,5,4,0,0,0,4,6,15,3,0,0,0,3,6,0,0,0,5,3,5,0,3,3,8,16,28,0,0,0,4,7,10,16,25,41,31,46,78,0,0,0,335,459,800,0,0,0,4,3,7,0,0,4,0,0,0,0,0,0,5,6,12,5,6,12,558,588,1147,3,8,10,7,10,16,562,604,1166,111,106,217,0,0,5,1030,1199,2228
UCL515004,4,16,19,94,112,208,0,0,0,4,5,15,0,0,0,129,165,294,0,0,0,0,5,6,5,5,7,0,5,9,4,0,3,0,0,0,0,3,3,10,8,13,21,11,33,0,0,0,0,0,0,5,12,17,34,27,62,0,0,0,320,359,679,0,0,4,4,5,5,0,0,0,0,0,0,5,6,9,0,10,4,10,10,17,651,572,1222,9,0,6,0,3,3,659,577,1232,83,76,163,47,0,50,1131,1047,2177
UCL515005,4,9,13,119,155,277,0,0,0,15,11,22,0,0,0,116,150,264,4,0,4,0,4,4,5,0,3,7,4,9,6,0,4,0,0,0,0,3,3,6,4,14,42,26,65,0,0,0,6,12,19,18,39,52,15,28,52,3,0,3,350,445,797,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,6,6,0,6,10,656,640,1299,3,3,10,0,5,5,659,646,1303,76,74,150,0,0,0,1091,1181,2276
UCL515006,23,23,40,332,304,635,0,0,0,22,33,50,0,0,0,508,563,1072,39,50,95,8,5,18,19,26,43,0,0,3,11,7,10,0,0,0,8,18,25,11,12,27,46,35,80,3,9,13,8,12,17,70,92,159,68,61,134,0,3,6,1165,1222,2381,17,13,26,11,3,15,0,6,8,13,3,13,0,0,0,6,13,16,18,17,33,1002,857,1860,9,0,7,0,0,5,1013,859,1873,523,435,956,54,16,64,2816,2586,5401
UCL515007,9,16,26,61,78,137,0,0,0,7,12,20,0,0,0,72,105,176,0,0,0,0,4,3,0,5,0,0,0,0,6,0,5,0,0,0,0,4,3,3,0,3,6,10,13,0,0,0,0,0,0,10,12,23,26,28,50,0,0,0,195,253,451,0,0,3,0,0,0,0,0,0,0,0,0,4,0,5,0,6,6,4,5,10,624,632,1261,4,0,4,0,0,0,631,632,1268,109,124,229,4,5,9,956,1035,1988
UCL515008,6,3,13,57,58,117,0,0,0,6,4,3,0,0,0,97,103,199,0,0,0,7,4,4,0,3,8,0,0,0,0,5,5,0,0,0,4,0,3,0,0,0,11,8,16,3,0,0,0,0,0,11,11,26,12,10,21,0,0,0,208,205,417,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,398,351,750,0,0,0,0,0,0,403,349,754,83,80,167,5,0,5,708,647,1355
UCL515009,13,19,36,114,153,274,0,0,0,14,17,34,0,0,0,111,149,264,0,0,0,0,5,3,16,24,32,6,0,9,4,6,11,0,0,0,0,3,4,3,4,7,13,11,24,0,0,0,8,0,3,28,28,56,16,29,44,0,3,3,322,445,773,0,3,4,0,5,6,4,0,4,0,0,0,0,0,0,9,21,22,9,21,22,848,853,1704,8,3,10,0,8,8,857,866,1723,200,198,400,5,7,4,1407,1564,2971
UCL515010,8,8,19,110,130,240,0,0,0,22,29,53,0,0,0,289,343,636,0,3,3,4,3,6,4,0,4,0,4,4,10,9,16,0,0,0,32,25,57,24,33,54,17,20,43,4,0,0,9,22,26,53,85,140,46,46,97,0,0,0,622,757,1383,8,3,10,20,6,26,0,0,0,5,5,15,0,0,3,8,6,11,18,9,31,646,564,1204,3,6,4,0,0,6,648,569,1219,459,506,969,4,4,8,1793,1872,3668
UCL515011,0,9,11,159,229,384,0,0,0,15,14,35,0,0,0,180,239,413,0,0,0,0,0,5,21,26,41,0,0,0,4,0,0,0,0,0,12,19,31,0,0,7,14,16,22,4,3,5,7,12,17,19,24,50,41,52,89,0,0,0,475,642,1114,4,3,6,11,11,22,0,0,0,0,0,0,0,0,5,3,13,13,5,12,14,688,636,1325,0,0,5,0,0,4,693,639,1327,104,89,187,4,20,25,1300,1418,2712
UCL515012,4,6,6,91,122,210,0,0,0,7,13,18,0,0,0,216,260,473,0,0,0,0,3,3,4,8,11,0,0,0,0,3,6,0,0,0,0,0,0,10,12,20,8,10,10,0,0,0,0,4,11,8,13,22,33,32,65,0,0,0,374,484,860,0,0,4,9,9,20,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,560,529,1087,4,4,10,0,4,4,560,530,1096,59,44,105,3,0,0,1017,1085,2101
UCL515013,11,17,33,319,354,671,0,0,0,23,30,50,0,0,0,372,401,772,0,0,7,7,12,18,16,3,21,0,0,7,7,4,12,0,0,0,17,19,35,3,4,13,32,34,62,5,0,5,3,0,7,52,67,119,45,41,89,0,0,0,897,976,1874,7,6,12,5,3,4,0,6,0,0,0,0,0,0,0,5,4,9,5,4,9,1387,1270,2656,12,9,17,0,6,6,1392,1278,2677,209,160,370,18,15,36,2544,2468,5013
UCL515014,4,13,17,29,41,66,0,0,0,9,12,24,0,0,0,58,61,116,5,0,6,0,0,3,0,0,0,0,0,5,5,3,6,0,0,0,112,128,237,3,5,13,7,3,11,0,0,0,0,4,4,15,25,40,23,30,54,0,0,0,272,305,578,3,3,5,3,4,8,0,0,0,23,21,41,0,0,0,0,3,0,24,20,43,233,232,462,3,0,4,0,0,0,230,233,468,133,130,261,3,5,4,673,718,1388
UCL515015,4,6,11,151,203,351,0,0,0,13,15,32,0,0,0,441,446,886,23,28,46,5,4,5,10,11,24,9,3,18,9,4,3,0,0,0,3,5,11,0,0,4,13,18,29,0,0,0,9,20,31,22,20,40,32,35,66,0,0,0,745,813,1555,0,0,3,13,9,20,0,0,0,0,0,0,0,0,5,4,0,4,5,4,5,470,438,910,9,4,5,0,4,4,476,444,922,149,112,264,7,6,13,1394,1400,2791
UCL515016,0,4,6,115,122,238,0,0,0,9,5,14,0,0,0,99,110,209,0,0,0,0,3,3,0,0,0,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,12,13,19,0,0,0,0,0,0,9,21,29,13,20,27,0,0,0,265,302,565,7,5,10,4,6,3,0,0,0,0,0,0,0,0,0,0,7,8,0,7,8,448,396,849,5,0,11,0,0,0,454,400,849,87,79,167,8,0,8,827,796,1621
UCL515017,6,12,16,173,184,358,0,0,0,19,14,29,0,0,0,122,159,279,3,4,6,13,7,19,5,8,16,0,0,0,3,9,6,0,0,0,5,3,9,0,5,6,20,23,44,0,3,3,0,3,3,27,37,65,11,20,34,5,0,5,406,468,876,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,474,373,843,4,0,8,0,0,0,476,376,850,190,172,361,7,3,13,1092,1039,2134
UCL515018,5,9,14,74,76,147,0,0,0,3,3,3,0,0,0,93,104,197,0,0,0,5,6,8,4,13,19,4,4,11,3,0,3,0,0,0,7,3,11,4,4,8,12,8,16,0,0,0,3,0,5,5,14,18,22,27,48,0,9,11,243,269,503,5,4,3,0,0,4,0,0,0,0,0,0,0,0,0,3,5,9,3,5,9,434,382,812,0,0,3,3,3,11,439,386,822,150,144,290,0,0,0,837,810,1648
UCL515019,32,36,71,141,147,283,0,0,0,179,198,375,0,0,0,209,230,441,0,0,4,0,0,9,16,24,36,7,9,15,13,17,26,3,0,3,8,13,24,5,8,14,27,15,45,3,3,3,16,6,16,21,36,58,61,71,129,0,0,3,725,760,1490,8,6,15,184,154,334,0,0,0,0,0,0,0,0,0,5,3,11,4,3,10,672,592,1263,6,0,12,0,4,4,677,597,1276,255,217,472,3,0,3,1888,1784,3675
UCL515020,14,36,54,226,249,477,0,0,0,28,39,69,0,0,0,393,532,931,0,3,0,3,9,12,8,7,15,0,3,3,13,16,30,0,0,3,20,21,46,28,48,74,30,33,58,7,8,9,5,9,14,59,81,140,76,119,193,0,0,0,896,1180,2075,27,7,33,8,13,22,3,5,4,10,15,19,0,0,5,7,8,16,19,18,36,1255,1161,2414,11,3,17,4,5,9,1271,1172,2444,475,517,993,21,41,63,2746,2989,5733
UCL515021,8,13,18,82,116,201,0,0,0,11,11,19,0,0,0,68,75,145,3,5,8,0,0,0,0,5,4,0,0,0,3,0,4,0,0,0,3,0,3,8,10,16,16,27,41,0,4,4,0,0,0,19,19,38,18,30,52,0,0,0,236,301,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,4,4,9,507,404,912,0,3,3,0,0,0,509,404,914,44,36,83,0,0,0,799,764,1563
UCL515022,3,14,19,218,247,467,0,0,0,34,33,65,0,0,0,276,330,607,0,0,3,19,20,37,10,16,23,6,4,4,3,3,12,0,0,0,11,6,12,13,19,28,25,22,46,0,5,8,24,25,42,48,53,97,31,39,73,4,5,8,704,817,1523,8,4,9,40,24,61,0,0,0,0,0,0,0,0,3,3,17,21,4,18,22,1103,1007,2103,6,0,10,0,3,3,1102,1013,2113,151,128,280,13,3,17,2026,2015,4046
UCL515023,4,4,12,128,152,280,0,0,0,5,6,15,0,0,0,183,196,376,20,22,45,10,0,6,8,11,25,0,0,0,0,4,4,0,0,0,0,0,0,9,3,6,9,5,19,5,0,5,21,23,44,24,50,75,31,31,58,0,0,0,454,509,961,0,7,8,4,4,10,0,0,0,0,0,0,0,0,4,3,0,10,6,5,9,608,498,1110,10,0,10,4,7,8,621,501,1122,171,140,307,0,3,3,1266,1171,2435
UCL515024,0,4,0,95,122,216,0,0,0,18,20,39,0,0,0,152,172,327,0,0,0,0,0,4,0,0,3,0,0,0,0,4,7,3,5,4,0,4,5,0,0,0,11,3,13,0,0,0,0,0,5,26,29,54,11,25,34,5,0,3,322,382,702,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,4,7,3,10,347,307,651,0,0,4,0,0,0,346,306,655,131,110,239,51,0,51,858,809,1668
UCL515025,6,5,11,97,130,220,0,0,0,42,50,97,0,0,0,63,90,151,0,0,0,0,0,0,4,12,14,3,5,3,4,0,5,0,0,0,6,5,3,0,0,6,4,7,16,0,0,3,7,9,14,21,16,33,27,25,53,0,0,0,281,345,629,4,0,5,55,42,100,0,0,0,0,0,0,0,0,0,3,4,12,3,4,12,408,379,785,5,6,7,0,4,4,411,385,798,138,159,294,0,0,0,897,947,1844
UCL515026,9,9,18,112,133,248,0,0,0,6,14,25,0,0,0,109,116,226,0,0,0,6,0,3,0,4,7,0,0,0,0,6,6,0,0,0,0,0,5,14,9,30,54,47,97,0,0,5,6,5,10,14,26,34,55,58,121,5,0,5,384,426,814,5,7,10,0,0,0,0,0,0,0,0,0,0,3,6,0,3,5,3,6,8,614,607,1225,5,0,13,0,3,5,627,611,1240,58,58,119,0,0,0,1090,1119,2210
UCL515027,8,13,23,196,256,452,0,0,0,57,87,141,0,0,0,285,344,623,4,0,4,4,3,6,19,38,56,7,9,11,8,8,12,0,0,0,0,3,6,8,13,17,27,25,51,7,16,21,10,12,28,59,79,142,52,61,111,0,6,8,742,956,1700,7,14,18,12,0,20,0,3,3,0,0,0,9,6,13,4,9,17,11,17,24,780,705,1482,7,4,10,0,5,7,787,710,1498,252,228,478,9,0,8,1840,1945,3779
UCL515028,31,51,77,181,126,309,0,0,0,61,58,119,0,0,0,423,347,775,3,3,6,18,18,38,3,0,6,0,0,6,0,4,4,3,0,3,14,10,27,25,20,41,29,19,49,4,0,7,3,5,7,28,27,54,72,70,141,3,0,3,872,719,1587,22,12,33,21,15,37,0,0,0,0,3,3,6,7,8,7,3,11,9,11,19,1332,1013,2345,3,8,9,0,3,0,1342,1020,2364,421,304,723,16,11,28,2727,2136,4870
UCL515029,11,9,15,59,32,88,0,0,0,8,0,4,0,0,0,133,99,234,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,4,3,4,4,9,7,3,15,0,0,0,3,4,5,12,5,19,11,8,22,4,5,7,246,169,417,0,5,3,9,8,18,0,0,0,0,5,5,0,0,0,0,4,7,0,3,7,422,262,687,0,0,0,0,0,0,425,264,692,378,130,510,6,0,6,1080,580,1664
UCL515030,13,8,21,234,322,550,0,0,0,18,28,43,0,0,0,274,331,601,0,0,0,0,0,0,27,37,67,4,6,7,5,4,8,0,0,0,10,23,32,14,15,30,34,27,61,7,0,4,0,4,0,32,58,83,56,49,99,0,0,0,709,901,1607,0,7,11,4,4,7,0,0,0,0,0,0,0,0,0,7,8,13,5,8,18,843,851,1698,4,3,7,6,4,9,854,864,1715,169,171,337,0,0,0,1757,1960,3713
UCL515031,8,20,26,252,318,569,0,0,0,12,7,22,0,0,0,209,233,443,0,0,0,8,5,9,0,0,0,0,0,0,4,8,17,0,0,0,7,9,14,6,3,8,25,19,39,0,0,0,6,3,8,33,64,97,21,22,45,0,0,0,572,700,1269,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,8,12,0,8,12,691,609,1305,0,0,0,4,3,7,697,618,1312,244,186,432,0,0,4,1521,1535,3054
UCL515032,5,5,10,65,100,165,0,0,0,11,13,24,0,0,0,90,87,174,0,3,8,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,11,19,0,0,0,0,0,0,17,16,32,30,29,61,0,0,0,236,268,505,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,421,367,792,0,4,0,0,0,0,424,372,798,61,52,111,0,0,0,726,698,1424
UCL515033,20,29,56,101,97,203,0,0,0,37,29,68,0,0,0,265,213,473,0,0,4,5,9,12,4,11,17,4,11,20,5,5,10,0,0,0,0,5,5,4,12,13,14,13,25,0,0,0,6,6,8,27,15,45,33,30,63,0,0,0,515,444,958,7,8,11,12,18,31,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,831,684,1512,5,3,3,0,4,5,836,690,1525,334,222,559,13,6,17,1739,1418,3162
