UCL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
UCL514001,131,262,147,122,243,61,0,966,101,178,123,180,278,58,0,926,48,66,60,81,163,57,0,480,15,25,11,11,42,56,0,163,905,1341,684,741,1500,548,3,5718
UCL514002,139,282,117,60,99,51,5,745,109,272,184,109,133,35,0,851,55,101,60,77,86,40,6,429,19,17,12,6,37,10,0,97,1107,1701,787,572,808,339,15,5327
UCL514003,154,281,128,57,106,71,0,796,88,215,121,69,103,43,0,629,24,61,33,33,92,9,0,246,21,9,8,10,57,16,0,120,1205,1710,735,524,1098,457,55,5775
UCL514004,128,263,141,84,220,72,0,903,100,168,117,94,246,75,0,794,57,62,58,52,159,53,4,437,13,26,9,10,92,34,0,188,867,1267,587,524,1494,583,6,5325
UCL515001,39,68,37,18,26,11,0,198,32,75,69,49,57,13,4,300,21,30,35,29,41,10,0,166,12,11,7,3,41,15,0,98,188,278,194,133,232,71,13,1117
UCL515002,27,72,30,20,29,3,0,192,6,49,37,27,45,3,0,164,3,14,9,8,13,3,0,49,0,0,0,0,11,0,0,10,171,340,149,103,181,41,0,976
UCL515003,51,116,64,51,59,25,0,360,47,112,78,82,70,23,0,414,21,41,27,27,56,17,0,191,15,5,9,6,33,9,0,75,307,520,301,261,351,141,5,1882
UCL515004,27,42,20,14,40,10,0,161,15,32,25,19,45,4,0,152,3,7,6,17,24,4,0,68,0,0,0,0,9,0,0,19,329,401,196,166,402,97,50,1639
UCL515005,38,78,48,32,61,15,0,271,30,52,43,42,79,17,0,265,12,23,22,19,37,11,0,127,3,4,4,5,15,5,0,36,344,482,237,209,406,103,0,1777
UCL515006,118,211,100,48,226,109,0,805,135,227,118,98,266,78,0,919,56,100,63,48,133,44,0,437,4,14,10,7,40,13,0,88,721,1126,473,352,1095,750,64,4577
UCL515007,33,65,37,24,27,12,0,198,13,38,19,21,25,11,0,118,4,14,10,9,11,4,0,46,0,5,0,0,10,0,0,20,281,436,205,176,179,119,9,1401
UCL515008,39,44,23,19,21,20,0,174,14,14,5,7,17,14,0,78,4,8,0,5,4,5,0,30,0,0,0,0,0,0,0,0,208,285,132,110,137,119,5,995
UCL515009,66,154,65,38,49,33,0,405,45,124,101,58,90,32,7,446,24,68,42,48,73,24,0,281,13,22,15,7,39,11,0,111,429,727,362,281,420,259,4,2474
UCL515010,91,152,47,27,128,113,0,564,70,103,56,45,116,85,0,474,15,15,10,8,55,24,0,127,6,0,0,0,13,0,0,26,483,668,259,186,655,722,10,2985
UCL515011,37,110,60,52,71,16,0,351,36,74,82,67,67,29,0,349,22,28,42,43,86,19,0,238,11,3,7,10,52,6,0,88,381,521,317,303,527,136,21,2205
UCL515012,28,77,29,13,24,11,0,178,16,37,23,23,39,7,0,143,4,8,7,11,12,0,0,46,0,0,0,5,6,0,0,15,327,494,189,170,294,66,0,1545
UCL515013,150,198,119,57,166,35,3,726,139,209,118,110,251,49,0,875,44,71,46,43,118,23,0,339,0,4,8,3,18,7,0,41,956,1160,526,364,1015,275,35,4330
UCL515014,77,47,18,9,27,35,0,216,28,37,11,5,38,36,3,154,7,8,0,0,3,9,0,35,0,0,0,0,0,0,0,3,338,248,73,56,230,221,4,1177
UCL515015,48,75,35,49,74,33,0,317,33,74,56,44,82,20,0,312,23,47,25,35,102,25,0,259,17,16,8,9,58,11,0,129,372,507,240,235,776,169,12,2309
UCL515016,50,84,42,31,42,17,0,265,39,73,58,50,77,29,0,323,9,25,17,15,34,24,0,127,9,7,3,6,10,6,0,37,241,379,195,147,276,129,8,1377
UCL515017,70,100,53,41,107,71,3,442,74,129,63,67,124,69,0,518,18,51,25,20,55,26,0,202,3,6,3,3,11,9,0,38,293,463,219,194,432,295,13,1907
UCL515018,26,65,31,18,62,27,0,225,11,22,18,13,35,17,0,113,5,5,6,3,7,10,0,34,0,0,0,0,4,0,0,11,198,315,143,130,280,219,0,1285
UCL515019,76,126,69,30,117,38,0,462,52,83,50,52,105,37,0,379,21,29,32,24,66,27,0,208,5,5,9,4,42,20,0,88,540,640,319,238,844,365,3,2953
UCL515020,160,244,64,49,188,88,3,793,92,165,74,37,233,58,4,655,13,34,10,3,53,24,0,126,0,0,0,0,14,11,0,22,813,1233,416,266,1119,704,63,4604
UCL515021,41,104,42,16,35,7,0,249,16,67,38,56,43,6,0,227,7,32,24,16,36,3,0,121,8,9,6,3,10,0,0,30,237,420,212,145,232,48,0,1289
UCL515022,82,156,78,56,143,20,0,534,65,111,59,67,122,17,0,445,24,57,49,36,110,21,0,290,10,12,7,11,68,8,0,114,632,843,395,342,863,189,17,3276
UCL515023,45,93,41,30,76,46,0,330,45,60,32,27,77,28,0,275,10,23,13,19,35,12,0,119,8,11,5,5,28,6,0,57,373,489,217,198,450,272,3,1999
UCL515024,42,71,21,8,50,32,0,236,21,49,28,22,59,27,0,199,6,19,8,16,39,17,0,100,0,6,3,0,20,4,0,43,207,327,121,101,343,192,51,1350
UCL515025,48,63,50,32,48,31,0,268,18,44,38,41,65,24,0,226,13,20,12,11,41,32,0,126,4,6,7,9,16,35,0,83,244,338,181,175,343,208,0,1492
UCL515026,38,80,28,34,44,11,0,236,22,32,26,23,37,12,0,150,8,7,6,16,19,0,0,52,4,6,5,5,8,0,0,23,311,484,193,212,368,83,0,1657
UCL515027,75,153,82,37,94,42,0,484,72,102,51,55,100,42,0,420,19,39,38,28,69,40,0,245,18,17,9,4,47,51,0,144,624,797,340,241,702,397,8,3110
UCL515028,107,122,32,23,143,56,5,491,22,35,18,12,52,18,0,154,4,0,4,0,15,7,0,27,0,0,0,0,0,0,0,0,747,999,294,249,917,502,28,3738
UCL515029,35,51,10,8,41,64,3,216,3,7,0,0,8,16,0,40,0,0,0,0,0,9,0,15,0,0,0,0,0,4,0,3,218,271,95,78,265,446,6,1380
UCL515030,74,122,79,55,103,20,0,457,51,115,87,78,122,34,0,487,31,61,38,40,88,61,0,315,17,4,11,16,39,45,0,133,485,698,383,370,769,289,0,3003
UCL515031,67,158,72,63,94,53,0,509,60,145,94,94,141,72,0,611,30,65,51,51,94,42,0,331,6,14,12,3,27,10,0,72,400,684,357,310,537,337,4,2630
UCL515032,22,43,38,31,50,7,0,192,9,17,22,27,22,12,0,113,4,3,6,8,14,4,0,36,3,4,0,0,7,3,0,16,210,287,163,145,230,71,0,1104
UCL515033,55,77,33,15,75,62,6,313,14,17,8,11,32,22,3,107,0,7,3,4,10,6,0,32,0,0,0,0,0,0,0,6,429,583,238,182,443,394,17,2291
UCL515034,51,113,46,42,66,20,0,336,30,72,49,46,71,15,0,289,13,31,30,17,53,7,0,152,3,4,3,6,13,8,0,32,353,519,285,254,519,133,6,2066
UCL515035,37,65,33,17,48,13,0,215,19,35,37,36,54,13,0,196,18,25,18,18,42,7,0,126,8,4,0,0,18,5,0,41,202,248,128,108,252,107,3,1056
UCL515036,45,90,52,48,73,17,0,323,37,77,50,47,73,22,0,306,17,39,15,32,57,30,0,187,9,5,8,5,22,30,0,85,294,433,239,260,443,158,0,1843
UCL515037,33,41,12,14,73,81,0,258,8,8,10,6,13,21,0,63,0,0,0,4,7,0,0,14,0,0,0,0,0,0,0,0,299,421,152,116,427,470,6,1903
UCL515038,55,105,70,51,70,33,0,390,51,100,84,83,121,28,0,474,25,51,45,49,88,32,0,287,13,8,12,16,39,17,0,93,331,490,291,274,483,188,0,2062
UCL521001,11,28,20,16,22,5,0,90,8,8,12,16,10,3,0,53,4,3,4,0,4,0,0,19,0,0,0,0,0,0,0,3,93,116,68,59,62,5,0,408
UCL521002,9,34,14,13,17,10,0,97,20,30,35,17,43,16,0,148,4,11,8,7,11,3,0,47,0,0,0,0,4,0,0,8,96,151,102,75,144,59,0,626
UCL521003,23,28,17,13,35,10,0,127,18,49,26,28,44,21,0,189,7,18,9,23,34,18,0,117,4,4,4,0,20,9,0,40,108,180,87,102,178,85,4,742
UCL521004,13,23,9,0,5,0,0,51,9,0,3,0,5,0,0,21,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,185,142,33,20,52,12,0,435
UCL521005,33,43,21,14,42,13,0,165,15,31,17,21,31,7,0,127,11,10,9,8,13,12,0,52,0,3,0,0,6,3,0,10,153,228,104,100,171,75,3,839
UCL521006,22,41,27,25,30,5,0,148,8,29,13,23,24,10,0,110,3,19,9,7,20,7,0,66,0,4,0,0,0,0,0,5,118,192,95,100,129,41,4,673
UCL521007,24,24,10,13,11,6,0,86,7,17,11,10,23,8,0,74,3,4,3,15,29,9,0,62,0,0,5,0,16,0,0,22,68,102,54,58,107,55,0,453
UCL521008,17,13,11,7,10,15,0,72,6,13,5,8,27,5,0,66,8,8,3,3,37,4,0,65,6,0,0,0,29,0,0,39,67,95,42,43,154,58,0,452
UCL521009,18,13,6,13,17,10,0,73,13,16,13,19,29,20,0,98,3,6,8,6,19,12,0,58,0,0,0,0,12,9,0,22,77,97,45,50,129,86,0,489
UCL521010,16,22,28,13,12,6,0,96,4,25,16,13,26,6,0,93,3,16,10,9,8,4,0,52,0,0,0,0,5,0,0,12,115,164,104,80,126,49,0,633
UCL521011,9,22,14,7,8,0,0,61,5,8,3,13,8,0,0,33,0,4,3,7,5,0,0,14,0,0,0,0,0,0,0,0,108,133,63,53,53,7,0,411
UCL521012,16,35,6,13,25,3,0,104,14,27,17,15,32,4,0,106,0,4,5,10,6,3,0,23,0,0,0,0,3,0,0,9,81,120,56,56,126,20,0,460
UCL521013,25,47,14,13,29,9,0,131,8,18,16,20,26,7,0,90,4,5,8,0,7,3,0,24,3,0,0,0,6,0,0,10,161,193,97,78,143,34,0,697
UCL521014,18,41,17,13,45,26,0,168,13,17,8,17,57,21,0,134,4,5,3,0,13,5,0,28,0,0,0,0,3,0,0,4,103,157,73,59,241,194,0,823
UCL521015,20,21,10,6,20,5,0,81,14,31,10,13,28,11,0,106,3,12,7,14,18,5,0,58,3,5,3,0,17,10,0,37,101,136,68,53,116,42,0,518
UCL521016,14,19,9,14,19,0,0,74,7,13,12,14,19,0,0,70,7,8,5,7,5,3,0,34,0,7,4,4,6,0,0,16,93,130,52,76,128,32,0,516
UCL521017,17,26,6,15,19,14,0,91,11,16,3,11,14,11,0,58,4,13,5,3,9,14,0,43,0,5,0,3,10,5,0,21,104,133,46,64,137,95,0,578
UCL521018,13,17,7,11,12,0,0,57,11,14,4,6,15,0,0,54,3,4,7,6,16,0,0,33,0,0,0,0,5,0,0,10,94,124,53,59,78,11,0,418
UCL521019,53,95,37,34,85,91,0,397,45,103,76,50,117,105,0,487,14,35,18,36,43,47,0,181,0,0,0,0,4,6,0,17,216,383,175,164,352,400,6,1693
UCL521020,9,41,25,21,16,3,0,110,6,21,14,48,34,9,0,137,3,4,11,6,19,7,0,49,0,0,0,0,5,0,0,4,89,143,73,117,137,28,0,584
UCL521021,20,32,17,12,21,9,0,104,12,19,14,30,23,5,0,103,4,14,6,13,21,3,0,63,3,5,0,4,3,0,0,12,110,173,81,98,147,38,0,644
UCL521022,26,43,20,8,10,16,4,125,9,26,14,11,8,9,0,76,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,4,132,188,89,42,54,69,3,578
UCL521023,15,20,9,11,13,6,0,79,12,14,8,18,9,9,0,70,0,0,3,0,7,3,0,18,4,0,0,0,5,0,0,12,85,103,56,73,92,42,0,444
UCL521024,44,59,8,3,51,42,0,214,30,35,10,11,60,40,0,188,3,4,0,0,25,16,0,61,0,0,0,0,4,9,0,10,281,273,84,50,517,306,3,1517
UCL521025,17,21,17,14,33,12,0,113,10,27,7,7,30,4,0,82,6,15,5,6,6,14,0,56,7,0,0,3,5,0,0,15,103,168,72,71,138,58,0,618
UCL521026,21,32,8,17,25,9,0,109,4,9,14,5,16,3,0,54,6,9,12,4,9,3,0,36,0,0,0,0,0,0,0,3,114,178,75,78,117,28,0,595
UCL521027,16,16,12,9,34,66,0,144,3,7,8,8,15,26,0,66,0,0,0,0,9,8,0,17,0,0,0,0,0,0,0,4,118,133,59,40,182,488,3,1021
UCL521028,20,30,21,9,40,16,0,134,13,26,9,14,42,7,0,111,9,13,5,11,38,12,0,81,5,5,0,0,25,6,0,37,107,148,61,63,230,75,0,688
UCL521029,37,35,20,14,34,6,0,148,14,27,10,14,24,0,0,100,8,17,9,4,25,19,0,81,5,7,0,0,21,9,0,39,128,176,83,70,203,72,0,722
UCL521030,19,43,8,16,25,15,0,124,12,26,27,22,29,10,3,131,3,7,13,8,29,8,0,74,3,3,3,4,4,5,0,18,111,184,87,62,152,62,25,684
UCL521031,24,35,10,7,42,62,0,171,9,21,11,16,34,25,0,103,6,4,4,0,4,4,0,25,0,0,0,0,0,0,0,5,110,164,64,32,231,357,0,963
UCL521032,28,22,8,14,35,30,0,129,10,14,7,0,24,19,0,83,11,5,0,0,8,7,0,27,0,0,0,0,0,0,0,0,145,111,56,44,133,164,5,658
UCL521033,22,28,11,10,19,82,0,175,17,19,16,13,18,35,0,116,0,0,0,0,11,7,0,24,0,0,0,0,0,0,0,3,82,115,49,49,104,462,0,859
UCL521034,23,46,16,10,27,13,0,132,12,20,17,21,13,0,0,81,3,10,6,10,13,0,0,38,0,0,0,4,9,0,0,11,110,182,74,74,155,32,0,629
UCL521035,12,25,24,10,22,9,0,95,15,21,15,12,29,4,0,87,9,14,3,13,14,6,0,65,0,0,0,6,7,3,0,19,79,123,66,50,101,42,0,462
UCL521036,20,26,14,4,41,16,0,116,10,20,14,13,35,12,0,94,12,4,8,4,6,3,0,43,0,0,0,0,5,0,0,10,76,110,53,45,147,85,0,515
UCL521037,12,30,22,8,41,3,0,122,17,20,10,23,34,4,0,105,4,16,15,3,12,12,0,64,4,0,0,3,5,0,0,11,124,200,90,95,209,47,0,772
UCL521038,25,36,19,24,25,12,0,137,19,18,24,45,34,21,0,161,5,16,11,9,37,10,0,89,6,0,4,3,22,8,0,45,92,130,82,109,170,91,0,679
UCL521039,39,59,23,15,5,5,0,145,16,36,24,17,4,3,0,103,4,9,15,7,14,8,0,62,4,6,4,4,3,0,0,16,134,218,117,78,59,40,0,645
UCL521040,44,57,20,15,60,63,0,249,26,67,24,28,47,73,0,264,8,15,10,7,13,15,0,76,3,0,0,0,0,0,0,11,195,277,121,102,226,328,28,1271
UCL521041,19,16,11,3,25,0,0,74,5,12,0,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,156,69,49,143,16,5,545
UCL521042,8,42,17,3,18,3,0,95,15,23,8,5,27,0,0,79,4,6,10,8,13,5,0,45,6,3,6,0,16,8,0,28,99,157,69,34,144,49,15,570
UCL521043,18,40,9,12,4,3,0,93,10,19,12,14,10,0,0,62,3,3,0,13,3,0,0,25,0,0,0,0,0,0,0,6,76,133,57,63,34,19,0,384
UCL521044,16,40,15,20,30,10,0,128,9,26,16,20,30,9,0,115,11,10,7,14,31,8,0,78,9,0,3,0,12,4,0,26,82,126,62,87,177,55,0,591
UCL521045,9,22,11,7,19,23,0,88,13,17,12,20,31,32,0,124,3,12,5,5,18,14,0,63,0,5,0,0,15,7,0,32,61,83,47,41,133,122,0,486
UCL521046,14,31,14,3,10,7,0,87,5,11,13,8,12,8,0,54,5,3,6,0,9,3,0,25,0,0,0,0,0,0,0,3,110,164,86,81,99,54,0,595
UCL521047,19,25,9,3,33,8,0,103,17,12,5,7,36,5,0,80,3,3,9,5,15,3,0,31,3,3,0,0,8,0,0,12,86,127,63,36,151,50,0,514
UCL521048,21,52,25,15,25,15,0,147,17,51,35,30,38,9,0,178,11,10,17,9,32,5,0,88,8,8,7,3,7,4,0,33,116,201,116,99,169,81,0,777
UCL521049,19,14,12,0,5,3,0,48,0,10,0,0,10,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,111,144,85,0,38,26,0,409
UCL521050,21,26,17,4,25,3,0,100,16,21,13,14,27,4,0,98,0,6,3,10,14,5,0,41,0,0,0,0,14,0,0,19,111,139,68,60,170,39,4,584
UCL521051,28,43,23,13,31,7,0,147,17,22,11,9,17,7,0,77,4,19,5,5,7,10,0,47,0,0,0,0,9,0,0,14,148,175,83,63,156,60,0,689
UCL521052,28,28,3,0,39,42,0,156,15,20,7,10,27,19,0,95,6,9,0,0,11,0,0,31,0,0,0,0,0,0,0,0,164,166,44,34,159,202,4,767
UCL522001,4,11,4,0,9,4,0,35,7,11,5,0,5,4,0,27,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,3,79,115,108,33,41,18,0,391
UCL522002,4,13,14,9,8,0,0,39,15,15,15,7,14,0,0,58,0,9,6,7,4,4,0,29,0,0,0,0,3,0,0,9,34,74,55,28,44,18,0,253
UCL522003,0,0,0,4,10,0,0,16,4,6,4,0,3,0,0,14,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,4,44,52,36,41,36,28,0,229
UCL522004,14,3,0,0,9,0,0,21,8,0,0,0,0,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,167,28,4,0,30,0,0,233
UCL522005,0,10,6,11,0,0,0,28,0,0,3,6,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,42,33,25,78,40,16,0,228
UCL522006,12,19,15,12,12,7,0,64,6,17,13,13,5,0,0,48,0,9,0,5,6,0,0,21,0,0,0,4,7,0,0,11,74,112,50,49,48,16,0,348
UCL522007,10,15,8,0,5,0,0,42,10,12,18,3,8,4,0,56,4,5,0,4,0,4,0,17,0,0,0,0,0,3,0,9,38,59,29,16,26,13,0,188
UCL522008,3,11,7,6,8,3,0,44,3,9,4,4,5,0,0,34,0,0,3,0,0,7,0,14,0,0,0,0,0,0,0,0,23,48,22,18,36,16,0,167
UCL522009,4,11,13,3,7,4,0,48,0,5,9,5,4,0,0,25,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,63,76,43,28,53,22,0,289
UCL522010,7,22,3,10,9,11,0,53,5,12,5,8,6,24,0,54,0,3,6,3,0,16,0,26,0,0,0,0,5,8,0,13,62,67,45,22,53,55,3,315
UCL522011,4,15,7,0,10,0,0,44,6,13,11,7,7,8,0,56,3,0,0,0,5,7,0,30,0,0,0,5,5,0,0,9,48,71,35,15,48,52,0,273
UCL522012,20,28,18,3,23,5,0,102,17,33,18,12,28,12,0,118,4,5,8,15,13,3,0,46,0,0,0,6,3,4,0,17,82,120,65,50,104,31,0,452
UCL522013,9,14,19,15,22,8,0,81,0,15,9,10,15,5,0,46,0,0,0,3,9,5,0,19,0,0,0,0,3,0,0,8,52,93,45,52,87,24,0,351
UCL522014,0,7,6,3,8,0,0,29,0,0,8,3,4,0,0,18,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,17,35,32,28,38,6,0,156
UCL522015,27,53,27,9,50,10,0,183,39,69,32,20,59,15,0,229,10,12,9,8,27,3,0,71,0,0,0,0,0,0,0,5,164,285,119,75,244,56,21,958
UCL522016,3,13,4,0,13,8,0,51,3,7,9,0,7,6,0,36,7,3,0,6,13,0,0,30,0,0,0,0,0,3,0,5,37,46,25,24,59,35,0,227
UCL522017,17,26,9,9,9,6,0,77,5,18,19,10,19,5,0,65,3,4,3,0,7,5,0,27,0,0,0,0,0,0,0,5,58,86,51,32,56,31,0,303
UCL522018,9,20,12,3,13,8,0,64,9,22,9,7,28,10,0,77,4,5,4,0,10,0,0,26,0,0,0,0,0,0,0,0,34,62,27,14,71,45,0,256
UCL522019,3,10,8,0,8,3,0,36,5,8,5,0,10,0,0,21,0,4,5,0,0,0,0,9,4,4,0,5,0,3,0,8,21,43,20,9,22,29,0,146
UCL522020,19,11,0,0,4,5,0,46,0,4,3,0,10,0,0,23,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,69,35,25,37,37,13,0,215
UCL522021,6,12,3,0,12,0,0,35,9,11,11,10,25,0,0,65,0,5,5,6,6,4,0,26,0,0,0,0,3,0,0,4,62,72,28,38,72,14,0,282
UCL522022,7,12,8,3,13,3,0,42,0,9,0,0,14,7,0,34,4,8,4,0,8,4,0,26,0,0,0,0,0,0,0,0,26,51,17,23,51,35,0,205
UCL522023,11,13,9,10,14,10,0,60,7,14,7,8,6,4,0,47,8,0,5,0,9,0,0,18,0,4,0,0,8,0,0,9,41,71,46,33,61,25,0,272
UCL522024,13,20,11,0,0,0,0,55,3,20,20,14,7,0,0,64,6,9,11,8,4,0,0,39,0,0,0,0,0,4,0,10,35,73,54,28,23,3,0,214
UCL522025,12,19,7,9,16,9,0,81,19,12,10,9,21,21,0,95,5,15,3,0,12,11,0,44,0,0,0,7,9,6,0,16,71,80,45,30,101,68,0,400
UCL522026,11,33,8,3,4,0,0,62,4,22,22,14,20,0,0,88,6,10,14,17,14,0,0,58,0,4,0,5,0,0,0,11,35,78,51,42,54,12,0,271
UCL522027,16,15,7,8,15,0,0,66,4,7,9,4,20,3,0,50,4,3,6,4,9,3,0,32,0,0,0,0,5,0,0,9,54,59,43,44,85,24,0,310
UCL522028,5,8,5,6,0,0,0,29,3,13,5,4,10,10,0,38,0,0,10,4,0,0,0,22,0,0,3,0,0,0,0,6,51,38,24,21,27,13,10,177
UCL522029,6,9,3,0,13,0,0,39,9,0,8,11,15,0,0,40,3,5,9,6,5,0,0,25,0,0,0,0,4,0,0,3,50,63,34,46,86,12,0,286
UCL522030,0,19,6,3,8,4,0,44,4,8,0,9,3,3,0,23,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,38,68,28,24,30,31,7,224
UCL522031,3,5,3,7,3,4,0,25,0,0,4,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,33,31,78,25,11,3,198
UCL522032,9,16,5,0,6,9,0,47,6,8,0,0,0,7,0,18,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,62,140,29,8,43,25,0,301
UCL522033,11,20,7,11,16,0,0,68,13,16,21,21,21,6,0,95,7,6,3,8,16,3,0,51,0,0,0,0,3,0,0,4,57,72,52,51,90,27,0,356
UCL522034,0,7,3,0,16,0,0,22,0,4,0,0,4,0,0,10,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,23,47,22,0,56,7,0,163
UCL522035,8,12,5,5,14,0,0,43,0,13,0,4,9,6,0,33,0,0,3,0,7,4,0,10,0,0,0,0,8,3,0,10,40,48,21,15,54,15,0,191
UCL522036,4,12,8,0,4,0,0,28,13,12,11,6,11,0,0,50,4,5,0,0,5,0,0,14,0,0,0,0,0,0,0,3,36,57,24,11,47,14,0,184
UCL522037,5,7,0,6,8,6,0,35,7,10,6,0,9,3,0,32,4,4,7,0,10,0,0,21,0,0,0,0,4,0,0,9,31,67,21,20,41,38,0,216
UCL522038,17,24,11,0,6,5,0,62,0,8,7,8,14,0,0,44,3,4,7,4,7,4,0,28,0,0,0,3,5,6,0,9,69,110,57,31,80,32,3,390
UCL522039,14,25,6,0,33,21,0,98,5,10,10,5,16,6,0,46,0,0,0,0,5,0,0,15,5,0,0,0,0,0,0,5,57,90,41,23,132,57,0,401
