UCL_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
UCL513005,700,24,3,0,0,722,2089,25,0,0,0,2113,574,10,0,0,0,582,8,0,0,0,0,8,5,0,0,0,0,5,194,10,0,0,0,204,22,0,0,0,0,21,0,0,0,0,0,0,807,18,0,0,0,826,30,25,0,0,0,58,157,8,0,0,3,169,3777,100,7,0,4,3889
UCL514001,1079,25,24,14,0,1135,971,15,3,0,0,992,197,14,37,0,0,254,70,37,25,0,0,131,8,0,0,0,0,12,176,18,4,0,0,198,28,0,3,3,3,33,4,0,4,0,0,3,478,70,75,7,3,635,32,0,0,0,0,32,207,17,8,7,3,242,2764,124,116,23,6,3032
UCL514002,813,73,3,0,0,896,956,97,4,0,4,1058,268,41,3,0,3,311,16,13,0,0,0,23,0,0,0,0,0,4,172,23,3,0,0,198,18,0,0,0,4,26,0,0,0,0,0,4,474,80,3,0,5,570,28,5,9,0,0,44,135,17,0,3,6,157,2405,273,25,4,12,2721
UCL514003,649,35,0,10,0,700,1060,45,0,0,4,1110,295,44,0,0,5,342,50,23,0,0,0,73,5,4,0,0,0,7,265,34,0,0,5,307,21,0,0,31,0,60,3,0,0,0,0,3,632,103,5,33,7,792,27,16,0,0,6,47,144,12,0,39,6,206,2516,229,3,87,24,2854
UCL514004,841,13,0,26,0,877,785,6,0,0,6,791,253,35,5,0,0,304,133,64,0,0,0,201,10,10,0,0,0,13,181,8,5,0,0,197,46,8,0,8,0,64,0,0,0,0,0,0,633,125,10,8,0,779,25,0,0,4,0,31,223,35,0,8,4,266,2502,171,10,43,9,2740
UCL515001,298,17,0,10,0,320,93,7,0,0,0,94,55,5,0,0,0,66,3,10,4,0,0,19,0,0,0,0,0,0,33,3,0,3,0,39,4,0,0,7,0,8,0,0,0,0,0,0,94,21,11,8,0,134,14,17,0,4,0,31,34,4,0,5,0,43,531,59,6,20,3,623
UCL515002,174,0,0,0,0,178,193,0,0,0,0,198,73,4,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,5,0,0,7,0,12,0,0,0,0,0,0,117,4,0,7,0,118,9,0,0,0,0,9,23,0,0,6,0,29,511,4,0,15,0,527
UCL515003,381,5,0,0,0,391,310,4,0,0,0,315,88,3,3,0,0,97,28,10,0,0,0,31,5,6,0,0,0,15,54,0,5,0,0,60,6,0,0,0,0,10,0,0,0,0,0,0,178,20,7,0,0,208,13,21,0,0,4,42,60,6,0,0,0,60,940,58,7,0,0,1009
UCL515004,134,0,0,0,0,134,405,0,0,0,0,410,85,0,0,0,0,85,4,0,0,0,0,3,4,0,0,0,0,6,65,0,0,0,0,65,0,0,0,0,0,0,5,0,0,0,0,5,161,0,0,0,0,165,6,0,0,0,0,6,44,0,0,0,0,44,748,6,0,0,0,752
UCL515005,259,10,0,4,0,273,434,5,0,0,0,436,73,5,0,0,0,78,15,23,0,0,0,34,0,4,0,0,0,4,50,4,0,0,0,52,3,0,0,0,0,3,0,0,0,0,0,0,144,36,0,0,0,177,6,4,0,0,0,9,39,3,0,0,0,48,883,55,0,4,0,942
UCL515006,342,30,0,377,19,764,305,6,0,11,0,327,73,31,5,0,0,114,125,59,6,0,4,193,36,15,25,0,0,74,103,39,0,6,4,162,89,25,5,72,10,196,0,0,4,0,0,5,434,168,45,79,21,741,36,7,0,18,4,63,179,70,5,16,19,284,1301,285,45,499,57,2184
UCL515007,159,4,0,0,0,161,378,0,0,0,0,381,49,0,0,0,0,51,0,3,0,0,0,3,0,6,0,0,0,6,45,0,0,0,0,47,5,0,0,0,0,5,0,0,0,0,0,0,98,15,0,0,0,111,3,0,0,0,0,3,63,0,0,3,0,67,695,22,0,3,0,718
UCL515008,57,0,0,22,6,90,150,10,0,0,0,161,39,4,22,0,0,72,5,0,0,0,0,5,0,0,0,0,0,0,19,0,3,0,4,26,44,3,4,3,4,56,0,0,0,0,0,0,112,7,28,3,3,158,7,0,0,0,6,16,29,7,10,10,0,56,365,18,41,40,15,477
UCL515009,503,14,0,13,0,536,286,3,0,0,0,292,91,4,0,0,0,91,58,17,0,0,0,79,26,0,0,0,0,33,109,0,0,0,0,109,16,0,0,0,0,24,3,0,0,0,0,3,312,24,0,0,0,336,15,18,0,0,0,36,92,9,0,58,0,165,1214,67,0,74,5,1354
UCL515010,114,0,0,171,9,300,113,0,0,0,0,115,56,30,0,0,0,86,190,20,0,0,0,211,47,3,0,0,0,50,56,0,0,4,0,66,94,13,0,29,6,142,0,0,0,0,0,4,448,78,0,30,6,563,36,3,0,8,4,55,268,54,0,24,7,350,985,134,0,232,29,1384
UCL515011,406,4,0,8,0,414,393,3,0,0,0,396,75,8,0,0,0,83,19,7,0,0,0,28,4,5,0,0,0,8,68,7,0,0,0,74,17,0,0,0,0,19,4,0,0,0,0,4,179,32,5,4,0,210,19,0,0,0,0,23,47,0,5,12,0,59,1036,41,3,17,6,1101
UCL515012,163,0,0,4,0,163,331,0,0,0,0,331,163,0,0,0,0,163,18,0,0,0,0,18,0,0,0,0,0,0,53,0,0,0,0,53,14,0,0,0,0,14,0,0,0,0,0,0,253,0,0,0,0,253,5,0,0,0,0,4,30,0,0,0,0,30,784,0,0,4,0,782
UCL515013,213,5,5,400,4,622,312,5,0,41,0,354,135,16,9,4,0,158,83,6,7,0,0,92,11,0,26,0,0,42,108,3,0,17,0,133,62,6,10,92,0,162,0,0,0,0,0,0,396,27,52,116,0,595,32,0,0,18,0,56,71,3,9,24,5,111,1013,42,69,596,11,1738
UCL515014,9,0,0,40,3,54,3,0,0,0,0,9,0,5,0,0,0,3,63,7,0,0,0,77,108,0,0,0,3,112,0,0,0,3,0,10,60,28,0,15,0,105,0,0,0,0,0,5,235,44,0,22,3,303,42,11,0,10,0,63,18,7,0,35,3,63,306,57,0,105,13,487
UCL515015,378,11,0,3,0,386,302,0,0,0,0,302,82,6,0,0,0,86,57,18,0,0,0,72,6,6,0,0,0,13,131,26,0,0,0,159,24,4,0,11,0,37,0,0,0,0,0,3,297,56,0,13,0,373,10,9,0,0,0,23,34,18,0,21,0,76,1021,93,0,39,4,1161
UCL515016,262,11,0,26,0,293,160,0,0,0,0,160,84,14,4,0,0,104,23,0,0,0,0,22,0,0,0,0,0,0,47,8,0,0,0,50,13,0,0,3,6,24,0,0,0,0,0,0,175,15,4,8,4,209,23,0,0,0,0,29,50,8,3,7,0,66,669,40,9,44,4,763
UCL515017,187,35,0,170,24,413,90,8,0,6,0,98,35,26,0,0,0,59,8,3,0,0,0,11,11,0,0,0,0,7,51,19,0,5,3,77,5,6,0,59,15,86,5,0,0,0,0,3,109,50,0,67,19,246,9,5,0,11,5,29,65,29,0,7,12,115,459,124,0,263,59,905
UCL515018,135,3,0,0,0,140,198,8,0,0,0,200,117,45,7,0,0,168,9,0,0,0,0,8,0,0,0,0,0,3,39,3,0,0,0,47,14,0,0,0,0,18,3,0,0,0,0,3,179,52,9,0,0,246,5,0,0,0,0,5,78,24,8,0,0,109,594,91,18,0,3,705
UCL515019,413,4,0,0,5,422,399,9,0,0,0,407,106,48,0,0,0,160,85,25,0,0,0,116,5,12,3,0,0,20,93,8,0,4,0,105,29,8,0,0,0,35,0,0,0,0,0,4,319,107,4,4,4,434,18,4,0,0,0,24,116,26,0,0,0,146,1281,144,7,3,6,1441
UCL515020,73,10,9,181,3,279,159,24,7,7,0,199,111,49,42,0,3,200,176,66,33,0,0,272,54,3,11,0,0,72,80,27,7,14,5,130,130,37,19,111,8,307,8,0,0,0,0,8,554,182,100,132,15,987,31,10,5,14,5,71,151,65,36,342,30,629,974,300,150,681,63,2163
UCL515021,289,0,0,34,0,320,205,0,0,0,0,210,20,31,0,0,0,51,3,0,0,0,0,3,0,0,0,0,0,0,27,0,0,0,0,33,6,0,0,20,0,20,0,0,0,0,0,0,55,32,0,21,0,111,11,0,0,0,0,14,16,0,0,8,0,23,573,36,0,62,0,669
UCL515022,513,15,0,5,0,536,511,8,0,0,4,527,185,74,5,0,0,262,81,50,7,0,4,131,6,29,3,0,0,32,108,10,0,0,0,112,24,6,0,0,14,42,4,0,0,0,0,3,403,161,12,0,14,586,12,0,0,0,0,17,80,17,7,8,4,107,1516,201,18,15,23,1776
UCL515023,272,5,0,0,0,278,280,0,0,0,0,282,79,3,0,0,0,87,64,15,0,0,0,82,20,0,0,0,0,21,88,3,0,0,0,88,50,10,0,0,3,63,3,0,0,0,0,5,297,37,0,0,7,343,32,0,0,0,0,33,86,19,3,25,0,134,966,65,6,28,7,1067
UCL515024,181,21,0,12,3,217,164,0,0,0,0,169,23,0,0,0,0,21,36,23,0,0,0,58,0,0,0,0,0,0,70,0,0,0,0,69,13,6,0,0,0,19,3,0,0,0,0,3,148,25,0,0,0,174,12,0,0,0,0,12,75,18,0,19,0,107,583,64,0,29,3,685
UCL515025,259,0,0,9,0,271,192,4,0,0,0,190,96,0,0,0,0,100,31,8,0,0,0,35,10,10,4,0,0,22,41,0,0,0,0,47,16,0,0,5,0,19,0,0,0,0,0,0,195,24,4,4,0,226,6,0,0,0,0,7,76,0,3,0,0,81,732,29,11,13,0,782
UCL515026,185,0,0,0,0,185,475,0,0,0,0,475,32,0,0,0,0,32,0,0,0,0,0,0,3,0,0,0,0,3,44,0,0,0,0,44,5,0,0,0,0,5,0,0,0,0,0,0,82,0,0,0,0,82,8,0,0,0,0,8,41,0,0,0,0,41,786,0,0,0,0,786
UCL515027,473,19,0,3,0,498,411,0,0,0,0,414,138,18,5,0,0,166,94,36,0,0,0,132,11,15,0,0,0,32,142,8,0,0,0,152,26,4,0,0,0,35,3,5,0,0,0,12,417,93,5,0,0,519,26,16,0,0,0,44,124,28,0,15,0,167,1454,159,6,24,4,1647
UCL515028,86,0,0,11,0,102,78,0,0,6,0,81,186,13,22,0,0,222,59,8,0,0,0,72,4,0,0,0,0,4,39,0,0,5,4,42,704,27,15,12,15,770,0,0,0,0,0,0,1002,48,36,12,10,1114,156,6,14,5,5,178,172,15,20,0,4,213,1492,69,74,28,24,1687
UCL515029,9,0,0,0,0,15,3,0,0,0,0,3,6,0,0,0,0,8,10,0,0,0,0,14,4,0,0,0,0,4,8,0,0,0,0,7,265,11,0,0,3,279,0,0,0,0,0,0,296,9,0,0,3,311,33,0,0,0,0,30,51,3,0,0,0,51,386,15,0,0,4,411
UCL515030,409,31,0,28,0,472,489,0,0,5,0,490,156,12,0,0,0,162,23,35,3,0,0,61,0,12,4,0,0,13,96,8,0,0,0,106,9,0,0,8,0,20,0,0,0,0,0,0,283,75,3,9,0,368,8,51,0,0,0,62,76,15,0,11,0,103,1259,176,6,47,5,1490
UCL515031,473,40,7,63,0,584,248,11,4,3,0,272,119,18,0,0,0,138,16,20,6,0,0,46,3,14,5,0,0,25,78,12,0,6,3,96,15,0,0,22,9,46,5,0,0,0,0,4,233,72,16,27,10,354,16,17,0,5,0,41,93,24,9,26,5,155,1061,159,39,126,17,1401
UCL515032,141,0,0,0,0,149,291,0,0,0,0,289,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,5,0,0,0,0,5,24,0,0,0,0,24,490,3,0,0,0,497
UCL515033,38,0,0,0,3,43,16,0,0,0,0,21,29,3,7,0,0,41,36,0,0,0,0,45,11,3,3,0,0,12,7,3,0,0,0,15,574,20,8,0,8,610,4,0,0,0,0,3,662,33,17,0,10,725,68,7,0,0,4,85,119,0,0,0,0,123,907,46,19,6,15,993
UCL515034,311,4,0,0,0,314,516,0,0,0,0,516,141,0,0,0,0,141,3,0,0,0,0,3,0,0,0,0,0,0,66,0,0,0,0,66,3,0,0,0,0,3,0,0,0,0,0,0,213,0,0,0,0,213,9,0,0,0,0,13,67,0,0,0,0,66,1118,4,0,6,0,1127
UCL515035,229,4,0,0,0,231,162,0,0,0,0,162,32,5,0,0,0,35,17,8,0,0,0,24,3,17,0,0,0,23,44,0,0,0,0,43,8,0,0,0,0,10,0,0,0,0,0,0,105,32,0,0,0,140,10,0,0,0,0,10,58,6,4,0,0,60,553,38,4,3,0,601
UCL515036,347,21,0,6,0,379,319,7,0,0,0,323,46,14,0,0,0,58,15,8,0,0,0,24,0,11,0,0,0,10,56,16,0,5,0,77,7,9,0,6,0,16,0,0,0,0,0,0,130,48,0,7,6,187,11,16,0,0,0,26,40,17,0,0,0,55,849,103,0,13,3,967
UCL515037,11,3,0,0,0,12,17,0,0,0,0,19,14,10,0,0,0,28,21,16,0,0,0,30,0,3,0,0,0,6,10,0,0,0,0,10,302,106,0,0,0,410,0,0,0,0,0,5,349,135,0,0,0,488,11,5,0,0,0,9,62,49,0,0,3,113,447,195,0,0,4,644
UCL515038,447,13,3,7,0,464,307,4,0,0,0,313,65,4,4,0,0,79,25,18,0,0,0,45,0,0,0,0,0,6,61,0,0,0,0,65,7,0,0,0,0,7,0,0,0,0,0,4,166,27,3,0,0,205,32,0,0,0,0,38,90,3,0,3,0,98,1042,47,9,12,8,1120
UCL521001,69,0,0,0,3,71,94,0,0,0,0,96,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,20,0,0,0,0,0,0,10,0,0,0,0,10,186,0,0,3,3,194
UCL521002,118,0,0,0,0,118,139,0,0,0,0,142,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,32,0,0,0,0,32,301,0,0,0,0,303
UCL521003,213,0,0,4,0,219,92,0,0,0,0,92,16,0,0,0,0,16,11,6,0,0,0,12,0,0,0,3,0,4,22,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,44,6,0,8,0,56,15,0,0,0,0,15,37,7,0,0,0,40,402,15,0,6,0,427
UCL521004,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,60,62,0,0,0,0,62,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,128,0,0,0,0,128,22,0,0,0,0,27,6,0,0,0,0,7,158,0,0,3,0,159
UCL521005,115,0,0,8,0,127,125,0,0,0,0,125,59,9,0,0,0,63,12,0,0,0,0,17,5,3,0,0,0,9,35,0,0,0,0,36,26,0,0,3,0,33,0,0,0,0,0,0,135,15,0,3,0,153,9,5,0,0,0,14,39,11,0,5,0,49,428,28,0,14,0,463
UCL521006,141,0,0,0,0,141,144,0,0,0,0,144,7,0,0,0,0,7,6,6,0,0,0,5,5,0,0,0,0,5,10,0,0,3,0,18,3,0,0,0,0,3,0,0,0,0,0,0,36,6,0,3,0,45,3,0,0,0,0,3,19,4,0,0,0,25,336,6,0,3,0,349
UCL521007,96,0,0,0,0,94,48,0,0,0,0,52,18,0,0,0,0,18,12,0,0,0,0,12,0,0,0,0,0,0,31,0,0,0,0,32,4,0,0,0,0,4,0,0,0,0,0,0,71,3,0,0,0,74,4,0,0,0,0,4,28,0,0,0,0,30,248,5,0,3,0,259
UCL521008,93,0,0,0,0,93,37,0,0,0,0,37,3,0,0,0,0,3,10,3,0,0,0,17,0,4,0,0,0,5,18,0,0,0,0,21,4,0,0,0,0,4,0,0,0,0,0,0,47,8,0,0,0,56,13,0,0,0,0,15,27,0,0,0,0,29,213,11,0,0,0,224
UCL521009,90,0,0,0,0,92,41,0,0,0,0,43,5,0,0,3,0,12,5,0,0,0,0,6,0,12,0,4,0,11,8,0,0,0,0,13,13,0,0,4,0,15,0,0,0,0,0,0,29,15,0,12,0,53,14,0,0,0,0,17,23,0,0,0,3,30,201,19,0,12,9,236
UCL521010,93,0,0,0,0,91,122,0,0,0,0,131,4,0,0,0,0,4,13,3,0,0,0,14,0,11,0,0,0,10,32,3,0,0,0,37,3,0,0,0,0,4,0,0,0,0,0,0,53,20,0,0,0,73,8,0,0,0,0,8,27,0,0,0,0,27,298,22,0,4,0,328
UCL521011,43,0,0,4,0,44,129,0,0,0,0,126,14,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,0,0,25,0,0,0,0,0,0,8,0,0,0,0,10,205,4,0,5,0,213
UCL521012,62,0,0,26,18,116,79,0,0,0,0,81,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,12,6,0,0,9,3,15,0,0,0,0,0,0,35,0,0,9,3,48,4,0,0,0,3,6,12,0,0,3,0,22,189,8,0,42,29,271
UCL521013,92,0,0,0,0,89,188,0,0,0,0,188,22,0,0,0,0,22,4,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,0,0,0,0,0,0,20,0,0,0,0,20,336,0,0,0,0,338
UCL521014,104,0,0,13,0,115,74,0,0,0,0,79,26,0,0,0,0,33,8,0,0,0,0,8,4,0,5,0,0,11,18,0,0,0,0,18,7,0,0,0,0,10,0,0,0,0,0,0,62,0,8,0,0,72,5,0,0,0,0,10,67,0,0,0,4,80,313,5,16,22,4,360
UCL521015,118,0,0,0,0,118,62,0,0,0,0,62,5,0,0,0,0,3,7,6,0,0,0,14,0,8,0,0,0,9,36,0,0,0,0,32,13,0,0,3,0,17,0,0,0,0,0,0,61,14,0,0,0,76,10,0,0,0,0,14,16,10,0,0,0,23,268,24,0,8,0,298
UCL521016,83,0,0,0,0,89,81,0,0,0,0,81,17,0,0,0,0,15,19,5,0,0,0,21,5,4,0,0,0,10,28,0,0,0,0,28,8,0,0,4,0,13,0,0,0,0,0,0,79,9,0,4,0,90,8,0,0,0,0,8,16,0,0,0,0,20,266,13,0,9,0,290
UCL521017,57,0,0,8,0,65,71,0,0,5,0,77,0,0,0,0,0,0,10,3,0,0,0,17,4,4,0,0,0,10,27,3,0,0,0,28,21,0,0,0,0,22,0,0,0,0,0,0,66,11,0,5,0,81,9,0,0,0,0,9,21,3,0,9,0,31,221,14,0,20,3,263
UCL521018,68,0,0,0,0,68,98,0,0,0,0,98,13,0,0,0,0,13,3,0,0,0,0,3,12,0,0,0,0,12,12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,39,0,0,0,0,0,0,6,0,0,0,0,6,212,0,0,0,0,214
UCL521019,104,0,3,241,0,345,42,4,0,15,0,61,36,0,3,0,0,44,21,0,0,0,0,25,6,4,0,0,0,10,25,5,0,10,0,38,22,0,0,61,0,82,0,3,0,0,0,3,111,13,4,66,0,197,12,0,0,12,0,23,34,7,0,136,3,191,299,34,8,469,0,820
UCL521020,122,0,0,0,0,125,126,0,0,0,0,126,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,3,0,0,0,0,3,13,0,0,0,0,15,285,0,0,3,0,284
UCL521021,99,0,0,0,0,102,123,0,0,0,0,123,27,0,0,0,0,27,0,3,0,0,0,6,0,0,0,0,0,3,30,0,0,0,0,30,13,0,0,0,0,13,0,0,0,0,0,0,72,6,0,0,0,78,5,0,0,0,0,5,24,0,0,0,0,28,324,8,0,0,0,332
