UCL_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
UCL513005,122,479,460,1990,28,3075,0,14,15,272,3,315,76,0,5,4,0,88,15,6,0,21,0,42,112,22,23,36,3,195,2904,452,445,1464,41,5301,79,4,20,0,0,97,65,5,3,12,0,83,182,31,21,127,7,364,15,0,0,0,0,18,7,0,0,0,0,15,75,6,3,10,0,97,516,78,69,393,11,1066,95,31,15,171,6,323,20,0,0,0,0,20,5,3,4,0,0,11,10,7,4,12,0,32,4,5,0,3,0,17,275,36,14,5,0,326,146,46,14,7,3,218,53,10,8,26,4,92,6,0,7,9,0,20,23,0,0,0,0,25,601,89,76,290,7,1070,4,0,0,0,0,6,256,14,21,9,0,302,37,3,3,11,0,43,4,0,0,0,0,9,6,0,3,0,0,9,114,15,4,14,0,146,675,66,81,123,4,941,47,9,6,28,426,520,5002,827,736,3430,524,10521
UCL514001,51,289,230,2401,30,3008,0,18,11,302,4,336,24,0,0,7,0,33,10,7,0,3,0,16,46,19,3,28,0,96,534,306,230,2042,44,3157,47,0,6,0,0,55,8,0,0,13,0,27,64,31,5,150,0,250,0,0,0,0,0,3,4,0,0,0,0,5,12,5,5,7,0,30,90,52,31,369,6,549,80,57,5,232,4,377,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,9,13,0,0,84,28,12,11,10,0,63,67,7,8,41,0,125,3,4,0,3,0,10,0,0,0,0,0,0,100,63,52,426,4,640,0,0,0,0,0,4,16,0,7,0,0,24,3,0,0,5,0,11,0,0,0,0,0,3,4,0,0,0,0,9,35,15,12,39,0,96,108,34,16,39,0,200,6,4,6,47,545,605,1103,533,371,4364,618,7001
UCL514002,52,429,343,1922,23,2768,0,3,5,51,0,66,30,7,5,5,0,45,4,8,0,19,0,31,68,18,13,33,0,132,993,357,294,1623,31,3297,8,0,7,0,0,19,53,4,6,8,0,67,93,28,31,131,7,284,13,0,0,21,0,37,9,3,0,3,0,12,23,0,6,5,0,41,196,73,45,439,5,757,98,35,11,129,0,273,10,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,8,0,4,0,8,0,9,29,3,4,0,0,44,40,31,32,6,0,111,15,5,3,11,3,51,0,3,0,3,0,9,0,0,0,0,0,0,235,67,48,401,6,756,4,0,0,0,0,6,70,15,11,7,0,102,11,0,0,7,0,21,7,0,0,0,0,15,7,0,3,0,0,12,38,7,3,16,0,66,299,59,83,61,9,498,16,7,4,17,336,381,1824,662,544,3425,397,6855
UCL514003,62,394,387,1651,20,2505,5,10,7,113,0,126,61,12,7,9,3,86,7,10,5,37,0,55,81,17,10,73,0,180,1039,348,369,1471,22,3238,82,0,14,3,0,99,74,4,23,13,0,110,146,22,26,124,0,325,12,8,5,13,0,32,6,3,0,0,0,12,38,3,3,7,0,46,222,89,62,435,4,803,152,48,20,132,0,348,35,0,0,0,0,31,4,0,0,0,0,4,0,0,3,0,0,8,4,0,0,3,0,11,36,21,8,0,0,59,66,32,11,9,0,127,30,8,6,17,0,69,10,0,0,3,0,13,0,0,0,0,0,0,261,81,50,397,3,792,0,0,7,0,0,6,38,7,3,3,0,53,46,0,3,4,0,57,7,0,0,0,0,12,16,0,0,0,3,14,46,5,4,20,0,79,427,74,88,89,4,694,26,6,8,43,527,608,2303,669,635,3144,575,7331
UCL514004,69,223,208,2050,30,2572,0,17,7,486,4,517,39,4,4,9,0,55,11,8,0,9,0,26,58,21,3,44,4,126,495,249,188,1649,54,2636,141,0,14,0,3,153,9,3,3,11,0,25,78,23,15,128,3,246,3,0,0,8,0,14,5,5,0,4,0,10,69,3,5,0,0,75,105,33,29,364,11,544,33,23,9,113,0,177,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,6,35,0,6,0,0,53,32,13,11,3,0,56,75,7,8,40,0,130,14,3,0,5,0,25,6,0,0,0,0,8,112,59,32,346,8,560,24,0,0,0,0,24,20,3,0,0,0,24,9,0,0,0,0,11,3,0,0,0,0,4,13,0,0,0,0,13,13,5,0,17,0,33,229,39,34,81,8,396,10,3,0,29,639,690,1350,430,336,3752,743,6610
UCL515001,10,59,41,315,9,434,0,0,0,7,0,7,9,0,0,0,0,9,6,0,0,0,0,7,13,0,0,0,0,15,203,69,36,323,17,650,0,0,0,0,0,0,9,0,0,0,0,7,27,0,6,35,0,71,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,9,6,78,0,113,5,0,5,14,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,0,0,17,4,0,0,0,0,4,0,0,0,5,0,4,0,0,0,0,0,0,51,12,18,82,4,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,7,0,0,0,0,10,29,3,4,9,3,55,0,0,0,5,60,66,335,92,65,634,88,1218
UCL515002,8,61,52,384,4,514,0,0,0,14,0,17,8,0,0,0,0,9,4,0,0,4,0,4,15,0,0,10,0,25,137,69,50,304,5,564,0,0,0,0,0,0,4,0,0,0,0,8,15,0,3,22,0,39,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,43,11,13,66,0,140,15,12,8,41,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,3,9,7,0,3,0,23,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,26,13,10,65,0,112,0,0,0,0,0,0,10,0,0,0,0,10,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51,5,15,8,0,75,0,4,0,3,43,48,288,110,91,665,46,1203
UCL515003,19,97,87,589,7,798,0,3,0,38,0,46,3,0,0,0,0,4,0,0,0,0,0,4,26,10,3,14,0,53,439,139,85,508,12,1185,13,0,0,0,0,13,7,0,0,5,0,15,29,3,9,21,0,62,0,0,0,0,0,0,9,0,3,0,0,5,0,3,0,0,0,3,77,20,23,138,0,259,15,18,3,31,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,7,0,4,4,0,11,16,0,0,0,0,17,12,4,0,0,0,17,9,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,80,33,23,138,0,271,0,0,0,0,0,5,7,0,0,0,0,12,0,0,0,4,0,9,0,0,0,0,0,0,4,0,0,0,0,4,15,0,3,7,0,28,59,10,11,14,5,101,3,0,4,11,137,157,660,210,145,1047,158,2221
UCL515004,27,121,104,625,15,887,0,0,4,48,0,55,21,0,4,5,0,27,0,3,0,0,0,8,19,13,7,21,0,61,258,116,109,527,15,1028,6,0,0,0,0,9,8,0,4,0,0,7,14,5,10,34,0,65,0,0,0,0,0,8,0,0,0,0,0,5,12,0,0,0,0,14,46,16,20,103,0,184,14,14,12,45,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,18,5,4,0,0,32,25,7,5,0,3,40,11,0,0,9,0,21,0,0,0,0,0,0,5,0,0,0,0,5,81,21,28,118,0,245,0,0,0,0,0,0,12,5,0,0,0,19,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,3,0,5,6,0,0,13,0,26,104,26,9,13,5,163,8,0,0,0,100,111,546,204,182,1064,126,2123
UCL515005,15,115,113,810,9,1058,0,4,12,75,0,93,3,0,0,6,0,4,3,0,0,8,0,10,28,7,12,31,0,80,239,106,96,656,6,1104,3,0,0,0,0,4,13,3,0,8,0,23,18,9,9,47,0,76,0,0,0,3,0,3,0,0,0,0,0,0,7,3,0,0,0,6,50,16,11,113,4,196,12,5,5,53,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,9,3,7,0,0,11,10,5,0,4,0,26,6,0,0,3,0,10,0,0,0,4,0,5,0,0,0,0,0,0,51,17,17,137,0,226,0,0,0,0,0,0,16,3,5,0,0,19,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,7,5,8,0,24,45,23,3,18,0,86,4,0,0,15,83,104,407,185,172,1414,104,2276
