UCL_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
UCL515019,134,185,247,169,162,129,89,419,35,1572
UCL515020,352,547,292,342,299,144,150,240,54,2423
UCL515021,88,149,149,99,83,62,48,81,8,772
UCL515022,198,198,277,226,174,167,192,357,29,1822
UCL515023,125,146,194,128,120,93,137,124,31,1093
UCL515024,75,83,109,79,82,47,82,93,6,659
UCL515025,67,75,97,80,69,56,68,147,24,685
UCL515026,98,103,236,127,149,65,131,136,32,1089
UCL515027,173,285,259,234,155,133,118,232,28,1623
UCL515028,221,340,756,198,209,128,681,221,71,2816
UCL515029,47,53,199,32,49,21,291,81,28,816
UCL515030,91,158,274,184,122,134,206,186,20,1380
UCL515031,175,161,198,119,119,104,103,158,37,1159
UCL515032,74,84,171,71,104,51,84,56,34,733
UCL515033,133,202,395,127,149,67,395,128,31,1626
UCL515034,105,119,221,146,97,79,121,143,15,1049
UCL515035,49,50,84,54,47,43,54,97,12,481
UCL515036,44,70,208,87,81,50,155,135,17,843
UCL515037,79,124,430,81,104,43,188,156,38,1235
UCL515038,97,129,150,122,93,65,92,124,23,891
UCL521001,12,31,71,21,22,17,41,30,6,256
UCL521002,25,46,66,53,31,21,34,27,11,301
UCL521003,29,26,40,32,21,22,32,38,3,234
UCL521004,10,46,9,22,9,7,6,4,3,120
UCL521005,46,51,91,33,47,16,126,50,5,462
UCL521006,33,53,71,53,43,29,59,55,8,393
UCL521007,19,18,30,24,15,22,21,36,3,190
UCL521008,25,18,18,30,19,13,22,38,4,184
UCL521009,30,19,46,24,17,7,34,34,0,210
UCL521010,15,26,59,40,25,15,46,47,8,285
UCL521011,20,38,63,31,45,18,38,43,0,299
UCL521012,27,30,45,27,32,20,26,31,3,238
UCL521013,32,49,85,68,60,35,45,47,18,428
UCL521014,29,33,77,30,32,16,124,35,11,387
UCL521015,57,33,47,27,34,24,26,41,10,299
UCL521016,48,32,47,32,30,29,24,45,8,293
UCL521017,70,45,53,22,51,25,35,37,6,347
UCL521018,29,33,43,17,27,17,41,33,3,247
UCL521019,108,74,102,69,80,46,48,77,19,616
UCL521020,28,29,53,27,30,19,33,49,8,272
UCL521021,67,38,42,26,43,25,49,74,4,379
UCL521022,59,116,56,44,29,39,10,32,6,396
UCL521023,41,30,55,15,27,11,33,28,6,242
UCL521024,66,118,43,104,41,17,25,43,24,489
UCL521025,38,60,73,38,32,21,55,29,14,364
UCL521026,44,56,76,44,42,20,49,30,4,367
UCL521027,22,42,78,22,27,15,133,41,6,380
UCL521028,32,26,55,49,23,16,30,65,9,302
UCL521029,57,41,63,38,28,17,55,92,3,392
UCL521030,47,28,40,20,19,15,20,126,20,340
UCL521031,55,59,91,35,31,9,90,56,4,428
UCL521032,26,44,24,39,24,18,20,24,13,234
UCL521033,32,43,44,19,18,11,44,25,6,244
UCL521034,47,42,81,28,39,20,50,46,16,368
UCL521035,29,31,29,32,17,9,29,43,0,214
UCL521036,20,37,26,17,21,15,19,35,6,209
UCL521037,11,19,61,54,21,33,73,60,4,329
UCL521038,21,28,37,35,12,15,41,42,5,237
UCL521039,51,83,66,42,30,33,14,36,13,373
UCL521040,72,85,98,56,64,19,63,58,6,527
UCL521041,30,47,137,31,25,6,139,31,11,452
UCL521042,46,47,23,38,28,28,29,75,3,324
UCL521043,37,66,36,39,23,10,15,21,0,248
UCL521044,20,25,40,32,22,12,19,37,4,204
UCL521045,36,10,15,18,7,15,15,23,0,147
UCL521046,23,30,30,49,17,12,22,33,0,211
UCL521047,41,20,59,20,35,19,57,54,6,307
UCL521048,36,54,48,41,44,20,21,35,3,307
UCL521049,20,28,4,17,12,10,0,6,0,98
UCL521050,33,45,66,35,37,26,43,52,5,341
UCL521051,16,24,63,43,47,29,42,71,9,350
UCL521052,48,65,35,54,20,8,30,24,7,292
UCL522001,9,37,4,15,3,6,5,10,6,97
UCL522002,19,25,15,8,9,3,11,17,3,114
UCL522003,7,22,4,19,10,4,8,7,0,76
UCL522004,3,0,0,9,7,3,0,9,0,33
UCL522005,5,19,7,22,10,4,3,7,3,78
UCL522006,28,64,35,22,18,18,10,19,9,221
UCL522007,28,12,21,12,4,3,0,17,6,105
UCL522008,15,8,9,7,6,3,15,13,0,74
UCL522009,10,12,48,25,23,12,27,32,0,191
UCL522010,22,40,38,17,19,20,9,4,0,167
UCL522011,24,15,22,16,17,7,16,12,0,142
UCL522012,36,25,22,23,25,7,15,45,7,220
UCL522013,15,25,49,20,16,12,31,24,5,185
UCL522014,10,6,16,10,9,3,21,13,0,88
UCL522015,107,101,73,65,65,28,16,49,10,523
UCL522016,11,0,10,10,3,6,20,18,7,91
UCL522017,17,16,19,7,22,16,20,23,3,142
UCL522018,21,14,9,5,12,4,14,11,5,88
UCL522019,21,5,8,6,5,0,10,13,0,62
UCL522020,10,20,10,12,12,3,11,6,0,83
UCL522021,33,15,22,16,16,7,22,24,4,152
UCL522022,16,8,20,18,9,9,11,12,0,97
UCL522023,12,18,21,22,8,3,22,20,6,136
UCL522024,9,38,8,11,9,9,6,7,0,93
UCL522025,21,20,25,16,25,14,27,27,3,175
UCL522026,15,9,21,8,4,9,9,12,0,91
UCL522027,14,19,25,12,13,4,32,26,5,144
UCL522028,7,4,4,0,5,5,7,43,7,85
UCL522029,5,15,38,22,19,15,18,11,5,161
UCL522030,16,18,25,7,18,10,24,19,0,132
UCL522031,10,22,0,9,5,4,0,0,0,54
UCL522032,3,22,0,18,11,0,0,4,0,60
UCL522033,12,14,14,19,6,6,5,30,3,116
UCL522034,6,14,6,4,0,0,4,0,0,38
UCL522035,22,5,22,7,10,4,12,17,7,106
UCL522036,21,10,14,7,9,0,19,17,3,104
UCL522037,15,15,18,14,4,8,14,22,4,121
UCL522038,53,34,51,23,27,20,26,32,9,279
UCL522039,27,39,28,31,20,4,31,15,9,200
UCL522040,10,13,8,4,10,5,6,17,8,80
UCL522041,11,14,19,10,10,0,20,18,5,108
UCL522042,29,33,88,18,26,9,95,35,6,326
UCL522043,0,5,5,12,6,5,0,12,4,47
UCL522044,14,20,11,22,5,7,16,15,8,111
UCL522045,3,9,6,4,0,0,0,0,0,32
UCL522046,27,13,16,14,9,6,21,13,3,119
UCL522047,19,20,17,21,15,11,17,22,0,140
UCL522048,18,19,26,16,7,7,13,7,0,121
UCL522049,9,14,10,17,10,0,17,12,0,94
UCL522050,37,19,26,13,13,13,16,30,0,167
UCL522051,8,3,28,14,13,16,7,13,0,101
UCL522052,15,4,15,19,4,0,6,9,0,64
UCL522053,9,11,3,3,6,0,0,3,0,31
UCL522054,22,5,10,10,15,3,17,7,0,82
UCL522055,30,38,25,20,24,3,28,22,0,197
UCL522056,29,24,49,12,18,9,69,25,7,243
UCL522057,45,47,31,45,31,13,8,32,0,249
UCL522058,16,6,11,8,6,0,13,10,0,71
UCL522059,15,16,30,17,14,3,19,13,6,132
UCL522060,3,10,0,0,4,0,0,0,0,18
UCL522061,30,24,21,16,14,12,9,13,0,136
UCL522062,5,11,3,6,0,6,0,4,4,37
UCL522063,9,28,0,9,5,0,0,0,0,47
UCL522064,12,24,7,33,9,5,3,12,10,121
UCL522065,22,12,15,5,10,4,7,18,0,96
UCL522066,33,12,22,20,16,21,23,39,0,178
UCL522067,25,40,73,20,14,5,76,35,3,292
UCL522068,17,37,34,29,20,14,12,11,3,182
UCL522069,17,12,22,7,12,5,12,19,0,99
UCL522070,10,9,21,11,12,12,17,30,0,126
UCL522071,4,14,8,6,5,4,4,10,18,74
UCL531001,20193,13557,18371,7209,8771,4373,13098,11183,1679,98440
UCL579997,96,324,627,58,45,6,172,344,23,1697
