UCL_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
UCL513005,0,0,0,10,0,5,9,9,5,37,0,0,3,4,3,30,33,35,3,107,40,90,157,137,97,84,46,39,34,716,0,0,0,0,0,10,8,6,11,33,36,25,60,63,94,79,60,52,41,522,1088,342,480,492,372,256,150,52,4,3235,107,42,61,64,45,33,26,13,8,391,1336,524,781,820,684,550,442,239,89,5470,0,6,21,42,121,169,227,148,34,773,187,96,135,138,107,98,69,36,5,871,0,0,6,17,37,43,83,68,23,284,0,0,0,0,0,3,16,46,55,122,11,11,18,31,47,104,111,74,24,416,3,3,3,8,29,70,114,96,43,374,5,0,3,10,5,10,20,22,7,80,3,0,3,6,10,48,59,63,7,207,88,143,224,191,155,130,79,64,51,1116,0,0,0,0,5,16,16,18,21,85,118,52,102,99,154,126,115,94,61,910,2168,792,893,941,776,477,268,88,8,6418
UCL514001,0,0,5,3,5,8,10,4,4,30,0,0,0,0,14,23,38,17,15,110,19,63,79,76,87,77,47,14,16,482,0,0,0,0,6,8,13,17,8,51,22,26,26,44,54,68,34,29,18,314,424,211,225,201,224,190,130,54,15,1677,86,39,47,48,38,38,27,25,11,350,590,350,415,397,459,484,426,245,98,3457,4,10,12,36,112,201,272,175,62,888,103,75,81,96,85,82,93,42,9,668,5,0,6,8,20,59,88,49,17,250,0,0,0,0,0,3,10,21,21,62,0,6,19,31,55,113,180,81,20,509,4,0,0,4,29,67,115,78,30,322,0,3,5,4,3,18,25,9,3,66,0,0,0,5,20,42,90,35,19,217,30,99,111,118,131,138,87,39,25,772,0,0,5,0,8,13,37,26,9,108,64,53,44,60,82,114,88,52,31,581,917,465,471,440,426,394,270,121,28,3525
UCL514002,0,0,0,0,0,0,0,3,5,15,0,0,0,0,0,7,14,15,6,39,19,29,53,60,57,28,30,7,3,291,0,0,0,0,5,0,10,6,4,20,14,10,21,31,31,32,45,30,4,218,662,155,247,423,319,230,191,55,11,2298,56,24,47,44,33,32,42,24,0,288,778,233,382,600,492,402,445,216,51,3597,0,0,9,27,44,95,169,141,39,518,82,32,44,73,53,41,51,27,13,419,0,0,4,16,19,48,68,54,15,222,0,0,0,0,0,3,9,12,8,30,4,0,0,6,16,27,57,40,3,160,0,0,0,0,12,13,80,77,20,204,0,0,0,6,3,4,8,13,4,33,3,0,0,0,0,17,23,23,14,84,33,47,79,90,84,56,56,17,5,456,0,0,0,0,6,0,18,16,8,51,36,22,30,43,63,55,80,47,9,386,1295,374,472,768,645,442,379,112,24,4517
UCL514003,0,0,0,0,4,0,4,5,3,16,0,0,0,0,3,5,23,10,4,43,16,27,67,92,62,57,37,10,4,367,0,0,0,0,4,3,6,8,5,26,18,18,26,49,42,35,38,26,15,275,638,206,333,446,346,221,126,40,10,2362,88,30,44,58,53,42,25,3,8,350,778,285,491,691,548,426,339,140,72,3767,0,0,7,41,62,90,147,68,29,456,73,35,71,97,66,43,55,13,3,473,0,0,0,14,33,36,63,26,8,178,0,0,0,0,0,0,5,23,25,58,6,8,4,11,27,29,44,22,10,156,0,0,4,3,25,37,63,31,21,185,0,0,0,7,4,3,10,3,3,34,0,0,3,6,5,19,33,17,7,81,27,49,93,146,109,84,64,10,0,592,0,0,0,0,11,10,11,14,8,46,46,32,43,72,73,72,76,43,29,485,1291,466,689,826,663,426,231,75,23,4696
UCL514004,0,0,0,0,5,0,15,12,3,49,0,0,0,0,8,16,28,16,7,74,12,55,71,69,91,71,43,13,6,419,0,0,0,0,3,8,8,15,10,51,27,12,26,37,52,53,32,28,14,285,457,232,197,197,184,198,133,51,17,1663,100,51,34,49,55,40,30,33,25,422,644,373,354,382,436,481,399,236,118,3412,0,4,15,20,81,155,202,156,65,694,93,57,85,71,78,88,44,45,8,573,3,4,0,8,12,42,66,55,11,218,0,0,0,0,0,6,8,23,26,57,4,8,12,36,62,125,163,79,16,504,3,0,5,14,23,63,104,79,46,341,0,0,5,0,13,11,31,17,9,88,3,0,0,4,16,31,55,27,13,155,29,86,106,106,131,113,73,23,10,682,3,0,0,4,3,16,24,26,17,97,68,26,53,54,92,93,72,47,22,532,908,497,408,386,355,383,257,100,27,3324
UCL515001,0,0,0,0,0,0,5,4,0,6,0,0,0,0,6,5,8,11,7,26,4,0,3,14,12,11,12,7,0,59,0,0,0,0,0,4,3,0,4,13,0,0,0,3,3,15,25,12,5,62,42,23,18,26,43,52,63,23,10,296,9,4,0,3,4,7,6,4,9,49,55,25,36,48,76,104,155,78,54,632,0,0,0,3,14,23,77,51,35,207,6,0,9,12,9,14,20,19,9,93,0,0,0,0,5,9,29,23,13,78,0,0,0,0,0,0,7,6,8,19,0,0,0,0,0,10,22,13,10,62,0,0,0,0,3,12,37,41,19,111,0,0,0,0,0,4,8,5,5,19,0,0,0,0,6,14,15,14,4,53,3,7,7,29,23,22,26,10,0,117,0,0,0,0,0,7,14,7,9,29,3,0,0,9,8,24,35,19,17,123,83,38,51,45,67,99,117,48,16,568
UCL515002,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,7,0,0,9,0,8,9,11,11,17,4,0,0,56,0,0,0,0,0,0,0,0,0,0,0,5,0,4,5,10,6,0,0,37,79,34,49,46,58,45,42,3,0,361,7,4,0,7,6,6,3,0,0,37,93,57,68,72,87,95,87,22,8,586,0,0,0,11,18,45,28,23,0,128,12,9,9,15,16,14,10,0,0,85,0,0,0,0,0,16,23,11,5,53,0,0,0,0,0,0,4,0,0,3,0,0,4,0,8,21,15,7,0,55,0,0,0,0,3,17,16,9,3,51,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,9,5,0,0,21,0,11,14,23,15,34,10,0,0,104,0,0,0,0,0,0,4,0,0,7,3,4,0,14,8,16,17,0,0,64,183,79,91,98,106,88,73,16,0,736
UCL515003,0,0,0,0,0,3,4,4,0,8,0,0,0,0,0,8,14,13,3,35,6,32,22,23,27,37,23,7,7,184,0,0,0,0,0,0,7,4,9,15,7,6,8,14,18,27,23,15,5,127,138,54,59,55,77,95,72,25,5,587,9,15,5,13,16,13,17,6,5,97,178,108,90,104,149,204,222,102,45,1199,0,0,4,15,28,56,105,59,29,299,18,19,14,23,17,34,35,13,3,178,0,0,0,0,5,19,40,25,5,102,0,0,0,0,0,0,0,6,15,25,0,0,3,0,12,22,38,24,9,117,0,0,0,0,4,14,49,27,19,114,4,0,0,0,0,3,3,3,0,18,0,0,0,4,5,13,22,14,7,65,14,46,27,33,47,52,31,9,7,268,0,0,0,0,0,3,14,13,10,41,17,17,10,27,24,46,51,22,10,222,262,98,111,115,154,169,150,52,7,1138
UCL515004,0,0,0,0,5,0,0,0,0,8,0,0,0,0,4,4,4,3,0,17,10,19,47,22,29,8,9,0,0,144,0,0,0,0,0,3,3,0,3,12,11,15,14,18,26,6,10,0,0,101,195,71,116,74,62,38,18,7,3,579,19,14,15,13,12,9,9,0,0,98,247,123,203,137,136,86,76,27,11,1046,0,3,7,18,20,28,51,20,4,159,45,23,38,23,21,22,15,4,0,198,0,0,3,0,4,8,21,7,3,40,0,0,0,0,0,0,0,0,0,7,0,0,8,7,14,18,24,16,4,98,0,0,0,5,8,8,20,16,3,69,0,0,0,0,4,0,3,0,0,12,0,0,0,0,5,6,10,7,0,37,22,37,66,37,37,17,15,7,0,238,0,0,0,0,5,5,7,3,3,20,28,21,20,22,35,13,24,7,0,173,407,217,251,136,122,67,39,14,7,1257
UCL515005,0,0,0,0,6,0,0,5,0,12,0,0,0,4,3,10,6,0,4,35,10,14,24,39,29,33,19,0,0,176,0,0,0,0,0,0,0,0,0,6,3,10,12,21,32,18,19,5,0,117,192,72,81,80,70,53,24,14,3,596,15,16,10,12,17,7,15,3,4,88,241,123,124,161,169,150,124,60,20,1184,0,0,8,28,48,83,90,43,16,315,43,23,16,37,37,33,29,7,3,225,0,0,0,7,8,11,26,19,4,68,0,0,0,0,0,0,3,0,7,20,0,0,7,7,24,40,47,23,4,158,0,0,0,3,15,28,32,20,8,109,0,0,0,0,6,4,5,6,3,23,3,0,4,4,9,19,22,7,4,59,23,28,37,58,48,45,26,8,4,275,0,0,0,0,0,4,8,6,3,23,19,22,17,27,44,38,39,15,0,225,383,163,142,163,157,92,55,23,7,1194
