UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL513005,111,120,228,491,459,948,45,32,76,131,140,269,664,632,1297,267,244,516,47,46,97,96,81,183,415,382,791,27,28,53,17,32,55,31,16,54,32,63,100,0,0,0,115,149,263,30,50,76,10,41,57,10,8,23,27,69,90,0,0,0,83,166,248,198,320,513,14,19,33,26,42,77,0,0,0,47,60,105,224,254,474,32,6,39,1687,1773,3455
UCL514001,49,59,110,212,180,391,61,57,113,0,0,7,272,240,514,181,150,327,25,30,52,12,14,24,220,191,413,10,16,25,3,11,17,16,13,33,16,39,58,0,0,0,51,87,137,4,16,21,6,15,18,3,6,3,3,12,16,0,0,0,11,49,60,66,136,196,8,8,17,9,23,27,0,0,0,18,31,46,336,296,631,3,0,3,959,955,1912
UCL514002,57,63,118,232,205,435,138,131,269,20,27,52,392,369,757,107,91,201,95,94,192,44,63,102,246,251,490,10,0,10,4,13,19,22,12,31,31,32,64,0,0,0,61,65,119,7,21,18,6,21,24,0,0,3,16,49,70,0,0,0,25,95,128,84,161,249,4,0,4,8,26,39,0,0,0,9,33,47,184,199,378,5,9,12,985,1068,2051
UCL514003,66,78,142,279,248,529,42,33,72,53,58,111,374,333,710,247,238,485,11,3,15,10,17,23,266,262,528,9,8,16,6,13,17,28,10,43,32,70,102,0,0,0,71,98,176,8,10,8,7,27,33,0,5,5,15,64,74,0,0,0,24,99,124,103,198,299,10,9,17,13,31,48,0,0,0,27,40,64,277,261,537,44,7,54,1163,1176,2338
UCL514004,50,52,98,158,157,313,95,98,190,9,14,22,265,271,532,149,130,277,63,71,130,11,14,24,230,215,438,0,9,6,9,11,13,25,18,48,6,50,55,0,0,0,48,83,126,8,5,11,3,10,13,3,10,12,11,25,41,0,0,0,29,48,78,73,133,205,8,8,18,12,13,29,0,0,0,15,26,46,352,343,689,3,3,6,987,1034,2019
UCL515001,9,3,14,13,24,37,3,0,4,3,0,3,18,23,41,14,18,34,0,0,0,3,0,0,19,21,36,0,0,0,0,5,5,5,0,5,3,9,8,0,0,0,3,5,15,0,0,0,0,0,0,0,0,0,5,3,6,0,0,0,5,0,3,9,11,19,0,0,0,0,5,5,0,0,0,0,5,5,41,36,78,13,0,13,106,93,200
UCL515002,6,6,13,40,30,73,7,4,6,0,0,0,51,29,80,30,29,59,21,14,31,8,0,8,54,39,92,3,0,3,0,0,3,0,0,0,0,9,6,0,0,0,7,12,14,4,3,3,0,8,3,0,3,3,5,6,6,0,0,0,10,11,22,14,27,38,0,0,0,0,3,6,0,0,0,0,3,6,33,15,55,0,0,0,161,124,291
UCL515003,16,18,26,45,57,98,20,29,49,0,0,0,68,83,147,57,57,114,8,13,22,0,0,0,67,79,141,0,0,5,0,8,6,8,10,16,7,8,23,0,0,0,15,28,42,0,5,9,0,5,9,0,3,3,7,15,22,0,0,0,9,26,31,18,52,78,4,0,5,7,6,5,0,0,0,3,8,13,78,78,154,0,0,5,251,312,560
UCL515004,29,18,47,88,79,166,23,15,42,15,6,21,133,104,234,59,47,104,12,8,26,7,11,18,82,70,148,7,4,9,0,4,4,10,4,12,5,15,24,0,0,0,26,21,48,6,10,8,4,4,5,0,7,6,0,11,14,0,0,0,7,26,33,35,48,86,5,4,9,8,14,18,0,0,0,13,18,32,54,60,108,47,0,50,384,321,701
UCL515005,17,21,33,94,103,196,6,0,7,19,20,32,120,120,237,79,59,137,11,12,21,19,21,39,107,92,197,10,3,10,4,5,6,11,0,6,3,18,25,0,0,0,22,29,49,0,5,5,0,4,5,0,0,0,4,20,25,0,0,0,4,32,38,30,59,86,4,0,6,3,12,14,0,0,0,7,14,17,50,52,102,0,0,0,330,358,679
UCL515006,42,38,74,58,71,127,65,60,122,24,23,45,141,148,293,52,42,95,32,30,63,6,4,9,94,68,164,0,0,5,0,0,7,4,6,16,14,24,40,0,0,0,22,37,60,4,6,3,3,5,6,4,0,4,7,18,27,0,0,0,17,31,46,36,68,102,5,0,9,10,11,16,0,0,0,15,8,25,492,407,901,54,16,64,872,760,1627
UCL515007,22,25,49,125,103,229,10,3,7,11,19,30,150,121,275,47,53,100,4,11,16,7,7,16,62,68,127,0,0,0,4,0,6,3,0,5,7,21,27,0,0,0,7,25,38,0,0,3,0,6,8,0,0,0,3,15,18,0,0,0,5,22,33,16,49,68,0,0,5,7,6,13,0,0,0,8,6,17,96,106,200,4,5,9,350,388,742
UCL515008,17,15,31,84,66,143,9,6,6,3,0,10,92,71,162,22,23,44,22,29,55,0,0,0,44,56,97,0,0,0,0,0,0,5,0,13,4,9,11,0,0,0,19,6,26,0,0,0,0,3,3,0,4,4,0,12,15,0,0,0,0,16,22,19,24,45,0,0,0,3,6,5,0,0,0,4,6,9,72,82,150,5,0,5,243,243,489
UCL515009,19,24,44,80,67,141,0,5,3,27,26,55,106,97,204,134,117,256,4,8,10,3,8,10,142,132,276,5,0,14,3,6,9,3,0,9,8,32,40,0,0,0,31,40,69,0,5,5,0,4,8,0,6,6,8,22,25,0,0,0,3,34,39,35,69,110,3,0,7,6,6,10,0,0,0,9,10,18,155,164,317,5,7,4,473,503,972
UCL515010,30,24,52,73,76,154,40,23,66,3,8,7,118,107,225,48,36,87,0,0,0,4,0,5,54,40,93,0,0,5,0,0,0,0,4,4,9,16,21,0,0,0,8,19,33,0,4,8,3,7,10,0,8,7,5,12,22,0,0,0,11,27,41,24,52,74,0,0,0,6,9,10,0,0,0,3,9,12,417,480,901,4,4,8,649,719,1365
UCL515011,19,19,39,68,72,137,39,38,73,4,9,14,110,116,228,54,42,100,25,19,37,23,20,48,97,82,182,3,3,7,0,7,7,4,4,10,5,13,17,0,0,0,15,28,39,3,3,10,0,7,10,0,0,0,0,5,8,0,0,0,6,21,28,22,49,70,5,4,11,0,7,5,0,0,0,10,13,19,81,63,148,4,20,25,343,366,714
UCL515012,32,34,59,48,44,95,50,50,99,23,29,50,118,123,241,38,45,84,47,42,88,16,12,29,99,94,195,5,0,6,3,11,11,11,10,20,8,22,26,0,0,0,22,39,65,3,0,4,0,7,10,3,0,6,3,16,24,0,0,0,11,33,43,31,73,108,0,0,0,4,6,11,0,0,0,4,5,9,38,34,72,3,0,0,321,368,686
UCL515013,34,32,63,152,140,294,11,9,18,8,4,11,172,154,322,57,47,108,4,6,7,4,5,10,69,57,123,0,0,0,0,4,4,10,4,11,12,24,31,0,0,0,25,28,52,5,6,17,0,16,17,0,8,8,3,41,43,0,0,0,21,66,85,40,101,137,9,6,6,5,8,14,0,0,0,15,15,24,165,151,319,18,15,36,507,519,1025
UCL515014,8,5,13,52,31,85,0,0,0,0,3,5,51,36,92,11,17,29,0,0,0,0,4,4,11,19,30,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,3,8,11,0,0,3,5,3,7,0,0,5,3,10,14,0,0,0,5,14,27,9,25,36,0,0,0,0,5,5,0,0,0,3,4,3,121,127,248,3,5,4,201,222,431
UCL515015,22,18,32,61,50,113,44,36,86,8,12,20,119,95,213,50,51,99,20,21,39,11,14,21,80,83,162,0,4,3,0,11,10,10,9,12,11,19,31,0,0,0,20,42,62,3,0,5,0,3,3,0,0,3,7,8,11,0,0,0,12,11,19,29,54,85,0,0,0,9,7,14,0,0,0,7,7,9,106,93,199,7,6,13,366,357,716
UCL515016,7,8,18,61,51,113,0,0,0,0,0,0,61,48,118,33,24,60,0,0,0,0,0,0,36,24,57,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,5,5,16,0,0,0,4,4,9,0,0,0,3,3,4,0,0,0,4,13,17,9,17,30,0,3,7,0,3,0,0,0,0,0,9,6,66,74,145,8,0,8,194,182,381
UCL515017,12,11,21,40,39,79,0,0,0,0,0,3,39,41,87,33,20,51,0,0,6,3,0,0,36,20,57,0,0,0,0,0,0,7,0,4,0,3,6,0,0,0,10,7,20,4,0,5,0,0,4,0,0,0,0,9,8,0,0,0,4,12,19,12,16,31,0,0,0,4,4,6,0,0,0,4,4,6,160,151,313,7,3,13,268,253,521
UCL515018,8,14,23,68,63,135,0,4,4,4,6,5,73,74,148,35,38,76,8,9,23,0,4,5,49,53,99,0,7,3,0,0,3,3,0,3,7,18,22,0,0,0,15,22,32,0,0,0,0,3,0,0,0,0,4,4,12,0,0,0,6,14,15,15,32,55,0,0,5,0,4,3,0,0,0,3,6,9,124,131,255,0,0,0,277,306,586
UCL515019,26,25,53,120,112,233,19,20,40,8,7,8,145,141,285,96,84,182,0,0,0,5,11,16,109,94,202,4,3,8,0,8,10,15,15,26,9,31,40,3,0,3,33,54,89,0,7,7,0,7,7,0,0,3,0,9,16,0,0,0,7,23,33,43,80,122,3,3,10,3,10,10,0,0,0,9,13,21,235,187,423,3,0,3,571,539,1108
UCL515020,48,36,81,187,156,346,35,52,91,4,9,13,232,221,450,87,90,181,0,9,7,4,4,13,95,101,194,0,0,0,0,8,10,9,13,21,15,28,42,0,0,0,27,47,73,3,7,11,5,10,19,5,7,13,21,31,53,0,0,0,40,58,95,64,105,171,10,0,7,10,9,17,0,0,0,14,12,26,397,458,850,21,41,63,875,976,1847
UCL515021,11,11,27,42,34,83,4,3,7,9,18,23,56,56,111,67,31,97,3,3,7,16,20,35,91,53,140,9,0,10,0,0,4,13,5,21,0,5,5,0,0,0,18,20,40,0,0,0,0,3,5,5,0,3,10,6,16,0,0,0,11,14,29,31,36,60,0,0,0,0,8,12,0,0,0,0,10,12,27,21,48,0,0,0,214,185,402
UCL515022,39,29,68,138,140,276,42,32,69,0,0,6,182,170,351,131,97,229,23,20,43,0,4,6,156,124,281,4,5,9,3,4,5,18,12,27,11,22,30,0,0,0,36,38,70,0,6,4,0,10,6,0,0,5,8,11,18,0,0,0,8,26,37,46,65,108,4,7,10,3,8,14,0,0,0,11,13,24,105,92,199,13,3,17,546,500,1048
UCL515023,23,14,37,55,54,107,34,31,63,0,0,0,89,78,172,76,77,149,0,0,0,0,3,3,76,79,153,0,0,0,0,4,7,10,5,17,4,10,14,0,0,0,16,21,43,0,4,8,4,4,8,0,9,3,7,7,14,0,0,0,12,22,34,33,43,74,0,0,0,0,0,5,0,0,0,0,0,6,164,128,293,0,3,3,382,358,734
UCL515024,6,9,18,18,26,46,33,35,72,0,0,0,57,65,115,64,54,117,0,0,0,0,0,0,64,53,121,4,0,4,3,0,4,6,3,13,0,8,9,0,0,0,11,14,29,0,3,10,0,0,0,0,0,0,0,7,7,0,0,0,0,13,14,10,26,42,0,0,0,0,4,3,0,0,4,0,3,10,118,103,223,51,0,51,314,258,573
UCL515025,13,9,22,77,60,133,0,0,7,5,4,10,78,63,144,62,50,115,0,0,0,10,8,12,70,57,124,8,4,13,0,0,0,9,5,9,3,16,23,0,0,0,19,21,42,0,0,3,4,5,3,0,0,0,3,8,14,0,0,0,5,15,20,26,37,62,3,3,7,0,0,3,0,0,0,5,4,10,110,113,219,0,0,0,299,289,582
UCL515026,30,26,54,72,76,146,20,14,37,18,34,49,113,116,231,35,52,90,7,5,7,17,20,33,54,73,131,8,5,11,4,3,8,5,3,7,12,18,26,0,0,0,24,33,55,7,9,12,0,4,9,0,0,3,5,16,19,0,0,0,14,32,48,39,61,102,0,0,0,0,7,7,0,0,0,0,8,8,50,46,99,0,0,0,294,334,625
UCL515027,18,24,41,96,88,181,35,38,79,0,0,6,134,135,266,123,129,252,0,0,0,0,0,5,126,138,259,6,4,11,7,8,15,11,12,26,8,24,33,0,0,0,29,44,81,7,8,17,3,8,12,3,7,3,3,17,25,0,0,0,13,40,56,43,85,135,7,0,7,5,6,13,0,0,0,5,6,15,234,229,461,9,0,8,569,621,1189
UCL515028,48,43,92,235,199,433,0,0,0,12,13,21,242,209,450,111,111,222,0,6,6,4,8,14,119,125,238,11,3,9,3,14,15,13,7,23,28,38,65,0,0,0,45,63,107,0,4,7,3,9,15,0,7,8,17,31,49,0,0,0,26,44,72,75,106,180,0,4,4,3,24,23,0,0,0,3,26,32,359,258,616,16,11,28,864,775,1632
UCL515029,6,13,20,52,46,101,0,0,0,3,0,5,58,53,108,28,31,63,0,0,0,0,0,0,28,31,63,0,0,0,0,0,0,0,0,5,9,10,17,0,0,0,5,13,19,0,0,0,0,0,0,0,0,0,4,7,11,0,0,0,6,5,14,17,26,36,0,0,0,4,3,4,0,0,0,4,3,4,370,120,487,6,0,6,483,245,726
UCL515030,33,24,58,90,100,187,30,41,68,26,29,53,148,163,315,92,114,200,10,19,35,21,16,40,121,148,274,9,8,20,0,7,8,18,14,32,12,25,36,0,0,0,40,54,94,4,17,23,4,12,15,0,4,0,9,14,18,0,0,0,14,45,60,49,101,154,0,0,0,0,14,18,0,0,0,0,14,16,129,133,259,0,0,0,487,586,1075
UCL515031,23,12,37,73,75,146,3,0,6,0,3,3,72,78,154,49,25,75,24,40,65,7,12,16,82,74,154,0,3,5,0,5,5,4,5,11,0,10,13,0,0,0,10,21,34,0,0,3,0,7,7,0,3,5,3,9,14,0,0,0,6,21,27,17,45,64,4,5,5,3,9,8,0,0,0,8,10,15,209,151,360,0,0,4,406,382,787
UCL515032,16,8,29,57,42,99,10,6,20,7,10,22,75,63,137,46,37,77,9,0,8,19,14,32,71,46,117,8,0,7,0,0,0,13,9,23,0,7,9,0,0,0,20,22,38,6,11,16,0,5,4,0,0,5,0,7,7,0,0,0,8,20,34,26,40,72,4,3,3,5,4,6,0,0,0,3,10,9,31,39,68,0,0,0,227,206,429
UCL515033,35,40,75,212,178,388,0,0,0,3,0,5,218,175,399,73,74,147,0,0,0,3,4,8,78,76,153,3,0,3,0,3,5,3,0,5,5,11,23,0,0,0,21,19,34,0,5,7,3,7,7,0,0,0,14,22,38,0,0,0,18,33,49,35,51,84,0,0,3,9,10,15,0,0,0,10,6,18,291,193,486,13,6,17,684,554,1235
UCL515034,28,33,64,97,92,189,14,10,27,45,39,79,156,138,294,59,38,100,12,10,21,19,20,39,87,66,150,5,7,7,0,10,13,4,11,15,9,15,21,0,0,0,18,44,59,4,5,8,5,12,13,5,6,5,9,17,27,0,0,0,20,40,59,38,78,116,0,10,13,8,15,26,0,0,0,16,26,40,82,77,161,6,0,6,409,425,839
UCL515035,3,5,13,35,34,65,0,3,3,0,0,0,35,39,68,27,24,49,0,0,0,0,0,0,27,27,50,5,3,3,0,0,0,4,0,5,9,0,9,0,0,0,13,7,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,4,13,14,28,0,0,0,0,0,0,0,0,0,0,0,0,62,78,141,0,0,3,148,161,309
UCL515036,17,23,37,45,45,90,44,42,86,0,0,0,88,87,177,41,47,83,17,19,35,4,11,21,62,78,141,0,10,7,0,0,0,8,3,12,8,18,20,0,0,0,18,29,42,0,3,4,0,4,7,0,0,0,0,7,9,0,0,0,7,18,24,22,48,70,0,5,4,0,7,7,0,0,0,0,10,8,75,93,175,0,0,0,273,334,610
UCL515037,36,12,52,102,91,189,13,4,20,0,3,3,113,98,211,56,43,95,15,17,37,0,0,0,69,60,128,0,4,4,0,0,0,4,3,8,20,24,42,0,0,0,22,33,59,3,5,9,0,3,3,0,0,0,10,10,20,0,0,0,11,23,34,39,53,93,0,3,3,3,5,9,0,0,0,3,10,11,389,158,548,9,3,6,662,396,1058
UCL515038,10,10,17,61,59,121,8,10,21,5,12,18,76,77,150,40,42,79,14,11,29,0,4,10,50,57,115,0,0,3,0,0,4,0,0,5,3,8,11,0,0,0,8,15,22,5,0,3,0,5,5,0,4,4,4,12,9,0,0,0,8,15,20,13,32,45,0,0,0,6,9,10,0,0,0,6,9,10,112,94,213,0,0,0,272,277,552
UCL521001,0,5,7,21,17,36,3,0,4,0,0,0,26,19,43,24,8,33,0,0,6,0,0,4,24,17,41,3,3,8,0,0,0,3,0,7,3,6,10,0,0,0,12,8,21,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,5,6,10,11,28,0,0,0,4,0,4,0,0,0,4,0,7,8,3,12,0,0,0,74,55,133
UCL521002,5,5,9,37,17,52,0,0,4,3,0,3,39,18,59,13,20,31,0,4,7,6,0,6,20,24,41,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,3,6,10,0,0,0,0,0,3,0,0,0,0,5,5,0,0,0,0,6,4,0,11,16,0,0,0,0,0,0,0,0,0,0,0,0,42,38,86,0,0,0,106,105,213
UCL521003,4,0,8,17,17,33,0,0,0,0,0,0,19,15,36,10,12,24,3,8,12,0,0,0,15,15,33,0,0,0,0,0,3,0,0,0,0,7,7,0,0,0,4,5,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,11,5,8,9,0,0,0,0,0,0,5,12,9,44,43,86,0,5,4,89,98,191
UCL521004,0,4,9,45,41,97,0,0,0,0,0,0,47,41,97,24,14,42,0,0,0,0,0,0,24,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,9,18,0,0,0,85,88,174
UCL521005,11,12,23,55,50,108,0,0,0,0,0,3,58,50,115,22,29,52,0,0,3,0,0,4,25,29,52,0,0,0,0,0,0,3,0,4,4,11,8,0,0,0,5,9,19,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,8,0,9,13,14,29,5,4,3,0,3,0,0,0,0,6,4,5,53,51,106,0,0,3,161,167,333
