UCL_CODE_2021,M_Nat_Phy_Sci_15_24,M_Nat_Phy_Sci_25_34,M_Nat_Phy_Sci_35_44,M_Nat_Phy_Sci_45_54,M_Nat_Phy_Sci_55_64,M_Nat_Phy_Sci_65_74,M_Nat_Phy_Sci_75_84,M_Nat_Phy_Sci_85ov,M_Nat_Phy_Sci_Tot,M_IT_15_24,M_IT_25_34,M_IT_35_44,M_IT_45_54,M_IT_55_64,M_IT_65_74,M_IT_75_84,M_IT_85ov,M_IT_Tot,M_Egnr_rel_Tech_15_24_yr,M_Egnr_rel_Tech_25_34_yr,M_Egnr_rel_Tech_35_44_yr,M_Egnr_rel_Tech_45_54_yr,M_Egnr_rel_Tech_55_64_yr,M_Egnr_rel_Tech_65_74_yr,M_Egnr_rel_Tech_75_84_yr,M_Egnr_rel_Tech_85_yr_over,M_Egnr_rel_Tech_Tot,M_Arc_Bld_15_24_yr,M_Arc_Bld_25_34_yr,M_Arc_Bld_35_44_yr,M_Arc_Bld_45_54_yr,M_Arc_Bld_55_64_yr,M_Arc_Bld_65_74_yr,M_Arc_Bld_75_84_yr,M_Arc_Bld_85_yr_over,M_Arc_Bld_Tot,M_Agric_Env_Rel_Stud_15_24,M_Agric_Env_Rel_Stud_25_34,M_Agric_Env_Rel_Stud_35_44,M_Agric_Env_Rel_Stud_45_54,M_Agric_Env_Rel_Stud_55_64,M_Agric_Env_Rel_Stud_65_74,M_Agric_Env_Rel_Stud_75_84,M_Agric_Env_Rel_Stud_85_over,M_Agric_Envir_Rel_Stud_Tot,M_Hlth_15_24_yr,M_Hlth_25_34_yr,M_Hlth_35_44_yr,M_Hlth_45_54_yr,M_Hlth_55_64_yr,M_Hlth_65_74_yr,M_Hlth_75_84_yr,M_Hlth_85_yr_over,M_Hlth_Tot,M_Edu_15_24_yr,M_Edu_25_34_yr,M_Edu_35_44_yr,M_Edu_45_54_yr,M_Edu_55_64_yr,M_Edu_65_74_yr,M_Edu_75_84_yr,M_Edu_85_yr_over,M_Edu_Tot,M_Mgmt_Cmrce_15_24_yr,M_Mgmt_Cmrce_25_34_yr,M_Mgmt_Cmrce_35_44_yr,M_Mgmt_Cmrce_45_54_yr,M_Mgmt_Cmrce_55_64_yr,M_Mgmt_Cmrce_65_74_yr,M_Mgmt_Cmrce_75_84_yr,M_Mgmt_Cmrce_85_yr_over,M_Mgmt_Cmrce_Tot,M_Scty_Cul_15_24_yr,M_Scty_Cul_25_34_yr,M_Scty_Cul_35_44_yr,M_Scty_Cul_45_54_yr,M_Scty_Cul_55_64_yr,M_Scty_Cul_65_74_yr,M_Scty_Cul_75_84_yr,M_Scty_Cul_85_yr_over,M_Scty_Cul_Tot,M_Crtve_Arts_15_24_yr,M_Crtve_Arts_25_34_yr,M_Crtve_Arts_35_44_yr,M_Crtve_Arts_45_54_yr,M_Crtve_Arts_55_64_yr,M_Crtve_Arts_65_74_yr,M_Crtve_Arts_75_84_yr,M_Crtve_Arts_85_yr_over,M_Crtve_Arts_Tot,M_FoodHos_PsnlSvcs_15_24_yr,M_FoodHos_PsnlSvcs_25_34_yr,M_FoodHos_PsnlSvcs_35_44_yr,M_FoodHos_PsnlSvcs_45_54_yr,M_FoodHos_PsnlSvcs_55_64_yr,M_FoodHos_PsnlSvcs_65_74_yr,M_FoodHos_PsnlSvcs_75_84_yr,M_FoodHos_PsnlSvcs_85_over,M_FoodHos_PsnlSvcs_Tot,M_Mix_Fld_Prog_15_24_yr,M_Mix_Fld_Prog_25_34_yr,M_Mix_Fld_Prog_35_44_yr,M_Mix_Fld_Prog_45_54_yr,M_Mix_Fld_Prog_55_64_yr,M_Mix_Fld_Prog_65_74_yr,M_Mix_Fld_Prog_75_84_yr,M_Mix_Fld_Prog_85_over,M_Mix_Fld_Prog_Tot,M_Fld_stud_inad_desc_15_24,M_Fld_stud_inad_desc_25_34,M_Fld_stud_inad_desc_35_44,M_Fld_stud_inad_desc_45_54,M_Fld_stud_inad_desc_55_64,M_Fld_stud_inad_desc_65_74,M_Fld_stud_inad_desc_75_84,M_Fld_stud_inad_desc_85_over,M_Fld_stud_inad_desc_Tot,M_Fld_stud_ns_15_24_yr,M_Fld_stud_ns_25_34_yr,M_Fld_stud_ns_35_44_yr,M_Fld_stud_ns_45_54_yr,M_Fld_stud_ns_55_64_yr,M_Fld_stud_ns_65_74_yr,M_Fld_stud_ns_75_84_yr,M_Fld_stud_ns_85_yr_over,M_Fld_stud_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Nat_Phy_Sci_15_24_yr,F_Nat_Phy_Sci_25_34_yr,F_Nat_Phy_Sci_35_44_yr,F_Nat_Phy_Sci_45_54_yr,F_Nat_Phy_Sci_55_64_yr,F_Nat_Phy_Sci_65_74_yr,F_Nat_Phy_Sci_75_84_yr,F_Nat_Phy_Sci_85_yr_over,F_Nat_Phy_Sci_Tot,F_IT_15_24_yr,F_IT_25_34_yr,F_IT_35_44_yr,F_IT_45_54_yr,F_IT_55_64_yr,F_IT_65_74_yr,F_IT_75_84_yr,F_IT_85_yr_over,F_IT_Tot,F_Egnr_rel_Tech_15_24_yr,F_Egnr_rel_Tech_25_34_yr,F_Egnr_rel_Tech_35_44_yr,F_Egnr_rel_Tech_45_54_yr,F_Egnr_rel_Tech_55_64_yr,F_Egnr_rel_Tech_65_74_yr,F_Egnr_rel_Tech_75_84_yr,F_Egnr_rel_Tech_85_yr_over,F_Egnr_rel_Tech_Tot,F_Arc_Bld_15_24_yr,F_Arc_Bld_25_34_yr,F_Arc_Bld_35_44_yr,F_Arc_Bld_45_54_yr,F_Arc_Bld_55_64_yr,F_Arc_Bld_65_74_yr,F_Arc_Bld_75_84_yr,F_Arc_Bld_85_yr_over,F_Arc_Bld_Tot,F_Agric_Env_Rel_Stud_15_24,F_Agric_Env_Rel_Stud_25_34,F_Agric_Env_Rel_Stud_35_44,F_Agric_Env_Rel_Stud_45_54,F_Agric_Env_Rel_Stud_55_64,F_Agric_Env_Rel_Stud_65_74,F_Agric_Env_Rel_Stud_75_84,F_Agric_Env_Rel_Stud_85_over,F_Agric_Envir_Rel_Stud_Tot,F_Hlth_15_24_yr,F_Hlth_25_34_yr,F_Hlth_35_44_yr,F_Hlth_45_54_yr,F_Hlth_55_64_yr,F_Hlth_65_74_yr,F_Hlth_75_84_yr,F_Hlth_85_yr_over,F_Hlth_Tot,F_Edu_15_24_yr,F_Edu_25_34_yr,F_Edu_35_44_yr,F_Edu_45_54_yr,F_Edu_55_64_yr,F_Edu_65_74_yr,F_Edu_75_84_yr,F_Edu_85_yr_over,F_Edu_Tot,F_Mgmt_Cmrce_15_24_yr,F_Mgmt_Cmrce_25_34_yr
UCL513005,0,3,0,8,6,8,3,0,31,4,9,12,15,4,6,0,0,57,37,124,143,154,115,117,44,5,734,28,96,77,70,60,33,19,4,389,0,11,14,9,10,0,0,0,56,0,6,22,23,25,9,0,0,92,4,7,15,12,12,6,4,0,55,20,23,42,52,30,29,15,0,203,17,27,24,25,12,7,11,0,133,8,12,12,11,7,4,4,0,57,10,14,22,20,18,7,6,0,95,0,4,0,0,0,0,0,0,9,0,13,10,16,4,6,3,0,57,42,44,59,38,38,13,23,17,278,177,398,450,449,331,246,138,35,2230,0,8,10,8,3,5,3,0,37,4,0,3,7,7,7,0,0,22,0,11,17,7,3,0,0,0,48,0,5,3,3,0,0,0,0,16,3,12,13,3,7,0,0,0,32,21,88,89,83,66,37,19,0,408,9,68,97,66,39,29,17,0,324,22,96
UCL514001,0,0,6,0,0,3,0,0,12,7,4,8,0,3,3,0,0,23,51,127,129,119,131,103,51,11,713,8,32,23,14,20,10,13,3,126,0,12,7,6,9,7,3,0,43,6,0,6,7,13,9,0,0,42,0,0,4,0,7,9,0,0,29,12,11,14,12,3,9,4,0,74,4,7,10,11,5,8,0,0,33,0,0,0,0,0,0,5,0,4,0,8,6,17,9,3,4,0,55,0,0,0,0,0,0,0,0,6,0,4,0,3,4,4,4,0,29,43,56,49,47,48,46,33,25,343,133,260,263,247,262,209,121,35,1534,0,4,3,7,0,6,0,0,10,0,0,3,0,0,0,0,0,6,3,5,8,7,3,0,0,0,27,3,0,0,3,0,0,0,0,6,9,5,7,0,4,0,0,0,25,17,25,12,27,39,43,18,0,173,15,36,46,47,33,19,5,4,201,25,67
UCL514002,0,11,18,21,9,18,4,0,83,0,4,0,10,3,4,0,0,27,11,56,90,84,75,87,29,14,452,5,52,72,55,47,28,15,0,275,0,3,19,20,6,10,10,0,73,0,7,20,19,22,9,9,0,80,0,0,18,13,9,23,16,0,81,9,33,45,41,35,34,16,3,222,4,16,23,7,17,29,16,3,112,4,12,13,11,0,0,0,0,40,10,17,37,29,12,10,0,0,107,0,0,0,0,0,0,0,0,0,0,3,8,0,0,8,0,0,25,33,35,35,30,29,15,26,0,202,83,252,397,336,255,277,147,28,1765,0,4,17,13,4,9,0,0,48,0,0,0,4,0,0,0,0,6,3,3,6,3,3,4,0,0,29,0,3,13,3,0,0,0,0,24,0,7,17,12,6,0,0,0,40,5,49,66,67,56,39,34,7,329,4,37,80,67,44,69,16,5,325,13,59
UCL514003,3,8,26,20,8,20,6,0,86,9,10,14,9,7,0,0,0,43,20,70,63,98,54,55,22,5,390,12,44,75,38,42,27,0,0,245,6,25,38,25,16,10,10,0,117,6,8,15,24,15,5,0,0,72,0,7,21,15,18,8,11,3,86,9,41,40,23,30,21,11,3,173,6,24,26,14,10,9,7,3,101,3,8,9,12,10,6,0,0,52,12,39,51,31,18,9,5,0,152,0,0,0,0,0,0,0,0,0,0,0,7,11,6,4,0,0,32,35,61,53,53,47,33,12,11,301,111,354,424,367,275,203,79,32,1850,0,10,23,12,3,0,0,0,55,0,7,6,0,3,0,0,0,16,3,9,15,0,4,4,3,0,34,0,5,5,5,0,0,0,0,24,4,3,24,9,4,6,0,0,50,15,70,68,57,63,37,11,5,311,7,32,81,67,53,44,23,0,308,13,75
UCL514004,3,3,0,3,9,0,0,0,24,3,10,4,4,5,7,0,0,26,24,47,59,80,80,77,21,12,394,13,33,18,24,30,20,5,4,142,0,10,6,5,14,10,4,0,50,4,3,13,6,8,13,7,0,58,4,10,11,5,11,10,3,0,55,12,27,23,19,27,15,13,0,138,0,9,12,8,14,18,4,0,67,0,5,7,0,8,0,0,0,14,9,7,3,12,3,8,4,0,49,6,0,0,0,6,0,0,0,6,0,0,0,5,0,0,0,0,9,53,54,45,53,41,46,35,20,351,137,216,209,231,252,211,99,29,1382,3,3,9,6,3,3,0,0,26,0,6,0,3,0,0,0,0,12,0,3,4,7,0,5,0,0,23,0,5,7,0,0,0,0,0,7,4,0,7,10,0,3,0,0,30,14,29,35,30,46,33,10,5,203,5,25,36,27,37,21,10,0,172,26,41
UCL515001,0,0,0,0,0,7,3,0,9,0,0,0,0,0,4,0,0,3,0,8,6,11,25,28,19,7,101,3,3,7,3,7,8,4,6,43,0,0,0,4,8,3,3,0,13,0,4,0,0,0,3,0,4,23,0,0,0,0,5,8,6,0,20,0,0,0,3,7,12,7,0,32,5,0,0,0,3,6,0,0,10,0,0,0,0,0,3,0,0,10,4,4,6,0,4,0,6,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,4,0,9,7,4,9,10,8,4,48,10,27,28,32,66,96,56,22,338,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,5,0,0,6,4,19,24,12,4,64,0,5,3,7,9,14,7,8,53,0,10
UCL515002,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,11,17,24,29,33,16,6,0,136,0,3,11,7,7,8,0,0,28,0,0,0,0,4,3,5,0,7,0,0,4,0,9,0,0,0,15,3,0,0,0,6,0,0,0,14,0,0,0,9,6,7,0,0,29,0,4,0,0,0,3,0,0,7,0,3,0,0,0,3,0,0,6,0,0,0,6,3,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,15,7,0,0,0,3,35,23,40,58,55,67,45,15,3,305,0,0,9,0,0,0,0,0,12,0,0,0,0,0,5,0,0,5,0,0,0,5,4,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,10,0,5,8,9,14,5,0,0,48,0,4,12,17,11,9,3,0,58,4,8
UCL515003,0,4,0,0,0,5,0,0,12,0,6,4,0,0,0,0,0,9,4,20,26,28,35,50,11,0,175,7,7,6,11,11,15,5,0,67,0,4,4,3,6,4,0,0,26,0,4,3,5,0,3,0,0,21,0,0,0,7,5,7,0,0,20,0,0,11,6,9,16,9,0,51,3,5,0,8,3,8,0,0,30,0,0,0,0,13,5,4,0,19,0,0,0,0,7,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,6,15,9,18,17,15,8,3,89,25,63,70,87,110,128,52,15,550,0,7,3,0,0,0,0,0,14,0,0,0,0,0,8,0,0,5,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,8,3,3,0,0,20,0,10,10,14,18,24,11,0,79,7,12,11,18,16,20,0,0,91,9,7
UCL515004,6,0,0,0,0,0,0,0,14,4,3,6,0,0,0,0,0,11,21,59,26,25,25,13,6,0,185,4,7,11,7,3,5,0,0,39,0,8,4,4,0,0,0,0,18,0,5,3,0,0,3,0,0,11,0,0,5,0,4,0,0,0,10,13,7,7,6,0,5,0,0,34,6,8,4,0,5,0,0,0,15,6,5,0,0,0,0,0,0,8,0,4,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,9,11,8,3,0,3,60,72,134,64,55,44,39,10,0,429,3,0,0,4,0,0,0,0,16,0,0,0,4,0,0,0,0,4,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,4,0,6,0,0,0,0,10,5,23,16,6,11,7,0,0,70,0,8,15,6,0,0,0,0,39,12,27
UCL515005,0,0,0,0,3,0,0,0,3,0,0,5,0,0,4,0,0,8,5,33,25,31,25,25,11,0,159,7,11,11,13,8,7,0,0,53,0,4,9,6,7,0,0,0,24,0,0,5,0,0,3,0,0,10,0,4,3,5,4,4,0,0,14,4,3,3,7,0,3,4,0,29,0,8,5,8,8,4,0,0,28,3,3,0,4,0,0,0,0,8,4,0,10,4,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,7,0,5,11,9,4,7,4,56,34,68,75,95,60,62,22,4,421,0,0,3,7,0,0,0,0,11,0,0,4,0,0,0,0,0,4,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,5,5,5,0,0,0,0,14,0,20,27,13,16,14,3,0,96,0,11,13,17,12,4,0,0,66,7,23
UCL515006,0,10,6,5,3,6,0,0,28,4,0,3,0,0,5,0,0,10,20,56,48,57,76,92,39,11,393,8,21,26,19,19,30,16,3,134,0,3,5,9,6,6,3,0,46,4,8,5,11,9,8,4,0,46,0,0,8,4,10,13,3,0,54,8,7,20,14,21,21,13,6,108,0,14,7,7,5,10,0,0,52,0,5,0,3,0,0,0,0,8,4,8,5,7,7,5,4,0,41,0,0,0,0,0,0,0,0,0,3,3,4,6,0,3,0,0,21,79,89,71,74,71,66,34,9,487,133,226,209,221,239,273,113,17,1434,5,6,9,0,4,4,0,0,25,0,3,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,12,0,3,4,4,6,0,0,0,10,3,0,8,6,3,5,0,0,20,10,33,20,19,52,33,3,0,176,8,20,23,35,29,30,7,0,158,15,35
UCL515007,0,0,10,8,0,0,0,0,27,4,0,4,0,0,0,0,0,12,0,19,47,22,18,5,3,0,122,3,7,17,14,14,7,0,0,62,0,3,11,16,5,0,0,0,33,0,4,3,8,5,0,0,0,23,0,4,6,9,3,5,0,0,23,0,7,10,7,5,6,0,0,30,0,5,8,5,4,0,0,0,21,0,5,0,0,0,3,0,0,12,0,5,10,10,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,7,4,21,14,8,0,5,0,61,24,57,148,112,63,36,14,3,460,0,0,8,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,4,0,5,3,3,0,0,0,0,11,0,0,13,8,0,0,0,0,22,0,16,27,16,12,5,0,0,89,0,16,28,17,19,9,6,0,91,3,14
UCL515008,0,4,4,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,13,30,68,46,40,14,3,0,207,0,3,5,9,9,3,0,0,32,0,0,3,0,0,0,0,0,7,0,0,3,0,0,0,0,0,9,0,3,5,3,0,0,0,0,9,0,0,6,9,3,0,0,0,16,0,3,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,7,10,12,22,9,13,8,0,0,73,26,59,112,93,65,29,4,0,390,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,11,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,15,15,10,15,4,0,0,55,0,8,14,12,10,4,0,0,47,0,15
UCL515009,0,0,5,11,3,14,5,3,37,0,3,4,5,9,0,0,0,16,4,12,27,26,29,45,17,4,156,3,12,14,16,11,5,6,0,70,14,5,9,0,12,4,7,0,53,0,3,9,8,8,4,0,4,38,0,0,10,13,5,15,3,3,58,0,4,5,6,9,15,13,4,58,0,6,10,10,14,10,9,0,55,3,4,0,3,6,5,5,0,19,3,4,3,5,10,0,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,16,24,15,22,23,25,19,13,8,145,51,73,117,131,140,134,84,23,757,0,3,7,7,3,3,3,0,26,3,0,0,0,6,7,0,0,14,0,5,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,10,3,4,10,9,6,0,4,0,34,4,10,23,23,23,24,24,5,139,0,18,26,28,31,26,19,9,147,3,13
UCL515010,5,5,0,5,0,4,0,0,19,0,0,6,4,0,0,0,0,11,14,28,29,25,65,45,8,0,211,3,14,5,17,21,17,7,0,83,0,4,3,4,7,0,0,0,19,0,10,3,12,12,5,0,0,46,3,4,5,3,5,5,0,0,24,9,12,9,5,8,18,0,0,65,4,6,10,13,3,4,0,0,42,0,0,0,0,0,3,0,0,4,3,7,0,9,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,6,54,69,56,60,63,53,19,0,378,93,167,135,150,185,165,35,0,935,0,0,0,0,0,3,0,0,8,0,4,0,0,0,3,0,0,9,0,5,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,11,11,36,27,16,30,26,4,0,150,10,19,21,19,33,19,0,0,114,6,21
UCL515011,0,3,0,7,0,5,0,0,13,6,0,3,0,0,0,0,0,16,6,34,39,34,28,26,21,3,191,4,9,10,4,15,4,7,3,59,0,3,6,9,7,0,0,0,29,0,5,3,0,4,0,0,0,15,3,0,5,3,5,0,4,0,22,3,4,5,8,6,6,4,0,39,9,6,6,0,8,0,4,0,33,0,0,0,0,6,4,0,0,11,4,0,8,4,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,18,14,12,7,10,5,17,7,90,57,75,106,75,94,69,57,18,557,0,9,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,7,9,0,5,4,0,0,20,0,12,21,6,15,14,10,3,74,9,4,14,18,16,13,9,0,88,6,32
UCL515012,0,0,0,6,0,0,0,0,9,0,0,0,3,0,0,0,0,7,10,52,38,39,21,10,5,0,167,6,20,18,10,7,10,0,0,68,0,5,0,4,3,3,0,0,14,0,0,0,0,0,0,0,0,3,0,0,4,11,3,0,0,0,21,3,9,6,13,10,0,0,0,45,0,10,7,3,4,0,0,0,23,0,0,0,0,0,0,0,0,6,3,5,4,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,7,10,10,8,10,5,0,0,45,29,114,93,98,66,35,10,0,440,0,6,7,0,0,0,0,0,14,0,0,6,0,0,0,0,0,6,0,4,3,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,12,11,38,21,14,11,12,0,0,107,5,25,24,33,14,6,0,0,104,6,35
UCL515013,3,11,6,3,11,9,0,0,48,0,0,5,0,5,3,0,0,13,22,118,77,78,95,117,37,4,538,16,43,40,26,32,28,9,0,200,4,12,15,8,13,8,3,0,61,3,12,3,4,10,8,6,0,52,4,3,11,9,11,23,5,0,63,10,16,20,32,32,37,5,0,147,6,15,12,16,6,8,3,0,61,6,5,4,6,5,4,0,0,24,3,7,11,19,10,8,3,0,59,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0,3,0,24,26,32,25,20,38,29,15,6,193,94,279,242,219,260,277,96,13,1479,6,37,15,3,3,9,0,0,71,0,0,0,0,3,0,0,0,10,5,12,8,9,6,3,0,0,42,0,8,0,0,0,0,0,0,11,0,18,7,10,0,0,0,0,37,15,41,46,28,38,48,22,0,232,5,39,38,26,46,29,8,0,189,27,54
UCL515014,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,19,6,13,12,6,5,0,56,5,6,5,0,4,4,0,0,25,0,0,3,5,3,0,0,0,13,0,4,3,6,4,5,0,0,21,0,4,0,7,5,10,0,0,19,0,5,0,0,8,11,0,0,25,0,0,0,4,5,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,10,19,19,19,5,0,121,38,70,41,56,56,55,9,0,320,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,3,13,13,9,15,9,0,0,65,3,19,11,8,10,3,0,0,53,3,14
UCL515015,0,3,0,0,0,0,0,0,6,0,7,3,0,0,0,0,0,22,16,42,44,48,26,13,8,0,201,3,11,4,6,8,0,9,6,44,0,0,12,12,4,4,6,0,35,0,5,8,3,3,0,0,0,15,0,0,3,8,0,4,0,0,17,3,8,6,5,4,3,0,0,43,0,3,5,4,6,0,0,0,22,0,0,0,0,0,0,0,0,5,3,8,5,3,3,5,0,3,28,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,8,5,20,12,24,21,11,22,14,138,45,117,104,123,74,52,49,22,588,0,0,0,3,7,0,0,0,13,0,0,7,0,0,0,0,0,9,3,0,8,3,3,0,4,0,26,0,0,0,0,0,0,0,0,0,3,0,0,9,0,5,0,0,20,3,13,7,4,6,9,12,5,60,5,13,13,16,10,11,4,3,71,8,36
UCL515016,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,23,20,23,36,39,17,5,164,0,8,3,7,10,4,0,0,39,0,4,4,0,0,0,0,0,13,0,4,0,3,0,0,0,0,10,0,6,0,0,0,6,0,0,15,0,7,4,7,9,12,4,0,42,0,0,0,0,6,0,0,0,12,0,0,0,0,3,0,0,0,4,0,11,0,0,0,6,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,12,0,14,12,5,30,10,0,81,22,62,56,69,77,94,41,9,424,0,9,7,4,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,6,0,12,4,3,14,15,3,0,53,0,6,9,9,12,9,0,0,53,0,16
UCL515017,5,3,3,5,4,0,6,0,20,0,0,0,0,0,0,0,0,5,6,7,16,16,39,58,25,7,180,3,13,12,15,21,26,4,0,90,0,0,3,9,6,12,0,0,27,3,0,3,5,6,3,0,0,15,0,0,3,6,3,7,5,0,23,3,3,0,9,13,12,0,0,48,0,0,5,0,0,4,0,0,21,4,0,0,0,0,0,0,0,4,4,6,3,3,8,4,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,8,11,20,23,42,44,14,3,169,34,54,74,91,135,181,57,11,635,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,6,12,22,24,8,0,83,3,0,3,7,15,22,0,0,59,9,9
UCL515018,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,12,44,23,38,41,11,3,0,168,0,4,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,6,0,4,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,4,8,0,0,0,12,0,5,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,23,29,17,14,8,0,127,30,86,54,89,74,27,14,0,378,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,6,0,3,8,0,0,0,20,3,11,10,14,3,4,0,0,46,4,7
UCL515019,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,0,0,8,20,42,23,33,41,23,11,3,196,6,10,9,8,3,4,4,0,43,12,9,14,13,16,8,0,0,62,0,6,6,0,6,0,0,0,29,0,3,5,9,0,7,0,0,22,9,11,23,10,6,0,0,0,58,0,6,7,3,4,0,0,0,29,3,0,3,0,0,0,0,0,7,4,4,4,4,4,3,4,0,28,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,10,38,43,37,30,26,27,12,8,228,93,145,124,114,117,80,42,14,729,0,3,5,0,0,4,0,0,9,0,0,0,5,0,0,0,0,4,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,5,3,10,0,0,0,0,31,10,23,14,13,13,14,6,0,96,6,22,21,15,19,7,6,0,101,14,21
UCL515020,0,4,5,5,10,5,0,0,29,0,0,5,0,4,4,0,0,14,25,74,40,64,68,87,13,0,375,9,33,23,15,13,10,0,0,102,3,14,14,7,13,15,0,0,70,0,19,7,5,8,7,0,0,52,0,10,11,13,16,15,0,0,64,10,18,22,28,25,19,4,0,120,4,33,19,12,15,12,0,0,95,0,10,7,3,5,3,0,0,26,4,13,11,4,8,8,0,0,56,0,0,0,0,0,0,0,0,4,0,7,4,3,6,0,0,0,35,66,93,51,58,54,40,16,3,379,129,336,222,220,246,229,43,11,1432,3,8,7,6,3,3,0,0,35,0,0,3,3,4,0,0,0,11,4,10,3,0,0,4,0,0,29,0,6,0,0,4,4,0,0,12,0,12,7,7,0,0,0,0,33,12,77,44,31,58,28,3,0,254,7,46,28,42,43,29,4,0,199,14,64
