UCL_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
UCL513005,8,429,20,4,457,53,857,38,0,953,21,313,19,0,349,11,237,11,0,260,12,562,27,20,621,14,600,34,6,661,21,589,31,0,635,28,441,22,0,491,33,333,8,0,374,50,168,7,0,224,40,17,0,0,54,283,4550,220,32,5088,5,402,14,0,422,29,841,38,0,908,4,277,17,0,303,3,204,8,0,221,15,724,45,0,787,18,765,40,0,820,34,622,30,0,684,35,495,19,4,550,39,395,10,0,445,68,167,7,0,239,65,21,0,0,89,315,4921,230,6,5476,16,835,30,4,884,86,1701,75,0,1862,22,591,35,3,651,15,446,24,0,483,25,1288,70,22,1401,33,1363,72,6,1480,55,1213,59,0,1327,65,932,40,4,1044,74,728,19,0,827,115,337,14,0,464,103,42,0,0,146,600,9471,451,39,10565
UCL514001,5,205,25,0,237,34,387,35,0,461,10,173,24,0,204,5,166,7,0,184,12,327,34,0,374,4,354,46,0,403,26,336,41,0,402,45,405,29,0,481,53,405,36,0,498,44,176,22,0,239,25,24,19,0,64,260,2951,329,3,3539,0,144,22,0,166,16,374,26,0,420,0,169,24,0,192,4,135,9,0,156,15,369,28,0,415,17,345,40,0,397,27,401,23,0,459,37,424,23,0,484,40,364,20,0,426,43,167,31,0,245,30,36,32,0,98,240,2938,282,0,3457,7,350,46,0,404,51,765,71,0,880,13,341,43,0,398,14,303,22,0,338,26,698,68,0,788,20,698,85,0,801,56,735,68,0,860,85,830,55,0,966,91,770,57,0,926,82,340,49,0,480,56,58,47,0,163,496,5891,611,3,7000
UCL514002,0,194,11,0,206,18,521,31,0,566,8,186,10,0,196,0,75,8,0,85,0,277,27,4,310,4,436,32,0,476,4,408,21,0,430,9,315,24,0,344,8,381,8,0,400,26,168,18,0,213,10,30,0,0,43,87,2985,191,5,3271,0,221,10,0,238,4,506,29,0,539,3,143,10,0,153,0,67,8,0,76,5,348,33,0,383,4,555,36,0,600,5,465,22,0,494,8,374,25,5,400,18,410,25,0,450,20,180,12,0,220,21,35,0,0,51,81,3303,215,9,3603,0,416,26,0,447,20,1025,59,0,1106,9,327,20,0,357,0,144,13,0,160,9,619,59,5,693,3,988,74,0,1068,6,880,40,0,925,16,691,42,5,745,25,783,38,0,851,49,344,34,6,429,30,64,0,0,97,170,6287,404,12,6874
UCL514003,0,231,15,0,248,30,514,41,0,581,12,200,14,0,224,3,128,15,8,157,0,433,46,24,500,4,499,43,14,563,11,458,43,0,514,14,320,36,0,377,14,254,22,0,294,10,91,5,0,112,17,23,3,0,43,118,3161,278,44,3612,0,203,18,0,222,9,507,40,0,553,5,169,7,0,178,4,94,11,0,112,7,436,44,3,493,9,643,39,3,691,4,500,48,0,548,12,383,28,0,426,24,297,20,0,339,36,99,4,0,140,39,23,9,0,72,153,3351,257,7,3774,0,431,34,0,470,41,1019,79,0,1141,12,371,23,0,403,8,223,26,8,262,10,872,88,26,995,17,1140,77,20,1256,19,955,85,0,1061,22,705,69,0,796,37,553,40,0,629,51,191,9,0,246,59,49,8,0,120,274,6520,540,54,7388
UCL514004,4,179,22,0,202,28,372,47,0,440,3,203,24,0,229,10,148,22,0,172,7,295,48,0,363,18,267,41,4,325,17,305,51,0,368,31,354,39,0,426,44,323,35,0,399,44,143,17,0,204,29,28,8,0,68,226,2613,355,3,3203,3,160,22,0,185,17,386,56,0,455,3,188,12,0,204,0,148,25,0,168,11,323,28,0,354,10,331,43,0,387,23,353,51,0,433,36,412,34,0,481,43,327,27,0,399,52,156,27,0,235,60,37,15,0,118,260,2817,328,3,3414,10,343,42,0,386,44,752,106,0,895,7,383,39,0,432,11,292,38,0,339,19,621,79,0,715,28,603,76,6,711,44,657,95,6,798,63,764,75,0,903,87,648,63,0,794,97,297,43,4,437,88,72,22,0,188,490,5435,689,6,6616
UCL515001,0,20,0,0,26,4,26,9,0,31,0,11,0,0,11,4,16,0,3,18,0,29,4,3,39,0,33,3,5,44,0,46,8,0,54,4,88,5,0,92,16,124,6,4,147,12,66,0,0,86,16,25,0,0,48,58,491,37,13,602,0,14,3,0,18,0,33,4,0,36,0,12,0,0,12,0,9,0,0,12,0,30,4,0,36,4,41,7,0,48,4,64,4,0,76,3,98,3,0,104,4,146,7,0,155,10,62,0,0,78,19,23,4,0,54,42,549,41,0,632,0,39,9,0,47,0,58,6,0,68,0,26,0,0,26,4,19,6,3,31,3,64,7,3,77,4,81,10,5,91,6,110,10,0,128,8,185,5,0,198,18,273,13,4,300,24,135,5,0,166,41,48,4,0,98,103,1039,77,13,1228
UCL515002,0,32,0,0,34,0,87,8,0,96,0,30,5,0,31,0,19,0,0,23,0,52,4,0,57,3,75,13,0,90,5,76,6,0,78,9,80,0,0,92,5,74,0,0,80,3,26,0,0,22,0,0,0,0,6,31,547,32,0,612,0,30,4,0,29,0,63,6,0,62,0,28,0,0,28,0,24,0,0,27,0,67,4,0,68,0,73,4,0,72,0,83,0,0,87,9,88,0,0,95,6,84,0,0,87,0,22,0,0,22,6,0,0,0,8,22,553,15,0,586,0,62,3,0,64,6,145,12,0,165,0,59,5,0,59,3,44,0,0,49,0,115,11,0,126,3,148,9,0,165,8,159,4,0,167,15,167,3,0,192,13,156,0,0,164,3,44,0,0,49,6,5,0,0,10,47,1101,42,0,1199
UCL515003,0,38,0,0,44,12,105,10,0,121,4,38,4,0,44,3,35,0,0,36,0,75,9,0,88,6,79,6,0,91,3,112,21,0,136,6,137,13,0,155,12,173,6,0,196,12,70,6,0,94,22,4,0,0,29,77,868,82,0,1030,0,48,0,0,48,9,114,10,0,133,3,62,4,0,70,0,30,3,0,34,5,79,6,0,90,8,87,7,0,104,6,132,9,0,149,12,182,12,0,204,13,197,9,0,222,15,73,5,0,102,27,10,8,0,49,99,1024,72,0,1199,0,90,3,0,91,17,218,16,0,253,7,100,10,0,119,3,59,8,0,71,8,156,11,0,177,13,165,18,0,196,8,243,26,0,280,18,321,24,0,360,25,372,14,0,414,30,148,12,0,191,47,16,7,0,75,177,1892,156,5,2228
UCL515004,8,95,3,0,101,20,166,9,0,189,8,74,0,0,86,3,95,7,48,150,3,181,10,0,198,0,104,8,0,109,0,93,6,0,104,0,62,5,0,70,3,63,5,0,72,5,27,3,0,41,3,0,3,0,9,54,964,57,47,1131,0,75,6,0,83,8,147,10,0,159,0,48,3,0,57,0,63,4,0,68,3,189,5,0,202,3,129,6,0,137,10,119,8,0,136,3,82,6,0,86,5,67,0,0,76,9,16,4,0,27,3,4,5,0,11,39,946,61,0,1047,3,171,8,0,185,21,317,13,0,348,11,122,8,0,136,8,157,14,48,220,5,369,22,7,400,3,233,11,0,248,8,217,15,0,243,5,144,12,0,161,12,133,4,0,152,15,44,0,0,68,7,8,4,0,19,99,1908,121,50,2177
UCL515005,0,54,0,0,58,12,178,5,0,199,3,63,8,0,75,0,51,4,0,55,0,91,0,0,92,6,114,4,0,122,11,135,10,0,160,11,104,7,0,122,23,110,7,0,135,9,51,3,0,66,5,4,4,0,15,80,965,51,0,1091,0,69,0,0,68,0,160,8,0,174,4,66,5,0,80,0,39,3,0,42,4,117,6,0,127,7,145,4,0,161,6,159,8,0,169,9,133,6,0,150,15,106,8,0,124,13,43,0,0,60,13,12,0,0,20,73,1055,57,0,1181,0,127,3,0,128,19,343,13,0,372,8,133,16,0,150,0,93,6,0,102,4,208,6,0,215,10,263,11,0,287,17,295,21,0,330,16,237,18,0,271,36,215,10,0,265,23,100,5,0,127,19,16,4,0,36,155,2021,107,0,2276
UCL515006,0,132,33,0,164,12,204,58,0,272,0,82,33,0,112,3,91,36,15,143,3,205,81,18,304,4,207,59,14,286,10,268,69,7,354,15,320,52,0,393,25,424,45,0,492,29,193,20,0,243,11,36,0,0,50,114,2163,486,54,2816,0,105,34,0,136,5,202,46,0,249,4,68,20,0,92,0,97,42,7,140,5,234,64,5,305,4,214,54,0,270,15,254,50,0,306,17,347,56,0,417,27,368,29,0,426,34,146,12,0,194,25,17,5,0,40,120,2045,406,16,2586,0,239,65,0,305,16,405,106,0,523,4,155,49,0,209,3,187,81,22,287,4,436,146,26,614,9,422,116,13,560,18,521,110,11,664,28,670,106,0,805,52,792,74,0,919,63,340,36,0,437,32,47,8,0,88,233,4207,894,64,5401
