UCL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL514001,70,1009,1079,884,131,1014,341,32,375,325,28,353,135,14,144,66,5,66,1813,1218,3032
UCL514002,89,556,641,838,180,1024,382,43,423,402,41,448,127,17,145,35,5,42,1880,838,2721
UCL514003,85,685,767,745,202,947,435,60,494,390,52,436,143,15,155,52,9,51,1833,1023,2854
UCL514004,65,869,945,773,144,922,302,43,341,256,39,296,124,15,143,90,12,102,1617,1130,2740
UCL515001,7,229,240,225,61,286,52,4,60,22,5,24,11,0,12,5,0,5,316,306,623
UCL515002,18,142,162,195,22,217,50,3,55,62,0,61,35,3,31,0,0,3,359,174,527
UCL515003,21,320,345,364,51,415,103,9,112,75,3,76,41,8,45,18,0,16,622,387,1009
UCL515004,26,142,172,209,27,234,129,7,135,120,9,127,50,0,53,30,0,30,568,182,752
UCL515005,36,214,252,298,59,351,148,7,152,101,5,106,58,0,61,22,3,27,654,284,942
UCL515006,43,620,660,418,524,947,172,50,225,159,55,214,58,29,87,49,16,63,889,1296,2184
UCL515007,20,108,129,187,38,224,126,15,136,148,16,167,38,4,50,13,0,17,539,183,718
UCL515008,12,86,96,103,50,149,67,15,80,73,0,80,44,4,50,20,4,21,317,157,477
UCL515009,43,496,539,377,106,487,111,29,143,96,14,113,46,14,54,18,5,20,697,657,1354
UCL515010,29,415,442,205,314,515,96,62,164,75,30,108,46,33,78,66,16,83,512,871,1384
UCL515011,27,303,328,381,40,423,124,11,134,121,8,125,50,0,55,32,8,35,725,374,1101
UCL515012,37,124,162,225,31,255,141,4,156,129,4,133,59,3,60,18,0,19,615,171,782
UCL515013,46,304,352,270,545,808,139,62,200,139,81,227,65,28,92,29,33,62,684,1052,1738
UCL515014,8,150,157,72,130,201,32,5,35,39,4,42,26,4,30,25,4,28,199,289,487
UCL515015,18,368,388,344,41,379,150,10,159,123,10,127,68,0,63,26,3,33,724,429,1161
UCL515016,26,228,260,248,77,325,66,17,77,58,10,69,18,0,18,5,0,8,433,333,763
UCL515017,10,229,238,185,300,487,54,26,83,39,26,61,15,9,19,5,4,16,310,594,905
UCL515018,17,206,222,180,48,232,83,22,103,75,15,93,24,7,35,16,0,18,407,299,705
UCL515019,22,416,442,413,86,499,170,24,198,135,14,155,63,13,72,71,10,81,870,571,1441
UCL515020,45,675,725,319,400,718,208,77,285,171,55,225,98,25,123,79,13,95,921,1246,2163
UCL515021,22,185,204,228,12,242,77,4,82,83,0,85,45,0,47,9,0,9,465,202,669
UCL515022,36,622,657,510,76,590,191,18,203,174,15,189,91,4,96,41,3,39,1046,730,1776
UCL515023,19,382,408,284,70,353,120,30,148,94,13,103,39,5,42,21,3,18,575,501,1067
UCL515024,15,237,253,169,50,225,73,15,84,59,15,73,28,0,27,10,8,19,358,326,685
UCL515025,18,251,269,221,48,267,99,8,109,61,13,72,38,6,45,20,4,22,455,329,782
UCL515026,23,114,139,241,25,271,124,11,137,126,0,126,76,7,76,34,0,34,623,162,786
UCL515027,36,609,645,425,103,529,178,30,207,126,19,147,70,10,83,35,0,32,863,779,1647
UCL515028,40,532,571,323,109,431,203,37,243,212,38,250,106,12,118,64,15,80,942,748,1687
UCL515029,20,132,152,96,26,124,37,7,47,44,10,53,23,4,26,10,0,11,232,178,411
UCL515030,32,400,430,473,50,530,185,27,208,174,10,185,70,10,78,52,3,53,986,499,1490
UCL515031,51,451,499,404,153,559,127,22,147,109,19,126,48,8,57,17,0,15,746,652,1401
UCL515032,13,71,80,160,13,169,72,8,79,82,4,90,41,0,43,32,0,32,405,93,497
UCL515033,32,234,267,179,60,238,110,25,138,163,25,191,92,11,109,45,15,58,620,370,993
UCL515034,41,319,360,323,41,364,151,6,160,125,0,129,65,6,73,28,8,41,745,382,1127
UCL515035,8,235,242,203,40,238,49,3,53,35,7,36,6,6,18,19,3,15,313,287,601
UCL515036,18,298,314,321,35,364,103,8,110,98,6,101,47,0,47,28,0,26,620,346,967
UCL515037,7,151,158,108,40,151,88,16,109,88,24,109,67,14,80,27,7,35,397,247,644
UCL515038,27,394,417,375,75,448,114,15,124,68,7,73,36,0,35,19,0,19,633,488,1120
UCL521001,0,43,47,66,7,70,25,0,32,24,0,30,14,0,14,4,0,4,137,57,194
UCL521002,10,59,68,111,14,126,36,4,35,43,4,46,13,3,15,11,0,11,218,84,303
UCL521003,8,174,183,135,27,161,41,4,39,21,5,23,9,3,13,4,0,8,216,210,427
UCL521004,0,27,27,27,6,35,20,0,21,26,0,26,19,0,24,29,0,29,126,37,159
UCL521005,18,134,153,132,18,145,62,12,75,52,4,55,24,5,26,10,0,10,292,169,463
UCL521006,12,76,88,130,15,140,49,0,48,44,0,41,26,3,26,5,0,5,255,98,349
UCL521007,3,89,91,90,21,106,24,3,23,14,9,23,0,0,0,6,0,6,134,118,259
UCL521008,0,86,91,61,12,75,23,7,23,17,7,23,7,0,9,7,0,7,114,111,224
UCL521009,0,90,98,65,22,89,17,0,17,18,0,15,14,4,12,7,0,7,122,115,236
UCL521010,11,84,96,107,15,125,39,3,46,36,0,36,13,4,15,6,0,6,217,108,328
UCL521011,12,33,44,57,4,61,29,0,29,55,0,51,16,0,16,5,0,5,177,36,213
UCL521012,5,100,108,90,15,109,22,0,28,20,0,20,0,0,0,5,0,5,150,117,271
UCL521013,10,70,79,94,14,102,54,11,65,53,3,55,25,6,26,4,0,4,242,95,338
UCL521014,12,133,142,95,35,131,33,6,41,20,12,27,9,7,12,5,0,5,175,189,360
UCL521015,8,121,128,103,9,116,20,6,29,16,4,15,5,0,6,3,0,3,156,138,298
UCL521016,10,109,117,73,16,84,28,4,39,28,6,30,16,0,16,8,0,11,157,133,290
UCL521017,3,62,67,70,15,86,33,5,41,31,5,37,17,0,19,12,0,13,164,98,263
UCL521018,5,49,54,73,8,81,28,0,34,33,0,33,6,0,6,5,0,5,155,61,214
UCL521019,10,171,183,94,409,504,23,38,59,21,31,51,3,8,14,3,4,12,161,652,820
UCL521020,4,52,65,111,11,124,47,0,50,28,0,28,12,0,12,13,0,13,218,67,284
UCL521021,13,65,81,104,25,124,42,3,45,52,4,56,17,0,19,14,0,14,237,97,332
UCL521022,14,70,85,66,31,97,38,8,42,43,5,47,12,0,15,0,0,0,168,115,284
UCL521023,0,71,71,68,8,71,20,5,25,31,4,32,10,0,7,13,0,13,134,89,220
UCL521024,4,205,210,85,84,169,70,12,83,52,5,64,22,3,26,61,6,66,297,311,615
UCL521025,17,157,174,102,20,128,35,0,37,31,6,32,12,0,17,4,0,4,199,182,379
UCL521026,3,56,60,100,14,113,47,3,51,39,0,42,15,5,14,13,0,15,225,68,297
UCL521027,3,131,135,66,40,110,25,6,30,26,17,44,12,0,15,5,0,3,139,199,333
UCL521028,3,139,138,115,17,134,34,4,38,29,5,33,10,0,10,10,3,9,189,170,362
UCL521029,4,154,160,101,22,123,41,3,37,38,5,37,9,0,12,13,0,13,207,188,393
UCL521030,9,147,160,107,46,149,16,3,24,14,3,20,8,0,8,0,4,9,158,205,365
UCL521031,8,136,144,46,57,100,22,5,25,12,0,11,10,0,10,14,3,17,100,206,308
UCL521032,9,101,106,50,23,72,33,8,43,17,5,24,9,5,12,21,0,19,133,146,276
UCL521033,4,125,129,44,72,113,8,12,18,7,12,23,5,10,13,3,10,10,70,239,306
UCL521034,4,53,56,93,11,98,53,0,56,38,5,46,14,0,14,11,0,11,216,65,281
UCL521035,0,82,83,84,25,110,20,8,26,14,3,17,3,0,4,5,0,4,136,110,250
UCL521036,7,144,156,67,27,97,20,0,21,14,0,14,6,3,11,4,0,4,114,182,297
UCL521037,9,121,124,113,16,133,63,4,67,50,3,49,16,0,20,11,0,11,263,145,406
UCL521038,6,133,141,106,33,136,31,3,36,15,9,23,15,0,15,11,0,9,180,180,365
UCL521039,13,80,87,108,25,128,44,7,49,40,0,40,16,0,16,5,0,5,227,108,332
UCL521040,4,120,121,87,192,280,41,19,54,33,13,47,23,4,25,3,4,8,193,351,540
UCL521041,0,20,23,6,5,11,9,0,10,10,0,10,4,0,4,4,0,4,36,27,65
UCL521042,10,94,100,77,30,105,32,0,27,23,4,29,7,0,13,0,0,3,141,131,276
UCL521043,11,44,60,82,8,95,12,0,20,23,0,29,10,0,9,3,0,3,149,58,208
UCL521044,10,141,148,112,19,130,21,0,26,27,0,25,9,0,9,9,0,9,188,161,344
UCL521045,7,104,111,80,30,105,18,6,24,9,4,12,5,0,5,5,4,11,122,148,271
UCL521046,6,45,54,55,21,78,17,4,25,29,3,34,24,0,28,19,0,19,152,77,231
UCL521047,3,131,131,74,19,87,14,0,15,16,5,19,10,0,8,4,0,4,122,150,274
UCL521048,12,175,188,149,25,169,36,6,45,30,3,32,9,0,13,4,0,4,245,215,458
UCL521049,0,56,55,20,7,26,15,0,21,14,0,15,18,0,18,28,0,28,99,63,161
UCL521050,7,131,134,97,27,123,24,4,30,29,3,30,13,0,15,6,0,6,172,155,333
UCL521051,5,111,115,108,20,124,48,0,53,33,3,39,20,6,23,14,0,14,223,129,360
UCL521052,3,103,108,56,59,109,30,8,39,28,6,26,18,6,20,20,0,20,148,180,325
UCL522001,0,29,29,10,3,15,12,5,17,10,0,10,11,0,11,32,0,32,81,36,118
UCL522002,3,58,56,53,11,58,9,0,11,5,0,5,4,0,4,0,0,0,76,68,142
UCL522003,0,27,29,20,3,24,16,0,15,12,0,12,16,0,16,13,0,13,73,35,105
UCL522004,0,15,15,10,0,9,11,0,10,15,0,15,12,0,17,12,0,12,61,16,81
UCL522005,0,36,36,13,7,14,13,0,11,19,0,19,16,0,15,8,0,8,65,42,112
UCL522006,6,21,27,51,4,47,22,0,23,28,0,28,17,0,17,7,0,7,128,24,146
UCL522007,0,50,51,36,12,45,5,0,9,3,0,3,0,0,6,0,0,0,47,66,109
UCL522008,3,30,31,40,8,40,9,0,7,11,0,10,6,0,8,0,0,0,58,40,98
UCL522009,5,31,34,40,8,43,16,0,24,13,3,19,10,0,10,3,0,3,97,36,134
UCL522010,0,21,21,32,4,33,16,0,16,29,0,29,10,0,10,3,0,3,90,18,108
UCL522011,0,74,74,46,8,57,9,5,16,14,0,14,3,0,3,0,0,4,73,93,162
UCL522012,6,78,76,73,47,116,13,0,22,13,0,13,11,0,11,0,0,0,118,126,245
UCL522013,6,33,32,56,9,64,26,0,30,24,0,24,9,0,9,5,0,5,123,40,160
UCL522014,4,10,14,28,0,26,14,0,14,8,0,8,6,0,6,7,0,7,64,15,77
UCL522015,0,62,62,15,227,243,0,27,28,3,32,31,4,7,14,0,10,10,27,363,383
UCL522016,0,54,50,38,8,49,14,0,15,9,0,8,5,0,6,3,3,6,72,63,131
UCL522017,10,40,46,66,6,69,23,0,23,13,0,16,3,3,5,9,0,9,111,52,166
UCL522018,0,88,88,18,31,44,0,4,4,0,0,0,0,5,5,0,3,3,19,123,147
UCL522019,3,38,38,26,8,34,0,0,0,0,0,0,7,9,10,0,3,0,38,55,96
UCL522020,0,21,23,21,10,31,13,0,16,15,4,15,6,0,6,5,0,4,54,37,94
UCL522021,0,81,80,52,10,58,15,0,18,8,0,8,9,0,9,3,0,3,89,89,174
UCL522022,3,45,51,32,7,38,6,3,13,7,5,14,0,0,0,3,0,3,53,61,114
UCL522023,3,55,53,46,16,61,16,4,21,10,0,10,7,0,7,3,0,5,83,72,155
UCL522024,3,36,42,65,3,65,7,0,7,7,0,7,0,0,0,0,0,0,83,40,126
UCL522025,5,100,108,59,24,86,16,4,18,15,0,22,6,0,6,0,0,0,104,128,230
UCL522026,9,51,59,77,19,90,10,0,10,4,0,4,0,0,0,0,0,0,91,73,168
UCL522027,3,74,75,47,8,56,16,0,13,12,0,13,8,0,6,3,0,3,89,83,170
UCL522028,3,29,29,26,12,37,0,3,3,0,0,0,4,0,4,3,0,3,39,40,73
UCL522029,0,34,34,36,0,38,21,0,24,20,0,20,9,0,9,9,0,13,99,38,140
UCL522030,0,54,52,29,5,32,9,3,10,14,0,13,5,3,9,0,3,5,62,69,129
UCL522031,0,17,17,3,0,3,11,0,6,11,0,11,12,5,16,14,0,14,48,19,68
UCL522032,0,30,30,10,11,22,10,4,15,7,0,7,8,0,8,27,0,27,68,40,110
UCL522033,9,92,99,67,12,79,23,0,28,11,0,10,0,0,0,4,0,4,107,109,215
UCL522034,0,12,12,3,0,3,0,0,0,3,0,3,3,0,3,15,0,15,28,12,43
UCL522035,9,55,57,23,12,35,11,0,11,9,0,9,4,0,5,0,0,0,55,62,119
UCL522036,5,51,56,32,0,39,11,0,11,7,0,11,4,0,4,0,0,0,52,58,107
UCL522037,3,45,47,35,6,46,8,3,8,14,0,17,3,0,3,0,0,0,67,59,126
UCL522038,3,78,83,49,10,64,17,0,17,29,0,29,11,0,11,0,0,0,115,91,204
UCL522039,6,78,85,31,11,43,11,0,18,12,0,12,0,0,4,6,0,6,78,101,173
UCL522040,12,36,44,48,6,51,3,3,9,0,0,0,0,0,0,0,0,0,63,52,116
UCL522041,7,56,60,42,13,57,10,0,15,13,3,19,0,0,0,8,0,7,75,78,155
UCL522042,6,39,41,38,20,58,7,0,13,17,10,29,7,3,10,4,0,5,81,68,153
UCL522043,0,16,18,21,0,23,12,0,12,19,0,19,10,0,10,23,0,27,85,16,99
UCL522044,0,49,56,14,54,64,0,3,3,0,0,0,0,0,0,4,0,4,23,103,130
UCL522045,0,15,15,10,0,11,6,0,6,14,0,14,8,0,8,8,0,12,48,14,56
UCL522046,0,59,59,34,42,76,10,5,20,8,0,8,4,0,7,0,0,5,62,105,167
UCL522047,7,74,84,37,33,78,15,3,15,9,3,9,7,3,9,4,4,8,80,126,203
UCL522048,3,54,61,37,15,58,6,4,13,8,0,13,5,0,5,3,0,3,72,81,151
UCL522049,4,78,78,26,40,63,8,5,10,13,5,17,4,4,11,0,0,5,52,135,187
UCL522050,6,60,66,56,21,78,28,3,27,14,3,18,4,0,4,0,0,3,100,87,188
UCL522051,3,15,17,37,3,42,22,0,18,4,0,4,6,0,6,4,0,4,73,21,94
UCL522052,0,23,23,6,11,14,3,0,5,0,0,0,0,0,0,7,0,13,22,32,56
UCL522053,0,11,11,4,7,6,10,0,15,4,0,4,6,0,6,9,0,9,36,16,54
UCL522054,0,54,53,23,13,36,8,6,12,9,0,9,0,0,0,0,0,0,44,75,113
UCL522055,0,51,47,30,145,181,8,3,13,12,3,15,3,0,7,0,0,0,60,204,263
UCL522056,3,54,57,38,14,50,24,0,27,13,0,14,5,0,5,6,0,6,87,65,148
UCL522057,0,81,84,19,52,72,0,11,11,3,12,12,0,0,3,0,0,0,24,159,184
UCL522058,0,39,45,28,10,40,9,0,10,7,0,7,4,0,4,9,0,9,61,54,117
UCL522059,0,55,55,42,17,59,11,5,16,7,0,12,3,0,5,5,3,6,75,81,158
UCL522060,0,17,21,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,12,17,25
UCL522061,8,88,94,61,20,83,4,0,6,7,3,6,3,5,3,0,0,0,81,112,196
UCL522062,0,10,10,12,0,11,11,0,12,11,0,11,11,0,11,10,0,10,47,12,59
UCL522063,0,17,17,4,8,13,4,0,0,8,0,8,3,0,3,13,0,13,30,22,53
UCL522064,0,40,40,6,11,16,12,0,15,3,0,3,11,0,11,38,0,38,70,57,125
UCL522065,0,41,42,31,18,51,5,3,9,4,0,4,5,4,7,0,0,0,54,58,113
UCL522066,4,63,69,41,21,58,11,0,16,13,4,21,16,0,14,9,0,9,94,89,180
UCL522067,0,39,39,14,4,24,0,3,10,0,0,0,6,0,5,6,0,7,26,54,85
UCL522068,8,35,41,51,3,51,26,3,30,23,0,27,7,0,9,3,0,3,118,45,167
UCL522069,4,85,84,34,19,53,14,3,18,6,0,6,0,0,0,0,0,0,60,102,166
UCL522070,3,32,41,53,9,61,14,0,15,18,0,12,8,0,8,7,0,7,97,45,141
UCL522071,0,16,16,16,4,22,10,0,10,6,0,6,15,0,15,33,0,33,78,19,95
UCL531001,1570,13280,14848,18760,7110,25871,7082,969,8052,6619,896,7507,3380,448,3822,1996,191,2187,39395,22891,62293
UCL579997,0,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
