UCL_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
UCL521023,10,63,73,31,28,203,18,220
UCL521024,198,221,82,21,15,534,83,615
UCL521025,15,173,118,27,15,346,35,379
UCL521026,4,55,119,56,42,280,18,297
UCL521027,7,90,73,34,23,223,112,333
UCL521028,29,110,99,51,33,325,34,362
UCL521029,32,128,121,38,32,354,38,393
UCL521030,17,133,110,49,24,324,39,365
UCL521031,32,77,56,32,7,211,95,308
UCL521032,38,101,57,16,13,226,45,276
UCL521033,13,86,45,13,14,173,136,306
UCL521034,3,42,91,58,66,266,11,281
UCL521035,14,90,81,22,21,232,22,250
UCL521036,21,123,62,15,15,239,60,297
UCL521037,14,155,138,43,31,386,23,406
UCL521038,8,101,116,49,29,305,59,365
UCL521039,5,93,129,65,17,306,25,332
UCL521040,26,207,131,45,18,420,114,540
UCL521041,10,31,8,3,0,60,3,65
UCL521042,20,109,96,28,15,260,18,276
UCL521043,0,58,105,25,10,197,14,208
UCL521044,27,127,108,36,22,317,32,344
UCL521045,13,83,68,28,13,202,67,271
UCL521046,46,62,68,24,13,211,18,231
UCL521047,23,101,87,27,18,251,20,274
UCL521048,23,169,129,35,33,393,59,458
UCL521049,97,39,10,4,0,150,15,161
UCL521050,11,121,125,46,8,317,17,333
UCL521051,14,113,105,52,42,323,33,360
UCL521052,65,121,71,16,6,275,49,325
UCL522001,68,37,13,0,0,112,4,118
UCL522002,0,66,43,14,3,135,8,142
UCL522003,20,51,18,11,0,97,8,105
UCL522004,51,17,0,4,0,74,0,81
UCL522005,32,42,9,8,3,95,14,112
UCL522006,0,23,55,43,25,145,4,146
UCL522007,0,37,44,15,9,105,6,109
UCL522008,0,30,31,10,12,87,14,98
UCL522009,0,16,48,32,16,123,8,134
UCL522010,0,16,45,20,24,108,0,108
UCL522011,4,48,57,15,3,133,31,162
UCL522012,6,77,98,32,10,227,18,245
UCL522013,0,24,65,29,29,151,12,160
UCL522014,0,8,26,12,19,70,0,77
UCL522015,22,238,70,14,9,355,31,383
UCL522016,4,56,32,16,12,112,22,131
UCL522017,5,41,51,33,27,150,9,166
UCL522018,9,35,25,10,4,83,67,147
UCL522019,6,34,32,6,4,76,20,96
UCL522020,22,45,17,8,0,87,4,94
UCL522021,10,67,66,20,9,165,9,174
UCL522022,3,39,39,3,9,102,19,114
UCL522023,11,57,44,18,12,144,13,155
UCL522024,4,55,49,16,0,125,0,126
UCL522025,7,85,65,26,10,196,35,230
UCL522026,3,60,58,25,5,163,6,168
UCL522027,8,57,61,25,11,163,8,170
UCL522028,0,28,31,6,3,74,4,73
UCL522029,3,50,45,25,15,133,3,140
UCL522030,10,49,35,16,9,116,17,129
UCL522031,26,27,15,0,0,66,0,68
UCL522032,67,20,3,0,0,91,16,110
UCL522033,3,83,78,21,12,200,19,215
UCL522034,17,15,0,3,0,36,3,43
UCL522035,9,39,43,10,3,104,11,119
UCL522036,3,51,32,11,5,100,8,107
UCL522037,5,42,51,16,7,111,16,126
UCL522038,8,69,85,18,5,193,9,204
UCL522039,22,65,29,14,4,135,35,173
UCL522040,0,36,43,25,8,110,7,116
UCL522041,8,47,45,28,12,137,20,155
UCL522042,17,58,33,6,0,116,34,153
UCL522043,55,34,8,0,5,101,3,99
UCL522044,4,71,17,6,3,109,22,130
UCL522045,32,21,3,0,0,60,0,56
UCL522046,5,42,42,12,9,115,49,167
UCL522047,8,65,58,16,6,155,49,203
UCL522048,5,58,47,17,11,128,23,151
UCL522049,8,73,35,21,8,140,45,187
UCL522050,8,61,74,16,7,166,27,188
UCL522051,0,14,30,24,18,88,7,94
UCL522052,17,23,5,3,0,50,4,56
UCL522053,21,7,3,4,0,37,13,54
UCL522054,4,42,21,5,9,73,35,113
UCL522055,3,87,69,13,9,184,79,263
UCL522056,6,65,46,14,12,140,7,148
UCL522057,120,12,7,0,0,143,42,184
UCL522058,6,44,21,20,3,103,14,117
UCL522059,6,64,39,10,8,132,26,158
UCL522060,10,11,0,0,0,21,3,25
UCL522061,8,92,68,12,0,182,19,196
UCL522062,42,20,0,0,0,59,0,59
UCL522063,23,13,3,0,0,43,9,53
UCL522064,36,33,9,9,6,88,33,125
UCL522065,6,28,47,6,7,89,25,113
UCL522066,8,51,62,21,6,154,31,180
UCL522067,14,30,10,0,4,63,19,85
UCL522068,0,30,64,23,28,152,15,167
UCL522069,8,71,49,14,0,148,15,166
UCL522070,0,38,57,24,8,137,10,141
UCL522071,56,24,6,0,0,87,12,95
UCL531001,1618,13824,19454,10991,10501,56381,5911,62293
UCL579997,11,0,0,0,0,13,0,13
