UCL_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL513005,4,10,123,1217,2026,203,24,168,3777,0,0,45,32,0,0,0,6,84,0,0,0,17,0,0,0,0,15,0,0,45,49,6,0,0,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,18,162,1267,2031,203,24,176,3889
UCL514001,9,15,331,1284,827,86,9,207,2764,0,19,20,50,10,0,0,16,124,0,0,0,0,0,0,0,0,0,0,19,20,50,10,0,0,16,124,0,6,59,36,0,0,0,11,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,59,36,0,0,0,11,116,4,6,5,4,0,0,0,7,23,0,4,0,0,3,0,0,3,6,15,46,412,1379,844,86,9,239,3032
UCL514002,6,18,96,801,1225,108,24,127,2405,0,8,21,74,61,4,0,9,190,0,0,5,36,35,6,0,3,89,0,9,24,113,96,10,3,17,273,0,0,17,8,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,17,8,0,0,0,0,25,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,6,12,3,30,143,920,1327,126,21,151,2721
UCL514003,7,29,182,1035,1026,73,18,141,2516,3,8,70,34,3,0,0,14,134,0,20,41,21,0,0,0,9,91,3,32,106,56,6,0,0,17,229,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,8,17,14,0,16,0,0,39,87,0,4,10,4,0,0,7,6,24,10,75,313,1096,1053,74,21,208,2854
UCL514004,0,33,267,1120,739,104,29,211,2502,0,22,79,26,6,0,0,34,163,0,0,3,0,4,0,0,0,11,0,21,85,26,6,0,0,34,171,0,0,14,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,10,6,14,19,0,0,0,0,8,43,0,3,0,0,6,0,0,4,9,6,70,380,1154,743,104,29,254,2740
UCL515001,0,14,66,277,115,16,4,30,531,0,7,22,3,0,0,0,4,39,0,6,6,4,0,0,0,0,18,0,14,28,11,0,0,0,4,59,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,3,10,6,0,0,0,0,5,20,0,0,0,0,0,0,0,0,3,8,32,109,289,117,16,4,40,623
UCL515002,5,7,37,188,241,17,6,18,511,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,15,0,0,0,0,0,0,0,0,0,3,10,40,192,241,17,6,22,527
UCL515003,4,23,144,423,259,35,4,55,940,0,17,29,7,0,0,0,3,58,0,0,0,0,0,0,0,0,0,0,17,29,7,0,0,0,3,58,0,3,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,44,174,432,263,35,4,60,1009
UCL515004,0,0,19,264,378,39,5,44,748,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,268,378,39,5,44,752
UCL515005,0,11,41,338,418,31,0,39,883,0,3,22,22,0,0,0,3,55,0,0,0,0,0,0,0,0,0,0,3,22,22,0,0,0,3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,16,65,361,418,31,0,46,942
UCL515006,8,23,114,638,301,28,7,180,1301,0,36,102,37,0,0,0,68,244,0,0,12,17,0,0,0,3,37,0,39,117,57,0,0,0,71,285,0,41,6,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,6,0,0,0,0,0,45,153,249,29,19,24,3,0,28,499,16,17,3,5,0,0,0,18,57,170,369,263,720,319,33,13,300,2184
UCL515007,5,6,38,235,317,25,0,62,695,0,0,6,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,12,46,246,314,25,4,64,718
UCL515008,6,3,0,233,77,19,3,28,365,0,0,0,4,0,0,0,0,8,0,0,3,3,0,0,0,3,15,0,0,3,10,0,0,0,7,18,0,0,3,0,0,0,0,0,4,0,0,17,8,0,0,0,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,0,0,0,10,41,11,12,0,0,6,0,0,10,40,0,5,6,4,0,0,0,5,15,18,15,25,259,80,19,4,60,477
UCL515009,0,47,223,558,249,36,5,86,1214,0,6,17,32,3,0,0,9,67,0,0,0,0,0,0,0,0,0,0,6,17,32,3,0,0,9,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,6,0,0,0,59,74,0,0,0,0,0,0,0,0,5,5,63,246,594,256,36,5,152,1354
UCL515010,3,45,131,317,191,24,10,262,985,0,12,50,20,0,0,0,51,131,0,0,0,0,0,0,0,0,0,0,12,50,18,0,0,0,52,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,109,3,3,3,5,0,31,232,7,10,0,7,0,0,0,4,29,91,168,187,349,201,28,10,350,1384
UCL515011,5,5,90,428,433,36,8,42,1036,0,8,16,9,4,0,0,0,41,0,0,0,0,0,0,0,0,0,0,8,16,9,4,0,0,0,41,0,3,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,0,0,0,0,4,0,0,8,17,0,0,0,0,0,0,0,0,6,3,19,105,437,434,36,8,54,1101
UCL515012,3,3,18,141,554,36,3,26,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,18,141,554,36,3,26,782
UCL515013,10,34,79,522,265,34,10,59,1013,0,4,15,8,0,0,0,4,29,0,0,3,7,0,0,0,3,13,0,4,17,14,0,0,0,9,42,0,36,12,8,0,0,0,7,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,12,8,0,0,0,7,69,179,260,33,46,41,7,7,35,596,3,0,5,3,0,0,0,8,11,188,334,146,589,304,41,13,124,1738
UCL515014,0,11,86,136,47,4,0,18,306,0,6,25,12,0,0,0,0,51,0,0,5,3,0,0,0,0,9,0,6,32,11,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,3,0,7,0,0,40,105,0,3,0,3,0,0,0,3,13,27,54,124,154,55,4,6,68,487
UCL515015,0,12,113,484,343,30,3,32,1021,0,16,33,20,0,0,0,14,84,0,0,5,3,0,0,0,0,9,0,16,41,26,0,0,0,14,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,21,39,0,0,0,0,0,0,0,0,4,3,35,156,509,348,31,3,75,1161
UCL515016,0,12,46,249,272,27,4,55,669,0,0,8,14,0,0,0,3,25,0,0,0,10,0,0,0,0,9,0,4,8,19,0,0,0,8,40,0,0,0,4,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,9,11,19,3,0,0,0,0,10,44,0,3,0,0,0,0,0,0,4,13,28,61,273,273,34,7,70,763
UCL515017,8,4,72,201,91,8,8,63,459,0,0,38,17,0,0,0,19,85,0,0,10,17,7,0,0,10,39,0,3,49,34,5,0,0,31,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,104,24,11,5,0,0,12,263,13,18,8,8,0,0,0,16,59,119,138,151,256,105,13,8,121,905
UCL515018,0,6,15,343,144,10,0,77,594,0,0,44,4,0,0,0,18,69,0,0,16,0,0,0,0,6,20,0,0,57,4,0,0,0,24,91,0,0,12,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,83,344,141,10,0,105,705
UCL515019,7,18,143,613,333,43,9,117,1281,0,21,84,12,3,0,0,21,145,0,0,4,0,0,0,0,5,4,0,21,82,12,3,0,0,25,144,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,6,9,39,232,631,334,52,10,136,1441
UCL515020,4,8,64,439,273,26,3,155,974,3,34,80,80,8,0,0,60,261,0,5,4,22,5,0,0,10,37,3,40,80,97,13,0,0,64,300,0,10,65,44,0,0,0,36,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,65,44,0,0,0,36,150,90,174,37,18,13,0,0,347,681,6,5,7,4,0,0,0,28,63,105,237,256,596,296,31,7,630,2163
UCL515021,0,7,36,231,243,39,7,13,573,0,32,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,17,5,0,0,0,10,62,0,0,0,0,0,0,0,0,0,7,67,49,231,240,39,7,27,669
UCL515022,4,10,117,749,481,65,13,75,1516,0,55,105,15,0,0,0,17,201,0,4,0,0,0,0,0,0,4,0,59,105,15,0,0,0,17,201,0,9,3,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,7,18,3,0,0,3,0,0,0,8,15,0,0,4,4,3,0,14,4,23,8,78,239,763,485,65,27,111,1776
UCL515023,4,24,129,445,245,27,6,89,966,0,12,20,11,0,0,0,18,60,0,0,0,0,0,0,0,0,0,0,8,20,11,0,0,0,18,65,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,25,28,0,0,3,0,0,0,0,0,7,3,43,149,463,245,27,9,138,1067
