UCL_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
UCL515013,10,21,35,0,6,6,0,8,8,6,23,24,10,54,63,6,44,46,27,70,90,27,78,103,39,87,130,33,91,126,32,48,78,38,58,96,90,85,175,79,39,117,45,50,102,41,25,63,78,115,191,125,31,154,7,59,67,684,989,1674
UCL515014,0,0,0,0,5,6,0,11,10,3,13,16,11,13,24,3,3,9,20,11,29,19,15,33,15,18,32,9,18,26,4,23,29,10,18,30,23,33,54,16,6,25,16,13,29,10,0,9,13,15,25,27,0,25,0,41,44,199,265,464
UCL515015,6,11,20,0,6,5,3,15,12,5,40,39,21,99,115,15,41,53,51,16,65,57,26,80,40,30,74,68,15,85,37,22,61,48,13,58,106,10,119,70,3,73,36,0,37,30,6,31,52,8,57,76,6,81,12,23,36,724,379,1109
UCL515016,10,11,21,5,3,9,7,11,18,3,26,30,11,44,52,9,22,26,46,19,68,25,24,45,25,30,49,38,11,49,13,21,33,18,12,28,35,19,57,30,3,30,30,11,41,16,3,17,34,14,45,66,3,69,9,19,28,433,281,710
UCL515017,3,19,19,0,0,0,0,11,10,0,21,25,13,41,46,14,37,51,34,51,86,23,39,63,29,53,74,25,54,74,19,23,42,11,13,26,37,41,79,21,17,40,16,27,45,14,9,19,17,29,50,37,0,36,7,29,36,310,522,834
UCL515018,4,3,7,3,3,3,6,4,8,7,12,21,11,20,37,5,14,15,22,6,30,13,6,12,18,10,24,11,8,21,9,16,22,14,5,19,52,50,99,24,0,27,45,12,51,20,0,19,93,16,106,49,3,51,8,8,21,407,202,603
UCL515019,3,11,17,9,6,19,3,14,16,4,24,27,26,72,94,26,44,73,80,38,121,68,46,118,51,47,100,71,31,96,58,34,93,69,12,83,98,30,135,90,6,95,43,7,52,20,0,20,50,5,59,89,11,101,11,22,35,870,468,1336
UCL515020,9,41,49,6,10,16,7,23,37,5,41,43,17,48,64,14,40,54,20,59,80,23,64,89,43,98,142,47,99,148,35,84,129,56,66,113,104,123,228,110,34,147,97,35,134,42,10,57,113,64,180,140,9,153,24,74,97,921,1021,1937
UCL515021,5,9,12,3,0,4,0,10,10,5,17,23,12,40,48,7,34,35,31,10,42,25,8,38,36,18,54,38,9,44,19,8,25,29,3,29,55,9,62,59,0,60,48,0,44,24,0,24,28,0,30,47,0,47,4,8,14,465,186,655
UCL515022,10,11,17,7,6,13,4,39,39,6,61,66,26,100,123,28,69,93,97,48,149,69,76,144,94,71,162,98,46,140,73,34,106,67,25,88,145,27,172,103,3,101,63,0,66,25,0,28,48,9,46,79,6,89,17,36,52,1046,662,1710
UCL515023,6,4,10,0,4,5,0,17,21,6,26,35,10,64,75,16,38,55,43,28,76,30,33,61,41,28,70,46,34,85,37,20,55,38,26,64,81,37,118,49,0,48,42,0,44,22,0,22,32,14,50,56,0,55,18,15,30,575,409,984
UCL515024,4,9,13,0,0,0,6,8,9,0,12,12,15,52,60,10,20,29,23,19,47,22,28,52,19,14,37,33,10,38,19,11,35,19,12,35,47,15,63,27,0,26,32,10,36,18,0,15,18,8,27,44,3,45,3,17,29,358,249,610
UCL515025,3,6,10,0,0,4,3,7,12,4,20,24,20,69,89,17,51,71,49,19,72,36,22,57,43,12,56,44,11,55,18,13,34,19,4,29,48,6,55,36,0,36,16,4,18,5,0,5,25,4,29,45,0,47,9,13,27,455,266,714
UCL515026,8,3,14,0,0,0,3,8,11,3,0,8,7,17,24,5,8,16,35,8,44,27,5,26,35,12,50,40,14,49,39,13,49,47,3,48,96,20,115,79,0,84,59,7,66,22,0,22,53,7,54,76,0,78,3,0,7,623,132,754
UCL515027,9,19,26,6,4,9,0,36,42,7,45,56,17,107,129,15,75,86,60,41,98,51,62,115,79,64,141,78,33,110,45,35,87,50,23,70,121,38,163,59,4,64,61,12,72,33,0,32,62,17,76,91,8,100,18,31,49,863,659,1519
UCL515028,0,10,14,0,0,0,0,7,7,0,9,4,3,6,8,3,6,9,3,14,19,5,19,20,12,20,34,14,45,65,37,42,82,41,64,105,80,133,217,117,12,125,107,61,171,108,8,116,298,75,379,104,18,125,3,42,44,942,595,1535
UCL515029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,4,4,0,4,6,6,10,11,8,7,22,24,50,77,8,0,8,37,21,54,30,0,29,78,24,100,41,3,42,0,3,9,232,136,365
UCL515030,6,12,18,0,11,14,6,16,26,9,35,41,21,108,129,26,57,90,101,36,137,70,31,104,72,18,94,78,15,92,50,16,60,53,9,62,97,15,109,78,3,84,70,9,76,37,0,39,71,11,82,123,7,130,10,29,34,986,429,1423
UCL515031,11,22,33,0,8,5,7,12,23,8,40,51,20,82,105,22,70,94,77,37,116,56,39,96,49,41,93,43,23,63,36,21,52,32,25,60,77,27,99,52,9,67,40,13,49,31,0,33,58,24,82,112,4,118,22,53,74,746,565,1315
UCL515032,4,0,5,0,0,0,0,0,0,0,4,8,8,10,17,0,5,5,14,3,23,14,6,18,11,8,19,15,8,22,10,3,16,14,3,23,50,4,53,32,0,32,48,3,49,28,0,28,63,0,65,83,0,85,4,0,3,405,75,473
UCL515033,0,3,4,0,0,0,0,0,0,0,5,5,0,4,4,0,0,0,3,0,0,3,3,5,4,11,13,4,13,21,12,11,19,15,29,49,70,91,166,62,8,70,100,32,134,66,0,75,192,34,226,72,4,78,8,12,15,620,266,887
UCL515034,12,12,22,5,4,11,9,12,23,12,28,41,16,56,70,20,32,54,63,26,84,36,30,61,46,33,78,45,10,54,33,19,54,43,30,65,76,22,97,61,8,63,39,11,41,23,0,23,62,5,60,139,0,142,6,13,22,745,338,1081
UCL515035,0,8,7,6,8,12,0,11,14,0,17,15,12,48,61,8,32,40,42,9,53,24,19,39,23,25,50,16,9,27,16,13,28,26,6,34,33,11,47,29,0,29,12,3,17,7,0,10,20,0,23,26,5,30,4,14,22,313,241,556
UCL515036,10,8,19,5,8,8,0,18,20,4,29,32,10,77,82,18,37,52,70,14,83,44,28,70,46,17,61,46,9,59,23,10,33,28,6,36,61,22,86,53,0,56,49,4,49,23,0,23,45,9,55,69,3,73,10,23,39,620,317,937
UCL515037,0,0,0,0,0,3,0,0,0,0,0,3,0,4,4,5,0,0,5,4,11,3,5,8,5,6,12,7,10,12,5,9,13,10,9,16,31,42,76,40,0,37,43,21,61,37,0,37,166,23,186,40,5,41,4,13,12,397,147,545
UCL515038,11,14,18,5,8,14,8,18,20,8,35,42,15,108,116,26,45,73,72,17,90,50,34,81,56,18,77,58,20,74,29,14,44,37,9,52,66,33,92,48,0,51,29,10,34,18,0,19,39,8,46,62,3,63,14,18,30,633,407,1040
UCL521001,0,0,0,0,0,0,0,0,4,6,4,6,0,10,14,4,5,3,6,6,6,9,4,10,8,5,8,9,4,14,4,0,7,6,7,15,25,10,33,12,0,12,19,0,19,3,0,3,17,0,16,13,0,14,0,0,0,137,49,192
UCL521002,4,0,4,0,0,3,0,6,6,5,10,12,4,11,14,3,8,11,22,3,25,15,3,16,17,4,16,18,3,22,8,5,11,8,0,8,25,4,24,11,0,11,13,4,18,6,0,6,21,7,30,35,6,37,5,0,7,218,60,287
UCL521003,0,6,14,4,0,5,0,4,8,0,13,13,5,50,53,7,19,30,37,6,48,22,24,46,19,13,35,17,9,26,10,4,20,12,7,14,17,3,22,12,0,15,12,0,11,4,0,4,7,3,10,20,0,23,10,10,13,216,177,399
UCL521004,0,0,0,10,0,12,4,7,15,5,0,5,11,0,11,7,0,7,18,0,19,15,0,15,13,6,15,5,0,6,3,3,4,3,0,4,3,10,12,4,3,7,5,3,5,3,0,3,3,3,4,7,0,7,0,0,0,126,31,158
UCL521005,10,0,10,0,3,5,4,10,12,0,6,9,6,21,26,6,15,26,14,6,21,16,8,20,17,17,33,16,4,24,11,4,17,15,7,25,34,9,49,17,0,19,21,0,20,18,0,18,34,3,37,45,4,50,3,5,13,292,136,430
UCL521006,0,0,0,5,0,5,0,3,3,0,8,11,6,14,20,8,13,14,22,5,30,18,3,16,13,3,18,18,7,25,13,8,21,12,3,16,34,3,36,21,0,21,21,0,23,11,0,11,20,0,20,29,0,29,9,10,15,255,82,339
UCL521007,0,0,3,0,4,4,0,4,6,3,11,15,0,24,32,3,6,17,19,8,22,10,10,22,12,8,20,18,3,26,4,0,9,3,0,7,17,4,19,8,0,8,6,0,7,5,0,5,0,0,4,15,0,13,6,7,11,134,100,237
UCL521008,0,0,6,0,0,0,4,5,7,0,8,8,3,19,20,3,10,15,10,6,21,8,5,7,10,3,14,10,10,11,4,5,10,3,5,13,13,0,17,10,0,11,6,0,6,5,0,5,4,0,3,13,0,13,0,5,13,114,94,199
UCL521009,0,6,6,4,0,4,0,4,4,0,3,3,3,20,28,3,8,9,15,7,21,14,11,22,6,15,20,10,6,16,8,6,16,3,0,5,16,5,20,8,0,8,5,0,7,6,0,6,10,4,11,10,0,12,6,6,8,122,93,214
UCL521010,3,4,4,3,0,4,0,8,8,7,3,10,6,15,24,3,11,15,26,6,33,7,3,15,19,9,30,15,5,24,18,0,21,14,5,20,26,8,30,16,0,16,9,4,5,3,0,3,14,0,16,34,0,34,7,5,11,217,91,305
UCL521011,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,5,4,9,3,0,3,3,3,11,0,3,7,5,3,10,5,0,10,12,0,11,28,5,31,26,0,26,14,0,10,15,0,17,18,0,18,29,0,29,4,6,6,177,38,211
UCL521012,0,5,9,0,0,0,0,7,4,0,10,13,0,14,10,0,15,19,19,4,19,4,12,11,8,9,12,8,14,27,3,4,8,7,8,13,13,9,24,19,0,19,14,3,15,0,0,0,18,0,21,24,0,24,3,4,10,150,115,265
UCL521013,3,0,3,0,4,4,0,4,9,3,0,4,3,18,15,3,7,10,5,3,12,15,5,17,15,9,19,17,6,26,12,4,12,17,6,21,27,11,37,16,0,16,21,4,25,19,0,19,22,4,25,35,3,40,0,3,8,242,82,320
UCL521014,0,4,3,0,0,0,0,0,0,0,12,12,6,32,43,0,6,9,14,9,19,12,13,24,3,11,15,8,4,12,13,7,18,9,9,19,24,8,32,17,0,19,8,0,9,0,0,0,18,0,16,28,0,29,4,9,12,175,133,302
UCL521015,0,7,3,3,0,0,0,5,4,0,7,8,4,27,33,4,18,18,9,10,26,8,5,20,9,10,22,18,8,21,10,8,13,9,9,12,21,14,30,26,0,26,12,0,8,0,0,0,7,5,4,19,0,19,0,3,6,156,127,285
UCL521016,0,3,3,0,0,0,0,3,5,0,10,10,0,21,15,0,13,17,9,5,9,12,9,19,7,13,17,15,5,26,6,10,16,20,5,23,27,9,35,16,4,19,14,0,12,3,0,5,14,5,13,15,0,15,0,3,9,157,116,270
UCL521017,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,10,11,3,8,12,5,6,14,5,11,15,11,13,21,10,3,17,8,0,13,28,7,34,17,0,25,14,0,14,10,0,10,19,0,18,16,0,18,4,3,6,164,72,234
UCL521018,0,3,3,4,4,3,0,3,3,0,8,3,3,12,17,0,0,5,7,4,7,3,3,11,15,3,16,11,3,15,13,7,20,15,5,15,24,0,30,11,0,11,16,0,16,7,0,7,10,0,11,15,0,15,3,0,3,155,53,213
UCL521019,6,15,18,0,5,10,0,12,8,4,18,21,3,49,56,5,16,19,18,62,79,10,40,49,12,47,60,14,44,63,0,23,27,15,32,44,17,35,48,14,25,38,8,10,17,7,8,7,6,33,38,25,4,28,3,134,138,161,605,770
UCL521020,0,4,3,0,0,0,3,0,4,0,9,9,8,12,25,3,9,11,25,3,31,13,3,19,11,0,8,12,3,21,9,0,11,19,3,19,22,0,22,11,0,12,11,0,11,3,0,3,13,0,13,39,4,43,7,8,11,218,65,282
UCL521021,5,0,6,0,0,0,3,3,5,4,8,10,3,13,11,4,5,11,9,5,17,13,8,26,11,5,16,21,5,27,14,0,16,17,7,25,32,6,39,25,0,25,12,6,15,4,0,4,14,3,13,34,0,35,3,10,8,237,84,322
UCL521022,0,0,0,0,5,5,0,6,6,0,0,0,0,4,3,0,10,14,3,7,15,0,3,7,6,5,14,5,6,11,12,4,16,17,5,16,20,5,22,12,4,18,16,7,24,9,4,8,23,12,34,30,0,37,0,3,5,168,91,256
UCL521023,0,0,0,0,0,0,0,4,7,0,7,6,3,10,15,4,7,11,12,8,12,6,10,11,7,9,14,9,3,15,6,3,8,7,0,11,17,5,26,9,0,9,8,0,8,12,0,12,12,4,16,9,0,9,4,3,10,134,74,210
UCL521024,0,8,8,5,3,5,13,9,24,5,19,22,19,20,39,11,14,21,19,8,28,25,17,38,24,19,46,17,30,44,10,26,34,15,30,38,24,30,53,19,11,28,11,8,21,9,0,12,14,12,22,47,3,50,16,28,42,297,279,582
UCL521025,0,4,4,0,3,5,4,5,8,0,13,13,0,20,19,9,12,15,11,10,17,11,5,17,11,11,19,9,7,15,6,10,14,10,9,15,25,31,57,14,3,16,20,9,30,8,0,8,30,8,42,26,0,23,8,9,18,199,161,360
UCL521026,0,3,6,0,0,0,0,0,0,0,11,7,0,0,6,0,0,0,12,10,15,12,8,20,11,0,11,10,7,19,13,5,20,9,6,12,28,4,37,29,0,29,17,0,17,8,0,8,32,5,31,32,0,35,4,6,7,225,64,284
UCL521027,4,3,12,0,0,0,3,5,3,0,5,3,6,10,8,5,5,6,4,7,13,0,10,6,3,4,8,6,4,15,5,9,9,6,8,13,17,7,29,15,0,14,12,4,17,5,0,9,24,0,23,13,0,16,0,14,18,139,102,234
UCL521028,3,6,12,0,6,6,0,12,14,0,10,15,3,36,47,6,13,22,28,8,32,12,10,21,8,7,19,9,9,17,9,4,10,11,0,20,27,7,33,14,0,20,6,0,11,5,0,0,4,0,7,19,0,19,6,13,16,189,152,340
UCL521029,0,4,4,0,3,6,0,11,12,0,5,5,3,29,37,7,15,19,23,18,35,19,15,28,19,17,32,14,11,28,11,13,17,10,7,20,34,5,38,12,0,12,17,0,17,3,0,6,13,3,18,19,0,15,3,13,16,207,164,372
UCL521030,7,12,14,5,4,11,4,5,10,0,9,9,3,21,26,5,10,16,19,5,25,14,21,37,4,11,16,4,11,20,7,11,15,3,9,15,15,9,29,13,5,14,7,8,12,5,0,9,16,4,15,23,3,26,4,12,18,158,184,343
UCL521031,0,5,7,0,0,0,0,5,8,3,9,8,0,6,10,3,6,7,12,11,18,3,7,14,6,10,17,4,11,17,7,19,23,3,12,14,8,21,31,5,3,8,9,3,13,0,0,0,11,14,27,16,0,16,3,35,39,100,181,285
UCL521032,0,3,3,0,0,0,5,5,10,0,7,15,9,8,15,6,0,8,13,7,21,4,3,10,8,7,14,7,14,20,7,6,13,7,4,12,17,16,32,3,0,3,9,0,8,4,0,3,8,3,9,17,0,17,11,16,27,133,114,248
UCL521033,4,4,9,0,3,3,0,0,4,0,4,3,3,10,14,3,8,8,10,11,17,3,5,9,4,10,14,6,7,18,0,4,3,3,12,13,10,14,17,7,0,7,0,9,12,0,0,0,3,13,20,6,3,12,0,22,21,70,135,206
UCL521034,3,0,0,3,0,3,0,0,3,3,3,5,3,12,17,0,3,4,10,0,17,12,4,13,9,8,19,10,3,16,11,3,14,11,0,12,17,4,25,17,0,17,21,0,22,13,0,13,28,0,28,27,3,31,3,5,6,216,53,268
UCL521035,0,5,6,0,0,0,0,4,4,0,4,4,3,11,15,5,13,14,25,9,33,12,9,16,13,8,15,23,4,30,6,5,11,11,3,11,10,3,19,6,0,13,5,0,3,0,0,3,8,0,8,8,4,16,3,7,9,136,97,232
UCL521036,7,0,5,0,0,0,0,18,18,0,9,9,9,34,38,6,13,18,13,11,25,13,14,32,4,13,16,12,4,12,3,10,12,0,12,12,4,12,14,7,0,9,3,3,5,0,0,0,3,3,7,19,0,21,9,14,17,114,161,272
UCL521037,0,3,8,0,0,6,0,3,6,4,9,17,14,25,38,9,21,28,36,8,39,22,19,41,25,9,38,22,7,30,13,3,17,14,4,19,27,8,32,16,0,16,13,0,13,8,0,8,10,0,10,27,0,27,7,11,17,263,128,394
UCL521038,0,10,13,4,0,5,0,10,9,0,12,6,5,45,52,4,8,15,33,5,43,18,8,20,14,8,24,9,12,21,12,3,19,8,3,11,19,4,19,18,0,18,3,3,7,9,0,9,5,3,7,26,0,26,4,9,11,180,139,325
UCL521039,6,0,3,4,0,0,0,0,0,3,8,7,5,20,17,6,11,19,9,4,20,12,10,25,20,9,28,9,0,16,7,6,10,19,4,16,14,0,22,28,4,31,12,3,18,0,0,4,22,5,27,39,0,44,0,4,0,227,93,322
UCL521040,0,7,7,0,6,6,0,4,8,4,10,9,0,18,17,5,8,14,8,18,27,6,24,24,4,25,32,4,23,29,4,12,17,3,20,28,22,29,48,22,6,30,21,16,31,19,5,26,47,33,81,14,0,11,0,42,46,193,300,492
UCL521041,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,6,0,0,3,4,8,10,5,0,5,8,3,9,0,0,0,10,0,10,10,0,10,0,0,0,36,22,61
UCL521042,0,3,3,0,0,0,0,5,7,0,9,9,3,27,32,4,8,16,15,8,25,13,16,24,9,9,21,13,3,18,0,10,10,11,6,15,16,7,23,10,4,7,7,0,7,0,0,0,9,9,14,19,0,19,4,7,8,141,121,270
UCL521043,5,3,5,0,0,0,0,4,4,0,0,0,4,6,11,0,4,3,4,0,11,3,4,8,10,5,16,17,4,21,5,0,6,9,3,8,17,7,21,13,0,13,18,0,20,3,0,3,21,4,26,16,0,18,0,0,4,149,51,199
UCL521044,4,3,12,0,0,5,3,5,6,0,19,19,8,35,39,3,18,23,29,10,36,24,11,31,11,7,27,20,3,20,3,8,13,5,0,13,14,6,19,9,0,9,12,0,15,0,0,0,13,0,14,18,0,18,7,7,11,188,134,326
UCL521045,4,7,8,0,0,0,0,6,6,4,7,11,0,21,18,8,13,13,14,3,23,10,11,21,13,5,18,14,5,14,5,4,13,8,0,10,7,4,13,6,0,6,6,3,9,0,0,0,6,0,6,13,0,13,0,7,4,122,84,211
