UCL_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
UCL515002,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,5,0,9,0,11,19,0,6,0,29,18,0,4,0,19,20,0,6,0,32,8,0,3,0,19,5,3,4,0,12,13,9,0,0,16,17,14,3,0,38,20,17,0,0,35,21,15,0,0,34,5,8,0,0,16,8,30,0,0,38,13,19,0,0,40,0,0,0,0,4,183,130,43,5,357
UCL515003,5,0,0,0,9,5,0,0,0,0,3,0,0,0,3,3,3,5,0,10,14,0,9,0,23,18,0,10,0,21,60,3,5,0,73,32,3,6,0,43,44,3,12,0,61,28,12,4,0,50,10,13,7,0,22,22,9,3,0,35,35,29,4,0,67,21,24,0,0,43,12,25,0,0,45,9,6,0,0,16,6,11,0,0,27,24,37,16,0,70,8,0,0,0,8,356,185,84,8,629
UCL515004,3,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,0,3,0,7,0,0,3,0,10,7,0,13,0,21,19,0,10,0,32,8,3,14,0,26,12,5,10,0,31,13,11,22,0,42,6,17,10,0,39,13,13,5,0,37,26,56,8,4,96,15,28,3,0,49,12,15,0,0,26,3,20,4,0,26,10,18,0,0,31,29,55,3,0,87,3,7,0,0,9,190,261,121,8,579
UCL515005,7,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,9,0,0,0,12,7,4,9,0,23,42,0,14,0,63,21,8,5,0,41,22,5,21,0,51,26,13,11,0,48,14,11,15,0,41,14,20,6,0,35,31,54,13,0,97,21,36,0,0,63,14,26,6,0,44,3,9,0,0,11,11,17,0,0,21,29,58,13,0,103,0,4,0,0,3,273,259,127,4,663
UCL515006,3,0,0,0,9,9,0,0,0,11,0,3,10,0,10,5,0,7,0,12,10,6,11,0,30,4,4,14,5,24,37,6,19,0,68,20,11,18,0,48,21,9,12,0,45,32,11,14,0,61,19,15,9,0,47,26,25,12,0,68,42,45,10,0,95,38,41,11,0,85,31,33,3,0,67,17,17,0,0,30,37,36,4,0,74,35,49,19,0,101,15,0,8,0,27,394,315,187,14,916
UCL515007,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,3,4,0,4,0,12,13,3,5,0,22,14,8,7,0,29,15,6,9,0,28,22,13,4,0,36,15,24,5,0,37,11,20,0,0,36,31,40,7,0,80,19,50,0,0,73,10,31,0,0,43,9,17,0,0,22,10,32,0,0,42,16,47,6,0,71,0,0,0,0,0,185,298,55,3,547
UCL515008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,3,0,4,3,0,0,0,4,3,3,0,0,4,3,0,0,0,4,6,6,5,0,17,12,15,0,0,22,11,27,8,0,36,10,22,0,0,29,44,94,0,0,136,10,33,0,0,41,0,0,0,0,0,103,193,16,0,322
UCL515009,4,0,0,0,0,0,0,0,0,0,5,0,8,0,14,4,0,0,0,4,16,0,7,0,25,5,4,17,0,27,60,0,14,0,72,32,10,11,0,52,49,15,20,0,78,37,20,13,0,70,11,17,7,0,30,26,17,7,0,43,29,27,8,0,66,17,33,5,0,57,14,14,4,0,35,4,10,0,0,11,9,32,0,0,40,34,28,12,0,82,9,0,0,0,9,348,219,130,6,702
UCL515010,0,0,6,0,6,0,0,0,0,0,4,0,7,0,8,0,0,5,0,4,5,8,14,4,26,0,3,9,0,14,19,8,17,5,40,8,7,10,0,23,9,3,10,3,31,14,7,11,0,33,8,7,8,0,21,8,12,11,0,35,30,21,8,0,55,21,13,3,0,40,26,23,6,0,53,12,8,0,0,19,30,18,0,0,52,24,46,12,0,80,4,4,0,0,11,225,188,123,18,555
UCL515011,11,0,0,0,9,4,0,0,0,6,0,0,3,0,4,0,0,0,0,3,16,0,7,0,20,8,0,22,0,29,56,4,13,0,75,43,4,14,0,61,26,14,11,0,51,40,25,11,0,70,16,15,12,0,40,14,17,0,0,36,31,46,12,0,90,13,36,3,0,58,24,27,0,0,54,9,9,0,0,23,22,24,0,0,47,26,35,7,0,66,3,0,0,0,5,361,253,121,7,745
UCL515012,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,7,0,7,0,4,0,0,6,16,6,12,0,31,14,0,11,0,28,11,6,12,0,25,12,11,7,0,29,6,11,4,0,31,3,16,9,0,29,26,47,10,0,86,38,38,3,0,75,18,31,3,0,54,15,33,0,0,43,21,47,0,0,68,25,62,15,0,99,4,0,0,0,4,222,304,94,3,622
UCL515013,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,10,0,8,0,0,3,0,5,16,3,4,0,26,12,8,5,0,31,25,5,10,0,43,18,15,3,0,38,15,14,6,0,37,17,20,0,0,41,45,38,10,0,88,41,41,3,0,88,18,27,0,0,48,20,13,3,0,37,25,33,5,0,66,45,65,14,0,123,9,0,0,0,7,331,290,68,3,700
UCL515014,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,9,0,11,4,5,15,3,23,0,0,3,0,4,8,9,12,5,31,0,10,6,3,21,5,6,7,0,15,0,4,5,4,13,0,4,0,0,3,0,0,6,0,8,8,10,5,0,19,11,4,3,0,17,5,9,0,0,20,4,3,0,0,5,3,6,0,0,11,5,12,0,0,29,0,0,0,0,3,69,82,64,15,222
UCL515015,8,0,3,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,15,0,7,0,19,10,6,14,0,22,37,6,9,0,54,26,3,16,3,52,22,9,12,0,47,33,27,12,3,73,15,24,0,0,40,13,25,7,0,44,44,56,14,3,120,28,36,4,0,70,12,19,8,0,35,6,21,0,0,23,19,15,0,0,32,16,57,8,0,81,6,0,4,0,12,308,303,117,15,748
UCL515016,4,0,0,0,7,4,0,0,0,7,5,0,0,0,5,5,0,0,0,10,8,0,0,0,11,9,0,6,0,12,44,0,7,0,51,18,3,4,0,24,23,5,0,0,21,24,3,9,0,41,8,4,0,0,13,11,7,0,0,17,23,12,3,0,35,18,14,0,0,27,15,13,0,0,33,6,8,0,0,17,15,12,3,0,34,33,25,7,0,68,7,3,0,0,10,271,116,50,0,434
UCL515017,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,8,0,3,0,12,31,0,5,0,39,17,3,5,0,26,15,4,7,0,30,15,9,0,0,24,11,4,5,0,18,11,5,0,0,15,28,12,0,0,34,12,5,0,0,23,6,7,0,0,16,8,5,0,0,12,9,9,0,0,19,11,20,3,0,35,7,3,0,0,7,195,93,31,3,317
UCL515018,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,3,0,12,0,0,3,0,10,9,4,8,0,23,4,0,9,0,14,13,3,3,0,18,3,6,0,0,11,11,0,0,0,13,5,3,6,0,11,17,28,3,0,49,4,23,0,0,22,9,26,3,0,43,6,14,3,0,25,41,44,8,0,92,20,24,7,3,48,6,3,0,0,12,160,174,73,9,410
UCL515019,0,3,0,0,7,3,0,0,0,6,5,0,0,0,5,0,0,5,0,5,9,0,12,0,25,6,0,20,0,29,62,13,11,0,89,32,22,20,0,80,28,19,14,3,60,36,24,16,0,75,27,25,4,3,59,26,26,10,5,67,53,41,5,0,98,35,41,5,0,84,27,17,0,0,41,11,5,0,0,20,20,24,0,0,45,25,45,15,4,82,6,5,4,0,17,407,327,151,17,900
UCL515020,4,0,0,3,14,0,4,3,0,5,6,0,9,0,13,0,0,7,0,7,0,3,11,0,16,5,3,15,0,19,9,5,11,0,28,6,5,20,5,32,15,15,22,0,48,15,17,27,0,52,10,10,13,0,39,12,18,11,3,50,46,45,22,0,120,50,47,4,0,108,39,56,6,3,100,19,16,0,0,41,46,54,0,0,100,50,63,20,0,132,9,4,18,7,32,350,372,216,25,959
UCL515021,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,5,0,7,9,0,0,0,6,4,0,3,0,8,25,0,6,0,29,20,0,7,0,27,26,7,10,0,39,21,11,5,0,41,10,7,4,0,23,12,16,3,0,29,25,18,5,0,52,25,33,0,0,59,12,26,0,0,46,9,18,0,0,23,9,20,0,0,25,20,23,3,0,44,0,0,3,0,3,244,180,47,3,474
UCL515022,4,0,0,0,5,8,0,0,0,11,6,0,0,0,0,0,0,8,0,9,17,0,16,0,32,14,4,13,0,28,69,7,18,0,98,30,16,24,0,75,38,33,27,3,100,47,25,20,5,102,23,34,7,3,65,28,31,3,0,59,66,65,13,3,151,44,52,6,0,98,29,30,3,0,65,7,12,0,0,18,14,23,0,0,36,34,38,11,4,81,9,5,5,0,14,489,370,179,18,1059
UCL515023,4,0,0,0,3,4,0,0,0,4,0,0,0,0,4,4,0,9,0,7,10,0,4,0,11,0,0,12,0,12,32,6,10,0,41,13,6,13,0,29,20,12,9,0,44,22,8,11,0,43,17,11,6,0,36,15,16,3,0,36,38,37,7,0,80,19,28,0,0,53,12,25,0,0,39,9,11,0,0,23,13,17,0,0,37,17,32,4,0,58,8,0,11,0,16,258,215,100,8,574
UCL515024,4,0,3,0,8,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,8,0,3,0,16,5,0,11,0,11,15,0,7,0,30,11,3,7,0,21,9,7,8,0,28,20,7,7,5,30,9,0,3,0,16,9,7,0,0,23,17,24,0,0,44,11,18,3,0,31,16,19,0,0,31,5,7,0,0,13,5,12,0,0,19,17,19,5,0,39,0,0,3,0,5,157,126,74,11,364
UCL515025,4,0,0,0,6,0,0,0,0,3,0,0,3,0,3,0,0,4,0,4,7,0,10,0,23,9,4,12,0,22,39,4,9,0,57,20,3,12,4,35,18,15,9,0,47,20,15,12,0,38,12,9,0,0,23,7,13,4,0,27,13,27,0,0,47,14,18,0,0,30,7,12,0,0,13,5,3,0,0,5,12,13,0,0,25,17,23,7,0,49,5,7,0,0,11,204,164,89,4,460
UCL515026,8,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,7,0,7,6,0,0,0,8,0,3,0,0,8,20,0,15,0,40,17,0,10,0,32,19,7,9,0,34,20,10,14,0,41,13,19,4,3,37,16,29,5,0,50,44,48,15,0,104,30,42,3,0,78,22,28,0,0,52,3,17,0,0,23,13,37,0,0,47,22,44,6,0,72,0,4,3,0,7,245,289,100,4,646
UCL515027,4,0,3,0,13,4,0,0,0,4,0,0,3,0,3,3,0,5,0,9,5,0,17,0,25,0,0,15,0,18,37,3,21,0,63,31,7,22,0,62,38,14,17,3,79,34,17,20,0,75,11,24,12,0,47,17,20,5,0,43,54,56,12,7,126,24,32,10,0,59,26,28,4,0,53,15,14,0,0,31,20,33,6,0,57,33,44,11,0,91,15,3,7,0,18,378,295,186,13,876
UCL515028,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,6,0,0,4,0,6,3,8,5,0,18,6,10,6,0,21,5,15,13,0,35,13,14,13,6,40,17,50,14,4,84,49,65,7,0,124,39,67,3,0,116,48,57,3,0,103,97,181,8,0,287,23,72,9,0,106,0,0,0,0,0,307,536,99,12,952
UCL515029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,4,0,0,3,3,4,4,0,10,10,9,6,0,27,5,4,0,0,16,12,15,0,0,33,11,9,0,0,25,37,40,7,0,74,14,23,3,0,35,0,0,0,0,0,92,116,28,0,233
UCL515030,4,0,0,0,7,3,0,0,0,3,4,0,4,0,4,0,4,10,0,9,17,7,7,0,22,10,4,19,0,33,82,6,29,0,113,49,7,23,0,81,33,13,24,3,80,43,16,20,0,73,28,16,11,0,53,21,23,11,0,51,52,45,7,0,99,34,45,6,0,84,19,47,9,0,70,9,24,0,0,37,18,45,3,0,64,27,72,17,5,121,8,0,0,0,8,444,373,189,15,1014
UCL515031,6,0,3,0,4,0,0,0,0,0,6,0,5,0,11,3,0,4,0,8,13,0,3,0,22,16,0,14,0,27,60,3,15,0,78,38,3,12,0,55,38,0,7,0,48,29,11,11,0,47,11,14,4,0,42,18,9,3,0,26,34,34,5,0,74,28,20,0,0,49,13,17,6,0,37,14,12,0,0,32,24,30,3,0,58,45,63,6,0,114,15,3,0,0,18,417,234,108,3,755
UCL515032,3,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,7,0,0,4,0,3,18,4,4,0,19,14,0,4,0,15,7,0,6,0,15,8,9,0,0,19,3,7,4,0,12,10,7,0,0,15,21,25,3,0,46,11,24,0,0,33,17,25,3,0,39,12,19,0,0,30,23,35,0,0,64,17,55,7,0,79,3,0,3,0,10,163,218,44,0,418
UCL515033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,3,4,7,0,10,5,9,0,0,22,19,44,7,0,75,12,47,4,0,62,30,70,3,0,102,29,42,4,0,75,66,115,0,0,182,26,45,4,0,71,0,4,0,0,3,190,390,42,7,626
UCL515034,7,0,0,0,9,3,0,0,0,4,12,0,5,0,12,7,4,5,0,12,9,0,11,0,21,3,6,15,0,24,47,5,12,0,67,18,4,14,0,40,22,9,12,0,48,26,18,6,0,47,7,19,4,0,36,17,15,4,0,39,29,31,8,0,73,13,43,0,0,60,16,26,0,0,39,5,19,0,0,27,26,30,0,0,60,35,90,14,0,142,5,7,0,0,9,305,330,120,3,768
UCL515035,0,0,0,0,5,0,0,0,0,5,0,0,3,0,3,0,0,0,0,0,5,0,0,0,13,10,0,0,0,6,31,5,10,0,40,16,0,13,0,25,7,4,6,0,25,12,6,4,4,19,6,0,3,0,16,15,10,3,0,21,24,9,4,0,37,14,13,0,0,30,5,5,0,0,16,4,4,0,0,6,15,4,0,0,15,10,7,6,0,27,4,0,0,0,9,179,78,60,4,321
UCL515036,7,5,4,0,10,4,0,3,0,5,0,0,3,0,3,3,0,3,0,4,3,0,4,0,9,5,4,13,0,20,63,4,8,0,72,31,3,15,3,50,29,6,8,0,47,29,16,6,0,51,8,15,6,0,22,10,8,3,3,27,21,36,6,0,59,27,24,0,0,53,18,26,5,0,49,6,13,0,0,17,17,26,3,0,46,12,48,12,0,71,6,3,5,0,18,303,228,95,9,634
UCL515037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,5,0,4,0,0,0,0,8,0,3,3,0,9,0,0,5,0,10,0,6,5,0,11,9,24,0,0,37,15,21,3,0,34,11,33,3,0,42,12,29,0,0,40,46,106,0,0,157,10,27,0,0,35,0,0,0,0,4,107,259,38,3,399
UCL515038,9,0,0,0,12,5,0,0,0,5,3,0,5,0,4,4,0,9,0,11,5,0,0,0,13,9,0,14,0,22,65,0,9,0,74,42,0,11,0,48,33,16,12,0,63,27,15,6,0,54,9,14,8,3,35,22,15,4,0,43,34,20,9,0,65,21,27,0,0,46,14,15,0,0,29,0,9,0,0,15,17,15,0,0,33,26,23,3,0,62,14,0,3,0,17,362,171,103,10,641
UCL521001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,0,0,4,0,0,3,0,5,5,0,0,0,5,4,3,4,0,4,5,0,0,0,6,3,4,0,0,6,4,0,0,0,3,6,0,0,0,6,10,10,3,0,25,6,6,3,0,13,8,11,0,0,20,0,5,0,0,3,3,8,0,0,12,0,16,0,0,14,0,0,0,0,0,59,60,20,0,141
UCL521002,3,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,8,0,0,4,0,10,18,0,0,0,23,12,0,5,0,13,11,6,0,0,18,9,0,0,0,15,0,4,5,0,12,0,4,0,0,5,8,14,3,0,25,4,6,0,0,16,7,8,0,0,13,3,3,0,0,13,8,13,0,0,21,10,22,3,0,37,0,0,4,0,4,112,83,37,0,231
