UCL_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
UCL513005,3646,4134,7780,1699,926,2623,405,1146,1555,196,156,344,160,189,356,2463,2413,4879,996,1493,2488,6.6,7.9,7.2,67.6,58.3,62.7,63.2,53.7,58.1,61,78,137,29,102,132,217,458,673,295,496,787,1242,722,1962,66,109,175,59,105,167,1356,940,2303,4061,4368,8425,683,805,1488,2408,2474,4885,1947,2302,4258
UCL514001,2846,2873,5714,1027,467,1493,243,687,929,111,94,199,138,109,249,1511,1357,2865,1061,1279,2343,9.1,8.2,8.7,53.2,47.1,50.1,48.3,43.3,45.8,7,15,26,11,38,50,72,168,239,90,191,286,908,510,1414,43,74,116,46,56,106,995,637,1640,2750,2724,5476,447,466,912,2022,1930,3950,976,1079,2052
UCL514002,2491,2819,5311,1065,573,1639,453,1011,1464,136,127,268,35,33,71,1691,1751,3439,661,907,1569,2.1,1.9,2,67.9,62.1,64.8,66.5,60.9,63.5,99,79,172,25,100,123,386,657,1039,271,412,685,725,330,1050,26,49,78,37,88,126,786,463,1249,2515,2734,5248,523,602,1123,1486,1550,3034,1363,1578,2944
UCL514003,2734,2991,5720,1235,682,1916,503,1067,1567,147,127,275,59,63,124,1945,1940,3883,565,854,1417,3.1,3.4,3.2,71.2,64.9,67.9,69,62.7,65.7,92,118,208,39,110,146,380,618,997,230,373,604,727,404,1133,44,53,99,41,71,118,817,529,1342,2590,2835,5427,651,645,1293,1530,1662,3193,1497,1628,3122
UCL514004,2551,2766,5318,963,636,1599,270,609,875,76,61,140,103,73,179,1413,1379,2797,849,1118,1969,7.4,5.5,6.5,55.4,49.9,52.5,51.3,47.1,49.1,46,56,102,26,51,79,142,236,376,109,200,311,598,330,925,42,82,123,48,48,91,683,458,1142,2390,2545,4929,415,475,886,1594,1671,3262,1036,1196,2233
UCL515001,535,575,1103,99,62,161,89,135,220,18,21,38,10,9,18,219,221,437,276,317,600,4.6,3.1,3.9,40.7,39,39.8,38.8,37.8,38.3,15,16,36,10,16,24,57,59,116,48,80,125,138,69,206,11,3,14,9,13,24,158,87,247,435,476,914,96,102,197,305,320,620,216,242,460
UCL515002,479,497,978,239,132,370,49,134,186,22,25,48,12,13,27,324,305,633,136,176,310,4.3,4.6,4.4,67.6,61.5,64.5,64.7,58.7,61.6,9,10,16,5,19,22,28,69,93,31,64,96,179,92,277,4,17,22,3,12,16,194,115,312,475,464,936,105,102,207,327,321,647,220,218,441
UCL515003,860,1016,1884,287,159,443,109,279,388,35,32,63,26,19,43,453,484,939,336,463,804,5.7,3.7,4.7,52.7,47.6,49.9,49.7,45.8,47.6,20,20,35,13,25,38,74,122,194,65,142,206,256,158,412,12,27,41,18,24,42,288,208,499,748,846,1590,187,256,444,481,561,1038,407,503,916
UCL515004,787,802,1588,448,241,687,69,198,266,25,29,62,37,24,66,578,499,1076,160,264,424,6.4,5,5.8,73.4,62.1,67.7,68.7,58.9,63.8,7,8,16,3,11,15,49,68,110,45,67,110,235,189,420,21,28,46,12,14,25,266,232,497,808,832,1639,201,148,348,488,495,986,439,407,846
UCL515005,832,941,1777,368,210,580,94,265,362,34,40,75,17,16,38,524,529,1047,276,369,643,3.5,3.6,3.5,62.4,56.2,59.1,60.2,54.2,57,6,7,16,9,27,32,33,98,131,45,77,124,246,176,423,9,28,38,11,24,37,269,226,497,910,992,1900,117,134,246,633,666,1296,354,394,743
UCL515006,2321,2188,4510,626,508,1132,171,312,482,148,128,272,74,46,120,1024,985,2005,908,879,1788,7.2,4.6,5.9,43.9,45.1,44.5,40.7,43,41.9,48,42,88,21,41,62,150,251,401,132,185,314,543,217,763,31,34,74,31,40,72,610,291,903,1877,1813,3686,352,321,677,1322,1252,2570,786,794,1574
UCL515007,641,750,1393,325,149,476,100,318,416,44,34,74,16,5,22,484,504,988,111,181,289,3.1,1.6,2.3,75.3,67.5,71.1,72.9,66.4,69.4,18,29,44,18,24,42,94,204,297,54,93,148,200,88,289,3,20,23,11,19,28,221,119,335,687,711,1397,162,202,366,408,404,810,376,446,820
UCL515008,513,476,992,296,165,469,48,106,153,44,28,74,10,8,16,398,314,706,66,112,173,1.5,3.2,2.3,76.7,65.3,71.2,75.5,63.3,69.6,6,15,26,8,14,17,37,85,118,31,55,96,219,71,284,11,11,17,7,10,12,231,88,317,522,468,986,115,110,226,307,269,579,281,260,540
UCL515009,1141,1330,2474,297,181,481,185,333,521,35,54,87,33,21,55,555,587,1143,464,610,1077,5.6,3.6,4.5,48.5,44.3,46.3,45.8,42.7,44.2,57,58,116,25,58,79,144,211,355,95,175,272,249,135,385,16,20,35,17,33,48,277,193,470,1003,1157,2161,229,239,464,620,700,1323,556,634,1197
UCL515010,1443,1532,2976,428,394,819,91,129,219,99,103,196,24,29,53,639,657,1295,468,500,974,4.2,4.1,4.2,44.4,42.5,43.5,42.6,40.8,41.6,36,46,81,25,48,66,104,184,293,78,95,174,314,125,441,14,47,59,8,24,32,335,190,529,1093,1103,2197,244,258,505,701,671,1374,559,608,1165
UCL515011,1029,1148,2181,418,208,628,108,279,382,39,38,81,40,21,57,606,549,1156,360,551,914,6.4,3.7,5.1,58.9,47.6,53,55.1,45.9,50.3,11,17,28,5,29,40,54,112,167,74,99,173,295,162,455,14,27,47,17,30,43,326,217,544,1003,1071,2069,193,241,435,676,724,1395,452,525,980
UCL515012,722,822,1544,438,260,698,72,270,341,25,33,61,16,21,41,555,580,1141,136,207,340,3.2,3.4,3.3,77.1,71.1,73.9,74.6,68.7,71.4,11,19,31,12,15,31,56,139,195,50,107,154,250,147,400,13,24,42,6,24,28,270,196,468,777,809,1592,182,215,398,443,485,928,427,479,913
UCL515013,2166,2132,4299,782,517,1298,200,464,664,286,247,532,40,25,54,1310,1239,2546,727,767,1500,2.8,1.7,2.2,60.4,58.2,59.3,58.7,57.3,58,57,80,138,24,68,93,232,405,637,197,220,408,730,266,994,17,45,65,37,47,86,785,357,1142,1910,1816,3729,427,473,902,1327,1249,2581,919,952,1871
UCL515014,566,602,1173,170,188,354,41,55,94,20,25,44,11,16,28,248,278,531,214,213,430,5.6,5.3,5.5,43.9,46.5,45.3,41.4,44.1,42.8,16,37,53,8,19,29,46,95,139,30,31,62,80,43,124,4,17,23,8,6,21,95,70,163,435,471,904,121,122,241,313,299,610,215,259,469
UCL515015,1142,1154,2297,511,248,763,106,244,355,44,15,56,28,31,57,691,531,1225,362,550,914,4.2,5.4,4.7,60.5,46.3,53.4,58,43.8,50.8,10,15,23,4,18,25,89,119,211,49,78,131,265,156,423,8,24,34,12,25,37,284,204,490,1115,1103,2217,156,174,328,741,754,1491,444,441,886
UCL515016,678,689,1371,231,132,360,96,172,269,32,41,74,22,12,33,384,356,741,238,275,511,6.5,2.8,4.7,56.7,51.4,54.1,53,50,51.5,8,13,19,9,11,20,43,74,120,46,80,125,218,83,306,5,19,23,9,21,25,230,124,352,581,555,1135,154,166,321,361,324,683,340,353,696
UCL515017,973,919,1898,222,107,325,107,156,259,110,101,218,15,5,23,450,376,820,383,412,796,2.9,2.4,2.7,46.1,40.5,43.4,44.7,39.6,42.2,24,27,51,11,14,24,70,90,162,46,87,129,289,95,386,7,13,27,12,17,35,317,133,450,788,739,1524,123,135,253,615,569,1185,272,266,533
UCL515018,652,637,1285,313,181,491,43,113,161,42,29,73,22,18,38,422,335,760,130,188,317,5,5,5,65,53.2,59.2,61.8,50.6,56.2,10,4,17,0,12,6,24,44,72,14,41,57,202,78,276,11,18,28,6,5,15,212,101,317,544,539,1084,144,130,276,365,318,692,287,302,585
UCL515019,1511,1436,2949,629,328,958,184,322,508,60,51,109,51,43,95,923,740,1665,411,541,952,5.4,5.7,5.5,61.2,51.6,56.5,57.8,48.7,53.4,14,21,37,10,31,38,63,119,180,52,75,127,306,161,466,32,40,70,24,28,47,360,226,586,1361,1317,2680,250,251,494,944,877,1828,573,584,1157
UCL515020,2148,2397,4545,866,763,1633,152,343,495,140,153,295,59,40,97,1225,1297,2523,611,742,1355,4.9,3.1,4,57,54.2,55.5,54.2,52.5,53.3,62,104,164,25,81,107,238,427,665,155,198,349,501,248,751,24,36,56,25,48,72,555,325,873,1769,1863,3626,488,597,1088,1026,1072,2102,1091,1244,2333
UCL515021,658,635,1291,268,129,392,102,212,310,43,21,63,15,9,33,426,367,802,207,248,454,4.4,3,3.8,65.4,58.1,61.8,62.5,56.4,59.5,14,21,38,8,21,29,65,110,177,44,68,112,207,84,292,12,18,25,17,24,38,232,120,357,682,635,1316,92,100,192,505,468,975,227,239,470
UCL515022,1609,1651,3260,743,358,1099,170,438,600,62,60,124,45,39,89,1023,891,1916,502,674,1169,4.8,4.7,4.8,63.5,54,58.7,60.4,51.5,55.9,18,14,30,3,30,35,81,144,221,64,122,182,412,251,663,32,60,96,21,36,60,477,347,824,1606,1613,3223,269,282,551,1106,1078,2181,668,720,1380
UCL515023,1048,952,1998,447,234,681,115,219,335,36,41,79,34,20,51,633,516,1145,269,330,597,5.5,3.9,4.8,60.6,53.8,57.3,57.2,51.7,54.6,31,16,45,7,13,21,57,84,141,41,63,101,263,107,371,22,44,64,12,14,26,297,166,460,900,861,1759,184,164,344,601,562,1163,422,402,822
UCL515024,656,639,1300,269,165,432,61,128,188,19,19,40,29,23,54,376,333,715,178,234,410,7.7,6.6,7.2,57.5,52,54.8,53,48.6,50.8,3,14,19,3,10,17,28,55,83,19,34,53,159,77,232,3,15,25,9,10,17,169,107,273,586,605,1190,85,92,177,413,391,808,229,269,501
UCL515025,701,790,1491,241,127,370,85,160,251,33,28,64,15,11,30,383,331,721,227,340,570,4.5,4.5,4.5,54.6,42.4,48.1,52.2,40.5,46,7,12,15,3,5,8,29,60,92,35,78,109,158,116,271,4,27,33,9,15,20,172,157,329,656,675,1332,112,125,242,427,460,890,298,303,600
UCL515026,800,853,1657,460,212,668,85,247,336,37,50,91,28,30,50,603,536,1139,159,281,440,4.3,4.9,4.6,75.5,62.8,68.9,72.2,59.7,65.8,8,8,17,4,12,22,35,94,128,36,103,141,307,165,470,15,29,45,8,21,29,333,215,545,876,908,1779,129,135,259,511,504,1018,408,454,861
UCL515027,1506,1599,3102,604,393,999,179,355,530,47,46,96,63,48,108,889,843,1732,435,567,1005,7.1,5.3,6.2,59.2,52.8,55.9,55,49.9,52.4,22,21,44,21,37,63,113,188,303,69,147,213,345,204,552,18,35,58,10,21,37,382,259,643,1298,1421,2714,287,301,592,905,942,1846,612,674,1284
UCL515028,2132,1577,3711,1428,747,2176,135,277,414,130,92,227,28,33,64,1726,1155,2878,113,232,345,1.6,3.1,2.2,80.8,73.3,77.6,79.5,71,75.9,44,44,87,13,26,41,169,226,402,136,157,287,773,270,1039,36,40,80,21,33,55,841,340,1177,1766,1308,3077,549,527,1077,789,472,1259,1331,1208,2542
UCL515029,926,449,1378,455,180,634,35,57,93,52,37,92,12,6,15,556,274,830,36,69,106,1.6,2.5,1.9,59.7,61.9,60.4,58.7,60.4,59.3,7,5,11,0,9,10,26,58,77,38,41,75,276,66,340,4,10,11,6,6,8,277,82,364,536,297,832,169,153,319,247,102,352,417,311,727
UCL515030,1404,1600,3000,486,263,756,149,382,531,48,42,93,70,51,121,753,747,1499,527,710,1235,9.3,6.8,8.1,53.9,46.7,50,48.9,43.5,46,17,9,24,12,19,34,63,117,181,70,122,191,376,253,624,30,42,68,24,42,63,421,332,754,1349,1531,2879,220,245,468,931,1051,1980,544,639,1181
UCL515031,1307,1324,2626,405,235,643,120,281,405,67,52,113,20,25,45,615,587,1207,511,600,1110,3.4,4.1,3.7,47.2,44.5,45.8,45.6,42.7,44.1,20,14,33,10,32,40,73,119,196,63,112,173,340,150,488,23,29,52,21,14,35,377,193,571,1119,1189,2306,167,176,347,807,847,1656,422,472,897
UCL515032,540,567,1104,284,139,421,60,192,248,39,27,66,13,11,26,385,372,760,127,165,290,3.1,3.5,3.3,71.9,65.5,68.6,69.6,63.3,66.4,5,3,11,6,9,14,29,65,92,34,49,80,195,109,304,11,16,20,5,11,18,212,128,339,578,557,1137,91,90,183,403,405,807,219,213,432
UCL515033,1272,1004,2281,778,366,1146,87,235,323,85,66,155,7,14,27,967,680,1644,69,173,239,0.9,2.2,1.5,76.1,67.7,72.4,75.4,66.2,71.3,32,24,53,9,22,35,83,152,241,74,105,176,492,176,668,21,19,41,8,20,25,523,218,738,1087,917,2000,327,273,601,441,353,793,853,741,1591
UCL515034,1026,1039,2062,406,190,596,119,255,378,41,34,76,47,50,101,615,537,1152,349,443,791,8,9.7,8.8,60.1,51.5,55.8,55.3,46.5,50.9,13,11,18,9,17,30,49,114,158,74,139,204,345,170,515,20,24,47,15,24,40,383,222,603,1070,1038,2106,211,210,425,643,603,1243,548,575,1121
UCL515035,510,537,1052,162,95,260,54,127,180,20,22,45,22,15,33,263,258,518,202,228,433,7.7,5.1,6.4,50.9,47.5,49.1,47,45.1,46,10,3,6,6,6,14,32,53,80,15,25,36,108,63,170,3,11,16,3,13,19,121,83,199,451,457,908,90,96,184,335,345,679,179,181,357
UCL515036,869,963,1835,338,132,465,75,229,307,48,29,77,38,43,82,496,427,930,307,458,762,7.8,9.7,8.7,57.1,44.7,50.6,52.6,40.3,46.2,5,5,9,5,6,12,33,56,90,33,70,105,257,164,422,13,35,44,11,24,27,274,221,501,832,925,1758,147,168,311,608,662,1269,321,375,694
UCL515037,1250,646,1894,704,231,930,67,147,208,53,44,95,11,12,22,830,429,1260,78,99,177,1.2,2.6,1.7,66.3,66.5,66.4,65.5,64.8,65.3,12,9,19,3,13,22,59,87,147,65,50,117,447,117,569,17,20,36,7,11,22,467,153,620,897,540,1440,253,185,442,536,274,808,529,393,915
UCL515038,1016,1040,2058,308,193,496,108,207,314,38,38,74,34,29,67,493,462,955,430,498,927,7.7,6.5,7.1,48.5,44.4,46.4,44.8,41.5,43.1,18,20,36,10,28,39,70,104,178,64,113,179,244,132,376,17,20,30,25,20,46,286,161,453,904,953,1862,151,145,296,644,667,1310,372,402,783
UCL521001,203,202,408,105,55,151,26,56,81,15,10,25,8,7,14,145,128,269,54,71,132,4.9,4.8,4.8,70.9,61.9,66.4,67.5,58.9,63.2,0,3,4,0,0,4,7,24,30,16,17,36,78,54,132,4,4,11,4,8,11,85,67,153,217,212,430,29,28,53,180,168,347,62,56,110
UCL521002,304,327,626,112,63,173,24,77,104,14,8,26,6,7,15,158,161,318,116,134,252,5.7,5,5.3,52.5,49.4,50.9,49.5,46.9,48.2,7,0,3,0,3,3,10,24,35,21,32,51,104,46,151,0,11,9,3,7,10,114,57,177,289,306,593,53,40,85,225,244,468,98,81,175
UCL521003,365,375,737,80,42,123,35,61,90,8,10,15,17,17,34,139,127,266,188,214,401,12.9,10.3,11.7,38.6,33.4,35.9,33.6,30,31.8,5,3,7,0,0,4,10,32,48,17,33,52,75,38,111,10,0,10,3,9,14,84,50,137,307,330,641,47,43,90,224,240,464,114,124,242
UCL521004,194,242,435,39,43,87,12,10,19,7,10,11,3,3,6,58,65,125,131,166,304,6.8,7.5,7.1,30.3,27.8,28.9,28.2,25.7,26.8,3,0,3,0,6,6,8,18,28,0,9,6,16,25,45,8,10,17,3,8,15,32,39,72,231,267,491,45,46,92,169,203,372,80,77,159
UCL521005,424,413,837,180,104,287,48,85,131,29,21,48,11,13,20,270,219,485,118,150,272,4.1,5,4.5,62.6,53.5,58.1,60,50.8,55.5,3,3,13,0,7,14,23,47,62,20,37,56,118,56,169,7,15,24,8,9,14,132,74,206,391,364,757,112,112,226,237,229,470,221,210,430
UCL521006,312,356,668,140,64,199,31,102,129,28,30,60,5,7,10,197,203,399,102,141,239,2,2,2,63.3,56.3,59.6,62.1,55.2,58.4,4,4,3,3,8,11,17,48,60,20,37,52,119,73,191,8,8,14,0,8,8,122,95,218,325,372,705,47,45,93,242,262,512,109,141,249
UCL521007,207,247,457,64,44,107,15,49,65,13,10,20,3,10,20,93,113,203,89,113,201,5.3,10.8,8.3,46.1,44.8,45.4,43.7,39.9,41.6,4,0,3,0,5,4,3,23,31,7,29,39,32,41,69,6,3,9,3,7,16,36,49,88,163,196,360,41,52,95,112,131,243,83,105,187
UCL521008,220,237,455,61,31,96,15,47,66,13,12,16,9,5,20,105,95,197,85,115,198,9.8,7.4,8.6,46.8,40.4,43.5,42.2,37.4,39.7,0,4,7,3,3,6,15,24,33,7,17,22,33,27,60,0,3,3,0,3,5,37,38,76,192,207,394,30,37,65,125,134,253,80,99,178
UCL521009,276,212,489,104,38,145,20,38,57,3,4,8,8,9,11,140,80,222,81,104,181,3.6,6.1,4.5,49.6,38.7,44.9,47.8,36.3,42.9,0,0,0,0,12,6,7,14,22,10,21,24,71,22,100,5,7,7,3,6,9,77,32,106,223,193,416,40,32,77,178,141,317,77,71,151
UCL521010,303,328,633,107,57,165,24,62,86,19,17,34,13,14,28,160,146,310,121,159,281,8,8.2,8.1,53.4,44.5,48.8,49.2,40.9,44.9,0,0,6,3,0,3,7,15,27,11,23,31,103,63,165,0,12,13,4,9,11,107,84,193,281,294,578,49,62,115,191,193,388,119,146,263
UCL521011,199,217,418,134,64,200,12,73,87,7,7,17,3,4,11,159,148,309,38,64,104,1.9,4,2.9,81.1,68.3,74.4,79.6,65.6,72.2,4,0,5,0,12,11,5,29,37,13,18,33,78,42,122,3,4,11,0,3,3,85,51,136,232,261,492,36,29,70,178,189,367,76,83,161
UCL521012,230,229,460,100,50,155,10,57,68,8,5,19,15,6,18,138,119,255,79,98,176,8.1,4.9,6.6,59.1,53.3,56.2,54.3,50.7,52.5,6,10,13,0,6,10,8,16,21,15,15,28,71,38,106,4,8,9,0,6,8,72,52,126,217,220,437,35,38,71,147,159,308,99,88,191
UCL521013,338,351,695,151,83,233,42,116,158,23,11,37,11,4,20,228,217,443,101,120,218,4.8,2.8,3.8,66.9,61.4,64.1,63.6,59.7,61.6,6,8,12,0,10,9,12,35,44,26,31,55,114,73,180,3,7,14,4,15,12,119,91,212,377,374,758,32,36,72,257,253,515,130,137,264
UCL521014,520,304,823,208,72,282,33,49,86,16,10,21,12,12,23,272,143,413,114,99,212,5.1,7.8,6.1,52.3,46.5,50.2,49.6,42.9,47.1,12,0,14,3,4,7,17,19,30,11,25,40,115,28,152,8,11,15,7,7,9,134,45,177,345,219,565,80,61,142,241,153,387,176,119,292
