UCL_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
UCL521038,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,78,6,0,0,4,0,0,3,0,12,103
UCL521039,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,119,12,10,0,6,0,4,0,0,7,162
UCL521040,3,4,6,0,9,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,127,27,35,3,4,6,14,5,3,5,230
UCL521041,11,0,4,3,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,68,22,29,3,4,3,4,0,0,3,133
UCL521042,0,0,0,3,13,4,0,3,43,0,0,0,0,0,0,0,0,0,0,0,82,12,3,3,5,3,18,10,0,9,144
UCL521043,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,64,6,8,0,0,0,0,0,0,3,90
UCL521044,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,108,13,8,0,0,0,0,0,0,3,132
UCL521045,0,0,5,7,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,51,4,0,0,4,7,8,0,0,0,78
UCL521046,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,15,9,4,0,0,0,0,0,6,39
UCL521047,11,0,0,4,3,6,0,0,37,0,0,0,0,0,0,0,0,0,0,0,57,16,22,0,0,3,3,6,0,7,115
UCL521048,8,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,149,13,18,0,4,3,0,0,0,9,193
UCL521049,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,8,3,4,0,0,0,0,0,0,0,22
UCL521050,14,0,0,0,0,4,0,0,32,0,0,0,0,0,0,0,0,0,0,0,60,18,17,4,0,3,0,4,0,7,112
UCL521051,3,0,0,5,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,112,16,14,0,5,5,0,0,0,6,149
UCL521052,5,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,43,7,12,3,4,0,0,0,0,0,69
UCL522001,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,0,0,0,0,0,0,20
UCL522002,3,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,55,10,7,0,0,0,5,0,0,3,80
UCL522003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
UCL522004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL522005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3
UCL522006,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,69,14,7,8,7,0,0,4,0,0,110
UCL522007,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,23,3,3,0,0,0,3,0,0,0,39
UCL522008,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,30,5,3,0,0,0,0,0,0,5,36
UCL522009,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,33,10,3,0,0,0,0,0,0,0,57
UCL522010,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,24,24,53,12,0,0,0,0,0,0,0,22,86
UCL522011,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,24,4,11,0,0,0,0,0,0,4,42
UCL522012,4,0,0,0,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,54,6,5,4,0,0,6,0,0,4,86
UCL522013,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,5,58,6,0,3,0,0,0,0,0,7,71
UCL522014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,27
UCL522015,3,0,0,8,3,5,0,0,44,0,0,0,0,0,0,0,0,0,0,0,149,22,19,4,7,14,11,4,0,4,233
UCL522016,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,35,5,0,3,0,3,0,0,0,0,49
UCL522017,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,38,4,4,0,0,0,0,0,0,0,48
UCL522018,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,39,3,5,0,0,0,0,0,0,0,50
UCL522019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,25
UCL522020,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,16
UCL522021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,3,0,0,0,0,0,0,0,37
UCL522022,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19,6,0,0,0,0,0,0,0,5,30
UCL522023,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,33,0,3,0,0,0,0,0,0,0,41
UCL522024,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,60,4,3,0,0,0,0,0,0,5,71
UCL522025,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,35,11,4,0,0,0,0,0,0,0,56
UCL522026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,6,0,0,0,0,0,0,3,44
UCL522027,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,53,14,4,5,0,0,0,0,0,0,72
UCL522028,4,0,0,3,8,3,13,0,30,0,0,0,0,0,0,0,0,0,0,0,20,0,4,0,0,3,12,4,13,0,60
UCL522029,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,50,8,0,0,0,0,0,0,0,0,59
UCL522030,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,22,4,3,0,0,0,0,0,0,0,37
UCL522031,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
UCL522032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,12
UCL522033,3,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,90,6,8,0,0,0,3,0,0,0,111
UCL522034,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10
UCL522035,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,18,7,5,0,0,0,3,0,0,0,30
UCL522036,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,6,0,0,0,0,4,38
UCL522037,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,4,0,0,5,32
UCL522038,6,0,0,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,23,11,20,6,3,0,3,0,0,3,75
UCL522039,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,37,10,13,3,3,0,3,0,0,0,72
UCL522040,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,4,0,0,0,0,38
UCL522041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,5,0,0,0,0,0,0,0,43
UCL522042,9,3,6,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,58,32,29,5,4,7,6,5,3,6,144
UCL522043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UCL522044,0,0,0,0,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,25,3,10,0,0,0,5,0,0,0,47
UCL522045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
UCL522046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,8,0,0,0,0,0,0,0,30
UCL522047,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,26,3,4,0,0,0,0,0,0,3,41
UCL522048,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,25,0,9,0,0,0,0,0,0,0,35
UCL522049,0,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,33,4,10,3,0,0,0,0,0,0,54
UCL522050,8,4,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,22,15,4,5,0,4,0,0,0,0,55
UCL522051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,0,0,0,3,34
UCL522052,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,4,4,0,5,0,0,0,0,7,33
UCL522053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL522054,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,6,0,0,0,0,0,0,3,26
UCL522055,3,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,81,14,3,0,0,3,0,0,0,0,105
UCL522056,8,0,0,0,4,6,0,0,27,0,0,0,0,0,0,0,0,0,0,0,48,10,13,0,0,6,4,6,0,5,78
UCL522057,5,3,0,0,15,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,69,12,9,3,0,0,17,0,3,0,124
UCL522058,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,28
UCL522059,5,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,35,7,10,0,0,0,0,0,0,6,58
UCL522060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
UCL522061,5,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,49,0,3,6,0,0,3,0,0,4,70
UCL522062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
UCL522063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL522064,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,5,0,0,18
UCL522065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9
UCL522066,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,9,9,0,0,0,0,0,0,3,40
UCL522067,11,0,4,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,50,26,22,0,4,0,7,0,0,4,116
UCL522068,4,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,62,17,8,0,0,0,0,0,0,0,93
UCL522069,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,36,0,9,0,3,0,0,0,0,0,47
UCL522070,6,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,41,0,3,0,0,0,3,0,0,5,53
UCL522071,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11
UCL531001,1495,196,251,353,620,233,118,238,8128,71,18,15,0,0,0,4,3,0,809,933,23092,5634,3808,455,443,636,1095,390,218,1989,37753
UCL579997,36,9,4,7,8,9,0,19,200,0,0,0,0,0,0,0,0,0,0,5,352,156,115,17,6,18,14,10,3,28,717
