SAL_CODE_2021,Ty_LTHC_Arth_Ind_M,Ty_LTHC_Arth_Ind_F,Ty_LTHC_Arth_Ind_P,Ty_LTHC_Arth_NoInd_M,Ty_LTHC_Arth_NoInd_F,Ty_LTHC_Arth_NoInd_P,Ty_LTHC_Arth_In_ns_M,Ty_LTHC_Arth_In_ns_F,Ty_LTHC_Arth_In_ns_P,Ty_LTHC_Arth_Tot_M,Ty_LTHC_Arth_Tot_F,Ty_LTHC_Arth_Tot_P,Ty_LTHC_Asth_Ind_M,Ty_LTHC_Asth_Ind_F,Ty_LTHC_Asth_Ind_P,Ty_LTHC_Asth_NoInd_M,Ty_LTHC_Asth_NoInd_F,Ty_LTHC_Asth_NoInd_P,Ty_LTHC_Asth_In_ns_M,Ty_LTHC_Asth_In_ns_F,Ty_LTHC_Asth_In_ns_P,Ty_LTHC_Asth_Tot_M,Ty_LTHC_Asth_Tot_F,Ty_LTHC_Asth_Tot_P,Ty_LTHC_Canc_Ind_M,Ty_LTHC_Canc_Ind_F,Ty_LTHC_Canc_Ind_P,Ty_LTHC_Canc_NoInd_M,Ty_LTHC_Canc_NoInd_F,Ty_LTHC_Canc_NoInd_P,Ty_LTHC_Canc_In_ns_M,Ty_LTHC_Canc_In_ns_F,Ty_LTHC_Canc_In_ns_P,Ty_LTHC_Canc_Tot_M,Ty_LTHC_Canc_Tot_F,Ty_LTHC_Canc_Tot_P,Ty_LTHC_Dem_Ind_M,Ty_LTHC_Dem_Ind_F,Ty_LTHC_Dem_Ind_P,Ty_LTHC_Dem_NoInd_M,Ty_LTHC_Dem_NoInd_F,Ty_LTHC_Dem_NoInd_P,Ty_LTHC_Dem_In_ns_M,Ty_LTHC_Dem_In_ns_F,Ty_LTHC_Dem_In_ns_P,Ty_LTHC_Dem_Tot_M,Ty_LTHC_Dem_Tot_F,Ty_LTHC_Dem_Tot_P,Ty_LTHC_Diab_Ind_M,Ty_LTHC_Diab_Ind_F,Ty_LTHC_Diab_Ind_P,Ty_LTHC_Diab_NoInd_M,Ty_LTHC_Diab_NoInd_F,Ty_LTHC_Diab_NoInd_P,Ty_LTHC_Diab_In_ns_M,Ty_LTHC_Diab_In_ns_F,Ty_LTHC_Diab_In_ns_P,Ty_LTHC_Diab_Tot_M,Ty_LTHC_Diab_Tot_F,Ty_LTHC_Diab_Tot_P,Ty_LTHC_Heart_Dis_Ind_M,Ty_LTHC_Heart_Dis_Ind_F,Ty_LTHC_Heart_Dis_Ind_P,Ty_LTHC_Heart_Dis_NoInd_M,Ty_LTHC_Heart_Dis_NoInd_F,Ty_LTHC_Heart_Dis_NoInd_P,Ty_LTHC_Heart_Dis_In_ns_M,Ty_LTHC_Heart_Dis_In_ns_F,Ty_LTHC_Heart_Dis_In_ns_P,Ty_LTHC_Heart_Dis_Tot_M,Ty_LTHC_Heart_Dis_Tot_F,Ty_LTHC_Heart_Dis_Tot_P,Ty_LTHC_Kid_Dis_Ind_M,Ty_LTHC_Kid_Dis_Ind_F,Ty_LTHC_Kid_Dis_Ind_P,Ty_LTHC_Kid_Dis_NoInd_M,Ty_LTHC_Kid_Dis_NoInd_F,Ty_LTHC_Kid_Dis_NoInd_P,Ty_LTHC_Kid_Dis_In_ns_M,Ty_LTHC_Kid_Dis_In_ns_F,Ty_LTHC_Kid_Dis_In_ns_P,Ty_LTHC_Kid_Dis_Tot_M,Ty_LTHC_Kid_Dis_Tot_F,Ty_LTHC_Kid_Dis_Tot_P,Ty_LTHC_Lung_Con_Ind_M,Ty_LTHC_Lung_Con_Ind_F,Ty_LTHC_Lung_Con_Ind_P,Ty_LTHC_Lung_Con_NoInd_M,Ty_LTHC_Lung_Con_NoInd_F,Ty_LTHC_Lung_Con_NoInd_P,Ty_LTHC_Lung_Con_In_ns_M,Ty_LTHC_Lung_Con_In_ns_F,Ty_LTHC_Lung_Con_In_ns_P,Ty_LTHC_Lung_Con_Tot_M,Ty_LTHC_Lung_Con_Tot_F,Ty_LTHC_Lung_Con_Tot_P,Ty_LTHC_MHC_Ind_M,Ty_LTHC_MHC_Ind_F,Ty_LTHC_MHC_Ind_P,Ty_LTHC_MHC_NoInd_M,Ty_LTHC_MHC_NoInd_F,Ty_LTHC_MHC_NoInd_P,Ty_LTHC_MHC_In_ns_M,Ty_LTHC_MHC_In_ns_F,Ty_LTHC_MHC_In_ns_P,Ty_LTHC_MHC_Tot_M,Ty_LTHC_MHC_Tot_F,Ty_LTHC_MHC_Tot_P,Ty_LTHC_Stroke_Ind_M,Ty_LTHC_Stroke_Ind_F,Ty_LTHC_Stroke_Ind_P,Ty_LTHC_Stroke_NoInd_M,Ty_LTHC_Stroke_NoInd_F,Ty_LTHC_Stroke_NoInd_P,Ty_LTHC_Stroke_In_ns_M,Ty_LTHC_Stroke_In_ns_F,Ty_LTHC_Stroke_In_ns_P,Ty_LTHC_Stroke_Tot_M,Ty_LTHC_Stroke_Tot_F,Ty_LTHC_Stroke_Tot_P,Ty_LTHC_oth_LTHC_Ind_M,Ty_LTHC_oth_LTHC_Ind_F,Ty_LTHC_oth_LTHC_Ind_P,Ty_LTHC_oth_LTHC_NoInd_M,Ty_LTHC_oth_LTHC_NoInd_F,Ty_LTHC_oth_LTHC_NoInd_P,Ty_LTHC_oth_LTHC_In_ns_M,Ty_LTHC_oth_LTHC_In_ns_F,Ty_LTHC_oth_LTHC_In_ns_P,Ty_LTHC_oth_LTHC_Tot_M,Ty_LTHC_oth_LTHC_Tot_F,Ty_LTHC_oth_LTHC_Tot_P,Ty_LTHC_no_LTHC_Ind_M,Ty_LTHC_no_LTHC_Ind_F,Ty_LTHC_no_LTHC_Ind_P,Ty_LTHC_no_LTHC_NoInd_M,Ty_LTHC_no_LTHC_NoInd_F,Ty_LTHC_no_LTHC_NoInd_P,Ty_LTHC_no_LTHC_In_ns_M,Ty_LTHC_no_LTHC_In_ns_F,Ty_LTHC_no_LTHC_In_ns_P,Ty_LTHC_no_LTHC_Tot_M,Ty_LTHC_no_LTHC_Tot_F,Ty_LTHC_no_LTHC_Tot_P,Ty_LTHC_Ns_Ind_M,Ty_LTHC_Ns_Ind_F,Ty_LTHC_Ns_Ind_P,Ty_LTHC_Ns_NoInd_M,Ty_LTHC_Ns_NoInd_F,Ty_LTHC_Ns_NoInd_P,Ty_LTHC_Ns_In_ns_M,Ty_LTHC_Ns_In_ns_F,Ty_LTHC_Ns_In_ns_P,Ty_LTHC_Ns_Tot_M,Ty_LTHC_Ns_Tot_F,Ty_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_ns_M,Tot_p_In_ns_F,Tot_p_In_ns_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P,Co_LTHC_no_SC_Ind_M,Co_LTHC_no_SC_Ind_F,Co_LTHC_no_SC_Ind_P,Co_LTHC_no_SC_NoInd_M,Co_LTHC_no_SC_NoInd_F,Co_LTHC_no_SC_NoInd_P,Co_LTHC_no_SC_In_ns_M,Co_LTHC_no_SC_In_ns_F,Co_LTHC_no_SC_In_ns_P,Co_LTHC_no_SC_Tot_M,Co_LTHC_no_SC_Tot_F,Co_LTHC_no_SC_Tot_P,Co_LTHC_1ms_LTHC_onec_Ind_M,Co_LTHC_1ms_LTHC_onec_Ind_F,Co_LTHC_1ms_LTHC_onec_Ind_P,Co_LTHC_1ms_LTHC_onec_NoInd_M,Co_LTHC_1ms_LTHC_onec_NoInd_F,Co_LTHC_1ms_LTHC_onec_NoInd_P,Co_LTHC_1ms_LTHC_onec_In_ns_M,Co_LTHC_1ms_LTHC_onec_In_ns_F,Co_LTHC_1ms_LTHC_onec_In_ns_P,Co_LTHC_1ms_LTHC_onec_Tot_M,Co_LTHC_1ms_LTHC_onec_Tot_F,Co_LTHC_1ms_LTHC_onec_Tot_P,Co_LTHC_1ms_LTHC_twoc_Ind_M,Co_LTHC_1ms_LTHC_twoc_Ind_F,Co_LTHC_1ms_LTHC_twoc_Ind_P,Co_LTHC_1ms_LTHC_twoc_NoInd_M,Co_LTHC_1ms_LTHC_twoc_NoInd_F,Co_LTHC_1ms_LTHC_twoc_NoInd_P,Co_LTHC_1ms_LTHC_twoc_In_ns_M,Co_LTHC_1ms_LTHC_twoc_In_ns_F
SAL50496,0,0,0,4,3,4,0,0,0,4,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,0,0,0,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,23,0,0,0,11,9,21,0,0,0,7,7,8,0,0,0,7,7,8,0,0,0,6,5,7,0,0,0,6,6,6,0,0,0,5,0,4,0,0
SAL50497,4,0,4,79,92,168,0,0,0,85,92,171,0,0,4,66,65,132,0,0,0,68,70,134,5,0,5,40,21,64,0,0,0,46,21,64,0,0,0,3,7,12,0,0,0,3,7,12,3,0,3,53,30,82,0,0,0,54,30,84,0,0,0,49,17,63,0,0,0,48,17,63,0,0,0,8,0,10,0,0,0,7,0,15,0,0,0,16,8,28,0,0,0,16,8,31,4,3,6,58,84,149,0,0,0,66,91,158,0,0,0,9,5,14,0,0,0,9,5,14,5,3,8,73,80,147,0,0,0,75,82,160,35,31,64,911,873,1788,10,13,24,960,919,1878,5,0,5,52,55,107,122,81,200,177,132,305,47,37,86,1272,1213,2484,138,95,228,1458,1346,2806,43,31,70,957,916,1872,10,13,24,1009,962,1969,4,3,12,195,179,370,5,0,5,203,177,382,4,0,4,45,47,95,0,0
SAL50498,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,5,0,0,0,18,12,35,0,0,0,18,12,35,0,0,0,3,0,3,3,4,4,5,4,8,0,0,0,25,21,44,3,4,4,22,20,49,0,0,0,18,19,37,0,0,0,18,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
SAL50499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,4,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,0,0,0,0,0,7,0,0,0,19,17,34,0,0,0,19,17,34,0,0,0,0,0,0,8,5,13,7,9,11,0,0,3,22,18,44,8,5,13,29,31,55,0,0,0,19,13,36,0,0,0,19,13,36,0,0,0,0,7,6,0,0,0,0,7,6,0,0,0,0,0,0,0,0
SAL50500,5,7,7,300,421,719,3,0,3,308,423,732,7,9,19,156,248,404,5,0,5,170,259,428,3,0,8,133,108,236,3,0,3,136,105,244,0,0,0,18,24,37,0,0,0,18,24,37,4,3,7,181,121,300,3,0,3,190,124,316,3,0,5,191,123,315,0,0,0,198,128,330,5,0,4,33,31,64,0,0,0,34,34,68,0,0,3,73,72,154,0,0,0,78,74,155,6,10,18,209,335,550,0,0,5,218,350,570,0,0,0,37,48,83,0,0,0,38,48,85,5,12,16,198,250,447,0,0,3,200,263,465,40,33,70,1475,1431,2908,5,7,9,1515,1474,2992,8,0,10,109,97,208,137,97,234,248,199,446,74,57,123,2510,2637,5150,143,105,256,2730,2797,5531,42,38,78,1561,1541,3102,7,8,12,1605,1590,3195,17,13,29,516,641,1156,3,0,3,534,654,1190,3,5,10,214,214,430,0,0
SAL50501,0,0,0,9,17,30,0,0,0,9,16,30,0,0,0,7,8,9,0,0,0,7,8,16,0,0,0,5,5,11,0,0,0,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,3,0,0,0,3,7,13,0,0,0,3,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,24,0,0,0,6,15,24,0,0,0,71,57,132,0,0,0,71,57,132,0,0,0,0,7,9,8,10,16,9,18,20,0,0,0,110,103,213,8,10,21,113,117,233,0,0,0,75,69,151,0,0,0,75,69,151,0,0,0,19,25,47,0,0,0,19,25,47,0,0,0,9,0,9,0,0
SAL50502,0,0,3,139,270,407,0,5,5,140,267,409,11,3,15,135,196,332,0,0,0,137,202,343,0,5,4,67,86,148,0,0,0,66,91,155,0,0,0,19,27,51,0,0,0,24,28,46,0,0,3,126,122,245,0,0,0,130,124,250,0,0,6,112,76,186,0,0,0,110,80,186,0,0,0,22,19,47,0,0,0,29,21,48,0,0,0,43,48,94,0,0,0,49,48,94,11,4,17,153,228,384,0,0,0,163,236,394,0,3,3,33,23,50,0,0,0,33,27,54,3,3,3,163,210,372,0,0,0,167,210,378,28,22,49,1273,1249,2520,14,7,18,1311,1278,2591,3,5,9,82,107,185,83,68,155,171,175,346,48,38,95,2024,2169,4190,98,77,175,2170,2289,4457,28,21,54,1363,1340,2703,14,7,18,1404,1372,2777,15,7,28,390,461,854,0,0,3,412,470,881,4,0,5,134,186,319,0,0
SAL50503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,0,0,0,4,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,0,0,0,7,6,8,0,0,0,3,6,13,0,0,0,5,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,5,0,4,0,0,0,5,0,3,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50508,9,16,21,0,6,4,0,0,0,8,23,31,6,27,35,9,15,25,0,0,0,19,45,60,3,6,5,4,0,3,0,0,0,7,6,10,0,7,6,0,0,0,0,0,0,0,7,6,18,52,72,7,5,11,0,0,0,21,56,83,9,19,29,5,3,3,0,0,0,20,24,38,4,11,21,4,3,7,0,0,0,10,16,23,0,4,3,0,0,3,0,0,0,0,3,6,8,16,21,8,25,30,0,0,0,15,39,55,4,0,10,3,0,3,0,0,0,10,0,13,15,24,37,3,13,15,0,0,0,20,31,59,266,257,523,135,116,252,0,4,4,397,376,777,20,18,35,3,8,6,48,62,108,69,89,154,351,374,730,169,169,338,44,63,110,571,607,1181,280,263,547,139,123,260,0,4,4,415,389,809,46,53,99,23,24,55,0,0,0,69,82,155,6,20,27,4,7,13,0,0
SAL50509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50510,0,0,0,194,337,533,0,4,3,193,344,537,0,0,0,273,297,572,0,3,3,273,299,572,0,0,0,141,153,297,0,0,0,145,152,302,0,0,0,16,20,38,0,0,0,16,20,38,0,0,0,101,83,184,0,0,0,98,83,184,0,0,0,180,84,264,0,3,5,180,84,264,0,0,0,23,24,51,0,0,0,23,24,51,0,0,0,42,43,90,0,0,0,42,43,90,0,0,0,204,297,505,5,0,5,205,303,505,0,0,0,30,16,42,0,0,0,32,14,46,0,0,0,291,347,641,0,0,0,292,348,642,10,7,18,2933,2927,5864,5,11,17,2950,2948,5894,0,0,0,127,136,263,71,62,132,195,201,394,16,10,23,4142,4298,8436,81,77,156,4238,4386,8621,12,7,19,3127,3135,6260,5,11,17,3141,3153,6297,3,0,0,653,775,1430,4,5,5,663,778,1438,0,0,0,175,193,372,0,0
SAL50511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50512,0,0,0,3,10,20,0,0,0,3,10,20,0,0,0,7,14,22,0,0,0,7,14,22,0,0,0,4,5,10,0,0,0,4,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,10,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,17,0,0,0,5,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,27,0,0,0,12,13,27,0,0,0,85,72,154,0,3,3,83,79,162,0,0,0,11,3,13,7,7,13,14,9,28,0,0,0,115,120,236,7,8,18,123,130,253,0,0,0,85,79,164,0,3,3,87,79,170,0,0,0,16,30,42,0,0,0,16,30,42,0,0,0,0,7,11,0,0
SAL50513,0,0,0,5,6,12,0,0,0,5,6,12,0,0,0,5,5,4,0,0,0,5,5,4,0,0,0,0,3,9,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,6,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,5,3,3,0,0,0,28,19,43,0,0,0,28,19,43,4,0,4,70,0,70,0,0,0,71,0,71,4,0,4,109,35,145,0,0,0,116,35,143,0,0,0,29,18,42,0,0,0,29,18,42,0,0,0,8,5,17,0,0,0,8,5,17,0,0,0,0,6,8,0,0
SAL50514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50515,0,0,0,3,0,5,0,0,0,3,0,5,0,0,0,3,7,4,0,0,0,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,17,13,27,0,0,0,17,13,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,34,0,0,0,20,18,34,0,0,0,17,13,27,0,0,0,17,13,27,0,0,0,5,4,5,0,0,0,5,4,5,0,0,0,0,3,5,0,0
SAL50516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,15,0,0,0,18,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,28,0,0,0,20,3,28,0,0,0,18,6,15,0,0,0,18,6,15,0,0,0,6,0,3,0,0,0,4,0,6,0,0,0,0,0,0,0,0
SAL50517,0,0,0,36,58,85,0,0,0,36,58,90,0,0,3,37,40,80,0,0,0,36,45,82,0,0,0,20,19,32,0,0,0,20,19,32,0,0,0,3,6,10,0,0,0,3,6,10,0,0,0,27,23,50,0,0,0,27,23,54,0,0,0,25,18,41,0,0,0,25,18,41,0,0,0,7,3,10,0,0,0,7,3,10,0,0,0,5,3,10,0,0,0,5,8,12,0,0,0,34,50,84,0,0,0,34,50,84,0,0,0,5,3,7,0,0,0,5,3,7,0,0,0,34,36,72,0,0,0,34,34,70,0,5,4,307,280,596,0,0,0,311,287,601,0,0,0,23,20,39,29,27,56,54,45,104,4,8,12,482,473,954,29,28,63,524,500,1027,0,5,4,330,302,632,0,0,0,333,303,637,0,0,0,95,98,194,0,0,0,91,104,194,0,0,0,29,27,61,0,0
SAL50518,4,17,23,390,710,1105,0,5,10,396,733,1132,25,38,66,445,585,1028,0,0,0,472,625,1095,3,6,8,152,198,357,0,0,3,159,206,368,0,0,0,37,57,92,0,0,0,37,59,95,11,14,28,433,314,750,0,0,0,446,326,780,9,10,22,310,200,508,0,0,0,320,209,527,0,0,0,59,54,114,0,0,0,64,54,117,3,3,3,115,142,250,0,0,0,119,143,258,11,29,45,479,760,1244,0,0,0,490,791,1286,0,3,4,58,68,131,0,0,0,62,75,136,13,19,26,391,586,974,0,3,3,405,603,1009,155,124,281,3881,3572,7454,15,8,19,4052,3705,7756,17,26,41,210,197,407,311,237,547,542,450,989,233,230,467,6024,6110,12134,334,251,586,6585,6596,13181,163,129,293,4089,3840,7929,15,10,23,4267,3978,8245,41,51,93,1211,1373,2586,3,10,7,1255,1431,2684,12,13,23,334,480,814,0,5
