SAL_CODE_2021,Med_ag_pe_In_pe,Me_ag_ps_N_In_ps,Med_age_psns_Tot,Me_p_in_wk_In_pe,Me_ps_in_wk_No_In_pe,Med_psnl_inc_wk_Tot,Me_hh_in_wk_Hh_In_pe,Me_hh_in_wk_No_Ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_Hh_In_pe,Me_mo_re_mt_Ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_Hh_Ind_psns,Me_re_wk_No_Oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_Hh_w_In_p,Av_Nu_ps_pe_be_Ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_Hh_wi_Ind_psns,Avg_hh_si_Othr_hhd,Avg_household_size_Tot,P_d_n_x_b_Hh_w_In_p,P_d_n_x_b_No_Oth_hh,P_d_n_x_b_Tot
SAL50038,48,62,62,725,540,541,1024,869,869,1733,1541,1551,300,280,280,1,0.7,0.7,2.9,1.9,1.9,18.2,1.4,1.7
SAL50039,18,37,36,619,801,797,2058,1848,1856,1733,1709,1712,340,350,350,0.9,0.7,0.7,3.5,2.7,2.7,6.6,1,1.2
SAL50040,20,31,31,1138,1044,1046,2405,2157,2165,2039,1950,1950,380,390,390,0.8,0.8,0.8,3.3,2.9,2.9,1.8,1.4,1.4
SAL50041,0,39,39,0,762,762,0,1375,1375,0,0,0,0,295,295,0,1,1,0,2.3,2.3,0,0,0
SAL50042,0,40,40,0,949,949,0,1375,1375,0,0,0,0,150,150,0,0.9,0.9,0,3.3,3.3,0,0,0
SAL50043,71,45,45,0,1125,1124,725,2749,2374,0,542,542,0,0,0,0.6,1,1,2,3.3,3.2,0,0,0
SAL50044,0,54,54,0,749,749,0,1625,1625,0,500,500,0,327,327,0,0.7,0.7,0,1.4,1.4,0,0,0
SAL50045,55,52,52,687,900,820,3750,2250,2583,2600,1636,2167,0,0,0,0.7,0.8,0.8,6,2.7,3,0,0,0
SAL50046,0,30,30,0,687,687,0,1625,1625,0,0,0,0,0,0,0,0.8,0.8,0,3.6,3.6,0,0,0
SAL50047,0,51,51,0,1291,1291,0,2749,2749,0,7800,7800,0,0,0,0,0.8,0.8,0,3,3,0,0,0
SAL50048,32,44,44,1024,968,968,350,1604,1583,0,750,750,0,210,210,1,0.7,0.7,1,2.4,2.4,0,2.2,2.2
SAL50049,61,48,60,474,699,474,1124,2250,1125,0,0,0,50,0,50,1.2,0.5,1.1,2.4,2,2.3,20,0,16.7
SAL50050,63,46,49,0,914,900,725,2250,2124,0,2366,2366,0,400,400,0.6,0.8,0.8,2,2.7,2.6,0,0,0
SAL50051,28,44,44,1062,695,697,1874,1531,1531,1571,1815,1800,395,300,310,0.8,0.8,0.8,2.9,2.6,2.7,0,2.4,2.3
SAL50052,18,49,49,1125,706,715,0,1562,1562,3074,2383,2383,0,250,250,0.9,0.7,0.7,5,2.3,2.4,0,0,0
SAL50053,28,39,39,581,807,804,1347,1542,1537,2365,1753,1756,265,340,340,0.8,0.7,0.7,2.4,2.2,2.2,2.5,1.7,1.7
SAL50054,18,32,31,965,941,941,2292,2090,2096,2000,1900,1900,380,360,360,0.9,0.8,0.8,3.5,2.9,2.9,2.1,1,1
SAL50055,24,33,32,518,718,713,1210,1302,1299,1788,1473,1482,300,310,310,0.9,0.8,0.8,2.8,2.4,2.4,10,4.2,4.4
SAL50056,45,58,58,537,541,540,725,957,944,1300,1372,1348,255,240,250,1.1,0.7,0.8,2.3,2,2,0,2.9,2.7
SAL50057,0,64,64,0,866,866,0,1499,1499,0,1083,1083,0,0,0,0,0.6,0.6,0,1.9,1.9,0,0,0
SAL50058,0,68,68,0,374,374,0,725,725,0,0,0,0,0,0,0,1.5,1.5,0,1.5,1.5,0,50,50
SAL50059,18,56,53,150,767,746,0,1792,1792,0,1729,1729,0,250,250,0.8,0.6,0.6,4,2.1,2.2,0,0,0
SAL50060,0,29,29,0,900,900,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,2,2,0,0,0
SAL50061,20,38,37,780,715,716,1625,1729,1726,1690,1705,1703,310,350,350,1,0.8,0.8,3.4,2.9,2.9,10.8,2.8,3
SAL50062,0,53,53,0,875,875,0,1812,1812,0,0,0,0,0,0,0,0.6,0.6,0,2.2,2.2,0,0,0
SAL50063,65,65,65,450,453,453,725,665,675,0,442,442,0,145,145,0.7,0.6,0.6,1.7,1.4,1.5,0,0,0
SAL50064,64,55,56,900,674,675,900,1437,1375,0,705,705,0,0,0,0.3,0.9,0.8,1,2.5,2.4,0,0,0
SAL50065,46,53,53,1125,1062,1069,0,1874,1874,0,1084,1084,0,0,0,0.3,0.8,0.8,1,2.6,2.5,0,0,0
SAL50066,13,39,39,450,962,958,2374,2087,2087,2167,1950,1959,0,263,263,0.9,0.7,0.7,3.5,2.7,2.7,0,0.8,0.8
SAL50067,37,41,40,256,2362,2241,462,1625,474,0,0,0,65,0,65,0.8,0.2,0.7,2.3,1,2.1,0,0,0
SAL50068,14,42,42,900,860,860,2374,2507,2507,1733,2100,2100,370,450,450,0.8,0.7,0.7,3.2,3,3,0,1.8,1.8
SAL50069,18,30,30,556,919,913,1536,1967,1956,1800,1800,1800,295,360,360,1,0.8,0.8,3.5,3,3,9.5,2.4,2.5
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,26,47,46,2500,1166,1208,2750,1874,1875,2053,2000,2000,0,346,346,1,0.9,0.9,3,2.9,2.9,0,0,0
SAL50072,0,62,62,0,850,850,0,1999,1999,0,0,0,0,50,50,0,0.7,0.7,0,2.2,2.2,0,0,0
SAL50073,0,44,44,0,1062,1062,0,2083,2083,0,0,0,0,169,169,0,0.6,0.6,0,2.3,2.3,0,0,0
SAL50074,0,56,56,0,634,634,0,1375,1375,0,2405,2405,0,310,310,0,0.9,0.9,0,3,3,0,0,0
SAL50075,21,45,45,725,708,708,2750,2083,2110,2395,2167,2167,400,300,323,1,0.7,0.8,3.8,2.9,3,12.5,0.7,1
SAL50076,63,40,41,1125,2333,2167,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,1,0,0,0
SAL50077,0,49,49,0,782,782,0,2089,2089,0,2800,2800,0,353,353,0,0.7,0.7,0,2.7,2.7,0,0.9,0.9
SAL50078,24,41,40,559,917,910,1625,1775,1772,2000,1842,1850,300,330,330,1,0.7,0.7,3,2.3,2.3,8.4,1.2,1.3
SAL50079,25,41,41,575,854,852,1187,2297,2284,3000,2200,2200,280,420,420,0.7,0.8,0.8,2.3,2.9,2.9,9.1,1.3,1.4
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50081,19,32,31,918,1697,1665,2666,3457,3390,3000,2167,2200,275,330,315,0.9,0.8,0.8,3.2,3,3,5.3,1.6,2
SAL50082,17,43,42,606,709,707,1562,1342,1350,1409,1517,1517,280,350,350,0.9,0.7,0.7,3.4,2.4,2.5,1.8,0.8,0.8
SAL50083,27,39,39,690,1019,1015,1625,2046,2037,1972,2000,2000,300,350,350,0.9,0.8,0.8,2.6,2.4,2.4,6.7,1.8,1.8
SAL50084,38,46,45,409,789,735,612,1279,1177,1408,1300,1300,175,200,200,1,0.7,0.7,2.2,2,2,8.2,1.1,1.7
SAL50085,30,47,47,1125,900,911,2250,1437,1468,0,650,650,170,150,155,0.6,0.7,0.7,2,2.5,2.5,0,0,0
SAL50086,31,42,42,527,896,885,1083,1855,1837,2167,2302,2300,252,350,350,1,0.8,0.8,2.7,2.4,2.4,13.1,1.5,1.9
SAL50087,0,51,51,0,1375,1375,0,1375,1375,0,0,0,0,40,40,0,0.3,0.3,0,1,1,0,0,0
SAL50088,0,47,47,0,769,769,0,1687,1687,0,1550,1550,0,200,200,0,0.6,0.6,0,2.3,2.3,0,0,0
SAL50089,0,37,37,0,1093,1093,0,1875,1875,0,0,0,0,0,0,0,0.7,0.7,0,2.4,2.4,0,0,0
SAL50090,24,34,34,645,801,796,1674,1667,1667,1742,1733,1733,330,340,340,0.9,0.8,0.8,3.2,2.7,2.7,10.3,4.3,4.4
SAL50091,24,39,39,687,935,929,1350,2086,2072,2167,2161,2167,295,360,360,1,0.8,0.8,2.9,2.5,2.5,10,1.4,1.6
SAL50092,13,43,42,1312,966,967,1937,2726,2722,2600,2465,2492,0,370,370,0.9,0.8,0.8,4.2,3.1,3.1,0,1.6,1.6
SAL50093,20,39,38,455,660,651,1261,1433,1426,1733,1517,1517,310,320,320,1,0.8,0.8,3.5,2.6,2.7,9.5,2.8,3.1
SAL50094,18,42,39,549,824,778,0,1562,1562,0,2086,2086,0,300,300,1.2,0.7,0.7,6,2.6,2.7,0,0,0
SAL50095,0,29,29,0,783,783,0,1375,1375,0,2200,2200,0,40,40,0,0.7,0.7,0,2.2,2.2,0,0,0
SAL50096,0,46,46,0,524,524,0,1625,1625,0,1434,1434,0,0,0,0,0.9,0.9,0,2.8,2.8,0,0,0
SAL50097,0,49,49,0,949,949,0,1562,1562,0,2383,2383,0,138,138,0,0.8,0.8,0,2.7,2.7,0,2.6,2.6
SAL50098,19,34,34,687,990,984,1937,2213,2206,2167,2080,2080,320,390,385,0.9,0.8,0.8,3.4,2.8,2.8,9.1,1.6,1.8
SAL50099,0,36,36,0,949,949,0,1916,1916,0,0,0,0,125,125,0,0.9,0.9,0,3.3,3.3,0,0,0
SAL50100,16,46,46,75,900,890,1625,2062,2062,1800,3500,2877,0,300,300,0.6,0.8,0.8,2,2.8,2.8,0,3.3,3.2
SAL50101,52,45,45,0,735,725,2000,1562,1562,1346,1517,1517,0,400,400,0.8,0.8,0.8,2.3,2.6,2.6,0,1.9,1.8
SAL50102,20,37,37,474,862,857,1562,1910,1905,1777,1868,1863,340,370,370,0.9,0.7,0.7,3.3,2.5,2.5,15.6,0.9,1.2
SAL50103,15,55,54,1137,691,691,1374,1899,1850,43,2200,2184,500,450,500,1,0.7,0.7,4.3,2.8,2.8,33.3,1.1,2.2
SAL50104,20,41,40,668,730,727,1406,1306,1313,1625,1495,1500,320,300,300,1,0.7,0.7,3.7,2.1,2.2,17.9,0.8,1.5
SAL50105,27,36,36,623,871,865,1468,1560,1557,2167,1733,1733,300,350,350,1,0.7,0.8,2.8,2.2,2.3,10.3,2.7,3
SAL50106,49,47,47,574,918,891,1999,1312,1339,567,767,675,138,110,110,0.8,0.6,0.6,2.7,2,2.1,0,0,0
SAL50107,43,45,44,374,857,850,1125,1625,1624,1084,1950,1950,0,300,300,1.2,0.8,0.8,1.7,2.7,2.6,0,1.8,1.7
SAL50108,0,35,35,0,849,849,0,1687,1687,0,3059,3059,0,175,175,0,0.8,0.8,0,2.4,2.4,0,0,0
SAL50109,0,43,43,0,825,825,0,1395,1395,0,1733,1733,0,233,233,0,0.7,0.7,0,2.5,2.5,0,0,0
SAL50110,19,32,32,850,781,781,2281,2071,2077,2039,1800,1800,400,420,418,0.8,0.8,0.8,3.3,3.4,3.4,7.9,4.6,4.6
SAL50111,23,32,32,461,621,618,1265,1211,1212,1717,1549,1555,330,320,320,1,0.8,0.8,2.9,2.3,2.3,7.8,3.3,3.4
SAL50112,27,46,45,560,881,868,1124,1456,1441,2097,1517,1517,200,250,250,0.9,0.7,0.7,2.5,2,2,5.7,1.2,1.4
SAL50113,0,39,39,0,1083,1083,0,1937,1937,0,9999,9999,0,0,0,0,0.7,0.7,0,2.3,2.3,0,0,0
SAL50114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50115,16,31,31,575,892,887,1550,2013,1997,1645,1690,1686,350,350,350,0.9,0.8,0.8,3.4,3.1,3.1,3,2.7,2.7
SAL50116,49,58,57,530,520,520,1375,931,935,1300,975,975,268,200,200,0.9,0.7,0.7,2.7,2,2.1,4.8,1.8,2
SAL50117,19,44,44,556,812,805,2107,1820,1825,1688,1818,1800,375,400,400,1,0.7,0.7,4,2.5,2.5,12.8,0.7,0.9
SAL50118,33,48,48,225,812,809,2625,2233,2241,3309,2600,2600,275,363,350,1,0.8,0.8,4,2.9,2.9,0,0.4,0.4
SAL50119,33,45,45,612,991,990,2583,2004,2007,4500,2383,2383,400,360,360,1,0.7,0.7,2.7,2.3,2.3,8.3,0.7,0.8
SAL50120,39,60,56,350,374,366,1125,900,1124,0,1108,1108,150,350,250,1.5,0.6,0.8,3,2.2,2.3,0,0,0
SAL50121,41,56,56,949,610,610,350,929,919,0,1559,1559,175,175,175,1,0.9,0.9,1,1.9,1.9,0,3.9,3.9
SAL50122,0,42,42,0,812,812,0,1624,1624,0,0,0,0,0,0,0,0.7,0.7,0,2.8,2.8,0,0,0
SAL50123,21,33,32,1024,1380,1319,1875,2622,2438,2600,2400,2403,280,303,300,1.1,0.8,0.9,3,2.7,2.7,6.5,1.3,2.4
SAL50124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50125,0,34,34,0,1178,1178,0,1875,1875,0,0,0,0,200,200,0,0.8,0.8,0,2.8,2.8,0,0,0
SAL50126,15,52,49,0,699,655,1375,1375,1375,1863,1664,1688,400,290,300,0.8,0.7,0.7,3.1,2.3,2.4,0,1.7,1.6
SAL50127,0,24,24,0,1875,1875,0,1875,1875,0,0,0,0,250,250,0,0.5,0.5,0,1,1,0,0,0
SAL50128,0,55,55,0,1374,1374,0,2250,2250,0,0,0,0,0,0,0,0.6,0.6,0,3,3,0,0,0
SAL50129,28,45,45,900,808,809,2249,1736,1754,2500,1779,1820,350,300,300,0.8,0.7,0.7,2.7,2.4,2.4,9.1,1.4,1.6
SAL50130,43,49,48,699,1025,979,0,1625,1625,0,0,0,160,0,160,1,0.6,0.6,4,2.4,2.4,0,0,0
SAL50131,36,45,45,500,767,767,900,1708,1666,0,2167,2167,0,330,330,0.7,0.7,0.7,3,2.6,2.6,0,3.7,3.6
SAL50132,29,53,52,470,870,853,1041,1382,1359,505,1733,1733,268,260,260,1,0.6,0.7,3.3,2,2.1,11.5,0.4,0.9
SAL50133,0,57,57,0,537,537,0,1083,1083,0,728,728,0,213,213,0,1,1,0,2.1,2.1,0,5.6,5.6
SAL50134,0,50,50,0,900,900,0,1416,1416,0,2419,2419,0,200,200,0,0.6,0.6,0,2.1,2.1,0,0,0
SAL50135,0,43,43,0,762,762,0,1624,1624,0,900,900,0,185,185,0,0.9,0.9,0,2.8,2.8,0,6.7,6.7
SAL50136,68,55,55,250,1125,966,450,2437,1687,0,600,600,50,150,125,0.9,0.7,0.7,2,2.4,2.4,0,0,0
SAL50137,31,41,40,599,848,838,1333,1766,1722,3423,1517,1517,270,280,280,0.9,0.7,0.7,2.5,2.5,2.5,6.3,1.5,1.7
SAL50138,0,43,43,0,1125,1125,0,1875,1875,0,1734,1734,0,180,180,0,0.7,0.7,0,2.6,2.6,0,0,0
SAL50139,29,61,59,450,724,574,1125,1542,1541,500,0,250,150,0,150,1.1,0.7,0.8,2.7,2.1,2.2,0,6.7,5.6
SAL50140,17,57,56,500,670,670,1875,1416,1458,0,540,540,0,130,130,0,0.7,0.7,2,2.1,2.1,0,0,0
SAL50141,0,40,40,0,450,450,0,1375,1375,0,750,750,0,0,0,0,1.3,1.3,0,3.6,3.6,0,7.7,7.7
SAL50142,15,52,51,824,608,612,900,1437,1416,1300,1200,1250,245,325,285,0.9,0.8,0.8,3.5,2.4,2.5,0,1.4,1.3
SAL50143,28,37,37,1781,1766,1771,3250,3562,3444,2370,2617,2502,950,575,850,0.9,0.9,0.9,3.5,2.9,3.1,0,3,2.2
SAL50144,49,41,45,1625,1324,1625,3750,1324,1875,0,0,0,0,0,0,0.5,0.5,0.5,2,2,2,0,0,0
SAL50145,9,49,48,0,661,661,0,1542,1542,1250,1762,1760,0,225,225,1.3,0.9,0.9,4,2.5,2.5,0,6.1,6
SAL50146,0,45,45,0,966,966,0,1812,1812,0,0,0,0,140,140,0,0.6,0.6,0,2.3,2.3,0,0,0
SAL50147,29,43,43,2500,2200,2227,0,1649,1649,0,0,0,0,250,250,0,0.2,0.2,0,1.5,1.5,0,0,0
SAL50148,25,43,43,1062,846,847,3250,1974,1991,2800,2500,2500,668,410,410,0.8,0.7,0.7,3.2,2.6,2.6,0,1.1,1.1
SAL50149,0,54,54,0,1375,1375,0,2125,2125,0,1300,1300,0,0,0,0,0.9,0.9,0,2.4,2.4,0,0,0
SAL50150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50151,40,56,55,725,602,612,725,914,900,0,650,650,265,140,145,0.5,0.7,0.7,1,2.1,2,0,0,0
SAL50152,20,48,48,725,812,749,0,1375,1375,0,1192,1192,200,425,250,1,0.8,0.8,3,2.4,2.4,0,0,0
SAL50153,0,53,53,0,1041,1041,0,1812,1812,0,2000,2000,0,0,0,0,0.7,0.7,0,2.1,2.1,0,0,0
SAL50154,0,40,40,0,549,549,0,225,225,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0
SAL50155,0,49,49,0,483,483,0,725,725,0,477,477,0,225,225,0,0.7,0.7,0,2.3,2.3,0,0,0
SAL50156,13,42,40,575,825,824,1625,1875,1812,0,0,0,0,50,50,0.7,0.7,0.7,3,2.3,2.3,0,0,0
SAL50157,28,53,53,900,706,725,900,1375,1333,0,1657,1657,260,276,260,0.3,0.8,0.8,1,2.2,2.2,0,0,0
SAL50158,0,50,50,0,949,949,0,1375,1375,0,750,750,0,70,70,0,0.7,0.7,0,2.2,2.2,0,0,0
SAL50159,24,36,35,542,1058,1019,1447,2014,1968,1300,1324,1302,270,300,300,1,0.8,0.8,3.1,2.4,2.4,12.7,2.5,3.5
SAL50160,49,54,52,450,1093,1062,450,1562,1562,0,674,674,200,190,200,0.3,0.7,0.7,1,2.4,2.3,0,0,0
SAL50161,40,56,56,450,602,599,1624,1156,1174,1200,1733,1733,435,260,280,0.8,0.6,0.7,3.3,2.2,2.2,0,0.8,0.8
SAL50162,20,46,46,324,785,776,1125,2229,2166,2011,1896,1950,150,490,480,0.7,0.7,0.7,2.7,2.9,2.9,0,1.3,1.3
SAL50163,49,49,49,900,675,687,0,1125,1125,0,1588,1588,0,100,100,0,0.9,0.9,0,2.3,2.3,0,7.1,7.1
SAL50164,54,47,48,0,599,575,225,1625,1593,0,1000,1000,300,250,275,0.4,0.8,0.7,2,2.6,2.6,0,0,0
SAL50165,16,62,59,75,587,550,874,1062,1042,3033,1844,2708,75,150,150,0.8,0.7,0.7,3,2.1,2.2,0,2.4,2.3
SAL50166,0,52,52,0,933,933,0,1437,1437,0,462,462,0,100,100,0,0.6,0.6,0,2.4,2.4,0,0,0
SAL50167,42,40,40,399,1062,1018,450,1906,1875,0,1042,1042,0,215,215,1.2,0.9,0.9,2.5,3.1,3,0,0,0
SAL50168,19,42,41,1999,931,933,3750,2140,2159,1675,1975,1975,415,390,395,0.7,0.7,0.7,2.8,2.5,2.5,0,0.4,0.4
SAL50169,15,46,46,575,748,745,1666,1601,1609,2108,1733,1733,250,320,320,1,0.8,0.8,3.4,2.6,2.6,11.1,1.3,1.5
SAL50170,0,32,32,0,1333,1333,0,1708,1708,0,0,0,0,0,0,0,0.7,0.7,0,2.5,2.5,0,0,0
SAL50171,30,33,32,450,1042,1041,900,1625,1499,0,910,910,275,150,213,1.5,0.7,0.8,6,2.7,3,0,0,0
SAL50172,40,51,51,1125,627,633,1312,1095,1102,867,1099,1088,250,220,220,0.8,0.7,0.7,2.2,2.2,2.2,0,0.9,0.8
SAL50173,25,30,29,1085,1058,1059,2044,2158,2155,2113,1910,1928,400,370,370,0.8,0.8,0.8,3.1,3,3,7.4,2,2.2
SAL50174,0,46,46,0,858,858,0,1774,1774,0,2450,2450,0,375,375,0,0.8,0.8,0,2.6,2.6,0,2.9,2.9
SAL50175,21,59,58,450,668,634,0,1187,1187,0,2383,2383,0,0,0,1,0.7,0.7,5,2.2,2.4,0,0,0
SAL50176,0,42,42,0,724,724,0,1208,1208,0,1127,1127,0,510,510,0,0.7,0.7,0,2,2,0,8.3,8.3
SAL50177,54,53,53,1156,727,742,1124,1224,1210,1717,1508,1508,319,200,220,0.5,0.8,0.8,1.4,2.1,2.1,0,3.5,3.4
SAL50178,20,38,38,430,821,785,1100,1753,1707,1192,2167,2100,200,350,350,1,0.8,0.8,3.2,2.4,2.5,12.1,1,1.4
SAL50179,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,1,1,0,0,0
SAL50180,33,52,52,900,579,580,1062,1084,1082,1150,1404,1400,320,292,300,0.9,0.7,0.7,2.7,2.2,2.2,3.1,1,1.1
SAL50181,16,43,43,1062,1002,1002,2750,2908,2901,2340,2685,2675,0,623,623,1,0.8,0.8,4.6,3.1,3.1,0,1,0.9
SAL50182,0,59,59,0,342,342,0,1124,1124,0,3018,3018,0,0,0,0,0.9,0.9,0,2.2,2.2,0,18.2,18.2
SAL50183,18,54,53,662,631,632,1625,1227,1232,1874,1733,1733,350,370,370,1,0.7,0.7,3.4,2.3,2.3,5.1,0.7,0.8
SAL50184,17,35,34,966,1536,1508,3250,3583,3557,2142,2200,2200,550,314,320,0.9,0.8,0.8,3.9,3.3,3.3,0,0,0
SAL50185,32,39,39,428,988,814,774,1694,1411,1154,1368,1300,200,215,208,0.9,0.8,0.8,2.3,2.1,2.2,9,0.8,2.8
SAL50186,0,53,53,0,575,575,0,900,900,0,1950,1950,0,125,125,0,0.9,0.9,0,1.8,1.8,0,0,0
SAL50187,16,31,30,341,639,620,1055,1421,1396,1517,1430,1438,300,300,300,0.9,0.8,0.8,3.3,2.8,2.9,7.1,2.5,2.9
SAL50188,20,50,50,949,743,743,2999,1812,1812,0,1767,1767,0,200,200,1.1,0.8,0.8,4,2.6,2.7,0,3.6,3.5
