SAL_CODE_2021,Neg_nil_inc_Hh_with_Ind_psns,Neg_nil_inc_Other_households,Neg_nil_inc_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_more_Hh_with_Indig_psn,2000_more_Other_households,2000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,4,4,0,0,0,0,17,17
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50019,0,0,0,0,0,0,0,4,4,0,0,0,0,12,12,0,8,8,0,4,4,0,8,8,0,11,11,0,11,11,0,3,3,0,11,11,0,12,12,0,11,11,0,0,0,0,95,95
SAL50020,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,0,65,65,0,31,31,0,40,43,0,48,50,0,124,126,0,139,139,0,130,128,0,188,186,0,241,244,4,197,199,0,173,174,3,210,215,13,990,997,0,170,170,0,22,25,20,2768,2792
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,5,5,0,0,0,0,18,16
SAL50024,0,22,22,0,23,23,0,32,32,0,32,36,0,83,87,0,89,89,0,107,109,0,137,139,4,175,173,0,125,130,5,129,133,0,114,114,7,477,479,0,92,92,0,19,19,16,1656,1677
SAL50025,0,0,0,0,0,0,0,4,4,0,5,8,0,14,14,0,12,12,0,11,16,0,21,21,0,16,17,0,20,20,0,13,16,0,19,19,0,36,36,0,19,19,0,8,9,0,198,211
SAL50026,4,95,103,4,40,45,29,187,214,35,359,390,45,813,859,31,695,730,37,479,519,38,600,636,27,562,588,14,325,345,10,223,233,5,137,146,10,167,184,31,308,336,7,164,171,327,5154,5499
SAL50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,3,0,3,3,0,0,0,0,3,3,0,4,4,0,0,0,0,19,19
SAL50030,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,5,5,0,4,4,0,3,3,0,5,3,0,0,0,0,4,4,0,3,3,0,0,0,0,0,0,0,30,28
SAL50031,0,14,14,0,10,10,0,15,15,0,33,33,0,65,66,7,57,59,3,62,67,5,86,88,5,114,119,0,91,91,0,97,97,0,86,87,6,312,321,0,77,83,0,9,7,26,1128,1157
SAL50032,0,22,22,0,3,3,0,14,13,0,41,41,0,112,112,0,170,169,3,95,102,0,114,109,0,136,142,0,91,95,0,79,79,0,48,48,3,112,119,0,68,69,0,32,32,6,1137,1155
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,0,13,13,0,6,7,4,12,14,4,28,36,6,57,62,0,35,39,5,33,36,0,36,34,0,52,60,0,45,42,6,35,41,0,41,41,4,86,90,0,37,37,0,7,7,29,523,559
SAL50035,0,56,54,0,23,21,0,22,29,3,57,60,0,106,106,0,125,125,0,130,130,5,134,142,3,200,204,3,167,173,0,185,185,0,186,188,8,783,790,4,156,156,0,24,24,26,2354,2387
SAL50036,0,22,22,4,12,14,8,30,43,3,63,63,0,145,146,0,182,181,6,189,194,8,252,261,6,333,342,3,344,348,3,311,319,0,280,276,6,524,536,0,258,263,0,19,19,47,2964,3027
SAL50037,0,20,20,0,12,10,0,22,24,0,32,32,0,54,54,0,113,118,0,115,120,5,184,190,3,270,273,3,264,270,0,196,199,4,172,178,13,421,436,8,163,169,0,18,18,36,2056,2111
SAL50038,0,18,18,0,7,8,0,21,22,0,38,38,0,131,130,0,93,93,3,73,78,0,50,54,0,50,51,0,30,30,0,24,24,0,12,12,0,39,39,0,48,46,0,23,22,3,657,665
SAL50039,4,56,65,0,22,22,11,103,113,12,174,190,7,503,512,23,420,441,17,417,436,13,505,519,32,652,680,17,477,494,15,455,475,10,345,355,25,672,697,22,513,532,4,67,71,212,5381,5602
SAL50040,3,43,45,0,14,13,0,35,40,3,70,72,6,209,218,9,235,242,14,306,320,4,408,412,19,710,729,21,566,583,16,471,479,16,391,408,37,583,619,18,443,462,0,48,53,166,4532,4695
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,3,0,0,0,0,14,14
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,8,11
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50048,0,0,0,0,0,0,0,0,0,0,3,4,0,3,3,0,3,3,0,5,5,0,0,0,0,4,4,0,5,5,0,3,3,0,5,5,0,3,3,0,5,5,0,0,0,0,39,40
SAL50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SAL50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,4,4,0,5,5,0,4,4,0,0,0,0,21,24
SAL50051,0,8,7,0,3,3,0,21,21,0,9,9,0,40,43,0,42,42,0,34,36,0,38,38,0,33,39,0,30,30,0,30,30,0,16,16,3,54,55,3,57,59,0,6,6,6,421,434
SAL50052,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,3,3,0,0,0,0,5,5,0,8,8,0,4,4,0,7,7,0,0,0,0,7,7,0,4,5,0,0,0,0,46,47
SAL50053,0,81,87,6,31,31,3,111,117,6,212,221,10,544,553,9,325,334,6,307,316,7,396,400,4,483,494,4,430,434,5,370,369,4,331,336,8,559,568,5,235,238,6,97,104,83,4512,4602
SAL50054,6,127,131,0,57,57,6,178,181,21,278,300,19,713,735,26,784,810,25,807,829,28,1086,1115,44,1467,1513,42,1322,1365,26,1068,1095,30,862,893,53,1681,1731,50,1453,1500,3,143,147,379,12026,12402
SAL50055,3,92,99,5,46,53,8,210,219,15,264,278,27,569,596,26,559,579,19,446,457,17,587,608,12,671,686,11,452,463,9,327,332,9,186,194,6,306,316,15,315,331,6,92,94,188,5122,5305
SAL50056,0,5,5,0,13,13,0,0,0,0,15,10,0,52,58,0,26,31,0,22,22,0,21,24,0,16,19,0,15,16,0,7,7,0,8,8,0,20,20,3,18,21,0,0,0,3,238,254
SAL50057,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,5,0,0,0,0,0,0,0,0,0,0,9,9,0,5,5,0,8,8,0,0,0,0,30,30
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50061,9,89,99,0,45,46,7,152,162,10,246,256,6,531,541,19,557,575,16,526,545,16,634,647,13,771,787,7,582,592,8,432,444,6,364,368,13,531,544,17,469,486,4,84,82,151,6013,6174
SAL50062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL50063,0,0,0,0,0,0,0,0,0,0,3,3,0,14,10,0,4,4,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26
SAL50064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,13,17
SAL50065,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,0,16,16
SAL50066,0,0,0,0,4,4,0,3,3,0,0,0,0,10,10,0,10,10,0,9,9,0,10,10,0,13,13,0,9,7,0,15,15,0,5,5,0,25,25,0,16,16,0,4,4,0,133,131
SAL50067,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL50068,0,13,13,0,0,0,0,14,14,0,7,7,0,23,26,0,21,22,0,30,30,0,38,38,0,40,40,0,37,37,0,36,34,0,35,35,0,108,109,3,42,49,0,4,4,3,448,458
SAL50069,0,36,36,0,26,26,8,55,61,11,104,118,10,172,175,4,239,249,9,315,319,16,417,434,9,534,545,3,439,442,4,368,369,4,243,248,3,322,322,3,348,354,0,46,46,84,3664,3744
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,7,7,0,3,3,0,0,0,0,14,14
SAL50072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL50074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50075,0,8,8,0,0,0,0,3,3,0,12,15,0,15,18,0,29,29,0,18,18,0,26,27,0,32,32,0,18,16,0,25,25,0,16,16,0,43,47,0,38,42,0,0,0,0,283,296
SAL50076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50077,0,6,6,0,0,0,0,9,9,0,0,0,0,3,3,0,6,6,0,3,3,0,9,9,0,13,13,0,9,9,0,10,10,0,0,0,0,27,27,0,12,12,0,0,0,0,107,107
SAL50078,0,63,64,4,28,38,10,85,94,5,157,158,9,400,411,3,348,352,9,275,284,9,373,379,12,423,434,7,365,372,8,367,378,6,320,326,11,775,791,12,269,269,0,58,59,105,4306,4409
SAL50079,0,16,13,0,13,13,0,27,27,0,47,46,0,75,75,0,84,84,0,76,76,0,107,107,3,140,147,0,104,104,0,104,104,0,100,100,0,290,290,0,81,81,0,11,11,3,1275,1278
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50081,3,5,5,0,0,0,3,6,13,3,3,4,6,10,10,5,13,20,7,22,28,5,41,44,15,82,97,7,95,100,16,103,120,13,135,144,37,537,575,17,110,129,9,8,13,146,1170,1302
SAL50082,3,28,24,0,12,12,7,28,31,7,42,46,4,135,139,8,142,152,3,120,119,5,145,147,4,140,143,4,94,96,5,74,79,9,58,60,4,81,82,5,66,74,4,17,16,72,1182,1220
SAL50083,0,72,74,5,44,47,7,103,110,4,202,205,9,488,500,11,381,396,8,294,306,6,473,477,8,550,559,3,522,527,7,459,473,8,506,512,18,1420,1439,15,388,404,5,81,84,114,5983,6113
SAL50084,6,12,13,0,8,3,9,18,24,12,40,55,12,66,81,10,56,60,8,41,48,0,48,50,6,54,59,0,47,46,0,45,47,0,25,25,0,72,72,0,34,36,3,13,18,66,579,637
SAL50085,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,3,3,0,4,4,0,0,0,0,8,12,0,0,0,0,0,0,0,5,5,0,6,6,0,0,0,0,33,37
SAL50086,0,32,36,7,18,21,3,51,58,6,85,90,8,196,204,3,151,152,0,131,133,0,140,141,5,165,168,4,178,184,4,157,157,6,144,145,3,430,431,13,132,145,0,31,34,62,2041,2099
SAL50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,13,13
SAL50089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,6
SAL50090,3,64,63,0,21,21,3,78,84,8,114,123,9,282,287,10,248,258,3,270,273,12,316,326,12,423,433,12,324,337,5,265,278,0,182,181,3,294,300,4,227,228,0,45,45,84,3153,3237
SAL50091,3,51,56,4,25,28,0,39,40,3,88,88,4,178,182,0,148,146,3,112,119,4,173,176,4,177,181,3,195,195,0,173,175,0,174,181,8,490,495,3,115,121,3,25,24,42,2163,2207
SAL50092,0,8,8,0,5,5,0,12,12,3,19,19,0,42,46,0,59,62,0,53,53,6,66,73,0,90,94,0,77,77,0,87,94,0,87,87,3,227,223,4,91,94,0,8,8,16,931,955
SAL50093,8,65,70,0,34,34,15,100,116,14,158,168,15,323,337,12,315,329,17,285,305,12,360,373,11,403,411,9,272,278,4,191,198,8,141,146,5,187,190,13,217,230,7,53,59,150,3104,3244
SAL50094,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,4,4,0,0,0,0,3,3,0,3,3,0,4,4,0,4,4,0,0,0,0,5,5,0,3,4,0,3,3,0,38,39
SAL50095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
SAL50096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,6,6
SAL50097,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,4,4,0,0,0,0,0,0,0,3,3,0,7,7,0,0,0,0,5,5,0,6,6,0,10,10,0,4,4,0,46,46
SAL50098,0,24,24,0,17,13,3,47,51,4,65,69,4,158,163,4,145,155,4,213,221,12,248,253,13,341,349,3,320,326,3,287,289,7,226,230,16,480,497,5,241,249,0,32,37,78,2844,2926
SAL50099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
SAL50100,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,7,7,0,3,3,0,0,0,0,26,26
SAL50101,0,5,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,5,0,7,7,0,4,4,0,10,10,0,3,3,0,6,6,0,0,0,0,5,3,0,6,12,0,3,3,0,58,57
SAL50102,0,21,16,0,13,13,3,30,37,3,45,48,0,128,128,0,103,105,0,107,110,0,149,146,3,207,204,0,148,152,0,124,124,0,113,113,8,209,213,0,132,135,0,22,22,17,1551,1566
SAL50103,0,6,6,0,0,0,0,5,5,0,0,6,0,3,3,0,9,8,0,0,0,0,10,10,0,11,11,0,4,4,0,8,8,0,7,7,0,20,20,0,6,7,0,0,0,0,89,95
SAL50104,0,20,21,0,4,4,5,15,19,0,35,35,3,69,67,5,58,68,3,49,51,0,67,70,5,64,69,0,51,59,0,50,48,0,26,26,3,54,55,4,44,41,0,14,14,28,620,647
SAL50105,0,59,59,0,28,30,14,80,97,4,112,124,9,258,265,12,219,224,0,166,165,8,237,247,7,302,309,9,261,273,11,227,235,5,166,171,16,389,403,4,201,210,3,46,47,102,2751,2859
SAL50106,0,0,0,0,3,3,0,4,4,0,9,9,0,13,13,4,3,6,0,3,3,0,8,8,0,12,9,0,3,3,0,0,0,0,3,7,0,11,12,0,7,8,0,0,0,4,79,85
SAL50107,0,0,0,0,0,0,0,0,0,0,0,3,0,9,9,0,5,5,0,0,4,0,7,7,0,4,4,0,0,0,0,0,0,0,4,4,0,7,14,0,7,7,0,0,0,0,43,57
SAL50108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SAL50109,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,3,3,0,4,4,0,7,7,0,3,3,0,6,6,0,3,3,0,0,0,0,5,5,0,8,8,0,0,0,0,45,45
SAL50110,0,23,23,0,6,6,0,50,50,5,47,46,0,118,123,3,121,118,6,141,147,4,191,196,7,228,236,7,169,172,0,127,131,3,114,119,3,171,177,4,146,151,0,21,21,42,1673,1716
SAL50111,4,79,81,0,35,35,9,115,125,9,144,146,8,385,401,5,406,415,9,268,270,7,329,335,9,322,331,6,242,246,3,201,210,8,132,139,7,220,219,11,217,229,9,68,74,104,3163,3256
SAL50112,0,8,7,0,5,3,0,19,20,4,19,24,0,70,71,6,44,53,4,44,47,4,65,72,0,58,57,4,50,53,0,47,47,0,28,28,5,96,99,5,27,29,3,12,9,35,592,619
SAL50113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50115,3,24,25,0,8,10,3,26,25,3,51,54,5,96,106,8,134,144,3,145,151,3,231,237,6,295,297,8,200,205,7,176,181,0,120,120,3,170,175,6,202,209,0,10,15,58,1888,1954
SAL50116,0,12,14,0,5,5,0,9,9,0,27,27,3,91,93,4,59,62,0,31,31,0,51,53,0,42,39,0,18,18,0,10,10,0,17,17,0,28,28,0,30,33,4,9,16,11,439,455
SAL50117,0,35,38,0,20,20,4,45,52,3,75,77,0,235,233,3,169,169,5,130,137,3,188,199,0,246,254,3,195,206,6,200,200,0,149,149,9,306,309,3,162,165,0,38,38,39,2193,2246
SAL50118,0,5,5,0,5,3,0,8,8,0,4,4,0,18,18,0,14,14,0,16,16,0,14,14,0,21,20,0,23,23,0,16,16,0,20,20,0,50,50,0,23,23,0,0,0,0,237,234
SAL50119,0,49,43,0,25,26,0,46,46,0,82,86,0,221,218,4,178,180,0,178,178,0,182,186,0,227,230,3,227,227,3,188,188,3,190,188,7,716,721,3,175,180,0,41,40,23,2725,2737
SAL50120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,7
SAL50121,0,3,3,0,0,0,0,3,3,0,11,13,0,13,13,0,18,18,0,9,9,0,13,13,0,10,10,0,6,6,0,0,0,0,5,5,0,6,6,0,5,5,0,0,0,0,102,104
SAL50122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
