SAL_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
SAL50011,0,148,248,398,0,0,0,64,73,138,0,0,0,64,75,138,9,20,26,939,1274,2214,0,3,3,944,1295,2246,0,7,10,161,190,348,230,130,361,390,326,715,81,83,166,4564,5099,9663,237,135,371,4885,5320,10203
SAL50012,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,19,0,0,0,11,9,19
SAL50013,0,6,26,32,0,0,0,11,9,20,0,0,0,11,9,20,0,5,5,70,107,185,0,0,0,70,107,181,0,0,0,10,7,16,7,3,12,16,9,30,3,6,4,292,284,569,10,3,12,301,291,591
SAL50014,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,26,0,0,0,14,14,26,0,0,0,6,3,8,12,4,16,14,10,28,3,0,3,54,40,97,13,4,21,68,44,116
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,15,0,0,0,7,7,15
SAL50016,0,8,12,24,0,0,0,0,8,8,0,0,0,0,8,8,0,0,0,71,63,136,0,0,0,72,61,141,0,0,0,10,8,18,13,17,30,22,23,49,6,5,12,267,259,525,17,17,30,283,276,564
SAL50017,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,14,8,22,0,0,0,14,10,28,0,0,0,4,0,3,4,0,4,7,4,8,0,0,3,35,22,61,4,0,4,39,29,71
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,3,5,3
SAL50019,0,8,9,15,0,0,0,4,0,8,0,0,0,4,0,8,0,0,0,39,36,80,0,0,0,39,36,80,0,0,0,7,5,16,7,9,10,16,14,32,0,0,0,151,115,268,9,9,18,156,124,280
SAL50020,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,14,0,0,0,7,12,14,0,0,0,0,0,0,0,3,7,0,3,7,0,0,0,22,25,47,0,3,7,24,26,53
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,0,139,166,307,0,0,4,73,54,121,0,0,0,72,57,127,4,3,13,782,861,1651,4,0,4,792,870,1666,0,0,3,114,116,231,110,95,209,229,219,446,12,13,27,3334,3644,6978,118,101,218,3462,3766,7228
SAL50023,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,17,6,24,0,0,0,17,6,24,0,0,0,4,0,3,0,4,3,5,0,8,0,0,0,32,19,45,0,4,3,33,21,51
SAL50024,0,95,97,193,0,0,0,37,44,78,0,0,0,37,47,80,3,0,5,482,545,1028,0,3,8,486,552,1043,0,4,6,52,64,113,58,50,113,111,122,234,20,17,33,2094,2329,4415,63,62,126,2176,2401,4578
SAL50025,0,19,18,35,0,0,0,4,5,10,0,0,0,4,7,12,0,0,0,73,75,147,3,0,3,76,74,147,0,0,0,4,3,8,11,8,19,17,18,33,0,9,9,254,274,530,21,15,34,276,295,575
SAL50026,18,454,752,1210,17,19,38,276,462,741,3,6,12,303,486,789,128,163,287,2001,2645,4644,14,39,59,2143,2848,4988,43,32,75,256,267,519,513,464,975,811,764,1573,404,424,829,5561,5954,11517,552,515,1071,6514,6900,13415
SAL50027,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,9,0,0,0,10,5,16,0,0,0,0,6,0,5,3,7,8,7,14,0,0,3,19,17,40,5,3,7,26,23,48
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,3,3,13,4,0,4,11,3,17
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,10,0,0,0,8,6,10,0,0,0,0,3,0,0,4,8,3,5,7,0,0,0,35,23,57,4,4,7,37,25,61
SAL50030,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,19,0,0,0,6,11,19,0,0,0,0,3,6,0,0,0,0,3,3,5,0,5,28,35,60,4,0,4,32,35,66
SAL50031,0,56,89,151,0,0,0,30,30,63,0,0,0,30,32,61,7,12,16,333,390,720,0,0,0,344,395,737,4,4,5,82,152,232,107,81,193,193,240,433,25,28,59,1394,1445,2842,112,91,198,1527,1566,3095
SAL50032,3,77,124,197,0,0,0,40,58,100,0,0,0,40,58,100,3,8,13,356,495,845,3,6,11,367,504,866,0,0,0,34,52,84,45,27,74,81,79,164,16,14,29,1266,1460,2723,57,42,99,1334,1515,2850
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL50034,0,58,48,103,0,3,7,11,24,36,0,0,0,15,27,42,16,14,29,196,212,412,3,0,3,217,227,443,4,3,11,25,25,49,51,37,91,83,64,152,32,29,63,611,619,1229,62,39,103,705,685,1395
SAL50035,0,132,175,313,3,0,3,58,50,107,0,0,0,57,50,108,13,3,16,736,901,1635,0,3,3,749,906,1650,3,0,3,100,103,201,96,71,168,200,173,371,32,23,54,3015,3397,6412,104,71,171,3145,3490,6638
SAL50036,3,147,201,346,5,0,4,65,75,139,0,0,0,67,73,145,14,19,35,928,1165,2094,5,4,12,955,1190,2137,7,6,8,177,171,347,115,90,213,300,271,568,73,83,154,4379,4530,8914,122,101,228,4572,4719,9287
SAL50037,0,70,152,228,0,0,0,37,32,67,0,0,0,33,36,71,3,15,16,589,770,1355,0,4,7,598,786,1383,6,5,12,102,100,201,84,62,144,197,169,363,42,43,82,3152,3391,6546,90,66,153,3289,3500,6786
SAL50038,0,58,68,124,0,0,0,37,41,81,0,0,3,41,42,81,5,0,7,263,280,539,4,4,9,268,284,551,0,0,0,28,21,52,50,38,88,75,62,141,15,5,18,639,691,1336,56,54,109,708,754,1463
SAL50039,7,384,537,921,0,5,4,168,220,387,0,4,4,168,230,402,57,60,119,1949,2406,4355,6,16,24,2016,2481,4495,12,17,28,308,324,630,365,259,619,690,596,1282,240,254,493,7190,7627,14811,391,291,680,7819,8169,15988
SAL50040,0,194,342,535,0,4,6,83,106,187,0,0,0,86,110,196,31,55,86,1263,1640,2904,0,0,0,1296,1691,2989,6,8,15,253,241,490,240,159,393,493,404,894,176,182,363,6348,6876,13228,243,164,408,6771,7226,13998
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,3,3,5
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,0,0,0,4,8,12
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,0,0,0,8,3,14,0,0,0,0,0,0,10,9,21,10,7,17,0,0,0,16,23,41,10,9,21,33,28,56
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,0,0,6,0,6,6,0,6,0,0,0,9,7,17,6,0,6,9,7,17
SAL50045,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,5,4,5,4,11,17,0,0,0,12,12,21,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,12,15,32,0,0,0,16,23,37
SAL50046,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,25,0,0,0,12,10,25
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,7,11,0,0,4,5,4,11
SAL50048,0,7,0,4,0,0,0,3,0,9,0,0,0,3,0,9,0,0,0,16,12,30,0,0,0,15,12,28,0,0,0,5,0,5,15,8,20,16,8,25,3,0,6,92,61,146,19,8,25,108,68,173
SAL50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,4,8,6,8,10,9,9,10,0,3,6,4,4,8,9,17,26
SAL50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,3,4,10,0,0,0,0,3,0,3,0,6,9,3,10,0,0,0,23,19,42,3,0,6,29,21,54
SAL50051,0,36,62,94,0,0,0,18,24,41,0,0,0,21,24,43,0,4,5,180,217,394,5,3,9,183,222,405,0,0,0,32,22,53,67,59,128,100,83,181,8,13,20,551,562,1118,73,67,147,635,641,1276
SAL50052,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,32,0,0,0,17,15,32,0,0,0,0,0,5,4,3,4,5,5,11,0,0,0,69,64,138,4,3,4,75,71,144
SAL50053,5,247,380,633,7,7,15,134,190,322,0,5,5,139,197,339,29,34,55,1193,1627,2825,3,17,22,1225,1678,2902,0,5,5,197,183,376,229,214,441,424,406,823,64,73,144,4832,5346,10175,246,245,499,5147,5668,10813
SAL50054,7,696,1107,1805,6,13,20,270,378,647,0,3,0,279,392,671,100,124,229,3967,5080,9042,12,12,30,4081,5219,9301,25,22,47,564,668,1236,982,680,1660,1573,1366,2937,418,433,851,16917,18157,35074,1049,721,1768,18386,19316,37697
SAL50055,4,269,377,640,3,14,18,163,228,388,0,0,0,164,239,403,53,79,130,1276,1615,2899,10,8,21,1344,1700,3043,12,14,27,215,216,436,580,497,1072,811,725,1529,195,189,386,6203,6148,12348,611,520,1128,7010,6856,13864
SAL50056,0,17,26,42,0,0,0,9,12,23,0,0,0,9,12,23,4,0,7,96,95,189,0,0,0,97,92,191,0,6,6,4,7,9,20,10,29,27,23,47,7,9,17,256,264,510,20,15,33,278,285,565
SAL50057,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,12,0,0,0,7,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,21,0,0,0,8,14,21
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8
SAL50059,0,0,0,4,0,0,0,0,8,8,0,0,0,0,8,8,0,0,0,16,15,29,0,0,0,18,15,30,0,0,0,0,0,0,5,3,10,5,6,10,5,3,4,36,43,76,5,3,10,44,51,93
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50061,0,449,613,1063,3,9,8,231,230,461,0,0,0,237,236,470,42,48,97,2224,2550,4771,4,7,12,2270,2609,4884,14,15,30,363,356,717,312,263,574,692,631,1324,194,202,397,8674,8772,17439,335,289,620,9198,9263,18459
SAL50062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,3,3,5,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,18,14,30,0,0,3,14,16,33
SAL50063,0,8,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,27,0,0,0,14,9,27,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,34,17,54,0,0,0,39,19,58
SAL50064,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,10,0,0,0,3,9,12,0,0,0,0,0,0,9,9,16,9,9,16,0,0,0,21,22,47,9,9,16,32,27,54
SAL50065,0,4,0,4,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,10,3,10,0,0,0,9,3,15,0,0,0,3,0,4,0,0,0,4,0,0,0,0,0,31,24,60,0,0,0,33,27,60
SAL50066,0,5,4,13,0,0,0,3,4,7,0,0,0,3,4,7,0,3,4,51,41,88,0,0,0,51,38,89,0,0,0,12,7,18,17,8,28,28,17,46,7,3,8,178,169,347,17,8,28,203,182,383
SAL50067,0,5,0,4,0,0,0,0,0,0,0,0,0,0,3,3,5,3,10,9,3,14,0,0,0,18,9,27,0,0,0,3,0,3,135,19,155,144,19,159,18,6,21,83,18,102,135,19,155,235,43,275
SAL50068,0,28,33,56,0,0,5,10,11,20,0,0,0,9,10,22,0,5,3,151,150,302,0,0,0,152,155,307,0,0,0,20,18,31,19,7,27,40,21,63,7,5,11,674,655,1336,19,12,30,702,670,1377
SAL50069,0,168,295,462,4,3,3,58,93,156,0,0,0,61,97,159,27,33,59,1020,1416,2441,0,4,7,1047,1455,2502,3,5,9,205,202,404,194,143,336,399,353,756,95,105,205,5153,5634,10787,206,154,354,5456,5898,11351
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,18,0,0,0,10,7,18,0,0,0,0,3,3,3,0,3,4,0,8,4,0,4,28,33,63,9,0,4,41,35,72
SAL50072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,0,0,0,7,4,7,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,11,7,11,0,0,0,12,7,17
SAL50073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,16,0,0,0,4,12,16
SAL50074,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,7,9,9,0,0,0,7,9,9,0,0,0,0,0,0,0,0,4,0,4,10,0,0,0,22,21,47,0,0,4,25,26,47
SAL50075,0,33,31,58,0,0,0,12,15,28,0,0,0,12,15,28,6,0,5,119,128,244,0,5,0,123,132,256,0,0,0,16,22,38,36,20,54,53,39,94,11,8,16,435,429,864,36,23,59,486,459,940
SAL50076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,38,32,5,38,0,0,0,3,0,7,32,5,38,43,7,45
SAL50077,0,5,8,18,0,0,0,5,9,15,0,0,0,5,9,15,0,0,0,32,40,71,0,0,0,32,38,70,0,0,0,9,3,15,4,0,7,13,9,25,0,0,0,146,145,293,4,5,10,151,150,302
SAL50078,0,269,415,680,4,5,4,141,198,337,0,3,3,146,203,349,32,36,68,1382,1813,3202,0,10,16,1422,1862,3282,9,6,12,183,186,376,268,196,466,460,394,859,120,112,232,4901,5201,10094,282,222,505,5299,5530,10837
SAL50079,0,75,91,165,0,0,0,25,31,63,0,0,0,25,31,63,3,3,4,456,479,935,4,0,4,458,485,942,0,0,0,62,57,118,45,45,84,105,99,202,12,10,20,1808,1913,3720,49,41,93,1867,1969,3832
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50081,0,41,49,91,3,0,3,0,16,17,0,0,0,8,18,19,32,34,64,289,314,598,5,0,5,325,346,670,6,12,18,66,45,111,264,241,508,335,303,637,179,180,361,1837,1771,3606,279,248,522,2294,2196,4496
SAL50082,6,138,168,305,0,6,6,41,55,98,0,0,0,40,59,100,10,25,29,465,608,1071,0,8,10,479,635,1114,6,7,15,63,68,135,67,50,118,139,120,266,67,69,133,1437,1570,3014,72,65,133,1576,1703,3272
SAL50083,10,355,509,861,3,14,15,176,241,417,0,0,0,178,251,430,25,47,73,1795,2334,4133,9,14,22,1831,2396,4221,5,4,6,240,255,492,288,216,504,531,469,1000,113,125,235,7060,7441,14497,306,242,547,7479,7805,15288
SAL50084,0,46,61,108,11,10,20,25,35,64,0,0,0,39,46,87,30,36,56,171,225,392,0,5,8,197,259,459,3,5,6,31,27,55,54,48,100,86,76,161,61,69,133,561,603,1164,60,50,110,681,726,1400
SAL50085,0,6,3,7,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,24,15,35,0,0,0,24,15,35,0,0,0,3,0,6,5,5,10,10,7,15,0,0,0,64,48,115,5,5,10,74,55,123
SAL50086,3,118,165,281,0,5,0,58,78,137,0,0,0,57,85,142,13,24,35,631,773,1402,0,4,8,644,796,1441,4,3,10,114,104,216,112,90,199,228,197,421,45,61,110,2417,2573,4995,116,98,211,2585,2729,5315
SAL50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50088,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,0,0,0,3,7,12,0,0,0,0,0,0,8,5,4,3,5,4,0,0,0,29,18,48,7,5,7,30,24,54
SAL50089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,21,53,0,0,0,28,21,53
SAL50090,4,170,210,382,3,8,6,82,101,179,0,0,5,84,109,192,39,42,77,846,967,1810,5,9,6,882,1010,1894,13,8,26,153,128,277,241,200,439,406,336,746,117,118,230,4322,4080,8402,252,211,457,4684,4405,9092
SAL50091,0,114,185,296,0,3,3,48,82,128,0,0,0,48,84,133,9,21,28,662,861,1525,0,0,3,675,889,1560,0,7,7,79,83,160,88,69,157,175,155,325,43,55,92,2641,2816,5452,92,76,167,2777,2943,5716
SAL50092,0,84,89,169,0,0,0,36,26,63,0,0,0,36,26,63,3,4,7,394,421,821,0,0,0,398,431,826,4,4,4,50,48,100,49,35,84,99,89,191,13,16,34,1455,1462,2918,48,35,91,1517,1517,3038
SAL50093,3,224,314,535,5,16,19,119,168,283,3,0,3,123,183,310,48,67,112,1095,1284,2377,10,8,11,1151,1352,2501,29,30,54,183,188,374,203,191,396,421,405,826,174,208,383,4182,4121,8300,221,206,430,4577,4537,9112
SAL50094,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,25,0,0,0,12,15,25,0,0,0,0,4,6,7,3,4,3,4,14,9,0,9,55,59,117,7,3,4,66,62,128
SAL50095,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,3,9,0,0,0,0,0,0,4,3,6,4,3,7,0,0,0,25,23,49,4,3,6,31,28,58
SAL50096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,12,0,0,0,8,9,12,0,0,0,0,0,0,9,6,18,7,11,19,0,0,0,20,16,41,9,6,18,29,25,56
SAL50097,0,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,22,5,5,3,13,19,27,0,0,0,0,0,3,6,8,15,12,3,14,0,0,0,51,50,101,13,8,15,64,58,126
SAL50098,6,147,208,355,0,0,0,55,90,146,0,0,0,55,89,144,11,32,47,829,1020,1854,4,7,10,852,1057,1907,12,11,16,144,140,284,149,122,270,303,272,575,90,108,204,3993,4139,8127,152,127,288,4242,4378,8617
SAL50099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,16,0,0,0,6,8,16,0,0,0,0,0,0,4,4,3,8,4,7,0,0,0,16,17,38,4,4,3,22,22,41
SAL50100,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,13,11,26,0,0,0,13,11,26,0,0,0,3,4,4,3,5,6,6,3,12,0,0,0,49,49,99,3,0,6,57,49,109
SAL50101,0,3,3,9,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,14,21,38,0,0,0,18,26,39,0,0,0,5,0,3,12,5,12,11,4,25,6,0,3,70,70,140,12,5,12,80,77,157
SAL50102,0,92,151,243,3,0,3,38,56,91,0,0,0,40,53,101,14,7,22,464,627,1092,0,0,0,480,632,1115,0,3,3,74,85,157,69,49,122,139,138,285,38,35,71,1893,1997,3892,71,61,128,1999,2090,4094
SAL50103,0,6,10,18,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,39,35,80,0,0,0,39,35,80,0,0,0,5,5,12,0,0,0,5,6,12,6,5,6,124,133,253,0,0,4,129,138,264
