SAL_CODE_2021,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
SAL50035,0,27,18,44,0,0,0,10,18,33,96,66,161,116,84,195,20,13,30,859,1039,1899,96,69,165,975,1120,2094
SAL50036,0,32,33,63,0,0,0,20,14,36,118,82,200,136,99,238,29,39,74,1423,1461,2886,117,84,207,1575,1587,3164
SAL50037,0,29,41,68,0,0,0,20,11,34,81,59,142,100,74,175,23,15,42,1107,1181,2289,86,63,148,1221,1261,2478
SAL50038,0,0,5,5,0,0,0,12,11,19,43,43,89,61,51,110,3,0,3,73,79,153,46,44,96,121,130,250
SAL50039,0,65,64,129,4,8,9,54,48,107,350,250,598,404,305,715,111,113,215,1896,2119,4020,357,258,613,2355,2491,4848
SAL50040,0,67,103,167,0,0,3,55,58,115,228,146,371,286,202,491,72,74,148,1921,2108,4025,231,149,378,2221,2326,4546
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
SAL50043,0,0,0,0,0,0,0,0,0,0,10,7,15,10,7,15,0,0,0,0,3,7,10,7,15,12,11,18
SAL50044,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,6,0,0,0,0,0,0,6,0,6,6,0,6
SAL50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,5,8
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,0,0,0,4,4,10
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,3,3,0,0,4,0,0,3
SAL50048,0,6,0,6,0,0,0,0,0,0,19,8,25,20,8,27,0,0,0,24,3,28,19,8,25,36,14,52
SAL50049,0,0,0,0,0,0,0,0,0,0,4,4,8,4,4,8,0,0,3,0,0,0,4,4,8,6,3,10
SAL50050,0,0,0,0,0,0,0,0,0,5,3,0,6,5,4,12,0,0,0,3,0,8,3,0,6,9,6,12
SAL50051,0,0,3,6,0,0,0,17,16,28,63,59,124,83,72,155,0,3,4,132,125,257,68,63,129,202,188,389
SAL50052,0,0,0,0,0,0,0,0,0,0,4,3,4,0,3,6,0,0,0,9,19,25,4,3,4,12,18,31
SAL50053,0,54,67,122,0,0,3,46,116,163,219,214,434,268,328,594,18,26,46,1080,1301,2377,225,220,442,1319,1545,2870
SAL50054,0,168,238,411,0,7,3,123,145,266,945,645,1591,1073,793,1862,187,188,369,5224,5753,10982,965,662,1624,6373,6608,12977
SAL50055,3,92,117,209,7,11,14,107,110,223,550,467,1024,675,586,1263,68,58,126,1762,1821,3582,558,478,1041,2391,2358,4747
SAL50056,0,0,0,0,0,0,0,0,4,8,20,11,33,22,17,37,5,5,5,37,44,81,20,11,33,60,53,118
SAL50057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50059,0,0,0,0,0,0,0,0,0,0,5,3,10,5,4,10,0,3,3,9,9,15,5,3,10,13,16,30
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50061,0,64,111,176,3,0,3,87,132,218,301,259,558,397,389,782,85,87,169,2303,2439,4739,311,258,567,2698,2781,5478
SAL50062,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,3,0,0,3,4,5,9
SAL50063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50064,0,0,0,0,0,0,0,0,0,0,9,9,13,9,9,13,0,0,0,0,9,7,9,9,13,11,7,17
SAL50065,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,4,9,0,0,0,3,4,12
SAL50066,0,0,0,0,0,0,0,3,8,3,19,8,32,22,13,32,0,0,3,50,44,94,19,8,32,71,55,122
SAL50067,0,0,0,0,0,0,0,0,0,0,135,19,155,135,20,156,0,0,0,8,4,7,135,19,155,142,24,167
SAL50068,0,4,10,11,0,0,0,5,3,6,19,7,27,29,12,43,6,4,6,158,157,317,19,7,27,185,169,351
SAL50069,0,61,92,152,0,3,3,51,45,92,189,141,328,237,190,429,38,39,79,1661,1842,3507,189,146,335,1890,2031,3920
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,0,0,5,5,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,8,7,18,3,0,3,16,7,21
SAL50072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,5,3
SAL50074,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,3,6,11,0,0,4,10,5,18
SAL50075,0,7,0,8,0,0,0,8,0,10,33,20,53,43,18,61,4,6,10,105,110,217,34,20,54,146,134,279
SAL50076,0,0,0,0,0,0,0,0,0,0,32,5,38,32,5,38,0,0,0,0,0,0,32,5,38,32,5,38
SAL50077,0,0,0,0,0,0,0,0,0,0,4,0,7,3,5,11,0,0,0,35,36,72,4,3,11,44,40,83
SAL50078,0,46,55,97,3,6,7,41,38,77,264,198,461,309,238,543,55,41,95,1179,1158,2337,263,206,468,1499,1401,2897
SAL50079,0,10,19,28,0,0,0,20,16,38,45,45,84,66,54,119,4,0,10,531,578,1110,44,45,87,583,619,1201
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50081,0,15,15,28,9,5,16,13,11,19,254,232,489,275,250,525,76,80,152,584,624,1208,258,232,493,920,934,1852
SAL50082,0,13,17,25,5,4,3,15,11,29,60,48,112,80,62,141,29,34,59,322,361,677,63,48,117,412,442,859
SAL50083,0,61,98,164,6,0,7,43,61,108,277,214,492,323,286,610,44,44,84,1690,1871,3561,281,216,502,2015,2131,4145
SAL50084,0,9,3,11,5,0,7,12,12,20,58,47,97,71,54,128,15,19,35,99,115,216,58,43,97,176,182,355
SAL50085,0,0,0,0,0,0,0,3,0,7,5,5,10,10,6,14,0,0,0,10,5,17,5,5,10,14,11,28
SAL50086,0,20,29,51,0,3,6,23,23,47,110,90,197,139,111,249,15,26,39,620,642,1263,110,90,197,743,755,1497
SAL50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50088,0,0,0,0,0,0,0,0,0,4,0,5,6,3,3,6,0,0,0,3,5,8,0,5,6,6,7,19
SAL50089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0
SAL50090,0,47,71,122,0,4,6,57,51,110,233,194,426,287,249,542,38,37,79,1189,1160,2352,233,194,426,1457,1397,2856
SAL50091,0,23,18,41,0,4,4,17,21,43,89,65,154,105,93,196,14,21,36,717,697,1412,89,65,154,819,779,1595
SAL50092,0,9,24,35,0,0,0,12,11,26,45,32,82,59,42,96,5,8,16,367,405,779,45,32,82,424,452,876
SAL50093,0,33,53,92,13,18,25,45,65,114,202,182,377,257,267,517,76,84,161,1063,1041,2102,200,189,391,1341,1314,2651
SAL50094,0,0,0,0,0,0,0,0,0,0,7,3,4,3,3,8,5,0,5,15,14,35,7,3,4,23,16,44
SAL50095,0,0,0,0,0,0,0,0,0,0,4,3,6,4,8,6,0,0,0,0,0,5,4,3,6,8,4,11
SAL50096,0,0,0,0,0,0,0,0,4,4,10,6,18,10,13,16,0,0,0,5,10,15,10,6,18,15,21,28
SAL50097,0,0,0,0,0,0,0,0,0,0,6,8,15,6,8,15,0,0,0,6,10,17,6,8,15,14,18,26
SAL50098,0,30,47,79,0,0,0,40,36,83,142,122,266,191,162,347,29,53,81,1095,1176,2276,145,123,273,1271,1355,2625
SAL50099,0,0,0,0,0,0,0,0,0,0,4,4,3,4,4,3,0,0,0,0,5,9,4,4,3,6,9,8
SAL50100,0,0,0,0,0,0,0,0,0,0,3,5,6,3,5,6,0,0,0,10,16,23,3,5,6,13,14,32
SAL50101,0,3,0,3,0,0,0,0,0,0,12,5,12,12,5,12,0,0,0,19,13,37,12,5,12,28,20,49
SAL50102,0,11,27,43,0,0,0,21,20,40,65,49,117,93,74,161,11,10,26,431,491,919,65,54,121,511,553,1065
SAL50103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,28,39,65,0,0,0,28,38,68
SAL50104,0,0,8,9,0,0,0,7,7,17,35,24,63,45,36,79,11,21,33,123,147,271,35,30,66,170,195,370
SAL50105,0,38,36,74,9,0,12,54,37,94,244,158,404,310,198,509,41,41,79,746,756,1499,247,160,406,1027,957,1986
SAL50106,0,0,0,4,0,0,0,0,0,0,10,10,18,12,11,21,0,0,6,13,20,29,10,10,18,21,32,51
SAL50107,0,0,0,0,0,0,0,0,0,0,7,0,4,7,0,4,0,0,0,17,19,39,7,0,4,24,20,45
SAL50108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,4
SAL50109,0,0,0,0,0,0,0,0,0,0,7,3,13,7,3,13,0,0,0,20,17,30,7,3,13,27,23,44
SAL50110,0,34,37,70,0,0,0,32,45,75,80,55,133,112,101,211,18,18,36,958,951,1908,86,60,145,1061,1026,2088
SAL50111,0,61,69,136,4,18,23,199,419,624,265,239,508,474,681,1155,47,68,112,1629,1609,3242,274,239,516,1944,1913,3864
SAL50112,0,3,4,6,4,4,4,0,7,6,56,37,93,60,44,107,9,16,21,140,138,281,56,43,94,201,194,388
SAL50113,0,0,0,0,0,0,0,0,0,0,3,3,6,3,3,6,0,0,0,3,5,3,3,3,6,8,5,9
SAL50114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50115,0,38,59,97,5,0,5,31,32,63,118,86,203,147,120,270,40,31,75,978,966,1941,120,93,209,1141,1091,2229
SAL50116,0,5,10,12,0,0,0,5,9,21,53,49,99,65,57,117,3,5,11,60,82,140,53,49,99,121,133,253
SAL50117,0,22,32,53,0,0,0,8,21,30,107,89,199,117,113,226,25,19,47,644,711,1352,105,92,197,781,821,1601
SAL50118,0,0,0,4,0,0,0,0,0,0,10,7,15,10,7,18,0,0,0,88,85,170,10,7,15,96,92,188
SAL50119,0,16,27,40,0,0,0,38,27,66,126,110,236,166,138,305,4,5,10,809,891,1692,129,108,241,944,1005,1949
SAL50120,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,0,5,0,0,3,0,0,9
SAL50121,0,0,0,0,0,0,0,4,0,5,10,3,15,14,4,23,0,0,0,24,19,47,10,3,15,34,21,60
SAL50122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SAL50123,0,7,7,16,8,10,14,0,9,10,70,91,158,79,98,179,50,76,125,133,156,286,71,84,158,254,314,573
SAL50124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50125,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,3,10,12,0,0,0,3,9,11
SAL50126,0,3,3,3,0,0,0,6,10,13,59,49,104,60,56,116,41,41,74,83,106,188,55,48,106,178,190,373
SAL50127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50129,0,0,3,6,0,0,0,10,6,12,38,25,61,54,28,78,7,0,7,129,121,252,38,22,63,180,138,317
SAL50130,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,3,0,0,0,3,4,3,4,0,3,5,7,12
SAL50131,0,0,0,0,0,0,0,0,0,0,4,0,8,4,0,6,0,0,0,9,9,20,4,0,8,12,18,26
SAL50132,0,3,3,7,0,0,3,6,7,11,37,23,62,42,31,78,15,16,24,101,107,209,37,25,66,149,147,298
SAL50133,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,0,0,0,11,3,12,0,0,0,10,3,16
SAL50134,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,7,0,0,0,0,3,6,4,8
SAL50135,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,7,3,12,0,0,3,4,10,16
SAL50136,0,0,0,0,0,0,0,0,0,0,5,4,5,5,4,5,0,0,0,5,0,3,5,4,5,6,3,10
SAL50137,0,6,4,7,0,0,0,11,9,17,59,40,97,64,51,118,3,4,7,129,121,248,58,41,103,191,171,362
SAL50138,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,3,4,0,4,3,8,8
SAL50139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
SAL50140,0,0,0,0,0,0,0,3,0,3,4,0,7,6,0,11,0,0,0,13,8,17,4,0,7,20,9,25
SAL50141,0,0,0,0,0,0,0,0,0,0,3,8,6,3,8,6,0,0,0,10,5,13,3,8,6,19,10,26
SAL50142,0,0,0,0,0,0,0,0,0,0,16,8,25,16,8,25,3,7,8,25,21,44,16,8,25,39,33,76
SAL50143,0,0,0,0,0,0,0,0,0,0,24,15,41,24,18,44,9,11,13,13,10,28,24,15,41,40,41,84
SAL50144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50145,0,0,0,0,0,0,0,0,0,0,11,3,21,11,3,21,3,0,3,12,14,23,11,3,21,24,18,44
SAL50146,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0,5,0,0,0,0,3,6,4,0,5,4,4,9
SAL50147,0,0,0,0,0,0,0,0,0,0,19,0,17,18,0,21,0,0,0,6,0,6,19,0,17,23,0,26
SAL50148,0,12,22,35,0,0,0,22,23,37,63,52,111,87,70,154,6,11,16,839,766,1607,59,53,116,911,827,1734
SAL50149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,5
SAL50150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50151,0,0,0,0,0,0,0,0,0,0,4,5,4,3,5,10,0,0,0,9,9,21,9,5,6,18,11,23
SAL50152,0,0,0,0,0,0,0,0,0,4,3,6,8,3,7,7,0,0,0,5,6,12,3,6,8,7,8,21
SAL50153,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,3,0,0,0,0,0,0,0,5,3,0,0,6
SAL50154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0,5,4,5
SAL50156,0,0,0,0,0,0,0,0,0,0,5,0,4,5,0,4,0,0,0,0,0,5,5,0,4,6,6,11
SAL50157,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,3,0,0,0,4,12,16,5,0,3,10,12,23
SAL50158,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,14,7,19,0,0,4,12,10,24
SAL50159,0,18,14,24,11,11,21,25,26,52,400,318,720,436,359,795,75,76,153,419,449,873,400,323,724,901,846,1742
SAL50160,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,8,0,0,0,8,5,14,5,0,5,6,12,19
SAL50161,0,0,3,0,0,0,0,4,0,5,18,16,32,23,16,40,0,0,3,73,65,136,18,14,34,94,84,174
SAL50162,0,0,3,9,0,0,0,0,0,0,10,11,19,10,11,19,0,0,0,62,63,123,10,11,19,71,70,145
SAL50163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,7,14,0,0,0,10,7,14
SAL50164,0,0,0,0,0,0,0,0,0,0,4,5,8,4,5,8,0,0,0,9,9,20,4,5,8,13,15,30
SAL50165,0,0,0,0,0,0,0,5,0,3,0,0,6,0,4,9,3,0,4,8,10,17,0,0,6,14,13,28
SAL50166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4
SAL50167,0,0,0,0,0,0,0,0,0,0,0,3,8,0,3,8,3,0,3,16,13,28,0,3,8,20,12,31
SAL50168,0,6,4,3,0,0,0,0,0,0,12,6,17,15,6,18,3,3,7,78,74,152,12,6,17,95,80,172
SAL50169,0,0,9,13,0,0,0,7,9,18,46,41,87,56,49,109,6,0,7,134,160,292,46,41,87,189,200,392
SAL50170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,3,7
SAL50171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,11,0,0,0,8,9,13
SAL50172,0,0,0,0,0,0,0,8,3,9,42,49,91,48,48,102,0,3,4,58,81,139,43,55,96,107,136,236
SAL50173,0,60,72,134,0,3,5,31,40,74,124,86,210,155,133,291,40,61,102,1112,1230,2346,126,88,217,1280,1380,2662
SAL50174,0,0,0,0,0,0,0,0,0,0,8,14,27,8,12,26,0,0,0,8,6,15,8,14,27,16,18,38
SAL50175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL50176,0,0,0,0,0,0,0,0,0,3,0,4,4,0,3,3,0,0,0,0,3,7,0,4,4,0,5,12
SAL50177,0,0,0,0,0,0,0,6,3,8,8,12,20,13,20,25,0,0,0,23,38,57,8,12,20,26,53,80
SAL50178,0,3,7,15,3,5,6,9,7,13,28,23,53,42,33,75,14,11,23,323,284,605,29,25,55,363,326,690
SAL50179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50180,0,7,10,16,3,0,3,15,11,27,99,94,200,117,108,231,9,12,21,259,300,562,104,105,212,374,418,790
SAL50181,0,9,6,13,0,0,0,0,4,4,13,12,24,16,17,35,0,4,10,140,136,275,13,12,24,163,151,309
SAL50182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50183,0,13,17,30,0,0,3,22,30,52,86,75,161,113,103,214,26,23,49,366,381,746,85,75,162,481,474,956
SAL50184,0,0,5,6,0,0,0,0,0,3,9,10,22,6,11,19,11,11,24,120,101,222,9,10,22,144,120,263
SAL50185,0,0,0,4,0,4,11,3,7,14,88,85,174,98,99,193,22,32,51,59,68,126,92,90,177,171,182,355
SAL50186,0,0,0,0,0,0,0,0,0,0,0,4,6,0,4,6,0,0,0,0,0,0,0,4,6,0,4,6
SAL50187,0,11,23,33,5,3,6,15,18,39,93,78,171,117,97,217,45,48,91,397,417,815,92,83,175,540,543,1083
SAL50188,0,0,0,0,0,0,0,0,0,0,5,5,11,10,5,15,0,0,0,24,16,40,5,5,11,28,28,54
SAL50189,0,0,0,0,5,0,7,3,3,6,35,29,65,38,33,74,14,17,29,36,49,86,35,29,66,87,91,175
SAL50190,0,7,19,21,108,52,161,31,16,47,251,249,501,398,309,709,273,206,479,217,242,454,256,252,504,739,700,1439
SAL50191,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,3,16,18,3,8,5,4,18,31
SAL50192,0,0,0,0,0,0,0,4,5,10,4,16,20,13,19,35,0,0,0,16,21,40,4,16,20,24,38,61
SAL50193,0,0,0,0,0,0,0,0,0,3,13,12,25,16,10,22,0,0,0,28,20,51,13,12,25,37,32,75
SAL50194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50195,0,0,0,0,0,0,0,4,0,4,0,3,6,0,3,11,0,0,0,10,12,28,0,3,6,14,17,35
SAL50196,0,0,0,3,0,0,0,5,6,9,42,31,71,47,39,85,5,9,16,75,64,138,42,31,71,120,109,224
SAL50197,0,3,5,3,0,3,3,5,10,15,46,36,88,53,45,101,10,8,19,122,93,214,52,38,89,182,147,320
SAL50198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50199,0,0,0,4,0,0,0,0,0,0,7,3,15,7,3,15,3,4,4,0,0,4,7,3,15,9,9,17
SAL50200,0,4,14,15,7,10,15,8,9,22,271,193,458,283,215,495,35,33,66,250,292,542,272,193,464,557,511,1072
SAL50201,0,22,38,63,0,0,0,51,71,122,92,77,166,143,143,289,17,4,19,1135,1161,2293,92,77,169,1237,1245,2484
SAL50202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,13,0,0,0,5,9,14
SAL50204,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,13,18,27,3,0,3,10,21,37
SAL50205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4
SAL50206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50207,0,23,31,53,6,0,9,31,38,72,181,131,316,221,169,391,29,20,51,609,632,1246,187,136,322,829,783,1613
SAL50208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4
SAL50210,0,11,18,30,0,0,0,19,20,36,125,100,224,145,118,265,8,9,19,304,356,662,125,96,224,443,466,906
SAL50211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,4,10
