SAL_CODE_2021,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
SAL50066,0,0,0,0,0,3,0,0,0,0,0,3
SAL50067,6,0,6,82,21,96,133,19,148,220,35,252
SAL50068,0,0,0,0,0,0,0,0,0,0,0,0
SAL50069,0,0,0,0,0,0,0,0,0,0,0,0
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,0,0,0,0,0,0,0,0,0,0,0,0
SAL50072,0,0,0,0,0,0,0,0,0,0,0,0
SAL50073,0,0,0,0,0,0,0,0,0,0,0,0
SAL50074,0,0,0,0,0,0,0,0,0,0,0,0
SAL50075,0,0,0,0,0,0,0,0,0,0,0,0
SAL50076,0,0,0,3,0,3,32,5,36,34,5,40
SAL50077,0,0,0,0,0,0,0,0,0,0,0,0
SAL50078,4,0,0,31,64,94,0,0,4,34,64,99
SAL50079,0,0,0,15,62,79,0,5,5,15,67,83
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0
SAL50081,0,0,0,4,0,4,7,0,7,12,0,12
SAL50082,0,0,0,0,0,4,0,0,0,0,0,4
SAL50083,0,4,9,77,164,242,15,21,34,95,185,286
SAL50084,0,0,0,6,5,9,0,0,0,3,5,9
SAL50085,0,0,0,0,0,0,0,0,0,0,0,0
SAL50086,0,0,0,12,5,14,5,0,5,21,5,24
SAL50087,0,0,0,0,0,0,0,0,0,0,0,0
SAL50088,0,0,0,0,0,0,0,0,0,0,0,0
SAL50089,0,0,0,0,0,0,0,0,0,0,0,0
SAL50090,0,0,0,0,0,8,0,0,0,0,4,3
SAL50091,0,0,0,0,0,0,0,0,0,0,0,0
SAL50092,0,0,0,0,0,0,0,0,0,0,0,0
SAL50093,0,0,0,0,3,5,0,0,0,0,3,5
SAL50094,0,0,0,0,0,0,0,0,0,0,0,0
SAL50095,0,0,0,14,13,29,4,4,8,21,13,38
SAL50096,0,0,0,0,0,0,0,0,0,0,0,0
SAL50097,0,0,0,0,0,0,0,0,0,0,0,0
SAL50098,0,0,0,3,3,10,0,0,0,3,3,10
SAL50099,0,0,0,0,0,0,0,0,0,0,0,0
SAL50100,0,0,0,0,0,0,0,0,0,0,0,0
SAL50101,0,0,0,0,0,0,0,0,0,0,0,0
SAL50102,0,0,0,0,0,10,0,0,0,0,0,10
SAL50103,0,0,0,0,0,0,0,0,0,0,0,0
SAL50104,0,0,0,0,0,0,0,0,0,0,0,0
SAL50105,3,0,3,20,6,23,8,3,10,32,9,38
SAL50106,0,0,0,0,5,5,0,0,0,0,5,5
SAL50107,0,0,0,0,0,4,0,0,0,0,0,4
SAL50108,0,0,0,0,0,0,0,0,0,0,0,0
SAL50109,0,0,0,0,0,0,0,0,0,0,0,0
SAL50110,0,0,0,0,0,0,0,0,0,0,0,0
SAL50111,5,20,29,308,583,893,9,10,21,331,616,942
SAL50112,0,0,0,0,0,4,0,0,0,0,0,4
SAL50113,0,0,0,0,0,0,0,0,0,0,0,0
SAL50114,0,0,0,0,0,0,0,0,0,0,0,0
SAL50115,0,0,0,0,0,0,0,0,0,0,0,0
SAL50116,0,0,0,5,4,12,0,0,0,7,4,10
SAL50117,0,0,0,0,0,0,5,0,5,5,0,5
SAL50118,0,0,0,0,0,0,0,0,0,0,0,0
SAL50119,0,0,0,31,60,95,8,24,26,37,83,121
SAL50120,0,0,0,0,0,0,0,0,0,0,0,0
SAL50121,0,0,0,0,0,0,0,0,0,0,0,0
SAL50122,0,0,0,0,0,0,0,0,0,0,0,0
SAL50123,0,0,0,0,0,0,0,0,0,0,0,0
SAL50124,0,0,0,0,0,0,0,0,0,0,0,0
SAL50125,0,0,0,0,0,0,0,0,0,0,0,0
SAL50126,36,28,64,5,0,6,0,0,3,37,33,73
SAL50127,0,0,0,0,0,0,0,0,0,0,0,0
SAL50128,0,0,0,0,0,0,0,0,0,0,0,0
SAL50129,0,0,0,0,0,0,0,0,0,0,0,0
SAL50130,0,0,0,0,0,0,0,0,0,0,0,0
SAL50131,0,0,0,0,0,0,0,0,0,0,0,0
SAL50132,4,8,13,37,53,97,5,0,8,50,63,108
SAL50133,0,0,0,0,0,0,0,0,0,0,0,0
SAL50134,0,0,0,0,0,0,0,0,0,0,0,0
SAL50135,0,0,0,0,0,0,0,0,0,0,0,0
SAL50136,0,0,0,0,0,0,0,0,0,0,0,0
SAL50137,3,0,5,29,21,53,0,0,0,34,20,57
SAL50138,0,0,0,0,0,0,0,0,0,0,0,0
SAL50139,0,0,0,0,0,0,0,0,0,0,0,0
SAL50140,0,0,0,0,0,4,0,0,0,5,0,3
SAL50141,0,0,0,0,0,0,0,0,0,0,0,0
SAL50142,0,0,0,0,0,0,0,0,0,0,0,0
SAL50143,0,0,0,0,0,0,3,6,8,3,6,8
SAL50144,0,0,0,0,0,0,0,0,0,0,0,0
SAL50145,0,0,0,0,0,0,0,0,0,0,0,0
SAL50146,0,0,0,0,0,0,0,0,0,0,0,0
SAL50147,0,0,0,19,0,20,17,0,21,35,5,40
SAL50148,0,0,0,26,67,89,0,0,0,20,67,90
SAL50149,0,0,0,0,0,0,0,0,0,0,0,0
SAL50150,0,0,0,0,0,0,0,0,0,0,0,0
SAL50151,0,0,0,0,0,0,0,0,0,0,0,0
SAL50152,0,0,0,0,0,0,0,0,0,0,0,0
SAL50153,0,0,0,0,0,0,0,0,0,0,0,0
SAL50154,0,0,0,0,0,0,0,0,0,0,0,0
SAL50155,0,0,0,0,0,0,0,0,0,0,0,0
SAL50156,0,0,0,0,0,0,0,0,0,0,0,0
SAL50157,0,0,0,0,0,0,0,0,0,0,0,0
SAL50158,0,0,0,0,0,0,0,0,0,0,0,0
SAL50159,0,0,0,28,11,39,29,7,34,56,18,78
SAL50160,0,0,0,0,0,0,0,0,0,0,0,0
SAL50161,0,0,0,0,0,0,0,0,0,0,0,0
SAL50162,0,0,0,0,0,0,0,0,0,0,0,0
SAL50163,0,0,0,0,0,0,0,0,0,0,0,0
SAL50164,0,0,0,0,0,0,0,0,0,0,0,0
SAL50165,0,0,0,0,0,0,0,0,0,0,0,0
SAL50166,0,0,0,0,0,0,0,0,0,0,0,0
SAL50167,0,0,0,0,0,0,0,0,0,0,0,0
SAL50168,0,0,0,0,0,0,0,0,0,0,0,0
SAL50169,0,0,0,0,0,0,0,0,0,0,0,0
SAL50170,0,0,0,0,0,0,0,0,0,0,0,0
SAL50171,0,0,0,0,0,0,0,0,0,0,0,0
SAL50172,0,0,0,7,9,19,0,0,0,7,9,19
SAL50173,4,0,4,31,0,31,0,0,0,31,0,31
SAL50174,0,0,0,0,0,3,0,0,0,0,0,3
SAL50175,0,0,0,0,0,3,0,0,0,0,0,3
SAL50176,0,0,0,0,0,0,0,0,0,0,0,0
SAL50177,0,0,0,0,0,4,0,0,3,4,0,7
SAL50178,0,0,0,0,7,12,0,0,0,0,7,12
SAL50179,0,0,0,0,0,0,0,0,0,0,0,0
SAL50180,0,0,0,11,11,27,0,0,3,14,18,30
SAL50181,0,0,0,0,0,0,0,0,0,0,0,0
SAL50182,0,0,0,0,0,0,0,0,0,0,0,0
SAL50183,0,0,6,101,213,310,9,10,23,105,231,338
SAL50184,0,0,0,0,0,0,0,0,0,0,0,0
SAL50185,0,0,0,4,0,8,0,0,0,4,0,8
SAL50186,0,0,0,0,0,0,0,0,0,0,0,0
SAL50187,0,0,0,0,0,0,0,0,0,0,0,0
SAL50188,0,0,0,0,0,0,0,0,0,0,0,0
SAL50189,0,5,5,19,31,44,0,0,0,19,31,47
SAL50190,80,40,119,68,79,142,16,23,35,161,137,299
SAL50191,0,0,0,0,0,0,0,0,0,0,0,0
SAL50192,0,0,0,0,0,0,0,0,0,0,0,0
SAL50193,0,0,0,0,0,0,0,0,0,0,0,0
SAL50194,0,0,0,0,0,0,0,0,0,0,0,0
SAL50195,0,0,0,0,0,0,0,0,0,0,0,0
SAL50196,0,0,0,10,5,12,11,6,13,19,8,30
SAL50197,0,0,0,10,9,12,0,0,0,10,7,15
SAL50198,0,0,0,0,0,0,0,0,0,0,0,0
SAL50199,0,0,0,3,4,6,0,0,0,3,4,6
SAL50200,4,3,8,81,12,92,48,9,55,132,23,153
SAL50201,0,0,0,55,133,187,4,0,3,59,136,191
SAL50202,0,0,0,0,0,0,0,0,0,0,0,0
SAL50203,0,0,0,0,0,0,0,0,0,0,0,0
SAL50204,0,0,0,0,0,0,0,0,0,0,0,0
SAL50205,0,0,0,0,0,0,0,0,0,0,0,0
SAL50206,0,0,0,0,0,0,0,0,0,0,0,0
SAL50207,0,0,0,95,18,111,12,4,17,98,23,129
SAL50208,0,0,0,0,0,0,0,0,0,0,0,0
SAL50209,0,0,0,0,0,0,0,0,0,0,0,0
SAL50210,6,0,7,99,101,198,7,0,8,110,102,213
SAL50211,0,0,0,0,0,0,0,0,0,0,0,0
SAL50212,0,0,0,0,0,0,0,0,0,0,0,0
SAL50213,0,0,0,0,0,4,0,0,0,0,0,4
SAL50214,0,0,0,0,0,0,0,0,0,0,0,0
SAL50215,0,0,0,0,0,0,0,0,0,0,0,0
SAL50216,0,0,0,0,0,0,0,0,0,0,0,0
SAL50217,0,0,0,0,0,0,0,0,0,0,0,0
SAL50218,0,0,0,0,0,0,0,0,0,0,0,0
SAL50219,0,0,0,309,0,309,0,0,0,309,0,309
SAL50220,0,0,0,0,0,0,0,0,0,0,0,0
SAL50221,0,0,0,0,0,0,0,0,0,0,0,0
SAL50222,0,0,0,0,0,0,0,0,0,0,0,0
SAL50223,0,0,0,0,0,0,0,0,0,0,0,0
SAL50224,0,0,0,0,0,0,0,0,0,0,0,0
SAL50225,0,0,0,0,0,0,0,0,0,0,0,0
SAL50226,0,0,0,24,19,44,31,32,59,57,52,108
SAL50227,0,0,0,0,0,0,0,0,0,0,0,0
SAL50228,0,0,0,20,9,25,0,5,5,23,9,30
SAL50229,0,0,0,0,0,0,4,6,7,3,6,9
SAL50230,0,0,0,15,40,54,0,4,8,21,46,65
SAL50231,4,0,4,57,80,132,59,83,143,113,160,280
SAL50232,0,0,0,0,0,0,0,0,0,0,0,0
SAL50233,0,0,0,0,0,0,0,0,0,0,0,0
SAL50234,0,0,0,0,0,0,0,0,0,0,0,0
SAL50235,3,0,3,57,97,152,0,0,0,59,97,156
SAL50236,0,0,0,0,0,0,0,0,0,0,0,0
SAL50237,0,0,0,0,0,0,0,0,0,0,0,0
SAL50238,0,0,0,0,0,0,0,0,0,0,0,0
SAL50239,0,0,0,5,9,15,0,3,3,5,6,15
SAL50240,0,0,0,9,31,37,0,0,0,9,30,35
SAL50241,0,0,0,0,0,0,0,0,0,0,0,0
SAL50242,0,0,0,0,0,0,0,0,0,0,0,0
SAL50243,0,0,0,0,0,0,0,0,0,0,0,0
SAL50244,0,0,0,0,0,0,0,0,0,0,0,0
SAL50245,334,94,423,710,246,956,5,9,9,1042,342,1387
SAL50246,0,0,0,4,12,10,4,4,4,10,17,24
SAL50247,0,0,0,0,0,0,0,0,0,0,0,0
SAL50248,0,0,0,0,0,0,0,0,0,0,0,0
SAL50249,0,0,0,0,0,0,0,0,0,0,0,0
SAL50250,0,0,0,10,3,5,0,0,0,10,0,9
SAL50251,0,0,0,0,0,4,0,0,0,0,0,4
SAL50252,0,0,0,0,0,0,0,0,0,0,0,0
SAL50253,0,0,0,23,10,31,20,12,30,40,27,67
SAL50254,0,0,0,0,0,0,0,0,0,0,0,0
SAL50255,0,0,0,0,0,0,0,0,0,0,0,0
SAL50256,0,0,0,0,0,0,0,0,0,0,0,0
SAL50257,0,0,0,0,0,0,0,0,0,0,0,0
SAL50258,0,0,0,0,0,0,0,0,0,0,0,0
SAL50259,0,0,0,0,0,0,0,0,0,0,0,0
SAL50260,0,0,0,0,0,0,0,0,0,0,0,0
SAL50261,0,0,0,24,65,91,5,8,9,22,75,97
SAL50262,0,0,0,30,96,131,0,0,0,35,98,132
SAL50263,9,8,21,64,51,116,3,3,12,78,63,145
SAL50264,0,0,0,0,0,0,0,0,0,0,0,0
SAL50265,8,8,16,42,14,52,0,3,4,49,23,75
SAL50266,0,0,0,0,0,0,0,0,0,0,0,0
SAL50267,6,0,7,12,12,20,63,31,97,77,51,129
SAL50268,0,0,0,0,0,0,0,0,0,0,0,0
SAL50269,0,0,0,0,0,0,0,0,0,0,0,0
SAL50270,0,0,0,0,0,0,0,0,0,0,0,0
SAL50271,0,0,0,0,0,0,0,0,0,0,0,0
SAL50272,0,0,0,0,0,0,0,0,0,0,0,0
SAL50273,0,0,0,0,0,7,3,3,9,5,4,8
SAL50274,488,0,488,719,0,719,0,0,0,1208,0,1208
SAL50275,0,0,0,17,5,23,47,15,68,66,22,88
SAL50276,0,0,0,0,0,0,0,0,0,0,0,0
SAL50277,0,0,0,0,0,0,0,0,0,0,0,0
SAL50278,0,0,0,0,3,10,3,0,8,13,6,16
SAL50279,0,0,0,5,0,10,0,0,0,5,0,10
SAL50280,0,0,0,0,0,0,0,0,0,0,0,0
SAL50281,0,0,0,0,0,0,0,0,0,0,0,0
SAL50282,0,0,0,0,0,0,0,0,0,0,0,0
SAL50283,0,0,0,0,0,0,0,0,0,0,0,0
SAL50284,0,0,0,0,0,0,0,0,0,0,0,0
SAL50285,0,0,0,0,0,0,0,0,0,0,0,0
SAL50286,0,0,0,0,0,0,0,0,0,0,0,0
SAL50287,0,0,0,0,0,0,0,0,0,0,0,0
SAL50288,0,0,0,0,0,0,0,0,0,0,0,0
SAL50289,0,0,0,26,4,30,6,3,3,29,5,40
SAL50290,0,0,0,0,0,0,0,0,0,0,0,0
SAL50291,0,0,0,0,0,0,0,0,0,0,0,0
SAL50292,0,0,0,0,0,0,0,0,0,0,0,0
SAL50293,0,0,0,4,0,4,0,0,0,4,0,4
SAL50294,0,0,3,24,23,49,0,0,0,25,23,54
SAL50295,0,0,0,0,0,0,0,0,0,0,0,0
SAL50296,10,8,19,173,173,349,19,37,62,204,220,427
SAL50297,0,4,10,7,3,10,0,0,0,10,7,20
SAL50298,0,0,0,0,0,0,0,0,0,0,0,0
SAL50299,0,0,0,0,0,0,0,0,0,0,0,0
SAL50300,0,0,0,0,0,0,0,0,0,0,0,0
SAL50301,0,0,0,0,0,0,0,0,0,0,0,0
SAL50302,0,0,0,0,0,0,0,0,0,0,0,0
SAL50303,0,0,0,0,0,0,0,0,0,0,0,0
SAL50304,0,0,0,0,0,0,0,0,0,0,0,0
SAL50305,0,0,0,0,0,0,8,3,12,8,4,16
SAL50306,0,0,0,0,0,0,0,0,0,0,0,0
SAL50307,0,0,0,0,0,0,0,0,0,0,0,0
SAL50308,0,0,0,0,0,0,0,0,0,0,0,0
SAL50309,109,0,109,414,19,431,5,0,6,522,18,540
SAL50310,0,6,8,21,42,64,5,0,3,23,51,77
SAL50311,0,0,0,0,0,0,0,0,0,0,0,0
SAL50312,0,0,0,0,0,0,0,0,0,0,0,0
SAL50313,0,0,0,0,3,3,0,4,4,0,3,3
SAL50314,0,0,0,0,0,0,0,0,0,0,0,0
SAL50315,0,0,0,0,0,0,0,0,0,0,0,0
SAL50316,0,16,16,106,296,405,32,53,87,141,366,505
SAL50317,0,0,0,0,0,0,0,0,0,0,0,0
SAL50318,0,0,0,0,0,0,0,0,0,0,0,0
SAL50319,0,0,0,0,0,0,0,0,0,0,0,0
SAL50320,4,0,7,18,29,46,6,7,14,20,42,66
SAL50321,0,0,0,0,0,0,0,0,0,0,0,0
SAL50322,0,0,0,0,0,0,0,0,0,0,0,0
SAL50323,0,0,0,10,0,13,8,8,15,18,4,28
SAL50324,0,0,0,11,17,26,0,13,11,10,28,38
SAL50325,0,0,0,25,23,46,0,0,0,26,25,52
SAL50326,0,0,0,0,0,0,0,0,0,0,0,0
SAL50327,0,0,0,9,3,12,4,0,4,10,3,18
SAL50328,0,0,0,0,0,0,0,0,0,0,0,0
SAL50329,0,0,0,29,68,99,4,15,17,30,81,114
SAL50330,0,0,0,0,0,0,0,0,0,0,0,0
SAL50331,0,0,0,0,0,0,0,0,0,0,0,0
SAL50332,0,0,0,0,0,0,0,0,0,0,0,0
SAL50333,0,0,0,0,0,0,0,0,0,0,0,0
SAL50334,0,0,0,0,0,0,0,0,0,0,0,0
SAL50335,0,0,0,0,0,0,0,0,0,0,0,0
SAL50336,0,0,0,0,0,0,0,0,0,0,0,0
SAL50337,0,0,0,0,0,0,0,0,0,0,0,0
SAL50338,4,0,0,26,37,61,0,0,0,32,33,67
SAL50339,0,0,0,0,0,0,0,0,0,0,0,0
SAL50340,0,0,0,5,8,16,0,0,0,5,10,17
SAL50341,3,0,3,53,7,63,0,0,0,59,12,70
SAL50342,0,0,0,0,0,0,0,0,0,0,0,0
SAL50343,0,0,0,34,55,85,0,0,4,33,56,90
SAL50344,0,0,0,0,0,0,0,0,0,0,0,0
SAL50345,0,0,0,0,0,0,0,0,0,0,0,0
SAL50346,0,0,0,0,0,0,0,0,0,0,0,0
SAL50347,0,0,0,0,3,6,0,0,0,0,3,6
SAL50348,0,0,0,0,0,0,0,0,0,0,0,0
SAL50349,0,0,0,0,0,0,0,0,0,0,0,0
SAL50350,0,0,0,0,0,0,3,12,14,3,12,14
SAL50351,0,0,0,0,0,0,0,0,0,0,0,0
SAL50352,0,0,0,0,0,0,0,0,0,0,0,0
SAL50353,33,42,77,660,677,1332,27,36,65,720,756,1476
SAL50354,0,0,0,0,0,0,0,0,0,0,0,0
SAL50355,0,0,0,0,0,0,0,0,0,0,0,0
SAL50356,0,0,0,0,0,0,5,0,5,5,0,5
SAL50357,0,0,0,0,0,0,0,0,0,0,0,0
SAL50358,0,0,0,0,0,0,0,0,0,0,0,0
SAL50359,0,0,0,0,0,0,3,0,4,3,4,7
SAL50360,0,0,0,0,0,0,0,0,0,0,0,0
SAL50361,3,7,8,7,9,10,0,0,0,8,10,19
SAL50362,0,0,0,0,0,0,0,0,0,0,0,0
SAL50363,3,0,3,66,3,68,60,7,65,131,11,138
SAL50364,7,0,6,47,18,66,0,0,0,54,19,74
SAL50365,0,0,0,0,0,0,0,0,0,0,0,0
SAL50366,0,0,0,0,0,0,0,0,0,0,0,0
SAL50367,0,0,0,0,0,0,0,0,0,0,0,0
SAL50368,0,0,0,0,0,0,0,0,0,0,0,0
SAL50369,0,0,0,0,0,0,0,0,0,0,0,0
SAL50370,0,0,0,17,4,23,8,0,8,30,5,32
SAL50371,0,0,0,0,0,0,0,0,0,0,0,0
SAL50372,0,0,0,0,0,0,0,0,0,0,0,0
SAL50373,0,0,0,0,7,6,0,0,0,0,7,6
SAL50374,0,0,0,0,15,15,0,0,0,0,15,15
SAL50375,0,0,0,6,10,16,5,0,3,11,12,22
SAL50376,0,0,0,0,0,0,0,0,0,0,0,0
SAL50377,0,0,0,0,0,0,0,0,0,0,0,0
SAL50378,0,0,0,10,9,13,0,0,0,10,9,13
SAL50379,0,0,0,0,0,0,0,0,0,0,0,0
SAL50380,0,0,0,15,20,31,9,9,16,25,30,53
SAL50381,0,0,0,0,0,0,0,0,0,0,0,0
SAL50382,0,0,0,5,0,3,0,0,0,4,0,6
SAL50383,0,0,0,0,0,0,0,0,0,0,0,0
SAL50384,0,0,0,0,0,0,0,0,0,0,0,0
SAL50385,0,0,0,0,0,0,0,0,0,0,0,0
SAL50386,0,0,0,0,0,0,0,0,0,0,0,0
SAL50387,0,0,0,0,0,0,0,0,0,0,0,0
SAL50388,0,0,0,0,0,0,0,0,0,0,0,0
SAL50389,0,0,0,0,0,0,0,0,0,0,0,0
SAL50390,0,0,0,0,0,3,0,0,0,0,0,6
SAL50391,0,0,0,0,0,0,0,0,0,0,0,0
SAL50392,0,0,0,0,0,0,0,0,0,0,0,0
SAL50393,0,0,0,0,0,0,0,0,0,0,0,0
SAL50394,0,0,0,0,0,0,0,0,0,0,0,0
SAL50395,0,0,0,0,0,0,0,0,0,0,0,0
SAL50396,0,0,0,0,0,0,0,0,0,0,0,0
SAL50397,0,0,0,0,0,0,0,0,0,0,0,0
SAL50398,0,0,0,0,0,0,0,0,0,0,0,0
SAL50399,0,0,0,0,0,0,0,0,0,0,0,0
SAL50400,0,0,0,0,0,0,0,0,0,0,0,0
SAL50401,0,0,0,0,0,0,0,0,0,0,0,0
SAL50402,0,0,0,0,0,0,0,0,0,0,0,0
SAL50403,0,0,0,47,35,81,3,0,4,46,36,87
SAL50404,0,0,0,53,53,106,0,0,0,54,56,109
SAL50405,178,51,230,37,27,60,10,3,13,220,80,303
SAL50406,0,0,0,0,0,0,0,0,0,0,0,0
SAL50407,0,0,0,0,0,0,0,0,0,0,0,0
SAL50408,0,0,0,0,0,0,0,0,0,0,0,0
SAL50409,0,0,0,30,53,83,0,4,4,31,55,90
SAL50410,0,0,0,0,0,0,0,0,0,0,0,0
SAL50411,0,0,0,0,0,0,0,0,0,0,0,0
SAL50412,0,0,0,0,0,0,0,0,0,0,0,0
SAL50413,0,0,0,0,0,0,0,0,0,0,0,0
SAL50414,0,0,0,6,8,12,0,0,0,10,8,15
SAL50415,0,0,4,12,8,12,0,0,0,13,7,18
SAL50416,0,0,0,4,0,4,3,0,3,7,0,7
SAL50417,0,0,0,0,0,0,0,0,0,0,0,0
SAL50418,0,0,0,0,0,0,0,0,0,0,0,0
SAL50419,0,0,0,29,38,66,7,0,4,35,42,73
SAL50420,0,0,0,0,0,0,0,0,0,0,0,0
SAL50421,0,0,0,0,0,0,0,0,0,0,0,0
SAL50422,0,0,0,0,0,0,0,0,0,0,0,0
SAL50423,0,0,0,0,0,0,0,0,0,0,0,0
SAL50424,0,0,0,0,0,0,0,0,0,0,0,0
SAL50425,0,0,0,0,0,0,0,0,0,0,0,0
SAL50426,0,0,0,0,0,0,0,0,0,0,0,0
SAL50427,0,0,0,0,0,0,0,0,0,0,0,0
SAL50428,0,0,0,5,5,13,0,0,0,5,5,13
SAL50429,0,0,0,0,0,0,0,0,0,0,0,0
SAL50430,0,0,0,0,0,0,0,0,0,0,0,0
SAL50431,0,0,0,77,136,213,3,16,22,83,153,236
SAL50432,0,0,0,0,0,0,0,0,0,0,0,0
SAL50433,0,0,0,0,0,0,0,0,0,0,0,0
SAL50434,0,0,0,0,0,0,0,0,0,0,0,0
SAL50435,0,0,0,0,0,0,0,0,0,0,0,0
SAL50436,0,0,0,33,11,47,0,0,0,39,11,48
SAL50437,0,0,0,0,5,9,0,0,0,0,5,9
SAL50438,0,5,5,18,71,92,0,3,3,18,80,100
SAL50439,0,0,0,0,0,0,0,0,0,0,0,0
SAL50440,0,0,0,0,0,0,0,0,0,0,0,0
SAL50441,0,0,0,14,9,24,3,5,13,15,21,38
SAL50442,0,0,0,23,26,42,0,0,0,27,26,48
SAL50443,0,0,0,0,0,0,0,0,0,0,0,0
SAL50444,0,0,0,0,0,0,0,0,0,0,0,0
SAL50445,0,0,0,0,0,0,0,0,0,0,0,0
SAL50446,0,0,0,0,0,0,0,0,0,0,0,0
SAL50447,0,0,0,0,0,0,0,0,0,0,0,0
