SAL_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
SAL50049,9,9,10,0,0,0,0,0,0,9,9,10,0,3,6,4,4,8,9,17,26
SAL50050,0,0,0,0,0,0,0,0,0,0,0,0,23,19,42,3,0,6,29,21,54
SAL50051,8,13,20,0,0,0,0,0,0,8,13,20,551,562,1118,73,67,147,635,641,1276
SAL50052,0,0,0,0,0,0,0,0,0,0,0,0,69,64,138,4,3,4,75,71,144
SAL50053,66,69,137,5,0,3,0,0,0,64,73,144,4832,5346,10175,246,245,499,5147,5668,10813
SAL50054,397,415,813,4,9,11,19,18,30,418,433,851,16917,18157,35074,1049,721,1768,18386,19316,37697
SAL50055,180,183,363,5,6,16,6,3,10,195,189,386,6203,6148,12348,611,520,1128,7010,6856,13864
SAL50056,7,9,18,0,0,0,0,0,0,7,9,17,256,264,510,20,15,33,278,285,565
SAL50057,0,0,0,0,0,0,0,0,0,0,0,0,8,11,21,0,0,0,8,14,21
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8
SAL50059,5,3,4,0,0,0,0,0,0,5,3,4,36,43,76,5,3,10,44,51,93
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50061,186,197,383,0,4,3,0,8,6,194,202,397,8674,8772,17439,335,289,620,9198,9263,18459
SAL50062,0,0,0,0,0,0,0,0,0,0,0,0,18,14,30,0,0,3,14,16,33
SAL50063,3,0,0,0,0,0,0,0,0,3,0,0,34,17,54,0,0,0,39,19,58
SAL50064,0,0,0,0,0,0,0,0,0,0,0,0,21,22,47,9,9,16,32,27,54
SAL50065,0,0,0,0,0,0,0,0,0,0,0,0,31,24,60,0,0,0,33,27,60
SAL50066,7,3,8,0,0,0,0,0,0,7,3,8,178,169,347,17,8,28,203,182,383
SAL50067,18,6,21,0,0,0,0,0,0,18,6,21,83,18,102,135,19,155,235,43,275
SAL50068,6,5,13,0,0,0,0,0,0,7,5,11,674,655,1336,19,12,30,702,670,1377
SAL50069,100,103,199,0,4,3,0,0,0,95,105,205,5153,5634,10787,206,154,354,5456,5898,11351
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,4,0,4,0,0,0,0,0,0,4,0,4,28,33,63,9,0,4,41,35,72
SAL50072,0,0,0,0,0,0,0,0,0,0,0,0,11,7,11,0,0,0,12,7,17
SAL50073,0,0,0,0,0,0,0,0,0,0,0,0,4,12,16,0,0,0,4,12,16
SAL50074,0,0,0,0,0,0,0,0,0,0,0,0,22,21,47,0,0,4,25,26,47
SAL50075,11,3,17,0,0,0,0,0,0,11,8,16,435,429,864,36,23,59,486,459,940
SAL50076,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,32,5,38,43,7,45
SAL50077,0,0,0,0,0,0,0,0,0,0,0,0,146,145,293,4,5,10,151,150,302
SAL50078,117,105,224,0,3,3,0,0,6,120,112,232,4901,5201,10094,282,222,505,5299,5530,10837
SAL50079,8,12,15,0,0,0,3,0,3,12,10,20,1808,1913,3720,49,41,93,1867,1969,3832
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50081,159,159,317,7,12,15,17,11,28,179,180,361,1837,1771,3606,279,248,522,2294,2196,4496
SAL50082,62,65,130,0,0,0,0,0,0,67,69,133,1437,1570,3014,72,65,133,1576,1703,3272
SAL50083,95,116,209,0,4,3,15,7,21,113,125,235,7060,7441,14497,306,242,547,7479,7805,15288
SAL50084,56,66,132,0,0,0,0,0,4,61,69,133,561,603,1164,60,50,110,681,726,1400
SAL50085,0,0,0,0,0,0,0,0,0,0,0,0,64,48,115,5,5,10,74,55,123
SAL50086,49,57,106,0,0,0,0,3,5,45,61,110,2417,2573,4995,116,98,211,2585,2729,5315
SAL50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50088,0,0,0,0,0,0,0,0,0,0,0,0,29,18,48,7,5,7,30,24,54
SAL50089,0,0,0,0,0,0,0,0,0,0,0,0,28,21,53,0,0,0,28,21,53
SAL50090,108,121,225,9,0,9,4,0,4,117,118,230,4322,4080,8402,252,211,457,4684,4405,9092
SAL50091,34,56,89,4,0,4,0,0,0,43,55,92,2641,2816,5452,92,76,167,2777,2943,5716
SAL50092,13,16,34,0,0,0,0,0,0,13,16,34,1455,1462,2918,48,35,91,1517,1517,3038
SAL50093,163,196,360,4,6,10,9,6,16,174,208,383,4182,4121,8300,221,206,430,4577,4537,9112
SAL50094,9,0,9,0,0,0,0,0,0,9,0,9,55,59,117,7,3,4,66,62,128
SAL50095,0,0,0,0,0,0,0,0,0,0,0,0,25,23,49,4,3,6,31,28,58
SAL50096,0,0,0,0,0,0,0,0,0,0,0,0,20,16,41,9,6,18,29,25,56
SAL50097,0,0,0,0,0,0,0,0,0,0,0,0,51,50,101,13,8,15,64,58,126
SAL50098,89,108,201,3,0,3,0,0,0,90,108,204,3993,4139,8127,152,127,288,4242,4378,8617
SAL50099,0,0,0,0,0,0,0,0,0,0,0,0,16,17,38,4,4,3,22,22,41
SAL50100,0,0,0,0,0,0,0,0,0,0,0,0,49,49,99,3,0,6,57,49,109
SAL50101,6,0,3,0,0,0,0,0,0,6,0,3,70,70,140,12,5,12,80,77,157
SAL50102,38,35,71,0,0,0,0,0,0,38,35,71,1893,1997,3892,71,61,128,1999,2090,4094
SAL50103,6,5,6,0,0,0,0,0,0,6,5,6,124,133,253,0,0,4,129,138,264
SAL50104,29,43,72,6,0,4,0,0,0,28,49,80,705,662,1366,41,29,71,779,734,1514
SAL50105,127,122,252,4,3,7,0,0,4,133,123,258,3251,3022,6271,256,173,428,3641,3313,6959
SAL50106,8,6,14,0,0,0,0,0,0,8,6,14,86,86,172,11,10,21,104,105,203
SAL50107,0,0,3,0,0,0,0,0,0,0,0,3,79,75,149,7,0,4,81,80,159
SAL50108,0,0,0,0,0,0,0,0,0,0,0,0,14,6,23,0,0,0,14,6,23
SAL50109,0,0,0,0,0,0,0,0,0,0,0,0,67,55,126,10,3,18,75,63,143
SAL50110,41,35,75,0,0,0,8,4,6,43,38,85,2867,2810,5684,95,67,164,3015,2917,5929
SAL50111,111,116,228,7,0,7,5,4,7,123,117,237,4137,4132,8271,288,254,541,4544,4503,9051
SAL50112,22,35,58,4,0,4,0,0,0,24,36,61,638,667,1301,55,46,100,721,745,1463
SAL50113,0,0,0,0,0,0,0,0,0,0,0,0,21,14,33,3,3,6,26,15,38
SAL50114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50115,86,71,154,0,3,3,0,0,3,86,76,166,2880,2918,5796,135,104,239,3102,3097,6196
SAL50116,18,23,42,0,0,3,0,0,0,19,23,43,473,475,954,59,53,109,555,556,1109
SAL50117,61,45,110,0,0,4,0,0,0,61,53,114,2713,2847,5560,119,104,218,2888,3003,5892
SAL50118,8,4,4,0,0,0,0,0,0,8,4,4,351,339,688,10,7,15,365,343,713
SAL50119,19,17,35,0,0,0,0,0,0,19,19,37,3152,3507,6663,143,127,263,3312,3650,6961
SAL50120,0,0,3,0,0,0,0,0,0,0,0,3,8,4,12,0,0,3,10,3,20
SAL50121,0,0,0,0,0,0,0,0,0,0,0,0,121,92,210,10,3,15,134,91,225
SAL50122,0,0,0,0,0,0,0,0,0,0,0,0,9,8,18,0,0,0,9,8,18
SAL50123,117,143,254,0,8,8,5,10,21,122,163,282,510,570,1080,80,92,176,714,826,1540
SAL50124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50125,0,0,0,0,0,0,0,0,0,0,0,0,29,29,57,0,0,0,29,30,59
SAL50126,48,46,95,0,0,0,0,0,4,48,45,95,498,516,1017,60,50,111,606,611,1215
SAL50127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50128,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,4
SAL50129,15,4,17,0,0,0,0,0,0,15,4,17,609,599,1213,45,24,68,672,624,1296
SAL50130,0,5,5,0,0,0,0,0,0,0,5,5,30,17,42,7,0,6,35,23,58
SAL50131,0,0,0,0,0,0,0,0,0,0,0,0,43,33,74,4,0,8,45,45,86
SAL50132,33,37,74,0,0,0,0,0,0,33,40,76,594,650,1239,38,32,70,662,722,1381
SAL50133,0,0,0,0,0,0,0,0,0,0,0,0,45,35,81,0,0,0,44,37,85
SAL50134,0,0,0,0,0,0,0,0,0,0,0,0,18,20,40,0,0,3,24,17,39
SAL50135,0,0,0,0,0,0,0,0,0,0,0,0,22,19,43,0,0,3,26,22,45
SAL50136,0,0,0,0,0,0,0,0,0,0,0,0,22,13,35,5,4,5,25,19,40
SAL50137,24,16,44,0,0,0,0,0,0,23,16,43,526,493,1025,59,52,111,609,568,1178
SAL50138,0,0,0,0,0,0,0,0,0,0,0,0,14,12,24,4,0,3,12,19,32
SAL50139,0,0,3,0,0,0,0,0,4,3,5,6,24,12,29,0,0,0,23,14,42
SAL50140,4,0,4,0,0,0,0,0,0,5,0,5,57,58,121,6,0,9,67,62,128
SAL50141,0,0,0,0,0,0,0,0,0,0,0,0,27,18,50,5,8,8,37,22,60
SAL50142,8,8,9,0,0,0,0,0,0,6,8,12,86,84,174,18,12,30,110,104,217
SAL50143,13,18,30,0,0,0,3,0,4,15,19,38,58,48,105,24,15,45,98,80,182
SAL50144,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,0,0,0,3,3,5
SAL50145,3,0,3,0,0,0,0,0,0,3,0,3,64,64,128,11,3,21,82,66,149
SAL50146,0,0,0,0,0,0,0,0,0,0,0,0,13,14,26,4,0,5,16,14,32
SAL50147,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,19,0,17,39,3,48
SAL50148,19,22,34,0,0,3,0,0,0,22,22,42,2678,2829,5509,71,65,138,2772,2916,5684
SAL50149,0,0,0,0,0,0,0,0,0,0,0,0,5,12,22,0,0,0,5,12,22
SAL50150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50151,0,0,0,0,0,0,0,0,0,0,0,0,67,65,131,9,5,6,77,67,143
SAL50152,0,0,0,0,0,0,0,0,0,0,0,0,14,20,36,5,6,10,27,24,48
SAL50153,0,0,0,0,0,0,0,0,0,0,0,0,17,11,29,0,5,3,17,19,31
SAL50154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
SAL50155,0,0,0,0,0,0,0,0,0,0,0,0,25,11,37,0,0,0,25,11,37
SAL50156,0,0,5,0,0,0,0,0,0,0,0,5,13,8,21,5,4,6,14,10,29
SAL50157,0,0,0,0,0,0,0,0,0,0,0,0,51,48,105,5,0,3,58,47,110
SAL50158,0,0,0,0,0,0,0,0,0,0,0,0,32,32,67,0,0,4,36,31,71
SAL50159,195,206,397,6,0,6,3,3,9,204,206,409,1982,1718,3700,422,338,763,2607,2269,4872
SAL50160,0,0,0,0,0,0,0,0,0,0,0,0,25,23,50,5,0,5,28,21,53
SAL50161,10,7,17,0,0,0,0,0,0,10,7,17,447,411,854,19,19,40,478,437,910
SAL50162,3,0,3,0,0,0,0,0,0,3,0,3,219,221,446,12,10,22,236,240,475
SAL50163,0,0,0,0,0,0,0,0,0,0,0,0,38,30,71,0,4,0,40,32,75
SAL50164,0,0,0,0,0,0,0,0,0,0,0,0,42,28,78,4,5,8,48,37,84
SAL50165,5,3,9,0,0,0,0,0,0,5,3,9,50,43,91,0,0,6,56,50,104
SAL50166,0,0,0,0,0,0,0,0,0,0,0,0,21,14,33,0,0,0,21,14,33
SAL50167,6,0,4,0,0,0,0,0,0,6,0,4,47,43,86,0,3,8,51,41,91
SAL50168,7,3,9,0,0,0,0,0,0,7,8,12,318,317,634,14,6,24,339,332,669
SAL50169,13,12,25,0,0,0,0,0,0,12,12,23,569,612,1188,48,44,95,637,674,1304
SAL50170,0,0,0,0,0,0,0,0,0,0,0,0,16,14,28,0,0,0,16,14,28
SAL50171,0,0,0,0,0,0,0,0,0,0,0,0,18,13,35,0,0,0,22,17,38
SAL50172,9,8,16,0,0,3,0,0,0,10,5,22,378,426,801,52,58,118,442,496,938
SAL50173,102,135,239,0,0,4,5,3,6,108,137,248,4074,4107,8181,135,94,231,4322,4345,8665
SAL50174,0,0,0,0,0,0,0,0,0,0,0,0,49,41,96,10,14,22,63,61,113
SAL50175,0,4,0,0,0,0,0,0,0,0,4,0,18,13,39,0,0,0,19,15,40
SAL50176,0,0,0,0,0,0,0,0,0,0,0,0,13,12,27,0,4,4,11,18,29
SAL50177,3,4,8,0,0,0,0,0,0,3,4,8,200,198,398,8,12,20,212,218,424
SAL50178,30,38,66,0,0,3,0,0,0,29,37,71,972,1049,2017,35,29,66,1035,1120,2153
SAL50179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50180,30,25,54,0,0,0,0,0,0,30,25,54,1359,1525,2880,119,110,232,1512,1661,3168
SAL50181,5,5,11,0,0,0,0,0,0,5,5,16,502,481,979,13,11,32,527,499,1025
SAL50182,0,0,0,0,0,0,0,0,0,0,0,0,12,11,24,0,0,0,14,14,25
SAL50183,52,45,100,0,0,0,3,0,4,55,52,103,1824,2153,3975,97,94,190,1975,2297,4269
SAL50184,21,20,40,0,0,0,0,0,0,21,24,41,367,340,700,11,10,19,394,369,759
SAL50185,81,106,185,0,0,0,0,3,3,76,114,187,307,286,594,107,97,204,495,495,993
SAL50186,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,4,6,9,7,17
SAL50187,83,101,186,0,0,3,4,0,4,83,102,189,1264,1314,2581,109,89,199,1460,1510,2968
SAL50188,0,0,5,0,0,0,0,0,0,0,0,5,121,110,231,5,6,17,131,124,249
SAL50189,37,49,85,0,0,0,0,0,0,37,48,82,287,284,564,44,38,80,369,364,732
SAL50190,595,570,1161,6,4,8,41,43,86,644,617,1255,983,1020,1999,281,265,548,1902,1898,3797
SAL50191,0,0,0,0,0,0,0,0,0,0,0,0,53,47,95,0,8,6,58,52,109
SAL50192,0,5,8,0,0,0,0,0,0,0,5,8,88,92,179,4,15,25,98,110,211
SAL50193,0,0,0,0,0,0,0,0,0,0,0,0,75,77,148,13,9,24,88,88,173
SAL50194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50195,0,10,9,0,0,0,0,0,0,0,10,9,58,51,108,0,7,7,64,61,125
SAL50196,14,20,33,0,0,0,0,0,0,14,20,34,328,306,635,43,31,75,388,354,742
SAL50197,24,26,57,0,0,0,0,0,0,24,26,57,534,510,1046,53,44,100,617,587,1195
SAL50198,0,0,0,0,0,0,0,0,0,0,0,0,17,11,27,0,0,0,17,11,27
SAL50199,3,4,4,0,0,0,0,0,0,3,4,4,24,16,37,7,3,15,31,27,56
SAL50200,124,96,218,12,5,16,7,10,13,137,109,246,1217,1045,2259,283,199,478,1637,1345,2990
SAL50201,30,17,47,0,0,0,0,0,0,27,17,50,3746,4034,7779,110,93,203,3883,4148,8030
SAL50202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50203,0,0,0,0,0,0,0,0,0,0,0,0,41,36,76,0,0,0,40,36,82
SAL50204,0,0,4,0,0,0,0,0,0,0,0,4,72,80,152,3,0,3,74,83,159
SAL50205,0,0,0,0,0,0,0,0,0,0,0,0,14,17,29,0,0,0,15,17,29
SAL50206,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,3,3,6
SAL50207,72,38,111,4,0,6,3,0,3,75,40,114,2600,2531,5131,214,152,360,2886,2721,5605
SAL50208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50209,0,0,0,0,0,0,0,0,0,0,0,0,22,25,48,0,0,0,22,25,48
SAL50210,30,34,68,5,0,3,0,0,0,33,38,72,1757,1875,3631,139,109,245,1928,2021,3948
SAL50211,0,0,0,0,0,0,0,0,0,0,0,0,8,5,18,0,0,0,8,9,19
SAL50212,0,0,0,0,0,0,0,0,0,0,0,0,10,8,16,7,6,12,13,16,26
SAL50213,0,0,0,0,0,0,0,0,0,0,0,0,31,22,54,4,3,9,33,25,61
SAL50214,0,0,0,0,0,0,0,0,0,0,0,0,29,23,47,0,0,0,29,20,51
SAL50215,0,0,0,0,0,0,0,0,0,0,0,0,15,18,31,0,0,0,15,16,30
SAL50216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50217,3,5,11,0,0,0,0,0,0,3,5,11,365,374,734,22,22,43,394,399,788
SAL50218,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,0,6,0,5,8,11
SAL50219,0,0,0,0,0,0,0,0,0,0,0,0,327,15,339,3,0,3,324,20,340
SAL50220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SAL50221,13,12,27,6,0,4,0,0,0,20,10,35,1987,1990,3972,46,15,63,2054,2018,4071
SAL50222,0,3,4,0,0,0,0,0,0,7,3,3,132,149,282,15,8,21,151,164,309
SAL50223,3,6,4,0,0,0,0,0,0,3,6,4,48,37,92,10,15,21,59,52,114
SAL50224,0,0,0,0,0,0,0,0,0,0,0,0,5,4,17,6,5,9,15,10,22
SAL50225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50226,18,13,32,0,0,0,0,0,0,18,13,32,1273,1276,2548,94,106,200,1388,1395,2779
SAL50227,8,4,13,0,0,0,0,0,0,8,4,13,307,345,649,9,5,18,325,357,677
SAL50228,23,11,30,0,0,0,0,0,0,23,11,30,807,878,1685,64,57,124,896,939,1838
SAL50229,147,168,317,11,3,15,0,0,5,158,173,331,6041,6544,12585,323,233,557,6520,6953,13473
SAL50230,263,296,558,12,10,19,18,14,31,287,318,603,8560,9020,17579,384,310,691,9231,9646,18878
SAL50231,600,656,1250,6,11,16,26,24,51,629,688,1321,1783,1946,3728,329,342,678,2746,2981,5730
SAL50232,0,0,0,0,0,0,0,0,0,0,0,0,30,25,55,4,0,3,33,26,56
SAL50233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SAL50234,8,8,14,0,0,0,0,0,0,8,8,14,94,77,170,5,10,11,110,88,198
SAL50235,51,42,89,3,0,5,0,0,0,51,40,92,849,937,1786,43,47,89,948,1031,1975
SAL50236,0,0,0,0,0,0,0,0,0,0,0,0,19,18,41,0,0,0,19,20,38
SAL50237,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,0,0,0,3,5,11
SAL50238,211,207,420,0,0,0,0,0,0,211,208,417,30,29,57,16,12,26,252,245,500
SAL50239,0,0,0,0,0,0,0,0,0,0,0,0,9,11,19,6,0,5,16,14,26
SAL50240,116,109,226,7,5,6,0,3,8,122,114,235,1985,1977,3961,122,125,244,2224,2215,4442
SAL50241,0,0,0,0,0,0,0,0,0,0,0,0,20,13,34,0,0,3,18,20,35
SAL50242,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,3,4,5
SAL50243,15,7,20,0,0,0,0,0,0,15,7,20,20,13,35,0,0,0,34,24,57
SAL50244,0,0,0,0,0,0,0,0,0,0,0,0,15,9,23,0,0,0,15,11,26
SAL50245,431,215,644,0,0,6,11,7,19,442,226,668,16452,16580,33032,494,301,797,17390,17109,34504
SAL50246,30,47,77,0,0,0,0,3,3,30,49,80,3275,3045,6323,257,219,477,3558,3314,6875
SAL50247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
SAL50248,10,21,32,0,0,0,0,0,0,10,21,32,243,245,491,11,9,18,265,274,538
SAL50249,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,3,0
SAL50250,0,0,0,0,0,0,0,0,0,0,0,0,10,3,14,0,0,0,5,5,18
SAL50251,47,44,93,0,0,0,0,0,0,47,48,90,1162,1212,2373,80,59,141,1286,1317,2606
SAL50252,0,5,5,0,0,0,0,0,0,0,5,5,55,65,126,0,6,10,63,75,136
SAL50253,0,0,0,0,0,0,0,0,0,0,0,0,28,10,38,24,12,33,55,24,79
SAL50254,0,0,0,0,0,0,0,0,0,0,0,0,7,5,18,0,3,7,12,8,25
SAL50255,0,0,5,0,0,0,0,0,0,0,0,5,214,194,409,21,17,35,236,209,444
SAL50256,0,0,0,0,0,0,0,0,0,0,0,0,11,6,15,0,4,10,13,12,29
SAL50257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50258,0,0,0,0,0,0,0,0,0,0,0,0,63,46,112,0,0,0,68,46,112
SAL50259,0,0,0,0,0,0,0,0,0,0,0,0,61,49,113,0,4,3,68,48,118
SAL50260,10,10,19,0,0,0,0,0,0,10,10,19,549,559,1104,25,12,40,581,579,1163
SAL50261,155,150,315,0,0,4,0,0,0,163,155,315,2066,2360,4426,196,218,417,2422,2732,5155
SAL50262,28,24,53,0,0,0,0,0,0,28,24,53,3492,3621,7109,84,83,169,3602,3725,7330
SAL50263,77,79,157,7,0,9,0,0,0,88,77,164,3174,3104,6280,173,121,290,3437,3302,6733
SAL50264,0,0,3,0,0,0,0,0,0,0,0,3,55,45,95,0,0,8,52,51,103
SAL50265,16,8,26,0,0,0,0,0,0,16,8,26,382,321,705,10,6,23,414,342,754
SAL50266,3,4,14,0,0,0,0,0,0,3,4,14,179,145,326,38,32,65,219,185,407
SAL50267,12,17,29,0,0,0,0,0,0,12,17,29,69,73,144,72,37,108,152,130,281
SAL50268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50269,36,44,76,8,0,10,4,0,4,43,49,90,3392,3509,6898,133,63,192,3565,3618,7178
SAL50270,0,0,0,0,0,0,0,0,0,0,0,0,18,23,41,7,3,8,27,24,49
