SAL_CODE_2021,Neg_Nil_inc_Hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_2499_Hh_with_Indig_psn,2000_2499_Other_households,2000_2499_Tot_hhlds,2500_2999_Hh_with_Indig_psn,2500_2999_Other_households,2500_2999_Tot_hhlds,3000_3499_Hh_with_Indig_psn,3000_3499_Other_households,3000_3499_Tot_hhlds,3500_more_Hh_with_Indig_psn,3500_more_stated_Other_hhds,3500_more_stated_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
SAL50011,0,39,42,0,9,9,0,22,22,0,42,42,3,69,71,0,85,87,6,133,132,5,164,165,8,211,219,3,274,274,6,237,248,0,197,206,13,481,486,9,343,353,5,294,298,13,440,450,16,367,381,0,34,35,81,3445,3521
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
SAL50013,0,0,0,0,0,0,0,4,4,0,6,6,0,13,14,0,8,7,0,8,8,0,16,16,0,15,15,0,12,12,0,11,11,0,14,16,0,37,35,0,16,16,0,19,19,0,20,20,0,18,18,0,0,0,8,210,213
SAL50014,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,3,0,4,4,0,4,4,0,6,6,0,3,4,0,0,0,0,0,0,0,3,3,0,5,5,0,8,8,0,0,0,0,0,0,0,42,46
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
SAL50016,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,6,0,8,8,0,7,4,0,14,17,0,3,3,0,9,9,0,10,10,0,17,20,0,12,12,0,11,11,0,36,38,0,16,19,0,0,0,3,156,167
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,4,0,0,0,0,26,29
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50019,0,0,0,0,0,0,0,3,3,0,3,3,0,3,3,0,0,0,0,3,3,0,7,7,0,9,9,0,9,9,0,4,4,0,12,12,0,0,0,0,9,9,0,10,10,0,14,14,0,11,11,0,0,0,0,96,96
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,0,65,65,0,21,21,0,31,26,0,36,35,0,84,84,0,74,75,0,95,94,0,122,122,0,133,138,0,147,144,0,129,129,0,130,130,0,246,246,0,137,136,4,173,173,13,952,959,0,170,170,0,22,25,24,2769,2790
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,3,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,4,0,5,5,0,0,0,0,21,24
SAL50024,0,22,22,0,20,20,0,18,18,0,20,20,4,60,63,0,52,52,0,70,70,0,68,68,0,90,90,0,106,106,0,78,80,3,75,80,0,142,140,6,91,92,0,119,121,8,520,529,0,92,92,0,19,19,19,1651,1668
SAL50025,0,0,0,0,0,0,0,9,9,0,0,0,0,6,6,0,5,7,0,13,13,0,11,11,0,15,15,0,8,8,0,3,3,0,8,8,0,15,15,5,23,20,0,9,9,0,43,43,0,19,19,0,8,9,8,194,202
SAL50026,4,95,103,3,33,36,11,87,103,8,220,230,22,558,584,25,415,439,33,447,477,25,459,484,35,475,510,23,480,505,19,318,341,13,252,264,37,388,428,12,217,226,16,94,111,16,133,156,31,308,336,7,164,171,332,5157,5489
SAL50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,14
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,4,4,0,0,0,0,28,28
SAL50030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,3,0,3,3,0,5,5,0,0,0,0,9,9,0,0,0,0,0,0,0,27,28
SAL50031,0,14,14,0,6,6,0,7,7,0,18,18,0,50,50,0,28,28,4,48,53,0,54,60,4,61,60,0,86,81,0,68,68,0,72,72,5,135,138,0,74,74,6,63,62,6,274,280,0,77,83,0,9,7,25,1138,1162
SAL50032,0,22,22,0,3,3,0,10,10,0,24,24,0,61,61,0,111,120,0,92,97,0,69,69,0,72,76,4,75,81,0,55,55,0,60,60,0,102,102,0,94,95,0,55,55,5,127,128,0,68,69,0,32,32,13,1132,1148
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,0,13,13,0,6,6,0,7,9,0,21,21,0,37,45,0,19,22,0,33,42,0,31,26,0,36,37,0,26,25,0,20,20,0,23,24,3,46,52,0,36,42,5,40,44,0,79,85,0,37,37,0,7,7,24,522,550
SAL50035,0,56,54,0,23,26,0,15,16,0,29,29,0,78,80,0,85,83,0,83,88,0,89,95,0,122,119,0,92,92,0,87,95,3,107,112,9,204,215,0,127,127,0,145,146,10,821,828,4,156,156,0,24,24,29,2356,2386
SAL50036,0,22,22,4,8,9,0,10,12,0,24,24,6,74,81,4,54,50,4,123,124,6,123,126,0,145,145,5,168,171,0,123,123,3,150,158,3,370,376,5,278,283,3,295,303,10,700,709,0,258,263,0,19,19,59,2958,3017
SAL50037,0,20,20,0,7,14,0,13,16,0,11,11,0,42,42,0,40,40,0,41,43,0,85,85,0,109,104,0,95,95,0,108,114,3,104,103,4,283,286,0,202,203,7,229,236,15,506,517,8,163,169,0,18,18,35,2070,2109
SAL50038,0,18,18,0,7,8,0,12,12,0,21,23,0,73,75,0,55,55,0,82,86,0,51,51,0,50,51,0,52,55,3,32,30,0,28,28,0,41,41,0,12,12,0,14,14,0,22,22,0,48,46,0,23,22,9,641,652
SAL50039,4,56,65,0,22,22,0,48,51,4,94,97,9,292,298,10,189,203,10,341,347,6,287,292,14,343,356,14,341,361,7,257,264,13,320,332,25,696,721,21,439,464,16,399,417,28,679,702,22,513,532,4,67,71,212,5388,5598
SAL50040,3,43,45,0,11,13,0,12,12,0,29,29,0,91,92,5,79,80,4,155,158,6,146,150,7,287,293,14,323,339,10,314,324,9,306,312,24,721,748,10,495,508,13,376,394,38,654,695,18,443,462,0,48,53,166,4542,4701
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,3,3,0,0,0,0,12,16
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
SAL50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,4,4,0,0,0,0,13,15
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,8,8
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
SAL50048,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,8,8,0,3,3,0,3,3,0,5,5,0,9,9,0,0,0,0,8,8,0,3,3,0,4,4,0,4,4,0,5,5,0,0,0,0,47,45
SAL50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
SAL50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,5,0,4,4,0,0,0,0,14,14
SAL50051,0,8,7,0,3,3,0,11,11,0,10,10,0,19,19,0,16,20,0,31,31,0,25,25,0,28,33,0,30,30,0,23,23,0,14,14,0,46,47,0,17,17,0,18,23,0,56,59,3,57,59,0,6,6,6,421,426
SAL50052,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,6,0,0,0,0,4,4,0,5,5,0,3,3,0,4,4,0,3,3,0,9,9,0,5,5,0,3,3,0,7,7,0,4,5,0,0,0,0,50,50
SAL50053,0,81,87,6,25,26,4,77,83,6,143,144,6,394,404,8,172,176,3,261,269,8,239,245,0,311,311,7,330,340,0,283,284,3,266,268,9,525,532,5,298,300,3,263,267,6,507,517,5,235,238,6,97,104,81,4518,4594
SAL50054,6,127,131,0,45,45,0,77,77,3,121,129,0,322,324,11,379,387,21,528,545,15,519,533,17,650,672,22,731,751,23,702,725,9,733,746,54,1589,1646,39,1045,1079,41,963,1005,63,1900,1963,50,1453,1500,3,143,147,379,12015,12397
SAL50055,3,92,99,5,34,34,3,97,103,4,165,170,15,363,374,11,258,268,11,348,359,15,405,425,16,486,505,16,519,533,18,336,354,9,329,341,11,578,588,12,258,267,6,206,206,12,243,257,15,315,331,6,92,94,180,5130,5313
SAL50056,0,5,5,0,13,13,0,0,0,0,9,9,0,27,37,0,17,17,0,21,21,0,17,24,0,22,25,0,13,13,0,10,10,0,3,3,0,22,22,0,11,12,0,4,4,0,16,16,3,18,21,0,0,0,11,248,254
SAL50057,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,11,11
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50059,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,6,6,0,0,0,0,4,4,0,8,8,0,0,0,0,32,37
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50061,9,89,99,0,36,36,0,62,65,7,102,105,5,280,279,4,189,193,12,341,353,9,367,382,13,459,472,11,454,458,9,385,393,11,364,368,14,754,766,12,516,529,5,354,362,20,716,738,17,469,486,4,84,82,156,6015,6177
SAL50062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
SAL50063,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,3,3,0,8,7,0,6,6,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,33,39
SAL50064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,21,21
SAL50065,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,22,24
SAL50066,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,10,10,0,4,8,0,6,6,0,6,6,0,9,9,0,18,18,0,8,8,0,8,9,0,24,24,0,16,16,0,4,4,0,124,125
SAL50067,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8
SAL50068,0,13,13,0,0,0,0,3,3,0,9,9,0,16,16,0,3,3,0,19,19,0,12,11,0,29,27,0,23,23,0,17,17,0,15,15,0,39,39,0,30,30,0,46,42,0,124,124,3,42,49,0,4,4,4,448,452
SAL50069,0,36,36,0,15,15,0,26,24,3,47,49,6,93,96,0,82,83,8,132,144,7,201,211,8,241,251,5,287,292,6,243,249,7,275,283,12,577,590,0,352,351,8,283,289,10,392,396,3,348,354,0,46,46,83,3671,3754
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,5,5,0,3,3,0,0,0,0,18,23
SAL50072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
SAL50073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
SAL50074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
SAL50075,0,8,8,0,0,0,0,0,0,0,11,11,0,11,10,0,7,7,0,14,14,0,17,18,0,17,17,0,13,13,0,16,16,0,6,6,0,23,27,0,32,34,0,23,23,0,54,53,0,38,42,0,0,0,10,283,294
SAL50076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50077,0,6,6,0,0,0,0,0,0,0,3,3,0,3,3,0,3,3,0,4,4,0,7,7,0,4,4,0,9,9,0,3,3,0,5,5,0,15,15,0,7,7,0,10,10,0,24,24,0,12,12,0,0,0,0,112,112
SAL50078,0,63,64,0,33,31,7,52,58,4,129,134,3,281,286,8,189,196,5,225,233,0,246,249,5,270,278,7,255,261,5,227,238,4,210,217,12,507,516,4,313,320,7,286,291,14,699,712,12,269,269,0,58,59,107,4304,4406
SAL50079,0,16,13,0,10,10,0,10,10,0,21,26,0,43,44,0,44,44,0,54,61,0,57,57,3,69,69,0,70,70,5,54,62,0,62,62,0,122,122,0,88,88,0,97,97,0,355,352,0,81,81,0,11,11,14,1268,1276
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50081,3,5,5,0,0,0,0,3,7,0,3,8,0,6,9,0,4,6,3,8,9,5,9,11,6,25,31,0,22,20,4,46,48,9,50,58,17,147,157,11,83,90,17,134,149,35,512,543,17,110,129,9,8,13,133,1164,1296
SAL50082,3,28,24,0,8,8,0,17,17,0,22,24,0,72,72,3,58,60,0,115,120,0,91,97,0,102,103,4,85,93,0,80,83,6,56,57,3,123,125,0,100,98,4,54,53,9,90,95,5,66,74,4,17,16,55,1179,1231
SAL50083,0,72,74,0,44,42,0,65,68,6,124,128,7,358,368,4,239,240,12,247,258,8,290,289,6,312,324,6,342,353,10,286,297,8,327,330,3,607,615,7,443,443,8,457,467,19,1309,1332,15,388,404,5,81,84,122,5992,6111
SAL50084,6,12,13,0,5,3,0,18,16,15,28,42,10,51,59,0,41,39,3,34,38,8,37,43,0,37,40,5,36,39,3,34,36,3,28,33,0,56,58,3,33,36,0,27,27,0,53,53,0,34,36,3,13,18,62,572,627
SAL50085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,4,4,0,0,0,0,5,5,0,0,3,0,0,0,0,0,0,0,3,3,0,6,6,0,0,0,0,48,47
SAL50086,0,32,36,0,15,19,6,37,39,0,57,59,4,146,148,5,83,90,0,108,108,6,105,113,4,114,122,3,115,116,0,84,85,4,87,97,7,180,182,5,136,139,3,136,138,3,435,440,13,132,145,0,31,34,62,2037,2096
SAL50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22
SAL50089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,17,17
SAL50090,3,64,63,0,13,13,0,37,38,4,62,71,4,155,155,0,100,106,8,187,197,3,183,187,6,235,243,14,243,255,3,231,236,0,178,182,19,395,411,11,274,286,7,186,192,6,326,334,4,227,228,0,45,45,98,3141,3242
SAL50091,3,51,56,0,16,18,4,27,34,5,45,47,0,123,125,6,63,69,5,99,105,0,116,119,0,108,107,3,124,129,0,80,80,0,106,103,3,228,230,3,152,154,0,184,184,5,488,494,3,115,121,3,25,24,49,2161,2212
SAL50092,0,8,8,0,5,5,0,3,3,0,4,4,0,23,23,0,17,17,0,29,29,0,33,37,0,46,46,3,44,51,0,32,32,5,42,45,0,84,84,0,66,66,0,93,93,3,288,294,4,91,94,0,8,8,17,935,950
SAL50093,8,65,70,0,29,29,9,49,60,7,81,88,12,191,199,5,115,119,10,203,211,3,216,220,17,268,284,9,264,277,15,201,220,8,194,199,7,346,352,9,247,254,4,141,145,8,222,235,13,217,230,7,53,59,149,3103,3250
SAL50094,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,5,5,0,5,5,0,0,0,0,0,0,0,8,8,0,7,7,0,0,0,0,3,3,0,3,4,0,3,3,0,45,46
SAL50095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
SAL50096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,13,13
SAL50097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,4,4,0,0,0,0,0,0,0,8,8,0,10,10,0,4,4,0,39,39
SAL50098,0,24,24,0,7,14,0,25,25,0,35,37,5,86,95,3,58,58,0,122,122,5,112,119,8,153,158,9,183,187,4,166,179,4,153,161,12,371,381,5,278,283,4,247,257,16,547,567,5,241,249,0,32,37,88,2843,2937
SAL50099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
SAL50100,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,4,0,0,3,3,0,5,5,0,0,0,0,0,0,0,8,8,0,3,3,0,0,0,0,28,29
SAL50101,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,4,4,0,3,3,0,5,5,0,0,0,0,7,7,0,4,4,0,6,6,0,4,4,0,5,7,0,6,12,0,3,3,5,55,56
