SAL_CODE_2021,NsQ_Cer_III_IV_IndSt_nsP,NsQ_Cer_III_IV_TotM,NsQ_Cer_III_IV_TotF,NsQ_Cer_III_IV_TotP,NsQ_Cer_I_II_Ind_M,NsQ_Cer_I_II_Ind_F,NsQ_Cer_I_II_Ind_P,NsQ_Cer_I_II_No_In_M,NsQ_Cer_I_II_No_In_F,NsQ_Cer_I_II_No_In_P,NsQ_Cer_I_II_Ind_s_nsM,NsQ_Cer_I_II_Ind_s_nsF,NsQ_Cer_I_II_Ind_s_nsP,NsQ_Cer_I_II_TotM,NsQ_Cer_I_II_TotF,NsQ_Cer_I_II_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
SAL50011,8,1094,681,1778,0,5,3,61,85,144,0,0,0,59,87,147,65,69,131,3643,3966,7611,10,9,16,3715,4043,7758,16,4,16,811,1009,1816,10,0,10,828,1015,1843,14,16,35,1677,1747,3423,4,5,11,1693,1774,3468,52,49,101,2386,2811,5203,10,4,15,2448,2863,5312
SAL50012,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,13,0,0,0,7,10,13,0,0,0,3,3,8,0,0,0,3,3,8,0,0,0,8,8,6,0,0,0,8,8,6,0,0,0,5,3,12,0,0,0,5,3,12
SAL50013,4,95,64,156,0,0,0,4,6,15,0,0,0,4,6,15,0,0,4,251,249,507,0,0,5,262,251,511,0,4,0,30,24,53,0,0,0,31,30,61,0,0,4,205,201,407,0,0,0,208,198,411,0,0,5,71,65,136,0,0,0,72,66,141
SAL50014,0,6,3,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,46,38,84,0,0,0,51,38,89,0,0,0,8,4,9,0,0,6,9,4,12,0,0,0,48,31,74,0,0,0,51,31,75,0,0,0,8,9,20,0,0,0,8,9,20
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,15,0,0,0,7,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,11,0,0,0,6,3,11,0,0,0,0,0,0,0,0,0,0,0,0
SAL50016,0,85,40,124,0,0,0,3,9,9,0,0,0,3,9,9,0,3,7,239,226,460,0,0,0,239,231,470,3,0,9,24,24,49,0,0,0,29,29,59,0,3,7,161,155,318,0,0,0,167,161,322,3,0,9,82,90,180,0,0,0,88,94,184
SAL50017,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,22,55,0,0,0,34,22,54,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,23,13,37,0,0,0,23,13,37,0,0,0,10,11,20,0,0,0,10,12,24
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0
SAL50019,0,42,8,58,0,0,0,3,0,9,0,0,0,3,0,9,0,0,0,126,95,219,0,0,0,123,95,221,0,0,0,21,21,44,0,0,0,21,21,44,0,0,0,99,67,169,0,0,0,99,67,169,0,0,0,41,39,85,0,0,0,44,39,81
SAL50020,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,41,0,0,0,21,21,41,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,18,15,35,0,0,0,18,15,35,0,0,0,0,5,9,0,0,0,0,5,9
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,0,298,180,482,0,0,0,16,34,55,0,0,0,16,34,55,6,12,16,2699,2954,5649,8,4,10,2718,2969,5687,4,7,10,602,646,1245,0,0,0,606,655,1258,8,6,14,1699,1862,3555,4,0,8,1714,1869,3581,5,5,11,1463,1621,3090,3,4,9,1470,1637,3106
SAL50023,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,19,44,0,0,0,30,19,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,37,0,0,0,21,14,37,0,0,0,7,0,13,0,0,0,7,0,13
SAL50024,3,205,86,289,0,0,0,20,18,37,0,0,0,20,17,38,13,4,16,1772,1945,3719,4,10,8,1791,1960,3744,11,0,13,302,352,648,3,3,8,315,359,667,0,3,0,1095,1230,2329,5,3,10,1108,1236,2346,18,4,23,869,970,1845,0,5,8,890,973,1871
SAL50025,5,81,47,126,0,0,0,0,9,8,0,0,0,0,9,8,4,3,10,222,246,463,3,3,11,231,257,484,0,0,0,22,23,50,0,0,0,27,23,49,0,4,0,162,176,340,0,0,4,164,183,350,6,3,4,76,80,159,0,3,5,79,83,165
SAL50026,13,1273,932,2206,7,14,21,104,147,252,0,4,4,107,164,275,318,338,658,4613,4880,9497,38,47,88,4973,5273,10248,48,63,115,743,867,1614,0,0,9,800,936,1736,154,154,310,3005,3090,6097,32,38,65,3185,3283,6472,161,192,356,2001,2331,4334,9,10,24,2175,2534,4706
SAL50027,0,6,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,23,16,37,0,0,0,18,13,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,29,0,0,0,14,13,29,0,0,0,4,0,0,0,0,0,4,0,3
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,6,0,5,0,0,0,6,0,5
SAL50029,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,51,0,0,0,27,20,51,0,0,0,4,3,8,0,0,0,3,3,6,0,0,0,19,14,31,0,0,0,19,14,31,0,0,0,8,3,20,0,0,0,7,3,18
SAL50030,0,7,4,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,25,30,56,0,0,0,34,30,63,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,23,23,45,0,0,0,24,23,45,5,0,5,3,11,13,0,0,0,7,11,18
SAL50031,0,270,132,393,3,0,3,17,15,38,0,0,0,21,15,39,22,26,43,1091,1069,2158,0,0,4,1108,1094,2207,4,4,9,242,262,499,0,0,0,247,264,514,4,6,15,689,686,1375,0,4,4,700,698,1400,13,18,34,597,586,1183,0,0,0,612,603,1216
SAL50032,0,298,159,454,0,0,0,15,14,32,0,0,0,12,17,32,11,12,25,1097,1256,2351,10,9,20,1117,1273,2393,0,4,8,139,157,293,0,0,4,140,163,301,4,7,14,736,865,1598,10,9,18,747,882,1631,7,7,13,413,472,884,0,0,0,419,478,899
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,4,122,59,176,0,0,3,12,11,25,0,0,0,13,8,24,31,25,57,505,513,1020,5,0,13,540,544,1084,0,4,3,96,90,191,0,0,0,96,94,188,15,15,27,342,357,702,5,3,9,358,376,732,16,4,21,230,220,455,0,0,0,246,233,483
SAL50035,0,428,198,623,0,0,0,26,36,70,0,0,0,29,36,67,20,13,36,2546,2851,5396,4,5,7,2568,2872,5443,9,6,15,435,487,926,0,0,3,444,497,944,9,9,16,1776,1956,3733,0,5,4,1785,1965,3750,18,16,33,1075,1250,2322,0,3,3,1097,1267,2361
SAL50036,0,868,481,1344,4,0,8,64,74,139,0,0,0,66,75,142,58,64,128,3823,3915,7737,5,11,17,3895,3982,7878,3,8,13,492,555,1044,0,0,0,494,563,1059,40,37,80,2713,2805,5518,4,8,17,2762,2853,5613,18,32,48,1374,1451,2828,0,0,0,1397,1478,2879
SAL50037,0,515,332,852,0,0,0,22,48,68,0,0,0,25,48,73,38,36,72,2699,2875,5576,4,7,8,2744,2914,5661,4,4,10,395,464,861,0,3,3,400,470,874,16,21,40,1800,1870,3667,4,5,5,1821,1888,3712,19,20,41,1037,1207,2251,0,0,0,1057,1233,2290
SAL50038,5,174,83,256,0,0,0,10,9,19,0,0,0,10,9,19,7,0,13,510,568,1073,4,10,13,525,577,1100,0,0,4,112,107,217,0,0,0,114,110,224,3,0,8,355,396,753,4,3,10,367,402,771,3,0,5,243,265,511,0,7,6,252,271,520
SAL50039,6,2038,1254,3296,0,5,10,114,176,293,0,0,0,119,184,300,187,212,396,6058,6388,12447,22,31,53,6269,6626,12895,47,31,81,964,1095,2068,5,8,10,1017,1135,2155,98,101,198,3937,4140,8076,20,21,41,4052,4265,8317,110,115,227,2606,2957,5559,5,5,14,2725,3077,5798
SAL50040,4,1430,941,2371,5,0,8,84,107,190,0,0,0,90,110,195,141,143,286,5274,5677,10949,11,7,15,5426,5828,11257,27,34,69,904,1039,1946,5,0,5,944,1072,2018,60,57,118,2888,3098,5982,10,0,10,2951,3154,6107,89,95,185,2747,3103,5850,7,5,9,2840,3206,6043
SAL50041,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0
SAL50042,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,14,0,0,0,4,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,0,0,0,5,4,10,0,0,0,0,0,0,0,0,0,0,0,0
SAL50043,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,19,37,0,0,0,17,19,38,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,15,17,30,0,0,0,14,17,28,0,0,0,0,3,3,0,0,0,0,3,3
SAL50044,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,17,0,0,0,9,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,0,0,0,9,3,7,0,0,0,3,0,4,0,0,0,3,0,4
SAL50045,0,0,4,8,6,4,5,0,0,0,0,0,0,6,4,5,6,4,5,12,18,29,0,0,0,18,19,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,21,0,0,0,11,7,21,5,3,3,0,9,7,0,0,0,0,7,15
SAL50046,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,25,0,0,0,12,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,15,0,0,0,11,5,15,0,0,0,0,0,3,0,0,0,0,0,3
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0,0,0,3,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0,0,0,3,7,11,0,0,0,0,0,0,0,0,0,0,0,0
SAL50048,0,15,6,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,74,47,119,0,0,0,72,47,125,0,0,0,11,8,15,0,0,0,11,8,15,0,0,0,43,32,76,0,0,0,40,32,75,5,0,5,33,21,55,0,0,0,36,21,57
SAL50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,6,0,0,0,3,10,15,6,0,5,0,0,0,0,0,0,6,0,5,5,6,8,0,0,4,0,0,0,3,7,11,0,0,4,0,0,0,0,0,0,0,5,3
SAL50050,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,40,0,0,0,23,16,40,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,11,26,0,0,0,14,11,26,0,0,0,6,5,11,0,0,0,8,5,16
SAL50051,0,162,75,238,0,0,0,4,17,19,0,0,0,4,17,19,8,5,13,465,486,951,5,7,14,479,502,975,0,0,0,75,66,142,0,0,4,76,64,141,3,6,13,347,362,709,5,8,9,365,372,731,0,4,0,163,156,321,0,0,0,163,163,327
SAL50052,0,24,10,26,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,60,62,124,0,0,0,62,62,124,0,0,0,3,0,11,0,0,0,3,6,12,0,0,0,44,48,93,0,0,0,46,48,93,0,0,0,19,18,35,0,0,0,19,19,34
SAL50053,13,960,508,1460,0,0,4,52,68,122,0,0,3,51,73,125,51,58,106,4063,4550,8619,16,32,53,4130,4638,8773,13,17,30,655,684,1338,0,4,7,669,705,1373,25,26,47,2634,3006,5634,8,24,32,2666,3053,5722,33,44,76,1823,1978,3803,6,6,17,1863,2032,3895
SAL50054,26,4227,2726,6945,5,12,15,218,370,587,0,0,0,222,376,601,314,320,635,13957,14836,28794,61,53,109,14330,15203,29530,95,93,185,2580,2929,5508,9,5,17,2685,3032,5711,144,136,280,8366,8775,17141,38,24,64,8542,8939,17486,209,221,428,6734,7708,14440,20,25,49,6966,7952,14918
SAL50055,8,1028,720,1746,0,4,10,94,92,188,0,0,0,96,98,194,158,134,292,5064,5082,10144,30,25,54,5254,5238,10490,27,44,70,959,879,1833,0,4,0,983,924,1905,86,82,165,2712,2762,5471,25,14,44,2822,2856,5680,64,80,143,2809,2787,5598,3,6,9,2880,2867,5748
SAL50056,0,69,29,105,0,0,0,4,8,12,0,0,0,4,8,12,7,9,14,221,231,451,0,0,0,226,242,473,0,0,0,20,31,56,0,0,0,23,31,54,7,7,12,144,151,296,0,0,0,150,163,315,0,3,6,94,92,187,0,0,0,98,95,196
SAL50057,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,18,0,0,0,4,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,0,0,0,4,5,11,0,0,0,5,3,4,0,0,0,5,3,4
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8
SAL50059,0,9,4,12,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,32,34,64,0,0,0,33,35,69,0,0,0,7,8,16,0,0,0,7,8,16,5,3,4,13,25,44,0,0,0,16,32,48,0,0,0,16,16,33,0,0,0,16,16,33
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50061,4,1896,1027,2928,8,8,10,112,135,249,0,0,0,122,140,259,172,178,351,7790,7899,15688,26,32,53,7982,8112,16093,18,27,44,726,735,1457,4,3,5,745,761,1505,96,107,198,6026,5997,12023,16,23,44,6135,6133,12269,77,82,155,2059,2186,4241,5,8,9,2134,2271,4405
SAL50062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,27,0,0,0,11,13,27,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,12,12,26,0,0,0,12,12,26,0,0,0,0,0,0,0,0,0,0,0,0
SAL50063,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,28,20,46,0,0,0,27,18,48,0,0,0,6,0,5,0,0,0,6,0,5,3,0,0,21,16,41,0,0,0,25,19,45,0,0,0,8,0,12,0,0,0,8,0,12
SAL50064,0,5,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,47,0,0,0,22,22,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,34,0,0,0,15,12,35,0,0,0,7,5,10,0,0,0,7,5,10
SAL50065,0,8,3,15,0,0,0,5,0,3,0,0,0,5,0,3,0,0,0,30,20,54,0,0,0,30,25,54,0,0,0,5,0,5,0,0,0,4,0,3,0,0,0,23,15,38,0,0,0,23,15,38,0,0,0,7,7,18,0,0,0,9,9,19
SAL50066,0,51,28,72,0,0,0,0,0,3,0,0,0,0,0,3,7,3,8,157,154,312,0,0,0,166,158,319,0,0,0,13,15,28,0,0,0,13,15,28,0,3,4,100,102,202,0,0,0,97,102,205,0,0,0,64,52,120,0,0,0,64,52,120
SAL50067,0,24,10,34,0,0,0,3,0,4,0,0,0,3,0,4,17,6,20,59,11,72,0,0,0,78,18,92,0,0,0,20,9,31,0,0,0,24,9,27,8,5,5,34,5,34,0,0,0,38,6,42,10,4,12,48,13,57,0,0,0,51,17,73
SAL50068,0,170,74,246,0,0,0,4,9,14,0,0,0,4,9,14,5,4,11,571,569,1141,0,0,0,574,575,1150,0,0,0,81,72,154,0,0,0,81,74,157,0,4,4,390,387,773,0,0,0,390,391,778,7,0,3,236,238,479,0,0,0,241,243,485
SAL50069,5,1111,768,1880,5,0,0,72,106,171,0,0,0,70,103,178,79,81,153,4344,4760,9100,8,12,22,4431,4851,9276,17,22,46,677,737,1421,0,5,7,703,765,1472,31,36,63,2686,2870,5559,6,6,10,2726,2918,5642,52,44,97,1924,2157,4082,4,7,12,1979,2213,4196
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,0,7,3,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,32,25,57,0,0,0,32,25,61,0,0,0,4,5,8,0,0,0,4,5,8,0,0,0,23,22,43,0,0,0,23,22,43,4,0,4,9,4,19,0,0,0,12,4,16
SAL50072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,9,0,0,0,6,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,0,0,0,6,3,7,0,0,0,6,0,0,0,0,0,6,0,0
SAL50073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,19,0,0,0,4,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,10,0,0,0,5,6,10,0,0,0,6,5,6,0,0,0,6,5,6
SAL50074,0,9,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,37,0,0,0,18,17,37,0,0,0,0,4,5,0,0,0,0,4,5,0,0,0,17,10,25,0,0,0,17,10,25,0,0,0,5,10,18,0,0,0,5,10,18
SAL50075,4,114,62,172,0,0,0,4,11,14,0,0,0,7,11,18,6,4,9,389,373,760,0,0,0,397,377,775,3,0,8,41,51,87,0,0,4,46,54,95,6,4,8,296,300,594,0,0,0,303,302,603,3,0,4,115,112,222,5,0,4,119,117,236
SAL50076,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,4,0,9
SAL50077,0,25,18,45,0,0,0,0,4,3,0,0,0,0,4,3,0,0,0,132,127,266,0,6,6,132,130,267,0,0,0,15,15,28,0,0,0,15,13,33,0,0,0,108,104,211,0,0,0,108,104,211,0,0,0,37,44,74,0,0,0,37,43,78
SAL50078,8,978,519,1496,0,0,0,63,69,135,0,4,4,64,71,139,92,94,183,4168,4457,8628,16,21,31,4278,4569,8842,20,17,34,619,644,1266,0,0,4,640,661,1302,56,43,106,2726,2978,5701,12,20,26,2796,3036,5835,44,51,91,1768,1866,3635,3,4,11,1817,1917,3732
SAL50079,3,229,109,335,0,0,0,11,10,20,0,0,0,11,10,20,9,10,15,1562,1629,3188,4,0,5,1572,1636,3207,0,4,0,222,254,479,0,0,0,225,258,485,3,5,9,1074,1096,2172,4,0,5,1079,1107,2188,4,3,6,636,704,1341,0,0,4,643,708,1349
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
