LGA_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
LGA50840,122,277,157,122,145,66,0,889,91,209,185,166,177,54,0,880,42,81,58,83,116,33,0,403,15,13,12,11,50,13,0,105,710,1159,681,632,800,330,9,4318
LGA50910,23,33,16,12,19,15,0,126,15,29,17,22,39,5,0,121,12,12,8,7,41,3,0,86,8,0,4,0,29,0,0,41,133,171,91,91,193,69,0,748
LGA50980,637,1023,383,224,884,568,6,3727,539,878,452,278,1076,406,16,3644,174,226,128,85,323,178,0,1116,16,11,9,13,57,36,0,138,4075,5345,2052,1394,4648,3244,178,20940
LGA51080,29,42,34,21,38,21,0,177,20,25,13,15,25,9,0,98,7,10,10,12,9,13,0,55,0,0,0,0,11,0,0,14,156,194,106,105,140,93,0,790
LGA51120,30,26,13,17,29,25,0,137,12,28,22,25,27,23,0,136,8,10,8,7,16,11,0,64,0,0,0,0,11,9,0,23,141,164,86,79,176,139,0,788
LGA51190,758,1326,663,382,915,266,10,4318,434,898,633,427,1020,223,4,3640,241,425,284,272,690,149,0,2065,81,143,62,53,443,170,0,957,5175,7094,3240,2375,6735,2368,47,27037
LGA51260,932,1820,839,472,859,348,10,5282,661,1454,1053,776,1076,314,5,5336,343,634,465,387,784,230,4,2847,131,145,93,74,481,108,0,1036,6458,9465,4639,3388,6308,2068,63,32384
LGA51310,733,1454,618,270,361,76,9,3518,369,846,497,298,424,88,13,2540,197,420,298,189,429,89,11,1626,129,141,97,68,439,84,4,959,5745,7223,3220,1995,3906,644,66,22801
LGA51330,1714,3100,1511,971,2181,317,78,9868,1031,2182,1428,1067,1954,225,69,7963,522,927,637,530,1365,221,25,4240,200,271,117,100,742,135,12,1579,16235,19543,8472,6582,22478,3355,323,76995
LGA51400,395,748,319,250,370,81,4,2156,192,353,286,254,371,80,0,1538,75,147,105,94,196,41,0,659,25,22,10,7,52,11,0,132,2808,3951,1780,1520,2774,589,9,13431
LGA51470,22,28,18,10,14,9,0,97,17,24,21,11,14,8,0,93,12,4,4,3,10,14,0,47,0,0,0,5,4,0,0,4,102,129,67,38,80,85,5,510
LGA51540,197,370,176,88,362,149,4,1347,240,388,194,153,446,149,0,1571,74,127,82,65,192,60,0,593,10,13,10,7,43,15,0,98,1149,1782,742,540,1753,1008,109,7078
LGA51610,38,63,47,35,42,27,0,250,15,37,38,32,53,16,0,189,18,13,5,14,15,3,0,66,0,0,0,3,6,0,0,9,215,326,162,152,212,147,0,1213
LGA51680,142,296,168,114,148,65,0,931,61,145,143,117,110,49,0,625,28,68,49,54,74,32,0,298,8,8,3,6,31,14,0,74,857,1264,680,562,884,348,8,4605
LGA51710,46,73,31,21,48,53,0,268,25,42,18,14,69,38,0,205,9,9,7,7,13,3,0,42,0,0,0,0,0,0,0,4,248,318,126,78,353,568,5,1706
LGA51750,239,494,199,101,159,33,0,1234,192,380,200,104,207,42,8,1139,156,256,170,116,242,45,0,991,82,91,42,28,220,58,0,518,2355,2787,1144,717,1753,418,40,9220
LGA51820,2306,4086,1694,1112,2874,409,43,12527,1197,2444,1443,1072,2672,389,45,9260,527,967,609,505,1668,412,9,4697,211,260,121,108,778,319,0,1797,20434,26376,10430,7933,23294,3993,193,92652
LGA51860,18,37,4,0,36,40,0,143,13,16,9,9,24,26,0,89,9,6,0,3,11,8,0,42,0,0,0,0,8,3,0,10,86,110,32,20,182,142,3,580
LGA51890,171,342,208,157,305,74,0,1261,126,218,165,220,330,67,0,1124,51,82,66,99,176,61,0,548,20,25,14,14,54,56,0,179,1149,1678,908,928,1762,610,3,7040
LGA51960,66,135,62,41,175,168,0,645,28,58,40,37,123,65,0,339,9,14,3,7,30,18,0,88,0,0,0,0,9,6,0,14,470,684,296,251,905,1186,3,3796
LGA52030,45,71,23,16,38,28,0,224,27,41,46,30,52,19,0,214,14,14,15,19,26,14,0,103,0,5,0,5,7,12,0,23,144,232,122,102,182,131,0,918
LGA52100,29,43,22,10,25,3,0,134,25,47,20,23,30,11,0,152,10,17,13,14,18,3,0,68,3,3,3,0,23,10,0,38,171,228,107,91,147,49,4,799
LGA52170,208,404,189,101,102,31,7,1049,144,309,169,93,140,30,4,890,81,138,93,65,129,45,0,541,16,47,21,7,68,43,0,211,1680,1976,882,569,1036,247,41,6440
LGA52240,39,35,26,17,33,18,0,173,27,24,18,25,22,18,0,135,12,13,7,16,23,7,0,78,0,3,0,0,3,3,0,12,177,186,122,124,143,96,0,849
LGA52310,32,58,23,21,24,10,0,161,14,35,33,19,32,7,0,138,13,19,4,3,14,15,0,60,0,4,0,0,4,0,0,12,149,198,107,67,128,70,3,726
LGA52380,16,33,15,11,39,14,0,110,9,23,9,7,35,12,0,89,4,5,4,0,15,0,0,29,0,0,0,0,0,0,0,0,61,126,39,29,237,54,3,551
LGA52450,32,35,22,25,37,4,0,153,14,19,19,27,38,16,0,136,6,9,13,14,9,9,0,62,4,7,4,4,4,0,0,24,228,241,116,141,240,85,0,1058
LGA52520,39,53,16,22,50,42,0,219,23,27,16,11,35,22,0,131,7,22,4,10,13,14,0,74,0,10,0,3,9,7,0,32,204,252,100,114,240,191,0,1098
LGA52590,113,190,99,67,119,60,0,645,82,169,93,89,155,59,0,641,29,44,40,43,70,34,0,263,8,9,14,11,21,13,0,70,560,813,395,325,649,423,32,3197
LGA52660,276,563,250,209,299,63,3,1662,172,363,239,203,300,88,11,1379,89,163,121,120,265,98,0,855,35,50,27,23,119,105,0,358,2173,3140,1447,1269,2428,642,17,11120
LGA52730,198,375,173,96,100,87,0,1025,121,270,227,136,162,89,7,1006,60,123,95,80,125,54,0,538,23,36,20,19,49,19,0,160,937,1532,869,589,760,544,4,5235
LGA52800,298,315,91,49,279,224,0,1263,172,198,102,61,243,153,9,942,30,29,12,16,84,36,0,198,6,0,0,0,21,0,0,34,1916,1505,521,364,1666,1502,35,7515
LGA52870,139,307,185,138,138,40,3,952,107,221,210,157,153,63,0,908,47,70,75,72,139,42,0,454,10,11,14,15,66,9,0,120,839,1317,803,684,953,311,31,4930
LGA52940,13,32,3,5,20,5,0,86,12,24,16,22,37,3,0,119,3,8,4,10,9,4,0,38,0,0,0,0,3,0,0,10,116,142,60,74,106,46,0,542
LGA53010,15,25,20,11,21,20,0,112,6,16,7,5,26,19,0,83,3,9,8,0,8,7,0,38,0,0,0,0,0,0,0,4,78,144,61,54,87,119,5,548
LGA53080,27,43,12,5,58,33,0,187,19,34,13,14,48,23,0,161,12,4,13,4,5,3,0,46,0,0,0,0,5,0,0,10,141,201,72,50,266,223,7,971
LGA53150,227,418,174,80,122,26,9,1053,100,297,151,96,149,25,0,817,61,108,67,46,151,32,0,468,23,30,7,14,141,41,0,259,1515,2006,823,509,1131,251,34,6275
LGA53220,341,414,126,92,940,900,14,2834,99,159,69,43,278,160,4,807,16,20,16,10,47,18,0,132,4,4,0,0,3,0,0,9,2480,3025,950,699,5638,6258,126,19176
LGA53290,356,585,241,165,336,187,4,1876,170,320,231,208,378,156,0,1459,100,163,117,111,275,128,0,894,41,61,18,17,120,32,0,284,2297,2958,1327,1035,2257,1261,28,11158
LGA53360,196,301,162,68,240,59,4,1029,203,334,165,149,357,67,5,1271,57,86,50,51,147,26,0,416,0,4,8,6,23,7,0,44,1205,1565,672,470,1342,372,44,5661
LGA53430,896,1651,560,276,692,269,24,4367,513,1066,589,332,802,219,14,3539,234,476,248,184,580,162,5,1893,95,107,52,50,425,142,3,877,6255,8427,3154,1914,5232,2003,177,27154
LGA53570,125,248,128,111,164,61,0,837,86,191,128,191,222,83,7,908,31,65,63,81,161,50,0,451,10,10,12,9,38,6,0,84,788,1088,584,611,1111,377,69,4628
LGA53640,30,51,23,21,41,17,0,178,27,32,19,21,26,18,0,140,6,3,9,0,10,3,0,34,3,0,0,0,5,0,0,8,209,245,118,131,174,75,0,952
LGA53710,22,38,25,21,33,19,0,158,27,26,22,19,39,18,0,157,8,11,4,8,18,10,0,67,0,4,0,7,12,6,0,24,150,183,97,93,165,99,0,776
LGA53780,2082,3602,1657,1225,3517,497,67,12658,1278,2345,1506,1275,3128,428,75,10043,586,992,635,568,1937,352,18,5093,181,235,125,87,946,287,6,1873,18679,23270,10041,8687,30998,6400,294,98372
LGA53800,789,1592,718,488,1103,403,8,5095,494,1004,638,585,1100,354,3,4170,236,386,270,277,753,260,9,2198,83,109,69,55,380,146,5,848,5682,8350,3669,3043,7459,3233,47,31485
LGA53920,121,160,36,26,153,93,0,587,88,97,49,28,156,85,0,502,9,16,9,0,49,32,0,125,0,6,0,0,3,9,0,17,793,865,392,211,1002,621,25,3910
LGA53990,559,1125,582,422,667,173,6,3533,297,768,512,454,686,130,0,2835,160,291,234,187,431,89,0,1397,58,72,32,34,158,36,0,394,4166,6229,2905,2482,4795,1022,33,21618
LGA54060,82,204,96,76,126,82,0,673,70,167,114,122,181,85,0,741,36,73,52,57,120,46,0,388,8,16,10,3,27,15,0,81,495,847,461,394,707,433,4,3332
LGA54130,25,60,34,26,19,14,0,185,25,28,29,23,23,13,0,151,7,7,7,8,10,4,0,42,0,0,0,0,0,6,0,10,184,260,133,119,114,80,9,906
LGA54170,3980,7662,3329,1839,3430,480,43,20771,2203,5127,3383,2254,3896,410,31,17306,913,1744,1199,959,2465,431,17,7730,345,438,217,158,1413,272,3,2847,28975,38256,16959,11149,26922,3846,195,126307
LGA54200,1241,2365,1030,669,1352,237,7,6904,692,1605,1212,877,1414,199,7,5990,383,823,559,523,1029,195,6,3516,177,210,95,86,580,118,7,1266,9666,13243,5997,4598,10437,1891,51,45883
LGA54280,581,993,385,241,957,522,14,3694,226,421,233,181,558,329,19,1965,72,102,77,63,290,93,0,697,19,17,12,12,107,32,0,199,4502,5941,2213,1758,6314,3446,84,24253
LGA54310,460,692,236,149,656,815,20,3023,166,291,132,115,382,318,17,1413,45,64,34,36,116,71,3,364,0,6,0,0,8,10,0,24,3611,5037,1731,1468,4652,5404,142,22045
LGA54340,85,146,83,35,131,34,0,521,59,90,53,58,123,38,0,419,24,34,37,27,69,31,0,226,4,12,5,4,46,20,0,94,609,728,375,275,901,387,3,3275
LGA54410,36,46,31,19,48,23,0,196,21,34,16,19,51,13,0,146,12,9,12,11,44,19,0,110,5,5,0,0,29,3,0,43,171,202,90,103,273,124,0,962
LGA54480,10,10,4,3,7,4,0,48,5,13,7,8,8,10,0,46,3,3,0,4,5,5,0,18,0,0,0,0,0,0,0,0,71,102,49,35,61,53,0,373
LGA54550,82,83,40,25,56,34,0,317,33,61,30,28,43,9,0,199,14,26,19,22,36,26,0,137,6,9,0,0,27,9,0,55,297,408,179,155,302,134,0,1489
LGA54620,34,52,19,11,47,19,0,195,23,29,20,15,31,9,0,123,10,11,6,3,12,5,0,48,7,6,0,0,10,4,0,23,210,232,106,73,236,97,4,960
LGA54690,13,21,10,0,16,0,0,58,7,13,11,9,18,0,0,60,4,4,5,0,8,0,0,24,0,0,0,0,3,0,0,3,50,82,36,33,78,14,0,287
LGA54760,25,20,14,16,24,14,0,100,14,19,18,7,16,9,0,82,4,7,5,0,14,3,0,39,0,0,5,0,5,6,0,10,105,156,69,69,92,66,0,554
LGA54830,623,1148,526,384,1089,228,14,4012,307,581,380,362,855,153,22,2664,133,228,154,148,564,71,10,1301,48,62,24,21,228,33,0,413,6438,8580,3542,3195,9661,2951,68,34433
LGA54900,49,60,26,15,34,19,0,198,20,21,16,19,39,10,0,126,5,6,15,8,12,0,0,58,0,0,0,3,4,6,0,12,231,275,127,106,183,96,3,1012
LGA54970,65,104,28,18,162,302,0,678,6,23,14,7,44,52,0,141,0,3,5,0,5,3,0,21,5,0,0,0,0,0,0,0,388,501,154,81,902,1744,20,3796
LGA55040,45,81,27,4,116,213,3,495,16,35,16,22,52,59,0,205,5,9,4,0,11,3,0,32,0,0,0,0,3,0,4,7,366,501,148,98,757,1603,21,3489
LGA55110,1832,3468,1709,1179,2477,388,17,11074,1267,2807,1958,1665,3350,467,18,11540,778,1468,1070,1013,2559,514,3,7415,285,346,185,198,1243,413,5,2671,12650,18242,8838,7776,18918,3739,85,70253
LGA55180,237,463,228,170,297,120,0,1511,153,290,190,172,265,90,0,1159,59,118,92,100,185,54,0,605,22,28,20,13,103,21,0,209,1392,2029,990,829,1659,640,45,7581
LGA55250,55,64,19,17,97,98,0,363,36,27,20,14,45,43,0,197,11,9,5,9,15,11,0,47,0,0,0,0,0,0,0,0,371,337,126,94,572,701,12,2213
LGA55320,2381,4633,2083,1127,1937,413,42,12612,1501,3358,2174,1521,2391,447,48,11434,808,1568,1061,802,1998,492,17,6743,412,534,330,181,1490,466,7,3422,19389,24832,11055,7496,17587,3638,256,84251
LGA55390,20,31,9,4,69,78,0,210,10,16,8,9,16,30,0,75,4,0,4,0,3,4,0,11,0,4,0,0,0,0,0,0,155,216,56,32,366,533,3,1358
LGA55460,68,135,53,50,90,52,0,444,55,75,46,45,102,44,0,363,23,24,18,31,38,21,0,157,8,12,9,7,33,6,0,68,494,624,291,271,525,346,3,2545
LGA55530,11,25,11,5,25,32,0,106,13,17,17,3,20,28,0,99,0,7,4,9,11,18,0,41,0,0,0,0,0,5,0,4,61,97,57,42,90,107,0,450
LGA55600,63,110,35,21,75,45,0,355,39,66,39,41,72,36,0,277,11,37,14,20,47,18,0,141,7,9,3,0,23,10,0,47,342,484,196,159,440,253,51,1929
LGA55670,13,35,17,9,10,20,0,105,9,17,13,11,34,46,0,127,4,5,8,9,7,17,0,51,0,5,0,0,9,8,0,20,84,128,59,54,115,147,0,586
LGA55740,224,377,163,95,166,57,7,1088,139,286,174,110,182,40,4,931,82,137,95,47,166,35,4,574,20,25,22,10,105,30,0,218,1791,2084,980,603,1533,365,29,7379
LGA55810,26,35,16,14,44,105,0,240,19,24,16,15,26,41,0,137,0,4,0,3,11,7,0,24,0,0,0,0,0,0,0,3,121,160,65,61,241,584,0,1231
LGA55880,8,20,11,15,20,5,0,79,7,10,0,12,16,0,0,49,4,0,0,7,7,0,0,13,0,0,0,0,13,0,0,16,68,102,35,47,76,34,0,364
LGA55950,17,16,11,21,13,7,0,93,14,21,14,7,23,6,0,80,3,9,5,6,8,9,0,46,0,0,0,3,3,3,0,9,92,113,57,64,85,61,0,482
LGA56090,887,1859,930,557,852,298,12,5397,501,1152,852,719,907,192,0,4319,266,565,347,386,639,147,3,2352,98,95,76,51,290,122,0,734,6095,8783,4262,3304,5728,3050,35,31259
LGA56160,7,8,3,3,0,0,0,22,7,10,7,4,8,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,38,22,6,32,17,0,136
LGA56230,332,662,407,276,532,126,0,2332,240,542,388,388,639,145,3,2338,161,256,190,179,440,129,0,1362,42,64,37,37,155,68,0,399,2365,3588,1886,1733,3410,975,14,13965
LGA56300,32,84,57,43,40,34,0,288,37,82,63,58,52,33,0,330,13,25,17,28,35,27,0,144,0,5,3,9,8,3,0,26,194,347,212,191,211,190,3,1350
LGA56370,19,30,14,15,13,15,0,105,13,12,13,7,22,12,0,82,5,11,7,8,21,12,0,62,5,0,0,0,13,14,0,39,113,155,66,66,118,108,0,622
LGA56460,100,203,109,56,118,47,0,638,91,128,73,70,118,50,0,535,32,54,56,40,95,45,0,319,24,13,11,5,50,51,0,162,823,1029,459,322,877,450,8,3970
LGA56580,538,1103,463,244,316,60,16,2739,342,827,531,266,419,92,12,2487,187,391,283,202,373,98,0,1540,81,117,75,46,295,92,5,712,4347,5400,2589,1681,3239,640,58,17959
LGA56620,42,32,23,0,21,33,3,155,16,15,6,0,14,10,0,58,5,0,0,0,15,3,0,21,0,0,0,0,0,0,0,3,250,354,208,15,129,203,3,1156
LGA56730,226,487,246,169,330,142,0,1596,182,306,220,178,387,130,0,1403,77,119,106,92,226,82,4,705,25,31,20,15,108,37,0,232,1478,2164,1098,951,2198,1181,6,9084
LGA56790,146,199,112,114,170,118,3,861,132,213,122,164,227,123,0,981,35,84,55,49,123,53,0,387,9,7,10,9,39,12,0,93,594,895,456,487,826,527,13,3792
LGA56860,8,8,5,9,8,10,0,43,9,5,8,7,11,14,0,52,0,3,6,0,3,7,0,10,0,0,0,0,0,0,0,4,43,37,25,28,28,52,0,216
LGA56930,42,67,42,31,25,5,0,219,34,53,28,21,29,8,0,174,15,33,16,11,19,3,0,98,8,11,3,3,15,5,0,45,326,340,164,131,278,49,0,1291
LGA57000,33,34,11,8,41,71,0,190,10,14,15,0,22,30,0,81,4,3,0,4,10,3,0,31,4,0,0,0,7,4,0,11,137,150,58,50,227,372,5,1001
LGA57080,592,815,251,146,722,531,71,3132,326,559,258,144,599,395,37,2319,141,212,128,68,341,222,15,1122,40,49,20,9,160,98,6,388,6647,6994,1768,1187,8893,4533,817,30826
LGA57140,27,50,18,25,35,14,0,179,20,31,20,32,55,9,0,157,11,17,11,23,33,8,0,97,8,0,3,0,16,4,0,26,132,186,90,133,233,57,0,830
LGA57210,132,246,147,107,137,81,0,859,101,174,133,160,157,59,0,791,35,59,50,56,87,40,0,328,5,18,11,11,30,40,0,116,743,1091,617,580,779,509,6,4324
LGA57280,358,454,154,96,551,543,11,2173,112,168,67,59,249,200,8,861,31,35,17,11,68,47,0,208,9,6,0,0,20,9,0,35,2554,3227,1056,858,3691,3445,62,14890
LGA57350,21,27,21,13,30,38,0,152,15,24,18,28,34,48,0,171,10,16,12,11,28,16,0,87,0,10,0,0,17,7,0,40,104,141,85,70,175,211,0,779
LGA57420,61,86,51,41,125,54,0,414,32,57,24,26,67,21,0,237,7,25,14,21,31,23,0,119,13,3,0,3,6,0,0,30,337,513,221,194,628,316,13,2223
LGA57490,2411,4712,2035,1429,3532,534,42,14706,1232,2523,1636,1414,3147,474,33,10455,658,1164,798,728,2175,515,13,6054,222,290,143,122,900,387,8,2063,20299,27274,11813,9841,26732,5694,184,101841
LGA57630,12,9,8,3,7,23,0,73,8,5,9,3,18,0,0,47,0,6,3,0,7,8,0,22,0,0,0,0,0,0,0,0,31,35,18,11,39,136,0,276
LGA57700,546,968,491,379,672,154,8,3219,237,489,368,323,537,107,9,2071,87,161,146,136,342,57,3,927,20,35,13,25,128,29,0,252,4670,6360,2738,2619,5467,1256,37,23150
LGA57770,93,173,51,49,149,100,0,625,62,136,97,71,179,121,0,659,17,35,19,41,58,42,0,216,0,0,6,3,6,6,0,14,374,645,254,254,614,466,20,2625
LGA57840,968,1858,720,416,865,185,22,5025,672,1427,792,481,1021,206,30,4621,321,527,366,241,803,214,0,2467,114,176,72,62,565,251,0,1232,8859,11031,4075,2571,8028,1808,164,36531
LGA57910,4601,8044,3187,1810,5020,849,96,23598,2851,5376,3186,2070,5233,817,71,19600,1450,2734,1862,1349,4229,778,27,12442,719,922,443,311,2905,489,6,5790,41688,51519,20005,13574,47654,8734,464,183632
LGA57980,438,785,311,98,236,77,10,1953,297,671,334,116,341,119,7,1883,128,306,198,100,306,110,0,1153,48,77,37,26,167,84,0,432,3614,4779,1782,924,2410,830,50,14387
LGA58050,2769,4879,2113,1495,4218,689,73,16229,1411,2595,1582,1288,3288,520,54,10740,596,1010,686,588,1930,386,19,5206,209,233,117,88,876,237,4,1767,24142,30534,12345,10384,33164,6242,305,117117
LGA58190,20,13,6,4,16,12,0,70,4,5,4,3,10,3,0,34,3,5,0,0,14,5,0,27,0,0,0,0,4,0,0,9,71,66,18,32,81,43,0,308
LGA58260,17,27,12,8,17,17,0,90,5,15,10,12,22,8,0,75,4,12,0,6,19,10,0,45,0,0,0,0,4,0,0,6,71,123,50,47,107,95,0,499
LGA58330,120,267,142,128,129,103,0,882,72,206,140,132,170,71,0,789,27,62,55,42,112,50,0,346,12,13,9,4,24,3,0,69,543,1008,523,511,755,414,0,3762
LGA58400,9,15,10,6,13,7,0,55,7,10,8,9,17,3,0,55,10,7,0,5,4,6,0,23,0,0,0,0,0,0,0,0,45,66,21,30,66,31,0,257
LGA58470,4,26,4,4,14,5,0,62,18,13,8,3,17,7,0,68,0,4,0,0,3,5,0,14,0,0,0,0,0,0,0,0,52,82,28,19,62,25,0,263
LGA58510,726,1214,448,282,796,272,14,3754,395,759,415,257,787,230,14,2859,195,304,180,131,584,267,8,1666,107,111,61,29,390,345,0,1039,7338,9160,3029,1847,7586,2745,96,31797
LGA58540,29,40,11,15,35,20,0,149,13,22,12,14,27,22,0,109,6,13,4,5,14,13,0,48,0,0,0,0,0,0,0,12,131,172,53,58,135,94,0,643
LGA58570,784,1400,489,218,638,178,16,3720,375,760,385,198,589,124,8,2436,166,262,136,100,420,98,0,1189,71,100,40,21,356,56,0,638,7920,9859,2934,1740,6135,1670,135,30393
LGA58610,41,74,41,23,61,17,0,255,35,52,43,46,63,23,0,261,20,29,21,17,50,13,0,148,8,11,4,0,20,5,0,46,277,334,175,142,307,143,3,1378
LGA58680,15,22,12,11,15,16,0,82,5,14,14,10,8,11,0,75,7,4,0,11,15,7,0,44,0,5,0,0,0,0,0,9,72,96,50,64,70,86,0,446
LGA58760,3683,6496,2723,1811,5375,681,63,20832,1871,3611,2289,1685,4348,521,55,14382,870,1555,999,797,2865,524,18,7620,269,354,180,110,1282,386,3,2580,33725,42065,17291,13449,44236,6685,334,157786
LGA58820,88,190,95,96,134,40,0,638,67,133,82,107,133,33,0,565,23,62,35,48,75,43,0,293,13,11,8,9,31,30,0,98,558,856,451,476,749,314,5,3415
LGA58890,23,37,23,25,19,16,0,142,19,25,6,16,24,11,0,103,11,15,4,3,8,0,0,47,9,4,6,5,3,4,0,24,130,164,68,77,103,72,0,618
LGA59030,12,24,0,6,23,22,0,79,12,7,14,5,3,3,0,38,0,6,4,3,3,5,0,18,4,0,3,0,0,0,0,8,57,75,32,30,64,88,4,351
LGA59100,14,33,17,11,21,30,0,124,15,16,11,9,14,9,0,76,0,5,8,4,16,11,0,51,0,0,0,0,6,6,0,11,90,116,65,58,102,99,0,532
LGA59170,24,34,25,22,32,18,0,153,15,21,14,20,24,12,0,106,11,20,4,0,20,12,0,68,4,0,3,4,6,3,0,17,160,189,91,100,148,86,0,776
LGA59250,22,28,7,0,41,51,5,151,6,10,3,5,17,21,0,66,0,0,3,0,4,0,0,9,0,0,0,0,0,0,0,0,169,174,44,20,318,480,5,1216
LGA59310,48,58,21,21,29,11,0,189,25,36,23,26,53,14,0,184,9,9,8,14,33,7,0,78,0,6,0,0,18,0,0,20,201,250,123,114,260,84,4,1041
LGA59320,14,15,11,12,19,5,0,81,10,8,7,8,17,12,0,58,4,3,0,0,4,3,0,16,0,0,0,0,0,0,0,0,70,65,46,51,62,36,0,335
LGA59330,14,20,14,10,13,0,0,72,7,11,10,6,23,10,0,74,14,7,6,7,22,6,0,57,0,0,0,0,3,3,0,8,64,89,51,36,108,43,0,397
LGA59340,317,469,151,81,439,238,8,1704,183,296,126,82,409,145,4,1245,25,62,14,15,83,37,0,237,0,0,0,0,19,12,0,33,1646,2315,787,505,2272,1464,121,9111
LGA59350,8,20,8,9,35,85,0,165,12,11,8,5,15,25,0,70,0,3,0,0,8,7,0,21,0,0,0,0,0,0,0,4,83,113,33,36,195,570,3,1036
LGA59360,39,62,36,14,125,93,0,365,24,19,10,16,67,27,0,167,5,10,6,5,18,9,0,52,3,3,0,0,8,0,0,20,230,280,121,90,569,483,0,1771
