LGA_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA57080,299,6251,6553,3858,1334,5192,1072,342,1417,456,103,562,125,18,147,27,7,32,5846,8056,13900
LGA57140,10,158,171,158,20,185,48,0,49,37,0,37,15,0,15,10,0,10,279,184,468
LGA57210,63,590,649,739,131,863,273,25,299,175,22,200,88,15,106,67,9,73,1403,788,2187
LGA57280,173,1958,2131,1186,624,1808,744,178,919,711,125,843,368,57,424,263,31,293,3443,2978,6418
LGA57350,12,135,145,127,56,187,23,11,35,21,7,28,8,6,17,13,4,12,211,216,426
LGA57420,26,325,355,262,60,323,95,11,105,63,9,74,38,5,41,16,0,14,507,404,910
LGA57490,1444,11683,13125,14297,1760,16056,7957,470,8427,7495,296,7796,3191,148,3336,1573,61,1638,35958,14423,50382
LGA57630,0,27,34,14,22,38,0,0,4,0,0,0,0,0,0,0,0,0,16,60,75
LGA57700,260,1590,1852,2945,309,3253,1845,83,1925,1942,45,1988,898,33,931,583,20,601,8477,2084,10555
LGA57770,9,240,251,113,561,676,27,51,79,40,49,88,15,18,32,7,7,14,213,921,1133
LGA57840,339,5872,6208,5477,991,6473,2269,333,2595,2123,103,2228,668,42,711,215,19,241,11092,7363,18454
LGA57910,1812,28597,30413,25971,4549,30518,12930,1326,14259,12203,576,12780,4077,210,4279,1680,91,1771,58676,35341,94013
LGA57980,148,2936,3086,2158,384,2540,868,107,977,869,50,916,266,21,281,61,3,65,4381,3493,7872
LGA58050,1251,11909,13165,14602,1942,16546,9196,591,9778,8969,323,9294,3698,148,3850,2344,92,2434,40062,15003,55068
LGA58190,3,57,61,41,12,52,19,5,23,18,0,21,4,3,5,3,0,3,91,83,165
LGA58260,3,79,83,75,24,93,26,8,27,18,5,26,11,0,10,8,3,10,136,111,253
LGA58330,67,536,603,705,146,846,199,30,231,137,17,154,79,9,87,41,4,42,1229,738,1970
LGA58400,5,63,70,48,13,58,12,3,17,0,0,0,6,0,0,4,0,4,70,78,150
LGA58470,7,37,38,15,54,72,5,3,4,7,4,6,3,0,3,9,0,9,38,99,136
LGA58510,327,5631,5954,4372,1053,5428,1973,395,2367,1619,153,1774,438,53,485,175,28,202,8898,7310,16209
LGA58540,10,101,115,109,33,146,39,5,41,28,9,34,9,0,14,4,0,4,203,151,349
LGA58570,354,5573,5929,4479,1099,5579,1814,404,2217,1740,147,1889,455,31,484,114,16,125,8952,7270,16224
LGA58610,13,261,274,255,49,302,60,8,69,62,3,63,23,8,28,20,3,23,430,329,760
LGA58680,4,49,58,78,24,109,20,10,29,11,0,18,11,0,9,7,0,7,134,88,228
LGA58760,1765,13991,15763,19739,2053,21795,13062,633,13689,13237,414,13654,5450,189,5638,2834,100,2936,56085,17381,73463
LGA58820,46,481,525,568,79,651,177,12,194,166,12,176,84,0,84,56,5,58,1101,585,1692
LGA58890,10,90,102,113,27,141,37,7,39,34,5,32,11,6,16,5,3,6,202,134,336
LGA59030,0,45,42,47,3,46,5,0,6,13,0,12,3,0,3,8,0,8,63,51,115
LGA59100,4,78,80,92,26,123,23,3,21,20,0,25,15,6,24,7,0,7,166,116,279
LGA59170,8,106,118,129,34,163,45,10,48,49,9,51,24,0,27,13,0,13,260,152,412
LGA59250,0,69,69,24,22,51,14,9,18,0,0,0,7,0,8,7,0,9,56,103,156
LGA59310,16,189,205,183,44,227,57,5,58,45,9,54,30,0,33,8,0,8,334,246,577
LGA59320,7,42,51,53,6,69,12,3,16,21,3,22,14,0,16,6,0,6,119,62,174
LGA59330,4,108,107,60,24,86,30,5,33,12,0,12,3,0,3,4,0,4,107,133,240
LGA59340,64,1045,1114,530,920,1450,301,137,432,270,122,391,154,66,220,175,26,199,1488,2320,3806
LGA59350,0,45,48,10,28,37,8,8,14,0,4,0,0,0,0,9,0,9,29,87,116
LGA59360,12,220,235,128,38,169,31,3,32,29,10,33,10,4,15,4,0,0,210,273,485
LGA59370,43,524,562,530,109,639,167,13,178,102,12,114,52,0,55,34,0,34,923,665,1587
LGA59799,0,8,8,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
