LGA_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
LGA50980,9,14,40,81,33,129,11,98,14,422,28,88,105,136,76,62,31,99,12,624,230,677,305,380,246,104,100,209,41,2291,415,670,286,286,307,101,107,158,57,2392,395,442,271,257,320,119,114,123,45,2087,396,421,199,178,273,143,123,129,26,1896,179,130,72,39,94,49,53,56,21,699,33,18,0,6,10,11,0,10,7,93,0,0,0,0,0,0,0,0,0,3,1686,2454,1280,1367,1355,717,536,877,222,10498
LGA51080,0,0,3,0,0,0,0,0,0,11,3,3,0,0,0,0,0,7,0,24,29,13,10,4,6,0,0,14,5,77,45,7,11,5,11,0,3,7,0,100,47,6,5,4,8,7,9,11,0,89,48,9,7,6,3,6,11,18,0,109,23,0,0,0,6,0,5,3,0,39,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,197,47,40,26,32,13,29,63,7,464
LGA51120,0,0,9,0,0,0,0,3,0,12,4,0,7,5,4,3,3,5,0,30,22,7,18,9,9,0,5,9,0,75,24,12,17,14,6,0,11,9,0,86,38,9,11,4,5,8,8,7,0,89,31,4,6,5,7,4,13,10,0,78,19,0,0,3,4,0,4,0,0,34,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,136,32,59,34,29,14,48,50,4,406
LGA51190,5,9,120,172,32,296,38,213,18,905,43,125,267,220,105,154,101,233,18,1264,201,608,571,319,270,214,214,422,44,2857,293,582,570,312,284,166,241,370,51,2865,348,613,469,385,380,215,297,381,52,3141,313,489,369,302,389,183,298,317,30,2684,92,167,95,74,105,53,105,82,10,791,19,15,4,5,3,6,10,10,3,70,0,0,0,0,0,5,0,0,0,10,1312,2600,2456,1793,1572,1290,1301,2029,234,14588
LGA51260,14,10,190,343,25,468,33,299,26,1407,47,79,304,190,67,141,48,217,13,1114,330,544,683,399,232,177,135,373,43,2916,597,874,789,470,435,257,214,391,67,4086,668,922,673,484,537,328,300,457,57,4421,551,605,440,373,449,302,279,417,58,3474,244,192,110,81,154,123,105,125,26,1156,41,21,7,7,15,12,9,20,6,138,5,0,0,0,0,0,0,3,3,19,2477,3241,3203,2340,1917,1810,1125,2302,304,18727
LGA51310,8,39,35,240,66,284,39,178,6,893,44,285,106,257,158,201,35,83,10,1170,268,1171,190,218,209,101,45,90,34,2336,709,1618,171,129,290,104,34,62,49,3164,997,1717,165,170,388,110,34,48,40,3676,598,1132,146,133,320,107,30,54,30,2554,172,324,60,47,109,27,24,27,19,800,24,48,3,10,25,12,4,7,4,135,5,7,0,0,4,8,0,0,6,29,2820,6335,882,1195,1572,950,241,548,193,14743
LGA51330,29,87,185,523,124,825,121,513,36,2439,168,846,721,1166,449,885,365,702,127,5429,756,3278,1550,1445,1091,692,954,1167,234,11178,1283,3451,1449,1145,1327,432,666,823,186,10755,1220,2520,1199,962,1215,410,589,707,137,8960,881,1482,823,638,1069,344,500,579,85,6405,227,456,256,160,314,112,118,188,26,1852,32,44,24,8,30,6,9,30,3,193,0,0,0,0,4,0,0,3,0,11,4583,12171,6215,6046,5617,3712,3329,4717,838,47222
LGA51400,10,8,82,111,31,248,24,178,9,708,19,50,176,117,68,67,57,97,8,662,107,250,335,172,127,101,114,189,16,1396,210,459,330,220,235,92,173,164,41,1918,270,466,365,250,286,99,198,192,33,2163,198,300,207,172,198,73,186,150,12,1497,74,74,47,25,44,18,32,43,0,348,16,5,0,6,0,5,4,0,10,36,0,0,0,0,0,0,0,0,0,0,893,1616,1542,1070,978,705,784,1008,127,8729
LGA51470,0,0,4,0,0,0,0,0,0,5,0,0,6,3,0,0,0,4,0,21,6,3,4,7,4,3,3,9,0,44,20,5,8,0,3,4,7,9,0,62,9,5,4,4,10,3,3,7,0,51,20,10,7,3,7,7,7,4,0,61,14,0,3,0,0,0,4,4,0,31,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,80,24,35,21,23,17,36,36,0,275
LGA51540,0,0,17,15,6,33,5,20,7,99,11,22,33,35,28,26,0,38,3,195,65,106,94,81,65,27,42,84,11,581,119,121,80,63,70,40,27,55,5,592,162,108,68,56,78,29,46,82,17,647,176,105,81,81,85,49,71,79,6,730,87,32,21,11,35,13,18,28,14,262,13,0,0,0,0,5,0,3,0,21,0,0,0,0,0,0,0,0,0,4,632,496,396,340,371,228,219,396,61,3137
LGA51610,0,0,10,4,0,13,3,11,0,44,0,0,9,5,0,3,9,5,0,35,14,21,21,11,13,5,7,0,3,96,40,26,20,9,15,8,12,13,0,140,42,24,29,16,31,8,23,9,0,189,35,17,20,17,20,8,23,18,0,162,19,7,7,0,8,0,9,8,0,53,5,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,162,92,109,68,95,47,76,64,9,720
LGA51680,5,3,40,21,7,44,6,44,3,168,0,17,51,27,16,18,23,28,3,185,36,40,99,36,49,16,35,36,3,354,78,84,116,48,71,10,51,53,13,522,128,85,128,92,103,30,81,50,9,707,124,75,111,57,105,37,80,53,3,647,44,15,22,7,11,10,23,21,0,147,15,0,4,0,4,0,0,7,3,28,5,0,0,0,0,0,0,0,0,3,427,315,566,287,368,164,299,294,48,2768
LGA51710,0,0,0,21,0,0,0,4,0,28,0,6,6,11,0,0,9,0,0,39,14,29,44,46,19,3,5,19,5,188,19,32,29,32,25,0,13,16,0,180,36,33,30,40,24,0,14,22,7,203,37,24,22,13,23,5,15,23,3,170,12,14,25,7,7,0,16,17,0,96,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,114,141,161,169,98,19,80,102,18,904
LGA51750,3,18,17,126,14,85,14,54,4,333,18,147,41,130,73,79,14,27,0,531,103,527,59,88,69,50,12,27,8,942,207,467,36,57,101,33,3,16,14,932,333,485,36,63,130,50,17,28,14,1158,205,380,44,54,87,38,6,16,11,842,84,182,19,11,37,25,5,6,9,378,29,48,4,6,15,5,0,4,9,118,6,4,0,0,0,0,0,0,0,9,992,2254,253,530,529,360,73,175,70,5238
LGA51820,46,58,375,611,151,1097,152,770,49,3314,236,724,980,1179,602,882,354,642,73,5663,1338,4175,2593,1588,1781,765,761,902,263,14165,2139,4259,2466,1447,1954,638,809,858,255,14825,1849,2710,1974,1296,1903,681,878,967,216,12484,1120,1527,1342,903,1487,554,753,870,118,8669,269,423,311,183,342,178,191,240,46,2176,36,28,19,9,26,24,10,34,4,187,0,6,0,0,0,0,0,4,0,8,7040,13906,10062,7220,8245,4824,3904,5292,1017,61511
LGA51860,0,0,0,5,0,0,0,0,0,4,0,4,8,4,3,4,0,8,0,30,4,15,11,9,3,5,4,7,0,53,14,10,5,9,4,3,3,12,0,58,13,10,6,4,11,0,0,4,0,53,6,14,22,7,4,5,0,14,0,73,5,9,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,50,62,49,40,23,11,13,42,0,288
LGA51890,0,0,45,34,7,59,12,62,5,226,4,4,80,30,26,28,34,62,5,273,29,49,176,63,45,32,79,90,7,590,45,91,155,85,74,45,108,85,19,699,65,77,182,96,82,45,126,106,9,774,55,56,125,68,51,46,140,95,18,656,22,19,15,17,14,3,27,28,7,145,12,6,3,0,0,0,3,4,6,26,8,0,0,0,0,0,0,0,0,5,229,308,792,391,291,252,530,541,75,3402
LGA51960,0,0,15,14,8,17,11,12,4,70,0,7,33,7,18,5,40,12,5,119,15,52,107,26,21,6,133,25,4,391,20,38,93,14,28,10,128,32,0,359,36,41,108,28,33,20,123,31,16,437,27,32,68,20,28,7,107,38,5,331,12,3,13,0,6,8,20,14,0,78,4,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,118,176,433,109,139,76,559,157,36,1802
LGA52030,0,0,0,0,0,0,0,0,0,5,4,0,3,3,4,0,3,8,0,19,11,7,11,4,12,4,0,3,0,61,22,8,9,5,8,0,8,5,0,68,23,10,3,5,12,5,20,9,0,81,47,3,17,5,5,8,21,12,0,118,20,4,5,0,7,0,8,12,0,51,8,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,131,31,52,21,39,19,59,52,12,414
LGA52100,0,0,4,4,0,0,0,12,0,20,7,3,3,6,3,5,8,11,0,37,19,11,11,8,11,6,6,14,0,89,39,10,9,14,13,0,3,11,0,101,38,9,10,4,9,7,10,7,5,91,37,13,4,7,9,6,7,9,5,100,33,3,4,0,5,6,3,4,0,57,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,175,50,59,40,51,37,43,63,10,512
LGA52170,3,14,11,93,14,54,9,26,5,233,18,83,32,106,40,51,13,28,6,369,86,393,48,58,67,33,9,18,9,720,150,332,39,22,56,30,3,5,15,646,234,421,26,33,86,48,9,7,22,893,183,354,18,32,68,48,9,13,18,736,97,150,4,13,29,14,4,8,6,326,28,23,0,0,8,3,0,0,5,70,0,0,0,0,0,0,0,0,0,3,806,1772,179,366,365,283,56,103,77,4000
LGA52240,0,0,0,3,0,0,0,8,4,11,4,5,0,4,0,0,4,8,0,30,19,9,8,0,3,0,4,14,5,63,35,13,0,6,12,0,8,20,0,99,46,3,7,4,11,0,14,13,0,110,43,0,7,6,5,0,11,25,0,106,47,0,0,0,4,0,11,0,0,62,3,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,5,202,27,33,31,36,7,46,96,14,494
LGA52310,0,0,4,0,0,0,0,3,0,12,0,8,6,5,0,0,0,9,0,30,15,9,7,4,10,0,9,8,0,52,9,0,4,4,10,3,0,8,0,45,27,13,8,12,12,5,9,16,0,95,28,11,7,5,10,4,5,13,0,103,12,3,3,0,3,0,3,10,0,44,8,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,103,41,44,33,49,24,30,73,7,395
LGA52380,0,0,4,0,0,0,0,0,0,6,0,0,7,0,3,0,10,9,0,30,3,13,23,0,4,0,35,3,4,90,13,5,16,0,3,3,17,3,0,62,13,6,14,0,3,0,35,5,0,85,14,11,11,3,5,0,21,4,0,72,0,0,0,0,0,0,10,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,40,34,79,13,20,0,135,28,11,361
LGA52450,13,0,9,4,0,8,3,22,0,64,3,8,11,0,4,6,4,12,4,42,32,15,16,8,7,3,4,13,0,110,29,16,17,18,11,10,10,11,0,114,34,10,18,10,14,4,10,12,5,109,34,6,12,5,14,8,11,11,6,94,13,4,0,3,3,0,7,7,0,41,3,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,149,52,78,54,54,45,51,88,12,589
LGA52520,0,0,9,0,0,0,3,0,0,19,9,5,9,0,7,4,3,5,0,51,41,29,9,4,18,5,11,11,0,126,46,18,27,10,21,5,10,11,9,153,35,15,11,5,8,5,11,10,0,110,49,7,16,9,12,12,20,16,0,146,29,0,6,3,5,3,6,9,0,59,10,0,0,0,5,0,0,0,0,17,3,0,0,0,0,0,0,0,0,5,227,72,76,30,79,37,72,71,8,676
LGA52590,3,0,8,7,0,14,7,21,0,65,7,9,11,7,4,11,12,28,5,92,39,54,59,31,26,6,22,74,3,313,63,49,52,25,41,9,18,43,4,295,74,45,53,19,32,25,55,43,0,344,87,35,49,17,46,21,73,54,14,403,51,20,15,9,20,7,18,15,5,159,21,3,0,0,4,7,0,0,0,38,0,0,0,0,0,0,0,0,0,3,346,214,244,127,165,106,201,272,30,1707
LGA52660,6,0,51,62,21,154,16,133,9,453,27,31,120,89,49,70,46,107,10,536,102,190,352,121,178,127,147,138,28,1380,164,261,290,176,195,91,174,169,28,1545,168,211,248,169,192,104,164,151,25,1439,129,158,168,121,149,88,172,107,17,1112,61,42,32,15,34,17,38,32,3,273,21,0,0,0,4,4,6,8,4,48,3,0,0,0,0,0,0,0,0,5,683,898,1266,764,820,652,759,836,116,6793
LGA52730,0,0,20,26,0,45,3,57,0,163,7,7,30,16,3,6,3,16,0,78,51,78,73,31,24,11,11,25,9,310,88,148,92,50,61,19,22,58,9,540,131,148,78,64,59,33,24,56,13,605,135,125,81,65,61,41,43,61,6,617,86,44,16,16,25,21,9,26,0,235,24,8,5,0,10,3,0,7,4,55,5,0,0,0,0,0,0,0,0,5,512,559,389,270,235,174,120,306,46,2611
LGA52800,0,4,6,15,11,15,0,21,3,74,16,50,28,42,16,9,7,43,8,216,62,214,86,122,68,25,33,77,24,705,61,143,66,106,55,19,26,53,16,534,97,120,60,92,59,13,48,42,12,553,100,140,68,98,78,25,38,36,3,588,36,45,18,31,20,13,15,24,5,210,6,0,4,3,0,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,380,723,329,513,306,118,176,289,71,2899
LGA52870,8,0,30,30,7,32,8,43,5,166,8,15,43,18,12,14,11,40,0,150,31,41,88,21,21,24,32,74,8,346,83,85,99,46,48,23,70,56,13,517,127,106,86,57,74,21,89,69,13,632,110,99,78,79,66,24,73,68,6,614,73,43,27,17,11,10,20,24,3,227,25,5,0,0,4,0,0,6,7,48,0,0,0,0,0,0,0,0,0,5,463,394,448,265,249,149,305,378,44,2696
LGA52940,0,0,0,0,0,0,0,5,0,5,4,0,9,5,0,0,3,11,0,26,10,0,3,0,4,0,6,8,0,37,26,11,4,4,7,0,0,4,0,70,35,3,6,9,5,0,8,6,0,71,23,3,9,9,6,5,4,4,0,62,21,3,5,0,3,0,3,0,0,40,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,128,24,30,31,27,7,32,41,0,325
LGA53010,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,0,0,3,0,17,14,11,8,0,8,0,3,11,0,53,24,6,9,3,6,0,4,5,0,61,25,4,3,3,5,5,5,11,0,61,39,3,5,10,0,0,3,7,0,74,21,0,0,0,0,0,4,0,0,27,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,126,32,29,29,31,11,19,41,10,311
LGA53080,0,0,0,0,0,0,0,0,0,10,3,13,3,3,0,3,3,5,0,39,5,22,18,14,0,4,11,12,3,97,6,14,10,6,7,3,18,7,0,67,16,14,24,6,5,4,25,15,0,111,9,16,13,6,10,3,15,15,0,92,5,4,11,0,4,0,4,0,0,31,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,53,87,83,33,33,18,74,59,5,458
LGA53150,3,10,20,84,10,63,9,48,0,247,16,58,22,85,32,54,15,25,0,309,83,242,67,72,50,33,13,20,8,585,168,347,51,39,69,30,4,23,10,735,238,409,60,59,115,56,16,16,6,971,194,296,80,54,98,45,10,19,10,797,41,106,16,10,26,23,6,11,6,241,13,9,4,0,4,0,0,9,0,36,0,0,0,0,0,0,0,0,0,0,746,1472,316,398,399,296,74,176,46,3932
LGA53220,5,8,28,19,11,23,14,44,4,168,18,86,195,36,38,24,150,149,16,715,155,519,1024,130,137,44,667,341,33,3049,223,331,1026,79,133,16,744,243,44,2840,236,243,757,89,105,30,830,185,24,2502,111,166,414,60,82,18,622,161,22,1647,24,31,47,17,16,4,91,21,4,254,0,0,3,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,773,1385,3498,429,522,165,3125,1141,149,11195
LGA53290,5,0,77,50,19,123,23,105,10,411,24,46,130,62,43,62,59,67,14,500,142,201,222,91,131,84,122,152,21,1164,229,196,200,107,152,93,136,146,24,1275,345,192,187,135,187,81,158,149,27,1448,248,164,145,99,135,59,190,155,35,1233,103,47,25,21,46,8,50,40,8,347,38,6,0,0,3,0,3,3,4,65,4,0,0,0,0,0,0,0,0,3,1134,842,981,570,713,513,738,821,151,6470
LGA53360,4,0,22,30,0,39,6,33,0,129,6,20,45,47,33,16,9,32,8,223,63,151,160,114,69,30,26,85,15,714,115,128,117,74,71,31,32,58,7,641,117,110,91,51,89,34,24,55,17,600,111,113,71,46,79,46,48,48,9,565,56,20,18,3,30,16,12,7,4,158,5,3,3,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,5,489,544,523,373,376,213,151,328,66,3053
LGA53430,7,17,54,196,18,205,21,133,0,664,49,202,159,439,113,180,41,122,12,1324,407,1469,483,426,265,132,82,166,58,3500,659,1504,422,295,287,118,94,125,59,3554,625,1345,323,248,341,119,91,137,35,3266,541,1047,269,219,348,115,134,143,43,2864,133,389,87,59,115,54,38,48,12,932,20,52,3,9,7,7,0,10,10,118,3,5,0,0,0,0,0,0,3,8,2436,6026,1802,1898,1497,935,506,882,233,16224
