LGA_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
LGA50840,908,4,0,10,3,932,697,0,0,4,0,707,137,3,3,0,0,147,31,10,0,0,0,41,8,6,0,0,0,13,111,0,5,0,0,114,32,0,0,10,0,42,0,0,0,0,0,5,323,19,7,10,0,359,51,26,0,5,4,79,128,8,0,7,4,145,2106,60,7,37,11,2217
LGA50910,166,0,0,0,0,174,63,0,0,0,0,63,3,0,0,0,0,3,10,3,0,0,0,17,0,4,0,0,0,5,28,0,0,0,0,27,15,0,0,0,0,15,0,0,0,0,0,0,57,8,0,0,0,68,27,0,0,0,0,29,34,0,0,0,0,36,358,9,0,0,0,370
LGA50980,644,52,7,1656,98,2466,1257,71,14,83,6,1433,533,217,62,15,8,838,708,226,6,4,6,953,165,30,0,0,3,206,313,49,20,54,20,452,307,51,6,387,65,821,12,3,0,11,0,28,2040,577,98,476,106,3302,153,21,0,80,28,288,597,153,21,161,70,1006,4694,886,147,2461,310,8495
LGA51080,195,0,0,3,0,196,76,0,0,0,0,76,6,0,0,0,0,6,14,0,0,0,0,13,0,4,0,0,0,10,20,0,0,0,0,20,14,0,0,0,0,18,0,0,0,0,0,0,56,3,0,0,4,61,37,0,0,0,0,37,46,0,0,0,0,46,406,3,0,3,5,421
LGA51120,151,0,0,3,8,168,58,0,0,0,0,61,6,0,0,3,0,9,5,0,0,0,0,6,0,12,0,4,0,11,16,0,0,0,0,20,19,0,0,4,0,18,0,0,0,0,0,0,45,15,0,12,0,70,30,0,0,0,4,27,48,0,0,0,5,60,340,20,0,11,21,393
LGA51190,3475,502,67,82,6,4137,3823,343,51,0,7,4234,1464,674,254,3,4,2400,229,394,11,0,0,633,39,124,33,0,0,199,903,270,50,0,4,1223,89,60,9,24,4,181,14,18,0,0,0,30,2740,1537,354,30,11,4667,116,139,20,5,0,280,497,261,66,74,8,912,10653,2785,561,190,38,14228
LGA51260,5061,354,29,166,7,5619,5177,225,11,15,4,5436,1481,238,3,7,4,1729,264,225,0,0,0,489,28,60,0,0,0,90,978,93,11,11,9,1107,155,24,3,99,9,291,14,3,0,0,0,21,2917,643,22,122,18,3726,258,162,19,24,4,468,639,130,4,105,14,897,14056,1507,85,438,50,16136
LGA51310,3505,368,253,0,5,4127,3039,332,328,0,6,3697,695,248,638,0,3,1583,3,20,5,0,0,31,0,5,5,0,0,16,275,94,197,0,0,565,20,0,16,0,0,39,0,3,0,0,0,0,998,372,856,0,4,2234,80,126,107,0,0,312,132,43,80,4,0,256,7750,1234,1626,3,16,10634
LGA51330,9343,869,186,13,11,10421,10147,1200,299,7,4,11660,4096,1774,515,14,18,6414,345,429,53,0,0,829,86,82,13,0,0,187,1799,659,130,3,11,2597,274,103,37,11,4,426,26,22,8,0,0,57,6627,3072,759,22,30,10513,365,237,62,0,3,670,788,372,120,22,15,1311,27272,5751,1425,65,72,34578
LGA51400,1742,18,0,5,0,1774,3012,16,0,0,4,3027,646,16,0,0,0,668,81,79,24,0,0,187,7,38,37,0,0,80,345,7,0,3,0,356,39,0,0,0,0,43,9,4,0,0,0,9,1126,142,63,5,0,1336,63,3,6,4,5,77,240,25,12,10,0,286,6186,203,75,25,12,6496
LGA51470,104,3,0,0,3,107,38,0,0,0,0,38,5,0,0,0,0,7,5,3,0,0,0,6,0,0,5,0,0,3,21,0,0,0,0,24,24,7,0,0,0,27,0,0,0,0,0,0,55,10,5,0,0,70,22,7,0,0,3,30,34,0,0,13,0,48,253,24,5,13,7,300
LGA51540,431,32,3,784,49,1309,360,6,0,44,6,418,80,35,8,3,0,123,125,61,6,0,4,201,36,15,25,0,0,72,138,46,0,30,3,223,128,35,9,217,20,414,3,0,4,3,0,11,516,187,52,262,32,1046,60,8,0,39,10,116,229,77,15,69,36,422,1593,310,71,1207,133,3306
LGA51610,188,0,0,29,3,212,207,0,0,6,0,214,19,0,0,0,0,19,3,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,29,8,0,0,10,0,17,0,0,0,0,0,0,58,0,0,12,0,66,32,0,0,0,0,30,71,0,0,0,0,70,548,0,0,44,3,594
LGA51680,621,3,0,5,0,625,1091,0,0,0,0,1092,59,0,0,0,0,55,0,0,3,0,0,3,0,0,5,0,0,5,83,0,0,4,4,87,8,0,3,0,0,14,0,0,0,0,0,0,150,0,9,4,3,167,50,0,0,0,0,52,145,0,0,3,4,154,2052,6,17,11,7,2092
LGA51710,62,22,24,0,0,113,40,12,6,0,0,63,0,0,0,0,0,0,7,31,49,0,0,86,0,0,3,0,0,5,26,19,12,0,0,65,29,9,17,0,0,54,0,0,0,0,0,0,66,56,89,0,0,213,32,5,11,0,3,53,18,9,24,0,0,59,223,111,152,3,6,499
LGA51750,1073,427,332,0,3,1832,690,257,177,0,0,1130,171,181,578,0,0,936,9,11,0,0,0,17,0,4,3,0,0,8,88,80,137,0,0,309,12,3,8,0,0,24,0,0,0,0,0,3,280,289,728,0,0,1297,20,24,106,0,0,155,48,50,90,0,0,187,2115,1042,1434,0,3,4603
LGA51820,9852,1069,374,172,12,11482,18201,1472,623,4,9,20306,4348,1227,1318,3,5,6896,525,505,170,0,8,1206,47,87,63,0,0,196,1785,429,237,0,6,2454,215,66,23,44,5,357,28,20,8,0,0,49,6934,2335,1807,51,23,11156,269,167,38,8,5,492,1066,339,185,126,16,1733,36329,5387,3030,361,64,45173
LGA51860,12,0,4,0,0,13,0,0,0,0,0,0,4,0,0,0,0,6,47,0,0,0,0,47,9,0,0,0,0,9,4,0,0,0,3,8,22,0,0,0,0,17,0,0,0,0,0,0,80,0,0,0,5,89,21,0,0,0,0,24,35,0,0,0,5,36,159,0,4,0,10,168
LGA51890,1336,25,24,14,6,1401,1214,12,10,0,0,1237,211,14,37,3,0,265,70,37,25,0,0,131,8,0,0,0,0,12,209,18,4,0,0,230,33,0,3,3,3,48,4,0,4,0,0,3,529,70,75,9,4,688,47,0,0,0,0,47,242,17,8,8,3,280,3374,123,112,32,12,3653
LGA51960,298,5,0,17,10,337,354,10,0,0,0,366,179,62,11,0,0,256,17,0,0,0,0,14,25,0,5,0,0,31,72,3,0,0,0,85,26,0,0,0,3,32,9,0,0,0,0,9,319,68,19,3,5,421,19,0,0,0,4,29,239,41,6,10,16,307,1238,128,32,29,30,1456
LGA52030,222,9,0,11,10,243,89,0,0,0,0,92,12,0,0,0,0,12,4,6,0,0,0,7,4,0,0,0,0,4,29,4,0,0,0,35,16,0,0,6,0,19,0,0,0,0,0,0,71,5,0,7,0,86,30,0,0,0,0,38,61,0,0,3,3,70,475,17,0,19,9,519
LGA52100,194,0,0,0,0,199,84,0,0,0,0,80,5,0,0,0,0,3,7,6,0,0,0,14,0,8,0,0,0,9,36,0,0,0,0,39,23,0,0,3,0,18,0,0,0,0,0,0,68,14,0,0,0,88,27,0,0,0,0,29,23,10,0,0,0,29,398,24,0,8,0,427
LGA52170,1073,151,124,0,0,1350,630,79,67,0,0,776,211,85,258,0,0,546,5,0,42,0,0,42,0,0,0,0,0,5,109,37,100,0,0,245,3,0,5,0,0,6,0,0,0,0,0,3,327,123,399,0,0,851,25,18,4,0,0,57,50,20,39,0,0,110,2111,391,642,0,3,3138
LGA52240,183,0,0,0,4,187,68,0,0,0,0,68,14,0,0,0,0,14,5,0,0,0,0,5,5,0,3,0,0,8,39,0,0,0,0,37,30,0,0,0,0,33,0,0,0,0,0,0,87,0,3,3,0,95,54,0,0,0,5,55,43,0,0,6,0,53,442,0,0,11,8,468
LGA52310,190,0,0,5,0,196,98,0,0,0,0,102,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31,11,0,0,0,0,11,0,0,0,0,0,0,45,0,0,0,0,49,15,0,0,0,0,20,36,0,0,0,0,39,388,3,0,5,0,397
LGA52380,32,0,0,7,3,45,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,16,0,0,5,0,20,0,0,0,0,0,0,27,0,0,5,0,34,9,0,0,0,0,11,18,0,0,50,3,72,88,0,0,66,13,161
LGA52450,178,0,0,4,0,190,126,0,0,0,0,125,19,0,0,0,0,17,17,5,0,0,0,28,5,4,0,0,0,10,49,0,0,0,0,49,14,0,0,4,0,17,0,0,0,0,0,0,102,9,0,4,0,121,26,0,0,0,0,26,32,0,0,0,0,35,469,13,0,11,0,492
LGA52520,188,0,0,7,3,193,104,0,0,5,0,103,0,0,0,0,0,0,12,3,0,0,0,18,6,4,0,0,0,12,41,3,0,0,0,41,28,0,0,0,0,30,0,0,0,0,0,0,88,11,0,5,6,108,28,0,0,3,6,36,68,3,0,8,0,81,471,14,0,22,8,519
LGA52590,570,13,0,66,3,655,308,3,0,7,4,323,97,14,4,4,0,116,28,0,0,0,0,24,6,0,0,0,0,6,87,8,3,0,0,99,43,0,0,13,9,67,0,0,0,0,0,0,254,15,9,18,9,311,66,0,0,9,0,76,92,8,3,23,0,127,1295,44,5,125,21,1496
LGA52660,1504,88,5,54,0,1651,2369,37,0,5,5,2410,470,68,5,0,0,548,28,17,0,0,0,41,16,3,0,0,0,20,325,24,0,0,0,353,31,5,0,36,0,74,7,0,0,0,0,7,875,111,8,37,0,1035,125,64,0,9,0,197,209,22,3,50,4,283,5084,322,16,151,9,5578
LGA52730,1074,57,0,22,0,1158,585,57,0,0,3,648,130,9,0,0,0,142,58,17,0,0,0,78,26,0,0,0,0,33,220,7,0,3,0,228,36,0,0,12,4,49,4,0,0,0,0,4,478,35,0,18,5,531,83,18,0,3,0,104,202,14,0,81,4,302,2417,184,3,124,13,2745
LGA52800,144,3,0,380,33,561,127,0,0,21,6,153,60,35,0,4,0,99,572,28,0,0,5,609,344,6,0,3,5,366,69,0,0,19,15,101,178,38,4,75,22,323,10,0,0,0,0,12,1235,118,4,105,48,1512,129,17,0,47,17,214,340,60,0,172,38,609,1976,201,4,729,134,3043
LGA52870,993,4,0,13,4,1012,856,8,0,9,5,875,104,8,0,0,0,111,20,7,0,0,0,27,5,5,0,0,0,6,165,4,0,4,0,176,23,0,0,0,0,28,4,0,0,0,0,5,316,31,5,4,0,357,68,0,0,0,5,73,136,0,5,6,0,152,2361,43,6,35,18,2470
LGA52940,126,0,0,4,0,133,62,0,0,6,0,62,0,0,0,0,0,0,4,3,0,0,0,9,4,0,0,0,0,4,28,0,0,0,0,29,12,0,0,3,0,23,0,0,0,0,0,0,54,3,0,3,0,65,23,0,0,0,0,26,30,0,0,0,0,30,298,4,0,14,0,322
LGA53010,124,0,0,0,5,129,40,0,0,0,0,44,4,0,0,0,0,4,0,0,0,0,0,5,3,0,0,0,0,3,17,0,0,0,0,18,4,0,0,0,0,9,0,0,0,0,0,0,29,0,0,0,0,35,29,0,0,0,0,32,46,0,0,0,0,43,266,6,0,3,3,279
LGA53080,115,0,0,22,11,146,28,0,0,0,0,34,3,0,0,0,0,6,11,0,0,0,0,14,0,0,0,0,0,0,44,0,0,0,4,46,20,0,0,4,11,32,0,0,0,0,0,0,72,0,0,6,18,98,21,0,0,5,8,33,51,0,0,9,3,68,292,0,4,38,34,372
LGA53150,896,211,91,4,0,1204,775,153,96,0,0,1022,162,110,143,4,3,418,10,20,19,0,0,42,4,0,0,0,0,4,73,50,62,3,0,186,3,0,0,0,0,9,0,0,0,0,0,5,242,178,230,10,3,663,17,5,9,0,0,31,51,22,23,3,0,95,1982,570,449,18,3,3022
LGA53220,111,0,0,278,24,410,81,0,0,15,0,101,186,13,22,0,4,226,105,8,0,3,3,124,152,0,3,0,0,153,46,0,0,11,4,59,735,28,15,35,38,848,4,0,0,0,0,3,1226,52,42,49,51,1414,208,6,14,16,21,263,195,19,20,14,25,269,1817,73,82,371,119,2456
LGA53290,1622,90,19,98,25,1853,1469,36,0,5,8,1516,343,111,22,0,0,473,120,68,5,0,0,195,7,17,26,0,0,52,477,65,12,10,6,573,118,15,0,34,8,174,10,7,0,0,0,13,1077,277,66,47,16,1478,214,10,3,3,27,251,463,68,26,56,5,622,4837,478,115,207,78,5720
LGA53360,230,5,5,784,14,1033,326,5,0,73,0,402,135,16,9,5,0,161,83,6,7,0,0,96,11,0,26,0,0,42,108,3,0,32,4,147,67,6,10,193,4,268,0,0,0,5,0,3,406,27,52,231,9,722,36,0,0,35,7,80,91,3,9,49,13,160,1082,42,71,1177,37,2404
LGA53430,3028,747,461,117,19,4366,3180,666,462,10,3,4316,742,577,717,3,4,2043,178,441,208,0,0,835,25,82,32,0,0,142,579,271,236,4,4,1095,48,16,28,52,4,153,6,0,7,0,0,16,1566,1395,1239,66,12,4285,98,106,32,3,3,246,283,194,210,106,10,797,8152,3115,2391,297,46,14005
LGA53570,868,9,3,36,4,929,697,4,0,0,4,704,78,0,6,0,0,92,10,8,0,0,0,19,3,4,0,0,0,13,148,8,9,5,0,167,52,0,0,3,0,62,3,0,0,0,0,3,292,28,20,17,0,352,81,5,0,4,0,92,166,7,0,15,3,191,2104,53,28,72,9,2268
LGA53640,185,0,0,4,0,190,88,0,0,0,0,92,13,0,0,0,0,13,12,0,0,0,0,12,3,0,0,0,0,3,45,0,0,0,0,45,20,0,0,0,0,27,0,0,0,0,0,0,97,0,0,0,0,101,59,0,0,0,6,66,37,0,0,3,0,45,470,4,0,8,3,488
LGA53710,180,4,0,3,0,191,88,0,0,0,0,88,15,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,10,35,0,0,0,0,31,8,0,0,0,0,15,0,0,0,0,0,0,59,16,0,0,0,74,25,0,0,0,0,25,43,9,0,0,0,50,397,28,0,11,0,429
LGA53780,10531,629,72,69,11,11312,18515,796,140,15,8,19471,4571,1031,355,17,9,5975,557,309,58,0,0,922,70,127,63,0,0,267,2528,297,68,12,4,2908,378,62,16,60,9,531,53,27,4,0,0,81,8153,1857,570,88,18,10689,359,410,15,18,5,808,1673,298,56,57,11,2099,39238,3983,855,247,56,44372
LGA53800,4152,308,22,270,37,4785,4810,187,20,21,5,5042,1475,465,103,4,7,2053,312,186,48,3,0,553,60,44,5,0,0,110,1106,165,29,5,9,1309,197,60,5,51,8,321,17,13,0,0,0,32,3173,934,189,59,25,4376,215,108,14,8,9,354,967,227,48,89,15,1354,13318,1757,299,447,90,15910
LGA53920,39,0,0,216,26,290,8,0,0,10,0,17,0,0,0,0,0,0,364,41,12,5,7,427,157,5,0,0,0,171,5,0,0,19,7,34,69,4,0,26,11,114,7,0,0,0,0,8,609,57,10,50,31,754,92,25,0,32,15,169,114,10,0,47,35,205,862,91,10,355,105,1430
LGA53990,3139,70,14,94,5,3323,4448,27,5,15,4,4493,905,69,9,5,5,989,124,53,9,0,0,191,15,27,0,0,4,45,612,47,8,8,0,672,94,5,0,100,0,202,15,0,0,0,0,16,1769,201,26,112,6,2112,136,60,0,7,0,207,348,31,0,116,3,490,9835,379,50,341,22,10626
LGA54060,612,40,7,67,5,727,338,11,4,3,0,364,123,18,0,0,0,146,16,20,6,0,0,46,3,14,5,0,0,25,99,12,0,9,8,122,16,0,0,28,11,53,5,0,0,0,0,4,271,72,16,36,12,402,29,17,0,5,0,52,133,24,9,26,9,198,1378,159,39,137,24,1746
LGA54130,159,0,0,17,0,175,96,0,0,4,0,103,3,0,0,0,0,3,13,8,0,0,0,22,0,5,0,0,0,3,40,0,0,0,0,45,39,0,0,7,4,61,0,0,0,0,0,3,104,16,0,10,6,131,51,0,0,0,0,56,36,5,0,0,0,38,447,17,0,35,11,503
LGA54170,19027,1641,252,95,6,21024,24639,1353,272,4,3,26268,4285,857,632,6,10,5780,146,188,24,0,0,357,35,56,14,0,0,103,2248,449,196,9,6,2905,132,24,20,10,3,185,33,14,3,0,0,49,6872,1588,886,23,17,9381,326,255,37,0,4,628,1011,233,151,124,28,1546,51879,5074,1595,247,48,58848
LGA54200,7100,281,16,130,4,7536,9403,179,15,13,4,9613,1727,191,31,0,3,1953,139,101,0,0,0,243,16,44,3,0,0,65,1075,89,8,6,0,1184,86,8,0,23,4,126,19,5,0,0,0,18,3058,440,41,34,9,3584,240,130,9,3,0,387,657,71,8,85,8,817,20462,1093,96,262,29,21938
LGA54280,1675,118,10,100,11,1912,3900,242,10,14,0,4169,1238,654,78,5,0,1971,282,235,12,0,5,537,9,61,0,0,4,70,592,119,10,8,6,728,254,121,11,132,11,525,8,16,0,3,0,27,2381,1204,105,147,20,3861,127,41,4,18,0,189,695,229,10,412,18,1362,8778,1837,141,688,54,11495
LGA54310,390,34,12,312,57,815,1374,139,10,16,5,1550,814,246,197,0,5,1263,388,131,37,0,0,554,35,12,4,0,0,51,183,57,18,14,5,274,1507,238,80,129,36,1986,3,0,0,0,0,9,2921,687,338,141,50,4142,326,42,52,18,33,476,714,274,88,196,50,1311,5730,1177,501,684,199,8287
LGA54340,478,4,0,0,5,491,443,9,0,0,0,445,105,48,0,0,0,160,85,25,0,0,0,116,5,12,3,0,0,20,101,8,0,4,0,113,37,8,0,0,0,47,0,0,0,0,0,4,338,107,4,4,4,455,46,4,0,0,0,55,130,26,0,0,0,156,1439,144,7,3,6,1602
LGA54410,189,0,0,0,5,197,100,0,0,0,0,106,14,0,0,0,0,10,9,3,0,0,0,22,3,0,8,0,0,16,35,0,0,0,0,37,7,0,0,3,0,11,0,0,0,0,0,0,74,9,16,4,0,103,31,0,0,0,0,33,46,0,0,5,0,47,440,13,18,13,10,487
LGA54480,77,0,0,0,0,83,18,0,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0,10,6,0,0,0,0,6,8,0,0,0,0,8,28,0,0,0,0,27,0,0,0,0,0,0,40,0,0,0,0,46,32,0,0,0,0,32,16,3,0,0,0,24,186,4,0,0,0,200
LGA54550,302,4,0,5,4,311,156,0,0,0,5,155,16,9,0,0,0,14,22,6,0,0,0,30,10,3,0,0,0,16,85,9,0,0,0,91,32,3,0,3,3,45,3,0,0,0,0,4,170,24,0,3,6,202,57,0,0,0,0,60,73,5,0,4,0,77,760,28,0,9,10,810
LGA54620,141,0,0,14,0,149,49,0,0,0,0,51,4,3,0,0,0,9,7,6,0,0,0,11,9,0,0,0,0,5,23,0,0,0,0,23,33,0,0,4,3,42,3,0,0,0,0,3,81,4,0,9,3,96,31,0,0,3,0,31,46,4,4,0,0,49,345,7,4,25,3,381
LGA54690,89,0,0,0,0,89,27,0,0,0,0,27,0,0,0,0,0,0,8,0,0,0,0,8,4,0,0,0,0,4,10,0,0,0,0,12,9,0,0,0,0,9,0,0,0,0,0,0,27,0,0,0,0,35,9,0,0,0,0,9,10,0,0,0,0,5,168,0,0,3,0,170
LGA54760,139,0,0,3,0,147,44,0,0,0,0,44,0,0,0,0,0,0,9,0,0,0,0,10,8,0,0,0,0,8,16,0,0,0,0,15,16,0,0,0,0,18,0,0,0,0,0,0,45,0,0,0,0,49,27,0,0,3,0,30,34,0,0,0,0,36,292,3,0,5,5,303
LGA54830,2476,71,40,3,0,2592,8236,105,80,0,5,8429,2303,111,202,0,0,2620,240,144,105,0,0,488,68,44,31,0,3,147,869,32,40,0,0,948,127,0,11,0,0,135,20,7,0,0,0,23,3622,335,395,3,4,4352,87,33,0,3,0,126,716,34,80,31,5,874,15129,584,603,38,19,16373
LGA54900,215,0,0,9,4,222,91,4,0,0,0,93,0,0,0,0,0,0,8,7,0,0,0,14,4,3,0,0,0,11,45,0,0,0,0,46,28,0,0,4,0,41,0,0,0,0,0,0,87,17,0,4,0,109,60,0,0,0,0,67,39,0,6,0,0,47,486,18,9,26,6,537
