LGA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
LGA50840,20,31,52,364,421,784,0,0,0,46,34,75,0,0,0,298,346,647,3,7,13,5,3,11,8,11,14,7,5,10,8,13,11,0,0,0,6,11,14,6,6,12,27,31,58,0,0,0,10,12,23,45,64,111,80,101,183,0,0,5,916,1059,1970,0,0,0,4,3,7,0,0,4,0,0,0,0,0,0,8,15,21,6,15,26,1342,1236,2579,11,5,20,5,9,18,1360,1255,2614,281,219,503,0,3,9,2593,2585,5177
LGA50910,0,0,0,78,94,175,0,0,0,7,6,16,0,0,0,50,54,102,0,0,4,0,0,0,0,6,6,0,0,0,0,0,4,0,0,0,0,4,4,4,3,4,17,26,48,0,0,0,0,3,4,21,24,46,11,10,15,0,0,0,194,230,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,198,164,365,0,0,0,0,0,0,198,165,365,66,48,111,0,0,0,454,448,909
LGA50980,64,159,220,1195,1318,2511,0,0,0,105,108,212,0,0,3,2479,2949,5425,24,24,48,26,31,60,41,46,82,9,8,14,25,34,58,0,0,4,34,56,91,93,115,202,153,158,306,5,24,26,17,20,41,218,313,530,221,262,484,6,12,22,4648,5479,10129,36,24,58,52,36,89,11,10,16,16,20,30,5,8,11,21,30,44,38,54,98,5376,5234,10612,27,25,54,10,21,35,5410,5280,10696,2032,2057,4087,79,102,181,12373,13201,25576
LGA51080,4,7,8,62,52,114,0,0,0,49,50,96,0,0,0,80,70,148,0,0,0,0,0,0,0,0,0,0,0,0,9,6,16,0,0,0,5,4,6,0,7,7,3,9,7,0,0,3,0,0,0,32,38,71,10,9,20,3,3,7,249,252,505,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,4,0,4,191,176,360,0,0,0,0,0,0,191,176,368,65,69,129,0,0,0,515,498,1017
LGA51120,0,0,0,78,73,149,0,0,0,5,0,5,0,0,0,67,74,135,5,9,19,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,6,9,0,4,10,5,9,15,17,13,34,17,17,33,0,0,0,201,208,408,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,214,156,365,0,0,0,0,0,0,214,155,365,108,75,185,0,0,0,522,438,968
LGA51190,115,209,319,1719,2332,4057,0,0,0,221,245,469,0,0,0,2607,3147,5751,28,52,82,69,79,151,65,122,190,73,95,166,30,45,72,3,3,13,66,77,143,89,109,200,147,172,318,31,51,84,40,54,96,263,383,644,428,516,942,15,17,36,5913,7501,13415,115,100,216,130,121,250,3,12,17,3,0,3,44,37,85,53,85,138,102,126,224,7605,7222,14830,66,40,103,24,36,69,7699,7299,14998,1787,1189,2974,27,24,52,15889,16576,32469
LGA51260,142,252,388,2552,3294,5847,0,0,0,245,292,536,0,0,0,2659,3261,5916,94,109,206,39,44,84,135,186,321,21,27,57,41,56,94,0,0,0,59,82,145,99,114,218,194,242,437,12,27,39,65,67,128,398,611,1007,495,594,1085,17,16,30,7117,9028,16142,68,66,133,110,87,202,17,7,19,0,4,8,43,29,73,34,52,88,80,89,165,10012,9816,19831,59,36,90,20,52,76,10090,9902,19997,1483,1529,3010,40,38,74,19140,20991,40131
LGA51310,206,286,493,1646,2017,3666,0,0,0,81,97,183,0,0,0,3030,3604,6640,51,70,125,287,360,647,17,24,38,3,0,7,40,40,84,24,20,43,53,71,125,55,88,146,135,175,307,17,10,25,9,10,21,245,342,589,241,344,586,7,9,16,5957,7284,13239,197,203,404,80,96,180,59,53,108,0,0,0,24,23,42,53,54,114,84,84,158,6597,6045,12644,60,42,102,13,38,54,6667,6127,12797,522,519,1038,34,34,65,13805,14677,28483
LGA51330,2784,3298,6085,2722,3442,6165,0,0,0,881,1004,1881,100,87,193,7503,8451,15954,124,163,290,207,231,440,111,159,271,61,73,136,70,92,158,117,111,231,406,436,838,625,722,1351,857,926,1776,24,47,72,121,185,308,661,858,1522,1868,2142,4009,61,73,131,16516,19208,35721,3146,2833,5972,3668,3131,6792,22,20,38,5,0,5,1367,1197,2563,180,215,397,1551,1414,2967,16484,14990,31475,124,86,207,51,80,133,16654,15157,31814,2460,2212,4674,181,161,342,46981,47429,94408
LGA51400,39,69,108,964,1223,2186,0,0,0,259,239,495,0,0,0,1267,1533,2811,13,20,31,24,29,56,33,42,69,34,57,89,29,32,64,7,8,19,37,41,72,83,90,173,146,137,289,14,15,23,31,34,65,133,176,313,312,386,702,34,33,60,3408,4102,7511,37,42,81,73,72,147,3,4,5,0,0,0,8,0,14,25,46,72,32,55,86,4289,4189,8478,21,12,38,5,23,23,4323,4224,8545,485,477,959,3,6,9,8408,9054,17459
LGA51470,0,0,0,63,45,111,0,0,0,0,0,0,0,0,0,40,39,73,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,5,5,0,0,0,3,6,6,0,3,3,5,0,6,18,16,32,7,4,12,0,0,0,132,123,257,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,100,214,0,0,0,0,0,0,119,100,216,44,45,90,6,4,5,306,269,575
LGA51540,63,73,132,539,509,1045,0,0,0,31,40,68,0,0,0,778,819,1593,45,59,106,14,8,22,38,50,91,0,0,3,7,8,19,0,0,0,13,15,34,17,16,29,69,62,124,3,11,15,16,15,25,108,130,235,105,95,198,0,3,6,1781,1839,3619,17,14,32,28,14,39,4,6,12,13,5,16,4,3,9,5,17,18,22,21,48,1618,1383,3008,11,4,16,4,3,10,1638,1397,3033,677,579,1247,75,32,109,4298,3972,8266
LGA51610,4,4,8,115,126,248,0,0,0,8,9,18,0,0,0,154,174,324,3,0,4,0,0,0,0,4,3,0,0,0,4,6,8,0,0,0,3,4,4,11,0,11,8,3,17,0,0,0,3,0,3,13,11,25,29,23,55,0,0,0,351,365,719,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,267,570,0,0,0,0,0,3,306,262,574,108,116,219,0,0,0,770,760,1533
LGA51680,9,18,27,388,481,875,0,0,0,23,31,50,0,0,0,445,504,947,0,3,6,14,9,22,6,7,10,0,3,6,6,5,11,0,0,0,10,10,20,19,15,41,33,33,67,3,5,8,19,16,33,44,46,90,68,99,174,3,10,9,1077,1298,2373,10,6,19,10,8,16,0,0,3,0,0,0,0,0,0,4,13,15,3,13,17,1428,1262,2695,3,3,6,3,4,6,1436,1266,2700,293,254,546,6,5,8,2846,2874,5719
LGA51710,135,123,254,31,28,60,0,0,0,12,15,31,0,0,0,80,66,148,0,0,0,5,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,6,0,9,0,0,0,0,0,0,7,12,21,13,17,33,0,0,0,172,150,318,8,3,9,210,176,383,0,0,0,0,0,0,0,4,4,0,4,6,0,7,11,222,183,409,0,0,4,0,0,0,224,188,410,429,168,599,3,0,5,1174,814,1987
LGA51750,62,93,153,863,1109,1970,0,0,0,47,45,92,0,0,0,837,1073,1913,16,15,34,46,73,122,3,3,11,0,0,0,9,17,29,3,4,9,13,27,43,16,26,42,60,94,157,0,3,0,0,3,12,142,211,350,96,107,201,8,0,10,2163,2821,4990,48,49,98,31,41,71,28,48,77,3,0,3,10,3,6,26,30,52,34,28,67,2467,2297,4762,24,20,44,13,20,27,2506,2331,4842,321,332,662,26,19,44,5223,5764,10991
LGA51820,829,1235,2060,4206,5295,9501,0,0,0,796,934,1725,35,47,81,14348,16068,30422,66,75,142,586,654,1236,168,212,378,59,64,125,90,108,204,49,53,101,323,388,712,660,761,1424,680,743,1419,40,48,92,70,94,163,512,787,1301,1753,2099,3854,54,57,113,24498,28493,52991,1042,1041,2082,841,894,1737,39,69,109,3,0,3,226,181,403,211,272,486,435,455,888,25288,23840,49130,181,131,313,83,156,241,25554,24127,49680,2973,2845,5818,101,106,213,56306,59270,115575
LGA51860,0,0,0,9,10,19,0,0,0,0,0,0,0,0,0,8,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,16,0,0,0,32,32,64,0,0,0,191,178,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,64,134,0,0,0,0,0,0,75,67,137,74,69,139,3,0,3,366,348,708
LGA51890,8,23,32,477,607,1085,0,0,0,46,58,111,0,0,0,679,703,1380,19,23,42,3,3,4,20,26,47,4,9,8,4,3,16,0,0,0,20,15,36,13,18,30,30,28,61,8,10,18,6,16,25,88,95,179,66,82,151,7,3,10,1498,1698,3203,6,8,13,6,9,17,0,0,0,0,3,3,0,0,0,13,17,31,13,26,37,2377,2056,4433,11,13,20,6,7,15,2390,2076,4469,441,382,825,8,3,3,4376,4219,8589
LGA51960,26,23,46,196,147,344,0,0,0,24,20,44,0,0,0,261,194,453,22,25,38,10,8,14,10,19,29,5,12,19,10,10,19,0,0,0,9,6,19,14,6,19,24,24,49,0,4,4,9,8,15,20,23,49,59,61,117,7,9,13,678,555,1235,8,0,12,9,13,21,0,0,0,0,0,0,3,0,4,4,6,8,11,5,13,1048,696,1748,13,0,13,3,8,7,1061,704,1770,935,447,1383,3,0,3,2737,1753,4488
LGA52030,3,0,7,97,107,205,0,0,0,4,4,6,0,0,0,71,71,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,11,20,5,0,5,0,3,0,28,22,47,8,14,23,0,0,0,224,232,455,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,6,4,0,6,4,252,173,424,0,0,0,0,0,3,256,176,432,81,63,147,0,0,0,568,483,1052
LGA52100,0,5,4,105,115,218,0,0,0,5,8,10,0,0,0,67,56,120,7,5,14,0,0,0,5,3,9,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,5,8,9,0,0,0,4,0,10,30,25,55,0,3,9,0,0,0,220,230,448,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,206,432,0,0,0,0,0,4,223,204,429,36,37,73,0,0,4,482,485,965
LGA52170,16,27,45,651,739,1392,0,0,0,8,20,29,0,0,0,661,783,1443,5,0,5,47,51,93,0,0,0,0,0,0,3,6,12,0,0,4,9,19,28,8,15,26,35,62,103,0,0,0,0,0,3,76,111,188,48,65,111,4,0,5,1565,1868,3430,15,9,32,3,5,15,18,5,24,0,0,0,3,0,8,13,9,16,13,11,26,1913,1762,3669,18,9,25,3,9,12,1928,1781,3710,185,183,369,27,24,51,3774,3925,7689
LGA52240,0,0,3,102,86,185,0,0,0,30,28,54,0,0,0,59,62,123,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,6,5,7,0,0,0,4,5,4,6,11,19,4,6,18,0,0,0,218,204,423,0,0,0,8,4,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,250,202,453,0,5,4,0,0,0,254,205,461,76,72,141,0,0,0,558,488,1043
LGA52310,0,0,3,53,67,117,0,0,0,14,20,36,0,0,0,45,58,100,4,0,4,0,0,0,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,7,9,13,7,5,14,0,6,5,0,0,0,17,9,26,11,20,33,0,0,0,166,191,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,180,402,0,0,0,0,0,3,234,178,405,52,42,91,3,0,3,450,412,862
LGA52380,4,0,4,46,18,59,0,0,0,4,3,8,0,0,0,75,29,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,9,0,9,4,4,3,0,0,0,0,0,0,8,7,17,9,3,17,0,0,0,156,64,222,0,0,0,4,0,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,184,65,254,0,0,0,0,0,0,187,63,255,47,22,70,3,0,3,403,156,560
LGA52450,5,6,4,97,90,187,0,0,0,10,8,18,52,46,101,87,74,159,0,0,0,0,0,0,9,8,12,0,0,0,0,0,3,0,0,0,6,3,3,0,3,4,4,3,12,0,3,5,0,0,0,42,35,79,13,14,26,0,0,0,324,301,623,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,7,6,4,9,9,317,259,568,0,0,0,0,6,4,316,259,578,46,54,101,0,0,0,694,625,1318
LGA52520,0,0,0,79,97,178,0,0,0,24,27,56,53,53,104,91,83,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,4,6,7,0,0,0,3,0,3,32,27,59,26,20,48,0,0,0,321,313,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,226,505,0,0,7,0,3,0,286,225,515,127,109,241,0,0,0,731,657,1392
LGA52590,3,7,15,282,264,546,0,0,0,16,16,26,0,0,0,223,246,468,0,0,0,0,3,8,0,0,3,0,0,0,9,10,22,0,0,5,7,5,9,4,0,3,20,31,51,0,3,3,9,3,12,41,50,90,33,29,69,4,3,0,662,671,1331,10,3,16,4,6,3,0,0,0,0,0,0,3,0,4,5,7,12,12,8,14,957,770,1727,10,0,12,0,3,3,968,777,1744,312,199,516,22,9,26,1988,1684,3671
LGA52660,43,66,111,808,1007,1819,0,0,0,139,152,297,0,0,0,1100,1276,2383,17,32,52,9,15,26,36,53,86,23,17,40,18,21,35,0,3,4,28,33,59,45,53,102,70,90,162,11,18,26,21,25,43,114,147,258,213,227,436,4,9,15,2667,3168,5834,31,16,47,60,65,126,3,0,6,5,4,3,14,19,35,12,29,39,32,45,79,3541,3369,6908,19,17,33,8,13,20,3566,3394,6966,464,461,921,9,9,17,6879,7228,14107
LGA52730,33,55,92,303,354,665,0,0,0,21,37,57,0,0,0,221,276,497,0,6,0,5,5,5,24,33,61,6,0,9,8,15,21,0,0,0,8,12,15,4,9,9,23,33,54,0,0,0,4,4,13,45,62,108,43,71,120,0,6,7,726,915,1635,6,3,9,0,6,9,5,8,15,0,0,0,0,0,0,7,34,38,7,34,38,1834,1816,3648,15,9,26,7,23,30,1856,1853,3707,420,408,827,5,7,4,3061,3281,6336
LGA52800,23,27,46,249,257,509,0,0,0,47,56,97,0,0,0,558,568,1126,10,5,19,5,9,12,3,9,9,4,5,5,15,19,29,0,0,0,345,389,732,40,48,84,40,38,77,8,3,9,15,27,44,105,128,234,219,234,452,5,5,3,1653,1785,3438,8,5,13,21,10,37,0,0,0,48,40,92,0,0,3,9,10,26,63,54,122,1503,1280,2782,11,9,20,7,0,8,1518,1294,2808,1457,1310,2767,15,26,42,4765,4521,9279
LGA52870,11,17,33,373,491,863,0,0,0,27,21,46,0,0,0,425,496,922,3,8,8,0,0,5,21,31,60,0,0,0,8,6,14,0,0,0,24,38,67,15,15,23,26,35,62,4,5,6,19,23,45,49,55,106,96,110,208,0,0,3,1092,1343,2436,4,3,6,20,18,37,6,0,5,0,6,6,0,0,5,11,23,34,12,23,38,1534,1400,2937,5,4,13,0,7,12,1545,1412,2956,234,194,430,7,20,31,2930,3036,5964
LGA52940,0,0,0,66,55,117,0,0,0,3,5,14,0,0,0,27,48,77,0,0,0,0,0,0,12,9,13,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,4,9,0,0,0,0,0,0,25,21,43,15,18,30,0,0,0,157,158,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,160,130,295,0,0,0,0,0,0,161,136,296,43,28,71,0,0,0,360,326,685
LGA53010,0,3,3,48,42,86,0,0,0,0,7,9,0,0,0,40,46,79,0,0,0,0,0,0,5,11,7,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,8,4,12,0,0,0,0,0,0,16,7,24,9,3,11,6,0,3,117,118,240,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,4,3,6,151,128,281,0,0,0,0,0,0,155,131,287,86,54,137,0,0,5,366,303,674
LGA53080,7,15,20,55,43,98,0,0,0,13,17,28,0,0,0,71,57,132,9,5,12,3,0,3,0,0,0,0,0,4,3,0,3,0,0,0,0,7,7,0,9,12,7,12,14,0,0,0,0,6,4,10,5,18,15,3,22,0,0,0,195,162,355,3,0,4,4,0,4,0,0,0,0,0,0,0,0,0,3,4,6,0,4,5,260,150,404,0,0,0,0,0,0,264,150,406,156,93,250,9,5,7,638,417,1056
LGA53150,22,49,65,344,464,806,0,0,0,26,39,72,0,0,0,816,1039,1854,3,7,6,18,21,38,13,10,23,0,0,0,7,8,15,0,0,0,13,15,29,13,11,19,35,50,88,0,0,0,0,0,0,56,69,126,53,73,122,3,0,3,1397,1813,3201,13,6,16,10,5,17,6,4,12,0,0,0,0,0,6,20,26,46,24,27,49,1903,1844,3744,20,13,29,4,11,16,1925,1870,3794,218,231,450,34,3,34,3629,4009,7641
