LGA_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
LGA50840,44,242,201,1444,21,1961,0,10,0,71,0,81,7,0,5,0,0,14,15,3,0,9,0,22,70,21,16,37,3,145,903,275,175,1217,31,2608,28,0,10,0,0,36,18,4,0,8,0,30,61,13,16,85,0,166,3,3,0,6,0,10,10,3,3,0,0,16,15,4,0,0,0,19,158,41,41,331,5,576,61,33,11,111,4,214,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,14,0,22,6,0,4,10,0,17,21,3,0,0,0,29,32,14,6,0,0,54,17,0,0,11,0,28,3,0,0,0,0,4,0,0,0,0,0,0,171,53,35,306,3,576,11,6,0,0,0,10,23,0,0,0,0,31,0,0,0,8,0,12,0,0,0,0,0,0,5,0,0,0,0,5,24,7,5,15,0,49,126,28,33,34,5,228,9,4,0,22,318,348,1436,461,333,2564,375,5172
LGA50910,11,29,24,343,6,416,0,0,0,70,0,70,0,0,3,0,0,5,0,4,0,0,0,0,4,5,0,0,0,14,59,24,18,243,5,355,9,0,0,0,0,9,0,0,0,3,0,3,7,0,3,20,0,32,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,11,5,0,54,0,66,4,0,0,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,9,33,0,66,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,23,11,0,3,0,41,0,0,0,3,82,88,128,48,38,594,92,905
LGA50980,158,747,639,6042,55,7641,4,196,42,4153,108,4505,168,32,18,109,5,326,52,16,14,43,0,124,219,67,39,118,10,444,2034,715,550,4999,85,8384,241,11,19,29,0,295,110,7,10,30,8,167,269,61,36,419,14,800,22,14,8,43,0,87,22,4,3,3,0,41,107,9,4,16,0,139,451,149,88,1503,9,2198,313,91,40,329,6,782,14,0,3,0,0,16,3,0,0,6,0,9,18,4,0,14,0,25,20,13,9,19,0,59,82,18,6,4,5,114,113,37,22,13,3,187,68,11,8,34,0,129,20,4,3,12,0,42,6,0,3,0,0,13,512,150,138,1312,10,2127,11,0,0,0,0,17,101,13,11,0,0,136,89,0,12,22,4,124,14,3,3,5,0,26,25,0,0,0,0,33,84,14,15,50,0,157,848,177,121,536,29,1712,75,7,6,126,3374,3591,4953,1495,1068,14225,3646,25391
LGA51080,8,30,17,352,8,411,0,3,0,101,5,107,0,0,0,4,0,4,0,0,0,0,0,0,7,0,0,0,0,11,68,27,27,264,6,381,6,0,0,0,0,4,0,0,0,0,0,0,10,5,4,31,0,41,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,8,7,65,0,84,7,4,3,19,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,7,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,3,7,58,0,84,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,9,19,3,0,10,0,35,0,0,0,14,102,116,132,48,40,680,111,1017
LGA51120,0,25,31,280,0,349,0,0,0,34,0,34,4,0,0,0,0,0,0,3,0,7,0,8,8,5,4,3,0,21,49,27,28,310,4,415,12,0,0,0,0,18,0,0,0,0,0,0,8,7,3,26,0,42,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,6,3,6,0,42,0,55,9,0,0,23,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,3,0,0,5,5,0,0,0,0,5,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,75,0,91,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,11,27,4,3,16,0,42,0,0,0,10,150,165,122,46,50,592,157,968
LGA51190,263,1464,1027,8625,119,11496,6,62,30,1079,18,1198,402,13,25,31,4,480,38,24,7,62,0,126,259,98,72,165,5,591,3245,1464,1086,8215,143,14157,487,0,36,12,6,542,79,19,4,69,0,170,270,83,71,558,5,993,60,28,9,91,6,193,22,6,0,14,0,48,279,8,11,9,0,310,769,236,190,2007,18,3224,626,255,93,1088,11,2066,61,4,5,0,0,69,32,8,7,3,0,44,10,4,0,16,0,37,18,5,4,4,0,34,296,50,45,19,4,419,157,94,48,30,0,333,165,41,42,99,5,347,58,3,6,4,0,79,24,4,8,0,0,36,802,297,230,1867,23,3212,16,3,0,3,0,28,189,19,15,9,0,233,69,6,9,41,0,125,30,0,4,3,0,37,63,5,11,0,3,86,131,31,23,117,0,302,1468,172,169,336,36,2182,62,22,17,145,2247,2489,8276,2653,1923,16998,2563,32415
LGA51260,328,2004,1735,11657,176,15896,3,52,34,698,9,795,212,12,28,39,0,300,50,13,15,83,4,169,419,112,91,260,4,889,5277,1987,1546,10445,198,19449,151,10,42,15,0,217,183,20,24,77,0,306,452,133,112,712,12,1426,38,22,7,83,0,159,37,16,3,29,0,82,130,16,17,31,0,197,1012,377,239,2645,27,4299,392,168,91,913,15,1584,47,0,6,0,0,58,10,4,3,5,0,16,11,10,8,25,0,43,28,12,4,26,0,74,135,45,33,23,4,231,234,157,84,35,9,523,125,32,32,58,3,255,48,9,13,26,0,92,9,0,0,0,0,4,1110,408,299,2403,20,4239,18,4,0,7,0,29,275,52,32,16,0,374,64,16,7,68,0,159,37,7,5,8,0,53,61,8,7,8,0,79,187,48,25,102,0,362,1442,283,313,367,23,2429,73,31,25,220,2020,2374,9754,3487,2779,21614,2418,40061
LGA51310,264,1625,1272,6000,42,9198,8,6,3,95,0,116,1535,79,116,79,5,1815,118,45,39,221,0,426,350,103,46,137,0,642,3528,1358,1056,5227,57,11221,99,4,35,0,3,144,164,20,27,53,0,267,414,80,74,414,0,982,200,84,49,247,0,572,47,13,11,21,0,90,641,48,54,38,0,785,1221,369,214,1896,15,3711,715,242,131,707,12,1800,76,4,7,7,0,94,33,3,6,9,0,52,60,16,20,49,0,145,19,6,3,14,0,39,37,8,7,3,0,48,147,59,69,28,0,301,198,39,29,56,0,329,91,6,15,14,0,131,4,0,0,0,0,3,902,331,208,1556,15,3010,49,8,12,18,0,85,307,51,40,6,0,399,108,3,6,35,0,159,79,7,10,13,0,105,101,3,15,10,0,129,153,31,30,82,0,289,2341,307,327,344,9,3334,49,10,5,45,569,678,11050,2834,2183,11644,708,28418
LGA51330,1328,2846,2383,10970,185,17719,31,89,63,1034,26,1236,16729,194,430,179,99,17632,172,46,34,165,3,422,714,197,158,391,7,1462,8879,2589,1940,9589,182,23182,1718,32,89,26,6,1875,288,24,29,85,0,424,714,134,110,718,21,1694,134,41,22,115,0,309,95,8,9,18,0,134,7565,107,71,59,26,7824,1828,474,338,2483,35,5159,1427,374,191,1146,18,3151,1422,12,30,3,0,1469,132,23,13,30,0,200,32,5,3,34,0,78,61,15,3,23,0,106,426,36,36,18,0,520,359,141,80,27,0,616,387,68,42,113,4,611,201,14,26,12,3,256,126,16,0,0,0,140,1885,563,430,2315,33,5222,78,10,10,10,0,110,604,59,58,15,7,741,280,13,18,37,3,352,767,9,8,13,0,801,757,33,41,4,3,834,283,76,45,149,0,559,19688,752,831,688,117,22086,732,29,26,128,2711,3616,60419,5178,4323,20786,3364,94067
LGA51400,172,794,662,5306,49,6984,0,35,29,438,11,517,84,3,6,18,0,113,13,8,7,31,0,60,249,62,54,136,0,506,2206,777,662,4361,57,8059,322,3,26,11,0,358,56,10,12,33,0,112,218,36,27,332,7,620,19,8,0,30,0,51,5,3,0,8,0,15,172,8,3,16,0,199,381,123,87,963,7,1554,140,88,47,472,6,748,14,0,0,0,0,15,29,0,3,0,0,31,3,0,0,8,0,21,11,9,8,8,0,28,158,23,14,6,5,210,105,47,38,19,0,211,62,16,12,39,0,124,48,5,8,7,0,61,9,0,0,0,0,9,499,134,155,947,14,1752,10,0,5,4,0,11,393,19,18,9,0,437,29,3,0,17,0,57,4,0,0,0,0,5,23,0,4,3,0,28,55,18,10,41,0,129,814,108,103,169,6,1201,72,8,7,73,556,717,4927,1347,1144,9340,693,17447
