LGA_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
LGA50840,0,89,6,0,100,4,73,7,0,88,17,172,28,0,215,34,203,29,0,263,40,266,31,0,344,44,345,38,0,431,55,366,30,0,450,11,171,14,0,202,3,37,4,0,46,220,1722,190,0,2141,9,121,14,0,144,10,53,6,0,67,18,174,4,0,196,55,200,22,0,280,73,258,21,0,349,85,346,28,0,457,60,352,21,0,432,25,163,16,0,200,0,50,10,0,61,328,1696,144,3,2180,12,211,21,0,240,14,123,16,0,154,35,345,32,0,408,89,402,50,0,539,115,520,51,0,691,126,695,61,0,889,116,709,51,0,880,36,337,32,0,403,8,85,10,0,105,548,3423,337,9,4318
LGA50910,0,4,5,0,5,0,15,4,0,22,4,24,4,0,31,4,38,3,0,47,8,55,10,0,69,10,54,9,0,74,8,61,0,0,70,4,37,5,0,42,0,17,0,0,19,39,298,39,0,379,6,9,4,0,17,4,8,5,0,18,8,36,4,0,44,7,38,10,0,50,18,45,5,0,65,10,35,6,0,52,9,48,0,0,51,3,38,4,0,47,0,25,0,0,22,56,281,35,0,370,6,17,3,0,26,3,27,10,0,34,11,59,5,0,80,13,73,19,0,98,27,95,11,0,135,17,89,13,0,126,9,108,5,0,121,0,82,3,0,86,0,39,3,0,41,94,587,73,0,748
LGA50980,20,377,86,0,474,27,399,109,20,546,51,1192,273,42,1554,93,1205,250,8,1556,100,1142,281,0,1526,89,1326,282,4,1705,88,1609,196,7,1901,36,517,91,0,646,5,52,18,0,72,515,7823,1584,73,9997,22,398,91,0,520,32,480,97,29,643,120,1544,377,56,2091,154,1401,272,6,1835,174,1144,244,3,1564,221,1518,281,0,2017,138,1391,207,6,1741,27,360,82,0,468,0,48,12,0,61,891,8283,1670,102,10945,44,772,179,0,996,56,882,210,41,1190,165,2743,644,94,3653,249,2607,526,11,3398,279,2283,527,8,3086,314,2841,559,6,3727,227,3000,404,16,3644,59,880,171,0,1116,6,95,32,0,138,1405,16104,3252,178,20940
LGA51080,0,11,4,0,22,0,23,0,0,22,0,45,7,0,54,7,49,6,0,64,13,44,12,0,67,21,69,7,0,92,3,46,4,0,57,3,21,3,0,25,0,6,0,0,6,54,313,40,0,406,0,13,7,0,23,3,10,3,0,14,0,50,9,0,59,11,49,7,0,67,12,38,3,0,61,31,43,11,0,80,4,32,6,0,46,3,22,3,0,27,0,5,0,0,5,70,261,51,0,387,8,31,10,0,45,3,35,4,0,44,0,97,12,0,116,19,91,13,0,127,25,86,12,0,123,47,108,22,0,177,13,75,9,0,98,5,38,10,0,55,0,14,0,0,14,124,577,95,0,790
LGA51120,0,17,5,0,23,0,26,3,0,31,0,51,10,0,62,3,46,12,0,63,0,49,17,0,73,5,49,17,0,70,6,51,14,0,80,3,21,6,0,29,0,11,0,0,15,26,317,83,0,435,0,8,0,0,15,0,15,3,0,20,9,34,3,0,41,8,36,0,0,45,13,37,7,0,54,12,45,9,0,69,5,44,5,0,60,5,27,9,0,42,0,8,6,0,12,50,247,55,0,352,0,24,9,0,34,0,40,14,0,46,6,82,13,0,108,16,83,13,0,113,14,83,23,0,123,16,97,29,0,137,18,100,24,0,136,10,50,14,0,64,0,14,9,0,23,74,567,139,0,788
LGA51190,35,768,47,4,858,32,765,106,0,894,113,1659,359,5,2133,176,1561,311,4,2052,214,1591,226,6,2039,306,1627,152,4,2087,207,1402,126,0,1735,93,786,67,0,951,24,263,55,0,344,1192,10420,1450,23,13085,59,782,57,0,902,59,784,64,0,905,160,1737,156,9,2057,298,1584,121,5,2006,403,1690,123,3,2212,523,1605,103,4,2233,327,1483,98,4,1909,122,910,83,0,1115,29,480,110,0,621,1978,11046,913,25,13950,96,1552,100,6,1756,84,1549,162,3,1802,273,3393,515,10,4188,471,3141,437,9,4056,618,3285,349,9,4257,829,3224,255,10,4318,537,2879,218,4,3640,213,1698,156,0,2065,55,738,168,0,957,3172,21459,2359,47,27037
LGA51260,38,1067,76,0,1183,25,672,33,0,731,88,1555,151,12,1810,161,1937,150,0,2251,257,2073,148,5,2483,343,1906,161,6,2421,256,2157,145,0,2556,157,1108,104,4,1378,42,300,53,0,396,1362,12785,1020,31,15201,49,945,87,0,1087,37,581,49,0,665,160,1713,144,12,2029,367,2268,144,3,2782,524,2208,134,4,2866,613,2072,176,7,2867,443,2162,162,5,2773,189,1157,128,0,1470,38,548,54,0,643,2413,13659,1081,32,17185,86,2013,163,0,2267,59,1255,79,0,1394,249,3270,300,23,3835,528,4205,297,5,5033,776,4279,284,13,5350,954,3979,338,10,5282,703,4323,311,5,5336,339,2266,231,4,2847,79,850,115,0,1036,3775,26441,2105,63,32384
LGA51310,37,1011,19,0,1070,41,663,17,0,723,61,1212,37,5,1316,128,1526,42,0,1700,242,1765,38,6,2053,335,1329,31,8,1704,176,998,44,5,1218,95,610,43,4,750,44,272,19,0,340,1166,9392,284,31,10873,34,844,16,0,900,53,668,20,3,740,95,1281,48,3,1423,227,1726,43,5,2002,474,1726,36,5,2236,530,1233,42,4,1810,271,994,48,13,1323,142,678,49,4,876,54,504,55,4,620,1889,9650,361,34,11931,72,1857,34,3,1969,94,1330,34,4,1461,156,2490,87,10,2738,358,3253,78,7,3699,720,3484,75,10,4289,867,2567,69,9,3518,450,1990,93,13,2540,234,1292,92,11,1626,98,777,78,4,959,3045,19039,651,66,22801
LGA51330,120,2774,108,0,3008,180,3679,239,6,4106,364,6651,485,29,7527,516,5792,311,24,6636,628,4795,207,27,5655,608,3875,170,36,4686,475,3146,105,30,3760,221,1638,88,6,1953,66,509,50,8,626,3176,32856,1767,163,37958,152,2684,115,3,2952,177,3145,192,6,3524,445,6143,408,20,7011,802,6032,274,11,7115,979,4635,176,10,5808,1068,3908,163,44,5182,748,3300,122,40,4203,295,1841,140,16,2286,44,807,83,4,946,4710,32498,1666,160,39032,270,5459,228,4,5960,358,6824,429,14,7635,807,12791,890,50,14539,1314,11818,586,36,13751,1610,9433,383,40,11465,1672,7787,335,78,9868,1224,6442,230,69,7963,513,3478,227,25,4240,112,1317,136,12,1579,7885,65350,3434,323,76995
LGA51400,21,615,46,0,685,19,401,19,0,434,51,703,33,4,786,88,898,56,0,1043,126,1030,57,0,1209,134,878,44,0,1046,79,649,40,0,768,41,260,18,0,322,7,38,5,0,50,566,5472,307,3,6348,30,613,39,0,686,23,379,18,0,416,93,868,58,4,1022,178,1052,64,0,1288,247,1080,45,0,1373,262,801,46,4,1109,124,611,40,0,773,54,257,23,0,337,6,69,7,0,76,1023,5719,329,6,7086,53,1228,84,0,1369,36,777,33,0,853,142,1572,88,5,1805,266,1948,113,0,2334,378,2106,97,0,2583,400,1671,82,4,2156,203,1260,74,0,1538,96,519,44,0,659,14,107,10,0,132,1586,11194,639,9,13431
LGA51470,0,8,5,0,12,0,10,0,0,10,0,21,0,0,26,7,32,12,0,54,0,30,10,0,41,0,47,6,0,47,9,41,7,0,60,5,17,5,0,23,0,3,0,0,3,20,211,45,6,276,0,3,4,0,5,5,16,0,0,16,0,29,0,4,34,3,26,9,0,37,3,21,0,0,25,5,36,11,0,47,5,28,4,0,39,0,10,11,0,19,0,0,0,0,0,20,163,39,4,232,0,5,8,0,17,5,29,0,0,30,6,47,3,5,59,8,59,20,0,90,3,52,12,0,65,12,76,13,0,97,9,77,9,0,93,5,32,15,0,47,0,4,0,0,4,42,379,84,5,510
LGA51540,10,95,36,0,140,8,111,39,16,179,28,329,97,36,489,26,320,79,14,432,46,378,85,7,519,44,537,76,6,662,56,711,80,0,840,26,270,40,0,343,3,41,0,0,50,244,2800,540,75,3658,7,95,22,0,121,10,141,41,9,204,38,341,82,20,478,43,321,66,0,434,64,331,68,3,464,89,522,69,0,686,63,603,61,0,729,16,217,29,0,257,0,31,15,0,46,328,2605,454,32,3419,16,191,61,0,269,13,252,82,29,381,68,671,184,52,967,69,641,143,17,868,110,716,156,7,984,129,1063,145,4,1347,115,1315,143,0,1571,48,486,63,0,593,7,73,16,0,98,573,5402,999,109,7078
LGA51610,6,36,5,0,42,0,23,3,0,28,0,52,4,0,56,4,73,12,0,86,17,93,21,0,126,13,101,15,0,127,9,78,5,0,94,10,28,3,0,42,0,9,0,0,8,50,485,71,0,607,0,40,9,0,45,0,16,4,0,21,8,55,4,0,66,17,69,21,0,102,16,87,21,0,126,24,88,9,0,127,12,78,3,0,91,0,21,0,0,23,0,3,0,0,3,75,454,74,0,609,6,71,15,0,94,0,41,9,0,47,8,101,6,0,116,16,143,33,0,192,35,178,41,0,253,36,187,24,0,250,20,156,16,0,189,7,50,3,0,66,0,4,0,0,9,126,941,143,0,1213
LGA51680,12,168,20,0,205,7,120,15,0,140,11,194,13,5,224,29,266,17,3,310,40,345,30,0,419,57,379,37,0,468,35,259,25,0,320,16,127,13,0,160,3,22,5,0,31,208,1887,181,6,2281,12,165,24,0,201,3,99,0,0,105,24,213,19,4,256,56,274,20,0,347,77,357,28,0,460,85,348,33,0,466,59,224,25,0,307,14,109,12,0,140,0,35,10,0,43,328,1824,164,5,2323,23,336,49,0,407,10,222,16,0,245,31,406,35,4,477,83,544,33,3,661,119,703,56,0,883,138,725,67,0,931,93,483,45,0,625,34,237,30,0,298,3,60,9,0,74,538,3709,343,8,4605
LGA51710,4,19,9,0,26,0,21,38,0,63,0,107,163,0,282,6,87,86,0,181,8,99,67,0,172,12,96,30,0,142,7,107,30,0,137,0,27,5,0,28,0,4,0,0,4,35,566,419,3,1027,5,32,3,0,36,0,23,8,0,32,4,75,33,0,118,6,99,28,0,138,10,98,35,0,144,16,82,28,0,127,8,52,14,0,71,0,11,4,0,15,0,0,0,0,0,49,472,157,0,680,4,44,13,0,57,0,42,45,0,93,9,190,194,0,390,14,181,119,0,321,17,197,99,0,318,27,186,58,0,268,12,159,37,0,205,0,39,3,0,42,0,4,0,0,4,89,1034,579,5,1706
LGA51750,23,428,15,3,471,19,301,19,0,339,32,502,37,5,568,41,466,21,0,530,84,557,25,8,671,93,452,14,5,561,80,416,17,6,524,43,363,25,0,428,14,137,20,0,177,445,3619,189,20,4278,15,344,24,0,388,17,324,19,0,361,45,513,28,5,592,82,523,21,3,635,173,572,26,4,773,181,465,22,0,669,129,460,18,6,620,91,434,25,0,555,19,283,41,0,343,755,3926,238,20,4937,43,772,43,7,862,40,622,41,0,702,71,1015,63,11,1162,124,990,44,9,1162,252,1129,50,7,1447,278,918,35,0,1234,214,876,39,8,1139,131,805,51,0,991,40,421,56,0,518,1201,7544,431,40,9220
