LGA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA53150,1362,895,710,893,1156,1046,813,463,259,7605
LGA53220,1566,1584,4953,4692,4062,2818,805,125,9,20614
LGA53290,2717,1529,1568,1660,1867,1872,1461,895,284,13849
LGA53360,844,470,898,768,731,1025,1265,416,44,6465
LGA53430,4560,3234,4389,4443,4284,4344,3522,1892,876,31539
LGA53570,774,456,581,540,707,837,905,451,84,5336
LGA53640,250,97,182,157,148,178,140,34,8,1205
LGA53710,165,75,67,112,121,158,157,67,24,940
LGA53780,26295,16183,17259,19420,15724,12590,9967,5071,1864,124367
LGA53800,7870,4561,4604,4810,5174,5090,4166,2193,842,39311
LGA53920,989,667,752,653,578,585,500,125,17,4870
LGA53990,5964,3143,3113,3619,3555,3529,2840,1391,394,27553
LGA54060,569,302,269,387,479,673,741,388,81,3893
LGA54130,247,73,133,161,147,185,146,42,10,1142
LGA54170,29839,19062,15776,20727,21990,20733,17272,7717,2839,155950
LGA54200,11346,6677,6197,7748,7552,6896,5990,3511,1264,57181
LGA54280,6412,3686,5139,4684,4145,3679,1949,697,197,30581
LGA54310,5631,2576,4997,5350,4197,3000,1392,360,24,27539
LGA54340,781,503,535,479,485,521,419,226,94,4054
LGA54410,149,100,102,111,151,196,150,110,43,1110
LGA54480,110,37,60,79,81,48,46,18,0,480
LGA54550,361,121,175,248,230,317,199,137,55,1846
LGA54620,143,94,148,155,171,191,123,48,23,1096
LGA54690,64,17,27,39,55,58,60,24,3,354
LGA54760,165,27,75,100,115,100,82,39,10,719
LGA54830,10369,5553,7507,7488,5470,3998,2640,1293,410,44736
LGA54900,238,100,149,185,178,198,126,58,12,1248
LGA54970,131,306,920,834,874,681,140,21,0,3909
LGA55040,261,380,930,781,640,497,205,32,5,3732
LGA55110,15694,9195,8688,9358,10271,11054,11522,7405,2668,85859
LGA55180,1504,898,929,987,1231,1511,1161,605,209,9036
LGA55250,171,253,506,410,422,363,197,47,0,2372
LGA55320,17905,12630,10708,13119,13433,12569,11395,6727,3415,101906
LGA55390,20,143,311,312,284,211,75,11,0,1372
LGA55460,585,340,384,370,415,444,363,155,68,3126
LGA55530,81,24,40,57,72,106,99,41,4,530
LGA55600,434,235,253,244,318,355,277,141,47,2312
LGA55670,147,72,61,66,80,105,127,51,20,735
LGA55740,1539,1177,968,1110,1305,1078,929,566,218,8894
LGA55810,124,99,227,252,254,240,137,24,3,1356
LGA55880,75,20,45,64,73,79,49,13,16,440
LGA55950,119,42,60,65,81,93,80,46,9,598
LGA56090,6499,4250,4077,4712,5394,5384,4317,2350,734,37725
LGA56160,32,7,23,24,26,22,35,0,0,169
LGA56230,3275,1834,1669,1870,2143,2332,2337,1362,399,17219
LGA56300,209,81,102,189,177,288,329,144,26,1553
LGA56370,150,39,105,81,109,105,82,62,39,772
LGA56460,844,656,534,526,596,640,537,319,162,4801
LGA56580,4168,3025,1826,2464,3139,2722,2478,1540,708,22071
LGA56620,294,245,239,218,206,155,58,21,3,1441
LGA56730,2064,1225,1201,1259,1455,1596,1403,707,232,11143
LGA56790,560,250,310,412,493,856,981,387,93,4349
LGA56860,38,34,14,20,42,43,52,10,4,253
LGA56930,294,327,109,110,212,219,174,98,45,1582
LGA57000,84,80,196,221,198,190,81,31,11,1083
LGA57080,2331,5285,9062,5431,3397,3057,2280,1111,382,32341
LGA57140,166,80,87,96,116,179,157,97,26,998
LGA57210,898,475,459,556,736,855,788,325,116,5217
LGA57280,3894,1749,3672,3460,2688,2164,857,206,35,18727
LGA57350,152,40,93,76,120,152,171,87,40,935
LGA57420,368,193,455,343,419,414,234,119,30,2574
LGA57490,29349,16518,17549,17475,16928,14660,10422,6039,2055,131013
LGA57630,4,24,46,29,40,73,47,22,0,279
LGA57700,8002,3617,4653,4552,3853,3208,2066,929,254,31120
LGA57770,352,130,333,298,316,625,659,216,14,2951
LGA57840,6268,5931,6368,5628,5142,5007,4595,2467,1234,42641
LGA57910,38208,24377,36149,33938,27481,23505,19530,12409,5785,221377
LGA57980,2793,1809,2585,2408,2124,1949,1874,1152,432,17127
LGA58050,33272,19046,22598,22291,19078,16158,10685,5194,1763,150086
LGA58190,65,29,42,36,61,70,34,27,9,374
LGA58260,110,38,67,92,79,90,75,45,6,608
LGA58330,638,345,324,401,618,882,789,346,69,4399
LGA58400,26,27,36,17,38,55,53,23,0,279
LGA58470,53,15,23,37,41,62,68,14,0,310
LGA58510,5205,4579,7558,5915,4366,3737,2849,1659,1039,36911
LGA58540,128,43,68,100,107,149,109,48,12,765
LGA58570,5193,3772,7885,6091,4546,3708,2425,1187,637,35453
LGA58610,281,135,160,180,193,251,261,148,46,1657
LGA58680,73,50,36,55,95,82,75,44,9,514
LGA58760,45955,26866,28001,29891,27415,20767,14324,7602,2576,203401
LGA58820,690,409,351,475,575,637,565,289,98,4096
LGA58890,133,50,58,77,120,142,103,47,24,752
LGA59030,44,18,50,65,69,79,38,18,8,395
LGA59100,125,45,70,63,75,124,76,51,11,659
LGA59170,217,68,112,151,111,153,106,68,17,993
LGA59250,91,129,343,259,257,145,66,9,0,1303
LGA59310,234,107,143,167,153,189,184,78,20,1276
LGA59320,97,37,42,49,50,81,58,16,0,430
LGA59330,60,37,49,45,55,72,74,57,8,459
LGA59340,2006,972,1747,1559,1498,1695,1237,237,33,10994
LGA59350,29,78,301,181,211,165,70,21,4,1060
LGA59360,116,117,346,333,375,365,167,52,20,1884
LGA59370,489,214,252,338,374,620,652,372,106,3421
LGA59799,3,137,518,957,896,533,176,32,0,3250
