LGA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
LGA50840,0,0,0,0,100,100,0,0,0,0,88,88,72,6,0,0,146,215,151,14,15,0,89,263,198,11,33,0,91,342,258,24,59,10,80,431,311,12,72,14,36,447,137,8,24,25,13,202,26,0,0,15,4,46,5,0,0,0,0,0,1155,74,215,60,635,2141,0,0,0,0,144,144,5,5,0,0,61,67,87,4,0,0,101,196,168,10,20,9,71,280,201,17,50,9,70,349,275,29,80,17,53,455,277,17,82,49,16,432,94,6,25,67,9,200,9,0,4,44,4,55,0,0,0,3,0,3,1114,86,264,191,517,2180,0,0,0,0,240,240,5,5,0,0,152,154,155,8,3,0,241,408,315,24,31,9,156,539,404,30,87,9,167,693,538,52,146,29,128,887,589,29,149,64,45,875,229,14,52,95,17,403,36,0,8,54,5,104,5,0,0,3,0,9,2270,158,477,254,1155,4318
LGA50910,0,0,0,0,5,5,0,0,0,0,22,22,13,0,0,0,19,31,22,0,4,0,21,47,36,10,3,0,23,69,45,5,12,0,14,74,40,8,5,3,11,70,28,0,0,5,0,42,9,0,0,11,0,19,0,0,0,0,0,0,191,19,31,25,116,379,0,0,0,0,17,17,0,0,0,0,18,18,16,5,0,0,24,45,36,4,4,0,13,50,39,0,6,0,11,65,34,8,5,4,5,52,42,0,7,3,3,51,19,0,3,20,0,47,5,0,0,15,0,22,0,0,0,0,0,0,200,13,25,45,89,370,0,0,0,0,26,26,0,0,0,0,37,34,28,5,0,0,44,77,58,5,5,0,36,98,77,10,10,0,33,135,78,6,15,6,13,126,78,5,14,11,11,121,55,0,5,28,3,86,12,0,0,26,4,41,0,0,0,0,0,0,388,33,53,68,210,748
LGA50980,0,0,0,0,474,474,19,0,0,0,517,535,312,18,10,0,1175,1521,776,50,70,3,657,1554,801,84,144,17,481,1527,1077,51,235,36,297,1704,1489,58,192,56,105,1896,515,10,45,52,32,646,43,5,5,14,9,72,15,0,0,0,55,73,5046,271,699,185,3794,9997,0,0,0,0,518,522,23,0,0,0,589,617,430,28,31,5,1548,2041,875,72,78,19,787,1831,819,79,191,16,453,1558,1276,90,305,87,258,2016,1268,33,203,140,86,1735,308,8,56,84,16,464,10,4,0,39,0,61,8,0,0,0,89,102,5020,316,866,400,4341,10945,0,0,0,0,996,998,37,0,0,0,1103,1145,743,46,41,4,2725,3558,1647,119,144,21,1446,3382,1626,163,333,33,926,3083,2355,142,535,130,551,3717,2755,92,396,202,189,3626,820,15,98,139,47,1114,58,3,10,58,9,138,26,0,5,3,141,178,10064,582,1571,587,8138,20940
LGA51080,0,0,0,0,22,22,0,0,0,0,23,22,20,0,0,0,36,54,42,3,4,0,15,64,41,7,6,5,15,67,57,7,9,0,19,92,29,8,9,0,6,57,19,0,0,5,0,25,5,0,0,0,0,6,0,0,0,0,0,0,205,28,28,11,140,406,0,0,0,0,20,23,3,0,0,0,12,14,16,0,0,0,33,59,43,0,0,0,24,67,40,7,7,0,4,61,57,9,10,0,7,80,25,0,11,11,0,46,11,0,0,11,3,27,4,0,0,4,0,5,0,0,0,0,0,0,197,13,35,30,109,387,0,0,0,0,46,45,7,0,0,0,36,44,35,0,0,0,71,116,82,9,0,0,34,127,76,11,12,5,23,123,108,14,18,0,30,177,54,11,22,11,6,98,31,0,4,16,3,55,4,0,0,3,0,14,0,0,0,0,0,0,406,38,60,35,255,790
LGA51120,0,0,0,0,23,23,0,0,0,0,31,31,24,0,0,0,37,62,42,0,4,0,19,63,43,0,6,0,17,73,36,6,14,0,9,70,56,0,12,6,5,80,17,0,4,3,0,29,9,0,0,3,0,15,0,0,0,0,0,0,233,8,43,14,134,435,0,0,0,0,15,15,0,0,0,0,18,20,19,0,0,0,23,41,44,0,0,0,9,45,39,0,6,0,9,54,44,5,13,3,3,69,39,4,3,8,6,60,17,0,7,10,0,42,0,0,5,12,0,12,0,0,0,0,0,0,202,11,27,35,76,352,0,0,0,0,34,34,0,0,0,0,49,46,46,0,0,0,62,108,84,5,4,0,24,113,85,0,11,0,24,123,85,8,23,3,15,137,88,5,17,11,8,136,38,0,7,15,0,64,10,0,5,11,0,23,0,0,0,0,0,0,434,22,68,43,217,788
LGA51190,0,0,0,0,853,856,31,5,0,0,860,892,480,44,27,0,1574,2127,963,106,132,5,845,2046,1028,141,281,12,572,2036,1163,117,409,43,343,2081,1096,103,340,74,121,1735,662,37,117,108,27,950,191,8,23,106,11,344,6,0,3,0,14,23,5625,563,1329,350,5217,13085,0,0,0,0,892,896,35,0,0,0,862,901,621,73,53,5,1298,2052,1005,140,157,23,679,1999,1058,180,416,54,502,2209,1165,116,580,108,253,2229,1007,83,419,290,101,1904,470,21,154,439,23,1115,114,10,35,450,13,621,4,0,0,4,19,25,5479,622,1821,1375,4651,13950,0,0,0,0,1750,1753,66,6,0,3,1724,1800,1096,116,79,5,2873,4177,1964,248,287,27,1519,4049,2090,321,695,66,1076,4247,2332,240,992,152,594,4309,2106,183,761,361,225,3640,1132,53,272,545,56,2064,300,20,58,562,21,957,13,0,3,4,34,47,11103,1190,3150,1725,9870,27037
LGA51260,5,0,0,0,1176,1183,5,0,0,0,724,728,517,18,25,0,1232,1791,1318,100,116,0,719,2251,1532,147,255,15,524,2478,1625,91,342,33,323,2411,1892,68,366,101,130,2556,1035,27,144,127,24,1374,234,4,33,129,3,396,12,0,0,0,14,31,8175,462,1281,412,4868,15201,0,0,0,0,1081,1083,20,3,0,0,641,665,756,48,46,4,1169,2021,1707,153,210,13,694,2782,1691,180,425,45,519,2864,1825,121,539,122,258,2858,1791,81,494,292,114,2771,771,24,176,456,46,1465,131,4,36,450,17,643,13,0,0,3,5,32,8712,609,1930,1374,4552,17185,7,0,0,5,2251,2262,26,6,0,0,1358,1392,1275,71,71,3,2397,3812,3028,256,326,16,1414,5029,3224,325,679,63,1046,5335,3447,213,877,151,585,5270,3685,146,862,396,252,5335,1814,48,325,587,70,2839,364,10,68,572,14,1039,29,0,4,3,28,63,16888,1072,3210,1792,9417,32384
LGA51310,0,0,0,0,1070,1070,8,0,0,0,708,714,291,10,14,0,999,1309,1204,37,67,4,384,1694,1614,42,133,5,255,2043,1284,52,157,16,191,1696,932,18,125,35,101,1215,575,8,67,51,48,749,209,7,12,95,12,340,18,0,0,0,14,31,6138,180,579,206,3782,10873,0,0,0,0,900,900,16,0,0,0,726,738,468,25,23,6,909,1420,1485,58,85,5,365,1996,1669,73,198,22,271,2235,1237,67,250,83,183,1809,835,30,216,127,103,1312,452,10,85,266,57,869,126,4,32,384,70,615,12,0,3,7,10,34,6293,266,886,890,3585,11931,0,0,0,0,1967,1970,18,0,0,0,1433,1458,756,30,37,6,1906,2729,2688,96,157,10,746,3693,3283,117,329,26,527,4281,2521,117,405,95,369,3505,1769,48,344,163,207,2526,1028,25,151,318,102,1618,340,16,44,472,88,957,26,0,5,7,22,66,12428,450,1458,1097,7365,22801
LGA51330,5,0,0,0,2997,3006,93,8,0,0,3995,4097,2561,64,98,12,4763,7496,4632,179,262,10,1530,6611,4119,205,444,25,839,5632,3337,148,539,69,564,4660,2800,110,451,130,228,3727,1472,45,180,161,84,1944,394,9,29,179,11,621,115,0,3,5,41,163,19529,770,2015,595,15049,37958,6,0,0,7,2943,2952,258,13,0,0,3242,3515,3370,134,127,7,3359,6993,5109,268,435,35,1255,7110,4086,277,639,100,693,5792,3391,185,823,275,460,5137,2549,129,706,574,204,4161,1041,38,296,819,81,2274,194,3,48,674,22,940,82,0,8,40,27,160,20096,1052,3086,2524,12281,39032,7,0,0,5,5943,5958,355,16,4,3,7235,7615,5933,198,219,20,8118,14490,9745,446,700,49,2784,13722,8209,477,1087,121,1531,11426,6728,335,1364,339,1025,9792,5351,244,1161,706,430,7894,2517,85,473,978,164,4215,589,13,76,852,35,1562,198,3,16,49,67,323,39625,1826,5096,3120,27326,76995
LGA51400,0,0,0,0,681,679,13,0,0,0,423,434,275,7,9,0,500,786,666,51,59,0,265,1043,821,58,130,9,194,1209,746,38,143,17,100,1046,565,24,109,36,33,768,239,8,36,35,4,321,36,0,0,13,0,50,3,0,0,0,4,3,3366,188,482,113,2208,6348,6,0,0,0,679,686,25,0,0,0,389,417,437,33,33,5,517,1013,801,69,108,6,308,1288,942,81,142,21,188,1373,710,62,211,47,79,1108,510,28,131,90,22,773,166,7,38,115,13,337,18,0,7,48,5,76,4,0,0,0,8,6,3609,281,661,330,2195,7086,6,0,0,0,1357,1368,34,0,0,0,810,852,709,40,37,4,1011,1802,1468,124,172,4,572,2335,1763,141,272,26,386,2583,1455,107,351,61,178,2154,1073,52,234,132,55,1538,402,9,72,150,17,662,56,0,8,61,8,132,6,0,0,0,6,9,6977,463,1146,441,4403,13431
