LGA_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
LGA56930,41,4167,1440,440,5012,0.7,4560,2.7
LGA57000,42,780,1752,170,2018,0.7,1587,2.3
LGA57080,34,1911,1034,405,2480,1,1911,1.8
LGA57140,51,867,577,200,1340,0.7,988,2.2
LGA57210,48,1274,623,225,1491,0.8,1178,2.3
LGA57280,35,1517,1589,240,3264,0.9,2693,2.7
LGA57350,53,800,621,130,1445,0.7,1134,2.2
LGA57420,42,1000,1285,245,2019,0.7,1713,2.2
LGA57490,36,1733,767,330,2077,0.7,1718,2.6
LGA57630,54,902,643,144,1833,0.6,1078,1.5
LGA57700,33,1976,884,380,2242,0.8,2095,3
LGA57770,56,1374,806,270,1818,0.8,1330,2.1
LGA57840,39,2200,993,360,2761,0.8,1997,2.2
LGA57910,38,1966,898,340,2332,0.8,1781,2.4
LGA57980,40,2500,1191,410,3242,0.9,2139,2.1
LGA58050,35,1842,822,340,2109,0.8,1833,2.8
LGA58190,48,661,705,162,1583,0.8,1181,2.5
LGA58260,44,650,779,138,1696,0.8,1321,2.3
LGA58330,53,1582,608,290,1579,0.7,1280,2.3
LGA58400,54,531,531,120,1125,0.6,900,1.9
LGA58470,51,1452,821,75,1312,0.9,1692,2.9
LGA58510,36,2000,974,350,2473,0.8,1841,2.2
LGA58540,48,537,974,150,2200,0.7,1641,2.3
LGA58570,36,2196,1170,400,3050,0.9,2199,2.2
LGA58610,48,882,668,193,1718,0.7,1181,2.2
LGA58680,50,1600,843,200,2100,0.7,1674,2.4
LGA58760,35,1900,801,350,2148,0.8,1891,2.8
LGA58820,47,1625,623,260,1701,0.7,1324,2.4
LGA58890,50,915,813,143,1708,0.7,1327,2.2
LGA59030,47,400,1449,85,1465,0.7,1329,2.2
LGA59100,47,867,726,139,1662,0.7,1269,2.4
LGA59170,40,1285,1005,200,2243,0.7,1728,2.4
LGA59250,37,500,1954,120,767,1,1412,2.4
LGA59310,44,968,762,180,1757,0.7,1269,2.3
LGA59320,43,1148,749,155,1663,0.8,1395,2.5
LGA59330,51,604,610,150,1481,0.6,949,1.9
LGA59340,39,1885,1062,245,2082,1,1750,2.7
LGA59350,41,260,1915,150,1583,0.9,1525,2.6
LGA59360,46,790,1661,150,2057,0.6,1484,2
LGA59370,55,1408,610,260,1538,0.7,1150,2.2
LGA59799,45,1733,2700,0,1375,0.7,1833,1.7
