LGA_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA50840,17,12,23,32,13,0,102,0,6,9,17,27,18,5,0,78,12,56,95,103,88,92,25,7,476,13,36,63,74,103,100,40,0,426,62,146,145,185,225,157,50,13,987,26,15,14,11,4,13,5,0,89,3,3,12,15,15,24,12,0,92,94,168,173,208,245,195,69,13,1165,0,0,3,7,8,9,10,0,29,40,28,52,60,80,97,58,19,442,155,311,415,470,572,540,211,39,2721
LGA50910,6,0,0,0,0,0,7,0,0,3,0,7,0,0,0,15,5,16,17,9,8,3,0,0,61,0,4,7,8,7,10,4,0,34,10,22,22,26,22,18,4,3,127,0,0,4,4,0,0,0,0,9,5,0,0,3,0,0,0,0,8,9,24,24,31,24,18,8,4,145,0,0,0,0,3,0,0,0,6,10,8,19,7,19,13,11,3,84,28,58,69,64,61,52,24,9,363
LGA50980,183,121,148,102,24,0,776,5,103,137,99,108,76,10,0,545,121,839,684,462,449,357,95,7,3019,58,269,376,299,400,407,91,5,1906,231,621,662,653,626,594,127,14,3528,94,67,51,26,41,33,5,0,321,26,38,58,62,80,92,23,3,372,346,727,767,738,749,716,156,17,4229,4,14,15,18,22,31,17,0,117,384,664,528,542,633,478,216,37,3481,936,2807,2690,2281,2518,2163,607,72,14065
LGA51080,3,0,5,0,0,0,10,0,4,0,0,0,0,0,0,5,6,15,23,21,7,4,0,0,83,0,6,6,8,16,11,0,0,51,4,17,33,12,24,20,6,0,121,0,6,3,0,0,0,0,0,10,0,0,0,5,4,5,0,0,14,12,27,35,23,26,22,6,0,149,0,0,0,0,5,3,0,0,5,13,18,13,16,21,7,15,0,101,37,72,78,69,78,47,21,4,412
LGA51120,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,16,3,12,26,15,5,0,0,0,59,0,4,6,8,7,9,3,5,45,10,32,30,23,27,17,7,0,147,6,5,3,0,0,0,0,0,14,0,0,0,0,8,0,0,0,15,17,37,31,28,36,20,10,0,175,0,0,0,0,5,0,0,0,7,20,20,17,26,30,26,18,9,153,43,77,85,81,78,60,29,9,453
LGA51190,154,148,111,78,25,4,668,10,66,103,128,105,71,21,5,505,138,666,630,572,453,309,135,41,2948,69,303,385,393,437,319,153,48,2093,716,1135,1086,1024,961,635,260,69,5888,227,150,60,70,43,34,18,3,603,39,43,76,90,119,65,37,12,480,983,1328,1226,1178,1124,739,312,76,6973,10,20,37,34,27,36,17,12,188,237,348,304,313,305,307,247,201,2269,1451,2868,2840,2769,2565,1854,919,386,15645
LGA51260,175,189,126,148,59,3,807,6,81,175,180,125,115,25,7,713,98,683,1053,922,694,616,259,65,4390,73,364,582,659,673,579,280,58,3266,536,1126,1388,1319,1125,871,368,83,6815,223,86,73,77,60,55,18,7,598,40,48,84,136,141,152,55,17,685,798,1265,1548,1526,1327,1082,451,103,8099,13,27,28,33,40,62,38,5,252,250,334,330,337,421,416,341,192,2619,1232,2861,3897,3847,3412,3018,1445,436,20143
LGA51310,831,847,574,295,118,41,3211,17,136,214,285,211,121,51,8,1047,468,1253,1672,1838,1208,708,350,154,7648,83,193,293,417,469,334,219,93,2102,197,203,224,242,281,198,122,62,1523,60,14,25,17,27,13,16,5,165,18,20,24,64,63,56,47,29,325,278,226,271,317,372,268,183,97,2014,8,26,27,34,23,32,27,14,192,56,107,94,110,111,145,153,143,920,952,2402,3410,3849,2962,1896,1106,555,17134
LGA51330,2215,1330,765,375,119,14,7124,56,380,467,450,316,205,69,0,1945,1600,4834,4593,3094,1792,1214,440,93,17652,741,1493,1592,1285,1165,884,395,87,7642,1288,1698,1596,1625,1519,1081,506,168,9476,477,157,101,102,87,64,36,5,1030,78,136,150,215,227,190,100,33,1130,1846,1985,1843,1940,1830,1338,638,208,11639,51,139,119,116,81,101,76,13,702,658,925,653,484,446,370,370,200,4098,5100,11908,11476,8701,6400,4493,2107,616,50798
LGA51400,103,85,69,31,5,0,348,8,35,64,84,52,22,5,0,280,45,278,469,458,279,169,37,4,1743,42,163,242,297,250,166,39,7,1200,416,637,653,692,535,281,90,9,3310,128,56,53,42,20,10,0,0,313,22,28,41,67,55,45,20,0,280,567,719,747,798,610,342,110,9,3899,0,9,20,10,17,15,3,0,81,117,94,121,126,123,120,87,15,809,782,1337,1765,1869,1394,872,293,44,8359
LGA51470,0,0,0,3,0,0,11,0,0,0,0,4,3,0,0,6,0,6,12,7,3,5,0,0,33,0,3,3,8,8,9,3,0,36,12,11,22,12,15,22,0,0,98,0,3,4,0,0,0,0,0,14,0,0,0,0,5,3,0,0,4,15,13,27,16,17,27,7,0,122,0,0,0,3,4,0,0,0,3,9,3,20,9,10,10,10,0,84,27,35,70,44,54,50,19,0,308
LGA51540,28,25,29,24,10,0,144,0,16,19,20,25,29,0,0,113,33,149,149,97,129,131,31,4,722,11,56,81,67,135,152,30,3,537,77,205,155,196,251,251,79,13,1218,33,28,8,12,13,12,3,0,109,3,14,17,13,38,38,9,0,131,113,238,179,219,306,307,87,13,1462,0,0,4,0,11,15,4,3,46,160,204,157,174,179,194,90,12,1168,325,701,618,613,800,851,250,33,4198
LGA51610,3,4,0,5,0,0,16,0,3,0,8,8,4,0,0,18,0,17,29,32,18,15,5,0,119,0,12,16,25,24,26,7,0,113,18,51,56,49,48,15,9,3,257,3,4,0,0,0,5,0,0,13,3,0,5,10,8,6,0,0,32,25,53,63,62,53,26,12,3,303,0,0,0,3,3,6,0,0,11,26,6,29,41,28,25,10,0,169,46,95,148,181,137,98,33,5,747
LGA51680,12,15,15,9,6,0,70,0,11,15,11,17,9,5,0,62,20,65,85,87,72,35,21,0,390,17,37,88,112,95,62,18,3,428,77,162,219,247,234,109,56,6,1102,34,13,11,8,16,10,0,0,87,0,7,12,21,24,15,9,3,93,120,179,235,272,265,132,68,11,1283,0,0,0,4,5,0,3,0,16,68,41,46,80,103,75,50,13,464,222,334,479,593,581,314,167,27,2716
LGA51710,16,9,6,0,3,0,45,0,3,13,10,4,0,0,0,33,0,20,36,29,23,21,5,0,144,3,26,24,30,17,10,3,0,109,21,62,53,54,38,26,5,0,258,7,7,0,4,4,4,0,0,37,0,0,3,5,5,0,0,0,12,30,71,64,66,50,26,5,0,313,0,0,0,0,0,8,0,0,12,54,200,124,103,65,37,3,0,591,93,340,273,249,164,107,18,0,1243
LGA51750,245,285,198,158,103,42,1278,6,61,70,106,88,53,35,9,426,242,553,521,594,454,389,246,92,3087,28,61,96,133,148,155,141,62,817,70,73,63,76,69,45,34,13,445,14,6,3,0,7,0,5,0,45,0,6,13,24,22,27,24,11,124,87,90,76,102,96,80,64,28,609,4,5,15,20,12,16,21,23,118,80,68,53,70,53,66,98,75,570,470,1060,1072,1298,1043,925,706,334,6916
LGA51820,1601,889,547,267,60,13,4644,53,566,635,504,307,152,39,6,2252,1080,4810,4674,2824,1589,816,241,63,16097,537,1700,2240,1962,1431,913,274,60,9116,1919,3910,3685,3265,2624,1551,602,139,17707,619,270,207,191,134,80,25,3,1523,129,193,277,376,355,253,89,20,1696,2671,4373,4172,3831,3111,1878,718,172,20921,55,113,168,140,128,117,52,23,790,557,864,849,696,588,633,562,398,5152,5018,13612,14335,10850,7707,4776,1946,726,58968
LGA51860,0,0,0,3,0,0,16,0,0,4,0,5,0,0,0,9,0,9,15,12,6,9,0,0,51,0,7,0,8,6,0,0,0,23,12,7,15,17,27,12,4,0,86,10,3,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,22,10,17,17,26,7,4,0,98,0,0,0,0,0,0,0,0,0,9,23,24,23,34,24,16,0,161,39,53,63,57,82,50,22,0,364
LGA51890,13,10,13,3,0,0,40,0,14,8,5,22,6,0,0,65,10,55,81,63,55,45,20,6,329,3,47,67,78,81,73,27,3,382,178,361,348,360,326,175,77,7,1821,57,40,23,21,10,6,3,0,151,10,17,20,25,27,30,13,0,136,242,411,387,403,360,209,92,10,2114,0,0,4,10,9,11,5,0,47,85,91,106,88,100,110,80,63,719,350,618,670,656,637,462,224,83,3694
LGA51960,8,15,4,0,0,0,48,0,5,7,3,8,0,0,0,25,9,46,34,39,26,12,4,0,164,4,25,31,39,31,18,5,3,152,57,177,134,145,122,48,4,3,703,21,12,9,10,6,0,0,0,64,3,10,15,9,10,4,0,0,39,76,197,156,163,140,59,4,3,802,0,0,4,8,0,0,0,0,13,146,288,253,273,185,77,27,5,1255,238,579,493,537,388,168,40,4,2457
LGA52030,0,0,0,6,0,0,6,0,0,0,0,0,6,0,0,14,0,18,17,5,12,9,5,0,68,0,0,7,10,9,21,4,0,56,8,23,18,23,49,30,17,0,170,0,3,0,0,3,5,0,0,14,0,4,0,0,4,11,3,0,24,13,29,21,26,58,46,17,0,212,0,0,4,4,0,0,0,0,9,11,14,10,16,35,24,16,15,143,24,64,54,65,117,107,52,11,507
LGA52100,0,0,0,0,0,0,8,0,3,6,0,3,0,0,0,11,4,20,15,12,17,10,4,0,75,0,5,6,17,15,12,4,0,61,14,34,36,25,20,19,0,0,147,10,0,9,3,0,0,0,0,23,0,3,3,3,3,3,0,0,20,24,36,49,32,24,22,5,0,186,0,0,0,0,0,6,0,0,8,9,3,3,6,10,10,12,11,60,33,78,82,59,65,55,23,14,405
LGA52170,144,207,189,125,52,14,866,0,35,42,56,61,44,15,3,251,149,448,386,506,396,301,148,35,2371,17,39,53,88,120,99,75,25,521,26,51,52,51,48,42,21,12,301,8,3,6,5,6,0,0,3,38,4,4,11,18,27,19,18,9,97,41,59,61,75,81,57,40,17,437,4,4,12,13,7,20,11,3,65,23,31,47,31,46,43,62,55,342,247,735,741,976,903,694,400,156,4845
LGA52240,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,9,0,15,24,13,13,0,0,0,66,0,3,10,9,15,13,3,0,64,18,30,25,28,27,16,5,6,156,8,5,3,3,0,0,0,0,21,0,0,0,8,0,3,0,0,17,26,34,33,35,33,17,10,6,189,0,0,0,4,5,0,0,0,7,12,8,14,20,32,26,17,5,132,39,69,83,84,90,61,32,10,463
LGA52310,0,0,3,0,0,0,11,0,0,0,8,0,0,0,0,9,3,15,4,12,19,10,0,0,62,0,7,9,9,17,13,9,5,61,16,19,15,30,32,25,3,0,134,4,3,0,0,0,0,0,0,14,0,0,0,0,0,4,0,0,10,17,24,20,30,32,25,8,0,159,0,0,0,0,0,3,0,0,5,8,10,9,7,12,15,17,5,86,33,50,41,66,89,70,32,8,397
LGA52380,4,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,14,14,6,10,6,0,0,45,0,10,10,15,16,6,0,0,54,18,40,25,34,29,15,0,0,158,0,3,0,0,7,0,0,0,9,4,0,0,0,0,4,0,0,4,22,39,24,34,33,21,0,0,170,0,0,0,0,0,0,0,0,8,3,9,3,14,12,14,0,0,66,27,76,56,70,70,47,9,0,360
LGA52450,0,3,3,0,0,0,14,0,0,0,3,3,0,0,0,11,6,17,18,19,7,4,3,0,71,3,13,4,4,6,7,3,0,46,26,47,35,29,32,13,15,3,205,7,3,0,7,6,0,0,0,23,0,0,5,0,5,0,0,0,20,35,54,38,36,38,16,17,3,243,0,0,0,0,3,3,0,0,9,24,6,14,13,6,17,9,5,97,67,99,85,73,69,52,25,6,480
LGA52520,3,4,5,6,0,0,20,0,3,0,0,0,0,0,0,8,4,29,38,23,0,9,0,3,108,0,5,13,5,17,0,8,0,61,17,35,43,14,29,16,0,0,143,0,7,4,3,4,0,0,0,18,0,0,0,3,4,6,0,0,12,19,36,43,25,33,16,0,0,174,0,0,5,4,0,0,0,0,9,15,26,44,32,38,21,13,4,197,42,108,145,88,98,57,28,7,580
LGA52590,5,10,13,8,8,0,49,0,5,10,9,11,9,0,0,43,10,60,59,48,50,42,12,0,284,11,30,34,49,65,71,15,3,278,33,114,91,108,130,104,34,3,611,10,11,4,3,9,9,0,0,39,0,3,5,10,19,9,8,3,62,47,125,99,120,157,122,35,11,717,0,0,0,3,5,4,0,0,19,50,79,77,76,75,86,39,15,500,116,314,283,312,366,352,115,27,1891
LGA52660,40,18,15,22,4,0,130,0,21,38,36,36,19,3,0,156,26,211,270,234,140,86,30,14,1022,41,137,202,163,178,105,51,23,900,291,702,625,483,387,265,96,25,2870,118,55,39,29,28,11,0,3,282,17,20,33,56,35,35,15,6,218,425,773,696,562,451,306,111,33,3373,4,9,8,3,11,16,12,0,67,67,90,94,112,105,114,132,107,823,566,1268,1353,1145,933,676,352,180,6474
LGA52730,50,50,58,48,35,8,255,0,21,32,26,32,34,11,5,156,7,89,149,176,189,146,67,15,838,5,36,91,86,126,140,68,18,571,59,102,161,155,216,134,51,6,888,28,13,18,6,12,10,5,0,81,0,4,13,11,23,26,12,6,89,86,119,189,169,252,168,69,10,1061,3,7,6,9,7,5,8,0,47,64,62,91,107,102,113,86,32,661,157,351,606,623,765,663,333,84,3584
LGA52800,54,45,39,25,7,0,206,0,28,24,28,35,23,0,0,140,67,209,119,97,120,86,13,0,706,17,60,59,65,96,98,11,0,402,82,212,186,189,198,127,20,0,1020,41,25,31,17,11,6,0,0,139,14,17,26,20,27,14,0,0,112,134,256,237,225,240,151,25,0,1266,0,0,0,0,0,0,0,0,12,259,302,239,233,240,197,46,4,1517,470,892,731,706,768,582,96,7,4251
LGA52870,22,19,21,25,11,3,114,3,8,17,20,22,20,6,0,102,11,69,100,112,92,97,35,0,521,7,45,72,83,108,90,36,5,448,110,142,196,200,210,125,59,14,1050,39,10,13,6,12,7,0,0,98,0,8,16,20,19,17,10,0,94,157,163,228,229,241,148,67,19,1248,0,0,0,4,9,9,3,0,25,39,45,41,51,57,78,60,21,399,222,329,496,512,552,482,225,43,2857
LGA52940,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,7,3,5,15,9,4,5,0,0,46,0,4,3,12,6,12,0,0,46,8,13,16,24,8,14,0,0,89,4,5,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,9,13,16,17,21,13,21,0,0,108,0,0,0,0,0,0,0,0,5,7,3,5,7,9,21,3,0,59,24,26,54,60,34,54,5,6,273
LGA53010,4,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,4,12,26,7,5,3,0,0,58,0,3,9,11,6,0,4,0,28,11,20,14,10,13,8,3,0,80,0,0,6,0,0,0,0,0,10,0,0,0,0,6,4,0,0,8,11,20,16,13,20,9,4,0,95,0,0,0,0,0,0,0,0,0,10,14,24,25,29,22,9,4,134,19,55,68,57,62,40,14,4,322
LGA53080,0,8,5,4,0,0,21,0,6,5,8,8,4,0,0,24,10,29,18,7,12,15,0,0,86,0,5,0,11,17,13,0,0,55,5,23,19,36,32,32,5,0,155,3,0,0,0,0,0,0,0,11,0,4,0,3,0,7,0,0,12,15,26,21,38,30,36,5,0,179,0,0,0,0,0,0,0,0,3,21,46,26,62,36,30,12,0,234,50,114,72,140,108,100,17,0,603
LGA53150,130,160,127,99,28,0,626,4,25,66,76,84,44,12,0,322,90,290,358,412,304,199,88,16,1754,13,59,83,143,132,101,49,9,588,56,96,94,109,113,71,37,14,598,31,0,4,0,4,6,11,0,64,7,3,5,29,34,24,12,5,125,102,107,109,143,156,101,53,20,782,0,7,4,8,6,3,4,5,37,17,40,52,48,45,56,73,108,435,231,599,799,989,858,605,307,165,4544
LGA53220,111,73,38,18,4,0,412,0,35,45,36,24,17,0,0,154,72,561,349,243,147,53,8,0,1427,28,222,278,303,199,66,3,0,1110,292,1289,1277,975,637,148,19,0,4638,82,88,63,35,19,5,0,0,286,9,40,52,37,31,8,0,0,179,383,1408,1394,1045,684,166,22,0,5102,3,4,0,0,5,0,0,0,17,426,1686,1640,1426,924,173,21,5,6304,932,4064,3813,3132,2011,507,58,5,14523
LGA53290,39,38,26,17,6,0,155,3,18,43,35,30,17,9,0,157,41,251,219,210,141,88,50,13,1018,17,91,148,165,158,106,64,17,769,241,478,459,429,353,193,84,10,2244,72,56,42,20,20,8,4,0,221,11,15,25,37,37,23,9,3,160,331,549,519,489,411,220,101,10,2629,4,5,7,12,17,10,12,4,63,190,185,210,249,203,212,186,50,1488,591,1125,1180,1194,988,673,422,105,6290
LGA53360,42,36,32,31,3,0,194,0,18,13,23,35,30,3,0,126,55,247,173,109,128,126,23,0,865,13,73,88,92,122,143,36,5,570,91,247,210,188,239,236,73,3,1293,16,17,12,8,6,9,3,0,75,8,7,9,15,24,37,9,0,118,115,272,231,212,274,285,82,7,1486,0,0,0,5,4,14,4,0,42,48,68,50,67,87,118,47,12,485,239,733,606,543,679,746,202,26,3771
LGA53430,676,576,513,344,117,25,2761,4,156,224,240,255,149,45,8,1089,374,1623,1434,1151,965,704,243,40,6528,101,345,439,497,524,423,172,18,2537,289,611,576,535,553,378,147,52,3143,107,38,42,32,43,22,11,0,294,35,46,58,58,104,71,42,15,432,431,692,681,627,701,464,203,67,3865,15,30,33,33,47,41,26,3,227,236,373,341,362,321,304,231,235,2398,1181,3717,3826,3492,3330,2433,1041,395,19408
